HCH_012_153_000001	宋禮，字大本，河南永寧人。
HCH_012_153_000029	明年，以御史許堪言衛河水患，命禮往經畫。
HCH_012_153_000030	禮請自魏家灣開支河二，泄水入土河，復自德州西北開支河一，泄水入舊黃河，使至海豐大沽河入海。
HCH_012_153_000031	帝命俟秋成後為之。
HCH_012_153_000032	禮還言：「海運經歷險阻，每歲船輒損敗，有漂沒者。有司修補，迫於期限，多科斂為民病，而船亦不堅。計海船一艘，用百人而運千石，其費可辦河船容二百石者二十，船用十人，可運四千石。以此而論，利病較然。請撥鎮江、鳳陽、淮安、揚州及兗州糧，合百萬石，從河運給北京。其海道則三歲兩運。」
HCH_012_153_000033	已而平江伯陳瑄治江、淮間諸河功，亦相繼告竣。
HCH_012_153_000034	於是河運大便利，漕粟益多。
HCH_012_153_000035	十三年遂罷海運。
HCH_012_153_000036	初，帝將營北京，命禮取材川蜀。
HCH_012_153_000037	禮伐山通道，奏言：「得大木數株，皆尋丈。一夕，自出谷中抵江上，聲如雷，不偃一草。」
HCH_012_153_000038	朝廷以為瑞。
HCH_012_153_000039	及河工成，復以采木入蜀。
HCH_012_153_000040	十六年命治獄江西。
HCH_012_153_000041	明年造番舟。
HCH_012_153_000042	自蜀召還，以老疾免朝參，有奏事令侍郎代。
HCH_012_153_000043	二十年七月卒於官。
HCH_012_153_000044	禮性剛，馭下嚴急，故易集事，以是亦不為人所親。
HCH_012_153_000045	卒之日，家無余財。
HCH_012_153_000046	洪熙改元，禮部尚書呂震請予葬祭如制。
HCH_012_153_000047	弘治中，主事王寵始請立祠。
HCH_012_153_000048	詔祀之南旺湖上，以金純、周長配。
HCH_012_153_000049	隆慶六年贈禮太子太保。
HCH_012_153_000050	藺芳，夏縣人。
HCH_012_153_000051	洪武中舉孝廉。
HCH_012_153_000052	累遷刑部郎中。
HCH_012_153_000053	永樂中，出為吉安知府。
HCH_012_153_000054	寬厚廉潔，民甚德之。
HCH_012_153_000055	吉水民詣闕言縣有銀礦，遣使覆視。
HCH_012_153_000056	父老遮芳訴曰：「聞宋季嘗有言此者，卒以妄得罪。今皆樹藝地，安所得銀礦？」
HCH_012_153_000057	芳詰告者，知其誣。
HCH_012_153_000058	獄具，同官不敢署名，芳請獨任之。
HCH_012_153_000059	奏上，帝曰：「吾固知妄也。」
HCH_012_153_000060	得寢。
HCH_012_153_000061	已，坐事謫辦事官，從宋禮治會通河，復為工部都水主事。
HCH_012_153_000062	十年，河決陽武，灌中牟、祥符、尉氏，遣芳按視。
HCH_012_153_000063	芳言：「中鹽堤當暴流之沖，請加築塞。」
HCH_012_153_000064	又言：「自中灤分導河流，使由故道北入海，誠萬世利。」
HCH_012_153_000065	又言：「新築岸埽，止用草索，不能堅久。宜編木成大囷，貫樁其中，實以瓦石，復以木橫貫樁表，牽築堤上，則殺水固堤之長策也。」
HCH_012_153_000066	詔悉從之。
HCH_012_153_000067	其後築堤者遵用其法。
HCH_012_153_000068	以宋禮薦，擢工部右侍郎。
HCH_012_153_000069	亡何，行太僕卿楊砥言：「吳橋、東光、興濟、交河及天津屯田，雨水決堤傷稼。乞開德州良店東南黃河故道，以分水勢。」
HCH_012_153_000070	復命芳往治之。
HCH_012_153_000071	所經郡邑，有不便民者輒疏以聞。
HCH_012_153_000072	事竣還。
HCH_012_153_000073	十五年十一月卒於官。
HCH_012_153_000074	芳自奉約，布衣蔬食。
HCH_012_153_000075	事母至孝。
HCH_012_153_000076	母甚賢。
HCH_012_153_000077	芳所治事，暮必告母。
HCH_012_153_000078	有不當，輒加教誡。
HCH_012_153_000079	芳受命唯謹，由是為良吏雲。
HCH_012_153_000080	陳瑄，字彥純，合肥人。
HCH_012_153_000081	父聞，以義兵千戶歸太祖，累官都指揮同知。
HCH_012_153_000082	瑄代父職。
HCH_012_153_000083	父坐事戍遼陽，瑄伏闕請代，詔並原其父子。
HCH_012_153_000084	瑄少從大將軍幕，以射雁見稱。
HCH_012_153_000085	屢從征南番，又征越巂，討建昌叛番月魯帖木兒，逾梁山，平天星寨，破寧番諸蠻。
HCH_012_153_000086	復征鹽井，進攻卜水瓦寨。
HCH_012_153_000087	賊熾甚。
HCH_012_153_000088	瑄將中軍，賊圍之數重。
HCH_012_153_000089	瑄下馬射，傷足，裹創戰。
HCH_012_153_000090	自巳至酉，全師還。
HCH_012_153_000091	又從征賈哈剌，以奇兵涉打沖河，得間道，作浮梁渡軍。
HCH_012_153_000092	既渡，撤梁，示士卒不返，連戰破賊。
HCH_012_153_000093	又會雲南兵征百夷有功，遷四川行都司都指揮同知。
HCH_012_153_000094	建文末，遷右軍都督僉事。
HCH_012_153_000095	燕兵逼，命總舟師防江上。
HCH_012_153_000096	燕兵至浦口，瑄以舟師迎降，成祖遂渡江。
HCH_012_153_000097	既即位，封平江伯，食祿一千石，賜誥券，世襲指揮使。
HCH_012_153_000098	永樂元年命瑄充總兵官，總督海運，輸粟四十九萬餘石，餉北京及遼東。
HCH_012_153_000099	遂建百萬倉於直沽，城天津衛。
HCH_012_153_000100	先是，漕舟行海上，島人畏漕卒，多閉匿。
HCH_012_153_000101	瑄招令互市，平其直，人交便之。
HCH_012_153_000102	運舟還，會倭寇沙門島。
HCH_012_153_000103	瑄追擊至金州白山島，焚其舟殆盡。
HCH_012_153_000104	九年命與豐城侯李彬統浙、閩兵捕海寇。
HCH_012_153_000105	海溢堤圮，自海門至鹽城凡百三十里。
HCH_012_153_000106	命瑄以四十萬卒築治之，為捍潮堤萬八千餘丈。
HCH_012_153_000107	明年，瑄言：「嘉定瀕海地，江流沖會。海舟停泊於此，無高山大陵可依。請於青浦築土山，方百丈，高三十餘丈，立堠表識。」
HCH_012_153_000108	既成，賜名寶山，帝親為文記之。
HCH_012_153_000109	宋禮既治會通河成，朝廷議罷海運，仍以瑄董漕運。
HCH_012_153_000110	議造淺船二千餘艘，初運二百萬石，浸至五百萬石，國用以饒。
HCH_012_153_000111	時江南漕舟抵淮安，率陸運過壩，逾淮達清河，勞費其鉅。
HCH_012_153_000112	十三年，瑄用故老言，自淮安城西管家湖，鑿渠二十里，為清江浦，導湖水入淮，築四閘以時宣泄。
HCH_012_153_000113	又緣湖十里築堤引舟，由是漕舟直達於河，省費不訾。
HCH_012_153_000114	其後復浚徐州至濟寧河。
HCH_012_153_000115	又以呂梁洪險惡，於西別鑿一渠，置二閘，蓄水通漕。
HCH_012_153_000116	又築沛縣刁陽湖、濟寧南旺湖長堤，開泰州白塔河通大江。
HCH_012_153_000117	又築高郵湖堤，於堤內鑿渠四十里，避風濤之險。
HCH_012_153_000118	又自淮至臨清，相水勢置閘四十有七，作常盈倉四十區於淮上，及徐州、臨清、通州皆置倉，便轉輸。
HCH_012_153_000119	慮漕舟膠淺，自淮至通州置舍五百六十八，舍置卒，導舟避淺。
HCH_012_153_000120	復緣河堤鑿井樹木，以便行人。
HCH_012_153_000121	凡所規畫，精密宏遠，身理漕河者三十年，舉無遺策。
HCH_012_153_000122	仁宗即位之九月，瑄上疏陳七事。
HCH_012_153_000123	一曰南京國家根本，乞嚴守備。
HCH_012_153_000124	二曰推舉宜核實，無循資格，選朝臣公正者分巡天下。
HCH_012_153_000125	三曰天下歲運糧餉，湖廣、江西、浙江及蘇、松諸府並去北京遠，往復逾年，上逋公租，下妨農事。
HCH_012_153_000126	乞令轉至淮、徐等處，別令官軍接運至京。
HCH_012_153_000127	又快船、馬船所載不過五六十石，每船官軍足用，有司添差軍民遞送，拘集聽候，至有凍餒，請革罷。
HCH_012_153_000128	四曰教職多非其人，乞考不職者黜之，選俊秀補生員，而軍中子弟亦令入學。
HCH_012_153_000129	五曰軍伍竄亡，乞核其老疾者，以子弟代，逃亡者追補，戶絕者驗除。
HCH_012_153_000130	六曰開平等處，邊防要地，兵食虛乏，乞選練銳士，屯守兼務。
HCH_012_153_000131	七曰漕運官軍，每歲北上，歸即修船，勤苦終年。
HCH_012_153_000132	該衛所又於其隙，雜役以重困之，乞加禁絕。
HCH_012_153_000133	帝覽奏曰：「瑄言皆當。」
HCH_012_153_000134	令所司速行。
HCH_012_153_000135	遂降敕獎諭，尋賜券，世襲平江伯。
HCH_012_153_000136	宣宗即位，命守淮安，督漕運如故。
HCH_012_153_000137	宣德四年言：「濟寧以北，自長溝至棗林淤塞，計用十二萬人疏浚，半月可成。」
HCH_012_153_000138	帝念瑄久勞，命尚書黃福往同經理。
HCH_012_153_000139	六年，瑄言：「歲運糧用軍十二萬人，頻年勞苦。乞於蘇、松諸郡及江西、浙江、湖廣別僉民丁，又於軍多衛所僉軍，通為二十四萬人，分番叠運。又江南之民，運糧赴臨清、淮安、徐州，往返一年，失誤農業，而湖廣、江西、浙江及蘇、松、安慶軍士，每歲以空舟赴淮安載糧。若令江南民撥糧與附近衛所，官軍運載至京，量給耗米及道里費，則軍民交便。」
HCH_012_153_000140	帝命黃福及侍郎王佐議行之。
HCH_012_153_000141	更民運為兌運，自此始也。
HCH_012_153_000142	八年十月卒於官，年六十有九。
HCH_012_153_000143	追封平江侯，贈太保，謚恭襄。
HCH_012_153_000144	初，瑄以浚河有德於民，民立祠清河縣。
HCH_012_153_000145	正統中，命有司春秋致祭。
HCH_012_153_000146	孫豫，字立卿，讀書修謹。
HCH_012_153_000147	正統末，福建沙縣賊起，以副總兵從寧陽侯陳懋分道討平之，進封侯。
HCH_012_153_000148	也先入犯，出鎮臨清，建城堡，練兵撫民，安靜不擾。
HCH_012_153_000149	明年召還，父老詣闕請留。
HCH_012_153_000150	從之。
HCH_012_153_000151	景泰五年，山東饑，奉詔振恤。
HCH_012_153_000152	尋守備南京。
HCH_012_153_000153	天順元年召還，益歲祿百石。
HCH_012_153_000154	七年卒。
HCH_012_153_000155	贈黟國公，謚莊敏。
HCH_012_153_000156	子銳嗣伯。
HCH_012_153_000157	成化初，分典三千營及團營。
HCH_012_153_000158	尋佩平蠻將軍印，總制兩廣。
HCH_012_153_000159	移鎮淮陽，總督漕運。
HCH_012_153_000160	建淮河口石閘及濟寧分水南北二閘。
HCH_012_153_000161	築堤疏泉，修舉廢墜。
HCH_012_153_000162	總漕十四年，章數十上。
HCH_012_153_000163	日本貢使買民男女數人以歸，道淮安。
HCH_012_153_000164	銳留不遣，贖還其家。
HCH_012_153_000165	淮、揚饑疫，煮糜施藥，多所存濟。
HCH_012_153_000166	弘治六年，河決張秋，奉敕塞治。
HCH_012_153_000167	還，增祿二百石，累加太傅兼太子太傅。
HCH_012_153_000168	十三年，火篩寇大同，銳以總兵官佩將軍印往援。
HCH_012_153_000169	既至，擁兵自守，為給事中御史所劾，奪祿閑住。
HCH_012_153_000170	其年卒。
HCH_012_153_000171	子熊嗣。
HCH_012_153_000172	正德三年出督漕運。
HCH_012_153_000173	劉瑾索金錢，熊不應，銜之。
HCH_012_153_000174	坐事，逮下詔獄，謫戍海南衛，奪誥券。
HCH_012_153_000175	熊故黷貨，在淮南頗殃民。
HCH_012_153_000176	雖為瑾構陷，人無惜之者。
HCH_012_153_000177	瑾誅，赦還復爵。
HCH_012_153_000178	卒，無子。
HCH_012_153_000179	再從子圭嗣。
HCH_012_153_000180	以薦出鎮兩廣。
HCH_012_153_000181	封川寇起，圭督諸將往討，擒其魁，俘斬數千，加太子太保。
HCH_012_153_000182	復平柳慶及賀連山賊，加太保，蔭一子。
HCH_012_153_000183	安南範子儀等寇欽、廉，黎岐賊寇瓊厓，相掎角。
HCH_012_153_000184	圭移文安南，曉以利害，使縛子儀，而急出兵攻黎岐，敗走之。
HCH_012_153_000185	論功，復蔭一子，加歲祿四十石。
HCH_012_153_000186	圭能與士卒同甘苦，聞賊所在，輒擐甲先登。
HCH_012_153_000187	深箐絕壑，沖冒瘴毒，無所避，以故所向克捷。
HCH_012_153_000188	在粵且十年，殲諸小賊不可勝數。
HCH_012_153_000189	召還，掌後軍府。
HCH_012_153_000190	圭妻仇氏，鹹寧侯鸞女弟也。
HCH_012_153_000191	圭深嫉鸞，鸞數短圭於世宗，幾得罪。
HCH_012_153_000192	鸞敗，帝益重圭，命總京營兵。
HCH_012_153_000193	寇入紫荊關，圭請出戰，營於盧溝，寇退而止。
HCH_012_153_000194	明年，寇復入古北口，或議列營九門為備，圭以徒示弱無益，寇亦尋退。
HCH_012_153_000195	董築京師外城，加太子太傅。
HCH_012_153_000196	卒，贈太傅，謚武襄。
HCH_012_153_000197	子王謨嗣。
HCH_012_153_000198	僉書後軍，出鎮兩廣。
HCH_012_153_000199	賊張璉反，屠掠數郡。
HCH_012_153_000200	王謨會提督張臬討平之，擒斬三萬餘。
HCH_012_153_000201	論功加太子太保，蔭一子。
HCH_012_153_000202	萬歷中出鎮淮安，總漕運，入掌前軍府事。
HCH_012_153_000203	卒，贈少保，謚武靖。
HCH_012_153_000204	傳至明亡，爵絕。
HCH_012_153_000205	王瑜，字廷器，山陽人。
HCH_012_153_000206	以總旗隸趙王府。
HCH_012_153_000207	永樂末，常山護衛指揮孟賢等與宦官黃儼結，謀弒帝，廢太子而立趙王。
HCH_012_153_000208	其黨高正者，瑜舅也，密告瑜。
HCH_012_153_000209	瑜大驚曰：「奈何為此族滅計。」
HCH_012_153_000210	垂涕諫，不聽。
HCH_012_153_000211	正懼謀泄，將殺瑜，瑜遂詣闕告變。
HCH_012_153_000212	按治有驗，賢等盡伏誅，而授瑜遼海衛千戶。
HCH_012_153_000213	仁宗即位，擢錦衣衛指揮同知，厚賜之，並戒同官，事必白瑜乃行。
HCH_012_153_000214	瑜持大體，不為苛細，廷中稱其賢。
HCH_012_153_000215	宣德八年進都指揮僉事，充左副總兵，代陳瑄鎮淮安，董漕運，累進左軍都督僉事。
HCH_012_153_000216	淮安，瑜故鄉也，人以為榮。
HCH_012_153_000217	在淮數年，守瑄成法不變，有善政。
HCH_012_153_000218	民有親在與弟訟產者。
HCH_012_153_000219	瑜曰：「訟弟不友，無親不孝。」
HCH_012_153_000220	杖而斥之。
HCH_012_153_000221	又有負金不能償，至翁婿兄弟相訟者。
HCH_012_153_000222	瑜曰：「奈何以財故傷恩！」
HCH_012_153_000223	即代償，勸其敦睦。
HCH_012_153_000224	二卒盜敗舟一板，有司以盜官物，坐卒死。
HCH_012_153_000225	瑜曰：「兩卒之命，抵敗舟一板耶？」
HCH_012_153_000226	竟得末減。
HCH_012_153_000227	歲兇，發官廩以振。
HCH_012_153_000228	然性好貨，為英宗切責，而前所發不軌事有枉者。
HCH_012_153_000229	正統四年，議事入京。
HCH_012_153_000230	得疾，束兩手如高懸狀，號救求解而卒。
HCH_012_153_000231	周忱，字恂如，吉水人。
HCH_012_153_000232	永樂二年進士。
HCH_012_153_000233	選庶吉士。
HCH_012_153_000234	明年，成祖擇其中二十八人，令進學文淵閣。
HCH_012_153_000235	忱自陳年少乞預。
HCH_012_153_000236	帝嘉其有誌，許之。
HCH_012_153_000237	尋擢刑部主事，進員外郎。
HCH_012_153_000238	忱有經世才，浮沈郎署二十年，人無知者，獨夏原吉奇之。
HCH_012_153_000239	洪熙改元，稍遷越府長史。
HCH_012_153_000240	宣德初，有薦為郡守者。
HCH_012_153_000241	原吉曰：「此常調也，安足盡周君？」
HCH_012_153_000242	五年九月，帝以天下財賦多不理，而江南為甚，蘇州一郡，積逋至八百萬石，思得才力重臣往厘之。
HCH_012_153_000243	乃用大學士楊榮薦，遷忱工部右侍郎，巡撫江南諸府，總督稅糧。
HCH_012_153_000244	始至，召父老問逋稅故。
HCH_012_153_000245	皆言豪戶不肯加耗，並征之細民，民貧逃亡，而稅額益缺。
HCH_012_153_000246	忱乃創為平米法，令出耗必均。
HCH_012_153_000247	又請敕工部頒鐵斛，下諸縣準式，革糧長之大入小出者。
HCH_012_153_000248	舊例，糧長正副三人，以七月赴南京戶部領勘合。
HCH_012_153_000249	既畢，復賫送部。
HCH_012_153_000250	往反資費，皆科斂充之。
HCH_012_153_000251	忱止設正副各一人，循環赴領。
HCH_012_153_000252	訖事，有司類收上之部。
HCH_012_153_000253	民大便。
HCH_012_153_000254	忱見諸縣收糧無團局，糧長即家貯之，曰：「此致逋之由也。」
HCH_012_153_000255	遂令諸縣於水次置囤，囤設糧頭、囤戶各一人，名「轄收」。
HCH_012_153_000256	至六七萬石以上，始立糧長一人總之，名「總收」。
HCH_012_153_000257	民持貼赴囤，官為監納，糧長但奉期會而已。
HCH_012_153_000258	置撥運、綱運二簿。
HCH_012_153_000259	撥運記支撥起運之數，預計所運京師、通州諸倉耗，以次定支。
HCH_012_153_000260	綱運聽其填註剝淺諸費，歸以償之。
HCH_012_153_000261	支撥羨余，存貯在倉，曰「余米」。
HCH_012_153_000262	次年余多則加六征，又次年加五征。
HCH_012_153_000263	初，太祖平吳，盡籍其功臣子弟莊田入官，後惡富民豪並，坐罪沒入田產，皆謂之官田。
HCH_012_153_000264	按其家租籍征之，故蘇賦比他府獨重。
HCH_012_153_000265	官民田租共二百七十七萬石，而官田之租乃至二百六十二萬石，民不能堪。
HCH_012_153_000266	時宣宗屢下詔減官田租，忱乃與知府況鍾曲算累月，減至七十二萬餘石，他府以次減，民始少蘇。
HCH_012_153_000267	七年，江南大稔，詔令諸府縣以官鈔平糴備振貸，蘇州遂得米二十九萬石。
HCH_012_153_000268	故時公侯祿米、軍官月俸皆支於南戶部。
HCH_012_153_000269	蘇、松民轉輸南京者，石加費六斗。
HCH_012_153_000270	忱奏令就各府支給，與船價米一斗，所余五斗，通計米四十萬石有奇，並官鈔所糴，共得米七十萬餘石，遂置倉貯之，名曰「濟農」。
HCH_012_153_000271	振貸之外，歲有餘羨。
HCH_012_153_000272	凡綱運、風漂、盜奪者，皆借給於此，秋成，抵數還官。
HCH_012_153_000273	其修圩、築岸、開河、浚湖所支口糧，不責償。
HCH_012_153_000274	耕者借貸，必驗中下事力及田多寡給之，秋與糧並賦，兇歲再振。
HCH_012_153_000275	其奸頑不償者，後不復給。
HCH_012_153_000276	定為條約以聞。
HCH_012_153_000277	帝嘉獎之。
HCH_012_153_000278	終忱在任，江南數大郡，小民不知兇荒，兩稅未嘗逋負，忱之力也。
HCH_012_153_000279	時漕運，軍民相半。
HCH_012_153_000280	軍船給之官，民則僦舟，加以雜耗，率三石致一石，往復經年失農業。
HCH_012_153_000281	忱與平江伯陳瑄議，民運至淮安或瓜洲水次交兌，漕軍運抵通州。
HCH_012_153_000282	淮安石加五斗，瓜洲又益五升。
HCH_012_153_000283	其附近並南京軍未過江者，即倉交兌，加與過江米二斗。
HCH_012_153_000284	襯墊蘆席，與折米五合。
HCH_012_153_000285	兌軍或後期阻風，則令州縣支贏米。
HCH_012_153_000286	設廒於瓜洲水次，遷米貯之，量支余米給守者。
HCH_012_153_000287	由是漕費大省。
HCH_012_153_000288	民間馬草歲運兩京，勞費不訾。
HCH_012_153_000289	忱請每束折銀三分，南京則輕賫即地買納。
HCH_012_153_000290	京師百官月俸，皆持俸帖赴領南京。
HCH_012_153_000291	米賤時，俸貼七八石，僅易銀一兩。
HCH_012_153_000292	忱請檢重額官田、極貧下戶兩稅，準折納金花銀，每兩當米四石，解京兌俸，民出甚少，而官俸常足。
HCH_012_153_000293	嘉定、昆山諸縣歲納布，疋重三斤抵糧一石。
HCH_012_153_000294	比解，以縷粗見斥者十八九。
HCH_012_153_000295	忱言：「布縷細必輕，然價益高。今既貴重，勢不容細。乞自今不拘輕重，務取長廣如式。」
HCH_012_153_000296	從之。
HCH_012_153_000297	各郡驛馬及一切供帳，舊皆領於馬頭。
HCH_012_153_000298	有耗損，則馬頭橫科補買。
HCH_012_153_000299	忱令田畝出米升九合，與秋糧俱征，驗馬上中下直給米。
HCH_012_153_000300	正統初，淮、揚災，鹽課虧，敕忱巡視。
HCH_012_153_000301	奏令蘇州諸府，撥余米一二萬石連揚州鹽場，聽抵明年田租，竈戶得納鹽給米。
HCH_012_153_000302	時米貴鹽賤，官得積鹽，民得食米，公私大濟。
HCH_012_153_000303	尋敕兼理松江鹽課。
HCH_012_153_000304	華亭、上海二縣逋課至六十三萬餘引，竈丁逃亡。
HCH_012_153_000305	忱謂田賦宜養農夫，鹽課宜養竈丁。
HCH_012_153_000306	因上便宜四事，命速行之。
HCH_012_153_000307	忱為節竈戶運耗，得米三萬二千餘石。
HCH_012_153_000308	亦仿濟農倉法，置贍鹽倉，益補逃亡缺額。
HCH_012_153_000309	由是鹽課大殖。
HCH_012_153_000310	浙江當造海船五十艘，下忱計度。
HCH_012_153_000311	忱召問都匠，言一艘須米千石。
HCH_012_153_000312	忱以成大事不宜惜費，第減二十石，奏於朝，竟得報可。
HCH_012_153_000313	以九載秩滿，進左侍郎。
HCH_012_153_000314	六年命兼理湖州、嘉興二府稅糧，又命同刑科都給事中郭瑾錄南京刑獄。
HCH_012_153_000315	忱素樂易。
HCH_012_153_000316	先是，大理卿胡槩為巡撫，用法嚴。
HCH_012_153_000317	忱一切治以簡易，告訐者輒不省。
HCH_012_153_000318	或面訐忱：「公不及胡公。」
HCH_012_153_000319	忱笑曰：「胡卿敕旨，在祛除民害；朝廷命我，但雲安撫軍民。委寄正不同耳。」
HCH_012_153_000320	既久任江南，與吏民相習若家人父子。
HCH_012_153_000321	每行村落，屏去騶從，與農夫餉婦相對，從容問所疾苦，為之商略處置。
HCH_012_153_000322	其馭下也，雖卑官冗吏，悉開心訪納。
HCH_012_153_000323	遇長吏有能，如況鍾及松江知府趙豫、常州知府莫愚、同知趙泰輩，則推心與咨畫，務盡其長，故事無不舉。
HCH_012_153_000324	常詣松江相視水利，見嘉定、上海間，沿江生茂草，多淤流，乃浚其上流，使昆山、顧浦諸所水迅流駛下，壅遂盡滌。
HCH_012_153_000325	暇時以匹馬往來江上，見者不知其為巡撫也。
HCH_012_153_000326	歷宣德、正統二十年間，朝廷委任益專。
HCH_012_153_000327	兩遭親喪，皆起復視事。
HCH_012_153_000328	忱以此益發舒，見利害必言，言無不聽。
HCH_012_153_000329	初，欲減松江官田額，依民田起科。
HCH_012_153_000330	戶部郭資、胡濙奏其變亂成法，請罪之，宣宗切責資等。
HCH_012_153_000331	忱嘗言：「吳淞江畔有沙塗柴場百五十頃，水草茂盛，蟲蜢多生其中。請募民開墾，可以足國課，消蟲災。」
HCH_012_153_000332	又言：「丹徒、丹陽二縣田沒入江者，賦尚未除。國初蠲稅之家，其田多並於富室，宜征其租，沒於江者除之，則額不虧而貧富均。無錫官田賦白米太重，請改征租米。」
HCH_012_153_000333	悉報可。
HCH_012_153_000334	其因災荒請蠲貸，及所陳他利病無算。
HCH_012_153_000335	小者用便宜行之，無所顧慮。
HCH_012_153_000336	久之見財賦充溢，益務廣大。
HCH_012_153_000337	修葺廨舍學校、先賢祠墓、橋梁道路，及崇飾寺觀，贈遺中朝官，資餉過客，無稍吝惜。
HCH_012_153_000338	胥吏漁蠹其中，亦不甚訾省。
HCH_012_153_000339	以故屢召人言。
HCH_012_153_000340	九年，給事中李素等劾忱妄意變更，專擅科斂。
HCH_012_153_000341	忱上章自訴。
HCH_012_153_000342	帝以余米既為公用，置不問。
HCH_012_153_000343	先是，奸民尹崇禮欲撓忱法，奏忱不當多征耗米，請究問倉庫主者，忱因罷前法。
HCH_012_153_000344	既而兩稅復逋，民無所賴，鹹稱不便。
HCH_012_153_000345	忱乃奏按崇禮罪，舉行前法如故。
HCH_012_153_000346	再以九載滿，進戶部尚書。
HCH_012_153_000347	尋以江西人不得官戶部，乃改工部，仍巡撫。
HCH_012_153_000348	景泰元年，溧陽民彭守學復訐忱如崇禮言，戶部遂請遣御史李鑒等往諸郡稽核。
HCH_012_153_000349	明年又以給事中金達言，召忱還朝。
HCH_012_153_000350	忱乃自陳：「臣未任事之先，諸郡稅糧無歲不逋。自臣蒞任，設法刬弊，節省浮費，於是歲無逋租，更積贏羨。凡向之公用所須、科取諸民者，悉於余米隨時支給。或振貸未還，遇赦宥免，或未估時值，低昂不一。緣奉宣宗皇帝並太上皇敕諭，許臣便宜行事，以此支用不復具聞。致守學訐奏，戶部遣官追征，實臣出納不謹，死有餘罪。」
HCH_012_153_000351	禮部尚書楊寧言：「妄費罪乃在忱，今估計余值，悉征於民間，至有棄家逃竄者，乞將正統以前者免追。」
HCH_012_153_000352	詔許之，召鑒等還。
HCH_012_153_000353	既而言官猶交章劾忱，請正其罪。
HCH_012_153_000354	景帝素知忱賢，大臣亦多保持之，但令致仕。
HCH_012_153_000355	然當時言理財者，無出忱右。
HCH_012_153_000356	其治以愛民為本。
HCH_012_153_000357	濟農倉之設也，雖與民為期約，至時多不追取。
HCH_012_153_000358	每歲征收畢，逾正月中旬，輒下檄放糧，曰：「此百姓納與朝廷剩數，今還與百姓用之，努力種朝廷田，秋間又納朝廷稅也。」
HCH_012_153_000359	其所弛張變通，皆可為後法。
HCH_012_153_000360	諸府余米，數多至不可校，公私饒足，施及外郡。
HCH_012_153_000361	景泰初，江北大饑，都御史王竑從忱貸米三萬石。
HCH_012_153_000362	忱為計至來年麥熟，以十萬石畀之。
HCH_012_153_000363	性機警。
HCH_012_153_000364	錢穀鉅萬，一屈指無遺算。
HCH_012_153_000365	嘗陰為冊記陰晴風雨。
HCH_012_153_000366	或言某日江中遇風失米，忱言是日江中無風，其人驚服。
HCH_012_153_000367	有奸民故亂其舊案嘗之。
HCH_012_153_000368	忱曰：「汝以某時就我決事，我為汝斷理，敢相紿耶？」
HCH_012_153_000369	三殿重建，詔征牛膠萬斤，為彩繪用。
