HCH_012_196_000001	張璁，字秉用，永嘉人。
HCH_012_196_000021	墮禮官欺蔽中矣。
HCH_012_196_000022	帝益心動，趣召二人。
HCH_012_196_000023	五月抵都，復條上七事。
HCH_012_196_000024	眾洶洶，欲撲殺之。
HCH_012_196_000025	萼懼，不敢出。
HCH_012_196_000026	璁閱數日始朝。
HCH_012_196_000027	給事御史張翀、鄭本公等連章力攻，帝益不悅，特授二人翰林學士。
HCH_012_196_000028	二人力辭，且請面折廷臣之非。
HCH_012_196_000029	給事御史李學曾、吉棠等言：「璁、萼曲學阿世，聖世所必誅。以傳奉為學士，累聖德不少。」
HCH_012_196_000030	御史段續、陳相又特疏論，並及席書。
HCH_012_196_000031	帝責學曾等對狀，下續、相詔獄。
HCH_012_196_000032	刑部尚書趙鑒亦請置璁、萼於理，語人曰：「得俞旨，便捶殺之。」
HCH_012_196_000033	帝責以朋奸，亦令對狀。
HCH_012_196_000034	璁、萼乃復列欺罔十三事，力折廷臣。
HCH_012_196_000035	及廷臣伏闕哭爭，盡系詔獄予杖。
HCH_012_196_000036	死杖下者十餘人，貶竄相繼。
HCH_012_196_000037	由是璁等勢大張。
HCH_012_196_000038	其年九月卒用其議定尊稱。
HCH_012_196_000039	帝益眷倚璁、萼，璁、萼益恃寵仇廷臣，舉朝士大夫鹹切齒此數人矣。
HCH_012_196_000040	四年冬，《大禮集議》成，進詹事兼翰林學士。
HCH_012_196_000041	後議世廟神道、廟樂、武舞及太后謁廟，帝率倚璁言而決。
HCH_012_196_000042	璁緣飾經文，委曲當帝意，帝益器之。
HCH_012_196_000043	璁急圖柄用，為大學士費宏所抑，遂與萼連章攻宏。
HCH_012_196_000044	帝亦知其情，留宏不即放。
HCH_012_196_000045	五年七月，璁以省墓請。
HCH_012_196_000046	既辭朝，帝復用為兵部右侍郎，兼官如故。
HCH_012_196_000047	給事中杜桐、楊言、趙廷瑞交章力詆，並劾吏部尚書廖紀引用邪人。
HCH_012_196_000048	帝怒，切責之。
HCH_012_196_000049	兩京給事御史解一貫、張錄、方紀達、戴繼先等復交章論不已，皆不聽。
HCH_012_196_000050	尋進璁左侍郎，復與萼攻費宏。
HCH_012_196_000051	明年二月興王邦奇獄，構陷楊廷和等，宏及石缶同日罷。
HCH_012_196_000052	吏部郎中彭澤以浮躁被斥，璁言：「昔議禮時，澤勸臣進《大禮或問》，致招眾忌。今諸臣去之，將以次去臣等。」
HCH_012_196_000053	澤乃得留。
HCH_012_196_000054	居三日，復言：「臣與舉朝抗四五年，舉朝攻臣至百十疏。今修《大禮全書》，元惡寒心，群奸側目。故要略方進，讒謗繁興。使《全書》告成，將誣陷益甚。」
HCH_012_196_000055	因引疾求退以要帝，帝優詔慰留。
HCH_012_196_000056	吏部闕尚書，推前尚書喬宇、楊旦；禮部尚書亦缺，推侍郎劉龍、溫仁和。
HCH_012_196_000057	仁和以俸深爭。
HCH_012_196_000058	璁言宇、旦乃楊廷和黨，而仁和亦不宜自薦。
HCH_012_196_000059	帝命大臣休致者，非奉詔不得推舉，宇等遂廢。
HCH_012_196_000060	璁積怒廷臣，日謀報復。
HCH_012_196_000061	會山西巡按馬錄治反賊李福達獄，詞連武定侯郭勛，法司讞如錄擬。
HCH_012_196_000062	璁讒於帝，謂廷臣以議禮故陷勛。
HCH_012_196_000063	帝果疑諸臣朋比，乃命璁署都察院，桂萼署刑部，方獻夫署大理，覆讞，盡反其獄，傾諸異己者。
HCH_012_196_000064	大臣顏頤壽、聶賢以下鹹被搒掠，錄等坐罪遠竄。
HCH_012_196_000065	帝益以為能，獎勞之便殿，賚二品服，三代封誥。
HCH_012_196_000066	京察及言官互糾，已黜御史十三人，璁掌憲，復請考察斥十二人。
HCH_012_196_000067	又奏行憲綱七條，鉗束巡按御史。
HCH_012_196_000068	其年冬，遂拜禮部尚書兼文淵閣大學士入參機務，去釋褐六年耳。
HCH_012_196_000069	楊一清為首輔，翟鑾亦在閣，帝侍之不如璁。
HCH_012_196_000070	嘗諭璁：「朕有密諭毋泄，朕與卿帖悉親書。」
HCH_012_196_000071	璁因引仁宗賜楊士奇等銀章事，帝賜璁二章，文曰「忠良貞一」，曰「繩愆弼違」，因並及一清等。
HCH_012_196_000072	璁初拜學士，諸翰林恥之，不與並列。
HCH_012_196_000073	璁深恨。
HCH_012_196_000074	及侍讀汪佃講《洪範》不稱旨，帝令補外。
HCH_012_196_000075	璁乃請自講讀以下量才外補，改官及罷黜者二十二人，諸庶吉士皆除部屬及知縣，由是翰苑為空。
HCH_012_196_000076	七年正月，帝視朝，見璁、萼班兵部尚書李承勛下，意嗛之。
HCH_012_196_000077	一清因請加散官，乃手敕加二人太子太保。
HCH_012_196_000078	璁辭以未建青宮，官不當設，乃更加少保兼太子太保。
HCH_012_196_000079	《明倫大典》成，復進少傅兼太子太傅、吏部尚書、謹身殿大學士。
HCH_012_196_000080	一清再相，頗由璁、萼力，傾心下二人。
HCH_012_196_000081	而璁終以壓於一清，不獲盡如意，遂相齟齬。
HCH_012_196_000082	指揮聶能遷劾璁，璁欲置之死。
HCH_012_196_000083	一清擬旨稍輕，璁益恨，斥一清為奸人鄙夫。
HCH_012_196_000084	一清再疏引退，且刺璁隱情。
HCH_012_196_000085	帝手敕慰留，因極言璁自伐其能，恃寵不讓，良可嘆息。
HCH_012_196_000086	璁見帝忽暴其短，頗愧沮。
HCH_012_196_000087	八年秋，給事中孫應奎劾一清、萼並及璁，其同官王準復劾璁私參將陳璠，宜斥。
HCH_012_196_000088	璁乞休者再，詞多陰詆一清，帝乃褒諭璁。
HCH_012_196_000089	而給事中陸粲復劾其擅作威福，報復恩怨。
HCH_012_196_000090	帝大感悟，立罷璁。
HCH_012_196_000091	頃之，其黨霍韜力攻一清，微為璁白。
HCH_012_196_000092	璁行抵天津，帝命行人賫手敕召還。
HCH_012_196_000093	一清遂罷去，璁為首輔。
HCH_012_196_000094	帝自排廷議定「大禮」，遂以制作禮樂自任。
HCH_012_196_000095	而夏言始用事，乃議皇后親蠶，議勾龍、棄配社稷，議分祭天地，議罷太宗配祀，議朝日、夕月別建東、西二郊，議祀高禖，議文廟設主更從祀諸儒，議祧德祖正太祖南向，議祈谷，議大禘，議帝社帝稷，奏必下璁議。
HCH_012_196_000096	顧帝取獨斷，璁言亦不盡入。
HCH_012_196_000097	其諫罷太宗配天，三四往復，卒弗能止也。
HCH_012_196_000098	十年二月，璁以名嫌御諱請更。
HCH_012_196_000099	乃賜名孚敬，字茂恭，御書四大字賜焉。
HCH_012_196_000100	夏言恃帝眷，數以事訐孚敬。
HCH_012_196_000101	孕敬銜之，未有以發。
HCH_012_196_000102	納彭澤言構陷行人司正薛侃，因侃以害言。
HCH_012_196_000103	廷鞫事露，旨斥其忮罔。
HCH_012_196_000104	御史譚纘、端廷赦、唐愈賢交章劾之。
HCH_012_196_000105	帝諭法司令致仕，孚敬乃大慚去。
HCH_012_196_000106	未幾，遣行人賫敕召之。
HCH_012_196_000107	明年三月還朝，言已擢禮部尚書，益用事。
HCH_012_196_000108	李時、翟鑾在閣，方獻夫繼入，孚敬亦不能專恣如曩時矣。
HCH_012_196_000109	八月，彗星見東井，帝心疑大臣擅政，孚敬因求罷。
HCH_012_196_000110	都給事中魏良弼詆孚敬奸，孚敬言：「良弼以濫舉京營官奪俸，由臣擬旨，挾私報復。」
HCH_012_196_000111	給事中秦鰲劾孚敬強辨飾奸，言官論列輒文致其罪，擬旨不密，引以自歸，明示中外，若天子權在其掌握。
HCH_012_196_000112	帝是鰲言，令孚敬自陳狀，許之致仕。
HCH_012_196_000113	李時請給廩隸、敕書，不許。
HCH_012_196_000114	再請，乃得馳傳歸。
HCH_012_196_000115	十二年正月，帝復思之，遣鴻臚賫敕召。
HCH_012_196_000116	四月還朝。
HCH_012_196_000117	六月，彗星復見畢昴間，乞避位，不許。
HCH_012_196_000118	明年進少師兼太子太師、華蓋殿大學士。
HCH_012_196_000119	初，潞州陳卿亂，孚敬主用兵，賊竟滅。
HCH_012_196_000120	大同再亂，亦主用兵，薦劉源清為總督，師久無功。
HCH_012_196_000121	其後亂定，代王請大臣安輯。
HCH_012_196_000122	夏言遂力詆用兵之謬，請如王言，語多侵孚敬。
HCH_012_196_000123	孚敬怒，持王疏不行。
HCH_012_196_000124	帝諭令與言交好，而遣黃綰之大同，相機行事。
HCH_012_196_000125	孚敬以議不用，稱疾乞休，疏三上。
HCH_012_196_000126	已而子死，請益力。
HCH_012_196_000127	帝報曰：「卿無疾，疑朕耳。」
HCH_012_196_000128	孚敬復上奏，不引咎，且歷詆同議禮之萼、獻夫、韜、綰等。
HCH_012_196_000129	帝詰責之，乃復起視事。
HCH_012_196_000130	帝於文華殿後建九五齋、恭默室為齋居所，命輔臣賦詩。
HCH_012_196_000131	孚敬及時各為四首以上。
HCH_012_196_000132	已，數召見便殿，從容議政。
HCH_012_196_000133	十四年春得疾，帝遣中官賜尊牢，而與時言，頗及其執拗，且不惜人才以叢怨狀。
HCH_012_196_000134	又遣中官賜藥餌，手敕言：「古有剪須療大臣疾者，朕今以己所服者賜卿。」
HCH_012_196_000135	孚敬幸得溫諭，遂屢疏乞骸骨。
HCH_012_196_000136	命行人御醫護歸，有司給廩隸如制。
HCH_012_196_000137	明年五月，帝復遣錦衣官賫手敕視疾，趣其還。
HCH_012_196_000138	行至金華，疾大作，乃歸。
HCH_012_196_000139	十八年二月卒。
HCH_012_196_000140	帝在承天，聞之傷悼不已。
HCH_012_196_000141	孚敬剛明果敢，不避嫌怨。
HCH_012_196_000142	既遇主，亦時進讜言。
HCH_012_196_000143	帝欲坐張延齡反，族其家。
HCH_012_196_000144	孚敬諍曰：「延齡，守財虜耳，何能反？」
HCH_012_196_000145	數詰問，對如初。
HCH_012_196_000146	及秋盡當論，孚敬上疏謂：「昭聖皇太后春秋高，卒聞延齡死，萬一不食，有他故，何以慰敬皇帝在天之靈？」
HCH_012_196_000147	帝恚，責孚敬：「自古強臣令主非一，若今愛死囚令主矣。當悔不從廷和事敬皇帝耶？」
HCH_012_196_000148	帝故為重語愒止孚敬，而孚敬意不已。
HCH_012_196_000149	以故終昭聖皇太后世，延齡得長繋。
HCH_012_196_000150	他若清勛戚莊田，罷天下鎮守內臣，先後殆盡，皆其力也。
HCH_012_196_000151	持身特廉，痛惡贓吏，一時苞苴路絕。
HCH_012_196_000152	而性狠愎，報復相尋，不護善類。
HCH_012_196_000153	欲力破人臣私黨，而己先為黨魁。
HCH_012_196_000154	「大禮」大獄，叢詬沒世。
HCH_012_196_000155	顧帝始終眷禮，廷臣卒莫與二，嘗稱少師羅山而不名。
HCH_012_196_000156	其卒也，禮官請謚。
HCH_012_196_000157	帝取危身奉上之義，特謚文忠，贈太師。
HCH_012_196_000158	時有胡鐸者，字時振，余姚人。
HCH_012_196_000159	弘治末進士。
HCH_012_196_000160	正德中，官福建提學副使。
HCH_012_196_000161	嘉靖初，遷湖廣參政，累官南京太僕卿。
HCH_012_196_000162	鐸與璁同舉於鄉。
HCH_012_196_000163	「大禮」議起，鐸意亦主考獻王，與璁合。
HCH_012_196_000164	璁要之同署，鐸曰：「主上天性固不可違，天下人情亦不可拂。考獻王不已則宗，宗不已則入廟，入廟則當有祧。以藩封虛號之帝，而奪君臨治世之宗，義固不可也。入廟則有位，將位於武宗上乎，武宗下乎？生為之臣，死不得躋於君。然魯嘗躋僖公矣，恐異日不乏夏父之徒也。」
HCH_012_196_000165	璁議遂上。
HCH_012_196_000166	旋被召。
HCH_012_196_000167	鐸方服闋赴京，璁又要同疏，鐸復書謝之，且與辨繼統之義。
HCH_012_196_000168	「大禮」既定，鐸又貽書勸召還議禮諸人，養和平之福，璁不能從。
HCH_012_196_000169	鐸與王守仁同鄉，不宗其學；與璁同以考獻王為是，不與同進。
HCH_012_196_000170	然其辨繼統，謂國統絕而立君寓立賢之意，蓋大謬雲。
HCH_012_196_000171	桂萼，字子實，安仁人。
HCH_012_196_000172	正德六年進士。
HCH_012_196_000173	除丹徒知縣。
HCH_012_196_000174	性剛使氣，屢忤上官，調青田不赴。
HCH_012_196_000175	用薦起知武康，復忤上官下吏。
HCH_012_196_000176	嘉靖初，由成安知縣遷南京刑部主事。
HCH_012_196_000177	世宗欲尊崇所生，廷臣力持，已稱興獻王為帝，妃為興國太后，頒詔天下二歲矣，萼與張璁同官，乃以二年十一月上疏曰：「臣聞帝王事父孝，故事天明；事母孝，故事地察。未聞廢父子之倫，而能事天地主百神者也。今禮官失考典章，遏絕陛下純孝之心，納陛下於與為人後之非，而滅武宗之統，奪獻帝之宗，且使興國太后壓於慈壽太后，禮莫之盡，三綱頓廢，非常之變也。乃自張璁、霍韜獻議，論者指為幹進，逆箝人口，致達禮者不敢駁議。切念陛下侍興國太后，慨興獻帝弗祀，已三年矣，拊心出涕，不知其幾。願速發明詔，稱孝宗曰『皇伯考』，興獻帝『皇考』，別立廟大內，正興國太后之禮，定稱聖母，庶協事天事地之道。至朝臣所執不過宋《濮議》耳。按宋範純仁告英宗曰『陛下昨受仁宗詔，親許為之子，至於封爵，悉用皇子故事，與入繼之主不同』，則宋臣之論，亦自有別。今陛下奉祖訓入繼大統，未嘗受孝宗詔為之子也，則陛下非為人後，而為入繼之主也明甚。考興獻帝，母興國太后，又何疑？臣聞非天子不議禮；天下有道，禮樂自天子出。臣久欲以請，乃者復得席書、方獻夫二疏。伏望奮然裁斷，將臣與二臣疏並付禮官，令臣等面質。」
HCH_012_196_000178	帝大喜，明年正月手批議行。
HCH_012_196_000179	三月，萼復上疏曰：「自古帝王相傳，統為重，嗣為輕。故高皇帝法前王，著兄終弟及之訓。陛下承祖宗大統，正遵高皇帝制。執政乃無故任己私，背祖訓，其為不道，尚可言哉。臣聞道路人言，執政窺伺陛下至情不已，則加一皇字而已。夫陛下之孝其親，不在於皇不皇，惟在於考不考。使考獻帝之心可奪，雖加千百字徽稱，何益於孝？陛下遂終其身為無父人矣。逆倫悖義如此，猶可使與斯議哉！」
HCH_012_196_000180	與璁疏並上。
HCH_012_196_000181	帝益大喜，召赴京。
HCH_012_196_000182	初，議禮諸臣無力詆執政者，至萼遂斥為不道，且欲不使議。
HCH_012_196_000183	其言恣肆無忌，朝士尤疾之。
HCH_012_196_000184	召命下，眾益駭愕，群起排擊，帝不為動。
HCH_012_196_000185	萼復偕璁論列不已，遂召為翰林學士，卒用其言。
HCH_012_196_000186	萼自是受知特深。
HCH_012_196_000187	四年春，給事中柯維熊言：「陛下親君子而君子不容，如林俊、孫交、彭澤之去是也。遠小人而小人尚在，如張璁、桂萼之用是也。且今伏闕諸臣多死徙，而御史王懋、郭楠又謫譴，竊以為罰過重矣。」
HCH_012_196_000188	萼、璁遂求去，優詔慰留。
HCH_012_196_000189	尋進詹事兼翰林學士。
HCH_012_196_000190	議世廟神道及太后謁廟禮，復排廷議，希合帝指。
HCH_012_196_000191	帝益以為賢，兩人氣益盛。
HCH_012_196_000192	而閣臣抑之，不令與諸翰林等。
HCH_012_196_000193	兩人乃連章攻費宏並石缶，齮之去。
HCH_012_196_000194	給事中陳洸犯重辟，萼與尚書趙鑒攘臂爭，為南京給事中所劾，不問。
HCH_012_196_000195	嘗陳時政，請預蠲六年田租，更登極初宿弊，寬登聞鼓禁約，復塞上開中制，懲奸徒阻絕養濟院，聽窮民耕城垣陾地，停外吏赴部考滿，申聖敬，廣聖孝，凡數事。
HCH_012_196_000196	多議行。
HCH_012_196_000197	六年三月，進禮部右侍郎，兼官如故。
HCH_012_196_000198	時方京察，南京言官拾遺及萼。
HCH_012_196_000199	萼上言：「故輔楊廷和廣植私黨，蔽聖聰者六年，今次第斥逐，然遺奸在言路。昔憲宗初年，命科道拾遺後，互相糾劾，言路遂清，請舉行如制。」
HCH_012_196_000200	章下吏部，侍郎孟春等言：「憲宗無此詔。萼被論報復，無以厭眾心。」
HCH_012_196_000201	萼言：「詔出憲宗文集。春欲媚言官，宜並按問。」
HCH_012_196_000202	章下部再議，春等言成化中科道有超擢巡撫不稱者，憲宗命互劾，去者七人，非考察拾遺比。
HCH_012_196_000203	帝終然萼言，趣令速舉。
HCH_012_196_000204	給事御史爭之，並奪俸。
HCH_012_196_000205	春等乃以御史儲良才等四人名上。
HCH_012_196_000206	帝獨黜良才，而特旨斥給事中鄭自璧、孟奇。
HCH_012_196_000207	且令部院再核，復黜給事中余經等四人、南京給事中顧溱等數人，乃已。
HCH_012_196_000208	其年九月改吏部左侍郎。
HCH_012_196_000209	是月拜禮部尚書，兼翰林學士。
HCH_012_196_000210	故事，尚書無兼學士者，自萼始。
HCH_012_196_000211	甫逾月，遷吏部尚書，賜銀章二，曰「忠誠靜慎」，曰「繩愆匡違」，令密封言事與輔臣埒。
HCH_012_196_000212	七年正月，手敕加太子太保。
HCH_012_196_000213	《明倫大典》成，加少保兼太子太傅。
HCH_012_196_000214	萼既得誌，日以報怨為事。
HCH_012_196_000215	陳九疇、李福達、陳洸之獄，先後株連彭澤、馬錄、葉應驄等甚眾，或被陷至謫戍。
HCH_012_196_000216	廷臣莫不畏其兇威。
HCH_012_196_000217	獨疏薦建言獄罪鄧繼曾、季本等，因事貶謫黃國用、劉秉鑒等，諸人得量移。
HCH_012_196_000218	世亦稍以此賢萼。
HCH_012_196_000219	然王守仁之起也，萼實薦之。
HCH_012_196_000220	已，銜其不附己，力齮龁。
HCH_012_196_000221	及守仁卒，極言醜詆，奪其世封，諸恤典皆不予。
HCH_012_196_000222	八年二月命以本官兼武英殿大學士入參機務。
HCH_012_196_000223	初，萼、璁赴召，廷臣欲仿先朝馬順故事，於左順門捶殺之，走武定侯郭勛家以免。
HCH_012_196_000224	勛遂與深相結，亦蒙帝眷典禁兵。
HCH_012_196_000225	久之，勛奸狀大露，璁、霍韜力庇勛。
HCH_012_196_000226	萼知帝已惡之，獨疏其兇暴貪狡數事，勛遂獲罪。
HCH_012_196_000227	楊一清為首輔持重，萼、璁好紛更，且惡其壓己，遂不相能。
HCH_012_196_000228	給事中孫應奎請鑒別三臣賢否，詆萼最力。
HCH_012_196_000229	帝已疑萼，令滌宿愆，全君臣終始之義。
HCH_012_196_000230	萼乃大懼，疏辨，且稱疾乞休。
HCH_012_196_000231	帝報曰：「卿行事須勉徇公議，庶不負前日忠。」
HCH_012_196_000232	萼益懼。
HCH_012_196_000233	給事中王準因劾萼舉私人李夢鶴為御醫。
HCH_012_196_000234	詔下吏部，言夢鶴由考選，無私。
HCH_012_196_000235	帝終以為疑，命太醫院更考。
HCH_012_196_000236	言官知帝意已移，給事中陸粲極論其罪，並言夢鶴與萼家人吳從周、序班桂林居間行賄事。
HCH_012_196_000237	奏入，帝大悟，立奪萼官，以尚書致仕。
HCH_012_196_000238	璁亦罷政。
HCH_012_196_000239	帝復列二人罪狀詔廷臣，略言：「其自用自恣，負君負國，所為事端昭然眾見，而萼尤甚。法當置刑典，特寬貸之。」
HCH_012_196_000240	遂下夢鶴等法司，皆首服。
HCH_012_196_000241	無何，霍韜兩疏訟萼，言一清與法司構成萼贓罪。
HCH_012_196_000242	一清遂去位，刑部尚書周倫調南京，郎中、員外皆奪職，命法司會錦衣鎮撫官再讞。
HCH_012_196_000243	乃言夢鶴等假托行私，與萼無與。
HCH_012_196_000244	詔削夢鶴、林籍，從周論罪，萼復散官。
HCH_012_196_000245	是時璁已召還。
HCH_012_196_000246	史館儒士蔡圻知帝必復萼，疏頌萼功，請召之。
HCH_012_196_000247	帝乃賜敕，令撫按官趣上道。
HCH_012_196_000248	萼未至，國子生錢潮等復請趣萼。
HCH_012_196_000249	帝怒曰：「大臣進退，幺麽敢與聞耶？」
HCH_012_196_000250	並圻下吏。
HCH_012_196_000251	明年四月還朝，盡復所奪官，仍參機務。
HCH_012_196_000252	萼初銳意功名，勇任事，不恤物議，驟被摧抑，氣為之懾，不敢復放恣。
HCH_012_196_000253	居位數月，屢引疾，帝輒優旨慰留。
HCH_012_196_000254	十年正月得請歸，卒於家。
HCH_012_196_000255	贈太傅，謚文襄。
HCH_012_196_000256	萼所論奏，《帝王心學論》、《皇極論》、《易·復卦》、《禮·月令》及進《禹貢圖》、《輿地圖說》，皆有裨君德時政。
HCH_012_196_000257	性猜狠，好排異己，以故不為物論所容。
HCH_012_196_000258	始與璁相得歡甚，比同居政府，遂至相失。
HCH_012_196_000259	方獻夫，字叔賢，南海人。
HCH_012_196_000260	生而孤。
HCH_012_196_000261	弱冠舉弘治十八年進士，改庶吉士。
HCH_012_196_000262	乞歸養母，遂丁母憂。
HCH_012_196_000263	正德中，授禮部主事，調吏部，進員外郎。
HCH_012_196_000264	與主事王守仁論學，悅之，遂請為弟子。
HCH_012_196_000265	尋謝病歸，讀書西樵山中者十年。
HCH_012_196_000266	嘉靖改元，夏還朝，道聞「大禮」議未定，草疏曰：先王制禮，本緣人情。
HCH_012_196_000267	君子論事，當究名實。
HCH_012_196_000268	竊見近日禮官所議，有未合乎人情，未當乎名實者，一則守《禮經》之言，一則循宋儒之說也。
HCH_012_196_000269	臣獨以為不然。
HCH_012_196_000270	按《禮經·喪服》傳曰「何如而可以為人後？支子可也」。
HCH_012_196_000271	又曰「為人後者孰後？後大宗也」。
HCH_012_196_000272	「大宗者，尊之統也」。
HCH_012_196_000273	「不可以絕，故族人以支子後大宗也。適子不得後大宗」。
HCH_012_196_000274	為是禮者，蓋謂有支子而後可以為人後，未有絕人之後以為人後者也。
HCH_012_196_000275	今興獻帝止生陛下一人，別無支庶，乃使絕其後而後孝宗，豈人情哉！
HCH_012_196_000276	且為人後者，父嘗立之為子，子嘗事之為父，故卒而服其服。
HCH_012_196_000277	今孝宗嘗有武宗矣，未嘗以陛下為子。
HCH_012_196_000278	陛下於孝宗未嘗服三年之服，是實未嘗後孝宗也，而強稱之為考，豈名實哉！
HCH_012_196_000279	為是議者，未見其合於《禮經》之言也。
HCH_012_196_000280	又按程頤《濮議》謂「英宗既以仁宗為父，不當以濮王為親」。
HCH_012_196_000281	此非宋儒之說不善，實今日之事不同。
HCH_012_196_000282	蓋仁宗嘗育英宗於宮中，是實為父子。
HCH_012_196_000283	孝宗未嘗育陛下於宮中，其不同者一。
HCH_012_196_000284	孝宗有武宗為子矣，仁宗未嘗有子也，其不同者二。
HCH_012_196_000285	濮王別有子可以不絕，興獻帝無別子也，其不同者三。
HCH_012_196_000286	豈得以濮王之事比今日之事哉？
HCH_012_196_000287	為是議者，未見其善述宋儒之說也。
HCH_012_196_000288	若謂孝宗不可無後，故必欲陛下為子，此尤不達於大道者也。
HCH_012_196_000289	推孝宗之心，所以必欲有後者，在不絕祖宗之祀，不失天下社稷之重而已，豈必拘拘父子之稱，而後為有後哉。
HCH_012_196_000290	孝宗有武宗，武宗有陛下，是不絕祖宗之祀，不失天下社稷之重矣，是實為有後也。
HCH_012_196_000291	且武宗君天下十有六年。
HCH_012_196_000292	不忍孝宗之無後，獨忍武宗之無後乎？
HCH_012_196_000293	此尤不通之說也。
HCH_012_196_000294	夫興獻帝當父也，而不得父。
HCH_012_196_000295	孝宗不當父也，而強稱為父。
HCH_012_196_000296	武宗當繼也，而不得繼。
HCH_012_196_000297	是一舉而三失焉，臣未見其可也。
HCH_012_196_000298	且天下未嘗有無父之國也。
HCH_012_196_000299	瞽瞍殺人，舜竊負而逃。
HCH_012_196_000300	今使陛下舍其父而有天下，陛下何以為心哉！
HCH_012_196_000301	臣知陛下純孝之心，寧不有天下，決不忍不父其父也。
HCH_012_196_000302	說者又謂興獻帝不當稱帝，此尤不達於大道者也。
HCH_012_196_000303	孟子曰「孝子之至，莫大乎尊親」。
HCH_012_196_000304	周公追王太王王季，子思以為達孝。
HCH_012_196_000305	豈有子為天子，父不得稱帝者乎？
HCH_012_196_000306	今日之事，臣嘗為之說曰：陛下之繼二宗，當繼統而不繼嗣。
HCH_012_196_000307	興獻之異群廟，在稱帝而不稱宗。
HCH_012_196_000308	夫帝王之體，與士庶不同。
