HCH_012_013_000001	憲宗繼天凝道誠明仁敬崇文肅武宏德聖孝純皇帝，諱見深，英宗長子也。
HCH_012_013_000150	夏四月，京師久旱，運河水涸。
HCH_012_013_000151	癸酉，遣使禱於郊社、山川、淮瀆、東海之神。
HCH_012_013_000152	乙酉，錄囚。
HCH_012_013_000153	丁亥，遣使錄天下囚。
HCH_012_013_000154	五月癸丑，武靖侯趙輔為平虜將軍，充總兵官，節制各邊軍馬，同王越禦癿加思蘭。
HCH_012_013_000155	秋九月丙午，諭安南黎灝還占城侵地。
HCH_012_013_000156	冬十一月己酉，寧晉伯劉聚代趙輔為將軍，屯延綏。
HCH_012_013_000157	十二月癸酉，振京師饑民。
HCH_012_013_000158	是年，孛羅忽、癿加思蘭屢入安邊營、花馬池，犯固原、寧夏、平涼、臨鞏、環慶，南至通渭。
HCH_012_013_000159	琉球、哈密、安南入貢。
HCH_012_013_000160	九年春正月丁未，大祀天地於南郊。
HCH_012_013_000161	壬子，劉聚、王越敗癿加思蘭於漫天嶺。
HCH_012_013_000162	是月，土魯番速檀阿力破哈密，據之。
HCH_012_013_000163	夏四月辛酉朔，日有食之。
HCH_012_013_000164	甲子，福餘三衞寇遼東，總兵官歐信擊敗之。
HCH_012_013_000165	戊辰，盡免山東稅糧。
HCH_012_013_000166	瘞京畿暴骸。
HCH_012_013_000167	壬午，閱武臣騎射於西苑。
HCH_012_013_000168	秋七月壬辰，巡撫延綏都御史余子俊敗癿加思蘭於榆林澗。
HCH_012_013_000169	九月辛卯，鎮守浙江中官李義杖殺寧波衞指揮馬璋，詔勿問。
HCH_012_013_000170	庚子，王越襲滿都魯、孛羅忽、癿加思蘭於紅鹽池，大破之。
HCH_012_013_000171	諸部漸出河套。
HCH_012_013_000172	冬十一月丁酉，復閱騎射於西苑。
HCH_012_013_000173	是年，免湖廣、畿內、山西、南畿、陝西被災稅糧。
HCH_012_013_000174	振畿內、陝西饑，振山西者再，山東者三。
HCH_012_013_000175	哈密、琉球、暹羅入貢。
HCH_012_013_000176	十年春正月丁亥朔，振京師貧民。
HCH_012_013_000177	丁酉，大祀天地於南郊。
HCH_012_013_000178	癸卯，王越總制延綏、甘肅、寧夏三邊，駐固原。
HCH_012_013_000179	丙午，召劉聚還。
HCH_012_013_000180	三月，免南畿、湖廣被災秋糧。
HCH_012_013_000181	夏五月戊申，申藏妖書之禁。
HCH_012_013_000182	是月，免山西、陝西被災秋糧。
HCH_012_013_000183	閏六月乙巳，築邊牆自紫城砦至花馬池。
HCH_012_013_000184	秋七月甲寅，免江西被災秋糧。
HCH_012_013_000185	八月辛卯，都督同知趙勝為平虜將軍，充總兵官，太監劉恆、覃平監軍，討癿加思蘭。
HCH_012_013_000186	九月癸丑朔，日有食之。
HCH_012_013_000187	乙卯，免南畿水災秋糧。
HCH_012_013_000188	冬十一月丙子，免河南被災稅糧。
HCH_012_013_000189	十二月己丑，罷寶慶諸府採金。
HCH_012_013_000190	甲午，錄妖書名示天下。
HCH_012_013_000191	是年，琉球、烏斯藏、土魯番入貢。
HCH_012_013_000192	十一年春正月癸亥，大祀天地於南郊。
HCH_012_013_000193	二月甲申，禁酷刑。
HCH_012_013_000194	三月壬子，賜謝遷等進士及第、出身有差。
HCH_012_013_000195	辛未，彭時卒。
HCH_012_013_000196	夏四月乙酉，吏部侍郎劉珝、禮部侍郎劉吉並兼翰林學士，入閣預機務。
HCH_012_013_000197	壬辰，乾清門災。
HCH_012_013_000198	己亥，錄囚。
HCH_012_013_000199	五月癸酉，免湖廣被災秋糧。
HCH_012_013_000200	秋八月辛巳，浚通惠河。
HCH_012_013_000201	丁亥，滿都魯、癿加思蘭遣使來朝。
HCH_012_013_000202	九月丁未朔，日有食之。
HCH_012_013_000203	冬十一月癸丑，立皇子祐樘為皇太子，大赦。
HCH_012_013_000204	十二月戊子，復郕王帝號。
HCH_012_013_000205	丁酉，申自宮之禁。
HCH_012_013_000206	是年，土魯番、琉球、暹羅、滿剌加、安南入貢。
HCH_012_013_000207	命琉球貢使二年一至。
