HCH_010_102_000001	蕭奉先，天祚元妃之兄弟也。
HCH_010_102_000048	後執處溫問之，處溫曰：「臣父子於宣宗有定策功，宜世蒙宥容，可使因讒獲罪？」
HCH_010_102_000049	後曰：「向使魏國王如周公，則終享親賢之名於後世。誤王者皆汝父子，何功之有！」
HCH_010_102_000050	並數其前罪惡。
HCH_010_102_000051	處溫無以對，乃賜死，奭亦伏誅。
HCH_010_102_000052	張琳，沈州人。
HCH_010_102_000053	幼有大志。
HCH_010_102_000054	壽隆末，為秘書中允。
HCH_010_102_000055	天祚即位，累遷戶部使。
HCH_010_102_000056	頃之，擢南府宰相。
HCH_010_102_000057	初，天祚之敗於女直也，意謂蕭奉先不知兵，乃召琳付以東征事。
HCH_010_102_000058	琳以舊制，凡軍國大計，漢人不與，辭之。
HCH_010_102_000059	上不允，琳奏曰：「前日之敗，失於輕舉。若用漢兵二十萬分道進討，無不克者。」
HCH_010_102_000060	上許其半，仍詔中京、上京、長春、遼西四路計戶產出軍。
HCH_010_102_000061	時有起至二百軍者，生業蕩散，民甚若之。
HCH_010_102_000062	四路軍甫集，尋復遁去。
HCH_010_102_000063	及中京陷，天祚幸雲中，留琳與李處溫佐魏國王淳守南京。
HCH_010_102_000064	處溫父子召琳，欲立淳為帝，琳曰：「王雖帝胄，初無上命；攝政則可，即真則不可。」
HCH_010_102_000065	處溫曰：「今日之事，天人所與，豈可易也！」
HCH_010_102_000066	琳雖有難色，亦勉從之。
HCH_010_102_000067	淳既稱帝，諸將咸居權要，琳獨守太師，十日一朝，平章軍國大事。
HCH_010_102_000068	陽以元老尊之，實則不使與政。
HCH_010_102_000069	琳由是郁悒而卒。
HCH_010_102_000070	耶律余睹，一名余都姑，國族之近者也。
HCH_010_102_000071	慷慨尚氣義。
HCH_010_102_000072	保大初，歷官副都統。
HCH_010_102_000073	其妻天祚文妃之妹，文妃生晉王，最賢，國人皆屬望。
HCH_010_102_000074	時蕭奉先之妹亦為天祚元妃，生秦王。
HCH_010_102_000075	奉先恐秦王不得立，深忌余睹，將潛圖之。
HCH_010_102_000076	適耶律撻葛裏之妻會余睹之妻於軍中，奉先諷人誣余睹結駙馬蕭昱、撻葛裏，謀立晉王，尊天祚為太上皇。
HCH_010_102_000077	事覺，殺昱及撻葛裏妻，賜文妃死。
HCH_010_102_000078	余睹在軍中聞之，懼不能自明被誅，即引兵千餘，並骨肉軍帳叛歸女直。
HCH_010_102_000079	會大霖雨，道途留阻。
HCH_010_102_000080	天祚遣知奚王府蕭遐買、北宰相蕭德恭、大常袞耶律諦裏姑、歸州觀察使蕭和尚奴、四軍太師蕭幹追捕甚急。
HCH_010_102_000081	至閭山，及之。
HCH_010_102_000082	諸將議曰：「蕭奉先恃寵，蔑害官兵。余睹乃宗室雄才，素不肯為其下。若擒之，則他日吾輩皆余睹矣。不如縱之。」
HCH_010_102_000083	還，紿雲追襲不及。
HCH_010_102_000084	余睹既入女直，為其國前鋒，引婁室孛堇兵攻陷州郡，不測而至。
HCH_010_102_000085	天祚聞之大驚，知不能敵，率衛兵入夾山。
HCH_010_102_000086	余睹在女直為監軍，久不調，意不自安，乃假遊獵，遁西夏。
HCH_010_102_000087	夏人問：「汝來有兵幾何？」
HCH_010_102_000088	余睹以二三百對，夏人不納，卒。
HCH_010_102_000089	論曰：遼之亡也，雖孽降自天，亦柄國之臣有以誤之也。
HCH_010_102_000090	當天慶而後，政歸後族。
HCH_010_102_000091	奉先沮天祚防微之計，陷晉王非罪之誅，夾山之禍已見於此矣。
HCH_010_102_000092	處溫副魏王以僭號，結宋將以賣國，跡其奸佞，如出一軌。
HCH_010_102_000093	嗚呼！
HCH_010_102_000094	天祚之所倚毗者若此，國欲不亡，得乎？
HCH_010_102_000095	張琳足足守位，余睹反覆自困，則又何足議哉！
HCH_010_102_000096	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
