HCH_012_127_000001	李善長，字百室，定遠人。
HCH_012_127_000055	貴富極，意稍驕，帝始微厭之。
HCH_012_127_000056	四年以疾致仕，賜臨濠地若干頃，置守塚戶百五十，給佃戶千五百家，儀仗士二十家。
HCH_012_127_000057	逾年，病癒，命董建臨濠宮殿。
HCH_012_127_000058	徙江南富民十四萬田濠州，以善長經理之，留濠者數年。
HCH_012_127_000059	七年擢善長弟存義為太僕丞，存義子伸、佑皆為群牧所官。
HCH_012_127_000060	九年以臨安公主歸其子祺，拜駙馬都尉。
HCH_012_127_000061	初定婚禮，公主修婦道甚肅。
HCH_012_127_000062	光寵赫奕，時人豔之。
HCH_012_127_000063	祺尚主後一月，御史大夫汪廣洋、陳寧疏言：「善長狎寵自恣，陛下病不視朝幾及旬，不問候。駙馬都尉祺六日不朝，宣至殿前，又不引罪，大不敬。」
HCH_012_127_000064	坐削歲祿千八百石。
HCH_012_127_000065	尋命與曹國公李文忠總中書省大都督府御史臺，同議軍國大事，督圜丘工。
HCH_012_127_000066	丞相胡惟庸初為甯國知縣，以善長薦，擢太常少卿，後為丞相，因相往來。
HCH_012_127_000067	而善長弟存義子佑，惟庸從女婿也。
HCH_012_127_000068	十三年，惟庸謀反伏誅，坐党死者甚眾，善長如故。
HCH_012_127_000069	御史臺缺中丞，以善長理台事，數有所建白。
HCH_012_127_000070	十八年，有人告存義父子實惟庸黨者，詔免死，安置崇明。
HCH_012_127_000071	善長不謝，帝銜之。
HCH_012_127_000072	又五年，善長年已七十有七，耄不檢下。
HCH_012_127_000073	嘗欲營第，從信國公湯和假衛卒三百人，和密以聞。
HCH_012_127_000074	四月，京民坐罪應徙邊者，善長數請免其私親丁斌等。
HCH_012_127_000075	帝怒按斌，斌故給事惟庸家，因言存義等往時交通惟庸狀。
HCH_012_127_000076	命逮存義父子鞫之，詞連善長，云：「惟庸有反謀，使存義陰說善長。善長驚叱曰：「爾言何為者！審爾，九族皆滅！』已，又使善長故人楊文裕說之云：「事成當以淮西地封為王。』善長驚不許，然頗心動。惟庸乃自往說善長，猶不許。居久之，惟庸復遣存義進說，善長歎曰：「吾老矣。吾死，汝等自為之！』」或又告善長云：「將軍藍玉出塞，至捕魚兒海，獲惟庸通沙漠使者封績，善長匿不以聞。」於是御史交章劾善長。而善長奴盧仲謙等，亦告善長與惟庸通賂遺，交私語。獄具，謂善長元勳國戚，知逆謀不發舉，狐疑觀望懷兩端，大逆不道。會有言星變，其占當移大臣。遂並其妻女弟侄家口七十餘人誅之。而吉安侯陸仲亨、延安侯唐勝宗、平涼侯費聚、南雄侯趙庸、滎陽侯鄭遇春、宜春侯黃彬、河南侯陸聚等，皆同時坐惟庸黨死，而已故營陽侯楊璟、濟甯侯顧時等追坐者又若干人。帝手詔條列其罪，傅著獄辭，為《昭示奸黨三錄》，佈告天下。善長子祺與主徙江浦，久之卒。祺子芳、茂，以公主恩得不坐。芳為留守中衛指揮，茂為旗手衛鎮撫，罷世襲。善長死之明年，虞部郎中王國用上言：「善長與陛下同心，出萬死以取天下，勳臣第一，生封公，死封王，男尚公主，親戚拜官，人臣之分極矣。藉令欲自圖不軌，
HCH_012_127_000077	尚未可知，而今謂其欲佐胡惟庸者，則大謬不然。
HCH_012_127_000078	人情愛其子，必甚于兄弟之子，安享萬全之富貴者，必不僥倖萬一之富貴。
HCH_012_127_000079	善長與惟庸，猶子之親耳，于陛下則親子女也。
HCH_012_127_000080	使善長佐惟庸成，不過勳臣第一而已矣，太師國公封王而已矣，尚主納妃而已矣，寧復有加於今日？
HCH_012_127_000081	且善長豈不知天下之不可幸取。
HCH_012_127_000082	當元之季，欲為此者何限，莫不身為齏粉，覆宗絕祀，能保首領者幾何人哉？
HCH_012_127_000083	善長胡乃身見之，而以衰倦之年身蹈之也。
HCH_012_127_000084	凡為此者，必有深仇激變，大不得已，父子之間或至相挾以求脫禍。
HCH_012_127_000085	今善長之子祺備陛下骨肉親，無纖芥嫌，何苦而忽為此。
HCH_012_127_000086	若謂天象告變，大臣當災，殺之以應天象，則尤不可。
HCH_012_127_000087	臣恐天下聞之，謂功如善長且如此，四方因之解體也。
HCH_012_127_000088	今善長已死，言之無益，所願陛下作戒將來耳。
HCH_012_127_000089	太祖得書，竟亦不罪也。
HCH_012_127_000090	汪廣洋，字朝宗，高郵人，流寓太平。
HCH_012_127_000091	太祖渡江，召為元帥府令史，江南行省提控。
HCH_012_127_000092	置正軍都諫司，擢諫官，遷行省都事，累進中書右司郎中。
HCH_012_127_000093	尋知驍騎衛事，參常遇春軍務。
HCH_012_127_000094	下贛州，遂居守，拜江西參政。
HCH_012_127_000095	洪武元年，山東平，以廣洋廉明持重，命理行省，撫納新附，民甚安之。
HCH_012_127_000096	是年召入為中書省參政。
HCH_012_127_000097	明年出參政陝西。
HCH_012_127_000098	三年，李善長病，中書無官，召廣洋為左丞。
HCH_012_127_000099	時右丞楊憲專決事。
HCH_012_127_000100	廣洋依違之，猶為所忌，嗾御史劾廣洋奉母無狀。
HCH_012_127_000101	帝切責，放還鄉。
HCH_012_127_000102	憲再奏，徙海南。
HCH_012_127_000103	憲誅，召還。
HCH_012_127_000104	其冬，封忠勤伯，食祿三百六十石。
HCH_012_127_000105	誥詞稱其剸繁治劇，屢獻忠謀，比之子房、孔明。
HCH_012_127_000106	及善長以病去位，遂以廣洋為右丞相，參政胡惟庸為左丞。
HCH_012_127_000107	廣洋無所建白，久之，左遷廣東行省參政，而帝心終善廣洋，復召為左御史大夫。
HCH_012_127_000108	十年復拜右丞相。
HCH_012_127_000109	廣洋頗耽酒，與惟庸同相，浮沉守位而已。
HCH_012_127_000110	帝數誡諭之。
HCH_012_127_000111	十二年十二月，中丞塗節言劉基為惟庸毒死，廣洋宜知狀。
HCH_012_127_000112	帝問之，對曰：「無有。」
HCH_012_127_000113	帝怒，責廣洋朋欺，貶廣南。
HCH_012_127_000114	舟次太平，帝追怒其在江西曲庇文正，在中書不發楊憲奸，賜敕誅之。
HCH_012_127_000115	廣洋少師余闕，淹通經史，善篆隸，工為歌詩。
HCH_012_127_000116	為人寬和自守，與奸人同位而不能去，故及於禍。
HCH_012_127_000117	贊曰：明初設中書省，置左右丞相，管領樞要，率以勳臣領其事。
HCH_012_127_000118	然徐達、李文忠等數受命征討，未嘗專理省事。
HCH_012_127_000119	其從容丞弼之任者，李善長、汪廣洋、胡惟庸三人而已。
HCH_012_127_000120	惟庸敗後，丞相之官遂廢不設。
HCH_012_127_000121	故終明之世，惟善長、廣洋得稱丞相。
HCH_012_127_000122	獨惜善長以布衣徒步，能擇主於草昧之初，委身戮力，贊成鴻業，遂得剖符開國，列爵上公，乃至富極貴溢，於衰暮之年自取覆滅。
HCH_012_127_000123	廣洋謹厚自守，亦不能發奸遠禍。
HCH_012_127_000124	俱致重譴，不亦大負爰立之初心，而有愧置諸左右之職業也夫？
