HCH_013_066_000000	神宗萬曆二十一年二月，京察竣。
HCH_013_066_000159	時顧憲成移書向高言：「近日輔相，以模稜為工，賢否溷淆。」
HCH_013_066_000160	引張禹、胡廣為戒。
HCH_013_066_000161	廷機故出沈一貫門，人多疑之。
HCH_013_066_000162	給事中王元翰、胡忻、曹于汴、宋一韓，御史陳宗契等，交章劾廷機。
HCH_013_066_000163	廷機故清介，而攻之者詆為輦金奧援，御史葉永盛極辨之。
HCH_013_066_000164	廷機伏闕辭，不允。
HCH_013_066_000165	上下旨切責元瀚等。
HCH_013_066_000166	秋七月，總督漕運李三才請補大僚，選科、道，用廢棄。
HCH_013_066_000167	其論廢棄曰：「諸臣祗以議論意見一觸當路，永棄不收，總之於皇上無忤。今乃假主威以錮諸臣，又借忤主之名以飾主過。負國負君，莫此為甚。」
HCH_013_066_000168	參政姜士昌齎表入京，奏別遺奸，錄遺逸。
HCH_013_066_000169	遺奸指王錫爵、沈一貫。
HCH_013_066_000170	朱賡又曰：「古今稱廉相，必稱唐楊綰、杜黃裳。然二賢皆推賢好士，惟恐不及。而王安石用之，驅逐諸賢，竟以禍宋。」
HCH_013_066_000171	時李廷機有清名，故士昌規及之。
HCH_013_066_000172	賡、廷機上疏辨，降士昌廣西僉事。
HCH_013_066_000173	御史宋燾論救，謫平定州判，加謫士昌興安典史。
HCH_013_066_000174	三十六年五月，禮部主事鄭振光劾輔臣朱賡、李廷機大罪十有二，指一貫、賡、廷機為過去、現在、未來三身，布置接受，從風而靡。
HCH_013_066_000175	上以其誣詆，謫普安州判。
HCH_013_066_000176	九月，先是，王錫爵辭召，手疏言：「皇上於章奏一概留中，特鄙棄之，如禽鳥之音不以入耳，然下以此愈囂。臣謂君父至尊，必自立於無過之地。請幡然降旨，盡除關稅，召還內差，散內庫之有餘，濟邊儲之不足，天下必歡呼踊躍，以頌聖德。留中章疏，亦自有緩急。如推補九卿，以吏部、都察院為先，庶官以科、道為急。科、道考選久停，與其故裁抑，留不肖，以塞賢者之塗，孰若稍疏通，簡新進，以決舊日之壅。此今日攬權上策也。」
HCH_013_066_000177	時疏甚密，而都御史李三才鉤得之，泄言於衆，謂錫爵以臺、省為禽獸。
HCH_013_066_000178	於是南京戶科給事中段然首論錫爵與朱賡密揭，擅權亂政。
HCH_013_066_000179	不報。
HCH_013_066_000180	起孫丕揚太子少保、吏部尚書。
HCH_013_066_000181	十月壬戌，起吏部文選郎中顧憲成為南京光祿少卿，辭不至。
HCH_013_066_000182	丙寅，工科給事中何士晉劾錦衣衞左都督王之楨為輔臣爪牙心腹，亟宜顯斥。
HCH_013_066_000183	禮科給事中張鳳彩、刑科都給事中蕭近高、給事中張國儒交章糾王錫爵、朱賡。
HCH_013_066_000184	國儒言：「臺、省五十餘人，共糾朱賡奸狀，而尚書趙世卿曲媚之。」
HCH_013_066_000185	俱不報。
HCH_013_066_000186	十一月壬子，朱賡卒於官。
HCH_013_066_000187	賡性淳謹，同鄉沈一貫當國，善調護，故妖書、楚獄，其禍不蔓。
HCH_013_066_000188	賡卒，廷機當首揆，言路益攻之。
HCH_013_066_000189	廷機決計不出，葉向高獨相，而攻廷機者未已也，遂移居演象所之真武廟。
HCH_013_066_000190	乞放，凡五年，至萬曆四十年，始得請。
HCH_013_066_000191	寒暑閉門無履跡。
HCH_013_066_000192	三十七年春二月丙寅，御史鄭繼芳劾工科右給事中王元翰貪婪不法。
HCH_013_066_000193	元翰亦奏辨，繼芳為王錫爵、申時行吐氣。
HCH_013_066_000194	初，給事中王紹徽善湯賓尹，營入閣甚急，嘗語元翰曰：「公語言妙天下，即一札揚湯君，湯君且為公死，世間如湯君可恃也。」
HCH_013_066_000195	元翰辭焉。
HCH_013_066_000196	紹徽銜之，因嗾繼芳摭元翰。
HCH_013_066_000197	夏四月，吏科糾擅去諸臣。
HCH_013_066_000198	初，工科給事中孫善繼拜疏竟去，劉道隆繼之，王元翰、顧天峻、李騰芳、陳治則各先後去。
HCH_013_066_000199	命削善繼籍，道隆等各降秩。
HCH_013_066_000200	時南北科、道互相攻詆，至不可問。
HCH_013_066_000201	戶科給事劉文炳請召鄒元標。
HCH_013_066_000202	不報。
HCH_013_066_000203	十二月乙丑，工部主事邵輔忠論：「總督漕運李三才，結黨徧天下。前圖枚卜，今圖總憲。四岳薦鯀，漢臣諛莽，天下之大可憂也。」
HCH_013_066_000204	時三才需次內臺，輔忠首劾之，繼以御史徐兆魁，三才奏辨。
HCH_013_066_000205	工科給事中馬從龍，御史董兆舒、彭端吾，南京工科給事中金在衡，交章為三才辨。
HCH_013_066_000206	俱不報。
HCH_013_066_000207	三才負才名，初為山東藩臬有聲，民歌思之。
HCH_013_066_000208	撫淮十年，方稅璫橫甚，獨能捕其爪牙，以尺箠斃大盜。
HCH_013_066_000209	三才多取多與，收採物情，用財如流水。
HCH_013_066_000210	顧憲成之左右，譽言日至，憲成信之，亦為游揚。
HCH_013_066_000211	三才嘗宴憲成，止蔬三四色。
HCH_013_066_000212	厥明，盛陳百味，憲成訝而問之。
HCH_013_066_000213	三才曰：「此偶然耳！昨偶乏，即寥寥，今偶有，故羅列。」
HCH_013_066_000214	憲成以此不疑其綺靡。
HCH_013_066_000215	至是，挾縱橫之術，與言者為難，公論詘之。
HCH_013_066_000216	三十八年五月壬子，吏部主事王三善乞勘李三才。
HCH_013_066_000217	不報。
HCH_013_066_000218	前吏部郎中顧憲成遺書葉向高，謂「三才至廉至淡漠，勤學力行，為古醇儒，當行勘以服諸臣心」。
HCH_013_066_000219	時給事中金士衡、段然力保三才，給事中劉時俊、兵部郎中錢寀爭之，紛如聚訟。
HCH_013_066_000220	三十九年二月戊子，總督漕運李三才免。
HCH_013_066_000221	三月，吏部尚書孫丕揚糾御史金明時倡言要挾逃察，命下都察院議處。
HCH_013_066_000222	初，明時巡闕，劾寶坻知縣王淑汴，吏部右侍郎王圖子也。
HCH_013_066_000223	及臨京察，知不免，遂先發攻王圖。
HCH_013_066_000224	御史史記事論之，明時奏辨。
HCH_013_066_000225	主事秦聚奎言：「明時論王圖，在去年十二月。丕揚論明時，在今考察先一日。而卒之明時撓察之疏，杳乎無聞。大臣結黨欺君，天下大勢，趨附秦人，今之丕揚，非復昔之丕揚矣。」
HCH_013_066_000226	於是吏科都給事中曹于汴，御史湯兆京、喬允升，俱以撓察論聚奎、丕揚，奏參聚奎，并以湯賓尹等七人訪單送內閣。
HCH_013_066_000227	閣臣葉向高疏如丕揚指。
HCH_013_066_000228	金明時以不謹免，尋以辨疏犯御諱削籍。
HCH_013_066_000229	四月庚辰，計疏下，命秦聚奎閑住。
HCH_013_066_000230	南京國子監祭酒湯賓尹，郎中張嘉言，主事徐大化，御史劉國縉、王紹徽、喬應甲、岳和聲，降調有差。
HCH_013_066_000231	五月，給事中朱一桂、御史徐兆魁疏稱：「顧憲成講學東林，遙執朝政，結淮撫李三才，傾動一時。孫丕揚、湯兆京、丁元薦角勝附和，京察盡歸黨人。」
HCH_013_066_000232	不報。
HCH_013_066_000233	翰林院修撰韓敬疾去。
HCH_013_066_000234	敬先師事湯賓尹，在禮闈，越房拔為第一。
HCH_013_066_000235	敬有時名，而好縱橫之學，恣色貨之好。
HCH_013_066_000236	時攻賓尹，因及敬。
HCH_013_066_000237	四十年二月癸未，吏部尚書孫丕揚掛冠出都。
HCH_013_066_000238	四十一年二月辛丑，御史劉廷元劾光祿寺少卿于玉立「依附東林，風波翻覆，宜顯斥」。
HCH_013_066_000239	不報。
HCH_013_066_000240	十月，禮科給事中亓詩教言：「今日之爭，始於門戶。門戶始於東林，東林倡於顧憲成，刑部郎中于玉立附焉。憲成自賢，玉立自奸，賢奸各還其人。而奔競招搖，羽翼置之言路，爪牙列在諸曹，關通大內，操縱朝權。顧憲成而在，寧願見之哉？」
HCH_013_066_000241	末刺及葉向高，向高奏辨。
HCH_013_066_000242	四十二年八月癸卯，大學士葉向高致仕。
HCH_013_066_000243	十一月，御史劉廷元參李三才佔廠、盜皇木，結交內侍起官。
HCH_013_066_000244	御史劉光復、給事中官應震等交章論之。
HCH_013_066_000245	命給事中吳亮嗣往勘，亮嗣報其實，下三才舍人於理，三才尋削籍。
HCH_013_066_000246	四十五年三月，京察，革刑部主事王之寀職為民，竇子偁、陸大受皆被斥。
HCH_013_066_000247	時葉向高既去，方從哲獨相，庸庸無所短長。
HCH_013_066_000248	吏部尚書鄭繼之主察，徐紹吉、韓浚佐之。
HCH_013_066_000249	之寀初爭挺擊，為韓浚所糾，部處坐以貪污，子偁、大受有清操，持論與之寀合，亦被逐。
HCH_013_066_000250	時上於奏疏，俱留中，無所處分，惟言路一糾，其人自罷去，不待旨也。
HCH_013_066_000251	於是臺、省之勢積重不返，有齊、楚、浙三方鼎峙之名，齊為亓詩教、韓浚、周永春，楚為官應震、吳亮嗣，浙為劉廷元、姚宗文，勢張甚，湯賓尹輩陰為之主。
HCH_013_066_000252	賓尹負才名而淫污，辛亥京察被斥。
HCH_013_066_000253	至是，察典竣，韓浚以問鄉人給事中張華東。
HCH_013_066_000254	華東曰：「王之寀論甚正，何為重處之？」
HCH_013_066_000255	浚驚愕不語。
HCH_013_066_000256	四十六年十二月，主事鄒之麟奪職閑住。
HCH_013_066_000257	之麟負才名，附給事中亓詩教、韓浚求轉吏部不得，遂訐奏詩教、浚。
HCH_013_066_000258	又擅離任，被斥。
HCH_013_066_000259	四十七年十二月，會推閣員。
HCH_013_066_000260	禮部左侍郎何宗彥以吏科給事中張延登不署名，不得預，御史薛敷教、蕭毅中、左光斗、李徵儀、倪應春、彭際遇、張新詔等，交章惜之。
HCH_013_066_000261	而禮科都給事中亓詩教、兵科薛鳳翔又屢駁具如延登指，各歸責於輔臣方從哲。
HCH_013_066_000262	從哲奏辨。
HCH_013_066_000263	俱不報。
HCH_013_066_000264	先是，國本之論起，廟堂益相水火，上頗厭惡之，斥逐相繼，持論者愈堅，乃一切置之高閣。
HCH_013_066_000265	方從哲獨相七年，上喜其無能而安之。
HCH_013_066_000266	山東趙煥為冢宰，詩教又從哲門人，故其勢尤張。
HCH_013_066_000267	已而鄒之麟倡言張鳳翔為選君，必以年例處姚宗文、劉廷元，齊、浙遂離。
HCH_013_066_000268	之麟既被黜，其友夏嘉遇、魏光國、尹嘉賓、鍾惺皆有才名，俱改用。
HCH_013_066_000269	而嘉遇素潔清，亦與衆共擯。
HCH_013_066_000270	趙興邦為兵垣，仍入禮闈，之麟、嘉遇遂糾之，并及詩教。
HCH_013_066_000271	言路合疏糾嘉遇。
HCH_013_066_000272	興邦遽陞京卿。
HCH_013_066_000273	御史唐世濟助嘉遇攻興邦，而亓、趙之勢衰。
HCH_013_066_000274	時廷議所喧持者，唯禁道學一事，吏治邊防，俱置不理。
HCH_013_066_000275	泰昌元年，即萬曆四十八年也。
HCH_013_066_000276	八月己酉，起鄒元標為大理寺卿。
HCH_013_066_000277	科臣惠世揚上言：「君子小人之進退，關係國家之治亂。然小人不退，則君子不進。」
HCH_013_066_000278	吏部尚書周嘉謨奏列建言得罪諸臣王德完等三十三人。
HCH_013_066_000279	於是王德完、孟養浩、鍾羽正、滿朝薦悉起部、寺諸官。
HCH_013_066_000280	壬戌，以侍讀學士劉一燝、韓爌為禮部尚書兼東閣大學士，直文淵閣。
HCH_013_066_000281	仍諭內閣，特召舊輔葉向高。
HCH_013_066_000282	初，光宗踐祚，踰月崩，未及用向高等。
HCH_013_066_000283	熹宗既即位，乃遣行人徵之。
HCH_013_066_000284	十一月，給事中惠世揚遇災陳言，因參大學士孫如游，薦高攀龍、劉宗周、孫居相、劉策、王之寀、陸大受等。
HCH_013_066_000285	十二月，大學士方從哲致仕。
HCH_013_066_000286	從哲以「紅丸」、「移宮」二案，臺、省交章論之，至是歸。
HCH_013_066_000287	熹宗天啓元年春正月，兵科給事中楊漣予告回籍。
HCH_013_066_000288	漣以「移宮」一案，御史賈繼春侵之，漣因乞歸。
HCH_013_066_000289	御史馬逢臯上言：「楊漣何罪，無罪即功。功在安社稷，罪在攻大璫。罪璫未誅，而發璫罪者先作楚囚之悲。君子退，則小人進矣。」
