HCH_012_332_000001	撒馬兒罕，即漢罽賓地，隋曰漕國，唐復名罽賓，皆通中國。
HCH_012_332_000045	已而使臣還，賜王卜撒因文綺、器物。
HCH_012_332_000046	天順元年命都指揮馬雲等使西域，敕獎其鎖魯檀毋撒，賜彩幣，令護朝使往還。
HCH_012_332_000047	鎖魯檀者，君長之稱，猶蒙古可汗也。
HCH_012_332_000048	七年復命指揮詹升等使其國。
HCH_012_332_000049	成化中，其鎖魯檀阿黑麻三入貢。
HCH_012_332_000050	十九年偕亦思罕酋長貢二獅，至肅州，其使者奏請大臣往迎。
HCH_012_332_000051	職方郎中陸容言：「此無用之物，在郊廟不可為犧牲，在乘輿不可被驂服，宜勿受。」
HCH_012_332_000052	禮官周洪謨等亦言往迎非禮，帝卒遣中使迎之。
HCH_012_332_000053	獅日噉生羊二，醋、酐、蜜酪各二瓶。
HCH_012_332_000054	養獅者，光祿日給酒饌。
HCH_012_332_000055	帝既厚加賜賚，而其使者怕六灣以為輕，援永樂間例為請。
HCH_012_332_000056	禮官議從正統四年例，加彩幣五表裏。
HCH_012_332_000057	使者復以為輕，乃加正、副使各二表裏，從者半之，命中官韋洛、鴻臚署丞海濱送之還。
HCH_012_332_000058	其使者不由故道赴廣東，又多買良家女為妻妾，洛等不為禁止。
HCH_012_332_000059	久之，洛上疏委罪於濱，濱坐下吏。
HCH_012_332_000060	其使者請泛海至滿剌加市狻猊以獻，市舶中官韋眷主之，布政使陳選力陳不可，乃已。
HCH_012_332_000061	弘治二年，其使由滿剌加至廣東，貢獅子、鸚鵡諸物，守臣以聞。
HCH_012_332_000062	禮官耿裕等言：「南海非西域貢道，請卻之。」
HCH_012_332_000063	禮科給事中韓鼎等亦言：「猙獰之獸，狎玩非宜，且騷擾道路，供費不貲，不可受。」
HCH_012_332_000064	帝曰：「珍禽奇獸，朕不受獻，況來非正道，其即卻還。守臣違制宜罪，姑貸之。」
HCH_012_332_000065	禮官又言：「海道固不可開，然不宜絕之已甚，請薄犒其使，量以綺帛賜其王。」
HCH_012_332_000066	制可。
HCH_012_332_000067	明年又偕土魯番貢獅子及哈剌、虎剌諸獸，由甘肅入。
HCH_012_332_000068	鎮守中官傅德、總兵官周玉等先圖形奏聞，即遣人馳驛起送。
HCH_012_332_000069	獨巡按御史陳瑤論其糜費煩擾，請勿納。
HCH_012_332_000070	禮官議如其言，量給犒賞，且言：「聖明在御，屢卻貢獻，德等不能奉行德意，請罪之。」
HCH_012_332_000071	帝曰：「貢使既至，不必卻回，可但遣一二人詣京。獅子諸物，每獸日給一羊，不得妄費。德等貸勿治。」
HCH_012_332_000072	後至十二年始來貢。
HCH_012_332_000073	明年復至。
HCH_012_332_000074	而正德中猶數至。
HCH_012_332_000075	嘉靖二年，貢使又至。
HCH_012_332_000076	禮官言：「諸國使臣在途者遷延隔歲，在京者伺候同賞，光祿、郵傳供費不貲，宜示以期約。」
HCH_012_332_000077	因列上禁制數事，從之。
HCH_012_332_000078	十二年偕天方、土魯番入貢，稱王者至百餘人。
HCH_012_332_000079	禮官夏言等論其非，請敕閣臣議所答。
HCH_012_332_000080	張孚敬等言：「西域諸王，疑出本國封授，或部落自相尊稱。先年亦有至三四十人者，即據所稱答之。若驟議裁革，恐人情觖望，乞更敕禮、兵二部詳議。」
HCH_012_332_000081	於是言及樞臣王憲等謂：「西域稱王者，止土魯番、天方、撒馬兒罕。如日落諸國，稱名雖多，朝貢絕少。弘、正間，土魯番十三入貢，正德間，天方四入貢，稱王者率一人，多不過三人，餘但稱頭目而已。至嘉靖二年、八年，天方多至六七人，土魯番至十一二人，撒馬兒罕至二十七人。孚敬等言三四十人者，幷數三國爾。今土魯番十五王，天方二十七王，撒馬兒罕五十三王，實前此所未有。弘治時回賜敕書，止稱一王。若循撒馬兒罕往歲故事，類答王號，人與一敕，非所以尊中國制外蕃也。蓋帝王之馭外蕃，固不拒其來，亦必限以制，其或名號僭差，言詞侮慢，則必正以大義，責其無禮。今謂本國所封，何以不見故牘？謂部落自號，何以達之天朝？我概給以敕，而彼即據敕恣意往來，恐益擾郵傳，費供億，殫府庫以實谿壑，非計之得也。」
HCH_012_332_000082	帝納其言，國止給一敕，且加詰讓，示以國無二王之義。
HCH_012_332_000083	然諸蕃迄不從，十五年入貢復如故。
HCH_012_332_000084	甘肅巡撫趙載奏：「諸國稱王者至一百五十餘人，皆非本朝封爵，宜令改正，且定貢使名數。通事宜用漢人，毋專用色目人，致交通生釁。」
HCH_012_332_000085	部議從之。
HCH_012_332_000086	二十六年入貢，甘肅巡撫楊博請重定朝貢事宜，禮官復列數事行之。
HCH_012_332_000087	後入貢，迄萬曆中不絕。
HCH_012_332_000088	蓋番人善賈，貪中華互市，既入境，則一切飲食、道途之資，皆取之有司，雖定五年一貢，迄不肯遵，天朝亦莫能難也。
HCH_012_332_000089	其國東西三千餘里，地寬平，土壤膏腴。
HCH_012_332_000090	王所居城，廣十餘里，民居稠密。
HCH_012_332_000091	西南諸蕃之貨皆聚於此，號為富饒。
HCH_012_332_000092	城東北有土屋，為拜天之所，規制精巧，柱皆青石，雕為花文，中設講經之堂。
HCH_012_332_000093	用泥金書經，裹以羊皮。
HCH_012_332_000094	俗禁酒。
HCH_012_332_000095	人物秀美，工巧過於哈烈，而風俗、土產多與之同。
HCH_012_332_000096	其旁近東有沙鹿海牙、達失干、賽藍、養夷，西有渴石、迭里迷諸部落，皆役屬焉。
HCH_012_332_000097	沙鹿海牙，西去撒馬兒罕五百餘里。
HCH_012_332_000098	城居小岡上，西北臨河。
HCH_012_332_000099	河名火站，水勢衝急，架浮梁以渡，亦有小舟。
HCH_012_332_000100	南近山，人多依崖谷而居。
HCH_012_332_000101	園林廣茂。
HCH_012_332_000102	西有大沙洲，可二百里。
HCH_012_332_000103	無水，間有之，咸不可飲。
HCH_012_332_000104	牛馬誤飲之，輒死。
HCH_012_332_000105	地生臭草，高尺餘，葉如蓋，煮其液成膏，即阿魏。
HCH_012_332_000106	又有小草，高一二尺，叢生，秋深露凝，食之如蜜，煮為糖，番名達郎古賓。
HCH_012_332_000107	永樂間，李達、陳誠使其地，其酋即遣使奉貢。
HCH_012_332_000108	宣德七年命中官李貴齎敕諭其酋，賜金織文綺、彩幣。
HCH_012_332_000109	達失干，西去撒馬兒罕七百餘里。
HCH_012_332_000110	城居平原，周二里。
HCH_012_332_000111	外多園林，饒果木。
HCH_012_332_000112	土宜五穀。
HCH_012_332_000113	民居稠密。
HCH_012_332_000114	李達、陳誠、李貴之使，與沙鹿海牙同。
HCH_012_332_000115	賽藍，在達失干之東，西去撒馬兒罕千餘里。
HCH_012_332_000116	有城郭，周二三里。
HCH_012_332_000117	四面平曠，居人繁庶。
HCH_012_332_000118	五穀茂殖，亦饒果木。
HCH_012_332_000119	夏秋間，草中生黑小蜘蛛。
HCH_012_332_000120	人被螫，遍體痛不可耐，必以薄荷枝掃痛處，又用羊肝擦之，誦經一晝夜，痛方止，體膚盡蛻。
HCH_012_332_000121	六畜被傷者多死。
HCH_012_332_000122	凡止宿，必擇近水地避之。
HCH_012_332_000123	元太祖時，都元帥薛塔剌海從征賽藍諸國，以炮立功，即此地也。
HCH_012_332_000124	陳誠、李貴之使，與諸國同。
HCH_012_332_000125	養夷，在賽藍東三百六十里。
HCH_012_332_000126	城居亂山間。
HCH_012_332_000127	東北有大溪，西流入巨川。
HCH_012_332_000128	行百里，多荒城。
HCH_012_332_000129	蓋其地介別失八里、蒙古部落之間，數被侵擾。
HCH_012_332_000130	以故人民散亡，止戍卒數百人居孤城，破廬頺垣，蕭然榛莽。
HCH_012_332_000131	永樂時，陳誠至其地。
HCH_012_332_000132	渴石，在撒馬兒罕西南三百六十里。
HCH_012_332_000133	城居大村，周十餘里。
HCH_012_332_000134	宮室壯麗，堂以玉石為柱，牆壁窗牖盡飾金碧，綴琉璃。
HCH_012_332_000135	其先，撒馬兒罕酋長駙馬帖木兒居之。
HCH_012_332_000136	城外皆水田。
HCH_012_332_000137	東南近山，多園林。
HCH_012_332_000138	西行十餘里，饒奇木。
HCH_012_332_000139	又西三百里，大山屹立，中有石峽，兩崖如斧劈。
HCH_012_332_000140	行二三里出峽口，有石門，色似鐵，路通東西，番人號為鐵門關，設兵守之。
HCH_012_332_000141	或言元太祖至東印度鐵門關，遇一角獸，能人言，即此地也。
HCH_012_332_000142	迭里迷，在撒馬兒罕西南，去哈烈二千餘里。
HCH_012_332_000143	有新舊二城，相去十餘里，其酋長居新城。
HCH_012_332_000144	城內外居民僅數百家，畜牧蕃息。
HCH_012_332_000145	城在阿朮河東，多魚。
HCH_012_332_000146	河東地隸撒馬兒罕，西多蘆林，產獅子。
HCH_012_332_000147	陳誠、李達嘗使其地。
HCH_012_332_000148	卜花兒，在撒馬兒罕西北七百餘里。
HCH_012_332_000149	城居平川，周十餘里，戶萬計。
HCH_012_332_000150	市里繁華，號為富庶。
HCH_012_332_000151	地卑下，節序嘗溫，宜五穀桑麻，多絲綿布帛，六畜亦饒。
HCH_012_332_000152	永樂十三年，陳誠自西域還，所經哈烈、撒馬兒罕、別失八里、俺都淮、八答黑商、迭里迷、沙鹿海牙、賽藍、渴石、養夷、火州、柳城、土魯番、鹽澤、哈密、達失干、卜花兒凡十七國，悉詳其山川、人物、風俗，為《使西域記》以獻，以故中國得考焉。
HCH_012_332_000153	宣德七年命李達撫諭西域，卜花兒亦與焉。
HCH_012_332_000154	別失八里，西域大國也。
HCH_012_332_000155	南接于闐，北連瓦剌，西抵撒馬兒罕，東抵火州，東南距嘉峪關三千七百里。
HCH_012_332_000156	或曰焉耆，或曰龜茲。
HCH_012_332_000157	元世祖時設宣慰司，尋改為元帥府，其後以諸王鎮之。
HCH_012_332_000158	洪武中，藍玉征沙漠，至捕魚兒海，獲撒馬兒罕商人數百。
HCH_012_332_000159	太祖遣官送之還，道經別失八里。
HCH_012_332_000160	其王黑的兒火者，即遣千戶哈馬力丁等來朝，貢馬及海青，以二十四年七月達京師。
HCH_012_332_000161	帝喜，賜王彩幣十表裏，其使者皆有賜。
HCH_012_332_000162	九月命主事寬徹、御史韓敬、評事唐鉦使西域。
HCH_012_332_000163	以書諭黑的兒火者曰：「朕觀普天之下，后土之上，有國者莫知其幾。雖限山隔海，風殊俗異，然好惡之情，血氣之類，未嘗異也。皇天眷佑，惟一視之。故受天命為天下主者，上奉天道，一視同仁，俾巨細諸國，殊方異類之君民，咸躋乎仁壽。而友邦遠國，順天事大，以保國安民，皇天監之，亦克昌焉。曩者我中國宋君，奢縱怠荒，奸臣亂政。天監否德，於是命元世祖肇基朔漠，入統中華，生民賴以安靖七十餘年。至於後嗣，不修國政，任用非人，致幻綱盡弛，強陵弱，眾暴寡，民生嗟怨，上達於天。天用是革其命，屬之於朕。朕躬握乾符，以主黔黎。凡諸亂雄擅聲教違朕命者兵偃之，順朕命者德撫之。是以三十年間，諸夏奠安，外蕃賓服。惟元臣蠻子哈剌章等尚率殘眾，生釁寇邊，興師致討，勢不容已。兵至捕魚兒海，故元諸王、駙馬率其部屬來降。有撒馬兒罕數百人以貿易來者，朕命官護歸已三年矣。使者還，王即遣使來貢，朕甚嘉之。王其益堅事大之誠，通好往來，使命不絕，豈不保封國於悠久乎？特遣官勞嘉，其悉朕意。」
HCH_012_332_000164	徹等既至，王以其無厚賜，拘留之。
HCH_012_332_000165	敬、鉦二人得還。
HCH_012_332_000166	三十年正月復遣官齎書諭之曰：「朕即位以來，西方諸商來我中國互市者，邊將未嘗阻絕。朕復敕吏民善遇之，由是商人獲利，疆埸無擾，是我中華大有惠於爾國也。前遣寬徹等往爾諸國通好，何故至今不返？吾於諸國，未嘗拘留一人，而爾顧拘留吾使，豈理也哉！是以近年回回入境者，亦令於中國互市，待徹歸放還。後諸人言有父母妻子，吾念其至情，悉縱遣之。今復使使諭爾，俾知朝廷恩意，毋梗塞道路，致啟兵端。《書》曰：「怨不在大，亦不在小。惠不惠，懋不懋。』爾其惠且懋哉。」徹乃得還。成祖即位之冬，遣官齎璽書綵幣使其國。未幾，黑的兒火者卒，子沙迷查干嗣。永樂二年遣使貢玉璞、名馬，宴賚有加。時哈密忠順王安克帖木兒為可汗鬼力赤毒死，沙迷查干率師討之。帝嘉其義，遣使賚以綵幣，令與嗣忠順王脫脫敦睦。四年夏來貢，命鴻臚寺丞劉帖木兒齎敕幣勞賜，與其使者偕行。秋、冬暨明年夏，三入貢，因言撒馬兒罕本其先世故地，請以兵復之。命中官把太、李達及劉帖木兒齎敕戒以審度而行，毋輕舉，因賜之綵幣。六年，太等還，言沙迷查干已卒，弟馬哈麻嗣。帝即命太等往祭，幷賜其新王。八年以朝使往撒馬兒罕者，馬哈麻待之厚，遣使齎彩幣賜之。明年貢名馬、文豹，命給事中傅安送其使還，
HCH_012_332_000167	賚金織文綺。
HCH_012_332_000168	時瓦剌使者言馬哈麻將襲其部落，因諭以順天保境之義。
HCH_012_332_000169	十一年，貢使將至甘肅，命所司宴勞，且敕總兵官李彬善遇之。
HCH_012_332_000170	明年冬，有自西域還者，言馬哈麻母及弟相繼卒。
HCH_012_332_000171	帝愍之，命安齎敕慰問，賚以彩幣。
HCH_012_332_000172	已而馬哈麻亦卒，無子，從子納黑失只罕嗣。
HCH_012_332_000173	十四年春，使來告喪。
HCH_012_332_000174	命安及中官李達弔祭，即封其嗣子為王，賚文綺、弓刀、甲胄，其母亦有賜。
HCH_012_332_000175	明年遣使來貢，言將嫁女撒馬兒罕，請以馬市妝奩。
HCH_012_332_000176	命中官李信等以綺、帛各五百匹助之。
HCH_012_332_000177	十六年，貢使速哥言其王為從弟歪思所弒，而自立，徙其部落西去，更國號曰亦力把里。
HCH_012_332_000178	帝以番俗不足治，授速哥為都督僉事，而遣中官楊忠等賜歪思弓刀、甲胄及文綺、彩幣，其頭目忽歹達等七十餘人幷有賜，自是奉貢不絕。
HCH_012_332_000179	宣德元年，帝嘉其尊事朝廷，遣使賜之鈔幣。
HCH_012_332_000180	明年入貢，授其正、副使為指揮千戶，賜誥命、冠帶，自後使臣多授官。
HCH_012_332_000181	三年貢駝馬，命指揮昌英等齎璽書、綵幣報之。
HCH_012_332_000182	時歪思連歲貢，而其母鎖魯檀哈敦亦連三歲來貢。
HCH_012_332_000183	歪思卒，子也先不花嗣。
HCH_012_332_000184	正統元年遣使來朝，貢方物，後亦頻入貢。
HCH_012_332_000185	故王歪思之婿卜賽因亦遣使來貢。
HCH_012_332_000186	十年，也先不花卒，也密力虎者嗣。
HCH_012_332_000187	明年貢馬駝方物，命以綵幣賜王及王母。
HCH_012_332_000188	景泰三年貢玉石三千八百斤，禮官言其不堪用，詔悉收之，每二斤賜帛一匹。
HCH_012_332_000189	天順元年命千戶於志敬等以復辟諭其王，且賜綵幣。
HCH_012_332_000190	成化元年，禮官姚夔等定西域朝貢期，令亦力把里三歲、五歲一貢，使者不得過十人，自是朝貢遂稀。
HCH_012_332_000191	其國無城郭宮室，隨水草畜牧。
HCH_012_332_000192	人性獷悍，君臣上下無體統。
HCH_012_332_000193	飲食衣服多與瓦剌同。
HCH_012_332_000194	地極寒，深山窮谷，六月亦飛雪。
HCH_012_332_000195	哈烈，一名黑魯，在撒馬兒罕西南三千里，去嘉峪關萬二千餘里，西域大國也。
HCH_012_332_000196	元駙馬帖木兒既君撒馬兒罕，又遣其子沙哈魯據哈烈。
HCH_012_332_000197	洪武時，撒馬兒罕及別失八里咸朝貢，哈烈道遠不至。
HCH_012_332_000198	二十五年遣官詔諭其王，賜文綺、綵幣，猶不至。
HCH_012_332_000199	二十八年遣給事中傅安、郭驥等攜士卒千五百人往，為撒馬兒罕所留，不得達。
HCH_012_332_000200	三十年又遣北平按察使陳德文等往，亦久不還。
HCH_012_332_000201	成祖踐阼，遣官齎璽書綵幣賜其王，猶不報命。
HCH_012_332_000202	永樂五年，安等還。
HCH_012_332_000203	德文遍歷諸國，說其酋長入貢，皆以道遠無至者，亦於是年始還。
HCH_012_332_000204	德文，保昌人，采諸方風俗作為歌詩以獻。
HCH_012_332_000205	帝嘉之，擢僉都御史。
HCH_012_332_000206	明年復遣安齎書幣往哈烈，其酋沙哈魯把都兒遣使隨安朝貢。
HCH_012_332_000207	七年達京師，復命齎賜物偕其使往報。
HCH_012_332_000208	明年，其酋遣使朝貢。
HCH_012_332_000209	撒馬兒罕酋哈里者，哈烈酋兄子也，二人不相能，數構兵。
HCH_012_332_000210	帝因其使臣還，命都指揮白阿兒忻台齎敕諭之曰：「天生民而立之君，俾各遂其生。朕統御天下，一視同仁，無間遐邇，屢嘗遣使諭爾。爾能虔修職貢，撫輯人民，安於西徼，朕甚嘉之。比聞爾與從子哈里構兵相仇，朕為惻然。一家之親，恩愛相厚，足制外侮。親者尚爾乖戾，疏者安得協和。自今宜休兵息民，保全骨肉，共享太平之福。」
HCH_012_332_000211	因賜綵幣表裏，并敕諭哈里罷兵，亦賜綵幣。
HCH_012_332_000212	白阿兒忻台既奉使，遍詣撒馬兒罕、失剌思、俺的干、俺都淮、土魯番、火州、柳城、哈實哈兒諸國，賜之幣帛，諭令入朝。
HCH_012_332_000213	諸酋長咸喜，各遣使偕哈烈使臣貢獅子、西馬、文豹諸物。
HCH_012_332_000214	十一年達京師。
HCH_012_332_000215	帝喜，御殿受之，犒賜有加。
HCH_012_332_000216	自是諸國使幷至，皆序哈烈於首。
HCH_012_332_000217	及歸，命中官李達、吏部員外郎陳誠、戶部主事李暹、指揮金哈藍伯等送之，就齎璽書、文綺、紗羅、布帛諸物分賜其酋。
HCH_012_332_000218	十三年，達等還，哈烈諸國復遣使偕來，貢文豹、西馬及他方物。
HCH_012_332_000219	明年再貢，及還，命陳誠齎書幣報之，所過州縣皆宴餞。
HCH_012_332_000220	十五年遣使隨誠等來貢。
HCH_012_332_000221	明年復貢，命李達等報如初。
HCH_012_332_000222	十八年偕于闐、八答黑商來貢。
HCH_012_332_000223	二十年復偕于闐來貢。
HCH_012_332_000224	宣德二年，其頭目打剌罕亦不剌來朝，貢馬。
HCH_012_332_000225	自仁宗不勤遠略，宣宗承之，久不遣使絕域，故其貢使亦稀至。
HCH_012_332_000226	七年復命中官李貴通西域，敕諭哈烈酋沙哈魯曰：「昔朕皇祖太宗文皇帝臨御之日，爾等尊事朝廷，遣使貢獻，始終如一。今朕恭膺天命，即皇帝位，主宰萬方，紀元宣德。小大政務，悉體皇祖奉天恤民，一視同仁之心。前遣使臣齎書幣往賜，道阻而回。今已開通，特命內臣往諭朕意。其益順天心，永篤誠好，相與還往，同為一家，俾商旅通行，各遂所願，不亦美乎？」
HCH_012_332_000227	因賜以文綺、羅錦。
HCH_012_332_000228	貴等未至，其貢使法虎兒丁已抵京師，卒於館。
HCH_012_332_000229	命官致祭，有司營葬。
HCH_012_332_000230	尋復遣使隨貴貢駝馬、玉石。
HCH_012_332_000231	明年春，使者歸。
HCH_012_332_000232	復命貴護送，賜其王及頭目彩幣。
HCH_012_332_000233	是年秋及正統三年幷來貢。
HCH_012_332_000234	英宗幼沖，大臣務休息，不欲疲中國以事外蕃，故遠方通貢者甚少。
HCH_012_332_000235	至天順元年，復議通西域。
HCH_012_332_000236	大臣莫敢言，獨忠義衛吏張昭抗疏切諫，事乃止。
HCH_012_332_000237	七年，帝以中夏乂安，而遠蕃朝貢不至，分遣武臣齎璽書、綵幣往諭。
HCH_012_332_000238	於是都指揮海榮、指揮馬全往哈烈。
HCH_012_332_000239	然自是來者頗稀，即哈烈亦不以時貢。
HCH_012_332_000240	嘉靖二十六年，甘肅巡撫楊博言：「西域入貢人多，宜為限制。」
HCH_012_332_000241	禮官言：「祖宗故事，惟哈密每年一貢，貢三百人，送十一赴京，餘留關內，有司供給。他若哈烈、哈三、土魯番、天方、撒馬兒罕諸國，道經哈密者，或三年、五年一貢，止送三五十人，其存留賞賚如哈密例。頃來濫放入京，宜敕邊臣恪遵此例，濫放者罪之。」
HCH_012_332_000242	制可。
HCH_012_332_000243	然是時哈烈已久不至，嗣後朝貢遂絕。
HCH_012_332_000244	其國在西域最強大。
HCH_012_332_000245	王所居城，方十餘里。
HCH_012_332_000246	壘石為屋，平方若高臺，不用梁柱瓦甓，中敞，虛空數十間。
HCH_012_332_000247	牕牖門扉，悉雕刻花文，繪以金碧。
HCH_012_332_000248	地鋪氈罽，無君臣、上下、男女，相聚皆席地趺坐。
HCH_012_332_000249	國人稱其王曰鎖魯檀，猶言君長也。
HCH_012_332_000250	男髡首纏以白布，婦女亦白布蒙首，僅露雙目。
HCH_012_332_000251	上下相呼皆以名。
HCH_012_332_000252	相見止稍屈身，初見則屈一足三跪，男女皆然。
HCH_012_332_000253	食無匕箸，有瓷器。
HCH_012_332_000254	以葡萄釀酒。
HCH_012_332_000255	交易用錢，大小三等，不禁私鑄。
HCH_012_332_000256	惟輸稅於酋長，用印記，無印者禁不用。
HCH_012_332_000257	市易皆徵稅十二。
HCH_012_332_000258	不知斗斛，止設權衡。
HCH_012_332_000259	無官府，但有管事者，名曰刀完。
HCH_012_332_000260	亦無刑法，即殺人亦止罰錢。
HCH_012_332_000261	以姊妹為妻妾。
HCH_012_332_000262	居喪止百日，不用棺，以布裹屍而葬。
HCH_012_332_000263	常於墓間設祭，不祭祖宗，亦不祭鬼神，惟重拜天之禮。
HCH_012_332_000264	無干支朔望，每七日為一轉，周而復始。
HCH_012_332_000265	歲以二月、十月為把齋月，晝不飲食，至夜乃食，周月始茹葷。
HCH_012_332_000266	城中築大土室，中置一銅器，周圍數丈，上刻文字如古鼎狀。
HCH_012_332_000267	游學者皆聚此，若中國太學然。
HCH_012_332_000268	有善走者，日可三百里，有急使，傳箭走報。
HCH_012_332_000269	俗尚侈靡，用度無節。
HCH_012_332_000270	土沃饒，節候多暖少雨。
HCH_012_332_000271	土產白鹽、銅鐵、金銀、琉璃、珊瑚、琥珀、珠翠之屬。
HCH_012_332_000272	多育蠶，善為紈綺。
HCH_012_332_000273	木有桑、榆、柳、槐、松、檜，果有桃、杏、李、梨、葡萄、石榴，穀有粟、麥、麻、菽，獸有獅、豹、馬、駝、牛、羊、雞、犬。
HCH_012_332_000274	獅生於阿術河蘆林中，初生目閉，七日始開。
HCH_012_332_000275	土人於目閉時取之，調習其性，稍長則不可馴矣。
HCH_012_332_000276	其旁近俺都淮、八答黑商，幷隸其國。
HCH_012_332_000277	俺都淮，在哈烈西北千三百里，東南去撒馬兒罕亦如之。
HCH_012_332_000278	城居大村，周十餘里。
HCH_012_332_000279	地平衍無險，田土膏腴，民物繁庶，稱樂土。
HCH_012_332_000280	自永樂八年至十四年偕哈烈通貢，後不復至。
HCH_012_332_000281	八答黑商，在俺都淮東北。
HCH_012_332_000282	城周十餘里。
HCH_012_332_000283	地廣無險阻，山川明秀，人物樸茂。
HCH_012_332_000284	浮屠數區，壯麗如王居。
HCH_012_332_000285	西洋、西域諸賈多販鬻其地，故民俗富饒。
HCH_012_332_000286	初為哈烈酋沙哈魯之子所據。
HCH_012_332_000287	永樂六年命內官把太、李達賜其酋敕書彩幣，幷及哈實哈兒、葛忒郎諸部，諭以往來通商之意，皆即奉命。
HCH_012_332_000288	自是，東西萬里行旅無滯。
