HCH_012_166_000001	韓觀山雲蕭授方瑛李震王信彭倫歐磐張祐韓觀，字彥賓，虹人，高陽忠壯侯成子也。
HCH_012_166_000068	時幼軍二十五所，隸府軍前衛，掌衛者不任事，更命雲及李玉等五人撫戢之。
HCH_012_166_000069	仁守立，擢行在中軍都督僉事。
HCH_012_166_000070	宣德元年改北京行都督府，命偕都御史王彰自山海抵居庸，巡視關隘，以便宜行事。
HCH_012_166_000071	帝征樂安，召輔鄭王、襄王居守。
HCH_012_166_000072	明年，柳、慶蠻韋朝烈等掠臨桂諸縣。
HCH_012_166_000073	時鎮遠侯顧興祖以不救邱溫被逮，公侯大臣舉雲。
HCH_012_166_000074	帝亦自知之。
HCH_012_166_000075	三年正月命佩征蠻將軍印，充總兵官往鎮。
HCH_012_166_000076	雲至，討朝烈，破之。
HCH_012_166_000077	賊保山巔，山峻險，掛木於藤，壘石其上。
HCH_012_166_000078	官軍至，輒斷藤下木石，無敢近者。
HCH_012_166_000079	雲夜半束火牛羊角，以金鼓隨其後，驅向賊。
HCH_012_166_000080	賊謂官軍至，亟斷藤。
HCH_012_166_000081	比明，木石且盡，眾噪而登，遂盡破之。
HCH_012_166_000082	南安、廣源諸蠻悉下。
HCH_012_166_000083	是夏，忻城蠻譚團作亂，雲討擒之。
HCH_012_166_000084	四年春，討平柳、潯諸蠻。
HCH_012_166_000085	其秋，雒容蠻出掠，遣指揮王綸破之。
HCH_012_166_000086	雲上綸功，並劾其殺良民罪，帝宥綸而心重雲。
HCH_012_166_000087	廣西自韓觀卒後，諸蠻漸橫。
HCH_012_166_000088	雲以廣西兵少，留貴州兵為用，先後討平潯、柳、平樂、桂林、宜山、思恩諸蠻。
HCH_012_166_000089	九年又以慶遠、郁林苗、瑤非大創不服，請濟師。
HCH_012_166_000090	詔發廣東兵千五百人益雲。
HCH_012_166_000091	雲分道剿捕，擒斬甚眾。
HCH_012_166_000092	復遣指揮田真攻大藤峽賊，破之。
HCH_012_166_000093	雲在鎮，先後大戰十餘，斬首萬二千二百六十，降賊酋三百七十，奪還男女二千五百八十，築城堡十三，鋪舍五百，陶磚鑿石，增高益厚。
HCH_012_166_000094	自是瑤、僮屏跡，居民安堵。
HCH_012_166_000095	論功，進都督同知，璽書褒勞。
HCH_012_166_000096	雲謀勇深沈，而端潔不茍取，公賞罰，嚴號令，與士卒同甘苦。
HCH_012_166_000097	臨機應變，戰無不捷。
HCH_012_166_000098	廣西鎮帥初至，土官率饋獻為故事。
HCH_012_166_000099	帥受之，即為所持。
HCH_012_166_000100	雲始至，聞府吏鄭牢剛直，召問曰：「饋可受乎？」
HCH_012_166_000101	牢曰：「潔衣被體，一汙不可湔，將軍新潔衣也。」
HCH_012_166_000102	雲曰：「不受，彼且生疑，奈何？」
HCH_012_166_000103	牢曰：「黷貨，法當死。將軍不畏天子法，乃畏土夷乎？」
HCH_012_166_000104	雲曰：「善。」
HCH_012_166_000105	盡卻饋獻，嚴馭之。
HCH_012_166_000106	由是土官畏服，調發無敢後者。
HCH_012_166_000107	雲所至，詢問裏老，撫善良，察誣枉，土人皆愛之。
HCH_012_166_000108	英宗即位，雲墜馬傷股。
HCH_012_166_000109	帝遣醫馳視。
HCH_012_166_000110	以病請代，優詔不許。
HCH_012_166_000111	進右都督。
HCH_012_166_000112	正統二年上言：「潯州與大藤峽諸山相錯，瑤寇出沒，占耕旁近田。左右兩江土官，所屬人多田少。其狼兵素勇，為賊所畏。若量撥田州土兵於近山屯種，分界耕守，斷賊出入。不過數年，賊必坐困。」
HCH_012_166_000113	報可。
HCH_012_166_000114	嗣後東南有急，輒調用狼兵，自此始也。
HCH_012_166_000115	明年冬，卒於鎮。
HCH_012_166_000116	贈懷遠伯，謚忠毅。
HCH_012_166_000117	長子俊，襲府軍前衛指揮使。
HCH_012_166_000118	廣西人思雲不置，立祠肖像祀焉。
HCH_012_166_000119	初，韓觀鎮廣西，專殺戮。
HCH_012_166_000120	慶遠諸生來迓。
HCH_012_166_000121	觀曰：「此皆賊覘我也。」
HCH_012_166_000122	悉斬之。
HCH_012_166_000123	雲平恕，參佐有罪，輒上請，不妄殺人，人亦不敢犯。
HCH_012_166_000124	鄭牢嘗逮事觀。
HCH_012_166_000125	觀醉，輒殺人。
HCH_012_166_000126	牢輒留之，醒乃以白。
HCH_012_166_000127	牢為士大夫所重，然竟以隸終。
HCH_012_166_000128	蕭授，華容人。
HCH_012_166_000129	由千戶從成祖起兵，至都指揮同知。
HCH_012_166_000130	永樂十六年擢右軍都督僉事，充總兵官，鎮湖廣、貴州。
HCH_012_166_000131	宣德元年，鎮遠邛水蠻銀總作亂。
HCH_012_166_000132	指揮祝貴往撫，被殺。
HCH_012_166_000133	授遣都指揮張名破斬之。
HCH_012_166_000134	貴州宣慰所轄乖西、巴香諸峒寨，山箐深險，諸蠻錯居。
HCH_012_166_000135	攻剽他部，傷官軍，發民冢。
HCH_012_166_000136	而昆阻比諸寨亦恃險不輸賦。
HCH_012_166_000137	二年，授遣都指揮蘇保會宣慰宋斌攻破昆阻比寨，窮追，斬偽王以下數百人。
HCH_012_166_000138	乖西諸蠻皆震懾歸命。
HCH_012_166_000139	水西蠻阿閉妨宜作亂，授結旁寨酋，以計誅之。
HCH_012_166_000140	而西堡蠻阿骨等與寨底、豐寧、清平、平越、普安諸苗復相聚為寇，四川筠連諸蠻應之。
HCH_012_166_000141	授且捕且撫。
HCH_012_166_000142	諸蠻先後聽命，承制赦之。
HCH_012_166_000143	以豐寧酋稔惡，械送京師，伏誅。
HCH_012_166_000144	七年諭降安隆酋岑俊。
HCH_012_166_000145	已，討辰州蠻，擒其酋八十，斬馘無算。
HCH_012_166_000146	移兵擊江華苗，討富川山賊，先後破擒之。
HCH_012_166_000147	先是，貴州治古、答意二長官司苗數出掠。
HCH_012_166_000148	授築二十四堡，環其地，分兵以戍，賊不得逞。
HCH_012_166_000149	久之，其酋吳不爾覘官軍少，復掠清浪，殺官吏。
HCH_012_166_000150	授遣張名擊破之。
HCH_012_166_000151	賊走湖廣境，結生苗，勢復張。
HCH_012_166_000152	授乃發黔、楚、蜀軍分道捕討。
HCH_012_166_000153	進軍筸子坪，誅不爾，斬首五百九十餘級，賊悉平。
HCH_012_166_000154	九年，都勻蠻為亂，引廣西賊入掠。
HCH_012_166_000155	授遣指揮陳原、顧勇分道邀擊，獲賊首韋萬良等，降下合江蔡郎等五十餘寨。
HCH_012_166_000156	英宗即位，命佩征蠻副將軍印，鎮守如故。
HCH_012_166_000157	念授年老，以都督僉事吳亮副之。
HCH_012_166_000158	正統元年，普定蠻阿遲等叛，僭稱王，四出攻掠。
HCH_012_166_000159	授遣顧勇等搗其巢，破之。
HCH_012_166_000160	而廣西蒙顧十六洞與湖廣逃民相聚蜂起，授督兵圍之。
HCH_012_166_000161	再戰，悉擒斬其酋，余黨就誅。
HCH_012_166_000162	捷聞，進右都督。
HCH_012_166_000163	上言：「靖州與廣西接壤，時苦苗患。永樂、宣德間，嘗儲糧數萬石，備軍興。比年儲糧少。有警，發人徒轉輸，賊輒先覺，以故不能得賊。乞於清浪、靖州二衛，各增儲五萬石，庶緩急可借。」
HCH_012_166_000164	報可。
HCH_012_166_000165	四年，貴州計沙賊苗金蟲、苗總牌糾洪江生苗作亂，偽立「統千侯」、「統萬侯」號。
HCH_012_166_000166	授督兵抵計沙，分遣都指揮鄭通攻三羊洞，馬曄攻黃柏山，大破之。
HCH_012_166_000167	吳亮窮追至蒲頭、洪江，斬總牌，千戶尹勝誘斬金蟲，於是生苗盡降。
HCH_012_166_000168	授沈毅多計算，裨校皆盡其材，而馭軍嚴整。
HCH_012_166_000169	自鎮遠侯顧成歿，群蠻所在屯結。
HCH_012_166_000170	官軍討之，皆無功。
HCH_012_166_000171	授在鎮二十餘年，規畫多本於成。
HCH_012_166_000172	久益明練，威信大行，寇起輒滅，前後諸帥莫及也。
HCH_012_166_000173	論功，進左都督。
HCH_012_166_000174	是年六月召還，以老致仕。
HCH_012_166_000175	尋起視事右府。
HCH_012_166_000176	十年卒。
HCH_012_166_000177	贈臨武伯，謚靖襄。
HCH_012_166_000178	吳亮，來安人。
HCH_012_166_000179	永樂初，為旗手衛指揮僉事。
HCH_012_166_000180	宣德中，署湖廣都指揮僉事。
HCH_012_166_000181	尋以右副總兵與王瑜督漕運。
HCH_012_166_000182	英宗初，討新淦賊有功，累進都督僉事，副授鎮湖廣、貴州。
HCH_012_166_000183	破普定蠻，進都督同知。
HCH_012_166_000184	平計沙苗，進右都督。
HCH_012_166_000185	方政歿於麓川，召亮還京，命為副總兵，將兵五萬往討。
HCH_012_166_000186	至雲南，賊益熾，坐金齒參將張榮敗不救，逮下獄。
HCH_012_166_000187	左遷都督僉事，仍佩征南副將軍印，鎮湖廣、貴州，討平四川都掌蠻。
HCH_012_166_000188	尋召還，視右府事。
HCH_012_166_000189	正統十一年卒。
HCH_012_166_000190	亮姿貌魁梧，性寬簡，不喜殺戮，所至蠻人懷附。
HCH_012_166_000191	好讀書，至老，手不釋卷。
HCH_012_166_000192	方瑛，都督政之子。
HCH_012_166_000193	正統初，以舍人從父征麓川。
HCH_012_166_000194	父戰死，瑛發憤，矢報父仇。
HCH_012_166_000195	初襲指揮使，已，論政死事功，遷都指揮同知。
HCH_012_166_000196	六年從王驥征麓川。
HCH_012_166_000197	帥兵六千突賊壘。
HCH_012_166_000198	賊渠衣黃衣帳中。
HCH_012_166_000199	瑛直前，左右擊斬數百人，躪死者無算，遂平其地。
HCH_012_166_000200	進都指揮使。
HCH_012_166_000201	尋復從驥破貢章、沙壩、阿嶺諸蠻。
HCH_012_166_000202	進都督僉事，蒞後府事，充右參將，協守雲南。
HCH_012_166_000203	十三年復從驥征麓川。
HCH_012_166_000204	破鬼山大寨，留鎮雲南。
HCH_012_166_000205	景泰元年，廷議以瑛有將略，命都督毛福壽代，還，進都督同知。
HCH_012_166_000206	甫抵京，而貴州群苗叛，道梗。
HCH_012_166_000207	驥請瑛還討。
HCH_012_166_000208	其年四月拜右副總兵，與保定伯梁缶、侍郎侯琎次第破走之。
HCH_012_166_000209	進右都督。
HCH_012_166_000210	復破賞改諸寨，擒偽苗王王阿同等。
HCH_012_166_000211	琎卒，都御史王來代督軍務，分道擊賊香爐山。
HCH_012_166_000212	瑛入自龍場，大破平之。
HCH_012_166_000213	三年秋，來劾瑛違法事，置不問。
HCH_012_166_000214	來召還，命瑛鎮守貴州。
HCH_012_166_000215	其冬，討白石崖賊，俘斬二千五百人，招降四百六十寨。
HCH_012_166_000216	進左都督。
HCH_012_166_000217	五年，四川草塘苗黃龍、韋保作亂，自稱「平天大王」，剽播州西坪、黃灘。
HCH_012_166_000218	瑛與巡撫蔣琳會川兵進剿，賊魁皆就縛。
HCH_012_166_000219	因分兵克中潮山及三百灘、乖西、谷種、乖立諸寨，執偽王谷蟻丁等，斬首七千餘。
HCH_012_166_000220	詔封南和伯。
HCH_012_166_000221	瑛為將，嚴紀律，信賞罰，臨陣勇敢，善撫士。
HCH_012_166_000222	士皆樂為用，以故數有功。
HCH_012_166_000223	廷臣言宜委以禁旅，乃召還，同石亨督京營軍務。
HCH_012_166_000224	明年，琳奏瑛前守貴州，邊境寧，苗蠻畏服，乞遣還。
HCH_012_166_000225	帝不許。
HCH_012_166_000226	未幾，湖廣苗叛，拜瑛平蠻將軍，率京軍討之，而使御史張鵬偵其後。
HCH_012_166_000227	還奏，瑛所過秋毫不犯，帝大喜。
HCH_012_166_000228	七年，賊渠蒙能攻平溪衛。
HCH_012_166_000229	都指揮鄭泰等擊卻之，能中火槍死，瑛遂進沅州。
HCH_012_166_000230	連破鬼板等一百六十餘寨。
HCH_012_166_000231	與尚書石璞移兵天柱，率陳友等分擊天堂諸寨，復大破之。
HCH_012_166_000232	克寨二百七十，擒偽侯伯以下一百二人。
HCH_012_166_000233	時英宗已復位。
HCH_012_166_000234	捷聞，璞召還，瑛留鎮貴州、湖廣。
HCH_012_166_000235	瑛討蒙能余黨，克銅鼓藕洞一百九十五寨，覃洞、上隆諸苗各斬其渠納款。
HCH_012_166_000236	帝嘉瑛功，進侯。
HCH_012_166_000237	天順二年，東苗幹把豬等僭偽號，攻都勻諸衛。
HCH_012_166_000238	命瑛與巡撫白圭合川、湖、雲、貴軍討之，克六百餘寨。
HCH_012_166_000239	邊方悉定。
HCH_012_166_000240	瑛前後克寨幾二千，俘斬四萬餘。
HCH_012_166_000241	平苗之功，前此無與比者。
HCH_012_166_000242	尋卒於鎮，年四十五。
HCH_012_166_000243	帝震悼，賜謚忠襄。
HCH_012_166_000244	瑛天姿英邁，曉古兵法。
HCH_012_166_000245	嘗上練兵法及陣圖，老將多稱之。
HCH_012_166_000246	為人廉，謙和不伐。
HCH_012_166_000247	所至鎮以安靜，民思之，久而不忘。
HCH_012_166_000248	子毅，嗣伯爵，誘祖母誣從父瑞不孝，坐奪爵閑住。
HCH_012_166_000249	卒，子壽祥嗣。
HCH_012_166_000250	正德中，歷鎮貴州、湖廣。
HCH_012_166_000251	傳爵至明亡乃絕。
HCH_012_166_000252	陳友，其先西域入，家全椒。
HCH_012_166_000253	正統初，官千戶，累遷都指揮僉事。
HCH_012_166_000254	頻年使瓦剌有勞，尋復進都指揮使。
HCH_012_166_000255	九年充寧夏遊擊將軍，與總兵官黃真擊兀良哈。
HCH_012_166_000256	多獲，進都督僉事。
HCH_012_166_000257	未幾，出塞招答哈卜等四百人來歸。
HCH_012_166_000258	景帝即位，進都督同知，征湖廣、貴州苗。
HCH_012_166_000259	尋充左參將，守備靖州。
HCH_012_166_000260	景泰二年偕王來等擊賊香爐山，自萬潮山入，大破之。
HCH_012_166_000261	留鎮湖廣。
HCH_012_166_000262	論功，進右都督。
HCH_012_166_000263	四年春奏斬苗五百餘級，五年又奏斬苗三百餘。
HCH_012_166_000264	而都指揮戚安等八人戰死，兵部疑首功不實，指揮蔡升亦奏友欺妄。
HCH_012_166_000265	命總督石璞廉之，斬獲僅三四十人，陷將士千四百人，宜罪。
HCH_012_166_000266	詔令殺賊自效。
HCH_012_166_000267	天順元年隨瑛征天堂諸苗，大獲。
HCH_012_166_000268	命充左副總兵，仍鎮湖廣。
HCH_012_166_000269	已，又偕瑛破蒙能余黨。
HCH_012_166_000270	召封武平伯，予世券。
HCH_012_166_000271	孛來犯邊，充遊擊將軍，從安遠侯柳溥等往禦。
HCH_012_166_000272	率都指揮趙瑛等與戰，敵敗遁。
HCH_012_166_000273	再犯鎮番，復擊卻之，俘百六十人。
HCH_012_166_000274	尋佩將軍印，充總兵官，討寧夏寇。
HCH_012_166_000275	先是，寇大入甘、涼，溥及總兵衛穎等不能禦，惟友稍獲。
HCH_012_166_000276	至是巡撫芮釗列諸將失事狀，兵部請免友罪。
HCH_012_166_000277	詔並宥溥等。
HCH_012_166_000278	召還，進侯，卒。
HCH_012_166_000279	傳子至孫綱，弘治中，請友贈謚。
HCH_012_166_000280	詔贈沔國公，謚武僖。
HCH_012_166_000281	綱傳子勛及熹。
HCH_012_166_000282	嘉靖中，吏部以友征苗功多冒濫，請停襲。
HCH_012_166_000283	帝不從。
HCH_012_166_000284	熹子大策復得嗣，至明亡乃絕。
HCH_012_166_000285	李震，南陽人。
HCH_012_166_000286	父謙，都督僉事，震襲指揮使。
HCH_012_166_000287	正統九年從征兀良哈有功，進都指揮僉事。
HCH_012_166_000288	已，從王驥平麓川，進同知。
HCH_012_166_000289	景帝即位，充貴州右參將。
HCH_012_166_000290	擊苗於偏橋，敗之。
HCH_012_166_000291	景泰二年從王來征韋同烈。
HCH_012_166_000292	破鎖兒、流源諸寨，俘斬千六百人，共克香爐山，獲同烈。
HCH_012_166_000293	進都指揮使，守靖州。
HCH_012_166_000294	尋坐罪征還。
HCH_012_166_000295	方瑛討苗，乞震隨軍，詔許立功贖。
HCH_012_166_000296	已，從瑛大破天堂諸苗，仍充左參將。
HCH_012_166_000297	瑛平銅鼓諸賊，震亦進武岡，克牛欄等五十四寨。
HCH_012_166_000298	斬獲多，進都督僉事。
HCH_012_166_000299	天順中，復從瑛平貴東苗幹把豬。
HCH_012_166_000300	瑛卒，即以震充總兵官，代鎮貴州、湖廣。
HCH_012_166_000301	初，麻城人李添保以逋賦逃入苗中。
HCH_012_166_000302	偽稱唐太宗後，眾萬餘，僭王，建元「武烈」，剽掠遠近。
HCH_012_166_000303	震進擊，大破之。
HCH_012_166_000304	添保遁入貴州鬼池諸苗中，復誘群苗出掠。
HCH_012_166_000305	震擒之，送京師。
HCH_012_166_000306	尋破西堡苗。
HCH_012_166_000307	五年春剿城步瑤、僮，攻橫水、城溪、莫宜、中平諸寨，皆破之。
HCH_012_166_000308	長驅至廣西西延，會總兵官過興軍，克十八團諸瑤，前後俘斬數千人。
HCH_012_166_000309	其冬命震專鎮湖廣，以李安充總兵，守貴州。
HCH_012_166_000310	明年夏率師由錦田、江華抵雲川、桂嶺、橫江諸寨，破瑤，俘斬二千八百餘人。
HCH_012_166_000311	七年冬，苗據赤溪湳洞長官司。
HCH_012_166_000312	震與安分道進，斬賊渠飛天侯等，破寨二百，遂復長官司。
HCH_012_166_000313	進都督同知。
HCH_012_166_000314	明年冬，廣西瑤侵湖南，夜入桂陽州大掠。
HCH_012_166_000315	震遣兵分道追擊，連敗之，俘斬千餘人。
HCH_012_166_000316	成化改元，守備靖州。
HCH_012_166_000317	都指揮同知莊榮奏貴州黎平諸府密邇湖廣五開諸衛，非大將總領不可，乃復命震兼鎮貴州。
HCH_012_166_000318	未幾，獲賊首苗蟲蝦。
HCH_012_166_000319	荊、襄賊劉千斤、石和尚為亂，震進討。
HCH_012_166_000320	賊屢敗，乘勝追及於梅溪賊巢。
HCH_012_166_000321	官軍不利，都指揮以下死者三十八人，有詔切責。
HCH_012_166_000322	白圭等大軍至，震自南漳進兵合擊，大破之，賊遂平。
HCH_012_166_000323	論功，進右都督。
HCH_012_166_000324	時武岡、沅靖、銅鼓、五開苗復蜂起，而貴州亦告警。
HCH_012_166_000325	震言貴州終難遙制，請專鎮湖廣。
HCH_012_166_000326	許之，乃還兵。
HCH_012_166_000327	由銅鼓、天柱分四道進，連破賊，直抵清水江。
HCH_012_166_000328	因苗為導，深入賊境。
HCH_012_166_000329	兩月間破巢八百，焚廬舍萬三千，斬獲三千三百。
HCH_012_166_000330	而廣西瑤劫桂陽者，亦擊斬三千八百有奇。
HCH_012_166_000331	當是時，震威名著西南，苗、僚聞風畏懾，呼為「金牌李」。
HCH_012_166_000332	七年，與項忠討平流賊李原，招撫流民九十萬人，荊、襄遂定。
HCH_012_166_000333	語具忠傳。
HCH_012_166_000334	十一年，苗復犯武岡、靖州，湖湘大擾。
HCH_012_166_000335	震與巡撫劉敷等分五道進，破六百二十餘寨，俘斬八千五百餘人，獲賊孥萬計。
HCH_012_166_000336	論功封興寧伯。
HCH_012_166_000337	時武靖侯趙輔、寧晉伯劉聚皆以功封，論者多訾議之，獨震功最高，人無異言。
HCH_012_166_000338	參將吳經者，與震有隙。
HCH_012_166_000339	弟千戶綬為汪直腹心，經屬綬譖之。
HCH_012_166_000340	會直方傾項忠，詞連震，遂逮下獄。
HCH_012_166_000341	奪爵，降左都督，南京閑住。
HCH_012_166_000342	未幾，直遣校尉緝事，言震陰結守備太監覃包，私通貨賂。
HCH_012_166_000343	帝怒，遣直赴南京數包等罪，責降包孝陵司香，勒震回京。
HCH_012_166_000344	直敗，震訴復爵，尋卒。
HCH_012_166_000345	震在湖湘久，熟知苗情，善用兵。
HCH_012_166_000346	一時征苗功，方瑛後震為最。
HCH_012_166_000347	然貪功好進，事交結，竟以是敗。
HCH_012_166_000348	王信，字君實，南鄭人。
HCH_012_166_000349	生半歲，父忠征北戰歿，母嶽氏苦節育之，後俱獲旌。
HCH_012_166_000350	正統中，信襲寬河衛千戶。
HCH_012_166_000351	成化初，積功至都指揮僉事，守備荊、襄。
HCH_012_166_000352	劉千斤反，信以房縣險，進據之。
HCH_012_166_000353	民兵不滿千人，賊眾四千突至，圍其城。
HCH_012_166_000354	拒四十餘日，選死士，出城五六里舉炮。
HCH_012_166_000355	賊疑援至，驚走，追敗之。
HCH_012_166_000356	已，白圭統大軍至，以信為右參將，分道抵後巖山，賊遂滅。
HCH_012_166_000357	論功，進都指揮同知。
HCH_012_166_000358	賊黨石龍復陷巫山，信與諸將共平之。
HCH_012_166_000359	而流民仍嘯荊、襄、南陽間。
HCH_012_166_000360	信以為憂，言於朝，即命信兼督南陽軍務。
HCH_012_166_000361	賊首李原等果亂，信復與項忠討平之。
HCH_012_166_000362	擢署都督僉事，鎮守臨清。
HCH_012_166_000363	十三年以本官佩平蠻將軍印，移鎮湖廣。
HCH_012_166_000364	永順、保靖二宣慰世相仇殺，信諭以禍福，兵即解。
HCH_012_166_000365	靖州及武岡蠻久不戢，守臣議剿之。
HCH_012_166_000366	信親詣，犒以牛酒，責其無狀，眾稽顙服罪。
HCH_012_166_000367	十七年疏言：「湖廣諸蠻雖腹心蠹，實無能為。久不靖者，由我將士利其竊發以邀功也。選精銳，慎堤防，其患自息。荊、襄流逋，本避徭役，濫誅恐傷天和。南畝之氓鹹無蓄積。收獲未竟，餱糧已空；機杼方停，布縷何在。乞選公正仁惠守令，加意撫綏。濫授冗員，無慮千百，無一矢勞，冒崇階之賞，乞察勘削奪。」
HCH_012_166_000368	部指揮劉斌、張全智勇，力薦於朝。
HCH_012_166_000369	且云：「英雄之士，處心剛正，安肯俯首求媚。若不加意延訪，則誌士沈淪，朝廷安得而用之。」
HCH_012_166_000370	二十一年，巡撫馬馴等言，副總兵周賢、參將彭倫官皆都督僉事，而信反止署職，宜量進一秩以重其權。
HCH_012_166_000371	兵部言信無軍功。
HCH_012_166_000372	帝特擢為都督同知。
HCH_012_166_000373	頃之，改總督漕運。
HCH_012_166_000374	帥府舊有湖，擅為利，信開以泊漕艘。
HCH_012_166_000375	勢要壅水，一裁以法，漕務修舉。
HCH_012_166_000376	明年卒。
HCH_012_166_000377	信沈毅簡重，好觀書，被服儒雅。
HCH_012_166_000378	歷大鎮，不營私產。
HCH_012_166_000379	嘗曰：「儉足以久，死後不累子孫，所遺多矣。」
HCH_012_166_000380	故人婚喪，傾資助之。
HCH_012_166_000381	子繼善、從善皆舉進士。
HCH_012_166_000382	繼信總漕運者，寧津都勝、合肥郭鋐。
HCH_012_166_000383	勝襲職南京羽林左衛指揮僉事，鋐襲彭城衛指揮使。
HCH_012_166_000384	成化初，勝擢署都指揮僉事，而鋐亦以從征荔浦功，進都指揮僉事，中武舉，遷同知。
HCH_012_166_000385	勝備倭揚州，擊敗鹽徒為亂者。
HCH_012_166_000386	尹旻等舉勝將才，鋐亦為張懋所舉。
HCH_012_166_000387	乃命勝充參將，協同漕運，而鋐代之備倭。
