HCH_010_018_000001	興宗神聖孝章皇帝，諱宗真，字夷不堇，小字只骨。
HCH_010_018_000154	以耶律韓八為北院大王，蕭把哥左夷離畢，王子郎君詳穩鼻姑得林牙，簽北面事耶律涅哥同簽點檢司。
HCH_010_018_000155	甲寅，錄囚。
HCH_010_018_000156	以南大王耶律信寧故匿重囚及侍婢贓汙，命撻以劍脊而奪其官；都監坐阿附及侍婢罪，皆論死，詔貸之。
HCH_010_018_000157	丙辰，以耶律信寧為西南路招討使。
HCH_010_018_000158	庚申，出飛龍廄馬，賜皇太弟重元及北、南面侍臣有差。
HCH_010_018_000159	癸亥，以上京留守耶律胡睹袞為南大王，平章事蕭查剌寧上京留守，侍中管寧行宮都部署，耶律蒲奴寧烏古迪烈得都詳穩。
HCH_010_018_000160	甲子，以上京留守耶律洪古為北院大王。
HCH_010_018_000161	六月壬申朔，以善寧為殿前都點檢，護衛太保耶律合住兼長寧宮使，蕭阿剌裏、耶律烏魯斡、耶律和尚、蕭韓家奴、蕭特裏、蕭求翰為各宮都部署。
HCH_010_018_000162	上酒酣賦詩，吳國王蕭孝穆、北宰相蕭撒八等皆屬和，夜中乃罷。
HCH_010_018_000163	己卯，祀天地。
HCH_010_018_000164	癸未，賜南院大王耶律胡睹袞命，上親為制誥詞，並賜詩以寵之。
HCH_010_018_000165	丙申，以北院大王侯哂為南京統軍使。
HCH_010_018_000166	秋七月辛丑朔，以北、南樞密院獄空，賞賚有差。
HCH_010_018_000167	壬寅，以皇太弟重元生子，賜詩及寶玩器物，曲赦死罪以下。
HCH_010_018_000168	癸卯，如秋山。
HCH_010_018_000169	八月己卯，北樞密院言越棘部民苦其酋帥坤長不法，多流亡；詔罷越棘等五國酋帥，以契丹節度使一員領之。
HCH_010_018_000170	冬十月癸酉，駐蹕石寶岡。
HCH_010_018_000171	十一月己亥朔，阻卜酋長來貢。
HCH_010_018_000172	辛亥，以契丹行宮都部署蕭惠為南院樞密使。
HCH_010_018_000173	壬子，以管寧為南院樞密使，蕭掃古諸行宮都部署，耶律裏知南面行宮副部署，蕭阿剌裏左祗候郎君詳穩，耶律曷主右祗候郎君詳穩。
HCH_010_018_000174	庚申，幸晉國公主行帳視疾。
HCH_010_018_000175	封皇子洪基為梁王。
HCH_010_018_000176	十二月，以楊佶為忠順軍節度使。
HCH_010_018_000177	遣耶律斡、秦鑒、耶律德、崔繼芳賀宋生辰及正旦。
HCH_010_018_000178	七年春正月戊戌朔，宋遣高若訥、夏元正、謝絳、張茂實來賀正旦及永壽節。
HCH_010_018_000179	辛丑，如混同江。
HCH_010_018_000180	二月庚午，如春州。
HCH_010_018_000181	乙亥，駐蹕東川。
HCH_010_018_000182	丁丑，高麗遣使來貢。
HCH_010_018_000183	壬午，幸五坊閱鷹鶻。
HCH_010_018_000184	乙酉，遣使慶州問安皇太后。
HCH_010_018_000185	三月戊戌朔，幸皇太弟重元行帳。
HCH_010_018_000186	壬寅，如蒲河澱。
HCH_010_018_000187	辛亥，夏國遣使來貢。
HCH_010_018_000188	甲寅，錄囚。
HCH_010_018_000189	夏四月己巳，以興平公主薨，遣北院承旨耶律庶成持詔問夏國王李元昊，公主生與元昊不睦，沒，詰其故。
HCH_010_018_000190	己卯，獵白馬堝。
HCH_010_018_000191	甲申，射兔新澱井。
HCH_010_018_000192	乙未，獵金山，遣楊家進鹿尾茸於大安宮。
HCH_010_018_000193	六月乙亥，禦清涼殿試進士，賜邢彭年以下五十五人第。
HCH_010_018_000194	秋七月甲辰，錄囚。
HCH_010_018_000195	乙巳，阻卜酋長屯禿古斯來朝。
HCH_010_018_000196	戊申，如黑嶺。
HCH_010_018_000197	九月丁未，駐蹕平澱。
HCH_010_018_000198	冬十月甲子朔，渡遼河。
HCH_010_018_000199	丙寅，駐蹕白馬澱。
HCH_010_018_000200	壬申，錄囚。
HCH_010_018_000201	十一月癸巳朔，以耶律元方、張泥、韓至德、蕭傅充賀宋生辰正旦使副。
HCH_010_018_000202	辛丑，問安皇太后，進珍玩。
HCH_010_018_000203	庚申，錄囚。
HCH_010_018_000204	十二月，召善擊鞠者數十人於東京，令與近臣角勝，上臨觀之。
HCH_010_018_000205	己巳，以皇太弟重元判北南院樞密使事，北府宰相撒八寧再任兼知東京留守事，耶律應穩南府宰相，查割折大內惕隱，乙室已帳蕭翰乾州節度使，劉六符參知政事，王子帳冠哥王子郎君詳穩，鉏窘大王平州節度使，宰臣張克恭守司空，宰臣韓紹芳加侍中，惕隱耶律馬六北院宣徽使，傅父耶律喜孫南府宰相。
HCH_010_018_000206	癸未，宋遣王舉正、張士禹來賀永壽節。
HCH_010_018_000207	甲申，命日進酒於大安宮，致薦慶陵。
HCH_010_018_000208	丁亥，錄囚，非故殺者減科。
HCH_010_018_000209	南面侍御壯骨裏詐取女直貢物，罪死，上以有吏能，黥而流之。
HCH_010_018_000210	八年春正月壬辰朔，宋遣韓琦、王從益來賀。
HCH_010_018_000211	丙申，如混同江觀漁。
HCH_010_018_000212	戊戌，振品部。
HCH_010_018_000213	庚戌，叉魚於率沒裏河。
HCH_010_018_000214	丁巳，禁朔州鬻羊於宋。
HCH_010_018_000215	二月丙子，駐蹕長春河。
HCH_010_018_000216	夏六月乙丑，詔括戶口。
HCH_010_018_000217	秋七月丁巳，謁慶陵，致奠於望仙殿。
HCH_010_018_000218	迎皇太后至顯州，謁園陵，還京。
HCH_010_018_000219	冬十月，駐蹕東京。
HCH_010_018_000220	十一月甲午，詔有言北院處事失平，擊鐘及邀駕告者，悉以奏聞。
HCH_010_018_000221	戊戌，朝皇太后，召僧論佛法。
HCH_010_018_000222	戊申，皇太后行再生禮，大赦。
HCH_010_018_000223	己酉，城長春。
HCH_010_018_000224	閏十二月壬辰，視吳國王蕭孝穆疾。
HCH_010_018_000225	宋遣龐籍、杜贊來賀永壽節。
HCH_010_018_000226	九年春正月丙辰朔，上進酒於皇太后宮，禦正殿。
HCH_010_018_000227	宋遣王拱辰、彭再思來賀。
HCH_010_018_000228	庚申，如鴨子河。
HCH_010_018_000229	二月，駐蹕魚兒濼。
HCH_010_018_000230	三月辛未，以應聖節，大赦。
HCH_010_018_000231	五月乙卯朔，清暑永安山。
HCH_010_018_000232	六月，射柳祈雨。
HCH_010_018_000233	秋七月癸酉，宋遣郭禎以伐夏來報，遣樞密使杜防報聘。
HCH_010_018_000234	丁丑，如秋山。
HCH_010_018_000235	冬十月癸未朔，駐蹕中會川。
HCH_010_018_000236	十一月甲子，女直侵邊，發黃龍府鐵驪軍拒之。
HCH_010_018_000237	宋遣蘇伸、向傳範來賀應聖節。
HCH_010_018_000238	十二月庚寅，以北大王府布猥帳郎君自言先世與國聯姻，許置敞史，命本帳蕭胡睹為之。
HCH_010_018_000239	辛卯，以所得女直戶置肅州。
HCH_010_018_000240	以蕭迪、劉三嘏、耶律元方、王惟吉、耶律庶忠、孫文昭、蕭紹筠、秦德昌充賀宋生辰及來歲正旦使副。
HCH_010_018_000241	詔諸犯法者，不得為官吏，諸職官非婚祭，不得沈酗廢事。
HCH_010_018_000242	有治民安邊之略者，悉具以聞。
HCH_010_018_000243	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
