HCH_009_039_000000	《傳》曰：「王者功成作樂，治定制禮。」
HCH_009_039_000025	上曰：「嘗觀宋人論樂，以為律主於人聲，不當泥於其器，要之在聲和而已。」
HCH_009_039_000026	於是，命禮部符下南京，取宋舊工，更鑄辰鐘十有二。
HCH_009_039_000027	又以舊鐘姑洗、夷則皆高五律，無射高二律，別鑄以補之，乃協。
HCH_009_039_000028	又琢辰磬各十有二，以其半少劣，擇其諧者而用之。
HCH_009_039_000029	初，正隆間，海陵營太廟於汴，貞祐南遷，宣宗修之，以祔諸帝神主。
HCH_009_039_000030	其地，故宋景靈宮之址也。
HCH_009_039_000031	掘其下，得編鐘十三，編磬八，皆刻「大晟」字。
HCH_009_039_000032	時朝廷多故，禮器散亡，竟亦不能備也，大定十一年，太常議：「按《唐會要》舊制，南北郊宮縣用二十架，周、漢、魏、晉、宋、齊六朝及唐《開元》、宋《開寶禮》，其數皆同。《宋會要》用三十六架，《五禮新儀》用四十八架，其數多，似乎太侈。今擬《太常因革禮》，天子宮縣之樂三十六虡，宗廟與殿庭同，郊丘則二十虡，宜用宮縣二十架，登歌編鐘、編磬各一虡。又按《周禮大司樂》：'凡樂，圜鐘為宮，黃鐘為角，太蔟為徵，姑洗為羽。雷鼓、雷鞀、孤竹之管、雲和之琴瑟、雲門之舞，冬日至於地上之圜丘奏之，若樂六變，則天神皆降，可得而禮矣。'六變，謂六成也。唐、宋因之。蓋圜鐘，夾鐘也，用為宮者以上應房、心，有天帝明堂之象也。宮聲三奏，角徵羽各一奏，合陽之奇數，欲神聽之也。凡樂起于陽，至少陰而止，圜鐘自卯至申其數有六，故六變而樂止，則天神皆降，可得而禮也。樂曲之名，唐以'和'，宋以'安'，本朝定樂曲以'甯'為名，今止有太廟祫享樂曲，而郊祀樂曲未備。皇統九年拜天用《乾甯之曲》，今圜丘降神固可就用。今太廟祫享，皇帝升降行止奏《昌甯之曲》，迎俎奏《豐甯之曲》，酌獻、舞出入奏《肅甯之曲》，飲福奏《福甯之曲》，宋《開寶禮》亦可就用。余有郊祀曲名，
HCH_009_039_000033	皇帝入中濆、奠玉幣、迎俎、酌獻、舞出入樂曲，宜皆以'寧'字制名。
HCH_009_039_000034	遂命學士院撰焉。
HCH_009_039_000035	皇帝入中濆奏《昌甯之曲》，降神、送神奏《乾甯之曲》，昊天上帝奏《洪甯之曲》，皇地祇奏《坤甯之曲》，配位奏《永甯之曲》，飲福奏《福甯之曲》，升降、望燎、出入大小次，並與入中濆同，餘載儀注及樂章。
HCH_009_039_000036	又命太常議文武二舞所當先後，太常議：「按唐、宋郊廟之禮，並先文後武，本朝自行禘祫之禮亦然。惟唐韋萬石建議謂先儒相傳，以揖讓得天下則先奏文，以征伐得天下則先奏武。當時雖從，尋複改之。其以《開元禮》先文後武為定。方丘如圜丘之儀，社稷則用登歌。」
HCH_009_039_000037	宗廟。
HCH_009_039_000038	皇帝入門，宮縣以無射宮，升殿，登歌以夾鐘，皆奏《昌甯之曲》。
HCH_009_039_000039	迎神、送神奏《來甯之曲》，九成。
HCH_009_039_000040	天德二年，晨稞畢，還小次，方奏迎神曲。
HCH_009_039_000041	大定十一年，朝享，奏依《開元》、《開寶禮》，至版位，即奏黃鐘宮三、大呂角二、太蔟徵二、應鐘羽二，曲詞皆同。
HCH_009_039_000042	進俎，奏《豐甯之曲》。
HCH_009_039_000043	酌獻，宮縣奏無射《大元之曲》。
HCH_009_039_000044	諸室之曲，德帝曰《大熙》，安帝曰《大安》，獻祖曰《大昭》，昭祖曰《大成》，景祖曰《大昌》，世祖曰《大武》，肅宗曰《大明》，穆宗曰《大章》，康宗曰《大康》，太祖曰《大定》，太宗曰《大惠》，熙宗曰《大同》，睿宗曰《大和》，昭德皇后廟曰《儀坤》，世宗曰《大鈞》，顯宗曰《大寧》，章宗曰《大隆》，宣宗曰《大慶》。
HCH_009_039_000045	皇帝還版位及亞終獻，皆奏無射宮《肅甯之曲》。
HCH_009_039_000046	飲福，登歌奏夾鐘宮《福甯之曲》。
HCH_009_039_000047	徹豆，奏《豐甯之曲》，皆用無射宮。
HCH_009_039_000048	大定十二年制，祫禘時享有司攝事，初獻盥洗，奏無射宮《肅甯之曲》。
HCH_009_039_000049	升階，登歌奏夾鐘宮《嘉甯之曲》。
HCH_009_039_000050	餘並與親享同。
HCH_009_039_000051	其別廟昭德皇后、宣孝太子所用，並載儀注、樂章。
HCH_009_039_000052	舊制，太廟、皇考廟樂工各三十九人。
HCH_009_039_000053	大定二十九年，升祔顯宗，有司以為：「宋之太廟、別廟，堂上樂各四十八人，今之樂工少十八人，擬令皇考廟舊樂工皆充兩廟堂上樂，以應前代九十六人之數。」
HCH_009_039_000054	尚書省議：「古樂工無定數。」
HCH_009_039_000055	遂奏太廟、別廟通以百人為定。
HCH_009_039_000056	明昌六年，創設宮縣，樂工一百五十六人。
HCH_009_039_000057	承安三年，敕：「祭廟用教坊奏古樂，非禮也。其自今召百姓材美者，給以食直，教閱以待用。」
HCH_009_039_000058	泰和元年，命宮縣樂工月給錢粟二貫石，遇正樂工闕，驗色收補。
HCH_009_039_000059	四年，尚書省奏：「宮縣樂工總用二百五十六人，而舊所設止百人，時或用之即以貼部教坊閱習。自明昌間，以渤海教坊兼習，而又創設九十二人。且宮縣之樂行大禮乃始用之，若其數複闕，但前期遣漢人教坊及大興府樂人習之，亦可備用。」
HCH_009_039_000060	遂詔罷創設者。
HCH_009_039_000061	宣宗南遷，祔諸帝主於汴京太廟。
HCH_009_039_000062	禮官言：「祔享禮畢，車駕還宮，至承天門外，百官奉迎，宮縣奏《采茨》。」
HCH_009_039_000063	以樂虡未備，遂止用教坊樂。
HCH_009_039_000064	哀宗遷蔡，天興二年七月丁巳，太祖、太宗及後妃禦容至自汴京，奉安於乾元寺。
HCH_009_039_000065	左宣徽使溫敦七十五奏當用樂。
HCH_009_039_000066	上曰：「樂須太常，奈何？」
HCH_009_039_000067	七十五曰：「市有優樂，可假用之。」
HCH_009_039_000068	權左右司員外郎王鶚奏曰：「世俗之樂，豈可施於帝王之前？」
HCH_009_039_000069	遂止。
HCH_009_039_000070	樂舞名數。
HCH_009_039_000071	太廟登歌，鐘一虡，磬一虡，歌工四，籥二，塤二，篪二，笛二，巢笙二，和笙二，簫二，七星匏一，九耀匏一，閏餘匏一，搏拊二，柷一，敔一，麾一，一弦琴、三弦琴、五弦琴、七弦琴、九弦琴各二，瑟四。
HCH_009_039_000072	別廟登歌並同。
HCH_009_039_000073	親祠則用金鐘、玉磬，攝祭則用編鐘、編磬。
HCH_009_039_000074	宮縣樂三十六虡：編鐘十二虡，編磬十二虡，大鐘、穀鐘、特磬各四虡。
HCH_009_039_000075	建鼓、應鼓、鞞鼓各四，路鼓二，路鞀二，晉鼓一，巢笙、竽笙各十，簫十，籥十，篪十，笛十，塤八，一弦琴三，三弦、五弦、七弦、九弦琴各六，瑟十二，柷一，敔一，麾一。
HCH_009_039_000076	文舞所執籥、翟各六十四，武舞所執硃幹、玉戚各六十四，引舞所執旌二，纛二，牙杖二，單鞀二，單鐸二，雙鐸二，金鐃二，金錞二，金鉦二，相鼓二，雅鼓二。
HCH_009_039_000077	有司攝祭，宮縣二十虡：編鐘四，編磬四，辰鐘十二。
HCH_009_039_000078	建鼓四，路鼓四，路鞀二，晉鼓一，巢笙、竽笙、簫、塤、篪、笛各八，一弦琴三，三弦、五弦、七弦、九弦琴各六，瑟八，柷、敔各一，麾一。
HCH_009_039_000079	登歌及二舞引舞所執與親祠同。
HCH_009_039_000080	皇帝受冊寶。
HCH_009_039_000081	前期，大樂令與協律郎設樂縣於殿廷。
HCH_009_039_000082	又設舉麾位二，一於殿西階，一于樂縣西北。
HCH_009_039_000083	又設登歌樂架於殿上。
HCH_009_039_000084	至日，侍中奏：「外辦。」
HCH_009_039_000085	宮縣樂作，皇帝乃出，即坐，樂止。
HCH_009_039_000086	奉寶入門，樂作，置褥位上，樂止。
HCH_009_039_000087	初引時宮縣樂作，至位立定，樂止。
HCH_009_039_000088	寶初行，樂作，至御前置訖，樂止。
HCH_009_039_000089	皇帝受寶訖，樂作，侍中奏：「稱賀。」
HCH_009_039_000090	樂止。
HCH_009_039_000091	皇太子升殿，登歌樂作，復位，樂止。
HCH_009_039_000092	侍中奏：「禮畢。」
HCH_009_039_000093	宮縣樂作，皇帝還幕次，樂止。
HCH_009_039_000094	禦樓宣赦。
HCH_009_039_000095	前期，大樂署設宮縣於樓下，又設鼓一于宮縣之左。
HCH_009_039_000096	至日，金雞初立，大樂署擊鼓，立訖，鼓止。
HCH_009_039_000097	侍中奏：「外辦。」
HCH_009_039_000098	大樂令撞黃鐘之鐘，右五鐘皆應，《昌甯之樂》作，皇帝乃出。
HCH_009_039_000099	宣讀訖，百官舞蹈，禮畢，大樂令撞蕤賓之鐘，左五鐘皆應，《昌甯之樂》作，皇帝降座，樂止。
HCH_009_039_000100	凡皇帝出入升降及分班合班，皆樂作，坐、立定乃止。
HCH_009_039_000101	其冊命中宮、皇太子、太孫，受外國使賀。
HCH_009_039_000102	宴外國使，皆用宮縣。
HCH_009_039_000103	元日、聖誕稱賀，曲宴外國使，則教坊奏之。
HCH_009_039_000104	其樂器名曲不傳。
HCH_009_039_000105	皇統二年宰臣奏：「自古並無伶人赴朝參之例，所有教坊人員只宜聽候宣喚，不合同百寮赴起居。」
HCH_009_039_000106	從之。
HCH_009_039_000107	章宗明昌二年十一月甲寅，禁伶人不得以歷代帝王為戲及稱萬歲者，以不應為事重法科。
HCH_009_039_000108	泰和初，有司又奏太常工人數少，即以渤海，漢人教坊及大興府樂人兼習以備用。
HCH_009_039_000109	馬上樂也。
HCH_009_039_000110	天子鼓吹、橫吹各有前、後部，部又各分二節。
HCH_009_039_000111	金初用遼故物，其後雜用宋儀。
HCH_009_039_000112	海陵遷燕及大定十一年鹵簿，皆分鼓吹為四節，其他行幸惟用兩部而已。
HCH_009_039_000113	世宗大定九年十一月庚申，皇太子生日，上宴於東宮，命奏新聲，謂大臣曰：「朕制此曲，名《君臣樂》，今天下無事，與卿等共之，不亦樂乎？」
HCH_009_039_000114	辭律不傳。
HCH_009_039_000115	十三年四月乙亥，上禦睿思殿，命歌者歌女直詞，顧謂皇太子曰：「朕思先朝所行之事，未嘗暫忘，故時聽此詞，亦欲令汝輩知女直醇質之風。至於文字、語言或不通曉，是忘本也！」
HCH_009_039_000116	二十五年四月，幸上京，宴宗室于皇武殿，飲酒樂，上諭之曰：「今日甚欲成醉，此樂不易得也。昔漢高祖過故鄉，與父老歡飲，擊築而歌，令諸兒和之。彼起布衣，尚且如是，況我祖宗世有此土，今天下一統，朕巡幸至此，何不樂飲！」
HCH_009_039_000117	于時宗室婦女起舞，進酒畢，群臣故老起舞，上曰：「吾來故鄉數月矣，今回期已近，未嘗有一人歌本曲者，汝曹來前，吾為汝歌。」
HCH_009_039_000118	乃命宗室子敘坐殿下者皆上殿，面聽上歌。
HCH_009_039_000119	曲道祖宗創業艱難，及所以繼述之意。
HCH_009_039_000120	上既自歌，至慨想祖宗音容如睹之語，悲感不復能成聲，歌畢，泣下數行。
HCH_009_039_000121	右丞相元忠暨群臣宗戚捧觴上壽，皆稱萬歲。
HCH_009_039_000122	於是諸老人更歌本曲，如私家相會，暢然歡洽。
HCH_009_039_000123	上複續調歌曲，留坐一更，極歡而罷。
HCH_009_039_000124	其辭曰：猗歟我祖，聖矣武元。
HCH_009_039_000125	誕膺明命，功光於天。
HCH_009_039_000126	拯溺救楚，深根固蒂。
HCH_009_039_000127	克開我後，傳福萬世。
HCH_009_039_000128	無河海陵，淫昏多罪。
HCH_009_039_000129	反易天道，荼毒海內。
HCH_009_039_000130	自昔肇基，至於繼體。
HCH_009_039_000131	積累之業，淪胥且墜。
HCH_009_039_000132	望戴所歸，不謀同意。
HCH_009_039_000133	宗廟至重，人心難拒。
HCH_009_039_000134	勉副樂推，肆予嗣緒。
HCH_009_039_000135	二十四年，兢業萬幾。
HCH_009_039_000136	億兆庶姓，懷保安綏。
HCH_009_039_000137	國家閒暇，廓然無事。
HCH_009_039_000138	乃眷上都，興帝之第。
HCH_009_039_000139	屬茲來遊，惻然予思。
HCH_009_039_000140	風物減耗，殆非昔時。
HCH_009_039_000141	于鄉於裏，皆非初始。
HCH_009_039_000142	雖非初始，朕自樂此。
HCH_009_039_000143	雖非昔時，朕無異視。
HCH_009_039_000144	瞻戀慨想，祖宗舊宇。
HCH_009_039_000145	屬屬音容，宛然如睹。
HCH_009_039_000146	童嬉孺慕，歷歷其處。
HCH_009_039_000147	壯歲經行，恍然如故。
HCH_009_039_000148	舊年從遊，依俙如昨。
HCH_009_039_000149	歡誠契闊，旦暮之若。
HCH_009_039_000150	于嗟闊別兮，雲胡不樂。
HCH_009_039_000151	皇帝入中濆，宮縣黃鐘宮《昌甯之曲》：凡步武同。
HCH_009_039_000152	袞服穆穆，臨於中濆。
HCH_009_039_000153	瞻言圜壇，皇皇後帝。
HCH_009_039_000154	禋祀肇稱，磬香維德。
HCH_009_039_000155	爰暨百神，於昭受職。
HCH_009_039_000156	降神，宮縣《乾甯之曲》、《仁豐道洽之舞》。
HCH_009_039_000157	圜鐘為宮，黃鐘為角，太蔟為徵，姑洗為羽。
HCH_009_039_000158	圜鐘三奏，黃鐘、太蔟、姑洗皆一奏，詞並同：我金之興，皇天錫羨。
HCH_009_039_000159	惟神之休，爰茲郊見。
HCH_009_039_000160	有玉其禮，有牲其薦。
HCH_009_039_000161	將受厥明，來甯來燕。
HCH_009_039_000162	皇帝盥洗，宮縣黃鐘宮《昌甯之曲》：因天事天，惇宗將禮。
HCH_009_039_000163	爰飭攸司，奉時罍洗。
HCH_009_039_000164	挹彼注茲，乃升壇陛。
HCH_009_039_000165	先事而虔，神勞豈弟。
HCH_009_039_000166	皇帝升壇，登歌大呂宮《昌甯之曲》：相在國南，崇崇其趾。
HCH_009_039_000167	烝哉皇王，維時蒞止。
HCH_009_039_000168	至誠通神，克禋克祀。
HCH_009_039_000169	于萬斯年，昊天其子。
HCH_009_039_000170	昊天上帝，奠玉幣，登歌大呂宮《洪甯之曲》：穆穆君王，有嚴有翼。
HCH_009_039_000171	佩環鏘然，圜壇是陟。
HCH_009_039_000172	嘉德升聞，馨非黍稷。
HCH_009_039_000173	高明降監，百神受職。
HCH_009_039_000174	肅敬明祇，躬行奠贄。
HCH_009_039_000175	其贄維何？
HCH_009_039_000176	黃琮制幣。
HCH_009_039_000177	從祀群靈，鹹秩厥位。
HCH_009_039_000178	惟皇能饗，允集熙事。
HCH_009_039_000179	肇舉明禋，皇天后土。
HCH_009_039_000180	皇祖武元，爰作神主。
HCH_009_039_000181	功昭耆定，歌以大呂。
HCH_009_039_000182	綏我思成，有秩斯祜。
HCH_009_039_000183	司徒迎俎，宮縣黃鐘宮《豐甯之曲》：穆穆皇皇，天子躬祀。
HCH_009_039_000184	群臣相之，罔不敬止。
HCH_009_039_000185	俎豆畢陳，物其嘉矣。
HCH_009_039_000186	馨香始升，明神燕喜。
HCH_009_039_000187	昊天上帝，酌獻，登歌大呂宮《嘉甯之曲》：郊禋展敬，昭事上靈。
HCH_009_039_000188	太尊在席，有醑斯馨。
HCH_009_039_000189	酌言獻之，靈其醉止。
HCH_009_039_000190	福祿來宜，以答明祀。
HCH_009_039_000191	袞服穆穆，臨彼泰折。
HCH_009_039_000192	于昭神宮，埋幣瘞血。
HCH_009_039_000193	爰稱匏爵，斟言薦潔。
HCH_009_039_000194	方輿常安，扶我帝業。
HCH_009_039_000195	配位太祖皇帝，《燕甯之曲》：、烝哉高後，肇迪丕基。
HCH_009_039_000196	功與天合，配天以推。
HCH_009_039_000197	薦時清旨，孔肅其儀。
HCH_009_039_000198	來甯來燕，福祿綏之。
HCH_009_039_000199	文舞退，武舞進，宮縣黃鐘宮《咸甯之曲》：奉祀郊丘，《雲門》變舞。
HCH_009_039_000200	進秉硃幹，停揮翟羽。
HCH_009_039_000201	于昭睿文，複肖聖武。
HCH_009_039_000202	無疆維烈，天子受祜。
HCH_009_039_000203	亞終獻，宮縣黃鐘宮《咸甯之曲》、《功成治定之舞》：掃地南郊，天神以俟，于皇君王，克禋克祀。
HCH_009_039_000204	交于神明，玄酒陶器。
HCH_009_039_000205	誠心靖純，非貴食味。
HCH_009_039_000206	皇帝飲福，登歌大呂宮《福甯之曲》：所以承天，無過乎質。
HCH_009_039_000207	天其祐之，惟精惟一。
HCH_009_039_000208	泰尊爰挹，馨香薦德。
HCH_009_039_000209	惠我無疆，子孫千億。
HCH_009_039_000210	徹豆，登歌大呂宮《豐甯之曲》：大禮爰陳，為豆孔碩。
HCH_009_039_000211	肅肅其容，於顯百辟。
HCH_009_039_000212	皇靈降監，馨聞在德。
HCH_009_039_000213	明禋斯成，孚休罔極。
HCH_009_039_000214	送神，宮縣圜鐘宮《乾甯之曲》：赫赫上帝，臨監禋祀。
HCH_009_039_000215	居然來歆，昭答祖配。
HCH_009_039_000216	圜壇四成，神安其位。
HCH_009_039_000217	升歌贊送，天人悅喜。
HCH_009_039_000218	迎神，《鎮甯之曲》。
HCH_009_039_000219	大鐘宮再奏，太蔟角再奏，姑洗徵再奏，南呂羽再奏，詞同：至哉坤儀，萬匯資生。
HCH_009_039_000220	稱物平施，流謙變盈。
HCH_009_039_000221	禮修泰折，祭極精誠。
HCH_009_039_000222	皇皇靈眷，永奠寰瀛。
HCH_009_039_000223	初獻盥洗，太蔟宮《肅甯之曲》：禮有五經，無先祭禮。
HCH_009_039_000224	即時伸虔，惟時盥洗。
HCH_009_039_000225	品物吉蠲，威儀濟濟。
HCH_009_039_000226	錫之純嘏，來歆愷悌。
HCH_009_039_000227	初獻升壇，應鐘宮《肅甯之曲》：無疆之德，至哉坤元。
HCH_009_039_000228	沉潛剛克，資生實蕃。
HCH_009_039_000229	方丘之儀，惟敬無文。
HCH_009_039_000230	神其來思，時歆薦殷。
HCH_009_039_000231	初獻奠玉幣，太蔟宮《億甯之曲》：禮行方澤，文物備舉。
HCH_009_039_000232	惟皇地祇。
HCH_009_039_000233	昭假來下。
HCH_009_039_000234	奠瘞玉帛，純誠內著。
HCH_009_039_000235	神保是享，陟降斯祜。
HCH_009_039_000236	司徒捧俎，太蔟宮《豐甯之曲》：四階秩儀，壇于方澤。
HCH_009_039_000237	昭事皇祇，即陰以墌。
HCH_009_039_000238	潔肆于祊，孔嘉且碩。
HCH_009_039_000239	神其福之，如幾如式。
HCH_009_039_000240	正位酌獻，太蔟宮《溥甯之曲》：蕩蕩坤德，物無不載。
HCH_009_039_000241	柔順利貞，含洪光大。
HCH_009_039_000242	籩豆既陳，金石斯在。
HCH_009_039_000243	四海永寧，福祿攸介。
HCH_009_039_000244	配位酌獻配太宗也，太蔟宮《保甯之曲》：詞闕。
HCH_009_039_000245	亞終獻升壇，太蔟宮《咸甯之曲》：卓彼嘉壇，奠玉方澤。
HCH_009_039_000246	百辟祇肅，八音純繹。
HCH_009_039_000247	祀事孔明，柔祇感格。
HCH_009_039_000248	修理方丘，吉蠲是宜。
HCH_009_039_000249	籩豆靜嘉，登於有司。
HCH_009_039_000250	芬芬馨香，來享來儀。
HCH_009_039_000251	郊儀將終，聲歌徹之。
HCH_009_039_000252	因地方丘，濟濟多儀。
HCH_009_039_000253	樂成八變，靈祇格思。
HCH_009_039_000254	薦餘徹豆，神貺昭垂。
HCH_009_039_000255	億萬斯年，永祐丕基。
HCH_009_039_000256	詣望燎位，太蔟宮《肅甯之曲》。
HCH_009_039_000257	詞同升壇。
