HCH_013_058_000001	英宗天順六年春正月，毛里孩等入河套。
HCH_013_058_000024	毛里孩不得貢，渡河東侵大同。
HCH_013_058_000025	廷議楊信兵少，不足制之。
HCH_013_058_000026	於是以撫寧伯朱永為大將軍，率京兵往，都督劉聚、鮑政副之。
HCH_013_058_000027	會毛里孩再上書求貢，許之。
HCH_013_058_000028	二月，毛里孩入大同界，帝命原調大同、宣府、偏頭關等處搜勦河套官軍，仍留各城守禦。
HCH_013_058_000029	四年春二月，癿加思蘭殺阿羅出，併其眾，而結元孼滿魯都入河套。
HCH_013_058_000030	六年，孛羅忽等據河套，邊人大擾。
HCH_013_058_000031	乃敕都御史王越總關中軍務，議搜河套、復東勝。
HCH_013_058_000032	越等奏言：「河套水草甘肥，易於駐劄；腹裏之地，道路曠遠，難於守禦。陝西孛羅忽、癿加思蘭等糾率醜類，居套分掠，出入數年。雖嘗阻於我師，然未經挫衄，終不肯退。近日據我河曲，擾我延綏、寧夏，深入我平、鞏、固原。近又覘我大同，逼我萬全。乞命廷臣共議，得一爵位崇重、威望素著者，統制諸軍，往圖大舉。」
HCH_013_058_000033	朝廷從其議，以武定侯趙輔充總兵官，總制各路軍馬，搜河套。
HCH_013_058_000034	尋以疾還，遂不復舉。
HCH_013_058_000035	七年春二月，朱永以河套寇未退，議戰守二策。
HCH_013_058_000036	事下兵部，白圭等以「馬方瘦損，供餉不敷，勢難進勦。請命諸將慎為守禦，以圖萬全」。
HCH_013_058_000037	帝從之，命吏部右侍郎葉盛行視河套。
HCH_013_058_000038	時議增兵設險，或請大舉，驅之出河外。
HCH_013_058_000039	沿河築城堡，抵東勝，徙民耕守其中。
HCH_013_058_000040	盛往，上言：「搜河套，復東勝，未可輕議，唯增兵守險，可為遠圖。」
HCH_013_058_000041	帝從之。
HCH_013_058_000042	九年秋九月，滿魯都與孛羅忽並寇韋州，總督王越偵知其老弱盡行，巢於紅鹽池，可取也。
HCH_013_058_000043	乃與總兵許寧、遊擊周玉等率輕騎，晝夜馳三百餘里襲擊之。
HCH_013_058_000044	擒斬三百餘級，獲雜畜器械甚眾，盡燒其廬帳而還。
HCH_013_058_000045	自據河套以來，無歲不深入，殺掠人畜至數千百萬。
HCH_013_058_000046	邊將擁兵，莫敢誰何，徼所遺老弱及殺平民以上功，冒陞賞。
HCH_013_058_000047	三遣大將朱永、趙輔、劉聚出師，亦多效邊將故習。
HCH_013_058_000048	以是益橫，內地且危。
HCH_013_058_000049	廷臣日議搜套，聚兵八萬，糜資儲無算，而師竟不出。
HCH_013_058_000050	至是捷，賊內失其孥，相與悲泣，渡河北去，患少弭。
HCH_013_058_000051	孝宗弘治八年，北部復擁眾入河套住牧。
HCH_013_058_000052	十三年冬十二月，火篩入河套。
HCH_013_058_000053	火篩等渡河而東，焦家坪、娘娘灘、羊圈子等處為衝。
HCH_013_058_000054	其要在偏頭關三受降城。
HCH_013_058_000055	受降城者，唐所築，禦寇於河外者也。
HCH_013_058_000056	中城南直朔方，西城南直靈武，東城南直榆林，相距各四百餘里。
HCH_013_058_000057	花馬池要地，成化前，患在河西。
HCH_013_058_000058	據套，而河東為其衝，花馬池居其中。
HCH_013_058_000059	都御史徐廷璋、楊一清、王瓊新舊城，效力甚堅。
HCH_013_058_000060	花馬池西至興武營一百二十里，又西至橫城堡一百四十里，平漫沙漠。
HCH_013_058_000061	寇路拆牆頗易入靈、韋，掠環、慶，犯平、固，則清水營、鐵柱泉、小鹽池一帶為捷徑。
HCH_013_058_000062	自大廣武渡河而下，至靈、韋亦易。
HCH_013_058_000063	武宗正德元年春正月，總制三邊楊一清上言：「受降據三面之險，當千里之蔽。正統以來，舍受降而衞東勝，已失一面之險。又輟東勝以就延綏，則以一面之地遮千餘里之衝，遂使河套沃壤為寇甌脫，巢穴其中，而盡失外險，反備南河，此陝西邊患所以相尋而莫之解也。絃欲復守東勝，因河為固，東接大同，西接寧夏，使河套千里之地歸我耕牧，開屯田數百里，用省內運，則陝西猶可息肩也。」
HCH_013_058_000064	又上六事：其一，修築定邊營迤東邊牆；其二，修復寧遠基邊迤西北堡；其三，增設花馬池及興武營衞所；其四，防禦靈州上達；其五，整飭韋州官軍；其六，增修黑山、鎮遠關墩臺。
HCH_013_058_000065	多中機宜，帝可其奏，刻期奏績。
HCH_013_058_000066	以忤劉瑾乞休，工亦罷。
HCH_013_058_000067	僅築四十餘里，屹然巨嶂也。
HCH_013_058_000068	初，弘治末，朝廷清明，諸大臣協和，盡心體國，為經久計，以故議復河套。
HCH_013_058_000069	會孝宗崩，瑾既專政，一清復得罪去，遂無敢言及河套者，我邊日減，敵日進矣。
HCH_013_058_000070	嘉靖元年，套騎二萬自井兒堡撤牆入固原、平、涼、涇州，殺指揮楊洪、千戶劉瑞。
HCH_013_058_000071	先是，正德間，小王子三子：長阿爾倫，次阿著，次滿官嗔。
HCH_013_058_000072	太師亦不剌殺阿爾倫，遯入河西。
HCH_013_058_000073	西海之有寇，自亦不剌始也。
HCH_013_058_000074	阿爾倫二子：長卜赤，次七明，皆幼。
HCH_013_058_000075	阿著稱小王子，未幾死，眾立卜赤，稱亦克罕。
HCH_013_058_000076	亦克罕大營五：曰好陳察罕兒，曰召阿兒，曰把郎阿兒，曰克失旦，曰卜爾報，可五萬人。
HCH_013_058_000077	卜赤居中屯牧，五營環之。
HCH_013_058_000078	又東有岡笛、罕哈、爾填三部。
HCH_013_058_000079	岡笛部營三，其渠滿會王；罕哈部營三，其渠猛克不郎；爾填部營一，其渠可都笛。
HCH_013_058_000080	三部共六萬人，居沙漠東偏，與朶顏為鄰。
HCH_013_058_000081	西有應紹不、阿爾禿廝、滿官嗔三部。
HCH_013_058_000082	應紹不部營十：曰阿速，曰哈喇嗔，曰舍奴郎，曰孛來，曰當剌兒罕，曰夫保嗔，曰叭兒廒，曰荒花旦，曰奴母嗔，曰哈不乃麻。
HCH_013_058_000083	故屬亦不剌，亦不剌遁西海去，遂分散無幾，惟哈剌一營僅全。
HCH_013_058_000084	阿爾禿廝部營七，故亦屬亦不剌。
HCH_013_058_000085	後從吉囊合為四營：曰孛合廝，曰偶甚，曰叭哈廝納，曰打郎，眾可七萬。
HCH_013_058_000086	滿官嗔部營八，故屬火篩，後從俺答，合為六營：曰多羅，曰土悶畏吾兒，曰兀甚，曰叭要，曰兀魯，曰土吉剌。
HCH_013_058_000087	三部眾可四萬。
HCH_013_058_000088	吉囊、俺答皆出入河套，阿著子也，諸種中獨強，時寇延、寧、宣、大。
HCH_013_058_000089	南有哈剌嗔、哈連二部。
HCH_013_058_000090	哈剌嗔部營一，渠把答罕奈，眾可三萬。
HCH_013_058_000091	海蘭部營一，渠失剌台吉，眾可二萬。
HCH_013_058_000092	居宣府、大同寨外。
HCH_013_058_000093	北有兀良罕營一，故小王子北部也。
HCH_013_058_000094	因隙叛去，至今相攻。
HCH_013_058_000095	又西為瓦剌，可五萬人，世與土魯番為讎。
HCH_013_058_000096	諸部雖逐水草，遷徙不定，然營皆有分地，不相亂。
HCH_013_058_000097	十二月，寇固原、環、衞間，殺傷以萬計。
HCH_013_058_000098	十七年冬十一月，巡按山西御史何贊疏言：「河套為吉囊所據，外連西海，內搆大同，宜急勦除。其策有二：一曰計以破之，二曰勢以走之。而其要在於久任撫臣，以責成效；興復屯法，以裕邊儲。」
HCH_013_058_000099	議寢不行。
HCH_013_058_000100	二十四年春正月，巡按山西御史陳豪疏言：「北寇三犯山西，殺傷百萬，此不可以常寇目之。計費帑金六百萬，而戰守無尺寸功，諸臣建議，動稱屯守，不知賊眾內侵，不由諸隘口，皆猿攀絕壁，蟻附懸崖，邊垣又何足恃？況諸鎮烽卒，皆媒寇日為生計，多囊針刀，遇偵者賂求不殺，彼此譯語，互為和同。待其深入，然後舉燧發礮，降堠轉走，蓋不止一日一處為爾。且邇來之寇，類多我民亡命，為彼鄉導。故連歲非時倏至，冒險深入，如履故途。乞下延臣集議萬全之策，期於必戰，盡復套地。庶可弭其內擾之患，而邊境無虞矣。」
HCH_013_058_000101	章下兵部議行。
HCH_013_058_000102	二十五年秋八月，套騎三萬餘入犯延安府，至三原、涇陽，殺掠人畜無算。
HCH_013_058_000103	總督三邊侍郎曾銑請復河套，條為八議：一曰定廟謨，二曰立綱紀，三曰審機宜，四曰選將材，五曰任賢能，六曰足芻餉，七曰明賞罰，八曰修長技。
HCH_013_058_000104	計萬餘言，指據明悉。
HCH_013_058_000105	下兵部議行。
HCH_013_058_000106	冬十二月，總督曾銑，巡撫謝蘭、張問行等奏：「延綏密與套寇為鄰，自定邊營至黃甫川連年入寇，率由是道。所當急為修繕，分地定工，次第修舉。起自安邊營，東至龍州堡，計長四百四十餘里為中段；自雙山堡而東，至黃甫川，計長五百九十餘里為下段。歲修一段，期以三年竣事。乞發帑銀如宣、大、山西故事。」
HCH_013_058_000107	疏下部議。
HCH_013_058_000108	銑復言：「套賊不除，中國之禍未可量也。今日之計，宜用練兵六萬人，益以山東鎗手二千，多備矢石。每當秋夏之交，攜五十日之餉，水陸並進。乘其無備，直搗巢穴，材官騶發，礮火雷擊，則彼不能支。歲歲為之，每出益勵，彼勢必折，將遯而出套之恐後矣。俟其遠出，然後因祖宗之故疆，并河為塞，修築墩隍，建置衞所，處分戍卒，講求屯政，以省全陝之轉輸，壯中國之形勢，此中興之大烈也。願陛下斷自聖心，亟定大計。夫臣方議築邊，又議復套者，以築邊不過數十年計耳。復套則驅斥兇殘，臨河作陣，乃國家萬年久遠之計。唯陛下裁之。」
HCH_013_058_000109	疏下兵部議行，謂：「築邊、復套，兩俱不易。相較，則復套又難。夫欲率數萬之眾，齎五十日之糧，深入險遠艱阻之域，以驅數十年盤據之兵，談何容易！故不若修牆築邊，為計完而成功可期也。但延綏一帶，地勢延漫，土雜沙鹻，居民隔遠，最為荒涼。若欲一千五百里之地，而責成於三年之功，恐未易集。縱使能成，亦難為守，宜仍行銑等計議。」
HCH_013_058_000110	以聞，帝曰：「寇據河套，為中國患久矣。連歲關隘橫被荼毒，朕宵旰念之，而邊臣無分主憂者。今銑能倡復套之謀，甚見壯猷。本兵乃久之始覆，迄無定見何也？其令銑更與諸邊臣悉心圖議，務求長算。若邊境千里沙漠，與宣、大地異，但可就要害修築。兵部其發銀三十萬兩與銑，聽其修邊、餉兵、造器，便宜調度支用，備明年防禦計。」
HCH_013_058_000111	二十六年夏五月，總督曾銑出塞襲套部，勝之。
HCH_013_058_000112	初，春時，銑督兵出塞掩擊，敗還，不以聞。
HCH_013_058_000113	至是，復襲之，寇覺，銑搜選銳卒，督之戰。
HCH_013_058_000114	馘斬二十六人，生擒一人脫脫虎，斃於矢石者甚眾，獲馬牛橐駝九百有五十，械器八百五十三，以捷聞。
HCH_013_058_000115	敵移帳漸北，間以輕騎出掠。
HCH_013_058_000116	銑復督諸軍驅之，遂遠遁不敢近塞。
HCH_013_058_000117	銑既以捷聞，更列上諸臣功罪。
HCH_013_058_000118	帝以套寇連年深入，如蹈無人之境，大損國威。
HCH_013_058_000119	銑能率兵出塞，擒斬有功，命增俸，賜白金紵幣有差。
HCH_013_058_000120	十一月，總督曾銑會同陝西巡撫謝蘭、延綏巡撫楊守謙、寧夏巡撫王邦瑞及三鎮總兵，議復套方略，乃條列十八事：曰恢復河套，修築邊牆，選擇將材，選練士卒，買補馬驘，進兵機宜，轉運糧餉，申明賞罰，兼備舟車，多置火器，招降用間，審度時勢，防守河套，營田儲蓄，及明職守，息訛言，寬文法，處孼畜。
HCH_013_058_000121	又上《營陣八圖》：曰《立營總圖》及《遇敵駐戰》、《選鋒車戰》、《騎兵迎戰》、《步兵搏戰》、《行營進攻》、《變營長驅》、《獲功收兵》各圖。
HCH_013_058_000122	帝覽而嘉之，奏下兵部，尚書王以旂會廷臣集議，言：「曾銑先後章疏俱可施行。」
HCH_013_058_000123	帝曰：「寇據河套，為國家患。朕軫宵旰有年，念無任事之臣。今銑前後所上方略，卿等既已詳酌，即會同多官，協忠抒謀，以圖廊清。其定策以聞。」
HCH_013_058_000124	二十七年春正月，大學士夏言罷。
HCH_013_058_000125	初，河套之議，言力主之。
HCH_013_058_000126	嚴嵩積憾言，且欲躐其首輔，於是因災異疏陳缺失，謂：「曾銑開邊啓釁，誤國大計所致。夏言表裏雷同，淆亂國事，當罪。」
HCH_013_058_000127	遂罷言，逮銑詣京，出兵部尚書王以旂總督軍務。
HCH_013_058_000128	廷臣議罪，凡與議復套者，悉奪俸，并罰言官，廷杖有差。
HCH_013_058_000129	於是復套事宜悉為停止。
HCH_013_058_000130	會俺答蹈冰踰河入套，將謀犯延、寧，聲勢甚張。
HCH_013_058_000131	巡撫延綏楊守謙以聞，嵩激上怒，謂「俺答合眾入套，皆曾銑開邊啓釁所致」。
HCH_013_058_000132	於是兵部侍郎萬鎮等參曾銑「罔上貪功」之罪。
HCH_013_058_000133	甘肅總兵咸寧侯仇鸞，初被銑劾奏逮京，亦上疏訐銑。
HCH_013_058_000134	嵩主之，棄銑市。
HCH_013_058_000135	銑有機略，初為御史，巡按遼東。
HCH_013_058_000136	會遼陽、廣寧、撫順兵變，銑密運方略，悉捕首惡誅之，全遼大定，時論以為才。
HCH_013_058_000137	比視西師，乃倡復套議。
HCH_013_058_000138	夏言好邊功，遂力主持之。
HCH_013_058_000139	時敵勢方熾，而軍士積弱。
HCH_013_058_000140	銑疏下部議，久之未覆，上亦危疑之，密以訊嚴嵩。
HCH_013_058_000141	嵩素與言不相能，欲因是陷言、銑，銑竟論死，家無餘貲，妻子狼狽遠徙。
HCH_013_058_000142	後九月，復寇宣府，上曰：「寇以言、銑收河套，故報復至此。」
HCH_013_058_000143	遂并斬言，天下並寃之。
HCH_013_058_000144	自言、銑死，竟無一人議復河套者。
