HCH_009_005_000001	廢帝海陵庶人亮，字元功，本諱迪古乃，遼王宗幹第二子也。
HCH_009_005_000031	辯曰：「公豈有意邪？」
HCH_009_005_000032	海陵曰：「果不得已，舍我其誰！」
HCH_009_005_000033	于是旦夕相與密謀。
HCH_009_005_000034	護衛將軍特思疑之，以告悼后曰：「辯等公餘每竊竊聚語，竊疑之。」
HCH_009_005_000035	后以告熙宗。
HCH_009_005_000036	熙宗怒，召辯謂曰：「爾與亮謀何事，將如我何？」
HCH_009_005_000037	杖之。
HCH_009_005_000038	亮因此忌常勝、阿懶，且惡特思。
HCH_009_005_000039	因河南兵士孫進自稱皇弟按察大王，而熙宗之弟止有常勝、查剌，海陵乘此構常勝、查剌、阿懶、達懶。
HCH_009_005_000040	熙宗使特思鞫之，無狀。
HCH_009_005_000041	海陵曰：「特思鞫不以實。」
HCH_009_005_000042	遂俱殺之。
HCH_009_005_000043	護衛十人長僕散忽土舊受宗幹恩。
HCH_009_005_000044	徒單阿里出虎與海陵姻家。
HCH_009_005_000045	大興國給事寢殿，時時乘夜從主者取符鑰歸家，以爲常。
HCH_009_005_000046	興國嘗以李老僧屬海陵，得爲尚書省令史，故使老僧結興國爲內應，而興國亦以被杖怨熙宗，遂與亮約。
HCH_009_005_000047	十二月丁巳，忽土、阿里出虎內直。
HCH_009_005_000048	是夜，興國取符鑰啟門納海陵、秉德、辯、烏帶、徒單貞、李老僧等人至寢殿，遂弑熙宗。
HCH_009_005_000049	秉德等未有所屬。
HCH_009_005_000050	忽土曰：「始者議立平章，今復何疑。」
HCH_009_005_000051	乃奉海陵坐，皆拜，稱萬歲。
HCH_009_005_000052	詐以熙宗欲議立后，召大臣，遂殺曹國王宗敏，左丞相宗賢。
HCH_009_005_000053	是日，以秉德爲左丞相兼侍中、左副元帥，辯爲右丞相兼中書令，烏帶爲平章政事，忽土爲左副點檢，阿里出虎爲右副點檢，貞爲左衛將軍，興國爲廣甯尹。
HCH_009_005_000054	于是自太師、領三省事勖以下二十人進爵增職各有差。
HCH_009_005_000055	己未，大赦。
HCH_009_005_000056	改皇統九年爲天德元年。
HCH_009_005_000057	參知政事蕭肄除名。
HCH_009_005_000058	鎮南統軍孛極爲尚書左丞。
HCH_009_005_000059	賜左丞相秉德、右丞相辯、平章政事烏帶、廣甯尹興國、點檢忽土、阿里出虎、左衛將軍貞、尚書省令史老僧、辯父刑部尚書阿里等錢絹馬牛羊有差。
HCH_009_005_000060	甲子，誓太祖廟，召秉德、辯、烏帶、忽土、阿里出虎、興國六人賜誓券。
HCH_009_005_000061	丙寅，以燕京路都轉運使劉麟爲參知政事。
HCH_009_005_000062	癸酉，太傳、領三省事蕭仲恭，尚書右丞稟罷。
HCH_009_005_000063	以行台尚書左丞溫都思忠爲右丞。
HCH_009_005_000064	乙亥，追諡皇考太師憲古弘道文昭武烈章孝睿明皇帝，廟號德宗，名其故居曰興聖宮。
HCH_009_005_000065	宋、高麗、夏賀正旦使中道遣還。
HCH_009_005_000066	二年正月辛巳，以同知中京留守事蕭裕爲秘書監。
HCH_009_005_000067	癸巳，尊嫡母徒單氏及母大氏皆爲皇太后。
HCH_009_005_000068	名徒單氏宮曰永壽，大氏宮曰永寧。
HCH_009_005_000069	乙巳，以勵官守、務農時、慎刑罰、揚側陋、恤窮民、節財用、審才實七事詔中外。
HCH_009_005_000070	遣侍衛親步軍都指揮使完顏思恭等以廢立事報諭宋、高麗、夏國。
HCH_009_005_000071	以左丞相兼左副元帥秉德領行台尚書省事。
HCH_009_005_000072	二月戊申朔，封子元壽爲崇王。
HCH_009_005_000073	庚戌，降前帝爲東昏王。
HCH_009_005_000074	給天水郡公孫女二人月俸。
HCH_009_005_000075	甲子，以兵部尚書完顏元宜等充賀宋生日使。
HCH_009_005_000076	戊辰，群臣上尊號曰法天膺運睿武宣文大明聖孝皇帝，詔中外。
HCH_009_005_000077	永壽、永甯兩太后父祖贈官有差。
HCH_009_005_000078	以右丞相唐括辯爲左丞相，平章政事烏帶爲右丞相。
HCH_009_005_000079	三月丙戌，宋、高麗遣使賀即位。
HCH_009_005_000080	以弟袞爲司徒兼都元帥。
HCH_009_005_000081	詔以天水郡王玉帶歸宋。
HCH_009_005_000082	四月戊午，殺太傅、領三省事宗本，尚書左丞相唐括辯，判大宗正府事宗美。
HCH_009_005_000083	遣使殺領行台尚書省事秉德，東京留守宗懿，北京留守卞及太宗子孫七十余人，周宋國王宗翰子孫三十余人，諸宗室五十餘人。
HCH_009_005_000084	辛酉，以尚書省譯史蕭玉爲禮部尚書，秘書監蕭裕爲尚書左丞，司徒袞領三省事、封王，都元帥如故，右丞相烏帶司空、左丞相兼侍中，平章政事劉筈爲尚書右丞相兼中書令，左丞宗義，右丞溫都思忠爲平章政事，參知政事劉麟爲尚書右丞，殿前左副點檢僕散忽土爲殿前都點檢。
HCH_009_005_000085	五月戊子，以平章行台尚書省事、右副元帥大抃爲行台尚書右丞相，元帥如故。
HCH_009_005_000086	壬辰，以左副元帥撒離喝爲行台尚書左丞相，元帥如故。
HCH_009_005_000087	同判大宗正事宗安爲御史大夫。
HCH_009_005_000088	六月丙午朔，高麗遣使賀即位。
HCH_009_005_000089	甲子，太廟初設四神門及四隅罘罳。
HCH_009_005_000090	七月己丑，司空、左丞相兼侍中烏帶罷。
HCH_009_005_000091	以平章政事溫都思忠爲左丞相，尚書左丞蕭裕爲平章政事，右丞劉麟爲左丞，侍衛親軍步軍都指揮使完顏思恭爲右丞。
HCH_009_005_000092	參知政事張浩丁憂，起復如故。
HCH_009_005_000093	戊戌，夏國遣使賀即位及受尊號。
HCH_009_005_000094	八月戊申，以司徒袞爲太尉、領三省事，都元帥如故。
HCH_009_005_000095	以禮部尚書蕭玉爲參知政事。
HCH_009_005_000096	九月甲午，立惠妃徒單氏爲皇后。
HCH_009_005_000097	十月癸卯，太師、領三省事勖致仕。
HCH_009_005_000098	辛未，殺太皇太妃蕭氏及其子任王偎喝。
HCH_009_005_000099	使使殺行台左丞相、左副元帥撒離喝于汴，並殺平章政事宗義、前工部尚書謀里野、御史大夫宗安，皆夷其族。
HCH_009_005_000100	以魏王斡帶之孫活里甲好修飾，亦族之。
HCH_009_005_000101	十一月癸未，尚書右丞相劉筈罷。
HCH_009_005_000102	以會甯牧徒單恭爲平章政事。
HCH_009_005_000103	尚書左丞劉麟、右丞完顏思恭罷。
HCH_009_005_000104	以參知政事張浩爲尚書右丞。
HCH_009_005_000105	乙酉，以行台尚書左丞張通古爲尚書左丞。
HCH_009_005_000106	丙戌，白虹貫日。
HCH_009_005_000107	丁亥，以太后旨稱令旨。
HCH_009_005_000108	戊子，以十二事戒約官吏。
HCH_009_005_000109	己丑，命庶官許求次室二人，百姓亦許置妾。
HCH_009_005_000110	十二月癸卯朔，詔去群臣所上尊號。
HCH_009_005_000111	丙午，初定襲封衍聖公俸格。
HCH_009_005_000112	命外官去所屬百里外者不許參謁，百里內者往還不得過三日。
HCH_009_005_000113	癸丑，立太祖射碑于紇石烈部中，上及皇后致奠于碑下。
HCH_009_005_000114	甲寅，野人來獻異香，卻之。
HCH_009_005_000115	乙卯，有司奏慶雲見，上曰：「朕何德以當此。自今瑞應毋得上聞，若有妖異，當以諭朕，使自警焉。」
HCH_009_005_000116	己未，罷行台尚書省。
HCH_009_005_000117	改都元帥府爲樞密院。
HCH_009_005_000118	詔改定繼絕法。
HCH_009_005_000119	以右副元帥大抃爲尚書右丞相兼中書令，參知行台尚書省事張中孚爲參知政事，都元帥袞爲樞密使，太尉、領三省事如故，元帥左監軍昂爲樞密副使，刑部尚書趙資福爲御史大夫。
HCH_009_005_000120	三年正月癸酉朔，宋、夏、高麗遣使來賀。
HCH_009_005_000121	乙亥，參知政事蕭玉丁憂，起復如故。
HCH_009_005_000122	癸未，立春，觀擊土牛。
HCH_009_005_000123	丁亥，初造燈山于宮中。
HCH_009_005_000124	戊子，生辰，宋、高麗、夏遣使來賀。
HCH_009_005_000125	甲午，初置國子監。
HCH_009_005_000126	謂御史大夫趙資福曰：「汝等多徇私情，未聞有所彈劾，朕甚不取。自今百官有不法者，必當舉劾，無憚權貴。」
HCH_009_005_000127	乙未，上出獵，宰相以下辭于近郊。
HCH_009_005_000128	上駐馬戒之曰：「朕不惜高爵厚祿以任汝等，比聞事多留滯，豈汝等苟圖自安不以民事爲念耶？自今朕將察其勤惰，以爲賞罰，其各勉之。」
HCH_009_005_000129	丁酉，白虹貫日。
HCH_009_005_000130	二月丁巳，還宮。
HCH_009_005_000131	三月庚寅，以翰林學士劉長言等爲宋生日使。
HCH_009_005_000132	壬辰，詔廣燕城，建宮室。
HCH_009_005_000133	己亥，謂侍臣曰：「昨太子生日，皇后獻朕一物，大是珍異，卿試觀之。」
HCH_009_005_000134	即出諸絳囊中，乃田家稼穡圓。
HCH_009_005_000135	「后意太子生深宮之中，不知民間稼穡之艱難，故以爲獻，朕甚賢之。」
HCH_009_005_000136	四月丙午，詔遷都燕京。
HCH_009_005_000137	辛酉，有司圖上燕城宮室制度，營建陰陽五姓所宜。
HCH_009_005_000138	海陵曰：「國家吉凶，在德不在地。使桀、紂居之，雖卜善地何益。使堯、舜居之，何用卜爲。」
HCH_009_005_000139	丙寅，罷歲貢鷹隼。
HCH_009_005_000140	沂州男子吳真犯法，當死，有司以其母老疾無侍爲請，命官與養濟，著爲令。
HCH_009_005_000141	閏月辛未朔，命尚書右丞張浩調選燕京，仍諭浩無私徇。
HCH_009_005_000142	丙子，命太官常膳惟進魚肉，舊貢鵝鴨等悉罷之。
HCH_009_005_000143	丁丑，罷皇統間苑中所養禽獸。
HCH_009_005_000144	歸德軍節度使阿魯補以撤官舍材木構私第，賜死。
HCH_009_005_000145	戊戌，詔朝官稱疾不治事者，尚書省令監察御史與太醫同診視，無實者坐之。
HCH_009_005_000146	五月壬子，以戒敕宰相以下官，詔中外。
HCH_009_005_000147	戊辰，宰臣請益嬪御以廣嗣續。
HCH_009_005_000148	上命徒單貞語宰臣，前所誅党人諸婦人中多朕中表親，欲納之官中。
HCH_009_005_000149	平章政事蕭裕不可，上不從。
HCH_009_005_000150	遂納宗本子莎魯啜，宗固子胡里剌、胡失打，秉德弟糺里等妻宮中。
HCH_009_005_000151	六月丙子，殺太府監完顏馮六。
HCH_009_005_000152	宋遣使祈請山陵，不許。
HCH_009_005_000153	九月庚戌，賜燕京役夫帛，人一匹。
HCH_009_005_000154	以東京路兵馬都總管府判官蕭子敏爲高麗生日使，修起居注蕭彭哥爲夏國生日使。
HCH_009_005_000155	十月己巳，殺蘭子山猛安蕭拱。
HCH_009_005_000156	以右副點檢不朮魯阿海等爲宋正旦使。
HCH_009_005_000157	十一月癸亥，詔罷世襲萬戶官，前後賜姓人各復本姓。
HCH_009_005_000158	十二月戊辰，杖壽甯縣主徐輦。
HCH_009_005_000159	癸酉，獵于近郊。
HCH_009_005_000160	乙酉，還宮。
HCH_009_005_000161	是歲，子崇王元壽薨。
HCH_009_005_000162	四年正月丁酉朔，宋、高麗、夏遣使來賀。
HCH_009_005_000163	群臣請立皇太子，從之。
HCH_009_005_000164	戊戌，初定東宮官屬。
HCH_009_005_000165	立捕盜賞格。
HCH_009_005_000166	癸卯，太白經天。
HCH_009_005_000167	壬子，生辰，宋、高麗、夏遣使來賀。
HCH_009_005_000168	癸亥，朝謁世祖、太祖、太宗、德宗陵。
HCH_009_005_000169	甲子，還宮。
HCH_009_005_000170	二月丁卯，立子光英爲皇太子，庚午，詔中外。
HCH_009_005_000171	甲戌，如燕京。
HCH_009_005_000172	昭義軍節度使蕭仲宣家奴告其主怨謗。
HCH_009_005_000173	上曰：「仲宣之侄迪輦阿不近以誹謗誅，故敢妄訴。」
HCH_009_005_000174	命殺告者。
HCH_009_005_000175	迪輦阿不者，蕭拱也。
HCH_009_005_000176	戊子，次泰州。
HCH_009_005_000177	三月丙申朔，以刑部尚書田秀穎等爲宋生日使。
HCH_009_005_000178	四月丙寅朔，有司請今歲河南、北選人並赴中京銓注，從之。
HCH_009_005_000179	壬辰，上自泰州如涼陘。
HCH_009_005_000180	五月丁酉，獵于立列只山。
HCH_009_005_000181	甲寅，賜獵士，人一羊。
HCH_009_005_000182	乙卯，次臨潢府。
HCH_009_005_000183	丁巳，太白經天。
HCH_009_005_000184	六月甲子朔，駐綿山。
HCH_009_005_000185	戊寅，權楚底部猛安那野伏誅。
HCH_009_005_000186	七月癸卯，命崇義軍節度使烏帶之妻唐括定哥殺其夫而納之。
HCH_009_005_000187	八月癸亥朔，獵于途你山。
HCH_009_005_000188	甲戌，以侍御史保魯鞫事不實，杖之。
HCH_009_005_000189	丙子，次于鐸瓦。
HCH_009_005_000190	九月甲午，次中京。
HCH_009_005_000191	丙午，尚書右丞相大抃罷。
HCH_009_005_000192	殺太府少監劉景。
HCH_009_005_000193	以都水使者完顏麻潑爲高麗生日使，吏部郎中蕭中立爲夏國生日使。
HCH_009_005_000194	十月壬戌朔，使使奉遷太廟神主。
HCH_009_005_000195	御史大夫趙資福罷。
HCH_009_005_000196	甲申，以太子詹事張用直等爲賀宋正旦使。
HCH_009_005_000197	殺太祖長公主兀魯，杖罷其夫平章政事徒單恭，封其侍婢忽撻爲國夫人。
HCH_009_005_000198	恭之兄定哥初尚兀魯，定哥死，恭強納焉，而不相能，又與侍婢忽撻不協。
HCH_009_005_000199	忽撻得幸于后，遂譖于上，故見殺，而並罷恭。
HCH_009_005_000200	十一月戊戌，以咸平尹李德固爲平章政事。
HCH_009_005_000201	辛丑，買珠于烏古迪烈部及蒲與路，禁百姓私相貿易，仍調兩路民夫，采珠一年。
HCH_009_005_000202	戊申，以前平章政事徒單恭爲司徒。
HCH_009_005_000203	十二月甲子，斬妄人敲仙于中京市。
HCH_009_005_000204	辛未，以汴京路都轉運使左瀛等爲賀宋正旦使。
HCH_009_005_000205	庚寅，太尉、領三省事、樞密使袞薨。
HCH_009_005_000206	貞元元年正月辛卯朔，上不視朝。
HCH_009_005_000207	詔有司受宋、高麗、夏、回紇貢獻。
HCH_009_005_000208	丙午，生辰，宋、高麗、夏遣使來賀。
HCH_009_005_000209	以中京留守高楨爲御史大夫。
HCH_009_005_000210	二月庚申，上自中京如燕京。
HCH_009_005_000211	三月辛亥，上至燕京，初備法駕，甲寅，親選良家子百三十餘人充后宮。
HCH_009_005_000212	乙卯，以遷都詔中外。
HCH_009_005_000213	改元貞元。
HCH_009_005_000214	改燕京爲中都，府曰大興，汴京爲南京，中京爲北京。
HCH_009_005_000215	丙辰，以司徒徒單恭爲太保、領三省事，平章政事蕭裕爲右丞相兼中書令，右丞張浩、左丞張通古爲平章政事，參知政事張中孚爲左丞，蕭玉爲右丞，平章政事李德固爲司空，左宣徽使劉萼爲參知政事，樞密副使昂爲樞密使，工部尚書僕散師恭爲樞密副使。
HCH_009_005_000216	四月辛酉，以右宣徽使紇石烈撒合輦等爲賀宋生日使。
HCH_009_005_000217	辛未，特封唐括定哥爲貴妃。
HCH_009_005_000218	戊寅，皇太后大氏崩。
HCH_009_005_000219	五月辛卯，殺弟西京留守蒲家。
HCH_009_005_000220	西京兵馬完顏謨盧瓦、編修官圓福奴、通進孛迭坐與蒲家善，並殺之。
HCH_009_005_000221	乙卯，以京城隙地賜朝官及衛士。
HCH_009_005_000222	六月乙丑，以安國軍節度使耶律恕爲參知政事。
HCH_009_005_000223	七月戊子朔，元賜朝官京城隙地，征錢有差。
HCH_009_005_000224	八月壬戌，司空李德固薨。
HCH_009_005_000225	禁中都路捕射麞兔。
HCH_009_005_000226	戊寅，賜營建宮室工匠及役夫帛。
HCH_009_005_000227	九月丁亥朔，以翰林待制謀良虎爲夏國生日使，吏部郎中窊合山爲高麗生日使。
HCH_009_005_000228	十月丁巳，獵于良鄉。
HCH_009_005_000229	封料石岡神爲靈應王。
HCH_009_005_000230	初，海陵嘗過此祠，持杯珓禱曰：「使吾有天命，當得吉卜。」
HCH_009_005_000231	投之，吉。
HCH_009_005_000232	又禱曰：「果如所卜，他日當有報，否則毀爾祠宇。」
HCH_009_005_000233	投之，又吉，故封之。
HCH_009_005_000234	戊午，還宮。
HCH_009_005_000235	壬戌，有司言：「太后園陵未畢，合停冬享及祫祭。」
HCH_009_005_000236	從之。
HCH_009_005_000237	丙子，命內外官聞大功以上喪，止給當日假，若父母喪，聽給假三日，著爲令。
HCH_009_005_000238	十一月丙戌朔，定州獻嘉禾，詔自今不得復進。
HCH_009_005_000239	己丑，瑤池殿成。
HCH_009_005_000240	丙申，以戶部尚書蔡松年等爲賀宋正旦使。
HCH_009_005_000241	戊戌，左丞相耨碗溫都思忠致仕。
HCH_009_005_000242	庚戌，以樞密使昂爲左丞相，樞密副使僕散思恭爲樞密使。
HCH_009_005_000243	十二月，太白經天。
HCH_009_005_000244	戊午，特賜貴妃唐括定哥家奴孫梅進士及第。
HCH_009_005_000245	壬戌，以簽書樞密院事南撒爲樞密副使。
HCH_009_005_000246	辛未，對所納皇叔曹國王宗敏妃阿懶爲昭妃。
HCH_009_005_000247	丙子，貴妃唐括定哥坐與舊奴奸，賜死。
HCH_009_005_000248	閏月乙酉朔，殺護衛特謨葛。
HCH_009_005_000249	癸巳，定社稷制度。
HCH_009_005_000250	太白經天。
HCH_009_005_000251	癸卯，乙太保、領三省事徒單恭爲太保、領三省事如故。
HCH_009_005_000252	命西京路統軍撻懶、西北路招討蕭懷忠、臨潢府總管馬和尚、烏古迪烈司招討斜野等北巡。
HCH_009_005_000253	二年正月甲寅朔，上不豫，不視朝。
HCH_009_005_000254	賜宋、高麗、夏使就館燕。
HCH_009_005_000255	庚申，太白經天。
HCH_009_005_000256	尚書右丞相蕭裕與前真定尹蕭馮家奴、前御史中丞蕭招折、博州同知遙設等謀反，伏誅，詔中外。
HCH_009_005_000257	己巳，生辰，宋、高麗、夏遣使來賀。
HCH_009_005_000258	二月甲申朔，以平章政事張浩爲尚書右丞相兼中書令。
HCH_009_005_000259	甲午，以尚書右丞蕭玉爲平章政事，前河南路統軍使張輝爲尚書右丞，西北路招討使蕭好胡爲樞密副使。
HCH_009_005_000260	三月戊辰，夏遣使賀遷都。
HCH_009_005_000261	四月丙戌，幸大興府及都轉運使司。
HCH_009_005_000262	遣薦含桃于衍慶宮。
HCH_009_005_000263	五月癸丑朔，日有食之，避正殿，敕百官勿治事。
HCH_009_005_000264	己未，詔自今每月上七日不奏刑名，尚食進饌不進肉。
HCH_009_005_000265	丁卯，始置交鈔庫，設使副員。
HCH_009_005_000266	丁丑，太原尹徒單阿里出虎伏誅，復命其子朮斯剌乘傳焚其骨，擲水中。
HCH_009_005_000267	七月庚申，初設鹽鈔香茶文引印造庫使副。
HCH_009_005_000268	丙子，參知政事耶律恕罷。
HCH_009_005_000269	八月丙午，以左丞相昂去衣杖其弟婦，命杖之。
HCH_009_005_000270	戊申，以御史大夫高楨爲司空，御史大夫如故。
HCH_009_005_000271	九月己未，常武殿擊鞠，令百姓縱觀。
HCH_009_005_000272	辛酉，以吏部尚書蕭頤爲參知政事。
HCH_009_005_000273	癸亥，獵于近郊。
HCH_009_005_000274	丁卯，次順州。
HCH_009_005_000275	太師、領三省事徒單恭薨。
HCH_009_005_000276	是夜，還宮。
HCH_009_005_000277	乙亥，復獵于近郊。
HCH_009_005_000278	十月庚辰朔，殺廣甯尹韓王亨。
HCH_009_005_000279	庚寅，還宮。
HCH_009_005_000280	庚子，以左丞相致仕溫都思忠起爲太傅、領三省事。
HCH_009_005_000281	以刑部侍郎白彥恭等爲賀宋正旦使。
HCH_009_005_000282	十一月戊辰，上命諸從姊妹皆分屬諸妃，出入禁中，與爲淫亂，臥內遍設地衣，裸逐爲戲。
HCH_009_005_000283	是月，初置惠民局。
HCH_009_005_000284	高麗遣使謝賜生日。
HCH_009_005_000285	十二月乙酉，乙太傅溫都思忠爲太師，領三省事如故，平章政事張通古爲司徒，平章政事如故。
HCH_009_005_000286	三年正月己酉朔，宋、高麗、夏遣使來賀。
HCH_009_005_000287	辛酉，以判東京留守大抃爲太傅、領三省事。
HCH_009_005_000288	甲子，生辰，宋、高麗、夏遣使來賀。
HCH_009_005_000289	二月壬午，以左丞相昂爲太尉、樞密使，右丞相張浩爲左丞相兼侍中，樞密使僕散思恭爲右丞相兼中書令。
HCH_009_005_000290	尚書左丞張中孚罷，右丞張暉爲平章政事。
HCH_009_005_000291	參知政事劉萼爲左丞，參知政事蕭頤爲右丞，吏部尚書蔡松年爲參知政事。
HCH_009_005_000292	三月壬子，以左丞相張浩、平章政事張暉每見僧法寶必坐其下，失大臣體，各杖二十。
HCH_009_005_000293	僧法寶妄自尊大，杖二百。
HCH_009_005_000294	乙卯，命以大房山雲峰寺爲山陵，建行宮其麓。
HCH_009_005_000295	庚午，以左司郎中李通爲賀宋生日使。
HCH_009_005_000296	夏四月丁丑朔，昏霧四塞，日無光，凡十有七日。
HCH_009_005_000297	五月丁未朔，日有食之。
HCH_009_005_000298	癸丑，南京大內火。
HCH_009_005_000299	乙卯，命判大宗正事京等如上京，奉遷太祖、太宗梓宮。
HCH_009_005_000300	丙寅，如大房山，營山陵。
HCH_009_005_000301	六月丙戌，登寶昌門觀角抵，百姓縱觀。
HCH_009_005_000302	乙未，命右丞相僕散思恭、大宗正丞胡拔魯如上京，奉遷山陵及迎永壽宮皇太后。
HCH_009_005_000303	七月癸丑，太白晝見。
HCH_009_005_000304	辛酉，如大房山，杖提舉營造官吏部尚書耶律安禮等。
HCH_009_005_000305	乙亥，還宮。
HCH_009_005_000306	八月壬午，如大房山。
HCH_009_005_000307	甲申，啟土，賜役夫，人絹一匹。
HCH_009_005_000308	是日，還宮。
HCH_009_005_000309	甲午，遣平章政事蕭玉迎祭祖宗梓宮于廣寧。
HCH_009_005_000310	乙未，增置教坊人數。
HCH_009_005_000311	庚子，杖左宣徽使敬嗣暉、同知宣徽事烏居仁及尚食官。
HCH_009_005_000312	九月戊申，平章政事張輝迎祭梓宮于宗州。
HCH_009_005_000313	乙卯，上謂宰臣及左司官曰：「朝廷之事，尤在慎密。昨授張中孚、趙慶襲官，除書未到，先已知之，皆汝等泄之也。敢復爾者，殺無赦。」
HCH_009_005_000314	己未，如大房山。
HCH_009_005_000315	庚申，還宮。
HCH_009_005_000316	丙寅，以殿前都點檢納合椿年爲參知政事。
HCH_009_005_000317	丁卯，上親迎梓宮及皇太后于沙流河，命左右持杖二束，跽太后前，曰：「某不孝，久失溫凊，願痛笞之。」
HCH_009_005_000318	太后掖起之，曰：「凡民有子克家，猶愛之，況我有子如此。」
HCH_009_005_000319	叱持杖者退。
HCH_009_005_000320	庚午，獵，親射麞以薦梓宮。
HCH_009_005_000321	壬申，至自沙流河。
HCH_009_005_000322	十月丙子，皇太后至中都，居壽康宮。
HCH_009_005_000323	戊寅，權奉安太廟神主于延聖寺，致奠梓宮于東郊，舉哀。
HCH_009_005_000324	己卯，梓宮至中都，以大安殿爲丕承殿，安置。
HCH_009_005_000325	壬午，命省部諸司便服治事，不奏死刑一月。
HCH_009_005_000326	辛卯，告于丕承殿。
HCH_009_005_000327	乙未，如菆宮，冊諡永甯皇太后曰慈憲皇后。
HCH_009_005_000328	丁酉，大房山行宮成，名曰磐寧。
HCH_009_005_000329	戊戌，還宮。
HCH_009_005_000330	己亥，以翰林學士承旨耶律歸一等爲賀宋正旦使。
HCH_009_005_000331	十一月乙巳朔，梓宮發丕承殿。
HCH_009_005_000332	戊申，山陵禮成。
HCH_009_005_000333	甲寅，詔內外大小職官覃遷一重，貞元四年租稅並與放免，軍士久于屯戍不經替換者，人賜絹三匹、銀三兩。
HCH_009_005_000334	群臣稱賀。
HCH_009_005_000335	丙辰，燕百官于泰和殿。
HCH_009_005_000336	丁卯，奉安神主于太廟。
HCH_009_005_000337	戊辰，群臣稱賀。
HCH_009_005_000338	辛未，獵于近郊。
HCH_009_005_000339	十二月己丑，還宮。
HCH_009_005_000340	木冰。
HCH_009_005_000341	乙未，上朝太后于壽康宮。
HCH_009_005_000342	己亥，太傅、領三省事大抃薨，親臨哭之，命有司廢務及禁樂三日。
HCH_009_005_000343	正隆元年正月癸卯朔，宋、高麗、夏遣使來賀。
HCH_009_005_000344	己酉，群臣奉上尊號曰聖文神武皇帝。
HCH_009_005_000345	上自九月廢朝，常數月不出，有急奏，召左右司郎中省于臥內。
HCH_009_005_000346	庚戌，始視朝。
HCH_009_005_000347	戊午，生辰，宋、高麗、夏遣使來賀。
HCH_009_005_000348	乙丑，觀角抵戲。
HCH_009_005_000349	罷中書門下省。
HCH_009_005_000350	乙太師、領三省事溫都思忠爲尚書令，太尉、樞密使昂爲太保，右丞相僕散思恭爲太尉、樞密使。
HCH_009_005_000351	左丞劉萼、右丞蕭頤罷，參知政事蔡松年爲尚書右丞。
HCH_009_005_000352	樞密副使蕭懷忠罷，吏部尚書耶律安禮爲樞密副使。
HCH_009_005_000353	平章政事蕭玉爲右丞相，平章政事張暉罷，不置平章政事官。
HCH_009_005_000354	二月癸酉朔，改元正隆，大赦。
HCH_009_005_000355	庚辰，御宣華門觀迎佛，賜諸寺僧絹五百匹、彩五十段、銀五百兩。
HCH_009_005_000356	辛巳，改定內外諸司印記。
HCH_009_005_000357	乙未，司徒張通古致仕。
HCH_009_005_000358	庚子，謁山陵。
HCH_009_005_000359	辛丑，還都。
HCH_009_005_000360	三月壬寅朔，始定職事官朝參等格。
HCH_009_005_000361	仍罷兵衛。
HCH_009_005_000362	庚申，以左宣徽使敬嗣暉等爲賀宋生日使。
