HCH_010_035_000000	漢武帝多行幸之事，置期門、佽飛、羽林之目，天子始有親軍。
HCH_010_035_000031	太和、永昌二宮宜與興聖、延慶同，舊史不見提轄司，蓋闕文也。
HCH_010_035_000032	南京：弘義宮提轄司。
HCH_010_035_000033	長寧宮提轄司。
HCH_010_035_000034	永興宮提轄司。
HCH_010_035_000035	積慶宮提轄司。
HCH_010_035_000036	延昌宮提轄司。
HCH_010_035_000037	彰湣宮提轄司。
HCH_010_035_000038	崇德宮提轄司。
HCH_010_035_000039	興聖宮提轄司。
HCH_010_035_000040	延慶宮提轄司。
HCH_010_035_000041	敦睦宮提轄司。
HCH_010_035_000042	文忠王府提轄司。
HCH_010_035_000043	西京：弘義宮提轄司。
HCH_010_035_000044	長寧宮提轄司。
HCH_010_035_000045	永興宮提轄司。
HCH_010_035_000046	積慶宮提轄司。
HCH_010_035_000047	彰湣宮提轄司。
HCH_010_035_000048	崇德宮提轄司。
HCH_010_035_000049	延慶宮提轄司。
HCH_010_035_000050	文忠王府提轄司。
HCH_010_035_000051	奉聖州：弘義宮提轄司。
HCH_010_035_000052	長寧宮提轄司。
HCH_010_035_000053	永興宮提轄司。
HCH_010_035_000054	積慶宮提轄司。
HCH_010_035_000055	彰湣宮提轄司。
HCH_010_035_000056	崇德宮提轄司。
HCH_010_035_000057	興聖宮提轄司。
HCH_010_035_000058	延慶宮提轄司。
HCH_010_035_000059	文忠王府提轄司。
HCH_010_035_000060	平州：弘義宮提轄司。
HCH_010_035_000061	長寧宮提轄司。
HCH_010_035_000062	永興宮提轄司。
HCH_010_035_000063	積慶宮提轄司。
HCH_010_035_000064	延昌宮提轄司。
HCH_010_035_000065	彰湣宮提轄司。
HCH_010_035_000066	興聖宮提轄司。
HCH_010_035_000067	延慶宮提轄司。
HCH_010_035_000068	文忠王府提轄司。
HCH_010_035_000069	中京：延昌宮提轄司。
HCH_010_035_000070	文忠王府提轄司。
HCH_010_035_000071	上京：文忠王府提轄司。
HCH_010_035_000072	凡諸宮衛，丁四十萬八千，出騎軍十萬一千。
HCH_010_035_000073	大首領部族軍遼親王大臣，體國如家，征伐之際，往往置私甲以從王事。
HCH_010_035_000074	大者千餘騎，小者數百人，著籍皇府。
HCH_010_035_000075	國有戎政，量借三五千騎，常留餘兵為部族根本。
HCH_010_035_000076	太子軍。
HCH_010_035_000077	偉王軍。
HCH_010_035_000078	永康王軍。
HCH_010_035_000079	於越王軍。
HCH_010_035_000080	麻答軍。
HCH_010_035_000081	五押軍。
HCH_010_035_000082	眾部族軍眾部族分隸南北府，守衛四邊，各有司法，具如左。
HCH_010_035_000083	北府凡二十八部。
HCH_010_035_000084	侍從宮帳：奚王府部。
HCH_010_035_000085	鎮南境：五院部。
HCH_010_035_000086	六院部。
HCH_010_035_000087	東北路招討司：烏隗部。
HCH_010_035_000088	東北路統軍司：遙裏部。
HCH_010_035_000089	伯德部。
HCH_010_035_000090	奧德部。
HCH_010_035_000091	南克部。
HCH_010_035_000092	北克部。
HCH_010_035_000093	圖盧部。
HCH_010_035_000094	術者達魯虢部。
HCH_010_035_000095	河西部。
HCH_010_035_000096	西北路招討司：突呂不部。
HCH_010_035_000097	奧衍女直部。
HCH_010_035_000098	室韋部。
HCH_010_035_000099	西南路招討司：涅剌部。
HCH_010_035_000100	烏古涅剌部。
HCH_010_035_000101	涅剌越兀部。
HCH_010_035_000102	梅古悉部。
HCH_010_035_000103	頡的部。
HCH_010_035_000104	匿訖唐古部。
HCH_010_035_000105	鶴剌唐古部。
HCH_010_035_000106	黃龍府都部署司：隗衍突厥部。
HCH_010_035_000107	奧衍突厥部。
HCH_010_035_000108	北唐左部。
HCH_010_035_000109	五國部。
HCH_010_035_000110	烏古敵烈統軍司：叠魯敵烈部。
HCH_010_035_000111	戍隗烏石部：北敵烈部。
HCH_010_035_000112	南府凡一十六部。
HCH_010_035_000113	鎮駐西南境：乙室部。
HCH_010_035_000114	西南路招討司：品部。
HCH_010_035_000115	叠達叠剌部。
HCH_010_035_000116	品達魯虢部。
HCH_010_035_000117	乙典女直部。
HCH_010_035_000118	西北路招討司：楮特部。
HCH_010_035_000119	東北路統軍司：達馬鼻古德部。
HCH_010_035_000120	東北路女直兵馬司：乙室奧隗部。
HCH_010_035_000121	東京都部署司：楮特奧隗部。
HCH_010_035_000122	窈爪部。
HCH_010_035_000123	稍瓦部。
HCH_010_035_000124	曷術部。
HCH_010_035_000125	戌倒塌嶺：訛仆括部。
HCH_010_035_000126	屯駐本境：撒裏葛部。
HCH_010_035_000127	南唐古部。
HCH_010_035_000128	薛特部。
HCH_010_035_000129	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
