HCH_012_137_000001	劉三吾安然吳伯宗吳沈桂彥良宋訥趙俶李叔正劉崧羅復仁劉三吾，茶陵人。
HCH_012_137_000205	彥良曰：「成湯祭上帝曰『予小子履』；武王祀文王之詩曰「『我將我享』。古有此言。」帝色霽曰：「正字言是也。」時御史臺具獄，令詞臣覆讞。彥良所論釋者數十人。遷晉王府右傅。帝親為文賜之。彥良入謝。帝曰：「江南大儒，惟卿一人。」對曰：「臣不如宋濂、劉基。」帝曰「濂，文人耳；基，峻隘，不如卿也。」彥良至晉，制《格心圖》獻王。後更王府官制，改左長史。朝京師，上太平十二策。帝曰：「彥良所陳，通達事體，有裨治道。世謂儒者泥古不通今，若彥良可謂通儒矣。」十八年請告歸，越二年卒。明初，特重師傅。既命宋濂教太子，而諸王傅亦慎其選。彥良與陳南賓等皆宿儒老生，而李希顏與駙馬都尉胡觀傅徐宗實，尤以嚴見憚。李希顏，字愚庵，郟人。隱居不仕。太祖手書徵之，至京，為諸王師。規範嚴峻，諸王有不率教者，或擊其額。帝撫而怒。高皇后曰：「烏有以聖人之道訓吾子，顧怒之耶？」太祖意解，授左春坊右贊善。諸王就藩，希顏歸舊隱。閭裏宴集，常著緋袍戴笠往。客問故，笑曰：「笠本質，緋，君賜也。」徐宗實，名垕，以字行，黃巖人。少穎悟。篤於學。洪武中，被薦，除銅陵簿。請告迎養，忤帝意，謫戍淮陰驛。會東川侯胡海子觀選尚主，帝為觀擇師，難其人，以命宗實。
HCH_012_137_000206	中使援他府例，置駙馬位中堂南向，而布師席於西階上東向。
HCH_012_137_000207	宗實手引駙馬位使下，然後為說書。
HCH_012_137_000208	左右大驚，相顧以目。
HCH_012_137_000209	帝聞而嘉之，召宗實慰勞數四。
HCH_012_137_000210	洪武末，授蘇州通判。
HCH_012_137_000211	奏發官粟二十萬石以活饑民。
HCH_012_137_000212	春水暴，齧堤，倡議修築，吳人皆以為便。
HCH_012_137_000213	請旌元節婦王氏，禮部以前朝事，不當允。
HCH_012_137_000214	宗實言：「武王封比幹墓，獨非前朝事乎！」
HCH_012_137_000215	遂得旌。
HCH_012_137_000216	建文二年，超擢兵部右侍郎。
HCH_012_137_000217	坐事貶官，尋復職。
HCH_012_137_000218	燕事急，使兩浙招義勇。
HCH_012_137_000219	成祖即位，疏乞歸。
HCH_012_137_000220	逾二年，以事被逮，道卒。
HCH_012_137_000221	陳南賓，名光裕，以字行，茶陵人。
HCH_012_137_000222	元末為全州學正。
HCH_012_137_000223	洪武三年，聘至都，除無棣丞，歷膠州同知，所至以經術為治。
HCH_012_137_000224	召為國子助教。
HCH_012_137_000225	嘗入見，講《洪範》九疇。
HCH_012_137_000226	帝大喜，書姓名殿柱。
HCH_012_137_000227	後禦註《洪範》，多采其說。
HCH_012_137_000228	擢蜀府長史。
HCH_012_137_000229	蜀獻王好學，敬禮尤至，造安車以賜，為構第，名「安老堂。」
HCH_012_137_000230	二十九年，與方孝孺同為四川考試官。
HCH_012_137_000231	詩文清勁有法。
HCH_012_137_000232	卒年八十。
HCH_012_137_000233	其後諸王府長史劉淳、董子莊、趙季通、楊黼、金實、蕭用道、宋子環之屬，皆有名。
HCH_012_137_000234	劉淳，南陽人。
HCH_012_137_000235	洪武末為原武訓導。
HCH_012_137_000236	周王聘為世子師。
HCH_012_137_000237	尋言於朝，補右長史，以正輔王。
HCH_012_137_000238	端禮門槐盛夏而枯。
HCH_012_137_000239	淳陳咎徵進戒。
HCH_012_137_000240	王用其言修省，枯枝復榮。
HCH_012_137_000241	王旌其槐曰「攄忠」。
HCH_012_137_000242	致仕十餘年而卒，年九十有七。
HCH_012_137_000243	董子莊，名琰，以字行，江西樂安人。
HCH_012_137_000244	有學行。
HCH_012_137_000245	洪武中，以學官遷知茂名縣。
HCH_012_137_000246	永樂時，由國子司業出為趙王府右長史，隨事匡正。
HCH_012_137_000247	王多過，帝輒以責長史。
HCH_012_137_000248	子莊以能諫，得無過。
HCH_012_137_000249	十八年春當陪祀國社，夙起，衣冠端坐而卒。
HCH_012_137_000250	趙季通，字師道，天臺人。
HCH_012_137_000251	亦由教官歷知永豐、龍溪，與修《太祖實錄》，累進司業。
HCH_012_137_000252	出為趙王府左長史，與子莊同心輔導，藩府賢僚首稱趙、董雲。
HCH_012_137_000253	楊黼，吉水人。
HCH_012_137_000254	官御史。
HCH_012_137_000255	仁宗即位，上疏言十事。
HCH_012_137_000256	擢衛王府右長史。
HCH_012_137_000257	盡心獻替，未嘗茍取一錢。
HCH_012_137_000258	宣德初，卒。
HCH_012_137_000259	金實，開化人。
HCH_012_137_000260	永樂初，上書言治道。
HCH_012_137_000261	帝嘉之。
HCH_012_137_000262	復對策，稱旨，除翰林典籍。
HCH_012_137_000263	與修《太祖實錄》、《永樂大典》，選為東宮講官。
HCH_012_137_000264	歷左春坊左司直。
HCH_012_137_000265	仁宗立，除衛府左長史。
HCH_012_137_000266	正統初，卒。
HCH_012_137_000267	為人孝友，敦行誼。
HCH_012_137_000268	閱經史，日有程限，至老不輟。
HCH_012_137_000269	蕭用道，泰和人。
HCH_012_137_000270	建文中，舉懷才抱德，詣闕試文章。
HCH_012_137_000271	擢靖江王府長史，召入翰林，修《類要》。
HCH_012_137_000272	燕師渡淮，與周是修同上書，指斥用事者。
HCH_012_137_000273	永樂時，預修《太祖實錄》，改右長史，從王之藩桂林。
HCH_012_137_000274	嘗為王陳八事，曰：慎起居、寡嗜欲、勤學問、養德性、簡鞭撲之刑、無侵下人利、常接府僚以通群情、簡擇謹厚人以備差遣。
HCH_012_137_000275	又作《端禮》、《體仁》、《遵義》、《廣智》四門箴獻王。
HCH_012_137_000276	久之，以疾乞歸。
HCH_012_137_000277	成祖怒，貶宣府鷂兒嶺巡檢，卒。
HCH_012_137_000278	子亙，由進士官湖廣左布政使。
HCH_012_137_000279	天順四年，舉治行卓異，拜禮部尚書。
HCH_012_137_000280	初，兩京尚書缺，多用布政使為之。
HCH_012_137_000281	自亙後，遂無拜尚書者。
HCH_012_137_000282	亙重厚廉靜，而不善奏對。
HCH_012_137_000283	調南京，卒。
HCH_012_137_000284	宋子環，廬陵人。
HCH_012_137_000285	由庶吉士歷考功郎中。
HCH_012_137_000286	從師逵采木湖廣，以寬厚得眾心。
HCH_012_137_000287	仁宗即位，授梁府右長史，改越府。
HCH_012_137_000288	和易淡泊，所至有賢聲。
HCH_012_137_000289	宣德中，卒官。
HCH_012_137_000290	自是以後，王府官不為清流，遂無足紀者矣。
HCH_012_137_000291	宋訥，字仲敏，滑人。
HCH_012_137_000292	父壽卿，元侍御史。
HCH_012_137_000293	訥性持重，學問該博。
HCH_012_137_000294	至正中，舉進士，任鹽山尹，棄官歸。
HCH_012_137_000295	洪武二年，徵儒士十八人編《禮》、《樂》諸書，訥與焉。
HCH_012_137_000296	事竣，不仕歸。
HCH_012_137_000297	久之，用四輔官杜斅薦，授國子助教。
HCH_012_137_000298	以說經為學者所宗。
HCH_012_137_000299	十五年超遷翰林學士，命撰《宣聖廟碑》，稱旨，賞賚甚厚。
HCH_012_137_000300	改文淵閣大學士。
HCH_012_137_000301	嘗寒附火，燎脅下衣，至膚始覺。
HCH_012_137_000302	帝制文警之。
HCH_012_137_000303	未幾，遷祭酒。
HCH_012_137_000304	時功臣子弟皆就學，及歲貢士嘗數千人。
HCH_012_137_000305	訥為嚴立學規，終日端坐講解無虛晷，夜恒止學舍。
HCH_012_137_000306	十八年復開進士科，取士四百七十有奇，由太學者三之二。
HCH_012_137_000307	再策士，亦如之。
HCH_012_137_000308	帝大悅。
HCH_012_137_000309	制詞褒美。
HCH_012_137_000310	助教金文徵等疾訥，構之吏部尚書余熂，牒令致仕。
HCH_012_137_000311	訥陛辭，帝驚問，大怒，誅熂、文徵等，留訥如故。
HCH_012_137_000312	訥嘗病，帝曰：「訥有壽骨，無憂也。」
HCH_012_137_000313	尋愈。
HCH_012_137_000314	帝使畫工間訥，圖其像，危坐，有怒色。
HCH_012_137_000315	明日入對，帝問：「昨何怒？」
HCH_012_137_000316	訥驚對曰：「諸生有趨踣者，碎茶器。臣愧失教，故自訟耳。且陛下何自知之？」
HCH_012_137_000317	帝出圖。
HCH_012_137_000318	訥頓首謝。
HCH_012_137_000319	長子麟，舉進士，擢御史，出為望江主簿。
HCH_012_137_000320	帝念訥老，召還侍。
HCH_012_137_000321	二十三年春，訥病甚，乃止學舍。
HCH_012_137_000322	麟請歸私第，叱曰：「時當丁祭，敢不敬耶！」
HCH_012_137_000323	祭畢，舁歸舍而卒，年八十。
HCH_012_137_000324	帝悼惜，自為文祭之。
HCH_012_137_000325	又遣官祭於家，為治葬地。
HCH_012_137_000326	文臣四品給祭葬者，自訥始。
HCH_012_137_000327	正德中。
HCH_012_137_000328	謚文恪。
HCH_012_137_000329	訥嘗應詔陳邊事，言：「海內乂安，惟沙漠尚煩聖慮。若窮追遠擊，未免勞費。陛下為聖子神孫計，不過謹邊備而已。備邊在乎實兵，實兵在乎屯田。漢趙充國將四萬騎，分屯緣邊九郡，而單於引卻。陛下宜於諸將中選謀勇數人，以東西五百里為制，立法分屯，布列要害，遠近相應。遇敵則戰，寇去則耕。此長策也。」
HCH_012_137_000330	帝頗采用其言。
HCH_012_137_000331	訥既卒，帝思之。
HCH_012_137_000332	官其次子復祖為司業，誡諸生守訥學規，違者罪至死。
HCH_012_137_000333	明開國時即重師儒官。
HCH_012_137_000334	許存仁、魏觀為祭酒，老成端謹；訥稍晚進，最蒙遇。
HCH_012_137_000335	與訥定學規者，司業王嘉會、龔斅。
HCH_012_137_000336	三人年俱高，鬚髮皓白，終日危坐，堂上肅然。
HCH_012_137_000337	而張美和、聶鉉、貝瓊等皆名儒，當洪武時，先後為博士、助教、學錄，以故諸生多所成就。
HCH_012_137_000338	魏觀事別載。
HCH_012_137_000339	嘉會，字原禮，嘉興人。
HCH_012_137_000340	以薦征，累官國子監司業。
HCH_012_137_000341	十六年，亦以老請歸，優詔留之。
HCH_012_137_000342	年八十卒，賻恤甚厚。
HCH_012_137_000343	許存仁。
HCH_012_137_000344	名元，以字行，金華許謙子也。
HCH_012_137_000345	太祖素聞謙名，克金華，訪得存仁。
HCH_012_137_000346	與語大悅，命傅諸子。
HCH_012_137_000347	擢國子博士。
HCH_012_137_000348	嘗命講《尚書·洪範》休咎征之說。
HCH_012_137_000349	又嘗問《孟子》何說為要。
HCH_012_137_000350	存仁以行王道、省刑、薄賦對。
HCH_012_137_000351	吳元年擢祭酒。
HCH_012_137_000352	存仁出入左右垂十年，自稽古禮文事，至進退人才，無不與論議。
HCH_012_137_000353	既將議即大位，而存仁告歸。
HCH_012_137_000354	司業劉丞直曰：「主上方應天順人，公宜稍待。」
HCH_012_137_000355	存仁不聽，果忤旨。
HCH_012_137_000356	僉事程孔昭劾其隱事，遂逮死獄中。
HCH_012_137_000357	張美和，名九韶，以字行，清江人。
HCH_012_137_000358	能詞賦。
HCH_012_137_000359	元末，累舉不仕。
HCH_012_137_000360	洪武三年，以薦為縣學教諭。
HCH_012_137_000361	後遷國子助教，改翰林院編修。
HCH_012_137_000362	致仕歸，帝親為文賜之。
HCH_012_137_000363	復與錢宰等並征，修《書》傳，既成，遣還。
HCH_012_137_000364	聶鉉，字器之，美和同邑人。
HCH_012_137_000365	洪武四年進士。
HCH_012_137_000366	為廣宗丞，疏免旱災稅。
HCH_012_137_000367	秩滿入覲，獻《南都賦》及《洪武聖德詩》。
HCH_012_137_000368	授翰林院待制，改國子助教，遷典籍。
HCH_012_137_000369	與美和同賜歸。
HCH_012_137_000370	十八年復召典會試，欲留用之。
HCH_012_137_000371	乞便地自養。
HCH_012_137_000372	令食廬陵教諭俸，終其身。
HCH_012_137_000373	貝瓊，字廷琚，崇德人。
HCH_012_137_000374	性坦率，篤誌好學，年四十八，始領鄉薦。
HCH_012_137_000375	張士誠屢辟不就。
HCH_012_137_000376	洪武初，聘修《元史》。
HCH_012_137_000377	既成，受賜歸。
HCH_012_137_000378	六年以儒士舉，除國子助教。
HCH_012_137_000379	瓊嘗慨古樂不作，為《大韶賦》以見誌。
HCH_012_137_000380	宋濂之為司業也，建議立四學，並祀舜、禹、湯、文為先聖。
HCH_012_137_000381	太祖既絀其說，瓊復為《釋奠解》駁之，識者多是瓊議。
HCH_012_137_000382	與美和、鉉齊名，時稱「成均三助」。
HCH_012_137_000383	九年改官中都國子監，教勛臣子弟。
HCH_012_137_000384	瓊學行素優，將校武臣皆知禮重。
HCH_012_137_000385	十一年致仕，卒。
HCH_012_137_000386	趙俶，字本初，山陰人。
HCH_012_137_000387	元進士。
HCH_012_137_000388	洪武六年，征授國子博士。
HCH_012_137_000389	帝嘗禦奉天殿，召俶及錢宰、貝瓊等曰：「汝等一以孔子所定經書為教，慎勿雜蘇秦、張儀縱橫之言。」
HCH_012_137_000390	諸臣頓首受命。
HCH_012_137_000391	俶因請頒正定《十三經》於天下，屏《戰國策》及陰陽讖卜諸書，勿列學宮。
HCH_012_137_000392	明年擇諸生穎異者三十五人，命俶專領之，教以古文。
HCH_012_137_000393	尋擢李擴、黃義等入文華、武英二堂說書，皆見用。
HCH_012_137_000394	九年，御史臺言：「博士俶以《詩經》教成均四年，其弟子多為方嶽重臣及持節各部者。今年逾懸車，請賜骸骨。」
HCH_012_137_000395	於是以翰林院待制致仕，賜內帑錢治裝。
HCH_012_137_000396	宋濂率同官暨諸生千餘人送之。
HCH_012_137_000397	卒年八十一。
HCH_012_137_000398	子圭玉，兵部侍郎，出知萊州，有聲。
HCH_012_137_000399	錢宰，字子予，會稽人。
HCH_012_137_000400	吳越武肅王十四世孫。
HCH_012_137_000401	至正間中甲科，親老不仕。
