HCH_011_056_000001	侯景，字萬景，朔方人，或云雁門人。
HCH_011_056_000038	至是，遣使還述魏人請追前好。
HCH_011_056_000039	二年二月，高祖又與魏連和。
HCH_011_056_000040	景聞之懼，馳啓固諫，高祖不從。
HCH_011_056_000041	爾後表疏跋扈，言辭不遜。
HCH_011_056_000042	鄱陽王範鎮合肥，及司州刺史羊鴉仁俱累啓稱景有異志，領軍朱异曰：「侯景數百叛虜，何能爲役？」
HCH_011_056_000043	並抑不奏聞，而逾加賞賜，所以姦謀益果。
HCH_011_056_000044	又知臨賀王正德怨望朝廷，密令要結，正德許爲內啓。
HCH_011_056_000045	八月，景遂發兵反，攻馬頭、木柵，執太守劉神茂、戍主曹璆等。
HCH_011_056_000046	於是詔郢州刺史鄱陽王範爲南道都督，北徐州刺史封山侯正表爲北道都督，司州刺史柳仲禮爲西道都督，通直散騎常侍裴之高爲東道都督，同討景，濟自歷陽；又令開府儀同三司、丹陽尹、邵陵王綸持節，董督衆軍。
HCH_011_056_000047	十月，景留其中軍王顯貴守壽春城，出軍偽向合肥，遂襲譙州，助防董紹先開城降之，執刺史豊城侯泰。
HCH_011_056_000048	高祖聞之，遣太子家令王質率兵三千巡江遏防。
HCH_011_056_000049	景進攻歷陽，歷陽太守莊鐵遣弟均率數百人夜斫景營，不克，均戰沒，鐵又降之。
HCH_011_056_000050	蕭正德先遣大船數十艘，偽稱載荻，實裝濟景。
HCH_011_056_000051	景至京口，將渡，慮王質爲梗。
HCH_011_056_000052	俄而質無故退，景聞之尚未信也，乃密遣覘之。
HCH_011_056_000053	謂使者曰：「質若審退，可折江東樹枝爲驗。」
HCH_011_056_000054	覘人如言而返，景大喜曰：「吾事辦矣。」
HCH_011_056_000055	乃自採石濟，馬數百匹，兵千人，京師不之覺。
HCH_011_056_000056	景卽分襲姑孰，執淮南太守文成侯寧，遂至慈湖。
HCH_011_056_000057	於是詔以揚州刺史宣城王大器爲都督城內諸軍事，都官尚書羊侃爲軍師將軍以副焉；南浦侯推守東府城，西豊公大春守石頭城，輕車長史謝禧守白下。
HCH_011_056_000058	旣而景至朱雀航，蕭正德先屯丹陽郡，至是，率所部與景合。
HCH_011_056_000059	建康令庾信率兵千餘人屯航北，見景至航，命徹航，始除一舶，遂棄軍走南塘，遊軍復閉航渡景。
HCH_011_056_000060	皇太子以所乘馬授王質，配精兵三千，使援庾信。
HCH_011_056_000061	質至領軍府，與賊遇，未陣便奔走，景乘勝至闕下。
HCH_011_056_000062	西豊公大春棄石頭城走，景遣其儀同于子悅據之。
HCH_011_056_000063	謝禧亦棄白下城走。
HCH_011_056_000064	景於是百道攻城，持火炬燒大司馬、東西華諸門。
HCH_011_056_000065	城中倉卒，未有其備，乃鑿門樓，下水沃火，久之方滅。
HCH_011_056_000066	賊又斫東掖門將開，羊侃鑿門扇，刺殺數人，賊乃退。
HCH_011_056_000067	又登東宮牆，射城內，至夜，太宗募人出燒東宮，東宮臺殿遂盡。
HCH_011_056_000068	景又燒城西馬廄、士林館、太府寺。
HCH_011_056_000069	明日，景又作木驢數百攻城，城上飛石擲之，所值皆碎破。
HCH_011_056_000070	景苦攻不剋，傷損甚多，乃止攻，築長圍以絕內外，啓求誅中領軍朱异、太子右衛率陸驗、兼少府卿徐驎、制局監周石珍等。
HCH_011_056_000071	城內亦射賞格出外：「有能斬景首，授以景位，幷錢一億萬，布絹各萬匹，女樂二部。」
HCH_011_056_000072	十一月，景立蕭正德爲帝，卽偽位於儀賢堂，改年曰正平。
HCH_011_056_000073	初，童謠有「正平」之言，故立號以應之。
HCH_011_056_000074	景自爲相國、天柱將軍，正德以女妻之。
HCH_011_056_000075	景又攻東府城，設百尺樓車，鉤城堞盡落，城遂陷。
HCH_011_056_000076	景使其儀同盧暉略率數千人，持長刀夾城門，悉驅城內文武裸身而出，賊交兵殺之，死者二千餘人。
HCH_011_056_000077	南浦侯推是日遇害。
HCH_011_056_000078	景使正德子見理、儀同盧暉略守東府城。
HCH_011_056_000079	景又於城東西各起一土山以臨城內，城內亦作兩山以應之，王公以下皆負土。
HCH_011_056_000080	初，景至，便望克定京師，號令甚明，不犯百姓。
HCH_011_056_000081	旣攻城不下，人心離阻，又恐援軍總集，衆必潰散，乃縱兵殺掠，交屍塞路，富室豪家，恣意裒剝，子女妻妾，悉入軍營。
HCH_011_056_000082	及築土山，不限貴賤，晝夜不息，亂加毆棰，疲羸者因殺之以填山，號哭之聲，響動天地。
HCH_011_056_000083	百姓不敢藏隱，並出從之，旬日之間，衆至數萬。
HCH_011_056_000084	景儀同範桃棒密遣使送款乞降，會事泄見殺。
HCH_011_056_000085	至是，邵陵王綸率西豊公大春、新塗將軍永安侯確、超武將軍南安鄉侯駿、前譙州刺史趙伯超、武州刺史蕭弄璋、步兵校尉尹思合等，馬步三萬發自京口，直據鐘山。
HCH_011_056_000086	景黨大駭，具船舟咸欲逃散，分遣萬餘人距綸，綸擊大破之，斬首千餘級。
HCH_011_056_000087	旦日，景復陳兵覆舟山北，綸亦列陣以待之。
HCH_011_056_000088	景不進，相持。
HCH_011_056_000089	會日暮，景引軍還，南安侯駿率數十騎挑之，景迴軍與戰，駿退。
HCH_011_056_000090	時趙伯超陳於玄武湖北，見駿急，不赴，乃率軍前走，衆軍因亂，遂敗績。
HCH_011_056_000091	綸奔京口。
HCH_011_056_000092	賊盡獲輜重器甲，斬首數百級，生俘千餘人，獲西豊公大春、綸司馬莊丘惠達、直閣將軍胡子約、廣陵令霍儁等，來送城下徇之，逼云「已擒邵陵王」，儁獨云「王小小失利，已全軍還京口，城中但堅守，援軍尋至」。
HCH_011_056_000093	賊以刀毆之，儁言辭顏色如舊，景義而釋之。
HCH_011_056_000094	是日，鄱陽世子嗣、裴之高至後渚，結營于蔡洲。
HCH_011_056_000095	景分軍屯南岸。
HCH_011_056_000096	十二月，景造諸攻具及飛樓、橦車、登城車、登堞車、階道車、火車，並高數丈，一車至二十輪，陳於闕前，百道攻城並用焉。
HCH_011_056_000097	以火車焚城東南隅大樓，賊因火勢以攻城，城上縱火，悉焚其攻具，賊乃退。
HCH_011_056_000098	又築土山以逼城，城內作地道以引其土山，賊又不能立，焚其攻具，還入于柵。
HCH_011_056_000099	材官將軍宋嶷降賊，因爲立計，引玄武湖水灌臺城，城外水起數尺，闕前御街並爲洪波矣。
HCH_011_056_000100	又燒南岸民居營寺，莫不咸盡。
HCH_011_056_000101	司州刺史柳仲禮、衡州刺史韋粲、南陵太守陳文徹、宣猛將軍李孝欽等，皆來赴援。
HCH_011_056_000102	鄱陽世子嗣、裴之高又濟江。
HCH_011_056_000103	仲禮營朱雀航南，裴之高營南苑，韋粲營青塘，陳文徹、李孝欽屯丹陽郡，鄱陽世子嗣營小航南，並緣淮造柵。
HCH_011_056_000104	及曉，景方覺，乃登禪靈寺門樓望之，見韋粲營壘未合，先渡兵擊之。
HCH_011_056_000105	粲拒戰敗績，景斬粲首徇於城下。
HCH_011_056_000106	柳仲禮聞粲敗，不遑貫甲，與數十騎馳赴之，遇賊交戰，斬首數百，投水死者千餘人。
HCH_011_056_000107	仲禮深入，馬陷泥，亦被重創。
HCH_011_056_000108	自是賊不敢濟岸。
HCH_011_056_000109	邵陵王綸與臨成公大連等自東道集于南岸，荊州刺史湘東王繹遣世子方等、兼司馬吳曄、天門太守樊文皎下赴京師，營于於湘子岸前，高州刺史李遷仕、前司州刺史羊鴉仁又率兵繼至。
HCH_011_056_000110	旣而鄱陽世子嗣、永安侯確、羊鴉仁、李遷仕、樊文皎率衆渡淮，攻賊東府城前柵，破之，遂結營于青溪水東。
HCH_011_056_000111	景遣其儀同宋子仙頓南平王第，緣水西立柵相拒。
HCH_011_056_000112	景食稍盡，至是米斛數十萬人相食者十五六。
HCH_011_056_000113	初，援兵至北岸，百姓扶老攜幼以候王師，才得過淮，便競剝掠，賊黨有欲自拔者，聞之咸止。
HCH_011_056_000114	賊之始至，城中才得固守，平蕩之事，期望援軍。
HCH_011_056_000115	旣而四方雲合，衆號百萬，連營相持，已月餘日，城中疾疫，死者太半。
HCH_011_056_000116	景自歲首以來乞和，朝廷未之許，至是事急乃聽焉。
HCH_011_056_000117	請割江右四州之地，幷求宣城王大器出送，然後解圍濟江；仍許遣其儀同于子悅、左丞王偉入城爲質。
HCH_011_056_000118	中領軍傅岐議以宣城王嫡嗣之重，不容許之。
HCH_011_056_000119	乃請石城公大款出送，詔許焉。
HCH_011_056_000120	遂於西華門外設壇，遣尚書僕射王克、兼侍中上甲鄉侯韶、兼散騎常侍蕭瑳與于子悅、王偉等，登壇共盟。
HCH_011_056_000121	左衛將軍柳津出西華門下，景出其柵門，與津遙相對，刑牲歃血。
HCH_011_056_000122	南兗州刺史南康嗣王會理、前青、冀二州刺史湘潭侯退、西昌侯世子彧率衆三萬，至于馬邛州。
HCH_011_056_000123	景慮北軍自白下而上，斷其江路，請悉勒聚南岸，敕乃遣北軍進江潭苑。
HCH_011_056_000124	景啓稱：「永安侯、趙威方頻隔柵見詬臣，云『天子自與汝盟，我終當逐汝』。乞召入城，卽當進發。」
HCH_011_056_000125	敕並召之。
HCH_011_056_000126	景又啓云：「西岸信至，高澄已得壽春、鐘離，便無處安足。權借廣陵、譙州，須征得壽春、鐘離，卽以奉還朝廷。」
HCH_011_056_000127	初，彭城劉邈說景曰：「大將軍頓兵已久，攻城不拔，今援衆雲集，未易而破；如聞軍糧不支一月，運漕路絕，野無所掠，嬰兒掌上，信在於今。未若乞和，全師而返，此計之上者。」
HCH_011_056_000128	景然其言，故請和。
HCH_011_056_000129	後知援軍號令不一，終無勤王之效；又聞城中死疾轉多，必當有應之者。
HCH_011_056_000130	景謀臣王偉又說曰：「王以人臣舉兵背叛，圍守宮闕，已盈十旬，逼辱妃主，淩穢宗廟，今日持此，何處容身？願王且觀其變。」
HCH_011_056_000131	景然之，乃抗表曰：臣聞「書不盡言，言不盡意」。
HCH_011_056_000132	然則意非言不宣，言非筆不盡，臣所以含憤蓄積，不能默已者也。
HCH_011_056_000133	竊惟陛下睿智在躬，多才多藝。
HCH_011_056_000134	昔因世季，龍翔漢、沔，夷凶剪亂，克雪家怨，然後踵武前王，光宅江表，憲章文、武，祖述堯、舜。
HCH_011_056_000135	兼屬魏國淩遲，外無勍敵，故能西取華陵，北封淮、泗，結好高氏，輶軒相屬，疆埸無虞，十有餘載。
HCH_011_056_000136	躬覽萬機，劬勞治道。
HCH_011_056_000137	刊正周、孔之遺文，訓釋真如之秘奧。
HCH_011_056_000138	享年長久，本枝磐石。
HCH_011_056_000139	人君藝業，莫之與京。
HCH_011_056_000140	臣所以踴躍一隅，望南風而歎息也，豈圖名與實爽，聞見不同？
HCH_011_056_000141	臣自委質策名，前後事蹟，從來表奏，已具之矣。
HCH_011_056_000142	不勝憤懣，復爲陛下陳之：三月朔旦，城內以景違盟，舉烽鼓噪，於是羊鴉仁、柳敬禮、鄱陽世子嗣進軍於東府城北。
HCH_011_056_000143	柵壘未立，爲景將宋子仙所襲，敗績，赴淮死者數千人。
HCH_011_056_000144	賊送首級於于闕下。
HCH_011_056_000145	景又遣于子悅至，更請和。
HCH_011_056_000146	遣御史中丞沈浚至景所，景無去意，浚固責之。
HCH_011_056_000147	景大怒，卽決石闕前水，百道攻城，晝夜不息，城遂陷。
HCH_011_056_000148	於是悉鹵掠乘輿服玩、後宮嬪妾，收王侯朝士送永福省，撤二宮侍衛。
HCH_011_056_000149	使王偉守武德殿，于子悅屯太極東堂，矯詔大赦天下，自爲大都督、督中外諸軍事、錄尚書，其侍中、使持節、大丞相、王如故。
HCH_011_056_000150	初，城中積屍不暇埋瘞，又有已死而未斂，或將死而未絕，景悉聚而燒之，臭氣聞十餘里。
HCH_011_056_000151	尚書外兵郎鮑正疾篤，賊曳出焚之，宛轉火中，久而方絕。
HCH_011_056_000152	於是援兵並散。
HCH_011_056_000153	景矯詔曰：「日者，姦臣擅命，幾危社稷，賴丞相英發，入輔朕躬，征鎮牧守可各復本任。」
HCH_011_056_000154	降蕭正德爲侍中、大司馬，百官皆復其職。
HCH_011_056_000155	景遣董紹先率兵襲廣陵，南兗州刺史南康嗣王會理以城降之。
HCH_011_056_000156	景以紹先爲南兗州刺史。
HCH_011_056_000157	初，北兗州刺史定襄侯祗與湘潭侯退，及前潼州刺史郭鳳同起兵，將赴援。
HCH_011_056_000158	至是，鳳謀以淮陰應景，祗等力不能制，並奔于魏。
HCH_011_056_000159	景以蕭弄璋爲北兗州刺史，州民發兵拒之，景遣廂公丘子英、直閣將軍羊海率衆赴援，海斬子英，率其軍降于魏，魏遂據其淮陰。
HCH_011_056_000160	景又遣儀同于子悅、張大黑率兵入吳，吳郡太守袁君正迎降。
HCH_011_056_000161	子悅等旣至，破掠吳中，多自調發，逼掠子女，毒虐百姓，吳人莫不怨憤，於是各立城柵拒守。
HCH_011_056_000162	是月，景移屯西州，遣儀同任約爲南道行臺，鎮姑孰。
HCH_011_056_000163	五月，高祖崩于文德殿。
HCH_011_056_000164	初，臺城旣陷，景先遣王偉、陳慶入謁高祖，高祖曰：「景今安在？卿可召來。」
HCH_011_056_000165	時高祖坐文德殿，景乃入朝，以甲士五百人自衛，帶劍升殿。
HCH_011_056_000166	拜訖，高祖問曰：「卿在戎日久，無乃爲勞？」
HCH_011_056_000167	景默然。
HCH_011_056_000168	又問：「卿何州人，而敢至此乎？」
HCH_011_056_000169	景又不能對，從者代對。
HCH_011_056_000170	及出，謂廂公王僧貴曰：「吾常據鞍對敵，矢刃交下，而意氣安緩，了無怖心。今日見蕭公，使人自懾，豈非天威難犯？吾不可再見之。」
HCH_011_056_000171	高祖雖外跡已屈，而意猶忿憤，時有事奏聞，多所譴卻。
HCH_011_056_000172	景深敬憚，亦不敢逼。
HCH_011_056_000173	景遣軍人直殿省內，高祖問制局監周石珍曰：「是何物人？」
HCH_011_056_000174	對曰：「丞相。」
HCH_011_056_000175	高祖乃謬曰：「何物丞相？」
HCH_011_056_000176	對曰：「是侯丞相。」
HCH_011_056_000177	高祖怒曰：「是名景，何謂丞相！」
HCH_011_056_000178	是後，每所徵求，多不稱旨，至於御膳亦被裁抑，遂憂憤感疾而崩。
HCH_011_056_000179	景乃密不發喪，權殯于昭陽殿，自外文武咸莫知之。
HCH_011_056_000180	二十餘日，升梓宮於太極前殿，迎皇太子卽皇帝位。
HCH_011_056_000181	於是矯詔赦北人爲奴婢者，冀收其力用焉。
HCH_011_056_000182	又遣儀同來亮率兵攻宣城，宣城內史楊華誘亮斬之；景復遣其將李賢明討華，華以郡降。
HCH_011_056_000183	景遣儀同宋子仙等率衆東次錢塘，新城戍主戴僧易據縣拒之。
HCH_011_056_000184	是月，景遣中軍侯子鑒入吳軍，收于子悅、張大黑，還京誅之。
HCH_011_056_000185	時東揚州刺史臨成公大連據州，吳興太守張嵊據郡，自南陵以上，皆各據守。
HCH_011_056_000186	景制命所行，惟吳郡以西、南陵以北而已。
HCH_011_056_000187	六月，景以儀同郭元建爲尚書僕射、北道行臺、總江北諸軍事，鎮新秦。
HCH_011_056_000188	郡人陸緝、戴文舉等起兵萬餘人，殺景太守蘇單于，推前淮南太守文成侯寧爲主，以拒景。
HCH_011_056_000189	宋子仙聞而擊之，緝等棄城走。
HCH_011_056_000190	景乃分吳郡海鹽、胥浦二縣爲武原郡。
HCH_011_056_000191	至是，景殺蕭正德於永福省。
HCH_011_056_000192	封元羅爲西秦王，元景龍爲陳留王，諸元子弟封王者十餘人。
HCH_011_056_000193	以柳敬禮爲使持節、大都督，隸大丞相，參戎事。
HCH_011_056_000194	景遣其中軍侯子鑒監行臺劉神茂等軍東討，破吳興，執太守張嵊父子送京師，景並殺之。
HCH_011_056_000195	景以宋子仙爲司徒，任約爲領軍將軍，尒朱季伯、叱羅子通、彭儁、董紹先、張化仁、于慶、魯伯和、紇奚斤、史安和、時靈護、劉歸義，並爲開府儀同三司。
HCH_011_056_000196	是月，鄱陽嗣王範率兵次柵口，江州刺史尋陽王大心要之西上。
HCH_011_056_000197	景出頓姑孰，範將裴之悌、夏侯威生以衆降景。
HCH_011_056_000198	十一月，宋子仙攻錢塘，戴僧易降。
HCH_011_056_000199	景以錢塘爲臨江郡，富陽爲富春郡。
HCH_011_056_000200	又王偉、元羅並爲儀同三司。
HCH_011_056_000201	十二月，宋子仙、趙伯超、劉神茂進攻會稽，東揚州刺史臨成公大連棄城走，遣劉神茂追擒之。
HCH_011_056_000202	景以裴之悌爲使持節、平西將軍、合州刺史，以夏侯威生爲使持節、平北將軍、南豫州刺史。
HCH_011_056_000203	是月，百濟使至，見城邑丘墟，於端門外號泣，行路見者莫不灑淚。
HCH_011_056_000204	景聞之大怒，送小莊嚴寺禁止，不聽出入。
HCH_011_056_000205	大寶元年正月，景矯詔自加班劍四十人，給前後部羽葆鼓吹，置左右長史、從事中郎四人。
HCH_011_056_000206	前江都令祖皓起兵於廣陵，斬景刺史董紹先，推前太子舍人蕭勔爲刺史；又結魏人爲援，馳檄遠近，將以討景。
HCH_011_056_000207	景聞之大懼，卽日率侯子鑒等出自京口，水陸並集。
HCH_011_056_000208	皓嬰城拒守，景攻城，陷之。
HCH_011_056_000209	景車裂皓以徇，城中無少長皆斬之。
HCH_011_056_000210	以侯子鑒監南兗州事。
HCH_011_056_000211	是月，景召宋子仙還京口。
HCH_011_056_000212	四月，景以元思虔爲東道行臺，鎮錢塘。
HCH_011_056_000213	以侯子鑒爲南兗州刺史。
HCH_011_056_000214	文成侯寧於吳西鄉起兵，旬日之間，衆至一萬，率以西上。
HCH_011_056_000215	景廂公孟振、侯子榮擊破之，斬寧，傳首于景。
HCH_011_056_000216	七月，景以秦郡爲西兗州，陽平郡爲北兗州。
HCH_011_056_000217	任約、盧暉略攻晉熙郡，殺鄱陽世子嗣。
HCH_011_056_000218	景以王偉爲中書監。
HCH_011_056_000219	任約進軍襲江州，江州刺史尋陽王大心降之。
HCH_011_056_000220	世祖時聞江州失守，遣衛軍將軍徐文盛率衆軍下武昌，拒約。
HCH_011_056_000221	景又矯詔自進位爲相國，封泰山等二十郡爲漢王，入朝不趨，贊拜不名，劍履上殿，如蕭何故事。
HCH_011_056_000222	景以柳敬禮爲護軍將軍，姜詢義爲相國左長史，徐洪爲左司馬，陸約爲右長史，沈衆爲右司馬。
HCH_011_056_000223	是月，景率舟師上皖口。
HCH_011_056_000224	十月，盜殺武林侯諮于廣莫門。
HCH_011_056_000225	諮常出入太宗臥內，景党不能平，故害之。
HCH_011_056_000226	景又矯詔曰：「蓋懸象在天，四時取則於辰斗；羣生育地，萬物仰照於大明。是以垂拱當扆，則八枿共輳；負圖正位，則九域同歸。故乃雲名水號之君，龍官人爵之後，莫不啓符河、洛，封禪岱宗，奔走四夷，來朝萬國。逖聽虞、夏，厥道彌新。爰及商、周，未之或改。逮幽、厲不競，戎馬生郊；惠、懷失御，胡塵犯蹕。遂使豺狼肆毒，侵穴伊、瀍；獫狁孔熾，巢棲咸、洛。自晉鼎東遷，多歷年代，周原不復，歲實永久。雖宋祖經略，中息遠圖，齊號和親，空勞冠蓋。我大梁膺符作帝，出震登皇。浹㝢歸仁，綿區飲化。開疆辟土，跨瀚海以揚鑣；來庭入覲，等塗山而比轍。玄龜出洛，白雉歸豊。鳥塞同文，胡天共軌。不謂高澄跋扈，虔劉魏邦，扇動華夷，不供王職，遂乃狼顧北侵，馬首南向。值天厭昏偽，醜徒數盡，龍豹應期，風雲會節。相國漢王，上德英姿，蓋惟天授；雄謨勇略，出自懷抱。珠魚表應，辰昴葉暉；剖析六韜，錙銖四履。騰文豹變，鳳集虬翔；奮翼來儀，負圖而降。爰初秉律，實先啓行；奉茲廟算，克除獯醜。直以鼎湖上征，六龍晏駕；干戈暫止，九伐未申。而惡稔貫盈，元凶殞斃；弟洋繼逆，續長亂階。異彼洋音，同茲荐食；偷竊偽號，心希舉斧。豊水君臣，奉圖乞援；關河百姓，泣血請師。咸願承奉國靈，
HCH_011_056_000227	思睹王化。
HCH_011_056_000228	朕以寡昧，纂戎下武，庶拯堯黎，冀康禹跡。
HCH_011_056_000229	且夫車服以庸，名因事著。
HCH_011_056_000230	周師克殷，鷹揚創自尚父；漢征戎狄，明友實始度遼。
HCH_011_056_000231	況乃神規叡算，眇乎難測，大功懋績，事絕言象，安可以習彼常名，保茲守固。
HCH_011_056_000232	相國可加宇宙大將軍、都督六合諸軍事，餘悉如故。
HCH_011_056_000233	以詔文呈太宗，太宗驚曰：「將軍乃有宇宙之號乎！」
HCH_011_056_000234	齊遣其將辛術圍陽平，景行臺郭元建率兵赴援，術退。
HCH_011_056_000235	徐文盛入資磯，任約率水軍逆戰，文盛大破之，仍進軍大舉口。
HCH_011_056_000236	時景屯於皖口，京師虛弱，南康王會理及北兗州司馬成欽等將襲之。
HCH_011_056_000237	建安侯賁知其謀，以告景，景遣收會理與其弟祈陽侯通理、柳敬禮、成欽等，並害之。
HCH_011_056_000238	十二月，景矯詔封賁爲竟陵王，賞發南康之謀也。
HCH_011_056_000239	是月，張彪起義於會稽，攻破上虞，景太守蔡臺樂討之，不能禁。
HCH_011_056_000240	至是，彪又破諸暨、永興等諸縣，景遣儀同田遷、趙伯超、謝答仁等東伐彪。
HCH_011_056_000241	二年正月，彪遣別將寇錢塘、富春，田遷進軍與戰，破之。
HCH_011_056_000242	景以王克爲太師，宋子仙爲太保，元羅爲太傅，郭元建爲太尉，張化仁爲司徒，任約爲司空，于慶爲太子太師，時靈護爲太子太保，紇奚斤爲太子太傅，王偉爲尚書左僕射，索超世爲尚書右僕射。
HCH_011_056_000243	北兗州刺史蕭邕謀降魏，事泄，景誅之。
HCH_011_056_000244	是月，世祖遣巴州刺史王珣等率衆下武昌助徐文盛。
HCH_011_056_000245	任約以西臺益兵，告急於景。
HCH_011_056_000246	三月，景自率衆二萬，西上援約。
HCH_011_056_000247	四月，景次西陽，徐文盛率水軍邀戰，大破之。
HCH_011_056_000248	景訪知郢州無備，兵少，又遣宋子仙率輕騎三百襲陷之，執刺史方諸、行事鮑泉，盡獲武昌軍人家口。
HCH_011_056_000249	徐文盛等聞之，大潰，奔歸江陵，景乘勝西上。
HCH_011_056_000250	初，世祖遣領軍王僧辯率衆東下代徐文盛，軍次巴陵，會景至，僧辯因堅壁拒之。
HCH_011_056_000251	景設長圍，築土山，晝夜攻擊，不克。
HCH_011_056_000252	軍中疾疫，死傷太半。
HCH_011_056_000253	世祖遣平北將軍胡僧祐率兵二千人救巴陵，景聞，遣任約以精卒數千逆擊僧祐，僧祐與居士陸法和退據赤亭以待之，約至與戰，大破之，生擒約。
HCH_011_056_000254	景聞之，夜遁。
HCH_011_056_000255	以丁和爲郢州刺史，留宋子仙、時靈護等助和守，以張化仁、閻洪慶守魯山城，景還京師。
HCH_011_056_000256	王僧辯乃率衆東下，次漢口，攻魯山及郢城，皆陷之。
HCH_011_056_000257	自是衆軍所至皆捷。
HCH_011_056_000258	景乃廢太宗，幽於永福省。
HCH_011_056_000259	作詔草成，逼太宗寫之，至「先皇念神器之重，思社稷之固」，歔欷嗚咽，不能自止。
HCH_011_056_000260	是日，景迎豫章王棟卽皇帝位，升太極前殿，大赦天下，改元爲天正元年。
HCH_011_056_000261	有回風自永福省吹其文物，皆倒折，見者莫不驚駭。
HCH_011_056_000262	初，景旣平京邑，便有篡奪之志，以四方須定，且未自立；旣巴陵失律，江、郢喪師，猛將外殲，雄心內沮，便欲偽僭大號，遂其姦心。
HCH_011_056_000263	其謀臣王偉云「自古移鼎，必須廢立」，故景從之。
HCH_011_056_000264	其太尉郭元建聞之，自秦郡馳還，諫景曰：「四方之師所以不至者，政爲二宮萬福；若遂行弑逆，結怨海內，事幾一去，雖悔無及。」
HCH_011_056_000265	王偉固執不從。
