HCH_009_098_000001	完顏匡，本名撒速，始祖九世孫。
HCH_009_098_000184	六年，與宋連兵，陝西諸將頗相異同，以綱為蜀漢路安撫使、都大提舉兵馬事，與元帥府參決西事，調羌兵之未附者。
HCH_009_098_000185	於是，知鳳翔府事完顏昱、同知平涼府事蒲察秉鉉分駐鳳翔諸隘，通遠軍節度使承裕、秦州防禦使完顏璘屯成紀界，知臨洮府事石抹仲溫駐臨洮，同知臨洮府事術虎高琪、彰化軍節度副使把回海備鞏州諸鎮，乾州刺史完顏思忠扼六盤，陝西路都統副使斡勒牙刺、京兆府推官蒲察秉彝戍虢華、扼潼關蒲津，陝西都統完顏忠本名嫋懶、同知京兆府事烏古論兗州守京兆要害，以鳳翔、臨洮路蕃漢弓箭手及緋翮翅軍散據邊陲。
HCH_009_098_000186	緋翮翅，軍名也。
HCH_009_098_000187	元帥右臨軍充右都監蒲察貞分總其事。
HCH_009_098_000188	宋吳曦以兵六千攻鹽川，鞏州戍將完顏王善、隊校僕散六斤、猛安龍延常擊走之，斬首二百級。
HCH_009_098_000189	七月，吳曦兵五萬由保坌、姑蘇等路寇秦州，承裕、璘以騎千餘擊之，曦兵大敗，追奔四十里。
HCH_009_098_000190	曦別兵萬人入來遠鎮，術虎高琪破之。
HCH_009_098_000191	青宜可者，吐蕃之種也。
HCH_009_098_000192	宋取河湟，夏取河西四郡，部落散處西鄙，其魯黎族帥曰冷京，據古疊州，有四十三族、十四城、三十余萬戶，東鄰宕昌，北接臨洮、積石，南行十日至筍竹大山，蓋蠻境也。
HCH_009_098_000193	西行四十日至河外，俗不論道裏，而以日計之雲。
HCH_009_098_000194	冷京卒，子耳骨延嗣，宋不能制，縻以官爵。
HCH_009_098_000195	傳六世至青宜可，尤勁勇得眾，以宋政令不常，有改事中國之意。
HCH_009_098_000196	曹佛留為洮州刺史。
HCH_009_098_000197	佛留材武有智策，能結諸羌。
HCH_009_098_000198	青宜可畏慕佛留，以父呼之，請舉國內附。
HCH_009_098_000199	朝廷以宋有盟不許，厚賜金帛以撫之。
HCH_009_098_000200	明昌間，屬羌已彪殺郡佐反，是時綱為奉禦，奉詔與曹佛留計事，因召青宜可會兵擊破已彪。
HCH_009_098_000201	曹佛留遷同知臨洮尹，兼洮州刺史。
HCH_009_098_000202	子普賢為洮州管內巡檢使。
HCH_009_098_000203	綱屢以事至洮，佛留每謂綱言青宜可願內屬，出其至情，綱輒奏之，上終不納。
HCH_009_098_000204	及綱部署陝西，上密敕經略西事。
HCH_009_098_000205	於是，曹佛留已死，普賢為懷羌巡檢使。
HCH_009_098_000206	綱至洮，馳召普賢攝同知洮州事。
HCH_009_098_000207	普賢傳箭入羌中，青宜可大喜，率諸部長，籍其境土人民，詣綱請內屬。
HCH_009_098_000208	綱奏其事，上以青宜可為疊州副都總管，加廣威將軍。
HCH_009_098_000209	詔青宜可曰：「卿統有部人，世為雄長，向風慕義，背偽歸朝，願效純誠，恆輸忠力，緬懷嘉矚，式厚褒旌。覽卿進上所受偽牌，朝廷之馭諸蕃固無此例，欲使卿有以鎮撫部族、增重觀望，是以特加改命，賜金牌一、銀牌二，到可祗承，服我新恩，永為籓衛。」
HCH_009_098_000210	曹普賢真授同知洮州事，綱遷拱衛直都指揮使，遷三階，安撫，都大提舉如故。
HCH_009_098_000211	以商州刺史烏古論兗州領、曹普賢押領、青宜可勾當。
HCH_009_098_000212	詔曰：「完顏綱，初行時汝未知朝廷有青宜可之事，獨言可以招撫，必獲其用，既而果來效順。今汝勿以青宜可兵勢重大，卑屈失體，亦勿以蕃部而藐視之。」
HCH_009_098_000213	九月，詔安慰陝西，略曰：「京兆、鳳翔、臨洮三路，應被宋兵逼脅，背國從偽，或沒落外境，若能自歸者，官吏依舊勾當，百姓各令複業，元拋地土依數給付。及受宋人旗榜結構等，或值驚擾因而避役逃亡，未發覺者，許令所在官司陳首，並行釋免，更不追究，軍前可用之人隨宜任使。限外不首，複罪如初。宋程松遣別將曲昌世襲方山原，自率兵數萬分道襲和尚原、西山寨、龍門等關。是日，大霧四塞，既又暴雨，和尚原、西山寨，龍門關戍兵不知宋兵來，松遂據之。蒲察貞遣行軍副統裴滿阿裏、同知隴州事完顏孛論以兵千人伏方山原下，萬戶奧屯撒合門、美原縣令術虎合遝別將壯士五百，取間道潛登，出宋兵上，自高而下，宋兵大駭，伏兵合擊，遂破之。貞乃分遣術虎合遝、部將完顏出軍奴率兵千人出黃兒谷取和尚原，同知會州事女奚列南家、押軍猛安粘割撒改率兵千人出大寧穀取西山寨，貞自以兵七百由中路取龍門等關。程松已焚閣道，貞且修道且進兵。至小關，松將楊廷據險注射，貞不得前，令行軍副統裴滿阿裏為疑兵，潛遣猛安胡信率甲士五十人繞出其後，反擊之，宋兵大亂，遂斬廷於陣。宋兵走二里關，複敗。宋將彭統領宋兵走龍門，追擊，大破之。合遝乘夜潛登和尚原絕頂，宋人驚以為神，皆散走，破其眾二千，
HCH_009_098_000214	生獲數十人。
HCH_009_098_000215	南家斬木開道以登西山，再與宋兵遇，皆敗之，遂盡複故地。
HCH_009_098_000216	宋吳曦將馮興、楊雄、李珪以步騎八千人入赤穀，將寇秦州。
HCH_009_098_000217	承裕、完顏璘、河州防禦使蒲察秉鉉逆擊，破之。
HCH_009_098_000218	宋步兵趨西山，騎兵走赤穀。
HCH_009_098_000219	承裕分兵躡宋步兵，宋步兵據山搏戰，部將唐括按答海率二百騎馳擊之，甲士蒙葛挺身先入其陣，眾乘之，宋步兵大潰，殺數百人，追者至皁郊城，斬首二千級。
HCH_009_098_000220	猛安把添奴追宋騎兵，殺千余人，馮興僅以身免，楊雄、李珪皆為金軍所殺。
HCH_009_098_000221	十月，綱以蕃、漢步騎一萬出臨潭，充以關中兵一萬出陳倉，蒲察貞以岐、隴兵一萬出成紀，石抹仲溫以隴右步騎五千出鹽川，完顏璘以本部兵五千出來遠。
HCH_009_098_000222	初，吳玠、吳璘俱為宋大將，兄弟父子相繼守西土，得梁、益間士眾心。
HCH_009_098_000223	璘孫曦太尉、昭武軍節度使、成都潼川府夔利等州路宣撫副使，泰和六年出兵興元，有窺關、隴之志，誘募邊民為盜，遣諜以利餌鳳翔卒溫昌，結三虞候軍為內應。
HCH_009_098_000224	昌詣府上變。
HCH_009_098_000225	曦遣諸將出秦、隴間，與綱等諸軍相拒。
HCH_009_098_000226	上聞韓侂胄忌曦威名，可以間誘致之，梁、益居宋上游，可以得志于宋，封曦蜀國王，鑄印賜詔，詔綱經略之。
