HCH_012_122_000001	郭子興，其先曹州人。
HCH_012_122_000065	有一女，小張夫人出者，事太祖為惠妃，生蜀、穀、代三王。
HCH_012_122_000066	洪武三年追封子興為滁陽王，詔有司建廟，用中牢祀，復其鄰宥氏，世世守王墓。
HCH_012_122_000067	十六年，太祖手書子興事蹟，命太常丞張來儀文其碑。
HCH_012_122_000068	滁人郭老舍者，宣德中以滁陽王親，朝京師。
HCH_012_122_000069	弘治中，有郭琥自言四世祖老舍，滁陽王第四子，予冠帶奉祀。
HCH_012_122_000070	已，為宥氏所訐。
HCH_012_122_000071	禮官言：「滁陽王祀典，太祖所定，曰無後，廟碑昭然，老舍非滁陽王子。」
HCH_012_122_000072	奪奉祀。
HCH_012_122_000073	韓林兒，欒城人，或言李氏子也。
HCH_012_122_000074	其先世以白蓮會燒香惑眾，謫徙永年。
HCH_012_122_000075	元末，林兒父山童鼓妖言，謂「天下當大亂，彌勒佛下生」。
HCH_012_122_000076	河南、江、淮間愚民多信之。
HCH_012_122_000077	潁州人劉福通與其党杜遵道、羅文素、盛文鬱等復言「山童，宋徽宗八世孫，當主中國」。
HCH_012_122_000078	乃殺白馬黑牛，誓告天地，謀起兵，以紅巾為號。
HCH_012_122_000079	至正十一年五月，事覺，福通等遽入潁州反，而山童為吏所捕誅。
HCH_012_122_000080	林兒與母楊氏逃武安山中。
HCH_012_122_000081	福通據硃皋，破羅山、上蔡、真陽、確山，犯葉、舞陽，陷汝寧、光、息，眾至十餘萬，元兵不能禦。
HCH_012_122_000082	時徐壽輝等起蘄、黃，布王三、孟海馬等起湘、漢，芝麻李起豐、沛，而郭子興亦據濠應之。
HCH_012_122_000083	時皆謂之「紅軍」，亦稱「香軍」。
HCH_012_122_000084	十五年二月，福通物色林兒，得諸碭山夾河；迎至亳，僭稱皇帝，又號小明王，建國曰宋，建元龍鳳。
HCH_012_122_000085	拆鹿邑太清宮材，治宮闕於亳。
HCH_012_122_000086	尊楊氏為皇太后，遵道、文郁為丞相，福通、文素平章政事，劉六知樞密院事。
HCH_012_122_000087	劉六者，福通弟也。
HCH_012_122_000088	遵道寵用事。
HCH_012_122_000089	福通嫉之，陰命甲士撾殺遵道，自為丞相，加太保，事權一歸福通。
HCH_012_122_000090	既而元師大敗福通于太康，進圍亳，福通挾林兒走安豐。
HCH_012_122_000091	未幾，兵復盛，遣其黨分道略地。
HCH_012_122_000092	十七年，李武、崔德陷商州，遂破武關以圖關中，而毛貴陷膠、萊、益都、濱州，山東郡邑多下。
HCH_012_122_000093	是年六月，福通帥眾攻汴梁，且分軍三道：關先生、破頭潘、馮長舅、沙劉二、王士誠趨晉、冀；白不信、大刀敖、李喜喜趨關中；毛貴出山東北犯。
HCH_012_122_000094	勢銳甚。
HCH_012_122_000095	田豐者，元鎮守黃河義兵萬戶也，叛附福通，陷濟寧，尋敗走。
HCH_012_122_000096	其秋，福通兵陷大名，遂自曹、濮陷衛輝。
HCH_012_122_000097	白不信、大刀敖、李喜喜陷興元，遂入鳳翔，屢為察罕帖木兒、李思齊所破，走入蜀。
HCH_012_122_000098	十八年，田豐復陷東平、濟寧、東昌、益都、廣平、順德。
HCH_012_122_000099	毛貴亦數敗元兵，陷清、滄，據長蘆鎮，尋陷濟南；益引兵北，殺宣慰使董搏霄于南皮，陷薊州，犯漷州，略柳林以逼大都。
HCH_012_122_000100	順帝征四方兵入衛，議欲遷都避其鋒，大臣諫乃止。
HCH_012_122_000101	貴旋被元兵擊敗，還據濟南。
HCH_012_122_000102	而福通出沒河南北，五月攻下汴梁，守將竹貞遁去，遂迎林兒都焉。
HCH_012_122_000103	關先生、破頭潘等又分其軍為二，一出絳州，一出沁州。
HCH_012_122_000104	逾太行，破遼、潞，遂陷冀寧；攻保定不克，陷完州，掠大同、興和塞外諸郡，至陷上都，毀諸宮殿，轉掠遼陽，抵高麗。
HCH_012_122_000105	十九年陷遼陽，殺懿州路總管呂震。
HCH_012_122_000106	順帝以上都宮闕盡廢，自此不復北巡。
HCH_012_122_000107	李喜喜餘黨復陷寧夏，略靈武諸邊地。
HCH_012_122_000108	是時承平久，川郡皆無守備。
HCH_012_122_000109	長吏聞賊來，輒棄城遁，以故所至無不摧破。
HCH_012_122_000110	然林兒本起盜賊，無大志，又聽命福通，徒擁虛名。
HCH_012_122_000111	諸將在外者率不遵約束，所過焚劫，至啖老弱為糧，且皆福通故等夷，福通亦不能制。
HCH_012_122_000112	兵雖盛，威令不行。
HCH_012_122_000113	數攻下城邑，元兵亦數從其後復之，不能守。
HCH_012_122_000114	惟毛貴稍有智略。
HCH_012_122_000115	其破濟南也，立賓興院，選用元故官姬宗周等分守諸路。
HCH_012_122_000116	又於萊州立屯田三百六十所，每屯相距三十里，造挽運大車百輛，凡官民田十取其二。
HCH_012_122_000117	多所規畫，故得據山東者三年。
HCH_012_122_000118	及察罕帖木兒數破賊，盡復關、隴，是年五月大發秦、晉之師會汴城下，屯杏花營，諸軍環城而壘。
HCH_012_122_000119	林兒兵出戰輒敗，嬰城守百餘日，食將盡。
HCH_012_122_000120	福通計無所出，挾林兒從百騎開東門遁還安豐，後宮官屬子女及符璽印章寶貨盡沒於察罕。
HCH_012_122_000121	時毛貴已為其党趙均用所殺，有續繼祖者，又殺均用，所部自相攻擊。
HCH_012_122_000122	獨田豐據東平，勢稍強。
HCH_012_122_000123	二十年，關先生等陷大寧，復犯上都。
HCH_012_122_000124	田豐陷保定，元遣使招之，被殺。
HCH_012_122_000125	王士誠又躪晉、冀。
HCH_012_122_000126	元將孛羅敗之於台州，遂入東平與豐合。
HCH_012_122_000127	福通嘗責李武、崔德逗撓，將罪之。
HCH_012_122_000128	二十一年夏，兩人叛去，降于李思齊。
HCH_012_122_000129	時李喜喜、關先生等東西轉戰，已多走死，餘黨自高麗還寇上都，孛羅復擊降之。
HCH_012_122_000130	而察罕既取汴梁，遂遣子擴廓討東平，脅降田豐、王士誠，乘勝定山東。
HCH_012_122_000131	惟陳猱頭者，獨守益都不下，與福通遙為聲援。
HCH_012_122_000132	二十二年六月，豐、士誠乘閑刺殺察罕，入益都。
HCH_012_122_000133	元以兵柄付擴廓，圍城數重，猱頭等告急。
HCH_012_122_000134	福通自安豐引兵赴援，遇元師于火星埠，大敗走還。
HCH_012_122_000135	元兵急攻益都，穴地道以入，殺豐、士城，而械送猱頭于京師，林兒勢大窘。
HCH_012_122_000136	明年，張士誠將呂珍圍安豐，林兒告急于太祖。
HCH_012_122_000137	太祖曰：「安豐破則士誠益強。」
HCH_012_122_000138	遂親帥師往救，而珍已入城殺福通。
HCH_012_122_000139	太祖擊走珍，以林兒歸，居之滁州。
HCH_012_122_000140	明年，太祖為吳王。
HCH_012_122_000141	又二年，林兒卒。
HCH_012_122_000142	或曰太祖命廖永忠迎林兒歸應天，至瓜步，覆舟沉于江雲。
HCH_012_122_000143	初，太祖駐和陽，郭子興卒，林兒牒子興子天敘為都元帥，張天祐為右副元帥，太祖為左副元帥。
HCH_012_122_000144	時太祖以孤軍保一城，而林兒稱宋後，四方回應，遂用其年號以令軍中。
HCH_012_122_000145	林兒歿，始以明年為吳元年。
HCH_012_122_000146	其年，遣大將軍定中原，順帝北走，距林兒亡僅歲餘。
HCH_012_122_000147	林兒僭號凡十二年。
HCH_012_122_000148	贊曰：元之末季，群雄蜂起。
HCH_012_122_000149	子興據有濠州，地偏勢弱。
HCH_012_122_000150	然有明基業，實肇于滁陽一旅。
HCH_012_122_000151	子興之封王祀廟，食報久長，良有以也。
HCH_012_122_000152	林兒橫據中原，縱兵蹂躪，蔽遮江、淮十有餘年。
HCH_012_122_000153	太祖得以從容締造者，藉其力焉。
HCH_012_122_000154	帝王之興，必有先驅者資之以成其業，夫豈偶然哉！
