HCH_011_017_000001	王珍國字德重，沛國相人也。
HCH_011_017_000039	徵還爲員外散騎常侍、太子右衛率，加後軍。
HCH_011_017_000040	頃之，復爲左衛將軍。
HCH_011_017_000041	九年，出爲使持節、都督湘州諸軍事、信武將軍、湘州刺史。
HCH_011_017_000042	視事四年，徵還爲護軍將軍，遷通直散騎常侍、丹陽尹。
HCH_011_017_000043	十四年，卒。
HCH_011_017_000044	詔贈車騎將軍，給鼓吹一部，賻錢十萬，布百匹。
HCH_011_017_000045	諡曰威。
HCH_011_017_000046	子僧度嗣。
HCH_011_017_000047	馬仙琕，字靈馥，扶風郿人也。
HCH_011_017_000048	父伯鸞，宋冠軍司馬。
HCH_011_017_000049	仙琕少以果敢聞，遭父憂，毀瘠過禮，負土成墳，手植松柏。
HCH_011_017_000050	起家郢州主簿，遷武騎常侍，爲小將，隨齊安陸王蕭緬。
HCH_011_017_000051	緬卒，事明帝。
HCH_011_017_000052	永元中，蕭遙光、崔慧景亂，累有戰功，以勳至前將軍。
HCH_011_017_000053	出爲龍驤將軍、南汝陰、譙二郡太守。
HCH_011_017_000054	會壽陽新陷，魏將王肅侵邊，仙琕力戰，以寡克衆，魏人甚憚之。
HCH_011_017_000055	復以功遷寧朔將軍、豫州刺史。
HCH_011_017_000056	義師起，四方多回應，高祖使仙琕故人姚仲賓說之，仙琕於軍斬仲賓以徇。
HCH_011_017_000057	義師至新林，仙琕猶持兵於江西，日鈔運漕，建康城陷，仙琕號哭經宿，乃解兵歸罪。
HCH_011_017_000058	高祖勞之曰：「射鉤斬袪，昔人弗忌。卿勿以戮使斷運，苟自嫌絕也。」
HCH_011_017_000059	仙琕謝曰：「小人如失主犬，後主飼之，便復爲用。」
HCH_011_017_000060	高祖笑而美之。
HCH_011_017_000061	俄而仙琕母卒，高祖知其貧，賻給甚厚。
HCH_011_017_000062	仙琕號泣，謂弟仲艾曰：「蒙大造之恩，未獲上報。今復荷殊澤，當與爾以心力自效耳。」
HCH_011_017_000063	天監四年，王師北討，仙琕每戰，勇冠三軍，當其沖者，莫不摧破。
HCH_011_017_000064	與諸將論議，口未嘗言功。
HCH_011_017_000065	人問其故，仙琕曰：「丈夫爲時所知，當進不求名，退不逃罪，乃平生願也。何功可論！」
HCH_011_017_000066	授輔國將軍、宋安、安蠻二郡太守，遷南義陽太守。
HCH_011_017_000067	累破山蠻，郡境清謐。
HCH_011_017_000068	以功封浛洭縣伯，邑四百戶，仍遷都督司州諸軍事、司州刺史，輔國將軍如故。
HCH_011_017_000069	俄進號貞威將軍。
HCH_011_017_000070	魏豫州人白皁生殺其刺史琅邪王司馬慶曾，自號平北將軍，推鄉人胡遜爲刺史，以懸瓠來降。
HCH_011_017_000071	高祖使仙琕赴之，又遣直閤將軍武會超、馬廣率衆爲援。
HCH_011_017_000072	仙琕進頓楚王城，遣副將齊苟兒以兵二千助守懸瓠。
HCH_011_017_000073	魏中山王元英率衆十萬攻懸瓠，仙琕遣廣、會超等守三關。
HCH_011_017_000074	十二月，英破懸瓠，執齊苟兒，遂進攻馬廣，又破廣，生擒之，送雒陽。
HCH_011_017_000075	仙琕不能救。
HCH_011_017_000076	會超等亦相次退散，魏軍遂進據三關。
HCH_011_017_000077	仙琕坐徵還，爲雲騎將軍。
HCH_011_017_000078	出爲仁威司馬，府主豫章王轉號雲麾，復爲司馬，加振遠將軍。
HCH_011_017_000079	十年，朐山民殺琅邪太守劉晣，以城降魏，詔假仙琕節，討之。
HCH_011_017_000080	魏徐州刺史盧昶以衆十餘萬赴焉。
HCH_011_017_000081	仙琕與戰，累破之，昶遁走。
HCH_011_017_000082	仙琕縱兵乘之，魏衆免者十一二，收其兵糧牛馬器械，不可勝數。
HCH_011_017_000083	振旅還京師，遷太子左衛率，進爵爲侯，增邑六百戶。
HCH_011_017_000084	十一年，遷持節、督豫北豫霍三州諸軍事、信武將軍、豫州刺史，領南汝陰太守。
HCH_011_017_000085	初，仙琕幼名仙婢，及長，以「婢」名不典，乃以「玉」代「女」，因成「琕」云。
HCH_011_017_000086	自爲將及居州郡，能與士卒同勞逸。
HCH_011_017_000087	身衣不過布帛，所居無帷幕衾屏，行則飲食與廝養最下者同。
HCH_011_017_000088	其在邊境，常單身潛入敵庭，伺知壁壘村落險要處所，故戰多克捷，士卒亦甘心爲之用，高祖雅愛仗之。
HCH_011_017_000089	在州四年，卒。
HCH_011_017_000090	贈左衛將軍。
HCH_011_017_000091	諡曰剛。
HCH_011_017_000092	子巖夫嗣。
HCH_011_017_000093	張齊字子響，馮翊郡人。
HCH_011_017_000094	世居橫桑，或云橫桑人也。
HCH_011_017_000095	少有膽氣。
HCH_011_017_000096	初事荊府司馬垣歷生。
HCH_011_017_000097	歷生酗酒，遇下嚴酷，不甚禮之。
HCH_011_017_000098	歷生罷官歸，吳郡張稷爲荊府司馬，齊復從之，稷甚相知重，以爲心腹，雖家居細事，皆以任焉。
HCH_011_017_000099	齊盡心事稷，無所辭憚。
HCH_011_017_000100	隨稷歸京師。
HCH_011_017_000101	稷爲南兗州，又擢爲府中兵參軍，始委以軍旅。
HCH_011_017_000102	齊永元中，義師起，東昏徵稷歸，都督宮城諸軍事，居尚書省。
HCH_011_017_000103	義兵至，周邊漸急，齊日造王珍國，陰與定計。
HCH_011_017_000104	計定，夜引珍國就稷造膝，齊自執燭以成謀。
HCH_011_017_000105	明旦，與稷、珍國卽東昏於內殿，齊手刃焉。
HCH_011_017_000106	明年，高祖受禪，封齊安昌縣侯，邑五百戶，仍爲寧朔將軍、歷陽太守。
HCH_011_017_000107	齊手不知書，目不識字，而在郡有清政，吏事甚脩。
HCH_011_017_000108	天監二年，還爲虎賁中郎將。
HCH_011_017_000109	未拜，遷天門太守，寧朔將軍如故。
HCH_011_017_000110	四年，魏將王足寇巴、蜀，高祖以齊爲輔國將軍救蜀。
HCH_011_017_000111	未至，足退走，齊進戍南安。
HCH_011_017_000112	七年秋，使齊置大劍、寒冢二戍，軍還益州。
HCH_011_017_000113	其年，遷武旅將軍、巴西太守，尋加征遠將軍。
HCH_011_017_000114	十年，郡人姚景和聚合蠻蜒，抄斷江路，攻破金井。
HCH_011_017_000115	齊討景和於平昌，破之。
HCH_011_017_000116	初，南鄭沒於魏，乃於益州西置南梁州。
HCH_011_017_000117	州鎮草創，皆仰益州取足。
HCH_011_017_000118	齊上夷獠義租，得米二十萬斛。
HCH_011_017_000119	又立臺傳，興冶鑄，以應贍南梁。
HCH_011_017_000120	十一年，進假節、督益州外水諸軍。
HCH_011_017_000121	十二年，魏將傅豎眼寇南安，齊率衆距之，豎眼退走。
HCH_011_017_000122	十四年，遷信武將軍、巴西、梓潼二郡太守。
HCH_011_017_000123	是歲，葭萌人任令宗因衆之患魏也，殺魏晉壽太守，以城歸款。
HCH_011_017_000124	益州刺史鄱陽王遣齊帥衆三萬，督南梁州長史席宗範諸軍迎令宗。
HCH_011_017_000125	十五年，魏東益州刺史元法僧遣子景隆來拒齊師，南安太守皇甫諶及宗範逆擊之，大破魏軍於葭萌，屠十餘城，魏將丘突、王穆等皆降。
HCH_011_017_000126	而魏更增傅豎眼兵，復來拒戰，齊兵少不利，軍引還，於是葭萌復沒於魏。
HCH_011_017_000127	齊在益部累年，討擊蠻獠，身無寧歲。
HCH_011_017_000128	其居軍中，能身親勞辱，與士卒同其勤苦。
HCH_011_017_000129	自畫頓舍城壘，皆委曲得其便，調給衣糧資用，人人無所困乏。
HCH_011_017_000130	旣爲物情所附，蠻獠亦不敢犯，是以威名行於庸、蜀。
HCH_011_017_000131	巴西郡居益州之半，又當東道沖要，刺史經過，軍府遠涉，多所窮匱。
HCH_011_017_000132	齊沿路聚糧食，種蔬菜，行者皆取給焉。
HCH_011_017_000133	其能濟辦，多此類也。
HCH_011_017_000134	十七年，遷持節、都督南梁州諸軍事、智武將軍、南梁州刺史。
HCH_011_017_000135	普通四年，遷信武將軍、征西鄱陽王司馬、新興、永寧二郡太守。
HCH_011_017_000136	未發而卒，時年六十七。
HCH_011_017_000137	追贈散騎常侍、右衛將軍。
HCH_011_017_000138	賻錢十萬，布百匹。
HCH_011_017_000139	諡曰壯。
HCH_011_017_000140	陳吏部尚書姚察曰：王珍國、申胄、徐元瑜、李居士，齊末咸爲列將，擁強兵，或面縛請罪，或斬關獻捷；其能後服，馬仙琕而已。
HCH_011_017_000141	仁義何常，蹈之則爲君子，信哉！
HCH_011_017_000142	及其臨邊撫衆，雖李牧無以加矣。
HCH_011_017_000143	張齊之政績，亦有異焉。
HCH_011_017_000144	胄、元瑜、居士入梁事迹鮮，故不爲之傳。
HCH_011_017_000145	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
