HCH_011_053_000001	昔漢宣帝以爲「政平訟理，其惟良二千石乎！」
HCH_011_053_000052	揚州書佐私行，詐稱州使，不肯就作，瑀鞭之三十。
HCH_011_053_000053	書佐歸訴遙光，遙光曰：「沈瑀必不枉鞭汝。」
HCH_011_053_000054	覆之，果有詐。
HCH_011_053_000055	明帝復使瑀築赤山塘，所費減材官所量數十萬，帝益善之。
HCH_011_053_000056	永泰元年，爲建德令，教民一丁種十五株桑、四株柿及梨栗，女丁半之，人咸歡悅，頃之成林。
HCH_011_053_000057	去官還京師，兼行選曹郎。
HCH_011_053_000058	隨陳伯之軍至江州，會義師圍郢城，瑀說伯之迎高祖。
HCH_011_053_000059	伯之泣曰：「余子在都，不得出城，不能不愛之。」
HCH_011_053_000060	瑀曰：「不然，人情匈匈，皆思改計，若不早圖，衆散難合。」
HCH_011_053_000061	伯之遂舉衆降，瑀從在高祖軍中。
HCH_011_053_000062	初，瑀在竟陵王家，素與范雲善。
HCH_011_053_000063	齊末，嘗就雲宿，夢坐屋梁柱上，仰見天中有字曰「范氏宅」。
HCH_011_053_000064	至是，瑀爲高祖說之。
HCH_011_053_000065	高祖曰：「雲得不死，此夢可驗。」
HCH_011_053_000066	及高祖卽位，雲深薦瑀，自暨陽令擢兼尚書右丞。
HCH_011_053_000067	時天下初定，陳伯之表瑀催督運轉，軍國獲濟，高祖以爲能。
HCH_011_053_000068	遷尚書駕部郎，兼右丞如故。
HCH_011_053_000069	瑀薦族人沈僧隆、僧照有吏幹，高祖並納之。
HCH_011_053_000070	以母憂去職，起爲振武將軍、餘姚令。
HCH_011_053_000071	縣大姓虞氏千餘家，請謁如市，前後令長莫能絕。
HCH_011_053_000072	自瑀到，非訟所通，其有至者，悉立之階下，以法繩之。
HCH_011_053_000073	縣南又有豪族數百家，子弟縱橫，遞相庇廕，厚自封植，百姓甚患之。
HCH_011_053_000074	瑀召其老者爲石頭倉監，少者補縣僮，皆號泣道路，自是權右屏跡。
HCH_011_053_000075	瑀初至，富吏皆鮮衣美服，以自彰別。
HCH_011_053_000076	瑀怒曰：「汝等下縣吏，何自擬貴人耶？」
HCH_011_053_000077	悉使著芒屩粗布，侍立終日，足有蹉跌，輒加榜棰。
HCH_011_053_000078	瑀微時，嘗自至此鬻瓦器，爲富人所辱，故因以報焉，由是士庶駭怨。
HCH_011_053_000079	然瑀廉白自守，故得遂行其志。
HCH_011_053_000080	後王師北伐，徵瑀爲建威將軍，督運漕，尋兼都水使者。
HCH_011_053_000081	頃之，遷少府卿。
HCH_011_053_000082	出爲安南長史、尋陽太守。
HCH_011_053_000083	江州刺史曹景宗疾篤，瑀行府州事。
HCH_011_053_000084	景宗卒，仍爲信威蕭穎達長史，太守如故。
HCH_011_053_000085	瑀性屈強，每忤穎達，穎達銜之。
HCH_011_053_000086	天監八年，因入諮事，辭又激厲，穎達作色曰：「朝廷用君作行事耶？」
HCH_011_053_000087	瑀出，謂人曰：「我死而後已，終不能傾側面從。」
HCH_011_053_000088	是日，于路爲盜所殺，時年五十九，多以爲穎達害焉。
HCH_011_053_000089	子續累訟之，遇穎達亦尋卒，事遂不窮竟。
HCH_011_053_000090	續乃布衣蔬食終其身。
HCH_011_053_000091	范述曾字子玄，吳郡錢唐人也。
HCH_011_053_000092	幼好學，從餘杭呂道惠受《五經》，略通章句。
HCH_011_053_000093	道惠學徒常有百數，獨稱述曾曰：「此子必爲王者師。」
HCH_011_053_000094	齊文惠太子、竟陵文宣王幼時，高帝引述曾爲之師友。
HCH_011_053_000095	起家爲宋晉熙王國侍郎。
HCH_011_053_000096	齊初，至南郡王國郎中令，遷尚書主客郎、太子步兵校尉，帶開陽令。
HCH_011_053_000097	述曾爲人謇諤，在宮多所諫爭，太子雖不能全用，然亦弗之罪也。
HCH_011_053_000098	竟陵王深相器重，號爲「周舍」。
HCH_011_053_000099	時太子左衛率沈約亦以述曾方汲黯。
HCH_011_053_000100	以父母年老，乞還就養，乃拜中散大夫。
HCH_011_053_000101	明帝卽位，除遊擊將軍，出爲永嘉太守。
HCH_011_053_000102	爲政清平，不尚威猛，民俗便之。
HCH_011_053_000103	所部橫陽縣，山谷險峻，爲逋逃所聚，前後二千石討捕莫能息。
HCH_011_053_000104	述曾下車，開示恩信，凡諸凶黨，繦負而出，編戶屬籍者二百餘家。
HCH_011_053_000105	自是商賈流通，居民安業。
HCH_011_053_000106	在郡勵志清白，不受饋遺，明帝聞甚嘉之，下詔褒美焉。
HCH_011_053_000107	徵爲遊擊將軍。
HCH_011_053_000108	郡送故舊錢二十餘萬，述曾一無所受。
HCH_011_053_000109	始之郡，不將家屬；及還，吏無荷擔者。
HCH_011_053_000110	民無老少，皆出拜辭，號哭聞于數十里。
HCH_011_053_000111	東昏時，拜中散大夫，還鄉里。
HCH_011_053_000112	高祖踐阼，乃輕舟出詣闕，仍辭還東。
HCH_011_053_000113	高祖詔曰：「中散大夫范述曾，昔在齊世，忠直奉主，往蒞永嘉，治身廉約，宜加禮秩，以厲清操。可太中大夫，賜絹二十匹。」
HCH_011_053_000114	述曾生平得奉祿，皆以分施。
HCH_011_053_000115	及老，遂壁立無所資。
HCH_011_053_000116	以天監八年卒，時年七十九。
HCH_011_053_000117	注《易文言》，著雜詩賦數十篇。
HCH_011_053_000118	丘仲孚字公信，吳興烏程人也。
HCH_011_053_000119	少好學，從祖靈鞠有人倫之鑒，常稱爲千里駒也。
HCH_011_053_000120	齊永明初，選爲國子生，舉高第，未調，還鄉里。
HCH_011_053_000121	家貧，無以自資，乃結羣盜，爲之計畫，劫掠三吳。
HCH_011_053_000122	仲孚聰明有智略，羣盜畏而服之，所行皆果，故亦不發。
HCH_011_053_000123	太守徐嗣召補主簿，歷揚州從事、太學博士、于湖令，有能名。
HCH_011_053_000124	太守呂文顯當時倖臣，陵詆屬縣，仲孚獨不爲之屈。
HCH_011_053_000125	以父喪去職。
HCH_011_053_000126	明帝卽位，起爲烈武將軍、曲阿令。
HCH_011_053_000127	值會稽太守王敬則舉兵反，乘朝廷不備，反問始至，而前鋒已屆曲阿。
HCH_011_053_000128	仲孚謂吏民曰：「賊乘勝雖銳，而烏合易離。今若收船艦，鑿長崗埭，泄瀆水以阻其路，得留數日，臺軍必至，則大事濟矣。」
HCH_011_053_000129	敬則軍至，值瀆涸，果頓兵不得進，遂敗散。
HCH_011_053_000130	仲孚以距守有功，遷山陰令，居職甚有聲稱，百姓爲之謠曰：「二傅沈劉，不如一丘。」
HCH_011_053_000131	前世傅琰父子、沈憲、劉玄明，相繼宰山陰，並有政績，言仲孚皆過之也。
HCH_011_053_000132	齊末政亂，頗有贓賄，爲有司所舉，將收之，仲孚竊逃，徑還京師詣闕，會赦，得不治。
HCH_011_053_000133	高祖踐阼，復爲山陰令。
HCH_011_053_000134	仲孚長於撥煩，善適權變，吏民敬服，號稱神明，治爲天下第一。
HCH_011_053_000135	超遷車騎長史、長沙內史，視事未朞，徵爲尚書右丞，遷左丞，仍擢爲衛尉卿，恩任甚厚。
HCH_011_053_000136	初起雙闕，以仲孚領大匠。
HCH_011_053_000137	事畢，出爲安西長史、南郡太守。
HCH_011_053_000138	遷雲麾長史、江夏太守，行郢州州府事，遭母憂，起攝職。
HCH_011_053_000139	坐事除名，復起爲司空參軍。
HCH_011_053_000140	俄遷豫章內史，在郡更勵清節。
HCH_011_053_000141	頃之，卒，時年四十八。
HCH_011_053_000142	詔曰：「豫章內史丘仲孚，重試大邦，責以後效，非直悔吝云亡，實亦政績克舉。不幸殞喪，良以傷惻。可贈給事黃門侍郎。」
HCH_011_053_000143	仲孚喪將還，豫章老幼號哭攀送，車輪不得前。
HCH_011_053_000144	仲孚爲左丞，撰《皇典》二十卷、《南宮故事》百卷，又撰《尚書具事雜儀》，行於世焉。
HCH_011_053_000145	孫謙字長遜，東莞莒人也。
HCH_011_053_000146	少爲親人趙伯符所知。
HCH_011_053_000147	謙年十七，伯符爲豫州刺史，引爲左軍行參軍，以治幹稱。
HCH_011_053_000148	父憂去職，客居歷陽，躬耕以養弟妹，鄉里稱其敦睦。
HCH_011_053_000149	宋江夏王義恭聞之，引爲行參軍，歷仕大司馬、太宰二府。
HCH_011_053_000150	出爲句容令，清慎強記，縣人號爲神明。
HCH_011_053_000151	泰始初，事建安王休仁，休仁以爲司徒參軍，言之明帝，擢爲明威將軍、巴東、建平二郡太守。
HCH_011_053_000152	郡居三峽，恒以威力鎮之。
HCH_011_053_000153	謙將述職，敕募千人自隨。
HCH_011_053_000154	謙曰：「蠻夷不賓，蓋待之失節耳。何煩兵役，以爲國費。」
HCH_011_053_000155	固辭不受。
HCH_011_053_000156	至郡，布恩惠之化，蠻獠懷之，競餉金寶，謙慰喻而遣，一無所納。
HCH_011_053_000157	及掠得生口，皆放還家。
HCH_011_053_000158	俸秩出吏民者，悉原除之。
HCH_011_053_000159	郡境翕然，威信大著。
HCH_011_053_000160	視事三年，徵還爲撫軍中兵參軍。
HCH_011_053_000161	元徽初，遷梁州刺史，辭不赴職，遷越騎校尉、征北司馬府主簿。
HCH_011_053_000162	建平王將稱兵，患謙強直，託事遣使京師，然後作亂。
HCH_011_053_000163	及建平誅，遷左軍將軍。
HCH_011_053_000164	齊初，爲寧朔將軍、錢唐令，治煩以簡，獄無繫囚。
HCH_011_053_000165	及去官，百姓以謙在職不受餉遺，追載縑帛以送之，謙卻不受。
HCH_011_053_000166	每去官，輒無私宅，常借官空車廄居焉。
HCH_011_053_000167	永明初，爲冠軍長史、江夏太守，坐被代輒去郡，繫尚方。
HCH_011_053_000168	頃之，免爲中散大夫。
HCH_011_053_000169	明帝將廢立，欲引謙爲心膂，使兼衛尉，給甲仗百人，謙不願處際會，輒散甲士，帝雖不罪，而弗復任焉。
HCH_011_053_000170	出爲南中郎司馬。
HCH_011_053_000171	東昏永元元年，遷囗囗大夫。
HCH_011_053_000172	天監六年，出爲輔國將軍、零陵太守，已衰老，猶強力爲政，吏民安之。
HCH_011_053_000173	先是，郡多虎暴，謙至絕迹。
HCH_011_053_000174	及去官之夜，虎卽害居民。
HCH_011_053_000175	謙爲郡縣，常勤勸課農桑，務盡地利，收入常多於鄰境。
HCH_011_053_000176	九年，以年老，徵爲光祿大夫。
HCH_011_053_000177	旣至，高祖嘉其清潔，甚禮異焉。
HCH_011_053_000178	每朝見，猶請劇職自效。
HCH_011_053_000179	高祖笑曰：「朕使卿智，不使卿力。」
HCH_011_053_000180	十四年，詔曰：「光祿大夫孫謙，清慎有聞，白首不怠，高年舊齒，宜加優秩。可給親信二十人，幷給扶。」
HCH_011_053_000181	謙自少及老，歷二縣五郡，所在廉潔。
HCH_011_053_000182	居身儉素，床施蘧蒢屏風，冬則布被莞席，夏日無幬帳，而夜臥未嘗有蚊蚋，人多異焉。
HCH_011_053_000183	年逾九十，強壯如五十者，每朝會，輒先衆到公門。
HCH_011_053_000184	力於仁義，行己過人甚遠。
HCH_011_053_000185	從兄靈慶常病寄于謙，謙出行還問起居。
HCH_011_053_000186	靈慶曰：「向飲冷熱不調，卽時猶渴。」
HCH_011_053_000187	謙退遣其妻。
HCH_011_053_000188	有彭城劉融者，行乞疾篤無所歸，友人輿送謙舍，謙開廳事以待之。
HCH_011_053_000189	及融死，以禮殯葬之。
HCH_011_053_000190	衆咸服其行義。
HCH_011_053_000191	十五年，卒官，時年九十二。
HCH_011_053_000192	詔賻錢三萬、布五十匹。
HCH_011_053_000193	高祖爲舉哀，甚悼惜之。
HCH_011_053_000194	謙從子廉，便辟巧宦。
HCH_011_053_000195	齊時已歷大縣，尚書右丞。
HCH_011_053_000196	天監初，沈約、范雲當朝用事，廉傾意奉之。
HCH_011_053_000197	及中書舍人黃睦之等，亦尤所結附。
HCH_011_053_000198	凡貴要每食，廉必日進滋旨，皆手自煎調，不辭勤劇，遂得爲列卿、御史中丞、晉陵、吳興太守。
HCH_011_053_000199	時廣陵高爽有險薄才，客於廉，廉委以文記，爽嘗有求不稱意，乃爲屐謎以喻廉曰：「刺鼻不知嚏，蹋面不知瞋，齧齒作步數，持此得勝人。」
HCH_011_053_000200	譏其不計恥辱，以此取名位也。
HCH_011_053_000201	伏暅字玄耀，曼容之子也。
HCH_011_053_000202	幼傳父業，能言玄理，與樂安任昉、彭城劉曼俱知名。
HCH_011_053_000203	起家齊奉朝請，仍兼太學博士，尋除東陽郡丞，秩滿爲鄞令。
HCH_011_053_000204	時曼容已致仕，故頻以外職處暅，令其得養焉。
HCH_011_053_000205	齊末，始爲尚書都官郎，仍爲衛軍記室參軍。
HCH_011_053_000206	高祖踐阼，遷國子博士，父憂去職。
HCH_011_053_000207	服闋，爲車騎諮議參軍，累遷司空長史、中書侍郎、前軍將軍、兼《五經》博士，與吏部尚書徐勉、中書侍郎周捨，總知五禮事。
HCH_011_053_000208	出爲永陽內史，在郡清潔，治務安靜。
HCH_011_053_000209	郡民何貞秀等一百五十四人詣州言狀，湘州刺史以聞。
HCH_011_053_000210	詔勘有十五事爲吏民所懷，高祖善之，徵爲新安太守。
HCH_011_053_000211	在郡清恪，如永陽時。
HCH_011_053_000212	民賦稅不登者，輒以太守田米助之。
HCH_011_053_000213	郡多麻苧，家人乃至無以爲繩，其厲志如此。
HCH_011_053_000214	屬縣始新、遂安、海寧，並同時生爲立祠。
HCH_011_053_000215	徵爲國子博士，領長水校尉。
HCH_011_053_000216	時始興內史何遠累著清績，高祖詔擢爲黃門侍郎，俄遷信武將軍、監吳郡。
HCH_011_053_000217	暅自以名輩素在遠前，爲吏俱稱廉白，遠累見擢，暅遷階而已，意望不滿，多托疾居家。
HCH_011_053_000218	尋求假到東陽迎妹喪，因留會稽築宅，自表解，高祖詔以爲豫章內史，暅乃出拜。
HCH_011_053_000219	治書侍御史虞㬭奏曰：有詔勿治，暅遂得就郡。
HCH_011_053_000220	視事三年，徵爲給事黃門侍郎，領國子博士，未及起。
HCH_011_053_000221	普通元年，卒於郡，時年五十九。
HCH_011_053_000222	尚書右僕射徐勉爲之墓誌，其一章曰：「東區南服，愛結民胥，相望伏闕，繼軌奏書。或臥其轍，或扳其車，或圖其像，或式其閭。思耿借寇，曷以尚諸。」
HCH_011_053_000223	初，暅父曼容與樂安任瑤皆匿於齊太尉王儉，瑤子昉及暅並見知。
HCH_011_053_000224	頃之，昉才遇稍盛，齊末，昉已爲司徒右長史，暅猶滯於參軍事；及其終也，名位略相侔。
HCH_011_053_000225	暅性儉素，車服粗惡，外雖退靜，內不免心競，故見譏於時。
HCH_011_053_000226	能推薦後來，常若不及，少年士子，或以此依之。
HCH_011_053_000227	何遠字義方，東海郯人也。
HCH_011_053_000228	父慧炬，齊尚書郎。
HCH_011_053_000229	遠釋褐江夏王國侍郎，轉奉朝請。
HCH_011_053_000230	永元中，江夏王寶玄於京口爲護軍將軍崔慧景所奉，入圍宮城，遠豫其事。
HCH_011_053_000231	事敗，乃亡抵長沙宣武王，王深保匿焉。
HCH_011_053_000232	遠求得桂陽王融保藏之，旣而發覺，收捕者至，遠逾垣以免；融及遠家人皆見執，融遂遇禍，遠家屬繫尚方。
HCH_011_053_000233	遠亡渡江，使其故人高江產共聚衆，欲迎高祖義師，東昏黨聞之，使捕遠等，衆復潰散。
HCH_011_053_000234	遠因降魏，入壽陽，見刺史王肅，欲同義舉，肅不能用，乃求迎高祖，肅許之。
HCH_011_053_000235	遣兵援送，得達高祖。
HCH_011_053_000236	高祖見遠，謂張弘策曰：「何遠美丈夫，而能破家報舊德，未易及也。」
HCH_011_053_000237	板輔國將軍，隨軍東下，旣破硃雀軍，以爲建康令。
HCH_011_053_000238	高祖踐阼，爲步兵校尉，以奉迎勳封廣興男，邑三百戶。
HCH_011_053_000239	遷建武將軍、後軍鄱陽王恢錄事參軍。
HCH_011_053_000240	遠與恢素善，在府盡其志力，知無不爲，恢亦推心仗之，恩寄甚密。
HCH_011_053_000241	頃之，遷武昌太守。
HCH_011_053_000242	遠本倜儻，尚輕俠，至是乃折節爲吏，杜絕交遊，饋遺秋毫無所受。
HCH_011_053_000243	武昌俗皆汲江水，盛夏遠患水溫，每以錢買民井寒水；不取錢者，則摙水還之。
HCH_011_053_000244	其佗事率多如此。
HCH_011_053_000245	跡雖似偽，而能委曲用意焉。
HCH_011_053_000246	車服尤弊素，器物無銅漆。
HCH_011_053_000247	江左多水族，甚賤，遠每食不過幹魚數片而已。
HCH_011_053_000248	然性剛嚴，吏民多以細事受鞭罰者，遂爲人所訟，徵下廷尉，被劾數十條。
HCH_011_053_000249	當時士大夫坐法，皆不受立，遠度己無贓，就立三七日不款，猶以私藏禁仗除名。
HCH_011_053_000250	後起爲鎮南將軍、武康令。
HCH_011_053_000251	愈厲廉節，除淫祀，正身率職，民甚稱之。
HCH_011_053_000252	太守王彬巡屬縣，諸縣盛供帳以待焉，至武康，遠獨設糗水而已。
HCH_011_053_000253	彬去，遠送至境，進斗酒雙鵝爲別。
HCH_011_053_000254	彬戲曰：「卿禮有過陸納，將不爲古人所笑乎？」
HCH_011_053_000255	高祖聞其能，擢爲宣城太守。
HCH_011_053_000256	自縣爲近畿大郡，近代未之有也。
HCH_011_053_000257	郡經寇抄，遠盡心綏理，復著名迹。
HCH_011_053_000258	朞年，遷樹功將軍、始興內史。
HCH_011_053_000259	時泉陵侯淵朗爲桂州，緣道剽掠，入始興界，草木無所犯。
HCH_011_053_000260	遠在官，好開途巷，修葺牆屋，民居市里，城隍廄庫，所過若營家焉。
HCH_011_053_000261	田秩俸錢，並無所取，歲暮，擇民尤窮者，充其租調，以此爲常。
HCH_011_053_000262	然其聽訟猶人，不能過絕，而性果斷，民不敢非，畏而惜之。
HCH_011_053_000263	所至皆生爲立祠，表言治狀，高祖每優詔答焉。
HCH_011_053_000264	天監十六年，詔曰：「何遠前在武康，已著廉平；復蒞二邦，彌盡清白。政先治道，惠留民愛，雖古之良二千石，無以過也。宜升內榮，以顯外績。可給事黃門侍郎。」
HCH_011_053_000265	遠卽還，仍爲仁威長史。
HCH_011_053_000266	頃之，出爲信武將軍，監吳郡。
HCH_011_053_000267	在吳頗有酒失，遷東陽太守。
HCH_011_053_000268	遠處職，疾強富如仇讎，視貧細如子弟，特爲豪右所畏憚。
HCH_011_053_000269	在東陽歲餘，復爲受罰者所謗，坐免歸。
HCH_011_053_000270	遠耿介無私曲，居人間，絕請謁，不造詣。
HCH_011_053_000271	與貴賤書疏，抗禮如一。
HCH_011_053_000272	其所會遇，未嘗以顏色下人，以此多爲俗士所惡。
HCH_011_053_000273	其清公實爲天下第一。
HCH_011_053_000274	居數郡，見可欲終不變其心，妻子饑寒，如下貧者。
HCH_011_053_000275	及去東陽歸家，經年歲口不言榮辱，士類益以此多之。
HCH_011_053_000276	其輕財好義，周人之急，言不虛妄，蓋天性也。
HCH_011_053_000277	每戲語人云：「卿能得我一妄語，則謝卿以一縑。」
HCH_011_053_000278	衆共伺之，不能記也。
HCH_011_053_000279	後復起爲征西諮議參軍、中撫司馬。
HCH_011_053_000280	普通二年，卒，時年五十二。
HCH_011_053_000281	高祖厚贈賜之。
HCH_011_053_000282	陳吏部尚書姚察曰：前史有循吏，何哉？
HCH_011_053_000283	世使然也。
HCH_011_053_000284	漢武役繁姦起，循平不能，故有苛酷誅戮以勝之，亦多怨濫矣。
HCH_011_053_000285	梁興，破觚爲圓，斵雕爲樸，教民以孝悌，勸之以農桑，於是桀黠化爲由余，輕薄變爲忠厚。
HCH_011_053_000286	淳風已洽，民自知禁。
HCH_011_053_000287	堯舜之民，比屋可封，信矣。
HCH_011_053_000288	若夫酷吏，於梁無取焉。
HCH_011_053_000289	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
