HCH_012_092_000001	明初，垛集令行，民出一丁為軍，衛所無缺伍，且有羨丁。
HCH_012_092_000026	先是，蘇、常軍戶絕者，株累族黨，動以千計，知府況鐘言於朝，又常州民訴受抑為軍者七百有奇，故特敕巡撫侍郎周忱清理。
HCH_012_092_000027	正統初，令勾軍家丁盡者，除籍；逃軍死亡及事故者，或家本軍籍，而偶同姓名，裏胥挾讎妄報冒解，或已解而赴部聲冤者，皆與豁免。
HCH_012_092_000028	定例，補伍皆發極邊，而南北人互易。
HCH_012_092_000029	大學士楊士奇謂風土異宜，瀕於夭折，請從所宜發戍。
HCH_012_092_000030	署兵部侍郎鄺埜以為紊祖制，寢之。
HCH_012_092_000031	成化二年，山西巡撫李侃復請補近衛，始議行。
HCH_012_092_000032	十一年，命御史十一人分道清軍，以十分為率，及三分者最，不及者殿。
HCH_012_092_000033	時以罪謫者逃故，亦勾其家丁。
HCH_012_092_000034	御史江昂謂非「罰弗及嗣。」
HCH_012_092_000035	之義，乃禁之。
HCH_012_092_000036	嘉靖初，捕亡令愈苛，有株累數十家，勾攝經數十年者，丁口已盡，猶移覆紛紜不已。
HCH_012_092_000037	兵部尚書胡世甯請「屢經清報者免勾。又避役之人必緩急難倚，急改編原籍。衛所有缺伍，則另選舍餘及犯罪者充補。犯重發邊衛者，責賣家產，闔房遷發，使絕顧念。庶衛卒皆土著，而逃亡益鮮」。
HCH_012_092_000038	帝是其言。
HCH_012_092_000039	其後，用主事王學益議，制勾單，立法詳善。
HCH_012_092_000040	久之，停差清軍御史，寬管解逃軍及軍赴衛違限之科。
HCH_012_092_000041	清軍官日玩愒，文卷磨滅，議者復請申飭。
HCH_012_092_000042	萬曆三年，給事中徐貞明言：「勾軍東南，資裝出於戶丁，解送出於裏遞，每軍不下百金。大困東南之民，究無補於軍政。宜視班匠例，免其解補，而重徵班銀，以資召募，使東南永無勾補之擾，而西北之行伍亦充。」
HCH_012_092_000043	鄖陽巡撫王世貞因言有四便：應勾之戶，樂於就近，不圖避匿，便一；各安水土，不至困絕，便二；近則不逃，逃亦易追，便三；解戶不至破家，便四。
HCH_012_092_000044	而兵部卒格貞明議，不行。
HCH_012_092_000045	後十三年，南京兵部尚書郭應聘復請各就近地，南北改編。
HCH_012_092_000046	又言：「應勾之軍，南直隸至六萬六千餘，株連至二三十萬人，請自天順以前竟與釋免」。
HCH_012_092_000047	報可，遠近皆悅。
HCH_012_092_000048	然改編令下，求改者相繼。
HCH_012_092_000049	明年，兵部言：「什伍漸耗，邊鎮軍人且希圖脫伍」。
HCH_012_092_000050	有旨復舊，而應聘之議復不行。
HCH_012_092_000051	凡軍衛掌於職方，而勾清則武庫主之。
HCH_012_092_000052	有所勾攝，自衛所開報，先核鄉貫居止，內府給批，下有司提本軍，謂之跟捕；提家丁，謂之勾捕。
HCH_012_092_000053	間有恩恤開伍者。
HCH_012_092_000054	洪武二十三年，令應補軍役生員，遣歸卒業。
HCH_012_092_000055	宣德四年，上虞人李志道充楚雄衛軍，死，有孫宗皋宜繼。
HCH_012_092_000056	時已中鄉試，尚書張本言於帝，得免。
HCH_012_092_000057	如此者絕少。
HCH_012_092_000058	戶有軍籍，必仕至兵部尚書始得除。
HCH_012_092_000059	軍士應起解者，皆僉妻；有津給軍裝、解軍行糧、軍丁口糧之費。
HCH_012_092_000060	其冊單編造皆有恆式。
HCH_012_092_000061	初定戶口、收軍、勾清三冊。
HCH_012_092_000062	嘉靖三十一年，又編四冊，曰軍貫，曰兜底，曰類衛、類姓。
HCH_012_092_000063	其勾軍另給軍單。
HCH_012_092_000064	蓋終明世，于軍籍最嚴。
HCH_012_092_000065	然弊政漸叢，而擾民日甚。
HCH_012_092_000066	明太祖起布衣，策羣力，取天下。
HCH_012_092_000067	即位後，屢命元勳宿將分道練兵，而其制未定。
HCH_012_092_000068	洪武六年，命中書省、大都督府、御史臺、六部議教練軍士律：「騎卒必善馳射槍刀，步兵必善弓弩槍。射以十二矢之半，遠可到，近可中為程。遠可到，將弁百六十步、軍士百二十步；近可中，五十步。彀弩以十二矢之五，遠可到，蹶張八十步，劃車一百五十步；近可中，蹶張四十步，劃車六十步。槍必進退熟習。在京衛所，以五千人為率，取五之一，指揮以下官領赴御前驗試，餘以次番試。在外都司衛所，每衛五千人，取五之一，千戶以下官領赴京驗試。餘以次番試。軍士步騎皆善，將領各以其能受賞，否則罰。軍士給錢六百為道里費。將領自指揮使以下，所統軍士三分至六分不中者，次第奪俸；七分以上，次第降官至為軍止。都指揮軍士四分以上不中，奪俸一年；六分以上罷職。」
HCH_012_092_000069	後十六年，令天下衛所善射者十選一，於農隙分番赴京較閱，以優劣為千百戶賞罰，邊軍本衛較射。
HCH_012_092_000070	二十年，命衛士習射於午門丹墀。
HCH_012_092_000071	明年復令：「天下衛所馬步軍士，各分十班，將弁以廕敘久次升者統之，冬月至京閱試。指揮、千百戶，年深慣戰及屯田者免。仍先下操練法，俾遵行。不如法及不嫻習者，罰。」
HCH_012_092_000072	明年，詔五軍府：「比試軍士分三等賞鈔，又各給鈔三錠為路費，不中者亦給之。明年再試不如式，軍移戍雲南，官謫從徵，總小旗降為軍。武臣子弟襲職，試騎步射不中程，令還衛署事，與半俸，二年後仍試如故者，亦降為軍。」
HCH_012_092_000073	文皇即位，五駕北征，六師嘗自較閱。
HCH_012_092_000074	又嘗敕秦、晉、周、肅諸王，各選護衛軍五千，命官督赴真定操練，陝西、甘肅、寧夏、大同、遼東諸守將，及中都留守、河南等都司，徐、宿等衛，遣將統馬步軍分駐真定、德州操練，侯赴京閱視。
HCH_012_092_000075	景泰初，立十團營。
HCH_012_092_000076	給事中鄧林進《軒轅圖》，即古八陣法也，因用以教軍。
HCH_012_092_000077	成化間，增團營為十二，命月二次會操，起仲春十五日，止仲夏十五日，秋、冬亦如之。
HCH_012_092_000078	弘治九年，兵部尚書馬文升申明洪、永操法，五日內，二日走陣下營，三日演武。
HCH_012_092_000079	武宗好武勇，每令提督坐營官操練，又自執金鼓演四鎮卒。
HCH_012_092_000080	然大要以恣馳騁、供嬉戲，非有實也。
HCH_012_092_000081	嘉靖六年定，下營佈陣，止用三疊陣及四門方營。
HCH_012_092_000082	又令每營選槍刀箭牌銃手各一二人為教師，轉相教習。
HCH_012_092_000083	及更營制，分兵三十枝，設將三十員，各統三千人訓練，擇精銳者名選鋒，厚其校藝之賞。
HCH_012_092_000084	總督大臣一月會操者四，餘日營將分練。
HCH_012_092_000085	協理大臣及巡視給事、御史隨意入一營，校閱賞罰，因以擇選鋒。
HCH_012_092_000086	帝又置內營於內教場，練諸內使。
HCH_012_092_000087	隆慶初，命各營將領以教練軍士分數多寡為黜陟。
HCH_012_092_000088	全營教練者加都督僉事，以次減；全不教練者降祖職一級，革任回衛。
HCH_012_092_000089	三年內教練有成，操協大臣獎諭恩錄；無功績者議罰。
HCH_012_092_000090	規制雖立，然將卒率媮惰，操演徒為具文。
HCH_012_092_000091	先是，浙江參將戚繼光以善教士聞，嘗調士兵，制鴛鴦陣破倭。
HCH_012_092_000092	至是已官總兵。
HCH_012_092_000093	穆宗從給事中吳時來請，命繼光練兵薊門。
HCH_012_092_000094	薊兵精整者數十年。
HCH_012_092_000095	繼光嘗著《練兵實紀》以訓士。
HCH_012_092_000096	一曰練伍，首騎，次步，次車，次輜重；先選伍，次較藝，總之以合營。
HCH_012_092_000097	二曰練膽氣，使明作止進退及上下統屬、相友相助之義。
HCH_012_092_000098	三曰練耳目，使明號令。
HCH_012_092_000099	四曰練手足，使熟技藝。
HCH_012_092_000100	五曰練營陣，詳佈陣起行、結營及交鋒之正變。
HCH_012_092_000101	終之以練將。
HCH_012_092_000102	後多遵用之。
HCH_012_092_000103	賞功之制，太祖時，大賞平定中原、徵南諸將及雲南、越州之功。
HCH_012_092_000104	賞格雖具，然不豫為令。
HCH_012_092_000105	惟二十九年命沿海衛所指揮千百戶獲倭一船及賊者，升一級，賞銀五十兩，鈔五十錠，軍士水陸擒殺賊，賞銀有差。
HCH_012_092_000106	永樂初，以將士久勞，命禮部依太祖升賞例，參酌行之。
HCH_012_092_000107	乃分奇功、首功、次功三等，其賞之輕重次第，率臨時取旨，亦不豫為令。
HCH_012_092_000108	十二年定：「凡交鋒之際，突出敵背殺敗賊眾者，勇敢入陣斬將搴旗者，本隊已勝、別隊勝負未決、而能救援克敵者，受命能任事、出奇破賊成功者，皆為奇功。齊力前進、首先敗賊者，前隊交鋒未決、後隊向前敗賊者，皆為首功。軍行及營中擒獲奸細者，亦準首功。餘皆次功。」
HCH_012_092_000109	又立功賞勘合，定四十字，曰：「神威精勇猛，強壯毅英雄。克勝兼超捷，奇功奮銳鋒。智謀宣妙略，剛烈效忠誠。果敢能安定，揚名顯大勳。」
HCH_012_092_000110	編號用寶，貯內府印綬監。
HCH_012_092_000111	當是時，稽功之法甚嚴。
HCH_012_092_000112	正統十四年，造賞功牌，有奇功、頭功、齊力之分，以大臣主之。
HCH_012_092_000113	凡挺身突陣斬將奪旗者，與奇功牌。
HCH_012_092_000114	生擒瓦剌或斬首一級，與頭功牌。
HCH_012_092_000115	雖無功而被傷者，與齊力牌。
HCH_012_092_000116	蓋專為瓦剌入犯設也。
HCH_012_092_000117	是後，將士功賞視立功之地，準例奏行。
HCH_012_092_000118	北邊為上，東北邊次之，西番及苗蠻又次之，內地反賊又次之。
HCH_012_092_000119	世宗時，苦倭甚，故海上功比北邊尤為最。
HCH_012_092_000120	北邊，自甘肅迤東，抵山海關。
HCH_012_092_000121	成化十四年例：「一人斬一級者，進一秩，至三秩止。二人共斬者，為首進秩同。壯男與實授，幼弱婦女與署職。為從及四級以上，俱給賞。領軍官部下五百人者，獲五級，進一秩。領千人者，倍之。」
HCH_012_092_000122	正德十年重定例：「獨斬一級者升一秩。三人共者，首升署一秩，從給賞。四五六人共者，首給賞，從量賞。二人共斬一幼敵者，首視三人例，從量賞。不願升者，每實授一秩，賞銀五十兩，署職二十兩。」
HCH_012_092_000123	嘉靖十五年定，領軍官千、把總，加至三秩止，都指揮以上，止升署職二級，餘加賞。
HCH_012_092_000124	東北邊，初定三級當北邊之一。
HCH_012_092_000125	萬曆中，改與北邊同。
HCH_012_092_000126	番寇苗蠻，亦三級進一秩，實授署職，視北邊。
HCH_012_092_000127	十級以上並不及數者給賞。
HCH_012_092_000128	萬曆三年，令陝西番寇功，視成化中例，軍官千總領五百人者，部下斬三十級，領千人者六十級，把總領五百人者十級，領千人者三十級，俱進一秩，至三秩止。
HCH_012_092_000129	南方蠻賊，宣德九年例，三級以上及斬獲首賊，俱升一秩，餘加賞。
HCH_012_092_000130	正德十六年，定軍官部下斬百級者升署一秩，三百級者實授一秩，四百級者升一秩，餘功加賞。
HCH_012_092_000131	倭賊，嘉靖三十五年定：「斬倭首賊一級，升實授三秩，不願者賞銀百五十兩。從賊一級，授一秩。漢人脅從一級，署一秩。陣亡者，本軍及子實授一秩。海洋遇賊有功，均以奇功論。」
HCH_012_092_000132	萬曆十二年更定，視舊例少變，以賊眾及船之多寡，為功賞之差。
HCH_012_092_000133	復定海洋徵戰，無論倭寇、海賊，勘是奇功，與世襲。
HCH_012_092_000134	雲南夷賊，擒斬功次視倭功。
HCH_012_092_000135	內地反賊，成化十四年例，六級升一秩，至三秩止，幼男婦女及十九級以上與不及數者給賞。
HCH_012_092_000136	正德七年，定流賊例：「名賊一級，授一秩，世襲，為從者給賞。次賊一級，署一秩。從賊三級及陣亡者，俱授一秩，世襲。重傷回營死者，署一秩。」
HCH_012_092_000137	又以割耳多寡論功，最多者至升二秩，世襲。
HCH_012_092_000138	先是，五年寧夏功，後嘉靖元年江西功，俱視流賊例。
HCH_012_092_000139	崇禎中，購闖、獻以萬金，爵封侯，餘賊有差，以賊勢重，變常格也。
HCH_012_092_000140	其俘獲人畜、器械，成化例，俱給所獲者。
HCH_012_092_000141	其論功升秩，成化十四年例，軍士升一秩為小旗，舍人升一秩給冠帶，以上類推。
HCH_012_092_000142	嘉靖四十三年定，都督等官無階可升者，所應襲男廕冠帶。
HCH_012_092_000143	萬曆十三年定，都指揮使升秩者，不授都督，賞銀五十兩，升俸者半之。
HCH_012_092_000144	其有司民兵，隆慶六年定，視軍人例。
HCH_012_092_000145	自洪、宣以後，賞格皆以斬級多少豫定。
HCH_012_092_000146	條例漸多，幸弊日啟。
HCH_012_092_000147	正德間，副使胡世寧言：「兩軍格鬥，手眼瞬息，不得差池，何暇割級？其獲級者或殺已降，或殺良民，或偶得單行之賊、被掠逃出之人，非真功也。宜選強明剛正之員，為紀功官，痛懲此弊。」
HCH_012_092_000148	時弗能行。
HCH_012_092_000149	故事，鎮守官奏帶，例止五名。
HCH_012_092_000150	後領兵官所奏有至三四百名者，不在斬馘之列，別立名目，曰運送神槍，曰齎執旗牌，曰衝鋒破敵，曰三次當先，曰軍前效勞。
HCH_012_092_000151	冒濫之弊，至斯極已。
HCH_012_092_000152	古所謂砲，皆以機發石。
HCH_012_092_000153	元初得西域砲，攻金蔡州城，始用火。
HCH_012_092_000154	然造法不傳，後亦罕用。
HCH_012_092_000155	至明成祖平交阯，得神機槍砲法，特置神機營肄習。
HCH_012_092_000156	制用生、熟赤銅相間，其用鐵者，建鐵柔為最，西鐵次之。
HCH_012_092_000157	大小不等，大者發用車，次及小者用架、用樁、用託。
HCH_012_092_000158	大利於守，小利於戰。
HCH_012_092_000159	隨宜而用，為行軍要器。
HCH_012_092_000160	永樂十年，詔自開平至懷來、宣府、萬全、興和諸山頂，皆置五砲架。
HCH_012_092_000161	二十年，從張輔請，增置於山西大同、天城、陽和、朔州等衛以禦敵。
HCH_012_092_000162	然利器不可示人，朝廷亦慎惜之。
HCH_012_092_000163	宣德五年，敕宣府總兵官譚廣：「神銃，國家所重，在邊墩堡，量給以壯軍威，勿輕給。」
HCH_012_092_000164	正統六年，邊將黃真、楊洪立神銃局於宣府獨石。
HCH_012_092_000165	帝以火器外造，恐傳習漏泄，敕止之。
HCH_012_092_000166	正統末，邊備日亟，御史楊善請鑄兩頭銅銃。
HCH_012_092_000167	景泰元年，巡關侍郎江潮言：「真定藏都督平安火傘，上用鐵槍頭，環以響鈴，置火藥筒三，發之可潰敵馬。應州民師翱制銃，有機，頃刻三發，及三百步外。」
HCH_012_092_000168	俱試驗之。
HCH_012_092_000169	天順八年，延綏參將房能言麓川破賊，用九龍筒，一線然則九箭齊發，請頒式各邊。
HCH_012_092_000170	至嘉靖八年，始從右都御史汪鋐言，造佛郎機砲，謂之大將軍，發諸邊鎮。
HCH_012_092_000171	佛郎機者，國名也。
HCH_012_092_000172	正德末，其國舶至廣東。
HCH_012_092_000173	白沙巡檢何儒得其制，以銅為之。
HCH_012_092_000174	長五六尺，大者重千餘斤，小者百五十斤，巨腹長頸，腹有修孔。
HCH_012_092_000175	以子銃五枚，貯藥置腹中，發及百餘丈，最利水戰。
HCH_012_092_000176	駕以蜈蚣船，所擊輒糜碎。
HCH_012_092_000177	二十五年，總督軍務翁萬達奏所造火器。
HCH_012_092_000178	兵部試之，言：「三出連珠、百出先鋒、鐵捧雷飛，俱便用。母子火獸、布地雷砲，止可夜劫營。」
HCH_012_092_000179	御史張鐸亦進十眼銅砲，大彈發及七百步，小彈百步；四眼鐵槍，彈四百步。
HCH_012_092_000180	詔工部造。
HCH_012_092_000181	萬曆中，通判華光大奏其父所制神異火器，命下兵部。
HCH_012_092_000182	其後，大西洋船至，復得巨砲，曰紅夷。
HCH_012_092_000183	長二丈餘，重者至三千斤，能洞裂石城，震數十里。
HCH_012_092_000184	天啟中，錫以大將軍號，遣官祀之。
HCH_012_092_000185	崇禎時，大學士徐光啟請令西洋人製造，發各鎮。
HCH_012_092_000186	然將帥多不得人，城守不固，有委而去之者。
HCH_012_092_000187	及流寇犯闕，三大營兵不戰而潰，槍砲皆為賊有，反用以攻城。
HCH_012_092_000188	城上亦發砲擊賊。
HCH_012_092_000189	時中官已多異志，皆空器貯藥，取聲震而已。
HCH_012_092_000190	明置兵仗、軍器二局，分造火器。
HCH_012_092_000191	號將軍者自大至五。
HCH_012_092_000192	又有奪門將軍大小二樣、神機砲、襄陽砲、盞口砲、碗口砲、旋風砲、流星砲、虎尾砲、石榴砲、龍虎砲、毒火飛砲、連珠佛郎機砲、信砲、神砲、砲裏砲、十眼銅砲、三出連珠砲、百出先鋒砲、鐵捧雷飛砲、火獸布地雷砲、碗口銅鐵銃、手把銅鐵銃、神銃、斬馬銃、一窩鋒神機箭銃、大中小佛郎機銅銃、佛郎機鐵銃、木廂銅銃、筋繳樺皮鐵銃、無敵手銃、鳥嘴銃、七眼銅銃、千里銃、四眼鐵槍、各號雙頭鐵槍、夾把鐵手槍、快槍以及火車、火傘、九龍筒之屬，凡數十種。
HCH_012_092_000193	正德、嘉靖間造最多。
HCH_012_092_000194	又各邊自造，自正統十四年四川始。
HCH_012_092_000195	其他刀牌、弓箭、槍弩、狼筅、蒺藜、甲冑、戰襖，在內有兵仗、軍器、針工、鞍轡諸局，屬內庫，掌於中官，在外有盔甲廠，屬兵部，掌以郎官。
HCH_012_092_000196	京省諸司衛所，又俱有雜造局。
HCH_012_092_000197	軍資器械名目繁夥，不具載，惟火器前代所少，故特詳焉。
HCH_012_092_000198	中原用車戰，而東南利舟楫，二者於兵事為最要。
HCH_012_092_000199	自騎兵起，車制漸廢。
HCH_012_092_000200	洪武五年，造獨轅車，北平、山東千輛，山西、河南八百輛。
HCH_012_092_000201	永樂八年北征，用武剛車三萬輛，皆惟以供饋運。
HCH_012_092_000202	至正統十二年，始從總兵官硃冕議，用火車備戰。
HCH_012_092_000203	自是言車戰者相繼。
HCH_012_092_000204	十四年，給事中李侃請以ＣＡ車千輛，鐵索聯絡，騎卒處中，每車翼以刀牌手五人，賊犯陣，刀牌手擊之，賊退則開索縱騎。
HCH_012_092_000205	帝命造成祭而後用。
HCH_012_092_000206	下車式於邊境，用七馬駕。
HCH_012_092_000207	寧夏多溝壑，總兵官張泰請用獨馬小車，時以為便。
HCH_012_092_000208	箭工週四章言，神機槍一發難繼，請以車載槍二十，箭六百，車首置五槍架，一人推，二人扶，一人執爨。
HCH_012_092_000209	試可，乃造。
HCH_012_092_000210	景泰元年，定襄伯郭登請仿古制為偏箱車。
HCH_012_092_000211	轅長丈三尺，闊九尺，高七尺五寸，箱用薄板，置銃。
HCH_012_092_000212	出則左右相連，前後相接，鉤環牽互。
HCH_012_092_000213	車載衣糧、器械並鹿角二。
HCH_012_092_000214	屯處，十五步外設為籓。
HCH_012_092_000215	每車槍砲、弓弩、刀牌甲士共十人，無事輪番推輓。
HCH_012_092_000216	外以長車二十，載大小將軍銃，每方五輛，轉輸樵採，皆在圍中。
HCH_012_092_000217	又以四輪車一，列五色旗，視敵指揮。
HCH_012_092_000218	廷議此可以守，難於攻戰，命登酌行。
HCH_012_092_000219	蘭州守備李進請造獨輪小車，上施皮屋，前用木板，畫獸面，鑿口，置碗口銃四，槍四，神機箭十四，樹旗一。
HCH_012_092_000220	行為陣，止為營。
HCH_012_092_000221	二年，吏部郎中李賢請造戰車，長丈五尺，高六尺四寸，四圍箱板，穴孔置銃，上闢小窗，每車前後佔地五步。
HCH_012_092_000222	以千輛計，四方可十六里，芻糧、器械輜重鹹取給焉。
HCH_012_092_000223	帝令亟行。
HCH_012_092_000224	成化二年，從郭登言，制軍隊小車。
HCH_012_092_000225	每隊六輛，輛九人，二人挽，七人番代，車前置牌畫猊首，遠望若城壘然。
HCH_012_092_000226	八年，甯都諸生何京上御敵車式，上施鐵網，網穴發槍弩，行則斂之。
HCH_012_092_000227	五十車為一隊，用士三百七十五人。
HCH_012_092_000228	十二年，左都御史李賓請造偏箱車，與鹿角參用。
HCH_012_092_000229	兵部尚書項忠請驗閱，以登高涉險不便，已之。
HCH_012_092_000230	十三年，從甘肅總兵官王璽奏，造雷火車，中立樞軸，旋轉發砲。
HCH_012_092_000231	二十年，宣大總督餘子俊以車五百輛為一軍，每輛卒十人，車隙補以鹿角。
HCH_012_092_000232	既成，而遲重不可用，時人謂之鷓鴣軍。
HCH_012_092_000233	弘治十五年，陝西總制秦紘請用只輪車，名曰全勝，長丈四尺，上下共六人，可沖敵陣。
HCH_012_092_000234	十六年，閑住知府範吉獻先鋒霹靂車。
HCH_012_092_000235	嘉靖十一年，南京給事中王希文請仿郭固、韓琦之制，造車，前銳後方，上置七槍，為櫓三層，各置九牛神弩，傍翼以卒。
HCH_012_092_000236	行載甲兵，止為營陣。
HCH_012_092_000237	下邊鎮酌行。
HCH_012_092_000238	十五年，總制劉天和復言全勝車之便，而稍為損益，用四人推輓，所載火器、弓弩、刀牌以百五十斤為準。
HCH_012_092_000239	箱前畫狻猊，旁列虎盾以護騎士。
HCH_012_092_000240	命從其制。
HCH_012_092_000241	四十三年，有司奏準，京營教演兵車，共四千輛，每輛步卒五人，神槍、夾靶槍各二。
HCH_012_092_000242	自正統以來，言車戰者如此，然未嘗一當敵。
HCH_012_092_000243	至隆慶中，戚繼光守薊門，奏練兵車七營：以東西路副總兵及撫督標共四營，分駐建昌、遵化、石匣、密雲；薊、遼總兵二營，駐三屯；昌平總兵一營，駐昌平。
HCH_012_092_000244	每營重車百五十有六，輕車加百，步兵四千，騎兵三千。
HCH_012_092_000245	十二路二千里間，車騎相兼，可禦敵數萬。
HCH_012_092_000246	穆宗韙之，命給造費。
HCH_012_092_000247	然特以遏衝突，施火器，亦未嘗以戰也。
HCH_012_092_000248	是後，遼東巡撫魏學曾請設戰車營，仿偏箱之制，上設佛郎機二，下置雷飛砲、快槍六，每車步卒二十五人。
HCH_012_092_000249	萬曆末，經略熊廷弼請造雙輪戰車，每車火砲二，翼以十卒，皆持火槍。
HCH_012_092_000250	天啟中，直隸巡按御史易應昌進戶部主事曹履吉所制鋼輪車、小沖車等式，以禦敵，皆罕得其用。
HCH_012_092_000251	大約邊地險阻，不利車戰。
HCH_012_092_000252	而舟楫之用，則東南所宜。
HCH_012_092_000253	舟之制，江海各異。
HCH_012_092_000254	太祖於新江口設船四百。
HCH_012_092_000255	永樂初，命福建都司造海船百三十七，又命江、楚、兩浙及鎮江諸府衛造海風船。
HCH_012_092_000256	成化初，濟川衛楊渠獻《槳舟圖》，皆江舟也。
HCH_012_092_000257	海舟以舟山之烏槽為首。
HCH_012_092_000258	福船耐風濤，且禦火。
HCH_012_092_000259	浙之十裝標號軟風、蒼山，亦利追逐。
HCH_012_092_000260	廣東船，鐵慄木為之，視福船尤巨而堅。
HCH_012_092_000261	其利用者二，可發佛郎機，可擲火球。
HCH_012_092_000262	大福船亦然，能容百人。
HCH_012_092_000263	底尖上闊，首昂尾高，柁樓三重，帆桅二，傍護以板，上設木女牆及砲牀。
HCH_012_092_000264	中為四層：最下實土石；次寢息所；次左右六門，中置水櫃，揚帆炊爨皆在是，最上如露臺，穴梯而登，傍設翼板，可憑以戰。
HCH_012_092_000265	矢石火器皆俯發，可順風行。
HCH_012_092_000266	海蒼視福船稍小。
HCH_012_092_000267	開浪船能容三五十人，頭銳，四槳一櫓，其行如飛，不拘風潮順逆。
HCH_012_092_000268	艟暃喬船視海蒼又小。
HCH_012_092_000269	蒼山船首尾皆闊，帆櫓並用。
HCH_012_092_000270	櫓設船傍近後，每傍五枝，每枝五跳，跳二人，以板閘跳上，露首於外，其制上下三層，下實土石，上為戰場，中寢處。
HCH_012_092_000271	其張帆下椗，皆在上層。
HCH_012_092_000272	戚繼光云：「倭舟甚小，一入裏海，大福、海蒼不能入，必用蒼船逐之，沖敵便捷，溫人謂之蒼山鐵也。」
HCH_012_092_000273	沙、鷹二船，相胥成用。
HCH_012_092_000274	沙船可接戰，然無翼蔽。
HCH_012_092_000275	鷹船兩端銳，進退如飛。
HCH_012_092_000276	傍釘大茅竹，竹間窗可發銃箭，窗內舷外隱人以蕩槳。
HCH_012_092_000277	先駕此入賊隊，沙船隨進，短兵接戰，無不勝。
HCH_012_092_000278	漁船至小，每舟三人，一執布帆，一執槳，一執鳥嘴銃。
HCH_012_092_000279	隨波上下，可掩賊不備。
HCH_012_092_000280	網梭船，定海、臨海、象山俱有之，形如梭。
HCH_012_092_000281	竹桅布帆，僅容二三人，遇風濤輒舁入山麓，可哨探。
HCH_012_092_000282	蜈蚣船，象形也，能駕佛朗機銃，底尖面闊，兩傍楫數十，行如飛。
HCH_012_092_000283	兩頭船，旋轉在舵，因風四馳，諸船無逾其速。
HCH_012_092_000284	蓋自嘉靖以來，東南日備倭，故海舟之制，特詳備云。
HCH_012_092_000285	明制，馬之屬內廄者曰御馬監，中官掌之，牧於大壩，蓋仿《周禮》十有二閑意。
HCH_012_092_000286	牧於官者，為太僕寺、行太僕寺、苑馬寺及各軍衛，即唐四十八監意。
HCH_012_092_000287	牧於民者，南則直隸應天等府，北則直隸及山東、河南等府，即宋保馬意。
HCH_012_092_000288	其曰備養馬者，始於正統末，選馬給邊，邊馬足，而寄牧於畿甸者也。
HCH_012_092_000289	官牧給邊鎮，民牧給京軍，皆有孳生駒。
HCH_012_092_000290	官牧之地曰草場，或為軍民佃種曰熟地，歲徵租佐牧人市馬。
HCH_012_092_000291	牧之人曰恩軍，曰隊軍，曰改編軍，曰充發軍，曰抽發軍。
HCH_012_092_000292	苑馬分三等，上苑萬，中七千，下四千。
HCH_012_092_000293	一夫牧馬十匹，五十夫設圉長一人。
HCH_012_092_000294	凡馬肥瘠登耗，籍其毛齒而時省之。
HCH_012_092_000295	三歲，寺卿偕御史印烙，鬻其羸劣以轉市。
