HCH_012_247_000001	劉綎李應祥陳璘鄧子龍馬孔英劉綎，字省吾，都督顯子。
HCH_012_247_000091	帝為告郊廟宣捷。
HCH_012_247_000092	綎等進秩予蔭有差。
HCH_012_247_000093	明年五月，朝鮮再用師。
HCH_012_247_000094	詔綎充禦倭總兵官，提督漢土兵赴討。
HCH_012_247_000095	又明年二月抵朝鮮，則楊鎬、李如梅已敗。
HCH_012_247_000096	經略邢玠乃分軍為三，中董一元，東麻貴，西則綎，而陳璘專將水兵。
HCH_012_247_000097	綎營水源。
HCH_012_247_000098	倭亦分三路，西行長據順天，壕砦深固。
HCH_012_247_000099	綎欲誘執之，遣使請與期會。
HCH_012_247_000100	使者三反，綎皆單騎俟道中。
HCH_012_247_000101	行長覘知之，乃信，期以八月朔定約。
HCH_012_247_000102	至期，綎部卒泄其謀，行長大驚，逸去。
HCH_012_247_000103	綎進攻失利。
HCH_012_247_000104	監軍參政王士琦怒，縛其中軍。
HCH_012_247_000105	綎懼，力戰破之，賊退不敢出。
HCH_012_247_000106	諸將三道進，綎挑戰破之，驅賊入大城。
HCH_012_247_000107	已，賊聞平秀吉死，將遁。
HCH_012_247_000108	綎夜半攻奪栗林、曳橋，斬獲多。
HCH_012_247_000109	石曼子引舟師救，陳璘邀擊之海中。
HCH_012_247_000110	行長遂棄順天，乘小艘遁。
HCH_012_247_000111	班師，進綎都督同知，世蔭千戶。
HCH_012_247_000112	遂移師征楊應龍。
HCH_012_247_000113	會四川總兵官萬鏊罷，即以綎代之。
HCH_012_247_000114	時兵分八道，川居其四。
HCH_012_247_000115	川東又分為二，以綦江道最要，令綎當之。
HCH_012_247_000116	應龍熟綎才，頗懼，益兵守要害。
HCH_012_247_000117	二十八年正月，諸將克丁山、銅鼓、嚴村，遂直搗楠木、山羊、簡臺三峒。
HCH_012_247_000118	峒絕險，賊將穆照等眾數萬連營，諸將憚之。
HCH_012_247_000119	綎分兵攻其三面，大戰於李漢壩，生擒其魁，余賊奔入峒。
HCH_012_247_000120	乘勢克三關，直搗峒前，焚之，賊多死。
HCH_012_247_000121	盡克三峒，擒穆照及賊魁吳尚華。
HCH_012_247_000122	是日，綎督戰，左持金，右挺劍，大呼曰：「用命者賞，不用命者齒劍！」
HCH_012_247_000123	鬥死者四十人，遂大捷。
HCH_012_247_000124	應龍乃遣子朝棟、惟棟及其黨楊珠統銳卒數萬，由松坎、魚渡、羅古池三道並進。
HCH_012_247_000125	綎伏萬人羅古，待松坎賊；以萬人伏營外，待魚渡賊；而別以一軍策應。
HCH_012_247_000126	賊果至，伏盡起。
HCH_012_247_000127	綎率部下轉戰，斬首數百，追奔五十里。
HCH_012_247_000128	賊聚守石虎關，綎亦掘塹守。
HCH_012_247_000129	初，綎聞征播命，逗遛，多設難以要朝廷。
HCH_012_247_000130	言官交劾，議調南京右府僉書。
HCH_012_247_000131	綎至是聞之，即辭任。
HCH_012_247_000132	總督李化龍以平播非綎不可，固留之，力薦於朝。
HCH_012_247_000133	綎乃復受事，逾夜郎舊城，攻克賊滴淚、三坡、瓦窯坪、石虎諸隘，直抵婁山關。
HCH_012_247_000134	婁山萬峰插天，叢箐中一徑才數尺，賊設木關十三座，排柵置深坑，百險俱備。
HCH_012_247_000135	綎分奇兵為左右路，間道趨關後，而自督大軍仰攻，奪其關，追至永安莊，兩路軍亦會。
HCH_012_247_000136	綎老將持重，慮賊沖突，聯諸營：一據婁山關為老營，一據白石口為腰營，一據永安莊為前營。
HCH_012_247_000137	都指揮王芬者，勇而寡謀，每戰輒請為前鋒，連勝有輕敵心，獨營松門埡之沖，距大營數里。
HCH_012_247_000138	賊方有烏江之勝，謀再奪婁山。
HCH_012_247_000139	適穆照遣使泄芬孤軍狀，賊乃襲殺芬，守備陳大剛、天全招討楊愈亦死，失亡士卒二千人。
HCH_012_247_000140	綎聞，親率騎卒往救，部將周以德、周敦吉分兩翼夾攻，賊始大奔，追至養馬城而還。
HCH_012_247_000141	是日，應龍幾被獲，乃不敢窺婁山。
HCH_012_247_000142	綎懲前失，劄近關堅壁，且請濟師。
HCH_012_247_000143	逾十餘日，克後水囤，營於冠子山。
HCH_012_247_000144	尋會馬孔英、吳廣諸軍，逼海龍囤下，與諸將共平賊，綎功為多。
HCH_012_247_000145	初，李化龍薦綎，言官謂綎嘗納應龍賄，宜奪官從軍。
HCH_012_247_000146	部議謫為事官，戴罪辦賊。
HCH_012_247_000147	綎德化龍，使使賫玉帶一、黃金百、白金千投化龍家，為化龍父所叱。
HCH_012_247_000148	投巡按御史崔景榮家，亦如之。
HCH_012_247_000149	化龍、景榮並奏其事，詔革綎任，永不收錄，沒其物於官。
HCH_012_247_000150	已，錄平播功，進左都督，世蔭指揮使。
HCH_012_247_000151	三十六年，雲南阿克反，起綎討賊總兵官。
HCH_012_247_000152	未至，賊已平，寢前命。
HCH_012_247_000153	四十年，四川建昌倮亂，命綎為總兵官討之。
HCH_012_247_000154	偕參政王之機分八道督諸將攻，而己居中節制，克桐槽、沈渣、阿都、廈卜、越北諸砦，大小五十六戰，斬馘三千三百有奇，諸倮巢穴一空。
HCH_012_247_000155	綎為將，數被黜抑，性驕恣如故。
HCH_012_247_000156	嘗拳毆馬湖知府詹淑，淑改調，綎奪祿半年。
HCH_012_247_000157	久之，以軍政拾遺罷歸。
HCH_012_247_000158	四十六年，帝念遼警，召為左府僉書。
HCH_012_247_000159	明年二月，經略楊鎬令綎及杜松、李如柏、馬林四路出師。
HCH_012_247_000160	綎兵四萬，由寬佃，副使康應乾監之，遊擊喬一琦別監朝鮮軍並進。
HCH_012_247_000161	綎鎮蜀久，好用蜀兵。
HCH_012_247_000162	久待未至，遂行。
HCH_012_247_000163	而所分道獨險遠，重岡疊嶺，馬不成列。
HCH_012_247_000164	次深河，連克牛毛、馬家二砦。
HCH_012_247_000165	大清兵五百守董鄂路，聞綎軍至，逆戰。
HCH_012_247_000166	綎縱兵圍數重，大清兵眾寡不敵，失二裨將，傷五十人，余潰圍出。
HCH_012_247_000167	綎已深入三百里，杜松軍覆猶不知。
HCH_012_247_000168	復整眾進，遇大清兵，綎引軍登阿布達裏岡，將布陣，大清兵亦登岡，出其上，而別以一軍趨綎西。
HCH_012_247_000169	岡上軍自高馳下，奮擊綎軍，綎殊死戰。
HCH_012_247_000170	趨綎西者復從旁夾擊，綎軍不能支。
HCH_012_247_000171	大清兵乘勢追擊，遇綎後二營軍。
HCH_012_247_000172	未及陳，復為大清兵所乘，大潰，綎戰死。
HCH_012_247_000173	養子劉招孫者，最驍勇，突圍，手格殺數人，亦死。
HCH_012_247_000174	士卒脫者無幾。
HCH_012_247_000175	時應乾及朝鮮軍營富察之野，大清遂移師邀之。
HCH_012_247_000176	應乾兵及朝鮮兵列械將戰，狂風驟起，揚沙石。
HCH_012_247_000177	應乾發火器，反擊己營，大亂。
HCH_012_247_000178	大清兵趨擊，大破之，掩殺幾盡，應乾以數百騎免。
HCH_012_247_000179	一琦亦為大清兵所破，走入朝鮮營。
HCH_012_247_000180	朝鮮都元帥姜弘立、副元帥金景瑞懼，率眾降，一琦投崖死。
HCH_012_247_000181	楊鎬聞杜松、馬林師敗，馳召綎及李如柏還。
HCH_012_247_000182	騎未至，綎已覆，獨如柏全。
HCH_012_247_000183	事聞，帝遣中使祭陣亡將士，恤綎家。
HCH_012_247_000184	綎於諸將中最驍勇。
HCH_012_247_000185	平緬寇，平羅雄，平朝鮮倭，平播酋，平倮，大小數百戰，威名震海內。
HCH_012_247_000186	綎死，舉朝大悚，邊事日難為矣。
HCH_012_247_000187	綎所用鑌鐵刀百二十斤，馬上輪轉如飛，天下稱「劉大刀」。
HCH_012_247_000188	天啟初，贈少保，世蔭指揮僉事，立祠曰「表忠」。
HCH_012_247_000189	一琦，字伯珪，上海人。
HCH_012_247_000190	李應祥，湖廣九溪衛人。
HCH_012_247_000191	以武生從軍，積功至廣西思恩參將。
HCH_012_247_000192	萬歷七年，巡撫張任大征十寨，應祥與有功。
HCH_012_247_000193	即其地設三鎮，築城列戍。
HCH_012_247_000194	應祥方職營建，會擢松潘副總兵，當事者奏留之，以新秩蒞舊任。
HCH_012_247_000195	從總兵王尚文大破馬平賊韋王明，尋以署都督僉事，入為五軍營副將。
HCH_012_247_000196	十三年，改南京左府僉事，出為四川總兵官。
HCH_012_247_000197	松、茂諸番列砦四十八，歲為吏民患。
HCH_012_247_000198	王廷瞻撫蜀時，嘗遣副將吳子忠擊破丟骨、人荒、沒舌三砦，諸酋乃降。
HCH_012_247_000199	故事，諸番歲有賞賚，番恃強要索無已。
HCH_012_247_000200	其來堡也，有下馬、上馬、解渴、過堡酒及熱衣氣力偏手錢；戍軍更番，亦奉以錢，曰新班、架梁、放狗、屣草、掛彩。
HCH_012_247_000201	廷瞻一切除之，西陲稍靖。
HCH_012_247_000202	僅六七年，勢復猖獗。
HCH_012_247_000203	是年夏，楊柳番出攻普安堡，犯歸水崖、石門坎，遂入金瓶堡，殺守將。
HCH_012_247_000204	巡撫雒遵屬應祥討之。
HCH_012_247_000205	提卒三千入茂州，克一巖。
HCH_012_247_000206	番恃險，剽如故。
HCH_012_247_000207	無何，遵罷，徐元泰代。
HCH_012_247_000208	檄諭之，使三反，番不應。
HCH_012_247_000209	窺蒲江關，斷歸水崖、黃土坎道，築墻五哨溝，絕東南聲援。
HCH_012_247_000210	見官軍少，相顧笑曰：「如此磨子兵，奈我何？」
HCH_012_247_000211	磨子者，謂屢旋轉而數不增也。
HCH_012_247_000212	其冬突平夷堡，掠良民，刳其腸，繞二牛角，牛奔，腸寸裂。
HCH_012_247_000213	明年正月，遂圍蒲江關，炮毀雉堞。
HCH_012_247_000214	守將朱文達出，斬數十人。
HCH_012_247_000215	賊稍解，東南路始通。
HCH_012_247_000216	元泰決計大征。
HCH_012_247_000217	諸路兵悉集，乃命遊擊周於德將播州兵為前鋒，遊擊邊之垣將酉陽兵為後拒，故總兵郭成將敘、馬兵扼其吭，參將朱文達將平茶兵擊其脅，而應祥居中節制，參議王鳳監之。
HCH_012_247_000218	應祥令軍中各樹赤、白幟一，良民陷賊者徒手立赤幟下，熟番不附賊者徒手立白幟下，即免罪。
HCH_012_247_000219	番雖多，遇急不相救。
HCH_012_247_000220	國師喇嘛者，狡猾，聯姻青海酋丙兔與灣仲、占柯等，刻木連大小諸姓，歃血詛盟。
HCH_012_247_000221	至是，邀灣仲、占柯先犯歸化以嘗官軍。
HCH_012_247_000222	於德誘擒喇嘛、灣仲，守備曹希彬復擊斬占柯。
HCH_012_247_000223	丟骨、人荒、沒舌三砦最強，於德皆攻克，復連破卜洞王諸砦。
HCH_012_247_000224	文達、成、之垣亦各拔數砦，與於德軍合，遂攻破蜈蚣、茹兒諸巢。
HCH_012_247_000225	嘉靖初，之垣祖輪以指揮討茹兒賊，被殺，漆其頭為飲器。
HCH_012_247_000226	及是六十年，之垣乃得之，以還葬焉。
HCH_012_247_000227	賊屢北，窘，悉棄輜重餌官軍。
HCH_012_247_000228	官軍不顧，斬關入，賊多死，河東平。
HCH_012_247_000229	尋渡河而西，連破西坡、西革、歪地、乾溝、樹底諸巢。
HCH_012_247_000230	有小粟谷者，首亂，覘大軍西，不設備。
HCH_012_247_000231	郭成夜襲之，大獲。
HCH_012_247_000232	牛尾砦尤險惡，將士三路夾攻，火其柵，斬酋合兒結父子。
HCH_012_247_000233	河西亦平。
HCH_012_247_000234	諸軍得所積稞粟，留十日，盡焚其砦，以六月班師。
HCH_012_247_000235	其逃窮谷者，求偏頭結賽乞降，應祥令埋奴設誓，然後許之。
HCH_012_247_000236	埋奴者，番人反接其奴，獻軍前，呼天而誓，即牽至要路，掘坎埋之，露其首，凡埋二十三人。
HCH_012_247_000237	偏頭結賽雅善天竺僧，僧言歲在雞犬，番有厄。
HCH_012_247_000238	偏頭信之，預匿山谷中，逸賊以為神，跡而拜求之，故偏頭為之請。
HCH_012_247_000239	是役也，焚碉房千六百有奇，生擒賊魁三十餘人，俘馘以千餘計。
HCH_012_247_000240	自是群番震驚，不敢為患，邊人樹碑記績焉。
HCH_012_247_000241	建昌、越巂諸衛，番倮雜居。
HCH_012_247_000242	建昌逆酋曰安守，曰五咱，曰王大咱，與越巂邛部黑骨夷並起為亂。
HCH_012_247_000243	巡撫徐元泰議討，征兵萬八千。
HCH_012_247_000244	仍以文達、之垣分將，應祥統之，副使周光鎬監其軍。
HCH_012_247_000245	十一月，光鎬先渡瀘，黑骨與大咱已據相嶺，焚三峽橋；五咱等亦寇禮州、德昌二所。
HCH_012_247_000246	時征兵未集，光鎬先設疑，以嘗相嶺賊，賊果退據桐槽。
HCH_012_247_000247	桐槽者，大咱巢穴也。
HCH_012_247_000248	已而諸道兵盡抵越巂，應祥令文達攻五咱，之垣攻大咱，姑置黑骨夷弗問。
HCH_012_247_000249	夜半走三百里抵禮州，賊半渡，文達擊敗之，遂渡河搗其巢。
HCH_012_247_000250	之垣亦屢破桐槽，大咱亡入山峪中。
HCH_012_247_000251	無何，五咱據磨旗山挑戰。
HCH_012_247_000252	官軍夾擊，賊退保毛牛山。
HCH_012_247_000253	山延袤六七百里，連大小西番界，文達兵大破之。
HCH_012_247_000254	五咱西遁，與安守合，結砦西溪。
HCH_012_247_000255	會所征鹽井剌馬兵三千至，猙獰跳躍，類非人形，諸番所深畏。
HCH_012_247_000256	應祥偵賊將劫營，乃潛移己營，而令剌馬兵屯其處。
HCH_012_247_000257	夜分賊來襲，馬剌起擊之，伏屍狼籍。
HCH_012_247_000258	諸將遂進攻西溪，逐北至磨砦七板番，連兵圖五咱，而令裨將田中科營麥達，逼安守。
HCH_012_247_000259	會諜者報守謀襲中科，應祥夜飲材官高逢勝三巨觥，令率敢死士三百疾趨七十里，抵麥達而伏。
HCH_012_247_000260	守夜至，遇伏被擒。
HCH_012_247_000261	守為群寇魁，守殪，西南邛笮、苴蘭、靡莫諸酋皆震怖。
HCH_012_247_000262	商山四堡番乞降於之垣，大小七板番乞降於文達，各埋奴道左，呼號頓首，誓世世不敢叛。
HCH_012_247_000263	五咱勢窮，走昌州，亦為裨將王言所獲。
HCH_012_247_000264	土木安四兒者，居連昌城中，潛剽掠於外。
HCH_012_247_000265	至是知禍及，率黨數百人走據虛郎溝。
HCH_012_247_000266	諸軍既滅五咱，應祥遣之北，示將討黑骨者，四兒遂弛備。
HCH_012_247_000267	將士忽還軍襲之，獲四兒。
HCH_012_247_000268	復討大咱。
HCH_012_247_000269	初，大咱敗，匿所親普雄酋姑咱所。
HCH_012_247_000270	大軍至，姑咱懼，密告裨將王之翰，之翰搜得大咱；而黑夷酋阿弓等七人在大孤山，亦先為之翰所擒。
HCH_012_247_000271	於是建昌、越巂諸番盡平。
HCH_012_247_000272	上首功二千有奇，撫降者三千餘人。
HCH_012_247_000273	時萬歷十五年七月也。
HCH_012_247_000274	邛部屬夷膩乃者，地近馬湖。
HCH_012_247_000275	其酋撒假與外兄安興、木瓜夷白祿、雷坡賊楊九乍等，數侵掠內地。
HCH_012_247_000276	巡撫曾省吾議討之。
HCH_012_247_000277	會有都蠻之役，不果。
HCH_012_247_000278	乃建六堡，益戍兵千二百人，而諸蠻鴟張如故。
HCH_012_247_000279	及建、越興師，又藏納叛人。
HCH_012_247_000280	元泰乃令都指揮李獻忠等分剿。
HCH_012_247_000281	賊詐降，誘執獻忠等三將，殺士卒數千人，勢益猖獗。
HCH_012_247_000282	應祥等師旋，元泰益征播州、酉陽諸土兵，合五萬人，令應祥督文達、之垣及周於德諸將三道入，故總兵郭成亦從征。
HCH_012_247_000283	十一月，於德首敗白祿兵，追至馬蝗山，懸索以登，賊潰。
HCH_012_247_000284	乘勢攻木瓜夷，射殺白祿。
HCH_012_247_000285	追至利濟山，雪深數尺，於德先登，復大敗賊，毀其巢。
HCH_012_247_000286	初，撒假與九乍率萬人據山，播州兵擊走之。
HCH_012_247_000287	至是，文達復破之大田壩，合於德兵追逐，所向皆捷。
HCH_012_247_000288	遊擊萬鏊躡擊撒假於鼠囤，獲其妻子。
HCH_012_247_000289	郭成復至三寶山大戰，生擒撒假。
HCH_012_247_000290	安興據巢守，文達、鏊分道入，獲其母妻。
HCH_012_247_000291	安興擲金於途，以緩追者，遂得脫。
HCH_012_247_000292	已，諸軍深入，竟獲之。
HCH_012_247_000293	他夷倮畏威降者二千餘人，悉獻還土田，願修職貢，兵乃罷。
HCH_012_247_000294	凡斬首一千六百九十餘，俘獲七百三十有奇，以其地置屏山縣。
HCH_012_247_000295	論功，應祥屢加都督同知，元泰亦至兵部尚書。
HCH_012_247_000296	當是時，蜀中劇寇盡平，應祥威名甚著。
HCH_012_247_000297	御史傅霈按部，詰應祥冒饟。
HCH_012_247_000298	應祥賄以千金，為所奏，罷職。
HCH_012_247_000299	兵部舉應祥僉書南京右府，給事中薛三才持不可。
HCH_012_247_000300	二十八年大征播州。
HCH_012_247_000301	貴州總兵官童元鎮逗遛，總督李化龍劾之，薦應祥代。
HCH_012_247_000302	時分兵八道，貴州分烏江、興隆二道。
HCH_012_247_000303	詔元鎮充為事官，由烏江入，應祥由興隆入，諸道克二月望進兵。
HCH_012_247_000304	應祥未受事，副將陳寅等已連克數囤，拒賊四牌高囤下，別遣兵從間道直搗龍水囤。
HCH_012_247_000305	他將蔡兆吉又自乾坪抵箐岡，過四牌。
HCH_012_247_000306	賊首謝朝俸營其地，四面峭壁深箐，前二關。
HCH_012_247_000307	賊從高鼓噪，官軍殊死戰，俘朝俸妻子，乘勢抵河畔。
HCH_012_247_000308	會烏江敗書聞，斂兵不進者旬日。
HCH_012_247_000309	及應祥受任，益趣諸將急渡。
HCH_012_247_000310	寅等乃取他道渡河，而潛為浮橋以濟師。
HCH_012_247_000311	諸軍渡，賊失險，乞降者相繼，應祥悉受之。
HCH_012_247_000312	賊所恃止黃灘一關，壁立，眾死守。
HCH_012_247_000313	會賊徒石勝俸等率萬餘人降，告曰：「去黃灘三十里有三關，入播門戶也，先襲破之，則黃灘孤難守。」
HCH_012_247_000314	應祥然其計，令偕陳寅率精卒四千夜抵關下。
HCH_012_247_000315	勝俸以數十騎誘開門，殲其戍卒。
HCH_012_247_000316	黃灘賊懼。
HCH_012_247_000317	寅督諸將渡河攻關前，勝俸由墳林暗渡襲關後，賊乃大敗。
HCH_012_247_000318	應祥直抵海龍囤，合諸道兵共滅楊應龍。
HCH_012_247_000319	播既平，還鎮銅仁。
HCH_012_247_000320	明年，改鎮四川。
HCH_012_247_000321	播遺賊吳洪、盧文秀等惡有司法嚴，而遵義知縣蕭鳴世失眾心。
HCH_012_247_000322	洪等遂稱應龍有子，聚眾為亂。
HCH_012_247_000323	應祥偕副使傅光宅捕之，盡獲。
HCH_012_247_000324	應祥尋卒於官。
HCH_012_247_000325	以平播功，贈左都督，世蔭千戶。
HCH_012_247_000326	應祥為將，謀勇兼資，所至奏績。
HCH_012_247_000327	平蜀三大寇，功最多。
HCH_012_247_000328	童元鎮，桂林右衛人。
HCH_012_247_000329	萬歷中為指揮，從討平樂賊莫天龍有功，屢遷遊擊將軍。
HCH_012_247_000330	高江瑤反，從呼良朋破平之。
HCH_012_247_000331	歷永寧、潯、梧參將，進副總兵。
HCH_012_247_000332	擢署都督僉事，為廣西總兵官。
HCH_012_247_000333	未幾，改廣東。
HCH_012_247_000334	二十三年，總督陳大科以元鎮熟蠻事，仍移廣西。
HCH_012_247_000335	岑溪西北為上、下七山，介蒼藤間，有平田、黎峒、白板、九密等三十七巢。
HCH_012_247_000336	東南為六十三山，有孔亮、陀田、桑園、古欖、魚修等百餘巢，與廣東羅旁接。
HCH_012_247_000337	山險箐深，環數百里無日色，賊首潘積善等據之，久為民患。
HCH_012_247_000338	及羅旁平，積善懼，乞降。
HCH_012_247_000339	為設參將於大峒，兵千餘戍之。
HCH_012_247_000340	其後，將領多掊克，士卒又疲弱，賊復生心，時出剽。
HCH_012_247_000341	會歲饑，粵東亡命浪賊數百人潛入七山，誘諸瑤為亂。
HCH_012_247_000342	元鎮先以參將戍岑溪，得諸瑤心。
HCH_012_247_000343	至是，積善及其黨韋月咸願招撫自效，六十三山諸瑤多受約束。
HCH_012_247_000344	有訛言將剿北科瑤者，諸瑤謂紿己，大恨，遂與孔亮山賊攻月，殺之，火大峒參將署。
HCH_012_247_000345	督撫陳大科、戴耀屬元鎮討之。
HCH_012_247_000346	時副將陳璘、參將吳廣罷官裏居，大科起令將兵，與元鎮並進。
HCH_012_247_000347	賊伐大木塞道，環布箛簽，元鎮佯督軍開道，而潛從小徑上。
