HCH_012_157_000001	金純，字德修，泗州人。
HCH_012_157_000096	敦乃請蠲逋賦，振貧乏，考黜貪吏，罷不急之務，凡十數事。
HCH_012_157_000097	悉從之。
HCH_012_157_000098	歲餘，召還。
HCH_012_157_000099	在部多所興革，罷王田之奪民業者，令民開荒不起科。
HCH_012_157_000100	建漕運議，民運至瓜洲、儀真，資衛卒運至京。
HCH_012_157_000101	民甚便之。
HCH_012_157_000102	敦事親孝，持身廉。
HCH_012_157_000103	同官有為不義者，輒厲色待之，其人悔謝乃已。
HCH_012_157_000104	性好學，公退，手不釋卷。
HCH_012_157_000105	六年，卒官，年六十二。
HCH_012_157_000106	郭璡，字時用，初名進，新安人。
HCH_012_157_000107	永樂初，乙太學生擢戶部主事。
HCH_012_157_000108	曆官吏部左、右侍郎。
HCH_012_157_000109	仁宗即位，命兼詹事府少詹事，更名璡。
HCH_012_157_000110	宣宗初，掌行在詹事府。
HCH_012_157_000111	吏部尚書蹇義老，輟部務，帝欲以璡代。
HCH_012_157_000112	璡厚重勤敏，然寡學術。
HCH_012_157_000113	楊士奇言恐璡不足當之，宜妙擇大臣通經術知今古者，帝乃止。
HCH_012_157_000114	逾年，卒為尚書。
HCH_012_157_000115	諭以呂蒙正夾袋，虞允文材館錄故事。
HCH_012_157_000116	璡由是留意人才。
HCH_012_157_000117	識進士李賢輔相器，授吏部主事，後果為名相。
HCH_012_157_000118	時外官九年考滿，部民走闕下乞留，輒增秩復任。
HCH_012_157_000119	璡慮有妄者，請覆實。
HCH_012_157_000120	從之。
HCH_012_157_000121	璡雖長六卿，然望輕。
HCH_012_157_000122	又政歸內閣，自布政使至知府闕，聽京官三品以上薦舉；既又命御史、知縣，皆聽京官五品以上薦舉。
HCH_012_157_000123	要職選擢，皆不關吏部。
HCH_012_157_000124	正統初，左通政陳恭言：「古者擇任庶官，悉由選部，職任專而事體一。今令朝臣各舉所知，恐開私謁之門，長奔競之風，乞杜絕，令歸一。」
HCH_012_157_000125	下吏部議。
HCH_012_157_000126	璡遜謝不敢當，事遂寢。
HCH_012_157_000127	正統六年，御史曹恭以災異請罷大臣不職者。
HCH_012_157_000128	帝命科道官參議。
HCH_012_157_000129	璡及尚書吳中、侍郎李庸等被劾者二十人。
HCH_012_157_000130	璡等自陳，帝切責而宥之。
HCH_012_157_000131	璡子亮受賂為人求官。
HCH_012_157_000132	事覺，御史孫毓等劾璡。
HCH_012_157_000133	乃令璡致仕，而以王直代。
HCH_012_157_000134	鄭辰，字文樞，浙江西安人。
HCH_012_157_000135	永樂四年進士，授監察御史。
HCH_012_157_000136	江西安福民告謀逆事，命辰往廉之，具得誣狀。
HCH_012_157_000137	福建番客殺人，復命辰往。
HCH_012_157_000138	止坐首惡，釋其餘。
HCH_012_157_000139	南京敕建報恩寺，役囚萬人。
HCH_012_157_000140	蜚語言役夫謗訕，恐有變，命辰往驗。
HCH_012_157_000141	無實，無一得罪者。
HCH_012_157_000142	谷庶人謀不軌，復命辰察之，盡得其蹤跡。
HCH_012_157_000143	帝語方賓曰：「是真國家耳目臣矣。」
HCH_012_157_000144	十六年超遷山西按察使，糾治貪濁不少貸。
HCH_012_157_000145	潞州盜起，有司以叛聞，詔發兵討捕。
HCH_012_157_000146	辰方以事朝京師，奏曰：「民苦徭役而已，請無發兵。」
HCH_012_157_000147	帝然之。
HCH_012_157_000148	還則屏騶從，親入山谷撫諭。
HCH_012_157_000149	盜皆感泣，復為良民。
HCH_012_157_000150	禮部侍郎蔚綬轉粟給山海軍，辰統山西民輦任。
HCH_012_157_000151	民勞，多逋耗，綬令即山海貸償之。
HCH_012_157_000152	辰曰：「山西民貧而悍，急之恐生變。不如緩之，使自通有無。」
HCH_012_157_000153	用其言，卒無逋者。
HCH_012_157_000154	丁內艱歸，軍民詣御史乞留。
HCH_012_157_000155	御史以聞，服闋還舊任。
HCH_012_157_000156	宣德三年召為南京工部右侍郎。
HCH_012_157_000157	初，兩京六部堂官缺，帝命廷臣推方面官堪內任者。
HCH_012_157_000158	蹇義等薦九人。
HCH_012_157_000159	獨辰及邵玘、傅啟讓，帝素知其名，即真授，餘試職而已。
HCH_012_157_000160	英宗即位，分遣大臣考察天下方面官。
HCH_012_157_000161	辰往四川、貴州、雲南，悉奏罷其不職者。
HCH_012_157_000162	雲南布政使周璟居妻喪，繼娶。
HCH_012_157_000163	辰劾其有傷風教，璟坐免。
HCH_012_157_000164	正統二年，奉命振南畿、河南饑。
HCH_012_157_000165	時河堤決，即命辰伺便修塞。
HCH_012_157_000166	或議自大名開渠，引諸水通衛河，利灌輸。
HCH_012_157_000167	辰言勞民不便，事遂寢。
HCH_012_157_000168	遷兵部左侍郎，與豐城侯李彬轉餉宣府、大同。
HCH_012_157_000169	鎮守都督譚廣撓令，劾之，事以辦。
HCH_012_157_000170	八年得風疾，告歸。
HCH_012_157_000171	明年卒。
HCH_012_157_000172	辰為人重義輕財。
HCH_012_157_000173	初登進士，產悉讓兄弟。
HCH_012_157_000174	在山西與同僚杜僉事有違言。
HCH_012_157_000175	杜卒，為治喪，資遣其妻子。
HCH_012_157_000176	柴車，字叔輿，錢塘人。
HCH_012_157_000177	永樂二年，以舉人授兵部武選司主事，曆員外郎。
HCH_012_157_000178	八年，帝北征，從尚書方賓扈行。
HCH_012_157_000179	還遷江西右參議。
HCH_012_157_000180	坐事，左遷兵部郎中，出知岳州府，復入為郎中。
HCH_012_157_000181	宣德五年擢兵部侍郎。
HCH_012_157_000182	明年，山西巡按御史張勖言，大同屯田多為豪右佔據，命車往按。
HCH_012_157_000183	得田幾二千頃，還之軍。
HCH_012_157_000184	英宗初，西鄙不靖。
HCH_012_157_000185	以車廉幹，命協贊甘肅軍務。
HCH_012_157_000186	調軍給餉，悉得事宜。
HCH_012_157_000187	初，朵兒只伯寇涼州，副總兵劉廣喪師。
HCH_012_157_000188	不以實聞，顧飾功要賞。
HCH_012_157_000189	車劾其罪，械廣至京。
HCH_012_157_000190	賜車金幣，旌其直。
HCH_012_157_000191	岷州土官後能冒功得升賞，車奏請加罪。
HCH_012_157_000192	能復請，命宥之。
HCH_012_157_000193	車反覆論其不可，曰：「詐冒如能者，實繁有徒，臣方次第按核。今宥能，何以戢眾？若無功得官，則捐軀死敵者，何以待之？」
HCH_012_157_000194	朝廷雖從能請，然嘉車賢，遣使勞賜之。
HCH_012_157_000195	正統三年，以破朵兒只伯功，增俸一級。
HCH_012_157_000196	在邊，章數十上，悉中時病。
HCH_012_157_000197	同事多不悅，車持益堅。
HCH_012_157_000198	嘗建言：「漠北降人，朝廷留之京師，雖厚爵賞，其心終異。如長脫脫木兒者，昔隨其長來歸，未幾叛去。今乃復來，安知他日不再叛，宜徙江南，離其黨類。」
HCH_012_157_000199	事下兵部，請處之河間、德州。
HCH_012_157_000200	帝報可。
HCH_012_157_000201	後降者悉以此令從事。
HCH_012_157_000202	稽核屯田豪占者，悉清出之，得六百餘頃。
HCH_012_157_000203	四年進兵部尚書，參贊如故。
HCH_012_157_000204	尋命兼理陝西屯田。
HCH_012_157_000205	明年召還，命與僉都御史曹翼歲更代出鎮。
HCH_012_157_000206	及期病甚。
HCH_012_157_000207	詔遣大理寺少卿程富代翼，而命車歸治疾。
HCH_012_157_000208	未及行，六年六月卒。
HCH_012_157_000209	車在江西時，以采木入閩，經廣信。
HCH_012_157_000210	廣信守，故人也，饋蜜一罌。
HCH_012_157_000211	發視之，乃白金。
HCH_012_157_000212	笑曰：「公不知故人矣」，卻不受。
HCH_012_157_000213	同事邊塞者多以宴樂為豪舉。
HCH_012_157_000214	車惡之，遂斷酒肉。
HCH_012_157_000215	其介特多此類。
HCH_012_157_000216	劉中敷，大興人，初名中孚。
HCH_012_157_000217	燕王舉兵，以諸生守城功，授陳留丞。
HCH_012_157_000218	擢工部員外郎。
HCH_012_157_000219	仁宗監國，命署部事，賜今名。
HCH_012_157_000220	遷江西右參議。
HCH_012_157_000221	宣德三年遷山東右參政，進左布政使。
HCH_012_157_000222	質直廉靜，吏民畏懷。
HCH_012_157_000223	歲大侵，言于巡撫，減賦三之二。
HCH_012_157_000224	正統改元，父憂奪情，俄召拜戶部尚書。
HCH_012_157_000225	帝沖年踐阼，慮群下欺己，治尚嚴。
HCH_012_157_000226	而中官王振假以立威，屢摭大臣小過，導帝用重典，大臣下吏無虛歲。
HCH_012_157_000227	三年諷給事御史劾中敷與左侍郎吳璽等，下獄，釋還職。
HCH_012_157_000228	六年，言官劾中敷專擅。
HCH_012_157_000229	詔法司於內廷雜治。
HCH_012_157_000230	當流，許輸贖。
HCH_012_157_000231	帝特宥之。
HCH_012_157_000232	其冬，中敷、璽及右侍郎陳瑺請以供禦牛馬分牧民間。
HCH_012_157_000233	言官劾其變亂成法，並下獄論斬。
HCH_012_157_000234	詔荷校長安門外，凡十六日而釋。
HCH_012_157_000235	瓦剌入貢，詔問馬駝芻菽數，不能對，復與璽、瑺論斬繫獄。
HCH_012_157_000236	中敷以母病，特許歸省。
HCH_012_157_000237	明年冬，當決囚，法司以請。
HCH_012_157_000238	命璽、瑺戍邊，中敷俟母終其奏。
HCH_012_157_000239	已，釋為民。
HCH_012_157_000240	景帝立，起戶部左侍郎兼太子賓客。
HCH_012_157_000241	時方用兵，論功行賞無虛日。
HCH_012_157_000242	中敷言府庫財有限，宜撙節以備緩急。
HCH_012_157_000243	帝嘉納。
HCH_012_157_000244	景泰四年卒。
HCH_012_157_000245	贈尚書。
HCH_012_157_000246	中敷性淡泊，食不重味，仕宦五十年，家無餘資。
HCH_012_157_000247	子璉，正統十年進士。
HCH_012_157_000248	授刑科給事中，累官太僕寺卿。
HCH_012_157_000249	恥華靡，居官剛果。
HCH_012_157_000250	左遷遼東苑馬寺卿，卒。
HCH_012_157_000251	子機，幼有孝行。
HCH_012_157_000252	成化十四年進士。
HCH_012_157_000253	改庶起士。
HCH_012_157_000254	正德中，代張彩為吏部尚書，以人言乞歸。
HCH_012_157_000255	起南京兵部尚書，參贊機務。
HCH_012_157_000256	流賊犯江上，眾議擇將。
HCH_012_157_000257	適都督李昴自貴州罷官至，機即召任之。
HCH_012_157_000258	昂以無朝命辭。
HCH_012_157_000259	機曰：「機奉敕有雲，『敕所不載，聽便宜』。此即朝命也。」
HCH_012_157_000260	眾服其膽識。
HCH_012_157_000261	致仕歸，卒。
HCH_012_157_000262	張鳳，字子儀，安平人。
HCH_012_157_000263	父益，官給事中。
HCH_012_157_000264	永樂八年從征漠北，歿於陣。
HCH_012_157_000265	鳳登宣德二年進士。
HCH_012_157_000266	授刑部主事。
HCH_012_157_000267	讞江西叛獄，平反數百人。
HCH_012_157_000268	正統三年十二月，法司坐事盡繫獄，遂擢鳳本部右侍郎。
HCH_012_157_000269	以主事擢侍郎，前時未有也。
HCH_012_157_000270	明年命提督京倉。
HCH_012_157_000271	六年改戶部，尋調南京。
HCH_012_157_000272	適尚書久闕，鳳遂掌部事。
HCH_012_157_000273	貴州奏軍衛乏糧，乞運龍江倉及兩淮鹽於鎮遠府易米。
HCH_012_157_000274	鳳以龍江鹽雜泥沙，不堪易米給軍，盡以淮鹽予之，然後以聞。
HCH_012_157_000275	帝嘉賞。
HCH_012_157_000276	又言留都重地，宜歲儲二百萬石，為根本計。
HCH_012_157_000277	從之，遂為令。
HCH_012_157_000278	南京糧儲，舊督以都御史，十二年冬命鳳兼理。
HCH_012_157_000279	廉謹善執法，號「板張」。
HCH_012_157_000280	景泰二年進尚書。
HCH_012_157_000281	四年改兵部，參贊軍務。
HCH_012_157_000282	戶部尚書金濂卒，召鳳代之。
HCH_012_157_000283	時四方兵息，而災傷特甚。
HCH_012_157_000284	帝屢詔寬恤。
HCH_012_157_000285	鳳偕廷臣議上十事，明年復先後議上八事，鹹報可。
HCH_012_157_000286	鳳以災傷蠲賦多，國用益詘，乃奏言：「國初天下田八百四十九萬餘頃，今數既減半，加以水旱停征，國用何以取給。京畿及河南、山東無額田，甲方墾辟，乙即訐其漏賦。請准輕則征租，不惟永絕爭端，亦且少助軍國。」
HCH_012_157_000287	報可。
HCH_012_157_000288	給事中成章等劾鳳擅更祖制，楊穟等復爭之。
HCH_012_157_000289	帝曰：「國初都江南，轉輸易。今居極北，可守常制耶？」
HCH_012_157_000290	四方報凶荒者，鳳請令御史勘實。
HCH_012_157_000291	議者非之。
HCH_012_157_000292	英宗復辟，調南京戶部，仍兼督糧儲。
HCH_012_157_000293	五年二月卒。
HCH_012_157_000294	鳳有孝行。
HCH_012_157_000295	性淳樸。
HCH_012_157_000296	故人死，聘其女為子婦，教其子而養其母終身。
HCH_012_157_000297	同學友蘇洪好面斥鳳過，及為鳳屬官猶然。
HCH_012_157_000298	鳳待之如初，聞其貧，即賙給之。
HCH_012_157_000299	周瑄，字廷玉，陽曲人。
HCH_012_157_000300	由鄉舉入國學。
HCH_012_157_000301	正統中，除刑部主事，善治獄。
HCH_012_157_000302	十三年遷員外郎。
HCH_012_157_000303	明年，帝北征。
HCH_012_157_000304	郎中當扈從者多托疾，瑄請行。
HCH_012_157_000305	六師覆沒，瑄被創歸，擢署郎中。
HCH_012_157_000306	校尉受賕縱盜，以仇人代。
HCH_012_157_000307	瑄辨雪之，抵校尉罪。
HCH_012_157_000308	外郡送囚，一日至八百人。
HCH_012_157_000309	瑄慮其觸熱，三日決遣之殆盡。
HCH_012_157_000310	景泰元年，以尚書王直薦，超拜刑部右侍郎。
HCH_012_157_000311	久之，出振順天、河間饑。
HCH_012_157_000312	未竣，而英宗復位。
HCH_012_157_000313	有司請召還。
HCH_012_157_000314	不聽。
HCH_012_157_000315	復賜敕，令便宜處置。
HCH_012_157_000316	瑄遍曆所部，大舉荒政，先後振饑民二十六萬五千，給牛種各萬餘，奏行利民八事。
HCH_012_157_000317	事竣還，明年轉左。
HCH_012_157_000318	帝方任門達、逯杲，數興大獄。
HCH_012_157_000319	瑄委曲開諭，多所救正，復飭諸郎毋避禍。
HCH_012_157_000320	以故移部定罪者，不至冤濫。
HCH_012_157_000321	官刑部久，屬吏不敢欺。
HCH_012_157_000322	意主寬恕，不為深文。
HCH_012_157_000323	同佐部者安化孔文英，為御史時按黃岩妖言獄，當坐者三千人，皆白其誣，獨械首從一人論罪。
HCH_012_157_000324	及是居部，與瑄並稱長者。
HCH_012_157_000325	七年命瑄署掌工部事。
HCH_012_157_000326	瑄恬靜淡榮利。
HCH_012_157_000327	成化改元，為侍郎十六年矣，始遷右都御史。
HCH_012_157_000328	督理南京糧儲，捕懲作奸者數輩，宿弊為清。
HCH_012_157_000329	鳳陽、淮、徐饑，以瑄言發廩四十萬以振。
HCH_012_157_000330	久之，遷南京刑部尚書。
HCH_012_157_000331	令諸司事不須勘者，毋出五日。
HCH_012_157_000332	獄無滯囚。
HCH_012_157_000333	暑疫，悉遣輕系者，曰：「召汝則至。」
HCH_012_157_000334	囚歡呼去，無失期者。
HCH_012_157_000335	為尚書九載，屢疏乞休。
HCH_012_157_000336	久之乃得請。
HCH_012_157_000337	家無田園，卜居南京。
HCH_012_157_000338	卒，贈太子少保，諡莊懿。
HCH_012_157_000339	長子經，尚書，自有傳。
HCH_012_157_000340	次子紘，進士，為南京吏科給事中。
HCH_012_157_000341	兩以災異言事。
HCH_012_157_000342	帝並嘉納。
HCH_012_157_000343	未幾，與御史張昺閱軍，為中官蔣琮誣奏，貶南京光祿署丞。
HCH_012_157_000344	仕終山東參議。
HCH_012_157_000345	楊鼎，字宗器，陝西咸寧人。
HCH_012_157_000346	家貧力學，舉鄉會試第一。
HCH_012_157_000347	正統四年，殿試第二。
HCH_012_157_000348	授編修。
HCH_012_157_000349	久之，與侍講杜寧等十人，簡入東閣肄業。
HCH_012_157_000350	鼎居侍從，雅欲以功名見。
HCH_012_157_000351	嘗建言修飭戎備、通漕三邊二事。
HCH_012_157_000352	同輩誚其迂，鼎益自信。
HCH_012_157_000353	也先將寇京師，詔行監察御史事，募兵兗州。
HCH_012_157_000354	景泰三年進侍講兼中允。
HCH_012_157_000355	五年超擢戶部右侍郎。
HCH_012_157_000356	天順初轉左。
HCH_012_157_000357	陳汝言譖之。
HCH_012_157_000358	帝不聽。
HCH_012_157_000359	三年冬以陪祀陵寢不謹下獄，贖杖還職。
HCH_012_157_000360	帝嘗命中官牛玉諭旨，欲取江南折糧銀實內帑，而以他稅物充武臣俸。
HCH_012_157_000361	鼎不可。
HCH_012_157_000362	馬牛芻乏，議征什二，又以民艱力沮。
HCH_012_157_000363	皆報罷。
HCH_012_157_000364	七年，尚書年富有疾，詔鼎掌部事。
HCH_012_157_000365	成化四年，代馬昂為戶部尚書，而以翁世資為侍郎。
HCH_012_157_000366	六年，鼎疏言：「陝西外患四寇，內患流民。然寇害止邊塞，流民則疾在腹心。漢中僻居萬山，襟喉川蜀，四方流民數萬，急之生變，置之有後憂。請暫設監司一人，專領其事。其願附籍者聽之，不願者資遣。兼與守臣練士馬，修城池，庶可弭他日患。」
HCH_012_157_000367	詔從之。
HCH_012_157_000368	湖廣頻歲饑，發廩已盡。
HCH_012_157_000369	及是有秋，用鼎言，發庫貯銀布，易米備災。
HCH_012_157_000370	淮、徐、臨、德四倉，舊積糧百餘萬石，後餉乏民饑，輒請移用，粟且匱。
HCH_012_157_000371	鼎議上贖罪、中鹽、折鈔、征逋六事行之。
HCH_012_157_000372	由是諸倉有儲蓄。
HCH_012_157_000373	尋加太子少保。
HCH_012_157_000374	鼎居戶部，持廉，然性頗拘滯。
HCH_012_157_000375	十五年秋，給事御史劾鼎非經國才。
HCH_012_157_000376	鼎再疏求去。
HCH_012_157_000377	賜敕馳驛歸，命有司月給米二石，歲給役四人，終其身。
HCH_012_157_000378	大臣致仕有給賜，自鼎始也。
HCH_012_157_000379	卒，贈太子太保，諡莊敏。
HCH_012_157_000380	子時畼，進士，累官侍講學士。
HCH_012_157_000381	多識典故，有用世才。
HCH_012_157_000382	時敷，舉人，廬墓被旌，官兵部司務。
HCH_012_157_000383	翁世資者，莆田人。
HCH_012_157_000384	正統七年進士。
HCH_012_157_000385	除戶部主事，曆郎中。
HCH_012_157_000386	天順元年拜工部右侍郎。
HCH_012_157_000387	四年命中官往蘇、松、杭、嘉、湖增織彩幣七千匹。
HCH_012_157_000388	世資以東南水潦，民艱食，議減其半。
HCH_012_157_000389	尚書趙榮、左侍郎霍瑄難之，世資請身任其咎，乃連署以諫。
HCH_012_157_000390	帝果怒，詰主議者。
HCH_012_157_000391	榮等委之世資，遂下詔獄，謫衡州知府。
HCH_012_157_000392	成化初，擢江西左布政使。
HCH_012_157_000393	坐事下吏，尋得白。
HCH_012_157_000394	大軍征兩廣，轉江西餉，需十萬人。
HCH_012_157_000395	世資議齎直就易嶺南米。
HCH_012_157_000396	民得不擾。
HCH_012_157_000397	以右副都御史巡撫山東。
HCH_012_157_000398	歲饑，發倉儲五十餘萬石以振，撫流亡百六十二萬人。
HCH_012_157_000399	召為戶部右侍郎，佐鼎。
HCH_012_157_000400	久之，代薛遠總督倉場，進尚書。
HCH_012_157_000401	十七年還理部事。
HCH_012_157_000402	閱二年，致仕。
HCH_012_157_000403	黃鎬，字叔高，侯官人。
HCH_012_157_000404	正統十二年以進士試事都察院。
HCH_012_157_000405	未半歲，以明習法律授御史。
HCH_012_157_000406	十四年按貴州。
HCH_012_157_000407	群苗盡叛，道梗塞。
HCH_012_157_000408	靖遠伯王驥等自麓川還，軍無紀律，苗襲其後，官軍大敗。
HCH_012_157_000409	鎬赴平越，遇賊幾死。
HCH_012_157_000410	夜跳入城，賊圍之。
HCH_012_157_000411	議者欲棄城走，鎬曰：「平越，貴州咽喉，無平越是無貴州也。」
HCH_012_157_000412	乃偕諸將固守。
HCH_012_157_000413	置密疏竹筒中，募土人間行乞援於朝，且劾驥等覆師狀。
HCH_012_157_000414	景帝命保定伯梁珤等合川、湖軍救之，圍始解。
HCH_012_157_000415	城被困已九月，掘草根煮弩鎧而食之，死者相枕籍。
HCH_012_157_000416	城卒全，鎬功為多。
HCH_012_157_000417	復留按一年。
HCH_012_157_000418	久之，遷廣東僉事，改浙江。
HCH_012_157_000419	成化初，以大臣會薦，擢廣東左參政。
HCH_012_157_000420	高、雷、廉負海多盜，鎬討平之。
HCH_012_157_000421	再遷廣西左布政使。
HCH_012_157_000422	以右副都御史總督南京糧儲，曆吏部左、右侍郎。
HCH_012_157_000423	十六年拜南京戶部尚書。
HCH_012_157_000424	鎬有才識，敏吏事，理鹽政，多所厘剔，時論稱之。
HCH_012_157_000425	十九年致仕，道卒。
HCH_012_157_000426	贈太子少保，諡襄敏。
HCH_012_157_000427	胡拱辰，字共之，淳安人。
HCH_012_157_000428	正統四年進士。
HCH_012_157_000429	為黟縣知縣，有惠政，擢御史。
HCH_012_157_000430	疏陳時弊八事。
HCH_012_157_000431	父艱歸。
HCH_012_157_000432	景帝即位，詔科道官憂居者悉起復。
HCH_012_157_000433	拱辰至，屢疏以選將、保邦、修德、弭災為言，出為貴州左參政。
HCH_012_157_000434	白水堡仡佬頭目沈時保素梗化，拱辰言于總兵官方瑛遣將擒之。
HCH_012_157_000435	一方遂寧。
HCH_012_157_000436	至畢節，平宣慰使隴富亂，威行邊徼。
HCH_012_157_000437	母憂去，御史追劾其受賕事，下浙江按臣執訊。
HCH_012_157_000438	事白，調廣東。
HCH_012_157_000439	曆廣西、四川左、右布政使，皆有平寇功。
HCH_012_157_000440	成化八年拜南京右副都御史，提督操江。
HCH_012_157_000441	十一年就遷兵部右侍郎。
HCH_012_157_000442	儲位虛久，與尚書崔恭等請冊立，言甚切。
HCH_012_157_000443	其年復就改左副都御史總理糧儲，就進工部尚書。
HCH_012_157_000444	節財省事，人皆便之。
HCH_012_157_000445	以年至乞歸。
