HCH_012_178_000001	項忠，字藎臣，嘉興人。
HCH_012_178_000050	大學士彭時、商輅主其議，京軍得毋遣。
HCH_012_178_000051	忠遂與巡撫都御史馬文升分軍七道，抵石城下，與戰，斬獲多。
HCH_012_178_000052	伏羌伯毛忠乘勝奪其西北山，幾破，忽中流矢死。
HCH_012_178_000053	玉亦被圍。
HCH_012_178_000054	諸軍欲退，忠斬一千戶以徇。
HCH_012_178_000055	眾力戰，玉得出，乃列圍困之。
HCH_012_178_000056	適有星孛於臺鬥，中朝多言「占在秦分，師不利」。
HCH_012_178_000057	忠曰：「李晟討朱泚，熒惑守歲，此何害。」
HCH_012_178_000058	日遣兵薄城下，焚芻草，絕汲道。
HCH_012_178_000059	賊窘欲降，邀忠與文升相見。
HCH_012_178_000060	忠偕劉玉單騎赴之，文升亦從數十騎至，呼俊、璹諭以速降。
HCH_012_178_000061	賊遙望羅拜，忠直前挾璹以歸。
HCH_012_178_000062	俊氣沮，猶豫不出。
HCH_012_178_000063	忠命縛木為橋，人負土囊填濠塹，擊以銅炮，死者益眾。
HCH_012_178_000064	賊倚愛將楊虎貍為謀主，夜出汲被擒。
HCH_012_178_000065	忠貰其死，諭以購賊賞格。
HCH_012_178_000066	示之金，且賜金帶鉤。
HCH_012_178_000067	縱歸，使誘俊出戰，伏兵擒焉。
HCH_012_178_000068	急擊下石城，盡獲余寇。
HCH_012_178_000069	毀其城，鑿石紀功。
HCH_012_178_000070	增一衛於固原西北西安廢城，留兵戍之而還。
HCH_012_178_000071	初，石城未下，天甚寒，士卒頗困。
HCH_012_178_000072	忠慮賊奔突，乘凍渡河與套寇合，日夜治攻具。
HCH_012_178_000073	身當矢石不少避，大小三百餘戰。
HCH_012_178_000074	彭時、商輅知忠能辦賊，不從中制，卒用殄賊。
HCH_012_178_000075	論功，進右都御史，與林聰協掌院事。
HCH_012_178_000076	白圭既平劉通，荊、襄間流民屯結如故。
HCH_012_178_000077	通黨李胡子者名原，偽稱平王，與小王洪、王彪等掠南漳、房、內鄉、渭南諸縣。
HCH_012_178_000078	流民附賊者至百萬。
HCH_012_178_000079	六年冬，詔忠總督軍務，與湖廣總兵官李震討之。
HCH_012_178_000080	忠乃奏調永順、保靖土兵。
HCH_012_178_000081	而先分軍列要害，多設旗幟鉦鼓，遣人入山招諭。
HCH_012_178_000082	流民歸者四十餘萬，彪亦就擒。
HCH_012_178_000083	時白圭為兵部，遣錦衣百戶吳綬贊參將王信軍。
HCH_012_178_000084	綬欲攘功，不利賊瓦解。
HCH_012_178_000085	縱流言，圭信之，止土兵毋調。
HCH_012_178_000086	忠疏爭，且劾綬罪，帝為召綬還，而聽調土兵如故。
HCH_012_178_000087	合二十五萬，分八道逼之，流民歸者又數萬。
HCH_012_178_000088	賊潛伏山寨，伺間出劫。
HCH_012_178_000089	忠命副使余洵、都指揮李振擊之，遇於竹山。
HCH_012_178_000090	乘溪漲半渡截擊，擒李原、小王洪等，賊多溺死。
HCH_012_178_000091	忠移軍竹山，捕余孽。
HCH_012_178_000092	復招流民五十萬，斬首六百四十，俘八百有奇，家口三萬餘人。
HCH_012_178_000093	戶選一丁，戍湖廣邊衛，余令歸籍給田。
HCH_012_178_000094	疏陳善後十事，悉允行。
HCH_012_178_000095	忠之下令逐流民也，有司一切驅逼。
HCH_012_178_000096	不前，即殺之。
HCH_012_178_000097	民有自洪武中占籍者，亦在遺中。
HCH_012_178_000098	戍者舟行多疫死。
HCH_012_178_000099	給事中梁璟因星變求言，劾忠妄殺。
HCH_012_178_000100	白圭亦言流民既成業者，宜隨所在著籍，又駁忠所上功次互異。
HCH_012_178_000101	帝皆不聽。
HCH_012_178_000102	進忠左都御史。
HCH_012_178_000103	蔭子綬錦衣千戶，諸將錄功有差。
HCH_012_178_000104	忠上疏言：「臣先後招撫流民復業者九十三萬餘人，賊黨遁入深山，又招諭解散自歸者五十萬人。俘獲百人，皆首惡耳。今言皆良家子，則前此屢奏猖獗難禦者，伊誰也？賊黨罪固當死，正因不忍濫誅，故令丁壯謫發遣戍。其久附籍者，或乃占山四十餘里，招聚無賴千人，爭鬥劫殺。若此者，可以久居故不遣乎？臣揭榜曉賊，謂已殺數千，蓋張虛勢怵之，非實事也。且圭固嘗身任其事，今日之事又圭所遺。先時，中外議者謂荊、襄之患何日得寧。今幸平靖，而流言沸騰，以臣為口實。昔馬援薏苡蒙謗，鄧艾檻車被征。功不見錄，身更不保。臣幸際聖明，願賜骸骨，勿使臣為馬、鄧之續。」
HCH_012_178_000105	帝溫詔答之。
HCH_012_178_000106	八年召還，與李賓協掌院事。
HCH_012_178_000107	後二年拜刑部尚書，尋代圭為兵部。
HCH_012_178_000108	汪直開西廠，恣橫，忠屢遭侮不能堪。
HCH_012_178_000109	會大學士商輅等劾直，忠亦倡九卿劾之。
HCH_012_178_000110	奏留中，而西廠遂罷，直深恨之。
HCH_012_178_000111	未幾，西廠復設，直以吳綬為腹心，綬挾前憾，伺忠益急。
HCH_012_178_000112	忠不自安，乞歸治病。
HCH_012_178_000113	未行，而綬嗾偵事者誣忠罪。
HCH_012_178_000114	給事中郭鏜、御史馮貫等復交章劾忠，事連其子經、太監黃賜、興寧伯李震、彰武伯楊信等。
HCH_012_178_000115	詔法司會錦衣衛廷鞫，忠抗辯不少屈。
HCH_012_178_000116	然眾知出直意，無敢為之白者，竟斥為民，賜與震等亦得罪。
HCH_012_178_000117	直敗，復官，致仕。
HCH_012_178_000118	家居二十六年，至弘治十五年乃卒，年八十二。
HCH_012_178_000119	贈太子太保，謚襄毅。
HCH_012_178_000120	忠倜儻多大略，練戎務，強直不阿，敏於政事，故所在著稱。
HCH_012_178_000121	子經，經子錫，錫子治元，皆舉進士。
HCH_012_178_000122	經，江西參政。
HCH_012_178_000123	錫，南京光祿寺卿。
HCH_012_178_000124	治元，員外郎。
HCH_012_178_000125	韓雍，字永熙，長洲人。
HCH_012_178_000126	正統七年進士。
HCH_012_178_000127	授御史。
HCH_012_178_000128	負氣果敢，以才略稱。
HCH_012_178_000129	錄囚南畿。
HCH_012_178_000130	碭山教諭某笞膳夫，膳夫逃匿，父訴教諭殺其子，取他屍支解以證。
HCH_012_178_000131	既誣服，雍蹤跡得之，白其冤。
HCH_012_178_000132	出巡河道。
HCH_012_178_000133	已，巡按江西，黜貪墨吏五十七人。
HCH_012_178_000134	廬陵、太和盜起，捕誅之。
HCH_012_178_000135	十三年冬，處州賊葉宗留自福建轉犯江西。
HCH_012_178_000136	官軍不利，都督僉事陳榮、指揮劉真遇伏死。
HCH_012_178_000137	詔雍及鎮守侍郎楊寧督軍民協守。
HCH_012_178_000138	會福建巡按御史汪澄牒鄰境會討賊鄧茂七，俄以賊議降，止兵。
HCH_012_178_000139	雍曰：「賊果降，退未晚也。」
HCH_012_178_000140	趨進，賊已叛，澄坐得罪死。
HCH_012_178_000141	人以是服雍識。
HCH_012_178_000142	景泰二年擢廣東副使。
HCH_012_178_000143	大學士陳循薦為右僉都御史，代楊寧巡撫江西。
HCH_012_178_000144	歲饑，奏免秋糧。
HCH_012_178_000145	劾奏寧王不法事，王府官皆得罪。
HCH_012_178_000146	時雍年甫三十，赫然有才望，所規畫措置，鹹可為後法。
HCH_012_178_000147	天順初，罷天下巡撫官，改山西副使。
HCH_012_178_000148	寧王以前憾劾其擅乘肩輿諸事，下獄，奪官。
HCH_012_178_000149	起大理少卿。
HCH_012_178_000150	尋復為右僉都御史，佐寇深理院事。
HCH_012_178_000151	石亨既誅，錦衣指揮劉敬坐飯亨直房，用朋黨律論死。
HCH_012_178_000152	雍言：「律重朋黨，謂阿比亂朝政也。以一飯當之，豈律意？且亨盛時大臣朝夕趨門，不坐，獨坐敬何也？」
HCH_012_178_000153	深嘆服，出之。
HCH_012_178_000154	母憂，起復。
HCH_012_178_000155	四年，巡撫宣府、大同。
HCH_012_178_000156	七年議事入覲，帝壯其貌，留為兵部右侍郎。
HCH_012_178_000157	憲宗立，坐學士錢溥累，貶浙江左參政。
HCH_012_178_000158	廣西瑤、僮流剽廣東，殘破郡邑殆遍。
HCH_012_178_000159	成化元年正月大發兵，拜都督趙輔為總兵官，以太監盧永、陳瑄監其軍。
HCH_012_178_000160	兵部尚書王竑曰：「韓雍才氣無雙，平賊非雍莫可。」
HCH_012_178_000161	乃改雍左僉都御史，贊理軍務。
HCH_012_178_000162	雍馳至南京，集諸將議方略。
HCH_012_178_000163	先是，編修邱濬上書大學士李賢，言賊在廣東者宜驅，在廣西者宜困。
HCH_012_178_000164	欲宿兵大藤峽，扼其出入，蹂其禾稼，期一二年盡賊。
HCH_012_178_000165	賢善之，獻於朝，詔錄示諸將。
HCH_012_178_000166	諸將主其說，請令遊擊將軍和勇率番騎趨廣東，而大軍直趨廣西，分兵撲滅。
HCH_012_178_000167	雍曰：「賊已蔓延數千里，而所至與戰，是自敝也。當全師直搗大藤峽。南可援高、肇、雷、廉；東可應南、韶；西可取柳、慶；北可斷陽峒諸路。首尾相應，攻其腹心。巢穴既傾，余迎刃解耳。舍此不圖，而分兵四出，賊益奔突，郡邑益殘，所謂救火而噓之也。」
HCH_012_178_000168	眾曰「善。」
HCH_012_178_000169	輔亦知雍才足辦賊，軍謀一聽雍。
HCH_012_178_000170	雍等遂倍道趨全州。
HCH_012_178_000171	陽峒苗掠興安，擊破之。
HCH_012_178_000172	至桂林，斬失機指揮李英等四人以徇。
HCH_012_178_000173	按地圖與諸將議曰：「賊以修仁、荔浦為羽翼，當先收二縣以孤賊勢。」
HCH_012_178_000174	乃督兵十六萬人，分五道，先破修仁賊，窮追至力山。
HCH_012_178_000175	擒千二百餘人，斬首七千三百級。
HCH_012_178_000176	荔浦亦定。
HCH_012_178_000177	十月至潯州，延問父老，皆曰：「峽，天險，不可攻，宜以計困。」
HCH_012_178_000178	雍曰：「峽延廣六百餘里，安能使困？兵分則力弱，師老則財匱，賊何時得平？吾計決矣。」
HCH_012_178_000179	遂長驅至峽口。
HCH_012_178_000180	儒生、裏老數十人伏道左，願為向導。
HCH_012_178_000181	雍見即罵曰：「賊敢紿我！」
HCH_012_178_000182	叱左右縛斬之，左右皆愕，既縛，而袂中利刃出。
HCH_012_178_000183	推問，果賊也。
HCH_012_178_000184	悉支解刳腸胃，分掛林箐中，累累相屬。
HCH_012_178_000185	賊大驚曰：「韓公天神也！」
HCH_012_178_000186	雍令總兵官歐信等為五哨，自象州、武宣攻其北；身與輔督都指揮白全等為八哨，自桂平、平南攻其南；參將孫震等為二哨，從水路入；而別分兵守諸隘口。
HCH_012_178_000187	賊魁侯大狗等大懼，先移其累重於桂州橫石塘，而立柵南山，多置滾木、礧石、鏢槍、藥弩拒官軍。
HCH_012_178_000188	十二月朔，雍等督諸軍水陸並進，擁團牌登山，殊死戰。
HCH_012_178_000189	連破石門、林峒、沙田、古營諸巢，焚其室廬積聚，賊皆奔潰。
HCH_012_178_000190	伐木開道，直抵橫石塘及九層樓諸山。
HCH_012_178_000191	賊復立柵數重，憑高以拒。
HCH_012_178_000192	官軍誘賊發矢石，度且盡，雍躬督諸軍緣木攀藤上。
HCH_012_178_000193	別遣壯士從間道先登，據山頂舉炮。
HCH_012_178_000194	賊不能支，遂大敗。
HCH_012_178_000195	先後破賊三百二十四寨，生擒大狗及其黨七百八十人，斬首三千二百有奇，墜溺死者不可勝計。
HCH_012_178_000196	峽有大藤如虹，橫亙兩厓間。
HCH_012_178_000197	雍斧斷之，改名斷藤峽，勒石紀功而還。
HCH_012_178_000198	分兵擊余黨，郁林、陽江、洛容、博白次第皆定。
HCH_012_178_000199	帝大喜，賜敕嘉勞，召輔等還，遷雍左副都御史，提督兩廣軍務。
HCH_012_178_000200	雍乃散遣諸軍，以省饋餉。
HCH_012_178_000201	而遺孽侯鄭昂等遂乘虛陷潯州及洛容、北流二縣。
HCH_012_178_000202	雍被劾引罪，帝宥之。
HCH_012_178_000203	雍益發兵撲討。
HCH_012_178_000204	時諸賊所在蜂起，思恩、潯、賓、柳城悉被擾掠。
HCH_012_178_000205	流劫至廣東，欽、化二州皆應時破殄。
HCH_012_178_000206	四年春，雍以兩廣地大事殷，請東西各設巡撫，帝可之。
HCH_012_178_000207	命陳濂撫廣東，張鵬撫廣西，而雍專理軍事。
HCH_012_178_000208	尋以憂歸。
HCH_012_178_000209	明年，兩廣盜復起，僉事陶魯言：「兩廣地勢錯互，當如臂指相使，不可離析。近賊犯廣西，臣與廣東三司議調兵，匝月未決，盜賊無所憚。乞仍命大臣總督便。」
HCH_012_178_000210	會僉事林錦、巡按御史龔晟亦以為請。
HCH_012_178_000211	乃罷兩巡撫，而起復雍右都御史，總督如故。
HCH_012_178_000212	又明年正月，雍疏辭新命，乞終制，不許。
HCH_012_178_000213	雍抵任，遣參將張壽、遊擊馮昇等分道討賊，忻州八寨蠻及諸山瑤、僮掠州縣者，皆摧破之。
HCH_012_178_000214	蠻民素懾雍威，寇盜浸息。
HCH_012_178_000215	九年，柳、潯諸蠻復叛，參將楊廣等俘斬九百人。
HCH_012_178_000216	方更進，而賊破懷集縣。
HCH_012_178_000217	兵部劾雍奏報不實。
HCH_012_178_000218	廣西鎮守中官黃沁素憾雍抑己，因訐雍，且言其貪欲縱酒，濫賞妄費。
HCH_012_178_000219	帝遣給事中張謙等往勘。
HCH_012_178_000220	而廣西布政使何宜、副使張斅銜雍素輕己，共醞釀其罪。
HCH_012_178_000221	謙還奏，事虛實交半，竟命致仕去。
HCH_012_178_000222	雍洞達闿爽，重信義。
HCH_012_178_000223	撫江西時，請追謚文天祥、謝枋得。
HCH_012_178_000224	詔謚天祥忠烈、枋得文節。
HCH_012_178_000225	有雄略，善斷，動中事機。
HCH_012_178_000226	臨戰，率躬親矢石，不目瞬。
HCH_012_178_000227	自奉尊嚴，三司皆長跪白事。
HCH_012_178_000228	軍門設銅鼓數十，儀節詳密。
HCH_012_178_000229	裨將以下，繩柙無所假。
HCH_012_178_000230	兩地鎮守宦官素驕恣，亦惕息無敢肆。
HCH_012_178_000231	疾惡嚴，坦中不為崖岸，揮斥財帛不少惜。
HCH_012_178_000232	故雖令行禁止，民得安堵，而謗議亦易起。
HCH_012_178_000233	為中官所齮龁，公論皆不平。
HCH_012_178_000234	兩廣人念雍功，尤惜其去，為立祠祀焉。
HCH_012_178_000235	家居五年卒，年五十七。
HCH_012_178_000236	正德間，謚襄毅。
HCH_012_178_000237	初以軍功予一子錦衣百戶，雍以授其弟睦。
HCH_012_178_000238	至是，錄一子國子生。
HCH_012_178_000239	余子俊，字士英，青神人。
HCH_012_178_000240	父祥，戶部郎中。
HCH_012_178_000241	子俊舉景泰二年進士，授戶部主事，進員外郎。
HCH_012_178_000242	在部十年，以廉幹稱。
HCH_012_178_000243	出為西安知府。
HCH_012_178_000244	歲饑，發廩十萬石振貸。
HCH_012_178_000245	區畫以償，官不損而民濟。
HCH_012_178_000246	成化初，所司上治行當旌者，知府十人，而子俊為首。
HCH_012_178_000247	以林聰薦，為陜西右參政，歲餘擢右布政使。
HCH_012_178_000248	六年轉左，調浙江。
HCH_012_178_000249	甫半載，拜右副都御史，巡撫延綏。
HCH_012_178_000250	先是，巡撫王銳請沿邊築墻建堡，為久遠計，工未興而罷。
HCH_012_178_000251	子俊上疏言：「三邊惟延慶地平易，利馳突。寇屢入犯，獲邊人為導，徑入河套屯牧。自是寇顧居內，我反屯外，急宜於沿邊築墻置堡。況今舊界石所在，多高山陡厓。依山形，隨地勢，或鏟削，或壘築，或挑塹，綿引相接，以成邊墻，於計為便。」
HCH_012_178_000252	尚書白圭以陜民方困，奏緩役。
HCH_012_178_000253	既而寇入孤山堡，復犯榆林，子俊先後與朱永、許寧擊敗之。
HCH_012_178_000254	是時，寇據河套，歲發大軍征討，卒無功。
HCH_012_178_000255	八年秋，子俊復言：「今征套士馬屯延綏者八萬，芻茭煩內地。若今冬寇不北去，又須備來年軍資。姑以今年之數約之，米豆需銀九十四萬，草六十萬。每人運米豆六斗、草四束，應用四百七萬人，約費行資八百二十五萬。公私煩擾至此，安得不變計。臣前請築墻建堡，詔事寧舉行。請於明年春夏寇馬疲乏時，役陜西運糧民五萬，給食興工，期兩月畢事。」
HCH_012_178_000256	圭猶持前議阻之。
HCH_012_178_000257	帝是子俊言，命速舉。
HCH_012_178_000258	子俊先用軍功進左副都御史。
HCH_012_178_000259	明年，又用紅鹽池搗巢功，進右都御史。
HCH_012_178_000260	寇以搗巢故遠徙，不敢復居套。
HCH_012_178_000261	內地患稍息，子俊得一意興役。
HCH_012_178_000262	東起清水營，西抵花馬池，延袤千七百七十里，鑿崖築墻，掘塹其下，連比不絕。
HCH_012_178_000263	每二三里置敵臺崖寨備巡警。
HCH_012_178_000264	又於崖寨空處築短墻，橫一斜二如箕狀，以瞭敵避射。
HCH_012_178_000265	凡築城堡十一，邊墩十五，小墩七十八，崖寨八百十九，役軍四萬人，不三月而成。
HCH_012_178_000266	墻內之地悉分屯墾，歲得糧六萬石有奇。
HCH_012_178_000267	十年閏六月，子俊具上其事，因以母老乞歸，慰留不許。
HCH_012_178_000268	初，延綏鎮治綏德州，屬縣米脂、吳堡悉在其外。
HCH_012_178_000269	寇以輕騎入掠，鎮兵覺而追之，輒不及，往往得利去。
HCH_012_178_000270	自子俊徙鎮榆林，增衛益兵，拓城置戍，攻守器畢具，遂為重鎮，寇抄漸稀，軍民得安耕牧焉。
HCH_012_178_000271	十二年十二月移撫陜西。
HCH_012_178_000272	子俊知西安時，以居民患水泉鹹苦，鑿渠引城西潏河入灌，民利之。
HCH_012_178_000273	久而水溢無所泄。
HCH_012_178_000274	至是，乃於城西北開渠泄水，使經漢故城達渭。
HCH_012_178_000275	公私益便，號「余公渠」。
HCH_012_178_000276	又於涇陽鑿山引水，溉田千餘頃。
HCH_012_178_000277	通南山道，直抵漢中，以便行旅。
HCH_012_178_000278	學校、公署圮者悉新之。
HCH_012_178_000279	奏免岷、河、洮三衛之戍南方者萬有奇。
HCH_012_178_000280	易置南北之更戍者六千有奇，就戍本土。
HCH_012_178_000281	岷州栗林羌為寇，子俊潛師設伏擊走之。
HCH_012_178_000282	十三年召為兵部尚書。
HCH_012_178_000283	奏申明條例十事，又列上軍功賞格，由是中外有所遵守。
HCH_012_178_000284	緬甸酋卜剌浪欲奪思洪發貢章地，設詞請於朝。
HCH_012_178_000285	子俊言不宜許，乃諭止之。
HCH_012_178_000286	貴州巡撫陳儼等以播州苗竊發，請調湖廣、廣西、四川兵五萬，合貴州兵會剿。
HCH_012_178_000287	子俊言賊在四川，而貴州請討，是邀功也，奏寢其事。
HCH_012_178_000288	初，子俊論陳鉞掩殺貢夷罪，帝以汪直故宥之。
HCH_012_178_000289	鉞多方構子俊於直，會母憂歸，得免。
HCH_012_178_000290	子俊之築邊墻也，或疑沙土易傾，寇至未可恃。
HCH_012_178_000291	至十八年，寇入犯，許寧等逐之。
HCH_012_178_000292	寇扼於墻塹，散漫不得出，遂大衄，邊人益思子俊功。
HCH_012_178_000293	服闋，拜戶部尚書，尋加太子太保。
HCH_012_178_000294	二十年命兼左副都御史，總督大同、宣府軍務。
HCH_012_178_000295	其冬還朝。
HCH_012_178_000296	明年正月，星變，陳時弊八事，帝多采納。
HCH_012_178_000297	未幾，復出行邊。
HCH_012_178_000298	初，子俊巡歷宣、大，請以延綏邊墻法行之兩鎮，因歲歉而止。
HCH_012_178_000299	比復出，銳欲行之。
HCH_012_178_000300	言東起四海冶，西抵黃河，延袤千三百餘里，舊有墩百七十，應增築四百四十，墩高廣皆三丈，計役夫八萬六千，數月可成。
HCH_012_178_000301	詔明年四月即工。
HCH_012_178_000302	然是時，歲比不登，公私耗敝，驟興大役，上下難之。
HCH_012_178_000303	子俊又欲責成於邊臣，而己不親其事。
HCH_012_178_000304	謗議由是起。
HCH_012_178_000305	至冬，疏請還京。
HCH_012_178_000306	帝入蜚語，命改左都御史，巡撫大同。
HCH_012_178_000307	中官韋敬讒子俊假修邊多侵耗，又劾子俊私恩怨，易將帥。
HCH_012_178_000308	兵部侍郎阮勤等為白。
HCH_012_178_000309	帝怒，讓勤等。
HCH_012_178_000310	而給事、御史復交章劾，中朝多欲傾子俊。
HCH_012_178_000311	工部侍郎杜謙等往勘，平情按之。
HCH_012_178_000312	還奏易置將帥如勤等言，所費無私。
HCH_012_178_000313	然為銀百五十萬，米菽二百三十萬，耗財煩民，不得無罪。
HCH_012_178_000314	遂落太子太保，致仕去，時二十二年二月也。
HCH_012_178_000315	明年正月，兵部缺尚書。
HCH_012_178_000316	帝悟子俊無罪，復召任之，仍加太子太保。
HCH_012_178_000317	孝宗嗣位，以先朝老臣，待之彌厚。
HCH_012_178_000318	弘治元年疏陳十事，已，又上邊防七事，帝多允行。
HCH_012_178_000319	明年，疾亟，猶手削奏稿，陳救荒弭盜之策，甫得請而卒，年六十一。
HCH_012_178_000320	贈太保，謚肅敏。
HCH_012_178_000321	子俊沈毅寡言，有偉略。
HCH_012_178_000322	凡奏疏公移，必自屬草，每夜分方寢。
HCH_012_178_000323	嘗曰：「大臣謀國，當身任利害，豈得遠怨市恩為自全計。」
HCH_012_178_000324	故榆林始事，怨讟叢起，子俊持之益堅，竟以成功，為數世利。
HCH_012_178_000325	性孝友，居母憂時，令子寘毋會試，曰：「雖無律令，吾心不忍也。」
HCH_012_178_000326	嘗蔭子，移以蔭弟。
HCH_012_178_000327	子寰，舉進士，終戶部員外郎。
HCH_012_178_000328	寘，就武蔭為錦衣千戶，終指揮同知。
HCH_012_178_000329	曾孫承勛、承業，皆進士。
HCH_012_178_000330	承勛，翰林修撰。
HCH_012_178_000331	承業，雲南僉事。
HCH_012_178_000332	阮勤，本交阯人，其父內徙，占籍長子。
HCH_012_178_000333	勤舉景泰五年進士。
HCH_012_178_000334	歷臺州知府。
HCH_012_178_000335	清慎有惠政，賜誥旌異。
HCH_012_178_000336	以右副都御史巡撫陜西。
HCH_012_178_000337	築墩臺十四所，治垣塹三十餘里。
HCH_012_178_000338	歲饑，奏免七府租四十餘萬石。
HCH_012_178_000339	入為侍郎，調南京刑部。
HCH_012_178_000340	蠻邦人著聲中國者，勤為最。
HCH_012_178_000341	朱英，字時傑，桂陽人。
HCH_012_178_000342	五歲而孤。
HCH_012_178_000343	力學，舉正統十年進士，授御史。
HCH_012_178_000344	浙、閩盜起，簡御史十三人與中官分守諸府，英守處州。
HCH_012_178_000345	而葉宗留黨四出剽掠，處州道梗。
HCH_012_178_000346	英間道馳至，撫降甚眾，戮賊首周明松等，賊散去乃還。
HCH_012_178_000347	景泰初，御史王豪嘗以勘陳循爭地事，忤循，為所訐。
HCH_012_178_000348	至是，循草詔，言風憲官被訐者，雖經赦宥，悉與外除。
HCH_012_178_000349	於是豪當改知縣，英言：「若如詔書，則凡遭御史抨擊之人，皆將挾仇誣訐，而御史愈緘默不言矣。」
HCH_012_178_000350	章下法司，請如英言，乃復豪職。
HCH_012_178_000351	未幾，出為廣東右參議。
HCH_012_178_000352	過家省母，橐中惟賜金十兩。
HCH_012_178_000353	抵任，撫雕瘵流亡。
HCH_012_178_000354	立均徭法，十歲一更，民稱便。
HCH_012_178_000355	天順初，兩廣賊愈熾，諸將多濫殺冒功。
HCH_012_178_000356	巡撫葉盛屬英督察。
HCH_012_178_000357	參將範信誣宋泰、永平二鄉民為賊，屠戮殆盡，又欲屠進城鄉。
HCH_012_178_000358	英馳訊，悉縱去。
HCH_012_178_000359	信忿，留師不還。
HCH_012_178_000360	英密請於盛，檄信班師，一方始靖。
HCH_012_178_000361	潮州賊羅劉寧等流劫遠近，屢挫官兵。
HCH_012_178_000362	英會師破滅之。
HCH_012_178_000363	還所掠人口數千，別置一營以處婦女，人莫敢犯。
HCH_012_178_000364	官參議十年，進右參政。
HCH_012_178_000365	遭母憂。
HCH_012_178_000366	成化初服闋，補陜西。
HCH_012_178_000367	大軍討滿四，英主饋餉有功。
HCH_012_178_000368	歷福建、陜西左、右布政使，皆推行均徭法。
HCH_012_178_000369	十年以右副都御史巡撫甘肅，先後陳安邊二十八事。
HCH_012_178_000370	其請徙居戎、安流離、簡貢使，於時務尤切。
