HCH_012_078_000001	賦役之法，唐租庸調猶為近古。
HCH_012_078_000106	糧萬石，長、副各一人，輸以時至，得召見，語合，輒蒙擢用。
HCH_012_078_000107	末年更定，每區正副二名輪充。
HCH_012_078_000108	宣德間，復永充。
HCH_012_078_000109	科斂橫溢，民受其害，或私賣官糧以牟利。
HCH_012_078_000110	其罷者，虧損公賦，事覺，至隕身喪家。
HCH_012_078_000111	景泰中，革糧長，未幾又復。
HCH_012_078_000112	自官軍兌運，糧長不復輸京師，在州里間頗滋害，故鼎臣及之。
HCH_012_078_000113	未幾，御史郭弘化等亦請通行丈量，以杜包賠兼併之弊。
HCH_012_078_000114	帝恐紛擾，不從。
HCH_012_078_000115	給事中徐俊民言：「今之田賦，有受地於官，歲供租稅者，謂之官田。有江水泛溢溝塍淹沒者，謂之坍江。有流移亡絕，田棄糧存者，謂之事故。官田貧民佃種，畝入租三斗，或五六斗或石以上者有之。坍江、事故虛糧，裏甲賠納，或數十石或百餘石者有之。夫民田之價十倍官田，貧民既不能置。而官田糧重，每病取盈，益以坍江、事故虛糧，又令攤納，追呼敲撲，歲無寧日。而奸富猾胥方且詭寄、那移，並輕分重。此小民疾苦，閭閻凋瘁，所以日益而日增也。請定均糧、限田之制。坍江、事故，悉與蠲免。而合官民田為一，定上、中、下三則起科以均糧。富人不得過千畝，聽以百畝自給，其羨者則加輸邊稅。如此，則多寡有節，輕重適宜，貧富相安，公私俱足矣。」
HCH_012_078_000116	部議：「疆土民俗各異，令所司熟計其便。」
HCH_012_078_000117	不行。
HCH_012_078_000118	越數年，乃從應天巡撫侯位奏，免蘇州坍海田糧九萬餘石，然那移、飛灑之弊，相沿不改。
HCH_012_078_000119	至十八年，鼎臣為大學士，復言：「蘇、鬆、常、鎮、嘉、湖、杭七府，供輸甲天下，而裏胥豪右蠹弊特甚。宜將欺隱及坍荒田土，一一檢核改正。」
HCH_012_078_000120	於是應天巡撫歐陽鐸檢荒田四千餘頃，計租十一萬石有奇，以所欺隱田糧六萬餘石補之，餘請豁免。
HCH_012_078_000121	戶部終持不下。
HCH_012_078_000122	時嘉興知府趙瀛建議：「田不分官、民，稅不分等則，一切以三斗起徵。」
HCH_012_078_000123	鐸乃與蘇州知府王儀盡括官、民田裒益之。
HCH_012_078_000124	履畝清丈，定為等則。
HCH_012_078_000125	所造經賦冊，以八事定稅糧：曰元額稽始，曰事故除虛，曰分項別異，曰歸總正實，曰坐派起運，曰運餘撥存，曰存餘考積，曰徵一定額。
HCH_012_078_000126	又以八事考裏甲：曰丁田，曰慶賀，曰祭祀，曰鄉飲，曰科賀，曰恤政，曰公費，曰備用。
HCH_012_078_000127	以三事定均徭：曰銀差，曰力差，曰馬差。
HCH_012_078_000128	著為例。
HCH_012_078_000129	徵一者，總徵銀米之凡，而計畝均輸之。
HCH_012_078_000130	其科則最重與最輕者，稍以耗損益推移。
HCH_012_078_000131	重者不能盡損，惟遞減耗米，派輕齎折除之，陰予以輕。
HCH_012_078_000132	輕者不能加益，為徵本色，遞增耗米加乘之，陰予以重。
HCH_012_078_000133	推收之法，以田為母，戶為子。
HCH_012_078_000134	時豪右多梗其議，鼎臣獨以為善，曰：「是法行，吾家益千石輸，然貧民減千石矣，不可易也。」
HCH_012_078_000135	顧其時，上不能損賦額，長民者私以己意變通。
HCH_012_078_000136	由是官田不至偏重，而民田之賦反加矣。
HCH_012_078_000137	時又有綱銀、一串鈴諸法。
HCH_012_078_000138	綱銀者，舉民間應役歲費，丁四糧六總徵之，易知而不繁，猶網之有綱也。
HCH_012_078_000139	一串鈴，則夥收分解法也。
HCH_012_078_000140	自是民間輸納，止收本色及折色銀矣。
HCH_012_078_000141	是時天下財賦，歲入太倉庫者二百萬兩有奇。
HCH_012_078_000142	舊制以七分經費而存積三分備兵、歉，以為常。
HCH_012_078_000143	世宗中年，邊供費繁，加以土木、禱祀，月無虛日，帑藏匱竭。
HCH_012_078_000144	司農百計生財，甚至變賣寺田，收贖軍罪，猶不能給。
HCH_012_078_000145	二十九年，俺荅犯京師，增兵設戍，餉額過倍。
HCH_012_078_000146	三十年，京邊歲用至五百九十五萬，戶部尚書孫應奎蒿目無策，乃議於南畿、浙江等州縣增賦百二十萬，加派於是始。
HCH_012_078_000147	嗣後，京邊歲用，多者過五百萬，少者亦三百餘萬，歲入不能充歲出之半。
HCH_012_078_000148	由是度支為一切之法，其箕斂財賄、題增派、括贓贖、算稅契、折民壯、提編、均徭、推廣事例興焉。
HCH_012_078_000149	其初亦賴以濟匱，久之諸所灌輸益少。
HCH_012_078_000150	又四方多事，有司往往為其地奏留或請免：浙、直以備倭，川、貴以採木，山、陝、宣、大以兵荒。
HCH_012_078_000151	不惟停格軍興所徵發，即歲額二百萬，且虧其三之一。
HCH_012_078_000152	而內廷之賞給，齋殿之經營，宮中夜半出片紙，吏雖急，無敢延頃刻者。
HCH_012_078_000153	三十七年，大同右衛告警，賦入太倉者僅七萬，帑儲大較不及十萬。
HCH_012_078_000154	戶部尚書方鈍等憂懼不知所出，乃乘間具陳帑藏空虛狀，因條上便宜七事以請。
HCH_012_078_000155	既，又令羣臣各條理財之策，議行者凡二十九事，益瑣屑，非國體。
HCH_012_078_000156	而累年以前積逋無不追徵，南方本色逋賦亦皆追徵折色矣。
HCH_012_078_000157	是時，東南被倭，南畿、浙、閩多額外提編，江南至四十萬。
HCH_012_078_000158	提編者，加派之名也。
HCH_012_078_000159	其法，以銀力差排編十甲，如一甲不足，則提下甲補之，故謂之提編。
HCH_012_078_000160	及倭患平，應天巡撫周如鬥乞減加派，給事中何煃亦具陳南畿困敝，言：「軍門養兵，工部料價，操江募兵，兵備道壯丁，府州縣鄉兵，率為民累，甚者指一科十，請禁革之。」
HCH_012_078_000161	命如煃議，而提編之額不能減。
HCH_012_078_000162	隆、萬之世，增額既如故，又多無藝之徵，逋糧愈多，規避亦益巧。
HCH_012_078_000163	已解而愆限或至十餘年，未徵而報收，一縣有至十萬者。
HCH_012_078_000164	逋欠之多，縣各數十萬。
HCH_012_078_000165	賴行一條鞭法，無他科擾，民力不大絀。
HCH_012_078_000166	一條鞭法者，總括一州縣之賦役，量地計丁，丁糧畢輸於官。
HCH_012_078_000167	一歲之役，官為僉募。
HCH_012_078_000168	力差，則計其工食之費，量為增減；銀差，則計其交納之費，加以增耗。
HCH_012_078_000169	凡額辦、派辦、京庫歲需與存留、供億諸費，以及土貢方物，悉並為一條，皆計畝徵銀，折辦於官，故謂之一條鞭。
HCH_012_078_000170	立法頗為簡便。
HCH_012_078_000171	嘉靖間，數行數止，至萬曆九年乃盡行之。
HCH_012_078_000172	其後接踵三大徵，頗有加派，事畢旋已。
HCH_012_078_000173	至四十六年，驟增遼餉三百萬。
HCH_012_078_000174	時內帑充積，帝靳不肯發。
HCH_012_078_000175	戶部尚書李汝華乃援徵倭、播例，畝加三釐五毫，天下之賦增二百萬有奇。
HCH_012_078_000176	明年復加三釐五毫。
HCH_012_078_000177	明年，以兵工二部請，復加二釐。
HCH_012_078_000178	通前後九釐，增賦五百二十萬，遂為歲額。
HCH_012_078_000179	所不加者，畿內八府及貴州而已。
HCH_012_078_000180	天啟元年，給事中甄淑言：「遼餉加派，易致不均。蓋天下戶口有戶口之銀，人丁有人丁之銀，田土有田土之銀，有司徵收，總曰銀額。按銀加派，則其數不漏。東西南北之民，甘苦不同，布帛粟米力役之法，徵納不同。惟守令自知其甘苦，而通融其徵納。今因人土之宜，則無偏枯之累。其法，以銀額為主，而通人情，酌土俗，頒示直省。每歲存留、起解各項銀兩之數，以所加餉額，按銀數分派，總提折扣，裒多益寡，期不失餉額而止。如此，則愚民易知，可杜奸胥意為增減之弊。且小民所最苦者，無田之糧，無米之丁，田鬻富室，產去糧存，而猶輸丁賦。宜取額丁、額米，兩衡而定其數，米若干即帶丁若干。買田者，收米便收丁，則縣冊不失丁額，貧民不致賠累，而有司亦免逋賦之患。」
HCH_012_078_000181	下部覆議，從之。
HCH_012_078_000182	崇禎三年，軍興，兵部尚書樑廷棟請增田賦。
HCH_012_078_000183	戶部尚書畢自嚴不能止，乃於九釐外畝復徵三釐。
HCH_012_078_000184	惟順天、永平以新被兵無所加，餘六府畝徵六釐，得他省之半，共增賦百六十五萬四千有奇。
HCH_012_078_000185	後五年，總督盧象升請加宦戶田賦十之一，民糧十兩以上同之。
HCH_012_078_000186	既而概徵每兩一錢，名曰助餉。
HCH_012_078_000187	越二年，復行均輸法，因糧輸餉，畝計米六合，石折銀八錢，又畝加徵一分四釐九絲。
HCH_012_078_000188	越二年，楊嗣昌督師，畝加練餉銀一分。
HCH_012_078_000189	兵部郎張若麒請收兵殘遺產為官莊，分上、中、下，畝納租八斗至二三斗有差。
HCH_012_078_000190	御史衛周胤言：「嗣昌流毒天下，剿練之餉多至七百萬，民怨何極。」
HCH_012_078_000191	御史郝晉亦言：「萬曆末年，合九邊餉止二百八十萬。今加派遼餉至九百萬。剿餉三百三十萬，業已停罷，旋加練餉七百三十餘萬。自古有一年而括二千萬以輸京師，又括京師二千萬以輸邊者乎？」
HCH_012_078_000192	疏語雖切直，而時事危急，不能從也。
HCH_012_078_000193	役法定於洪武元年。
HCH_012_078_000194	田一頃出丁夫一人，不及頃者以他田足之，名曰均工夫。
HCH_012_078_000195	尋編應天十八府州，江西九江、饒州、南康三府均工夫圖冊。
HCH_012_078_000196	每歲農隙赴京，供役三十日遣歸。
HCH_012_078_000197	田多丁少者，以佃人充夫，而田主出米一石資其用。
HCH_012_078_000198	非佃人而計畝出夫者，畝資米二升五合。
HCH_012_078_000199	迨造黃冊成，以一百十戶為一里，裏分十甲曰裏甲。
HCH_012_078_000200	以上、中、下戶為三等，五歲均役，十歲一更造。
HCH_012_078_000201	一歲中諸歲雜目應役者，編第均之，銀、力從所便，曰均徭。
HCH_012_078_000202	他雜役。
HCH_012_078_000203	凡祗應、禁子、弓兵，悉僉市民，毋役糧戶。
HCH_012_078_000204	額外科一錢、役一夫者，罪流徙。
HCH_012_078_000205	後法稍馳，編徭役裏甲者，以戶為斷，放大戶而勾單小。
HCH_012_078_000206	於是議者言，均徭之法，按冊籍丁糧，以資產為宗，核人戶上下，以蓄藏得實也。
HCH_012_078_000207	稽冊籍，則富商大賈免役，而土著困；核人戶，則官吏裏胥輕重其手，而小民益窮蹙。
HCH_012_078_000208	二者交病。
HCH_012_078_000209	然專論丁糧，庶幾古人租庸調之意。
HCH_012_078_000210	乃令以舊編力差、銀差之數當丁糧之數，難易輕重酌其中。
HCH_012_078_000211	役以應差，裏甲除當復者，論丁糧多少編次先後，曰鼠尾冊，按而徵之。
HCH_012_078_000212	市民商賈家殷足而無田產者，聽自佔，以佐銀差。
HCH_012_078_000213	正統初，僉事夏時創行於江西，他省仿行之，役以稍平。
HCH_012_078_000214	其後諸上供者，官為支解，而官府公私所須，復給所輸銀於坊裏長，責其營辦。
HCH_012_078_000215	給不能一二，供者或什伯，甚至無所給，惟計值年裏甲祗應夫馬飲食，而裏甲病矣。
HCH_012_078_000216	凡均徭，解戶上供為京徭，主納為中官留難，不易中納，往復改貿，率至傾產。
HCH_012_078_000217	其他役苛索之弊，不可毛舉。
HCH_012_078_000218	明初，令天下貢土所有，有常額，珍奇玩好不與。
HCH_012_078_000219	即須用，編之裏甲，出銀以市。
HCH_012_078_000220	顧其目冗碎，奸黠者緣為利孔。
HCH_012_078_000221	又大工營繕，祠官祝釐，資用繁溢。
HCH_012_078_000222	迨至中葉，倭寇交訌，仍歲河決，國用耗殫。
HCH_012_078_000223	於是裏甲、均徭，浮於歲額矣。
HCH_012_078_000224	凡役民，自裏甲正辦外，如糧長、解戶、馬船頭、館夫、祗候、弓兵、皁隸、門禁、廚鬥為常役。
HCH_012_078_000225	後又有斫薪、擡柴、修河、修倉、運料、接遞、站鋪、插淺夫之類，因事編僉，歲有增益。
HCH_012_078_000226	嘉、隆後，行一條鞭法，通計一省丁糧，均派一省徭役。
HCH_012_078_000227	於是均徭、裏甲與兩稅為一，小民得無擾，而事亦易集。
HCH_012_078_000228	然糧長、裏長，名罷實存，諸役卒至，復僉農氓。
HCH_012_078_000229	條鞭法行十餘年，規制頓紊，不能盡遵也。
HCH_012_078_000230	天啟時，御史李應升疏陳十害，其三條切言馬夫、河役、糧甲、修辦、白役擾民之弊。
HCH_012_078_000231	崇禎三年，河南巡撫範景文言：「民所患苦，莫如差役。錢糧有收戶、解戶、驛遞有馬戶，供應有行戶，皆僉有力之家充之，名曰大戶。究之，所僉非富民，中人之產輒為之傾。自變為條鞭法，以境內之役均於境內之糧，宜少蘇矣，乃民間仍歲奔走，罄資津貼，是條鞭行而大戶未嘗革也。」
HCH_012_078_000232	時給事中劉懋復奏裁驛夫，徵調往來，仍責編戶。
HCH_012_078_000233	驛夫無所得食，至相率從流賊為亂云。
HCH_012_078_000234	凡軍、匠、竈戶，役皆永充。
HCH_012_078_000235	軍戶死若逃者，於原籍勾補。
HCH_012_078_000236	匠戶二等：曰住坐，曰輪班。
HCH_012_078_000237	住坐之匠，月上工十日。
HCH_012_078_000238	不赴班者，輸罰班銀月六錢，故謂之輸班。
HCH_012_078_000239	監局中官，多佔匠役，又括充幼匠，動以千計，死若逃者，勾補如軍。
HCH_012_078_000240	竈戶有上、中、下三等。
HCH_012_078_000241	每一正丁，貼以餘丁。
HCH_012_078_000242	上、中戶丁力多，或貼二三丁，下戶概予優免。
HCH_012_078_000243	他如陵戶、園戶、海戶、廟戶、幡夫、庫役，瑣末不可勝計。
HCH_012_078_000244	明初，工役之繁，自營建兩京宗廟、宮殿、闕門、王邸，採木、陶甓，工匠造作，以萬萬計。
HCH_012_078_000245	所在築城、浚陂，百役具舉。
HCH_012_078_000246	迄於洪、宣，郊壇、倉庾猶未迄工。
HCH_012_078_000247	正統、天順之際，三殿、兩宮、南內、離宮，次第興建。
HCH_012_078_000248	弘治時，大學士劉吉言：「近年工役，俱摘發京營軍士，內外軍官禁不得估工用大小多寡。本用五千人，奏請至一二萬，無所稽覈。」
HCH_012_078_000249	禮部尚書倪嶽言：「諸役費動以數十萬計，水旱相仍，乞少停止。」
HCH_012_078_000250	南京禮部尚書童軒復陳工役之苦。
HCH_012_078_000251	吏部尚書林瀚亦言：「兩畿頻年兇災，困於百役，窮愁怨歎。山、陝供億軍興，雲南、廣東西徵發剿叛。山東、河南、湖廣、四川、江西興造王邸，財力不贍。浙江、福建辦物料，視舊日增多。庫藏空匱，不可不慮。」
HCH_012_078_000252	帝皆納其言，然不能盡從也。
HCH_012_078_000253	武宗時，乾清宮役尤大。
HCH_012_078_000254	乙太素殿初制樸儉，改作雕峻，用銀至二千萬餘兩，役工匠三千餘人，歲支工食米萬三千餘石。
HCH_012_078_000255	又修凝翠、昭和、崇智、光霽諸殿，御馬臨、鐘鼓司、南城豹房新房、火藥庫皆鼎新之。
HCH_012_078_000256	權幸閹宦莊園祠墓香火寺觀，工部復竊官銀以媚焉。
HCH_012_078_000257	給事中張原言：「工匠養父母妻子，尺籍之兵禦外侮，京營之軍衛王室，今奈何令民無所賴，兵不麗伍，利歸私門，怨叢公室乎？」
HCH_012_078_000258	疏入，謫貴州新添驛丞。
HCH_012_078_000259	世宗營建最繁，十五年以前，名為汰省，而經費已六七百萬。
HCH_012_078_000260	其後增十數倍，齋宮、祕殿並時而興。
HCH_012_078_000261	工廠二三十處，役匠數萬人，軍稱之，歲費二三百萬。
HCH_012_078_000262	其時宗廟、萬壽宮災，帝不之省，營繕益急。
HCH_012_078_000263	經費不敷，乃令臣民獻助；獻助不已，復行開納。
HCH_012_078_000264	勞民耗財，視武宗過之。
HCH_012_078_000265	萬曆以後，營建織造，溢經制數倍，加以徵調、開採，民不得少休。
HCH_012_078_000266	迨閹人亂政，建第營墳，僭越亡等，功德私祠遍天下。
HCH_012_078_000267	蓋二百餘年，民力殫殘久矣。
HCH_012_078_000268	其以職役優免者，少者一二丁，多者至十六丁。
HCH_012_078_000269	萬歷時，免田有至二三千者。
HCH_012_078_000270	至若賦稅蠲免，有恩蠲，有災蠲。
HCH_012_078_000271	太祖之訓，凡四方水旱輒免稅，豐歲無災傷，亦擇地瘠民貧者優免之。
HCH_012_078_000272	凡歲災，盡蠲二稅，且貸以米，甚者賜米布若鈔。
HCH_012_078_000273	又設預備倉，令老人運鈔易米以儲粟。
HCH_012_078_000274	荊、蘄水災，命戶部主事趙乾往振，遷延半載，怒而誅之。
HCH_012_078_000275	青州旱蝗，有司不以聞，逮治其官吏。
HCH_012_078_000276	旱傷州縣，有司不奏，許耆民申訴，處以極刑。
