HCH_012_045_000001	福建《禹貢》揚州之域。
HCH_012_045_000107	西北有營頭街巡檢司。
HCH_012_045_000108	建陽府西北。
HCH_012_045_000109	西北有西山。
HCH_012_045_000110	東南有錦江，亦曰交溪，有二源，合流於縣東東山下，南流達於建溪。
HCH_012_045_000111	崇安府西北。
HCH_012_045_000112	南有武夷山，中有清溪，九曲流入崇溪。
HCH_012_045_000113	西北有分水嶺，上有分水關巡檢司。
HCH_012_045_000114	其水西流者入江西境，東流者入縣境，即崇溪源。
HCH_012_045_000115	俗謂之大溪，經城西而南出，亦謂之西溪。
HCH_012_045_000116	其別源出縣東北之岑陽山，亦曰東溪，西南流合於西溪，又南合武夷水而入建陽縣界，即錦江之上源也。
HCH_012_045_000117	又西北有溫林、岑陽、桐木、焦嶺、谷口、寮竹、觀音等關，與分水關爲崇安入關。
HCH_012_045_000118	浦城府東北。
HCH_012_045_000119	北有漁梁山，建溪之源出焉。
HCH_012_045_000120	又有蓋仙山，有黎嶺，又有楓嶺，一名大竿嶺，皆浙、閩通途。
HCH_012_045_000121	又東北有柘嶺，與浙江麗水縣分界，柘水出焉，流合大溪。
HCH_012_045_000122	又南有南浦溪，亦曰大溪，即建溪也，下合建陽之交溪。
HCH_012_045_000123	東有高泉、東北有溪源、西北有盆亭三巡檢司。
HCH_012_045_000124	松溪府東。
HCH_012_045_000125	東有萬山。
HCH_012_045_000126	東北有鷲峯山，接浦城及浙江之龍泉界。
HCH_012_045_000127	南有松溪，源出浙江慶元縣，亦謂之鬆源水，又西有杉溪，下流俱入於建溪。
HCH_012_045_000128	北有二十四都巡檢司。
HCH_012_045_000129	南有東關巡檢司，後遷於烏鞍嶺，又遷於鐵嶺，又遷於峽橋。
HCH_012_045_000130	政和府東。
HCH_012_045_000131	南有七星溪，源出縣東之銅盤山，下流合於松溪。
HCH_012_045_000132	又東有丹溪，流經福安縣入海。
HCH_012_045_000133	又東南有赤巖巡檢司。
HCH_012_045_000134	壽寧府東。
HCH_012_045_000135	景泰六年八月以政和縣楊海村置，析福安縣地益之。
HCH_012_045_000136	東有蟾溪，即福寧州長溪上源也。
HCH_012_045_000137	東有漁溪巡檢司，後遷縣北之官台山，又遷斜灘鎮。
HCH_012_045_000138	延平府元延平路，屬福建道宣慰司。
HCH_012_045_000139	洪武元年爲府。
HCH_012_045_000140	領縣七。
HCH_012_045_000141	東南距布政司四百五里。
HCH_012_045_000142	南平倚。
HCH_012_045_000143	南有九峯山。
HCH_012_045_000144	東北有衍仙山。
HCH_012_045_000145	城東南有劍溪，即建江也，亦曰東溪，自建寧府流入，南經黯淡灘，又西逕劍津，與西溪合。
HCH_012_045_000146	西溪出汀、邵二府之境，至縣西，合於沙縣之沙溪，爲沙溪口；又東至劍津，合於東溪；又南至尤溪口，合於大溪，亦名南溪；又東至福州府，入於海；俗亦謂之三溪。
HCH_012_045_000147	東南有蒼峽、西北有大曆二巡檢司。
HCH_012_045_000148	將樂府西。
HCH_012_045_000149	南有天階山。
HCH_012_045_000150	西北有百丈山。
HCH_012_045_000151	南有將溪，亦曰大溪，即西溪之上源也。
HCH_012_045_000152	又西北有梅溪，自邵武界流入，合於大溪。
HCH_012_045_000153	又北有萬安寨巡檢司。
HCH_012_045_000154	沙府西南。
HCH_012_045_000155	西北有幼山。
HCH_012_045_000156	縣治南有沙溪，亦名太史溪，自永安縣流入，經縣東，有霹靂等灘，下流合於西溪。
HCH_012_045_000157	北有北鄉寨巡檢司。
HCH_012_045_000158	尤溪府南。
HCH_012_045_000159	北有丹溪嶺，一名桃木嶺，下有丹溪。
HCH_012_045_000160	東有尤溪，其上源一出龍巖縣，一出德化縣，合流於縣西南，又北流會湯泉等二十溪，北出尤口，入建溪，亦曰湖頭溪。
HCH_012_045_000161	西有英果砦、又有高才阪二巡檢司。
HCH_012_045_000162	順昌府西少北。
HCH_012_045_000163	南有徘徊嶺。
HCH_012_045_000164	西北有順陽溪，源出建陽縣，又東經縣南，與將溪合，又東經沙口，合邵武縣之沙溪，又東經縣西，與西溪合，西溪即邵武縣之紫雲溪也，又東入南平縣界，爲南平之西溪。
HCH_012_045_000165	又西北有仁壽鎮巡檢司。
HCH_012_045_000166	永安府西南。
HCH_012_045_000167	本沙縣之浮流巡檢司，正統十四年置永安千戶所於此。
HCH_012_045_000168	景泰三年改置縣，析尤溪縣地益之。
HCH_012_045_000169	東北有貢川山。
HCH_012_045_000170	東南有石羅山。
HCH_012_045_000171	西有燕溪，四源合流，經城東北，下流爲沙縣之沙溪。
HCH_012_045_000172	又西有安砂鎮、西南有湖口寨二巡檢司。
HCH_012_045_000173	又西北有黃楊巡檢司，廢。
HCH_012_045_000174	大田府西南。
HCH_012_045_000175	嘉靖十五年二月以尤溪縣之大田置，析永安、漳平、德化三縣地益之。
HCH_012_045_000176	北有五臺山。
HCH_012_045_000177	南有大仙山。
HCH_012_045_000178	東有銀瓶山，產銀鐵。
HCH_012_045_000179	又南有尤溪，自龍巖縣流入，又東入尤溪縣境。
HCH_012_045_000180	又東南有花橋巡檢司。
HCH_012_045_000181	又西南有桃源店巡檢司，本屬漳平縣，後來屬。
HCH_012_045_000182	北有英寨、西南有安仁隘二巡檢司，後廢。
HCH_012_045_000183	汀州府元汀州路，屬福建道宣慰司。
HCH_012_045_000184	洪武元年爲府。
HCH_012_045_000185	領縣八。
HCH_012_045_000186	東距布政司九百七十五里。
HCH_012_045_000187	長汀倚。
HCH_012_045_000188	北有臥龍山。
HCH_012_045_000189	又北有新樂山，貢水出焉，流入江西界。
HCH_012_045_000190	西有新路嶺。
HCH_012_045_000191	東有鄞江，即東溪，亦曰左溪，自寧化縣流入，下流經廣東大埔縣入海，中有五百灘，亦謂之汀水。
HCH_012_045_000192	又東南有正溪，西有西溪，北有北溪，南有南溪，俱合於東溪。
HCH_012_045_000193	又西有古城寨巡檢司。
HCH_012_045_000194	寧化府東北。
HCH_012_045_000195	南有潭飛漈。
HCH_012_045_000196	又有大溪，源出縣北萬斛泉，分流爲清流縣之清溪，其正流入長汀縣，爲鄞江上流。
HCH_012_045_000197	北有安遠寨巡檢司。
HCH_012_045_000198	上杭府南。
HCH_012_045_000199	西有金山，上有膽泉，浸鐵能成銅。
HCH_012_045_000200	西南有羊廚山，產礦。
HCH_012_045_000201	南有大溪。
HCH_012_045_000202	武平府西南。
HCH_012_045_000203	北有黃公嶺。
HCH_012_045_000204	南有化龍溪，下流入廣東程鄉縣。
HCH_012_045_000205	西南有武平城，洪武二十四年正月置武平千戶所於此。
HCH_012_045_000206	東南有象洞巡檢司，後移於縣西南之懸繩隘。
HCH_012_045_000207	北有永平寨巡檢司，後移縣西北之貝寨。
HCH_012_045_000208	清流府東北。
HCH_012_045_000209	南有豐山，東南有鐵石山，南臨九龍溪，有鐵石磯頭巡檢司。
HCH_012_045_000210	西南有清溪，自寧化縣流入，東北合半溪，又東南經九龍灘而入永安縣界，亦曰龍溪，即燕溪之上源。
HCH_012_045_000211	連城府東南。
HCH_012_045_000212	本曰蓮城，洪武十七年後改「蓮。」
HCH_012_045_000213	曰：「連」。
HCH_012_045_000214	東有蓮峯山。
HCH_012_045_000215	南有文溪，下流達於清流縣之清溪。
HCH_012_045_000216	西南有北園寨巡檢司，後遷於縣南之朗村隘，後又遷於縣西南之新泉隘。
HCH_012_045_000217	歸化府東北。
HCH_012_045_000218	成化七年正月以清流縣之明溪鎮置，析將樂、沙縣、寧化三縣地益之。
HCH_012_045_000219	北有鐵嶺。
HCH_012_045_000220	南有歸化溪，下流合將樂縣之將溪。
HCH_012_045_000221	東有夏陽巡檢司。
HCH_012_045_000222	永定府南。
HCH_012_045_000223	成化十四年以上杭縣溪南里之田心地置，析勝運等四里益之。
HCH_012_045_000224	西有大溪，即汀水，自上杭縣流經此，又東入廣東大埔縣界。
HCH_012_045_000225	東南有三層嶺巡檢司。
HCH_012_045_000226	東北有太平巡檢司，後徙高坡。
HCH_012_045_000227	西南有興化巡檢司，治溪南里古鎮，尋廢，復置，後遷於上杭縣之峯頭。
HCH_012_045_000228	邵武府元邵武路，屬福建道宣慰司。
HCH_012_045_000229	太祖吳元年爲府。
HCH_012_045_000230	領縣四。
HCH_012_045_000231	東南距布政司六百七十里。
HCH_012_045_000232	邵武倚。
HCH_012_045_000233	東有三臺山。
HCH_012_045_000234	東南有七臺山，又有道人峯。
HCH_012_045_000235	又有樵溪，源自樵嵐山，經城內，出北門，合紫雲溪，流至順昌縣爲順陽溪。
HCH_012_045_000236	又東南有水口巡檢司。
HCH_012_045_000237	又東有拿口、南有同巡、東北有楊坊三巡檢司，廢。
HCH_012_045_000238	光澤府西北。
HCH_012_045_000239	北有云際嶺。
HCH_012_045_000240	西北有杉嶺，杉關在其上，與江西南城縣接界。
HCH_012_045_000241	杭川出焉，亦名大溪，下流入紫雲溪。
HCH_012_045_000242	又有大寺寨巡檢司，在杉關東。
HCH_012_045_000243	又西北有黃土關。
HCH_012_045_000244	泰寧府西南。
HCH_012_045_000245	西有金饒山。
HCH_012_045_000246	西北有大杉嶺。
HCH_012_045_000247	西有二十四溪，南有灘江流合焉，下流會於樵溪。
HCH_012_045_000248	建寧府西南。
HCH_012_045_000249	北有百丈嶺，藍溪出焉。
HCH_012_045_000250	南有綏江，源出金饒山，一名濉江，亦名寧溪，至綏城口，合藍溪流入泰寧縣界。
HCH_012_045_000251	西有西安巡檢司，本治裏心保，後遷丘坊隘，尋廢，後復置，後又遷新安保之黃泥鋪。
HCH_012_045_000252	泉州府元泉州路，屬福建道宣慰司。
HCH_012_045_000253	洪武元年爲府。
HCH_012_045_000254	領縣七。
HCH_012_045_000255	東距布政司四百十里。
HCH_012_045_000256	晉江倚。
HCH_012_045_000257	東北有泉山，一名清源。
HCH_012_045_000258	東南有寶蓋山。
HCH_012_045_000259	南有靈源山。
HCH_012_045_000260	東南濱海，有鹽場。
HCH_012_045_000261	海中有彭湖嶼。
HCH_012_045_000262	南有晉江，自南安縣流入，經城西石塔山下，又東南至岱嶼入海。
HCH_012_045_000263	東北有洛陽江，南流入海。
HCH_012_045_000264	又東南有永寧衛，南有守禦福泉千戶所，俱洪武二十一年二月置。
HCH_012_045_000265	東南有祥芝、又有烏潯、南有深滬、又有圍頭四巡檢司。
HCH_012_045_000266	西南有安平城，嘉靖中築。
HCH_012_045_000267	東南有石湖城，萬曆中築。
HCH_012_045_000268	南安府西少北。
HCH_012_045_000269	東南濱海。
HCH_012_045_000270	南有黃龍溪，即晉江之上流，西有桃林溪流入焉。
HCH_012_045_000271	南有石井巡檢司。
HCH_012_045_000272	又西北有澳頭、西南有達河二巡檢司，後廢。
HCH_012_045_000273	同安府西南。
HCH_012_045_000274	西有文圃山。
HCH_012_045_000275	南濱海，有鹽場。
HCH_012_045_000276	西北有西溪，流合縣東之東溪、縣西之苧溪，又東南注於海。
HCH_012_045_000277	西南有守禦金門千戶所，西有守禦高浦千戶所，俱洪武二十一年二月置。
HCH_012_045_000278	又西南有永寧中左千戶所，在嘉禾嶼，即廈門也，洪武二十七年二月置。
HCH_012_045_000279	西有苧溪、南有塔頭山、東南有田浦、又有陳坑四巡檢司。
HCH_012_045_000280	又西南有白礁巡檢司，後移於縣西之珝口寨。
HCH_012_045_000281	東南有烈嶼巡檢司，後移於石潯港口。
HCH_012_045_000282	又有官澳巡檢司，後移於踏石寨。
HCH_012_045_000283	又有峯上巡檢司，後移於縣西之下店港口。
HCH_012_045_000284	惠安府東北。
HCH_012_045_000285	東南濱海，有鹽場。
HCH_012_045_000286	西有洛陽江。
HCH_012_045_000287	又東南有守禦崇武千戶所，洪武二十一年二月置，嘉靖中移於縣東北。
HCH_012_045_000288	城東有黃崎、南有獺窟、東南有小泎、東北有峯尾四巡檢司。
HCH_012_045_000289	又東北有塗嶺、又有沙格、東南有小兜三巡檢司，洪武二十年廢。
HCH_012_045_000290	安溪府西。
HCH_012_045_000291	西北有佛耳山。
HCH_012_045_000292	南有藍溪。
HCH_012_045_000293	又西北有源口渡巡檢司，後遷白華堡，尋復。
HCH_012_045_000294	永春府西北。
HCH_012_045_000295	西北有雪山，桃林溪出焉，東逕南安縣，北合藍溪，爲雙溪口，又東逕南安縣，南合於黃龍溪。
HCH_012_045_000296	西有陳巖寨巡檢司，洪武中廢。
HCH_012_045_000297	德化府西北。
HCH_012_045_000298	西北有戴雲山。
HCH_012_045_000299	西有太湖山。
HCH_012_045_000300	南有丁溪，又有滻溪，合而北流，入興化仙遊境。
HCH_012_045_000301	又西北有高鎮巡檢司，本東西團，後徙治，更名。
HCH_012_045_000302	東南有虎豹關。
HCH_012_045_000303	漳州府元漳州路，屬福建道宣慰司。
HCH_012_045_000304	洪武元年爲府。
HCH_012_045_000305	領縣十。
HCH_012_045_000306	東北距布政司七百里。
HCH_012_045_000307	龍溪倚。
HCH_012_045_000308	東有岐山。
HCH_012_045_000309	西有天寶山。
HCH_012_045_000310	北有華封嶺，一名龍頭嶺。
HCH_012_045_000311	東南濱海，海中有丹霞等嶼。
HCH_012_045_000312	又東北有九龍江，亦名北溪，其上源出長汀及沙縣，流入縣界，歷龍頭嶺下，謂之峽中，至縣東出峽，爲柳營江，又南有南溪流入焉。
HCH_012_045_000313	又東南爲鎮門港，入於海。
HCH_012_045_000314	有柳營江巡檢司。
HCH_012_045_000315	又南有九龍嶺巡檢司。
HCH_012_045_000316	漳浦府南。
HCH_012_045_000317	南有梁山，又東南有良山，與梁山相峙。
HCH_012_045_000318	東北有大武山。
HCH_012_045_000319	縣東南兩面皆濱海。
HCH_012_045_000320	南有漳江，亦曰云霄溪，合李澳溪入於海。
HCH_012_045_000321	又有石塍溪。
HCH_012_045_000322	東北又有鎮海衛，東有守禦六鰲千戶所。
HCH_012_045_000323	澳東南有古雷、又有後葛、東有井尾澳、西南有盤陀嶺四巡檢司。
HCH_012_045_000324	又東南有青山巡檢司，後徙治月峙，又西南有云霄鎮，俱洪武二十一年二月內置。
HCH_012_045_000325	龍巖府西。
HCH_012_045_000326	東有龍巖山，又有東寶山，舊產銀鉛。
HCH_012_045_000327	西有紫金山。
HCH_012_045_000328	北有九侯山。
HCH_012_045_000329	又南有龍川，下流入漳平界，爲九龍江上源。
HCH_012_045_000330	東北有雁石巡檢司，後移於皞林口。
HCH_012_045_000331	長泰府東。
HCH_012_045_000332	南有長泰溪，下流入九龍江。
HCH_012_045_000333	東南有朝天嶺巡檢司，後移於溪口。
HCH_012_045_000334	南靖府西。
HCH_012_045_000335	舊治在西南，雙溪之北。
HCH_012_045_000336	嘉靖四十五年北徙大帽山麓。
HCH_012_045_000337	萬曆二十三年復還舊治。
HCH_012_045_000338	北有歐寮山。
HCH_012_045_000339	南有雙溪，入龍溪縣界，爲南溪。
HCH_012_045_000340	北有永豐、西北有和溪二巡檢司。
HCH_012_045_000341	又有小溪、寒溪二巡檢司，後廢。
HCH_012_045_000342	漳平府西北。
HCH_012_045_000343	成化六年以龍巖縣九龍鄉置，析居仁等五里地益之。
HCH_012_045_000344	東南有象湖山。
HCH_012_045_000345	南有百家畲洞，踞龍巖、安溪、龍溪、南靖、漳平五縣之交。
HCH_012_045_000346	又有九龍溪，自龍巖縣流經此，下流入龍溪縣。
HCH_012_045_000347	南有歸化巡檢司，後移於縣東之析溪口。
HCH_012_045_000348	又東北有溪南巡檢司，後廢。
HCH_012_045_000349	平和府西南。
HCH_012_045_000350	正德十四年六月以南靖縣之河頭大洋陂置，析漳浦縣地益之。
HCH_012_045_000351	東南有三平山。
HCH_012_045_000352	東有大峯山，河頭溪所出，分數流達海，又西有盧溪流合焉。
HCH_012_045_000353	有盧溪巡檢司，後遷枋頭板，改名漳汀巡檢司。
HCH_012_045_000354	詔安府南。
HCH_012_045_000355	本南詔守禦千戶所，弘治十八年置。
HCH_012_045_000356	嘉靖九年十二月改爲縣。
HCH_012_045_000357	南臨海，海濱有川陵山，海中有南澳山。
HCH_012_045_000358	又東有東溪，爲河頭溪分流，東南流入海。
HCH_012_045_000359	又南有守禦玄鍾千戶所，東有守禦銅山千戶所，俱洪武二十一年二月置。
HCH_012_045_000360	東有金石、洪淡二巡檢司。
HCH_012_045_000361	西南有分水關，漳、潮分界，巡檢司治焉。
HCH_012_045_000362	海澄府東南。
HCH_012_045_000363	嘉靖四十五年十二月以龍溪縣之靖海館置，析漳浦縣地益之。
HCH_012_045_000364	東北濱海。
HCH_012_045_000365	西有南溪，自龍溪縣流入，與柳營江合流入海。
HCH_012_045_000366	東有海門巡檢司，後遷於青浦社。
HCH_012_045_000367	東北有濠門巡檢司，本治海滄洋，後遷縣東北之嵩嶼。
HCH_012_045_000368	東有島尾巡檢司。
HCH_012_045_000369	又西北有石馬鎮。
HCH_012_045_000370	寧洋府西北。
HCH_012_045_000371	本龍巖縣之東西洋巡檢司，正統十一年置。
HCH_012_045_000372	嘉靖四十五年十二月改置縣，又析大田、永安二縣地益之。
HCH_012_045_000373	南有香寮山。
HCH_012_045_000374	東南有東洋，溪流所匯也。
HCH_012_045_000375	福寧州元屬福州路。
HCH_012_045_000376	洪武二年八月降爲縣，屬福州府。
HCH_012_045_000377	成化九年三月升爲州，直隸布政司。
HCH_012_045_000378	北有龍首山。
HCH_012_045_000379	東有松山，山下有烽火門水寨，正統九年自海中三沙堡移此。
HCH_012_045_000380	東北有大姥山。
HCH_012_045_000381	東南濱海，海中有嵛山、台山、官澳山、屏風嶼。
HCH_012_045_000382	東有白水江。
HCH_012_045_000383	西有長溪，源出壽寧縣界，至縣西南古鎮門入海。
HCH_012_045_000384	東有福寧衛，南有守禦大金千戶所，俱洪武二十一年二月置。
HCH_012_045_000385	西北有柘洋巡檢司，又有蘆門巡檢司，後移桐山堡。
HCH_012_045_000386	又東北有大篔簹巡檢司，後移秦嶼堡。
HCH_012_045_000387	又東有清灣巡檢司，後徙牙裏堡。
HCH_012_045_000388	南有高羅巡檢司，後移閭峽堡。
HCH_012_045_000389	又有延亭巡檢司，後移下滸堡。
HCH_012_045_000390	又東北有蔣洋，又有小瀾，西北有小澳、庫溪，西南有藍田，南有西臼六巡檢司，後廢。
HCH_012_045_000391	領縣二。
HCH_012_045_000392	西南距布政司五百四十五里。
HCH_012_045_000393	寧德州西南。
HCH_012_045_000394	洪武二年屬福州府。
HCH_012_045_000395	成化九年來屬。
HCH_012_045_000396	北有霍童山，有龜嶼。
HCH_012_045_000397	東南濱海，中有官扈山，下有官井洋。
HCH_012_045_000398	又東有瑞峯，亦在海中。
HCH_012_045_000399	西有穹窿溪，西南有赤鑑湖，北有外渺溪，下流俱達於海。
HCH_012_045_000400	北有東洋麻嶺巡檢司，後徙涵村，又徙縣東北之雲淡門，又徙縣東之黃灣，後還故治。
HCH_012_045_000401	南有南靖關。
HCH_012_045_000402	東有長崎鎮。
HCH_012_045_000403	福安州西北。
HCH_012_045_000404	洪武二年屬福州府。
HCH_012_045_000405	成化九年來屬。
HCH_012_045_000406	西南有城山。
HCH_012_045_000407	海在南。
HCH_012_045_000408	西北有長溪，東南入福寧州境。
HCH_012_045_000409	西北有白石巡檢司，後徙於縣東南之黃崎鎮。
HCH_012_045_000410	廣東《禹貢》揚州之域及揚州徼外。
HCH_012_045_000411	元置廣東道宣慰使司，治廣州路。
HCH_012_045_000412	屬江西行中書省。
HCH_012_045_000413	又置海北海南道宣慰使司，治雷州路。
HCH_012_045_000414	屬湖廣行中書省。
HCH_012_045_000415	洪武二年三月以海北海南道屬廣西行中書省。
HCH_012_045_000416	四月改廣東道爲廣東等處行中書省。
HCH_012_045_000417	六月以海南海北道所領並屬焉。
HCH_012_045_000418	四年十一月置廣東都衛。
HCH_012_045_000419	與行中書省同治。
HCH_012_045_000420	八年十月改都衛爲廣東都指揮使司。
HCH_012_045_000421	九年六月改行中書省爲承宣布政使司。
HCH_012_045_000422	領府十，直隸州一，屬州七，縣七十五。
HCH_012_045_000423	爲裏四千二十八。
HCH_012_045_000424	北至五嶺，與江西界。
HCH_012_045_000425	東至潮州，與福建界。
HCH_012_045_000426	西至欽州，與廣西界。
HCH_012_045_000427	南至瓊海。
HCH_012_045_000428	距南京四千三百里，京師七千八百三十五里。
HCH_012_045_000429	洪武二十六年編戶六十七萬五千五百九十九，口三百萬七千九百三十二。
HCH_012_045_000430	弘治四年，戶四十六萬七千三百九十，口一百八十一萬七千三百八十四。
HCH_012_045_000431	萬曆六年，戶五十三萬七百一十二，口五百四萬六百五十五。
HCH_012_045_000432	廣州府元廣州路，屬廣東道宣慰司。
HCH_012_045_000433	洪武元年爲府。
HCH_012_045_000434	領州一，縣十五：南海倚。
HCH_012_045_000435	西北有石門山、雙女山。
HCH_012_045_000436	南濱海。
HCH_012_045_000437	又南有三江口。
HCH_012_045_000438	三江者，一曰西江，上流合黔、鬱、桂三水，自廣西梧州府流入；一曰北江，即湞水；一曰東江，即龍川水。
HCH_012_045_000439	俱與西江會，經番禺縣南，入於南海。
HCH_012_045_000440	西北有三江巡檢司，本治側水村，後遷村堡。
HCH_012_045_000441	又有金利、西南有神安、又有黃鼎、又有江浦四巡檢司。
HCH_012_045_000442	又南有五斗口巡檢司，後遷磨刀口，又遷佛山鎮。
HCH_012_045_000443	番禺倚。
HCH_012_045_000444	在城有番、禺二山，縣是以名。
HCH_012_045_000445	東有鹿步、南有沙灣、北有慕德、東南有茭塘、又有獅嶺五巡檢司。
