HCH_012_289_000001	從古忠臣義士，為國捐生，節炳一時，名垂百世，歷代以來，備極表章，尚已。
HCH_012_289_000149	洪武五年秋，蒙古兵突入城。
HCH_012_289_000150	裏率兵蒼戰，死之。
HCH_012_289_000151	師勝，興化人，峨眉知縣。
HCH_012_289_000152	洪武十三年率民兵討賊彭普貴，戰死。
HCH_012_289_000153	詔褒恤。
HCH_012_289_000154	敬，增城人。
HCH_012_289_000155	洪武十四年舉賢良，為曲靖府經歷，署劍川州事。
HCH_012_289_000156	鄰寇來攻，敬禦之。
HCH_012_289_000157	官兵寡，欲退，敬瞋目大呼，力戰死。
HCH_012_289_000158	命恤其家。
HCH_012_289_000159	得，全椒人，龍裏守禦所千戶。
HCH_012_289_000160	洪武三十年，古州上婆洞蠻作亂，得與鎮守將井孚守城。
HCH_012_289_000161	賊燒門急攻，二人開門奮擊，得中毒弩死，孚戰死。
HCH_012_289_000162	贈得指揮僉事，孚正千戶，子孫世襲。
HCH_012_289_000163	王綱，字性常，余姚人。
HCH_012_289_000164	有文武才。
HCH_012_289_000165	善劉基，常語曰：「老夫樂山林，異時得誌，勿以世緣累我。」
HCH_012_289_000166	洪武四年以基薦征至京師，年七十，齒發神色如少壯。
HCH_012_289_000167	太祖異之，策以治道，擢兵部郎。
HCH_012_289_000168	潮民弗靖，除廣東參議，督兵餉，嘆曰：「吾命盡此矣。」
HCH_012_289_000169	以書訣家人，攜子彥達行，單舸往諭，潮民叩首服罪。
HCH_012_289_000170	還抵增城，遇海寇曹真，截舟羅拜，願得為帥。
HCH_012_289_000171	綱諭以禍福，不從，則奮罵。
HCH_012_289_000172	賊舁之去，為壇坐綱，日拜請。
HCH_012_289_000173	綱罵不絕聲，遂遇害。
HCH_012_289_000174	彥達年十六，罵賊求死，欲並殺之。
HCH_012_289_000175	其酋曰：「父忠子孝，殺之不詳。」
HCH_012_289_000176	與之食，不顧，令綴羊革裹父屍而出。
HCH_012_289_000177	御史郭純以聞，詔立廟死所。
HCH_012_289_000178	彥達以蔭得官，痛父，終身不仕。
HCH_012_289_000179	王祎，字子充，義烏人。
HCH_012_289_000180	幼敏慧，及長，身長嶽立，屹有偉度。
HCH_012_289_000181	師柳貫、黃溍，遂以文章名世。
HCH_012_289_000182	睹元政衰敝，為書七八千言上時宰。
HCH_012_289_000183	危素、張起巖並薦，不報。
HCH_012_289_000184	隱青巖山，著書，名日盛。
HCH_012_289_000185	太祖取婺州，召見，用為中書省掾史。
HCH_012_289_000186	征江西，祎獻頌。
HCH_012_289_000187	太祖喜曰：「江南有二儒，卿與宋濂耳。學問之博，卿不如濂。才思之雄，濂不如卿。」
HCH_012_289_000188	太祖創禮賢館，李文忠薦祎及許元、王天錫，召置館中。
HCH_012_289_000189	旋授江南儒學提舉司校理，累遷侍禮郎，掌起居註。
HCH_012_289_000190	同知南康府事，多惠政，賜金帶寵之。
HCH_012_289_000191	太祖將即位，召還，議禮。
HCH_012_289_000192	坐事忤旨，出為漳州府通判。
HCH_012_289_000193	洪武元年八月，上疏言：「祈天永命之要，在忠厚以存心，寬大以為政，法天道，順人心。雷霆霜雪，可暫不可常。浙西既平，科斂當減。」
HCH_012_289_000194	太祖嘉納之，然不能盡從也。
HCH_012_289_000195	明年修《元史》，命祎與濂為總裁。
HCH_012_289_000196	祎史事擅長，裁煩剔穢，力任筆削。
HCH_012_289_000197	書成，擢翰林待制，同知制誥兼國史院編修官。
HCH_012_289_000198	奉詔預教大本堂，經明理達，善開導。
HCH_012_289_000199	召對殿廷，必賜坐，從容宴語。
HCH_012_289_000200	未久，奉使吐蕃，未至，召還。
HCH_012_289_000201	五年正月議招諭雲南，命祎賫詔往。
HCH_012_289_000202	至則諭梁王，亟宜奉版圖歸職方，不然天討旦夕至。
HCH_012_289_000203	王不聽，館別室。
HCH_012_289_000204	他日，又諭曰：「朝廷以雲南百萬生靈，不欲殲於鋒刃。若恃險遠，抗明命，龍驤鹢艫，會戰昆明，悔無及矣。」
HCH_012_289_000205	梁王駭服，即為改館。
HCH_012_289_000206	會元遣脫脫征餉，脅王以危言，必欲殺祎。
HCH_012_289_000207	王不得已出祎見之，脫脫欲屈祎，祎叱曰：「天既訖汝元命，我朝實代之。汝爝火余燼，敢與日月爭明邪！且我與汝皆使也，豈為汝屈！」
HCH_012_289_000208	或勸脫脫曰：「王公素負重名，不可害。」
HCH_012_289_000209	脫脫攘臂曰：「今雖孔聖，義不得存。」
HCH_012_289_000210	祎顧王曰：「汝殺我，天兵繼至，汝禍不旋踵矣。」
HCH_012_289_000211	遂遇害，時十二月二十四日也。
HCH_012_289_000212	梁王遣使致祭，具衣冠斂之。
HCH_012_289_000213	建文中，祎子紳訟祎事，詔贈翰林學士，謚文節。
HCH_012_289_000214	正統中，改謚忠文。
HCH_012_289_000215	成化中，命建祠祀之。
HCH_012_289_000216	紳，字仲繕。
HCH_012_289_000217	祎死時，年十三，鞠於兄綬，事母兄盡孝友。
HCH_012_289_000218	長博學，受業宋濂。
HCH_012_289_000219	濂器之曰：「吾友不亡矣。」
HCH_012_289_000220	蜀獻王聘紳，待以客禮。
HCH_012_289_000221	紳啟王往雲南求父遺骸，不獲即死所致祭，述《滇南慟哭記》以歸。
HCH_012_289_000222	建文帝時，用薦召為國子博士，預修《太祖實錄》，獻《大明鐃歌鼓吹曲》十二章。
HCH_012_289_000223	與方孝孺友善，卒官。
HCH_012_289_000224	子稌，字叔豐。
HCH_012_289_000225	師方孝孺。
HCH_012_289_000226	孝孺被難，與其友鄭珣輩潛收遣骸，禍幾不測，自是絕意仕進。
HCH_012_289_000227	初，紳痛父亡，食不兼味。
HCH_012_289_000228	稌守之不變，居喪，不飲酒，不食肉者三年，門人私謚曰孝莊先生。
HCH_012_289_000229	子汶，字允達。
HCH_012_289_000230	成化十四年進士。
HCH_012_289_000231	授中書舍人。
HCH_012_289_000232	謝病歸，讀書齊山下。
HCH_012_289_000233	弘治初，言者交薦，與檢討陳獻章同召，未抵京卒。
HCH_012_289_000234	祎死雲南之三年，死事者又有吳雲。
HCH_012_289_000235	雲，宜興人。
HCH_012_289_000236	元翰林待制，仕太祖，為湖廣行省參政。
HCH_012_289_000237	洪武八年九月，太祖議再遣使招諭梁王，召雲至，語之曰：「今天下一家，獨雲南未奉正朔，殺我使臣，卿能為我作陸賈乎？」
HCH_012_289_000238	雲頓首請行。
HCH_012_289_000239	時梁王遣鐵知院輩二十餘人使漠北，為大將軍所獲，送京師，太祖釋之，令與雲偕行。
HCH_012_289_000240	既入境，鐵知院等謀曰：「吾輩奉使被執，罪且死。」
HCH_012_289_000241	乃誘雲，令詐為元使，改制書，共紿梁王。
HCH_012_289_000242	雲誓死不從，鐵知院等遂殺雲。
HCH_012_289_000243	梁王聞其事，收雲骨，送蜀給孤寺殯之。
HCH_012_289_000244	雲子黻，上雲事於朝。
HCH_012_289_000245	詔馳傳返葬，以黻為國子生。
HCH_012_289_000246	弘治四年五月贈雲刑部尚書，謚忠節，與祎並祠，改祠額曰二忠。
HCH_012_289_000247	熊鼎，字伯潁，臨川人。
HCH_012_289_000248	元末舉於鄉，長龍溪書院。
HCH_012_289_000249	江西寇亂，鼎結鄉兵自守。
HCH_012_289_000250	陳友諒屢脅之，不應。
HCH_012_289_000251	鄧愈鎮江西，數延見，奇其才，薦之。
HCH_012_289_000252	太祖欲官之，以親老辭，乃留愈幕府贊軍事。
HCH_012_289_000253	母喪除，召至京師，授德清縣丞。
HCH_012_289_000254	松江民錢鶴臯反，鄰郡大驚，鼎鎮之以靜。
HCH_012_289_000255	吳元年召議禮儀，除中書考功博士。
HCH_012_289_000256	遷起居註，承詔搜括故事可懲戒者，書新宮壁間。
HCH_012_289_000257	舍人耿忠使廣信還，奏郡縣官違法狀，帝遣御史廉之。
HCH_012_289_000258	而時已頒赦書，丞相李善長再諫不納，鼎偕給事中尹正進曰：「朝廷布大信於四方，復以細故煩御史，失信，且褻威。」
HCH_012_289_000259	帝默然久之，乃不遣物史。
HCH_012_289_000260	洪武改元，新設浙江按察司，以鼎為僉事，分部臺、溫。
HCH_012_289_000261	臺、溫自方氏竊據，偽官捍將二百人，暴橫甚。
HCH_012_289_000262	鼎盡遷之江、淮間，民始安。
HCH_012_289_000263	平陽知州梅鎰坐贓，辨不已，民數百鹹訴知州無罪。
HCH_012_289_000264	鼎將聽之，吏白鼎：「釋知州，如故出何？」
HCH_012_289_000265	鼎嘆曰：「法以誅罪，吾敢畏譴，誅無罪人乎！」
HCH_012_289_000266	釋鎰，以情聞，報如其奏。
HCH_012_289_000267	寧海民陳德仲支解黎異，異妻屢訴不得直。
HCH_012_289_000268	鼎一日覽牒，有青蛙立案上，鼎曰：「蛙非黎異乎？果異，止勿動。」
HCH_012_289_000269	蛙果勿動，乃逮德仲，鞫實，立正其罪。
HCH_012_289_000270	是秋，山東初定，設按察司，復以鼎為僉事。
HCH_012_289_000271	鼎至，奏罷不職有司數十輩，列部肅清。
HCH_012_289_000272	鼎欲稽官吏利弊，乃令郡縣各置二歷，日書所治訟獄錢粟事，一留郡縣，一上憲府，遞更易，按歷鉤考之，莫敢隱者。
HCH_012_289_000273	尋進副使，徙晉王府右傅。
HCH_012_289_000274	坐累左遷，復授王府參軍，召為刑部主事。
HCH_012_289_000275	八年，西部朵兒只班率部落內附，改鼎岐寧衛經歷。
HCH_012_289_000276	既至，知寇偽降，密疏論之。
HCH_012_289_000277	帝遣使慰勞，賜裘帽，復遣中使趙成召鼎。
HCH_012_289_000278	鼎既行，寇果叛，脅鼎北還。
HCH_012_289_000279	鼎責以大義，罵之，遂與成及知事杜寅俱被殺。
HCH_012_289_000280	帝聞，悼惜，命葬之黃羊川，立祠，以所食俸給其家。
HCH_012_289_000281	易紹宗，攸人。
HCH_012_289_000282	洪武時，從軍有功，授象山縣錢倉所千戶。
HCH_012_289_000283	建文三年，倭登岸剽掠。
HCH_012_289_000284	紹宗大書於壁曰：「設將禦敵，設軍衛民。縱敵不忠。棄民不仁。不忠不仁，何以為臣！為臣不職，何以為人！」
HCH_012_289_000285	書畢，命妻李具牲酒生奠之，訣而出，密令遊兵間道焚賊舟。
HCH_012_289_000286	賊驚救，紹宗格戰，追至海岸，陷淖中，手刃數十賊，遂被害。
HCH_012_289_000287	其妻攜孤奏於朝，賜葬祭，勒碑旌之。
HCH_012_289_000288	琴彭，交阯人。
HCH_012_289_000289	永樂中，以乂安知府署茶籠州事，有善政。
HCH_012_289_000290	宣德元年，黎利反，率眾圍其城。
HCH_012_289_000291	彭拒守七月，糧盡卒疲，諸將無援者，巡按御史飛章請救。
HCH_012_289_000292	宣宗馳敕責榮昌伯陳智等曰：「茶籠守彭被困孤城，矢死無貳，若等不援，將何以逃責！急發兵解圍，無幹國憲。」
HCH_012_289_000293	敕未至而城陷，彭死之。
HCH_012_289_000294	詔贈交阯左布政使，送一子京師官之。
HCH_012_289_000295	時交阯人陳汝石、朱多蒲、陶季容、陳汀亦皆以忠節著。
HCH_012_289_000296	汝石初為陳氏小校，大軍南征，率先歸附，積功至都指揮僉事。
HCH_012_289_000297	永樂十七年，四忙士官車綿子等叛。
HCH_012_289_000298	汝石從方政討之，深入賊陣，中流矢墜馬，與千戶朱多蒲皆死。
HCH_012_289_000299	多蒲，亦交阯人。
HCH_012_289_000300	事聞，遣行人賜祭，賻其家，官為置冢。
HCH_012_289_000301	皇甫斌，壽州人。
HCH_012_289_000302	先為興州右屯衛指揮同知，以才調遼海衛。
HCH_012_289_000303	忠勇有智略，遇警，輒身先士卒。
HCH_012_289_000304	宣德五年十月勒兵禦寇，至密城東峪，自旦及晡力戰，矢盡援絕，子弼以身衛父，俱戰死。
HCH_012_289_000305	千戶吳貴，百戶吳襄、毛觀並驍勇，出必沖鋒，至是皆死。
HCH_012_289_000306	斌等雖死，殺傷過當，寇亦引退。
HCH_012_289_000307	事聞，詔有司褒恤。
HCH_012_289_000308	張瑛，字彥華，浙江建德人。
HCH_012_289_000309	永樂中，舉於鄉，歷刑部員外郎。
HCH_012_289_000310	正統時，擢建寧知府。
HCH_012_289_000311	鄧茂七作亂，賊二千餘迫城結砦，四出剽掠。
HCH_012_289_000312	瑛率建安典史鄭烈會都指揮徐信軍，分三路襲之，斬首五百餘，遂拔其砦。
HCH_012_289_000313	進右參議，仍知府事。
HCH_012_289_000314	烈亦遷主簿。
HCH_012_289_000315	茂七既誅，其黨林拾得等轉掠城下，瑛與從父敬禦之。
HCH_012_289_000316	賊敗，乘勝逐北，陷伏中，敬死，瑛被執，大罵不屈死。
HCH_012_289_000317	詔贈福建按察使，賜祭，官其子。
HCH_012_289_000318	弘治中，建寧知府劉玙請於朝，立祠致祭。
HCH_012_289_000319	時泉州守熊尚初亦以拒賊被執死。
HCH_012_289_000320	尚初，南昌人。
HCH_012_289_000321	初為吏，以才擢都察院都事，進經歷。
HCH_012_289_000322	正統中，用都御史陳鎰薦，擢泉州知府。
HCH_012_289_000323	盜起，上官檄尚初監軍，不旬日降賊數百。
HCH_012_289_000324	已而賊逼城下，守將不敢禦。
HCH_012_289_000325	尚初憤，提民兵數百，與晉江主簿史孟常、陰陽訓術楊仕弘分統之，拒於古陵坡。
HCH_012_289_000326	兵敗，皆遇害。
HCH_012_289_000327	郡人哀之，為配享忠臣廟。
HCH_012_289_000328	王禎，字維禎，吉水人。
HCH_012_289_000329	祖省，死建文難，自有傳。
HCH_012_289_000330	成化初，禎由國子生授夔州通判。
HCH_012_289_000331	二年，荊、襄石和尚流劫至巫山，督盜同知王某者怯不救。
HCH_012_289_000332	禎面數之，即代勒所部民兵，晝夜行。
HCH_012_289_000333	至則城已陷，賊方聚山中。
HCH_012_289_000334	禎擊殺其魁，余盡遁，乃行縣撫傷殘，招潰散，久乃得還。
HCH_012_289_000335	甫三日，賊復劫大昌。
HCH_012_289_000336	禎趣同知行，不應。
HCH_012_289_000337	指揮曹能、柴成與同知比，激禎曰：「公為國出力，肯復行乎？」
HCH_012_289_000338	禎即請往，兩人偽許相左右。
HCH_012_289_000339	禎上馬，挾二人與俱，夾水陣。
HCH_012_289_000340	既渡，兩人見賊即走。
HCH_012_289_000341	禎被圍半日，誤入淖中，賊執欲降之，禎大罵。
HCH_012_289_000342	賊怒，斷其喉及右臂而死。
HCH_012_289_000343	從行者奉節典史及部卒六百餘人皆死。
HCH_012_289_000344	自死所至府三百餘裏，所乘馬奔歸，血淋漓，毛盡赤。
HCH_012_289_000345	眾始知禎敗，往覓屍，面如生。
HCH_012_289_000346	子廣鬻馬為歸貲，王同知得馬不償直。
HCH_012_289_000347	櫬既行，馬夜半哀鳴。
HCH_012_289_000348	同知起視之，馬驟前嚙項，搗其胸，翼日嘔血死，人稱為義馬。
HCH_012_289_000349	事聞，贈禎僉事，錄一子。
HCH_012_289_000350	萬琛，字廷獻，宣城人。
HCH_012_289_000351	慷慨負氣節，舉於鄉。
HCH_012_289_000352	弘治中，知瑞金縣。
HCH_012_289_000353	十八年正月，劇盜大至，縣人洶洶逃竄。
HCH_012_289_000354	有勸琛急去者，琛斥之，率民兵數十人迎敵，殺賊二十餘人。
HCH_012_289_000355	相持至明日，力屈被執，罵不絕口，賊攢刺之，乃死。
HCH_012_289_000356	贈光祿少卿，賜祭葬，予蔭。
HCH_012_289_000357	時有王祐者，為廣昌知縣，賊至，民盡逃，援兵又不至。
HCH_012_289_000358	祐拔刀自刲其腹曰：「有城不能守，何生為！」
HCH_012_289_000359	左右奔奪其刀。
HCH_012_289_000360	後援兵集，賊稍退。
HCH_012_289_000361	越七日復突至，祐倉皇赴敵，死之。
HCH_012_289_000362	周憲，安陸人。
HCH_012_289_000363	弘治六年進士。
HCH_012_289_000364	除刑部主事，進員外郎。
HCH_012_289_000365	十七年坐事下詔獄，謫袞州通判。
HCH_012_289_000366	正德初，復故官，歷江西副使。
HCH_012_289_000367	華林、馬腦賊方熾，總督陳金檄憲剿之，平馬腦砦及仙女、雞公嶺諸寨，先後斬獲千餘人。
HCH_012_289_000368	華林賊窘，遣諜者詭言饑困狀。
HCH_012_289_000369	憲信之，移檄會師夾擊。
HCH_012_289_000370	他將多觀望，憲攻北門，三戰，賊稍卻，與子幹先登逼之。
HCH_012_289_000371	賊下木石如雨，軍潰，憲中槍，幹前救，力戰墮崖死。
HCH_012_289_000372	憲創重被執，罵不絕口，賊支解之。
HCH_012_289_000373	事始聞，贈按察使，予祭葬，謚節湣，蔭一子，旌幹門曰孝烈。
HCH_012_289_000374	嘉靖二年，江西巡撫盛應期請與黃宏、馬思聰並旌，詔附禮忠烈祠。
HCH_012_289_000375	後從給事中李鐸言，命有司歲給其家米二石，帛二匹。
HCH_012_289_000376	楊忠，寧夏人。
HCH_012_289_000377	世官中衛指揮，以功進都指揮僉事，廉介有謀勇。
HCH_012_289_000378	正德五年，安化王寘鐇反，其黨丁廣將殺巡撫安惟學，忠在側，罵曰：「賊狗敢犯上邪！」
HCH_012_289_000379	廣怒，殺之，迄死罵益厲。
HCH_012_289_000380	忠同官李睿聞變，馳至寘鐇所。
HCH_012_289_000381	門閉不得入，大罵，為賊所殺。
