HCH_009_001_000001	金之先，出靺鞨氏。
HCH_009_001_000045	五年，增諡淵穆玄德皇帝。
HCH_009_001_000046	子安帝，諱跋海。
HCH_009_001_000047	天會十四年，追諡安皇帝。
HCH_009_001_000048	皇統四年，號其藏建陵。
HCH_009_001_000049	五年，增諡和靖慶安皇帝。
HCH_009_001_000050	子獻祖，諱綏可。
HCH_009_001_000051	黑水舊俗無室廬，負山水坎地，梁木其上，覆以土，夏則出隨水草以居，冬則入處其中，遷徙不常。
HCH_009_001_000052	獻祖乃徙居海古水，耕墾樹藝，始築室，有棟宇之制，人呼其地為納葛里。
HCH_009_001_000053	「納葛里」者，漢語居室也。
HCH_009_001_000054	自此遂定居于安出虎水之側矣。
HCH_009_001_000055	天會十四年，追諡定昭皇帝，廟號獻祖。
HCH_009_001_000056	皇統四年，號其藏曰輝陵。
HCH_009_001_000057	五年，增諡獻祖純烈定昭皇帝。
HCH_009_001_000058	子昭祖，諱石魯，剛毅質直。
HCH_009_001_000059	生女直無書契，無約束，不可檢制。
HCH_009_001_000060	昭祖欲稍立條教，諸父、部人皆不悅，欲坑殺之。
HCH_009_001_000061	已被執，叔父謝里忽知部眾將殺昭祖，曰：「吾兄子，賢人也，必能承家，安輯部眾，此輩奈何輒欲坑殺之。」
HCH_009_001_000062	亟往，彎弓注矢射於眾中，劫執者皆散走，昭祖乃得免。
HCH_009_001_000063	昭祖稍以條教為治，部落寖強。
HCH_009_001_000064	遼以惕隱官之。
HCH_009_001_000065	諸部猶以舊俗，不肯用條教。
HCH_009_001_000066	昭祖耀武至于青嶺、白山，順者撫之，不從者討伐之，入于蘇濱、耶懶之地，所至克捷。
HCH_009_001_000067	還經僕鷰水。
HCH_009_001_000068	「僕鷰」，漢語惡瘡也。
HCH_009_001_000069	昭祖惡其地名，雖已困憊，不肯止。
HCH_009_001_000070	行至姑里甸，得疾。
HCH_009_001_000071	迨夜，寢于村舍。
HCH_009_001_000072	有盜至，遂中夜啟行，至逼剌紀村止焉。
HCH_009_001_000073	是夕，卒。
HCH_009_001_000074	載柩而行，遇賊於路，奪柩去。
HCH_009_001_000075	部眾追賊與戰，復得柩。
HCH_009_001_000076	加古部人蒲虎復來襲之，垂及，蒲虎問諸路人曰：「石魯柩去此幾何？」
HCH_009_001_000077	其人曰：「遠矣，追之不及也。」
HCH_009_001_000078	蒲虎遂止。
HCH_009_001_000079	於是乃得歸葬焉。
HCH_009_001_000080	生女直之俗，至昭祖時稍用條教，民頗聽從，尚未有文字，無官府，不知歲月晦朔，是以年壽修短莫得而考焉。
HCH_009_001_000081	天會十五年，追諡成襄皇帝，廟號昭祖。
HCH_009_001_000082	皇統四年，藏號安陵。
HCH_009_001_000083	五年，增諡昭祖武惠成襄皇帝。
HCH_009_001_000084	子景祖，諱烏古廼。
HCH_009_001_000085	遼太平元年辛酉歲生。
HCH_009_001_000086	自始祖至此，已六世矣。
HCH_009_001_000087	景祖稍役屬諸部，自白山、耶悔、統門、耶懶、土骨論之屬，以至五國之長，皆聽命。
HCH_009_001_000088	是時，遼之邊民有逃而歸者。
HCH_009_001_000089	及遼以兵徙鐵勒、烏惹之民，鐵勒、烏惹多不肯徙，亦逃而來歸。
HCH_009_001_000090	遼使曷魯林牙將兵來索逋逃之民。
HCH_009_001_000091	景祖恐遼兵深入，盡得山川道路險易，或將圖之，乃以計止之曰：「兵若深入，諸部必驚擾，變生不測，逋戶亦不可得，非計也。」
HCH_009_001_000092	曷魯以為然，遂止其軍，與曷魯自行索之。
HCH_009_001_000093	是時，隣部雖稍從，孩懶水烏林答部石顯尚拒阻不服。
HCH_009_001_000094	攻之，不克。
HCH_009_001_000095	景祖以計告於遼主，遼主遣使責讓石顯。
HCH_009_001_000096	石顯乃遣其子婆諸刊入朝。
HCH_009_001_000097	遼主厚賜遣還。
HCH_009_001_000098	其後石顯與婆諸刊入見遼主於春蒐。
HCH_009_001_000099	遼主乃留石顯於邊地，而遣婆諸刊還所部。
HCH_009_001_000100	景祖之謀也。
HCH_009_001_000101	既而五國蒲聶部節度使拔乙門畔遼，鷹路不通。
HCH_009_001_000102	遼人將討之，先遣同幹來諭旨。
HCH_009_001_000103	景祖曰：「可以計取。若用兵，彼將走保險阻，非歲月可平也。」
HCH_009_001_000104	遼人從之。
HCH_009_001_000105	蓋景祖終畏遼兵之入其境也，故自以為功。
HCH_009_001_000106	於是景祖陽與拔乙門為好，而以妻子為質，襲而擒之，獻於遼主。
HCH_009_001_000107	遼主召見于寢殿，燕賜加等，以為生女直部族節度使。
HCH_009_001_000108	遼人呼節度使為太師，金人稱「都太師」者自此始。
HCH_009_001_000109	遼主將刻印與之。
HCH_009_001_000110	景祖不肯繫遼籍，辭曰：「請俟他日。」
HCH_009_001_000111	遼主終欲與之，遣使來。
HCH_009_001_000112	景祖詭使部人揚言曰：「主公若受印繫籍，部人必殺之。」
HCH_009_001_000113	用是以拒之，遼使乃還。
HCH_009_001_000114	既為節度使，有官屬，紀綱漸立矣。
HCH_009_001_000115	生女直舊無鐵，隣國有以甲冑來鬻者，傾貲厚賈以與貿易，亦令昆弟族人皆售之。
HCH_009_001_000116	得鐵既多，因之以修弓矢，備器械，兵勢稍振，前後願附者眾。
HCH_009_001_000117	斡泯水蒲察部、泰神忒保水完顏部、統門水溫迪痕部、神隱水完顏部，皆相繼來附。
HCH_009_001_000118	景祖為人寬恕，能容物，平生不見喜慍。
HCH_009_001_000119	推財與人，分食解衣，無所吝惜。
HCH_009_001_000120	人或忤之，亦不念。
HCH_009_001_000121	先時，有畔去者，遣人諭誘之。
HCH_009_001_000122	畔者曰：「汝主，活羅也。活羅，吾能獲之，吾豈能為活羅屈哉。」
HCH_009_001_000123	「活羅」，漢語慈烏也，北方有之，狀如大雞，善啄物，見馬牛橐駝脊間有瘡，啄其脊間食之，馬牛輒死，若飢不得食，雖砂石亦食之。
HCH_009_001_000124	景祖嗜酒好色，飲啗過人，時人呼曰活羅，故彼以此訕之，亦不以介意。
HCH_009_001_000125	其後訕者力屈來降，厚賜遣還。
HCH_009_001_000126	曷懶水有率眾降者，錄其歲月姓名，即遣去，俾復其故。
HCH_009_001_000127	人以此益信服之。
HCH_009_001_000128	遼咸雍八年，五國沒撚部謝野勃菫畔遼，鷹路不通。
HCH_009_001_000129	景祖伐之，謝野來禦。
HCH_009_001_000130	景祖被重鎧，率眾力戰。
HCH_009_001_000131	謝野兵敗，走拔里邁濼。
HCH_009_001_000132	時方十月，冰忽解，謝野不能軍，眾皆潰去。
HCH_009_001_000133	乃旋師。
HCH_009_001_000134	道中遇逋亡，要遮險阻，晝夜拒戰，比至部已憊。
HCH_009_001_000135	即往見遼邊將達魯骨，自陳敗謝野功。
HCH_009_001_000136	行次來流水，未見達魯骨，疾作而復，卒于家，年五十四。
HCH_009_001_000137	天會十四年，追諡惠桓皇帝，廟號景祖。
HCH_009_001_000138	皇統四年，藏號定陵。
HCH_009_001_000139	五年，增諡景祖英烈惠桓皇帝。
HCH_009_001_000140	第二子襲節度使，是為世祖，諱劾里鉢。
HCH_009_001_000141	生女直之俗，生子年長即異居。
HCH_009_001_000142	景祖九子，元配唐括氏生劾者，次世祖，次劾孫，次肅宗，次穆宗。
HCH_009_001_000143	及當異居，景祖曰：「劾者柔和，可治家務。劾里鉢有器量智識，何事不成。劾孫亦柔善人耳。」
HCH_009_001_000144	乃命劾者與世祖同居，劾孫與肅宗同居。
HCH_009_001_000145	景祖卒，世祖繼之。
HCH_009_001_000146	世祖卒，肅宗繼之。
HCH_009_001_000147	肅宗卒，穆宗繼之。
HCH_009_001_000148	穆宗復傳世祖之子，至於太祖，竟登大位焉。
HCH_009_001_000149	世祖，遼重熙八年己卯歲生。
HCH_009_001_000150	遼咸雍十年，襲節度使。
HCH_009_001_000151	景祖異母弟跋黑有異志，世祖慮其為變，加意事之，不使將兵，但為部長。
HCH_009_001_000152	跋黑遂誘桓𧹞、散達、烏春、窩謀罕為亂，及間諸部使貳于世祖。
HCH_009_001_000153	世祖猶欲撫慰之，語在跋黑、桓𧹞等傳中。
HCH_009_001_000154	世祖嘗買加古部鍛工烏不屯被甲九十，烏春欲託此以為兵端，世祖還其甲，語在烏春傳。
HCH_009_001_000155	部中有流言曰：「欲生則附於跋黑，欲死則附於劾里鉢、頗剌淑。」
HCH_009_001_000156	世祖聞之，疑焉，無以察之，乃佯為具裝，欲有所往者，陰遣人揚言曰：「寇至。」
HCH_009_001_000157	部眾聞者莫知虛實，有保於跋黑之室者，有保於世祖之室者，世祖乃盡得兄弟部屬向背彼此之情矣。
HCH_009_001_000158	間數年，烏春來攻，世祖拒之。
HCH_009_001_000159	時十月已半，大雨累晝夜，冰凘覆地，烏春不能進。
HCH_009_001_000160	既而悔曰：「此天也。」
HCH_009_001_000161	乃引兵去。
HCH_009_001_000162	烏春舍於阿里矮村滓不乃家，而以兵圍其弟勝昆於胡不村。
HCH_009_001_000163	兵退，勝昆執其兄滓不乃，而請涖殺于世祖，且請免其孥戮。
HCH_009_001_000164	從之。
HCH_009_001_000165	桓𧹞、散達亦舉兵，遣肅宗拒之。
HCH_009_001_000166	當是時，烏春兵在北，桓𧹞兵在南，其勢甚盛。
HCH_009_001_000167	戒之曰：「可和則與之和，否則決戰。」
HCH_009_001_000168	肅宗兵敗。
HCH_009_001_000169	會烏春以久雨解去，世祖乃以偏師涉舍很水，經貼割水，覆桓𧹞、散達之家。
HCH_009_001_000170	明日，大霧晦冥，失道，至婆多吐水乃覺。
HCH_009_001_000171	即還至舍很、貼割之間，升高阜望之，見六騎來，大呼，馳擊之。
HCH_009_001_000172	世祖射一人斃，生獲五人，問之，乃知卜灰、撒骨出使助桓𧹞、散達者也。
HCH_009_001_000173	世祖至桓𧹞、散達所居，焚蕩其室家，殺百許人，舊將主保亦死之。
HCH_009_001_000174	比世祖還，與肅宗會，肅宗兵又敗矣。
HCH_009_001_000175	世祖讓肅宗失利之狀。
HCH_009_001_000176	遣人議和。
HCH_009_001_000177	桓𧹞、散達曰：「以爾盈歌之大赤馬、辭不失之紫騮馬與我，我則和。」
HCH_009_001_000178	二馬皆女直名馬，不許。
HCH_009_001_000179	桓𧹞、散達大會諸部來攻，過裴滿部，以其附於世祖也，縱火焚之。
HCH_009_001_000180	蒲察部沙秪勃菫、胡補答勃菫使阿喜來告難，世祖使之詭從以自全，曰：「戰則以旗鼓自別。」
HCH_009_001_000181	世祖往禦桓𧹞之眾，將行，有報者曰：「跋黑食於愛妾之父家，肉張咽，死矣。」
HCH_009_001_000182	乃遣肅宗求援於遼，遂率眾出。
HCH_009_001_000183	使辭不失取海姑兄弟兵，已而乃知海姑兄弟貳於桓𧹞矣，欲併取其眾，徑至海姑。
HCH_009_001_000184	偵者報曰：「敵已至。」
HCH_009_001_000185	將戰，世祖戒辭不失曰：「汝先陣於脫豁改原，待吾三揚旗，三鳴鼓，即棄旗決戰。死生惟在今日，命不足惜。」
HCH_009_001_000186	使裴滿胡喜牽大紫騮馬以為貳馬，馳至陣。
HCH_009_001_000187	時桓𧹞、散達盛強，世祖軍吏未戰而懼，皆植立無人色。
HCH_009_001_000188	世祖陽陽如平常，亦無責讓之言，但令士卒解甲少憩，以水沃面，調麨水飲之。
HCH_009_001_000189	有頃，訓勵之，軍勢復振。
HCH_009_001_000190	乃避眾獨引穆宗，執其手密與之言曰：「今日之事，若勝則已，萬一有不勝，吾必無生。汝今介馬遙觀，勿預戰事。若我死，汝勿收吾骨，勿顧戀親戚，亟馳馬奔告汝兄頗剌淑，于遼繫籍受印，乞師以報此讎。」
HCH_009_001_000191	語畢，袒袖，不被甲，以縕袍垂襴護前後心，韔弓提劍，三揚旗，三鳴鼓，棄旗搏戰，身為軍鋒，突入敵陣，眾從之。
HCH_009_001_000192	辭不失從後奮擊，大敗之。
HCH_009_001_000193	乘勝逐之，自阿不彎至于北隘甸，死者如仆麻，破多吐水水為之赤，棄車甲馬牛軍實盡獲之。
HCH_009_001_000194	世祖曰：「今日之捷，非天不能及此，亦可以知足矣。雖縱之去，敗軍之氣沒世不振。」
HCH_009_001_000195	乃引軍還。
HCH_009_001_000196	世祖視其戰地，馳突成大路，闊且三十隴。
HCH_009_001_000197	手殺九人，自相重積，人皆異之。
HCH_009_001_000198	桓𧹞、散達自此不能復聚，未幾，各以其屬來降，遼大安七年也。
HCH_009_001_000199	初，桓𧹞兄弟之變，不术魯部卜灰、蒲察部撒骨出助之。
HCH_009_001_000200	至是，招之，不肯和。
HCH_009_001_000201	卜灰之黨石魯遂殺卜灰來降。
HCH_009_001_000202	撒骨出追躡亡者，道傍人潛射之，中口而死。
HCH_009_001_000203	自是舊部悉歸。
HCH_009_001_000204	景祖時，斡勒部人盃乃來屬，及是，有他志。
HCH_009_001_000205	會其家失火，因以縱火誣歡都，世祖徵償如約。
HCH_009_001_000206	盃乃不自安，遂結烏春、窩謀罕舉兵。
HCH_009_001_000207	使肅宗與戰，敗之，獲盃乃，世祖獻之於遼。
HCH_009_001_000208	臘醅、麻產侵掠野居女直，略來流水牧馬。
HCH_009_001_000209	世祖擊之，中四創，久之疾愈。
HCH_009_001_000210	臘醅等復略穆宗牧馬，交結諸部。
HCH_009_001_000211	世祖復伐之，臘醅等紿降，乃旋。
HCH_009_001_000212	臘醅得姑里甸兵百十有七人，據暮稜水守險，石顯子婆諸刊亦在其中。
HCH_009_001_000213	世祖圍而克之，盡獲姑里甸兵。
HCH_009_001_000214	麻產遁去。
HCH_009_001_000215	遂擒臘醅及婆諸刊，皆獻之遼。
HCH_009_001_000216	既已，復請之，遼人與之，并以前後所獻罪人歸之。
HCH_009_001_000217	歡都大破烏春等於斜堆，故石、拔石皆就擒。
HCH_009_001_000218	世祖自將與歡都合兵嶺東，諸軍皆至。
HCH_009_001_000219	是時，烏春已前死，窩謀罕請于遼，願和解。
HCH_009_001_000220	既與和，復來襲，乃進軍圍之。
HCH_009_001_000221	窩謀罕棄城遁去。
HCH_009_001_000222	破其城，盡俘獲之，以功差次分賜諸軍。
HCH_009_001_000223	城始破，議渠長生殺，眾皆長跪，遼使者在坐。
HCH_009_001_000224	忽一人佩長刀突前咫尺，謂世祖曰：「勿殺我。」
HCH_009_001_000225	遼使及左右皆走匿。
HCH_009_001_000226	世祖色不少動，執其人之手，語之曰：「吾不殺汝也。」
HCH_009_001_000227	於是罰左右匿者，曰：「汝等何敢失次耶。」
HCH_009_001_000228	罰既已，乃徐使執突前者殺之。
HCH_009_001_000229	其膽勇鎮物如此。
HCH_009_001_000230	師還，寢疾，遂篤。
HCH_009_001_000231	元娶拏懶氏哭不止，世祖曰：「汝勿哭，汝惟後我一歲耳。」
HCH_009_001_000232	肅宗請後事，曰：「汝惟後我三年。」
HCH_009_001_000233	肅宗出，謂人曰：「吾兄至此，亦不與我好言。」
HCH_009_001_000234	乃叩地而哭。
HCH_009_001_000235	俄呼穆宗謂曰：「烏雅束柔善，若辦集契丹事，阿骨打能之。」
HCH_009_001_000236	遼大安八年五月十五日卒。
HCH_009_001_000237	襲位十九年，年五十四。
HCH_009_001_000238	明年，拏懶氏卒。
HCH_009_001_000239	又明年，肅宗卒。
HCH_009_001_000240	肅宗病篤，歎曰：「我兄真多智哉。」
HCH_009_001_000241	世祖天性嚴重，有智識，一見必識，暫聞不忘。
HCH_009_001_000242	凝寒不縮栗，動止不回顧。
HCH_009_001_000243	每戰未嘗被甲，先以夢兆候其勝負。
HCH_009_001_000244	嘗乘醉騎驢入室中，明日見驢足跡，問而知之，自是不復飲酒。
HCH_009_001_000245	襲位之初，內外潰叛，締交為寇。
HCH_009_001_000246	世祖乃因敗為功，變弱為強。
HCH_009_001_000247	既破桓𧹞、散達、烏春、窩謀罕，基業自此大矣。
HCH_009_001_000248	天會十五年，追諡聖肅皇帝，廟號世祖。
HCH_009_001_000249	皇統四年，號其藏曰永陵。
HCH_009_001_000250	五年，增諡世祖神武聖肅皇帝。
HCH_009_001_000251	母弟頗剌淑襲節度使，景祖第四子也，是為肅宗。
HCH_009_001_000252	遼重熙十一年壬午歲生。
HCH_009_001_000253	在父兄時號國相。
HCH_009_001_000254	國相之稱不知始何時。
HCH_009_001_000255	初，雅達為國相。
HCH_009_001_000256	雅達者，桓𧹞、散達之父也。
HCH_009_001_000257	景祖以幣馬求之於雅達，而命肅宗為之。
HCH_009_001_000258	肅宗自幼機敏善辯。
HCH_009_001_000259	當其兄時，身居國相，盡心匡輔。
HCH_009_001_000260	是時，叔父跋黑有異志，及桓𧹞、散達、烏春、窩謀罕、石顯父子、臘醅、麻產作難，用兵之際，肅宗屢當一面。
HCH_009_001_000261	尤能知遼人國政人情。
HCH_009_001_000262	凡有遼事，一切委之肅宗專心焉。
HCH_009_001_000263	凡白事於遼官，皆令遠跪陳辭，譯者傳致之，往往為譯者錯亂。
HCH_009_001_000264	肅宗欲得自前委曲言之，故先不以實告譯者。
HCH_009_001_000265	譯者惑之，不得已，引之前，使自言。
HCH_009_001_000266	乃以草木瓦石為籌，枚數其事而陳之。
HCH_009_001_000267	官吏聽者皆愕然，問其故，則為卑辭以對曰：「鄙陋無文，故如此。」
HCH_009_001_000268	官吏以為實然，不復疑之，是以所訴無不如意。
HCH_009_001_000269	桓𧹞、散達之戰，部人賽罕死之，其弟活羅陰懷忿怨。
HCH_009_001_000270	一日，忽以劍脊置肅宗項上曰：「吾兄為汝輩死矣，剄汝以償，則如之何？」
HCH_009_001_000271	久之，因其兄柩至，遂怒而攻習不出，習不出走避之。
HCH_009_001_000272	攻肅宗于家，矢注次室之裙，著于門扉。
HCH_009_001_000273	復攻歡都，歡都衷甲拒于室中，既不能入，持其門旃而去，往附盃乃。
HCH_009_001_000274	盃乃誘烏春兵度嶺，世祖與遇于蘇素海甸。
HCH_009_001_000275	世祖曰：「予昔有異夢，今不可親戰。若左軍中有力戰者，則大功成矣。」
HCH_009_001_000276	命肅宗及斜列、辭不失與之戰。
HCH_009_001_000277	肅宗下馬，名呼世祖，復自呼其名而言曰：「若天助我當為眾部長，則今日之事神祇監之。」
HCH_009_001_000278	語畢再拜。
HCH_009_001_000279	遂炷火束縕。
HCH_009_001_000280	頃之，大風自後起，火益熾。
HCH_009_001_000281	是時八月，并青草皆焚之，煙焰漲天。
HCH_009_001_000282	我軍隨煙衝擊，大敗之。
HCH_009_001_000283	遂獲盃乃，囚而獻諸遼。
HCH_009_001_000284	并獲活羅。
HCH_009_001_000285	肅宗釋其罪，左右任使之，後竟得其力焉。
HCH_009_001_000286	大安八年，自國相襲位。
HCH_009_001_000287	是時，麻產尚據直屋鎧水，繕完營堡，誘納亡命。
HCH_009_001_000288	招之，不聽，遣康宗伐之。
HCH_009_001_000289	太祖別軍取麻產家屬，錡釜無遺。
HCH_009_001_000290	既獲麻產，殺之，獻馘于遼。
HCH_009_001_000291	陶溫水民來附。
HCH_009_001_000292	二年癸酉，遣太祖以偏師伐泥厖古部帥水抹離海村跋黑、播立開，平之，自是寇賊皆息。
HCH_009_001_000293	三年八月，肅宗卒。
HCH_009_001_000294	天會十五年，追諡穆憲皇帝。
HCH_009_001_000295	皇統四年，藏號泰陵。
HCH_009_001_000296	五年，增諡肅宗明睿穆憲皇帝。
HCH_009_001_000297	母弟穆宗，諱盈歌，字烏魯完，景祖第五子也。
HCH_009_001_000298	南人稱「揚割太師」，又曰揚割追諡孝平皇帝，號穆宗，又曰揚割號仁祖。
HCH_009_001_000299	金代無號仁祖者，穆宗諱盈歌，諡孝平，「盈」近「揚」，「歌」近「割」，南北音訛。
HCH_009_001_000300	遼人呼節度使為「太師」，自景祖至太祖皆有是稱。
HCH_009_001_000301	凡叢言、松漠記、張棣金志等書皆無足取。
HCH_009_001_000302	穆宗，遼重熙二十二年癸巳歲生。
HCH_009_001_000303	肅宗時擒麻產，遼命穆宗為詳穩。
HCH_009_001_000304	大安十年甲戌，襲節度使，年四十二。
HCH_009_001_000305	以兄劾者子撒改為國相。
HCH_009_001_000306	三年丙子，唐括部跋葛勃菫與溫都部人跋忒有舊，跋葛以事往，跋忒殺跋葛。
HCH_009_001_000307	使太祖率師伐跋忒，跋忒亡去，追及，殺之星顯水。
HCH_009_001_000308	紇石烈部阿疏、毛睹祿阻兵為難，穆宗自將伐阿疏，撒改以偏師攻鈍恩城，拔之。
HCH_009_001_000309	阿疏初聞來伐，乃自訴于遼。
HCH_009_001_000310	遂留劾者守阿疏城，穆宗乃還。
HCH_009_001_000311	會陶溫水、徒籠古水紇石烈部阿閤版及石魯阻五國鷹路，執殺遼捕鷹使者。
HCH_009_001_000312	遼詔穆宗討之，阿閤版等據險立柵。
HCH_009_001_000313	方大寒，乃募善射者操勁弓利矢攻之。
HCH_009_001_000314	數日，入其城，出遼使存者數人，俾之歸。
HCH_009_001_000315	統門、渾蠢水之交烏古論部留可、詐都與蘇濱水烏古論敵庫德起兵于米里迷石罕城，納根湼之子鈍恩亦亡去。
HCH_009_001_000316	於是兩黨作難。
HCH_009_001_000317	八月，撒改為都統，辭不失、阿里合懣、斡帶副之，以伐留可、詐都、塢塔等。
HCH_009_001_000318	謾都訶、石土門伐敵庫德。
HCH_009_001_000319	撒改欲先平邊地城堡，或欲先取留可，莫能決。
HCH_009_001_000320	乃命太祖往。
HCH_009_001_000321	鈍恩將援留可，乘謾都訶兵未集而攻之。
HCH_009_001_000322	石土門軍既與謾都訶會，迎擊鈍恩，大敗之，降米里迷石罕城，獲鈍恩、敵庫德，釋弗殺。
HCH_009_001_000323	太祖度盆搦嶺，與撒改會，攻破留可城，留可已先往遼矣，盡殺其城中渠長。
HCH_009_001_000324	還圍塢塔城。
HCH_009_001_000325	塢塔先已亡在外，城降於軍，詐都亦降於蒲家奴，於是撫寧諸路如舊時。
HCH_009_001_000326	太祖因致穆宗，教統門、渾蠢、耶悔、星顯四路及嶺東諸部自今勿復稱都部長。
HCH_009_001_000327	命勝管、醜阿等撫定乙离骨嶺注阿門水之西諸部居民，又命斡帶及偏裨悉平二湼囊虎、二蠢出等路寇盜而還。
HCH_009_001_000328	七年庚辰，劾者尚守阿疏城，毛睹祿來降。
HCH_009_001_000329	阿疏猶在遼，遼使使來罷兵。
HCH_009_001_000330	未到，穆宗使烏林荅石魯往佐劾者，戒之曰：「遼使來罷兵，但換我軍衣服旗幟與阿疏城中無辨，勿令遼使知之。」
HCH_009_001_000331	因戒劾者曰：「遼使可以計却。勿聽其言遽罷兵也。」
HCH_009_001_000332	遼使果來罷兵。
HCH_009_001_000333	穆宗使蒲察部胡魯勃菫、邈遜孛菫與俱至阿疏城。
HCH_009_001_000334	劾者見遼使，詭謂胡魯、邈遜曰：「我部族自相攻擊，干汝等何事？誰識汝之太師？」
HCH_009_001_000335	乃援創刺殺胡魯、邈遜所乘馬。
HCH_009_001_000336	遼使驚駭遽走，不敢回顧，徑歸。
HCH_009_001_000337	居數日，破其城。
HCH_009_001_000338	狄故保還自遼，在城中，執而殺之。
HCH_009_001_000339	阿疏復訴於遼。
HCH_009_001_000340	遼遣奚節度使乙烈來。
HCH_009_001_000341	穆宗至來流水興和村，見乙烈。
HCH_009_001_000342	問阿疏城事，命穆宗曰：「凡攻城所獲，存者復與之，不存者備償。」
HCH_009_001_000343	且徵馬數百匹。
HCH_009_001_000344	穆宗與僚佐謀曰：「若償阿疏，則諸部不復可號令任使也。」
HCH_009_001_000345	乃令主隈、禿答兩水之民陽為阻絕鷹路，復使鼈故德部節度使言于遼曰：「欲開鷹路，非生女直節度使不可。」
HCH_009_001_000346	遼不知其為穆宗謀也，信之，命穆宗討阻絕鷹路者，而阿疏城事遂止。
HCH_009_001_000347	穆宗聲言平鷹路，畋於土溫水而歸。
HCH_009_001_000348	是歲，留可來降。
HCH_009_001_000349	八年辛巳，遼使使持賜物來賞平鷹路之有功者。
HCH_009_001_000350	九年壬午，使蒲家奴以遼賜，給主隈、禿答之民，且修鷹路而歸。
HCH_009_001_000351	冬，蕭海里叛，入于係案女直阿典部，遣其族人斡達剌來結和，曰：「願與太師為友，同往伐遼。」
HCH_009_001_000352	穆宗執斡達剌。
HCH_009_001_000353	會遼命穆宗捕討海里，穆宗送斡達剌于遼，募軍得甲千餘。
HCH_009_001_000354	女直甲兵之數，始見于此，蓋未嘗滿千也。
HCH_009_001_000355	軍次混同水，蕭海里再使人來，復執之。
HCH_009_001_000356	既而與海里遇。
HCH_009_001_000357	海里遙問曰：「我使者安在？」
