HCH_010_029_000001	保大元年春正月丁酉朔，改元，肆赦。
HCH_010_029_000027	己亥，金師敗奚王霞末于北安州，遂降其城。
HCH_010_029_000028	三月辛酉，上聞金師將出嶺西，遂趨白水濼。
HCH_010_029_000029	乙丑，群牧使謨魯斡降金。
HCH_010_029_000030	丙寅，上至女古底倉。
HCH_010_029_000031	聞金兵將近，計不知所出，乘輕騎入夾山，方悟奉先之不忠。
HCH_010_029_000032	怒曰：「汝父子誤我至此，今欲誅汝，何益於事！恐軍心忿怨，爾曹避敵苟安，禍必及我，其勿從行。」
HCH_010_029_000033	奉先下馬，哭拜而去。
HCH_010_029_000034	行未數里，左右執其父子，縛送金兵。
HCH_010_029_000035	金人斬其長子昂，以奉先及其次子昱械送金主。
HCH_010_029_000036	道遇遼軍，奪以歸國，遂並賜死。
HCH_010_029_000037	逐樞密使蕭得里底。
HCH_010_029_000038	召撻不也典禁衛。
HCH_010_029_000039	丁卯，以北院樞密副使蕭僧孝奴知北院樞密使事，同知北院樞密使事蕭查剌為左夷離畢。
HCH_010_029_000040	戊辰，同知殿前點檢事耶律高八率衛士降金。
HCH_010_029_000041	己巳，偵人蕭和尚、牌印郎君耶律哂斯為金師所獲。
HCH_010_029_000042	癸酉，以諸局百工多亡，凡扈從不限吏民，皆官之。
HCH_010_029_000043	初，詔留宰相張琳、李處溫與秦晉國王淳守燕。
HCH_010_029_000044	處溫聞上入夾山，數日命令不通，即與弟處能、子，外假怨軍，內結都統蕭幹，謀立淳。
HCH_010_029_000045	遂與諸大臣耶律大石、左企弓、虞仲文、曹勇義、康公弼集蕃漢百官、諸軍及父老數萬人詣淳府。
HCH_010_029_000046	處溫邀張琳至，白其事。
HCH_010_029_000047	琳曰：「攝政則可。」
HCH_010_029_000048	處溫曰：「天意人心已定，請立班耳。」
HCH_010_029_000049	處溫等請淳受禮，淳方出，李持赭袍被之，令百官拜舞山呼。
HCH_010_029_000050	淳驚駭，再三辭，不獲已而從之。
HCH_010_029_000051	以處溫守太尉，左企弓守司徒，曹勇義知樞密院事，虞仲文三知政事，張琳守太師，李處能直樞密院，李為少府少監、提舉翰林醫官，李爽、陳秘十餘人曾與大計，並賜進士及第，授官有差。
HCH_010_029_000052	蕭幹為北樞密使，駙馬都尉蕭旦知樞密院事。
HCH_010_029_000053	改怨軍為常勝軍。
HCH_010_029_000054	於是肆赦，自稱天錫皇帝，改元建福，降封天祚為湘陰王。
HCH_010_029_000055	遂據有燕、雲、平及上京、遼西六路。
HCH_010_029_000056	天祚所有，沙漠已北，西南、西北路兩都招討府、諸蕃部族而已。
HCH_010_029_000057	夏四月辛卯，西南面招討使耶律佛頂降金，雲內、甯邊、東勝等州皆降。
HCH_010_029_000058	阿疏為金兵所擒。
HCH_010_029_000059	金已取西京，沙漠以南部族皆降。
HCH_010_029_000060	上遂遁於訛莎烈。
HCH_010_029_000061	時北部謨葛失贐馬、駝、食羊。
HCH_010_029_000062	五月甲戌，都統馬哥收集散亡，會於漚里謹。
HCH_010_029_000063	丙子，以馬哥知北院樞密使事，兼都統。
HCH_010_029_000064	六月，淳寢疾，聞上傳檄天德、雲內、朔、武、應、蔚等州，合諸蕃精兵五萬騎，約以八月入燕；並遣人問勞，索衣裘、茗藥。
HCH_010_029_000065	淳甚驚，命南、北面大臣議。
HCH_010_029_000066	而李處溫、蕭幹等有迎秦拒湘之說，集蕃漢百官議之。
HCH_010_029_000067	從其議者，東立；惟南面行營都部署耶律寧西立。
HCH_010_029_000068	處溫等問故，寧曰：「天祚果能以諸蕃兵大舉奪燕，則是天數未盡，豈能拒之？否則，秦、湘，父子也，拒則皆拒。自古安有迎子而拒其父者？」
HCH_010_029_000069	處溫等相顧微笑，以寧扇亂軍心，欲殺之。
HCH_010_029_000070	淳欹枕長歎曰：「彼忠臣也，焉可殺？天祚果來，吾有死耳，復何面目相見耶！」
HCH_010_029_000071	已而淳死，眾乃議立其妻蕭氏為皇太后，主軍國事。
HCH_010_029_000072	奉遺命，迎立天祚次子秦王定為帝。
HCH_010_029_000073	太后遂稱制，改元德興。
HCH_010_029_000074	處溫父子懼禍，南通童貫，欲挾蕭太后納土于宋，北通于金，欲為內應，外以援立大功自陳。
HCH_010_029_000075	蕭太后罵曰：「誤秦晉國王者，皆汝父子！」
HCH_010_029_000076	悉數其過數十，賜死，臠其子而磔之；籍其家，得錢七萬緡，金玉寶器稱是，為宰相數月之間所取也。
HCH_010_029_000077	謨葛失以兵來援，為金人敗于洪灰水，擒其子陀古及其屬阿敵音。
HCH_010_029_000078	夏國援兵至，亦為金所敗。
HCH_010_029_000079	秋七月丁巳朔，敵烈部皮室叛，烏古部節度使耶律棠古討平之，加太子太保。
HCH_010_029_000080	乙丑，上京毛八十率二千戶降金。
HCH_010_029_000081	辛未，夏國遣曹價來問起居。
HCH_010_029_000082	八月戊戌，親遇金軍，戰于石輦驛，敗績，都統蕭特末及其撒古被執。
HCH_010_029_000083	辛，會軍於歡撻新查剌，金兵追之急，棄輜重以遁。
HCH_010_029_000084	九月，敵烈部叛，都統馬哥克之。
HCH_010_029_000085	冬十月，金兵攻蔚州，降。
HCH_010_029_000086	十一月乙丑，聞金兵至奉聖州，遂率衛兵屯于落昆髓。
HCH_010_029_000087	秦晉王淳妻蕭德妃五表于金，求立秦王，不許，以勁兵守居庸。
HCH_010_029_000088	及金兵臨關，乷石自崩，戍卒多壓死，不戰而潰。
HCH_010_029_000089	德妃出古北口，趨天德軍。
HCH_010_029_000090	十二月，知金主撫定南京，上遂由掃里關出居四部族詳穩之家。
HCH_010_029_000091	三年春正月丁巳，奚王回離保僭號，稱天復元年，命都統馬哥討之。
HCH_010_029_000092	甲子，初，張倉為遼興軍節度副使，民推倉領州事。
HCH_010_029_000093	秦晉王淳既死，蕭德妃遣時立愛知平州。
HCH_010_029_000094	倉知遼必亡，練兵畜馬，籍丁壯為備。
HCH_010_029_000095	立愛至，倉弗納。
HCH_010_029_000096	金帥粘罕入燕，首問平州事於故三知政事康公弼。
HCH_010_029_000097	公弼曰：「倉狂妄寡謀，雖有鄉兵，彼何能為？示之不疑，圖之未晚。」
HCH_010_029_000098	金人招時立愛赴軍前，加倉臨海軍節度使，仍知平州。
HCH_010_029_000099	既而又欲以精兵三千先下平州，擒張倉。
HCH_010_029_000100	公弼曰：「若加兵，是趣之叛也。」
HCH_010_029_000101	公弼請自往覘之。
HCH_010_029_000102	倉謂公弼曰：「遼之八路，七路已降；獨平州未解甲者，防蕭幹耳。」
HCH_010_029_000103	厚賂公弼而還。
HCH_010_029_000104	公弼復粘罕曰：「彼無足慮。」
HCH_010_029_000105	金人遂改平州為南京，加倉試中書門下平章事，判留守事。
HCH_010_029_000106	庚辰，宜、錦、乾、顯、成、川、豪、懿等州相繼皆降，上京盧彥倫叛，殺契丹人。
HCH_010_029_000107	二月乙酉朔，興中府降金。
HCH_010_029_000108	來州歸德軍節度使田顥、權隰州刺史杜師回、權遷州刺史高永昌、權潤州刺史張成，皆籍所管戶降金。
HCH_010_029_000109	丙戌，誅蕭德妃，降淳為庶人，盡釋其黨。
HCH_010_029_000110	癸巳，興中、宜州復城守。
HCH_010_029_000111	三月，駐蹕於雲內州南。
HCH_010_029_000112	夏四月甲申朔，以知北院樞密耶律大石。
HCH_010_029_000113	戊戌，金兵圍輜重於青塚，硬寨太保特母哥竊梁王雅里以遁，秦王、許王、諸妃、公主、從臣皆陷沒。
HCH_010_029_000114	庚子，梁宋大長公主特里亡歸。
HCH_010_029_000115	壬寅，金遣人來招。
HCH_010_029_000116	癸卯，答言請和。
HCH_010_029_000117	丙午，金兵送族屬輜重東行，乃遣兵邀戰於白水濼，趙王習泥烈、蕭道寧皆被執。
HCH_010_029_000118	上遣牌印郎君謀盧瓦送兔紐金印偽降，遂西遁雲內。
HCH_010_029_000119	駙馬都尉乳奴詣金降。
HCH_010_029_000120	己酉，金復以書來招，答其書。
HCH_010_029_000121	壬子，金帥書來，不許請和。
HCH_010_029_000122	是月，特母哥挈雅里至，上怒不能盡救諸子，詰之。
HCH_010_029_000123	五月乙卯，夏國王李乾順遣使請臨其國。
HCH_010_029_000124	庚申，軍將耶律敵烈等夜劫梁王雅里奔西北部，立以為帝，改元神曆。
HCH_010_029_000125	辛酉，渡河，止于金肅軍北。
HCH_010_029_000126	回離保為眾所殺。
HCH_010_029_000127	六月，遣使冊李乾順為夏國皇帝。
HCH_010_029_000128	秋九月，耶律大石自金來歸。
HCH_010_029_000129	冬十月，復渡河東還，居突呂不部。
HCH_010_029_000130	梁王雅里歿，耶律術烈繼之。
HCH_010_029_000131	十一月，術烈為眾所殺。
HCH_010_029_000132	四年春正月，上趨都統馬哥軍。
HCH_010_029_000133	金人來攻，棄營北遁，馬哥被執。
HCH_010_029_000134	謨葛失來迎，贐馬、駝、羊，又率部人防衛。
HCH_010_029_000135	時侍從乏糧數日，以衣易羊。
HCH_010_029_000136	至烏古敵烈部，以都點檢蕭乙薛知北院樞密使事，封謨葛失為神于越王。
HCH_010_029_000137	特母哥降金。
HCH_010_029_000138	二月，耶律遙設等十人謀叛，伏誅。
HCH_010_029_000139	夏五月，金人既克燕，驅燕之大家東徙，以燕空城及涿、易、檀、順、景、薊州與宋以塞盟。
HCH_010_029_000140	左企弓、康公弼、曹勇義、虞仲文皆東遷。
HCH_010_029_000141	燕民流離道路，不勝其苦，入平州，言於留守張倉曰：「宰相左企弓不謀守燕，使吾民流離，無所安集。公今臨巨鎮，握強兵，盡忠於遼，必能使我復歸鄉土，人心亦惟公是望。」
HCH_010_029_000142	倉遂召諸將領議。
HCH_010_029_000143	皆曰：「聞天祚兵勢復振，出沒漠南。公若仗義勤王，奉迎天祚，以圖中興，先責左企弓等叛降之罪而誅之，盡歸燕民，使復其業，而以平州歸宋，則宋無不接納，平州遂為藩鎮矣。即後日金人加兵，內用平山之軍，外得宋為之援，又何懼焉！」
HCH_010_029_000144	倉曰：「此大事也，不可草草。翰林學士李石智而多謀，可召與議。」
HCH_010_029_000145	石至，其言與之合。
HCH_010_029_000146	乃遣張謙率五百餘騎，傳留守令，召宰相左企弓、曹勇義、樞密使虞仲文、三知政事康公弼至灤河西岸，遣議事官趙秘校往數十罪，曰：「天祚播遷夾山，不即奉迎，一也；勸皇叔秦晉王僭號，二也；詆訐君父，降封湘陰，三也；天祚遣知闔王有慶來議事而殺之，四也；檄書始至，有迎秦拒湘之議，五也；不謀守燕而降，六也；不顧大義，臣事于金，七也；根括燕財，取悅于金，八也；使燕人遷徙失業，九也；教金人發兵先下平州，十也。爾有十罪，所不容誅。」
HCH_010_029_000147	左企弓等無以對，皆縊殺之。
HCH_010_029_000148	仍稱保大三年，畫天祚象，朝夕謁，事必告而後行，稱遼官秩。
HCH_010_029_000149	六月，榜諭燕人復業，恆產為常勝軍所占者，悉還之。
HCH_010_029_000150	燕民既得歸，大悅。
HCH_010_029_000151	翰林學士李石更名安弼，偕故三司使高党往燕山，說宋王安中曰：「平州帶甲萬餘，倉有文武材，可用為屏翰；不然，將為肘腋之患。」
HCH_010_029_000152	安中深然之，令安弼與党詣宋。
HCH_010_029_000153	宋主詔帥臣王安中、詹度厚加安撫，與免三年常賦。
HCH_010_029_000154	倉聞之，自謂得計。
HCH_010_029_000155	秋七月，金人屯來州，母聞平州附宋，以二千騎問罪，先入營州。
HCH_010_029_000156	倉以精兵萬騎擊敗之。
HCH_010_029_000157	宋建平州為泰寧軍，以倉為節度使，以安弼、黨為徽猷闔待制，令宣撫司出銀絹數萬犒賞。
HCH_010_029_000158	倉喜，遠迎。
HCH_010_029_000159	金人諜知，舉兵來襲，倉不得歸，奔燕。
HCH_010_029_000160	金人克三州，始來索倉，王安中諱之。
HCH_010_029_000161	索急，斬一人貌類者去。
HCH_010_029_000162	金人曰，非倉也，以兵來取。
HCH_010_029_000163	安中不得已，殺倉，函其首送金。
HCH_010_029_000164	天祚既得林牙耶律大石兵歸，又得陰山室韋謨葛失兵，自謂得天助，再謀出兵，復收燕、雲。
HCH_010_029_000165	大石林牙力諫曰：「自金人初陷長春、遼陽，則車駕不幸廣平澱，而都中京；及陷上京，則都燕山；及陷中京，則幸雲中；自雲中而播遷夾山。向以全師不謀戰備，使舉國漢地皆為金有。國勢至此，而方求戰，非計也。當養兵待時而動，不可輕舉。」
HCH_010_029_000166	不從。
HCH_010_029_000167	大石遂殺乙薛及坡里括，置北、南面官屬，自立為王，率所部西去。
HCH_010_029_000168	上遂率諸軍出夾山，下漁陽嶺，取天德、東勝、甯邊、雲內等州。
HCH_010_029_000169	南下武州，遇金人，戰於奄遏下水，復潰，直趨山陰。
HCH_010_029_000170	八月，國舅詳穩蕭撻不也、筆硯祗候察刺降金。
HCH_010_029_000171	是月，金主阿骨打死。
HCH_010_029_000172	九月，建州降金。
HCH_010_029_000173	冬十月，納突呂不部人訛哥之妻諳葛，以訛哥為本部節度使。
HCH_010_029_000174	昭古牙率眾降金。
HCH_010_029_000175	金攻興中府，降之。
HCH_010_029_000176	十一月，從行者舉兵亂，北護衛太保術者、舍利詳穩牙不里等擊敗之。
HCH_010_029_000177	十二月，置二總管府。
HCH_010_029_000178	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
