HCH_011_038_000001	朱异字彥和，吳郡錢唐人也。
HCH_011_038_000048	皇太子又制《圍城賦》，其末章云：「彼高冠及厚履，並鼎食而乘肥，升紫霄之丹地，排玉殿之金扉，陳謀謨之啓沃，宣政刑之福威，四郊以之多壘，萬邦以之未綏。問豺狼其何者？訪虺蜴之爲誰？」
HCH_011_038_000049	蓋以指异。
HCH_011_038_000050	异因慚憤，發病卒，時年六十七。
HCH_011_038_000051	詔曰：「故中領軍异，器宇弘通，才力優贍，諮謀帷幄，多歷年所。方贊朝經，永申寄任。奄先物化，惻悼兼懷。可贈侍中、尚書右僕射，給秘器一具。凶事所須，隨由資辦。」
HCH_011_038_000052	舊尚書官不以爲贈，及异卒，高祖惜之，方議贈事。
HCH_011_038_000053	左右有善异者，乃啓曰：「异忝曆雖多，然平生所懷，願得執法。」
HCH_011_038_000054	高祖因其宿志，特有此贈焉。
HCH_011_038_000055	异居權要三十餘年，善窺人主意曲，能阿諛以承上旨，故特被寵任。
HCH_011_038_000056	歷官自員外常侍至侍中，四官皆珥貂，自右衛率至領軍，四職並驅鹵簿，近代未之有也。
HCH_011_038_000057	异及諸子自潮溝列宅至青溪，其中有臺池翫好，每暇日與賓客遊焉。
HCH_011_038_000058	四方所饋，財貨充積。
HCH_011_038_000059	性吝嗇，未嘗有散施。
HCH_011_038_000060	廚下珍羞腐爛，每月常棄十數車，雖諸子別房亦不分贍。
HCH_011_038_000061	所撰《禮》、《易》講疏及儀注、文集百餘篇，亂中多亡逸。
HCH_011_038_000062	長子肅，官至國子博士；次子閏，司徒掾。
HCH_011_038_000063	並遇亂卒。
HCH_011_038_000064	賀琛，字國寶，會稽山陰人也。
HCH_011_038_000065	伯父蒨，步兵校尉，爲世碩儒。
HCH_011_038_000066	琛幼，蒨授其經業，一聞便通義理。
HCH_011_038_000067	蒨異之，常曰：「此兒當以明經致貴。」
HCH_011_038_000068	蒨卒後，琛家貧，常往還諸暨，販粟以自給。
HCH_011_038_000069	閑則習業，尤精《三禮》。
HCH_011_038_000070	初，蒨於鄉里聚徒教授，至是又依琛焉。
HCH_011_038_000071	普通中，刺史臨川王辟爲祭酒從事史。
HCH_011_038_000072	琛始出都，高祖聞其學術，召見文德殿，與語悅之，謂僕射徐勉曰：「琛殊有世業。」
HCH_011_038_000073	仍補王國侍郎，俄兼太學博士，稍遷中衛參軍事、尚書通事舍人，參禮儀事。
HCH_011_038_000074	累遷通直正員郎，舍人如故。
HCH_011_038_000075	又征西鄱陽王中錄事，兼尚書左丞，滿歲爲真。
HCH_011_038_000076	詔琛撰《新諡法》，至今施用。
HCH_011_038_000077	時皇太子議，大功之末，可以冠子嫁女。
HCH_011_038_000078	琛駁之曰：遂從琛議。
HCH_011_038_000079	遷員外散騎常侍。
HCH_011_038_000080	舊尚書南坐，無貂；貂自琛始也。
HCH_011_038_000081	頃之，遷御史中丞，參禮儀事如先。
HCH_011_038_000082	琛家產旣豊，買主第爲宅，爲有司所奏，坐免官。
HCH_011_038_000083	俄復爲尚書左丞，遷給事黃門侍郎，兼國子博士，未拜，改爲通直散騎常侍，領尚書左丞，並參禮儀事。
HCH_011_038_000084	琛前後居職，凡郊廟諸儀，多所創定。
HCH_011_038_000085	每見高祖，與語常移晷刻，故省中爲之語曰：「上殿不下有賀雅。」
HCH_011_038_000086	琛容止都雅，故時人呼之。
HCH_011_038_000087	遷散騎常侍，參禮儀如故。
HCH_011_038_000088	是時，高祖任職者，皆緣飾姦諂，深害時政，琛遂啓陳事條封奏曰：書奏，高祖大怒，召主書於前，口授敕責琛曰：琛奉敕，但謝過而已，不敢復有指斥。
HCH_011_038_000089	久之，遷太府卿。
HCH_011_038_000090	太清二年，遷雲騎將軍、中軍宣城王長史。
HCH_011_038_000091	侯景舉兵襲京師，王移入臺內，留琛與司馬楊曒守東府。
HCH_011_038_000092	賊尋攻陷城，放兵殺害，琛被槍未至死，賊求得之，轝至闕下，求見僕射王克、領軍朱异，勸開城納賊。
HCH_011_038_000093	克等讓之，涕泣而止，賊復轝送莊嚴寺療治之。
HCH_011_038_000094	明年，臺城不守，琛逃歸鄉里。
HCH_011_038_000095	其年冬，賊進寇會稽，復執琛送出都，以爲金紫光祿大夫。
HCH_011_038_000096	後遇疾卒，年六十九。
HCH_011_038_000097	琛所撰《三禮講疏》、《五經滯義》及諸儀法，凡百餘篇。
HCH_011_038_000098	子詡，太清初，自儀同西昌侯掾，出爲巴山太守，在郡遇亂卒。
HCH_011_038_000099	陳吏部尚書姚察云：夏侯勝有言曰：「士患不明經術；經術明，取青紫如拾地芥耳。」
HCH_011_038_000100	朱异、賀琛並起微賤，以經術逢時，致於貴顯，符其言矣。
HCH_011_038_000101	而异遂徼寵倖，任事居權，不能以道佐君，苟取容媚。
HCH_011_038_000102	及延寇敗國，實异之由。
HCH_011_038_000103	禍難旣彰，不明其罪，至於身死，寵贈猶殊。
HCH_011_038_000104	罰旣弗加，賞亦斯濫，失於勸沮，何以爲國？
HCH_011_038_000105	君子是以知太清之亂，能無及是乎。
HCH_011_038_000106	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
