HCH_012_149_000000	蹇義，字宜之，巴人，初名容。
HCH_012_149_000096	建白三十餘事，皆簡便易遵守。
HCH_012_149_000097	曰：「行之而難繼者，且重困民，吾不忍也。」
HCH_012_149_000098	浙西大水，有司治不效。
HCH_012_149_000099	永樂元年，命原吉治之。
HCH_012_149_000100	尋命侍郎李文郁為之副，復使僉都御史俞士吉賫水利書賜之。
HCH_012_149_000101	原吉請循禹三江入海故跡，浚吳淞下流，上接太湖，而度地為閘，以時蓄泄。
HCH_012_149_000102	從之。
HCH_012_149_000103	役十餘萬人。
HCH_012_149_000104	原吉布衣徒步，日夜經畫。
HCH_012_149_000105	盛暑不張蓋，曰：「民勞，吾何忍獨適。」
HCH_012_149_000106	事竣，還京師，言水雖由故道入海，而支流未盡疏泄，非經久計。
HCH_012_149_000107	明年正月，原吉復行，浚白茆塘、劉家河、大黃浦。
HCH_012_149_000108	大理少卿袁復為之副。
HCH_012_149_000109	已，復命陜西參政宋性佐之。
HCH_012_149_000110	九月工畢，水泄，蘇、松農田大利。
HCH_012_149_000111	三年還。
HCH_012_149_000112	其夏，浙西大饑。
HCH_012_149_000113	命原吉率俞士吉、袁復及左通政趙居任往振，發粟三十萬石，給牛種。
HCH_012_149_000114	有請召民佃水退淤田益賦者，原吉馳疏止之。
HCH_012_149_000115	姚廣孝還自浙西，稱原吉曰：「古之遺愛也。」
HCH_012_149_000116	亡何，郁新卒，召還，理部事。
HCH_012_149_000117	首請裁冗食，平賦役；嚴鹽法、錢鈔之禁；清倉場，廣屯種，以給邊蘇民，且便商賈。
HCH_012_149_000118	皆報可。
HCH_012_149_000119	凡中外戶口、府庫、田賦贏縮之數，各以小簡書置懷中，時檢閱之。
HCH_012_149_000120	一日，帝問：「天下錢、穀幾何？」
HCH_012_149_000121	對甚悉，以是益重之。
HCH_012_149_000122	當是時，兵革初定，論「靖難」功臣封賞，分封諸藩，增設武衛百司。
HCH_012_149_000123	已，又發卒八十萬問罪安南、中官造巨艦通海外諸國、大起北都宮闕。
HCH_012_149_000124	供億轉輸以鉅萬萬計，皆取給戶曹。
HCH_012_149_000125	原吉悉心計應之，國用不絀。
HCH_012_149_000126	六年命督軍民輸材北都，詔以錦衣官校從，治怠事者。
HCH_012_149_000127	原吉慮犯者眾，告戒而後行，人皆感悅。
HCH_012_149_000128	七年，帝北巡，命兼攝行在禮部、兵部、都察院事。
HCH_012_149_000129	有二指揮冒月廩，帝欲斬之。
HCH_012_149_000130	原吉曰：「非律也，假實為盜，將何以加？」
HCH_012_149_000131	乃止。
HCH_012_149_000132	八年，帝北征，輔太孫留守北京，總行在九卿事。
HCH_012_149_000133	時諸司草創，每旦，原吉入佐太孫參決庶務。
HCH_012_149_000134	朝退，諸曹郎御史環請事。
HCH_012_149_000135	原吉口答手書，不動聲色。
HCH_012_149_000136	北達行在，南啟監國，京師肅然。
HCH_012_149_000137	帝還，賜鈔幣、鞍馬、牢醴，慰勞有加。
HCH_012_149_000138	尋從還南京，命侍太孫周行鄉落，觀民間疾苦。
HCH_012_149_000139	原吉取齏黍以進，曰：「願殿下食此，知民艱。」
HCH_012_149_000140	九載滿，與蹇義皆宴便殿，帝指二人謂群臣曰：「高皇帝養賢以貽朕。欲觀古名臣，此其人矣。」
HCH_012_149_000141	自是屢侍太孫，往來兩京，在道隨事納忠，多所裨益。
HCH_012_149_000142	十八年，北京宮室成，使原吉南召太子、太孫。
HCH_012_149_000143	既還，原吉言：「連歲營建，今告成。宜撫流亡，蠲逋負以寬民力。」
HCH_012_149_000144	明年，三殿災，原吉復申前請，亟命所司行之。
HCH_012_149_000145	初以殿災詔求直言，群臣多言都北京非便。
HCH_012_149_000146	帝怒，殺主事蕭儀，曰：「方遷都時，與大臣密議，久而後定，非輕舉也。」
HCH_012_149_000147	言者因劾大臣。
HCH_012_149_000148	帝命跪午門外質辨。
HCH_012_149_000149	大臣爭詈言者，原吉獨奏曰：「彼應詔無罪。臣等備員大臣，不能協贊大計，罪在臣等。」
HCH_012_149_000150	帝意解，兩宥之。
HCH_012_149_000151	或尤原吉背初議。
HCH_012_149_000152	曰：「吾輩歷事久，言雖失，幸上憐之。若言官得罪，所損不細矣。」
HCH_012_149_000153	眾始嘆服。
HCH_012_149_000154	原吉雖居戶部，國家大事輒令詳議。
HCH_012_149_000155	帝每禦便殿闕門，召語移時，左右莫得聞。
HCH_012_149_000156	退則恂恂若無預者。
HCH_012_149_000157	交阯平，帝問：「遷官與賞孰便？」
HCH_012_149_000158	對曰：「賞費於一時，有限；遷官為後日費，無窮也。」
HCH_012_149_000159	從之。
HCH_012_149_000160	西域法王來朝，帝欲郊勞，原吉不可。
HCH_012_149_000161	及法王入，原吉見，不拜。
HCH_012_149_000162	帝笑曰：「卿欲效韓愈耶？」
HCH_012_149_000163	山東唐賽兒反，事平，俘脅從者三千餘人至。
HCH_012_149_000164	原吉請於帝，悉原之。
HCH_012_149_000165	谷王叛，帝疑長沙有通謀者。
HCH_012_149_000166	原吉以百口保之，乃得寢。
HCH_012_149_000167	十九年冬，帝將大舉征沙漠。
HCH_012_149_000168	命原吉與禮部尚書呂震、兵部尚書方賓、工部尚書吳中等議，皆言兵不當出。
HCH_012_149_000169	未奏，會帝召賓，賓力言軍興費乏，帝不懌。
HCH_012_149_000170	召原吉問邊儲多寡，對曰：「比年師出無功，軍馬儲蓄十喪八九，災眚叠作，內外俱疲。況聖躬少安，尚須調護，乞遣將往征，勿勞車駕。」
HCH_012_149_000171	帝怒，立命原吉出理開平糧儲。
HCH_012_149_000172	而吳中入對如賓言，帝益怒。
HCH_012_149_000173	召原吉系之內官監，並系大理丞鄒師顏，以嘗署戶部也。
HCH_012_149_000174	賓懼自殺。
HCH_012_149_000175	遂並籍原吉家，自賜鈔外，惟布衣瓦器。
HCH_012_149_000176	明年北征，以糧盡引還。
HCH_012_149_000177	已，復連歲出塞，皆不見敵。
HCH_012_149_000178	還至榆木川，帝不豫，顧左右曰：「夏原吉愛我。」
HCH_012_149_000179	崩聞至之三日，太子走系所，呼原吉，哭而告之。
HCH_012_149_000180	原吉伏地哭，不能起。
HCH_012_149_000181	太子令出獄，與議喪禮，復問赦詔所宜。
HCH_012_149_000182	對以振饑、省賦役、罷西洋取寶船及雲南、交阯采辦諸道金銀課。
HCH_012_149_000183	悉從之。
HCH_012_149_000184	仁宗即位，復其官。
HCH_012_149_000185	方原吉在獄，有母喪，至是乞歸終制。
HCH_012_149_000186	帝曰：「卿老臣，當與朕共濟艱難。卿有喪，朕獨無喪乎？」
HCH_012_149_000187	厚賜之，令家人護喪，馳傳歸葬，有司治喪事。
HCH_012_149_000188	原吉不敢復言。
HCH_012_149_000189	尋加太子少傅。
HCH_012_149_000190	呂震以太子少師班原吉上，帝命鴻臚引震列其下。
HCH_012_149_000191	進少保，兼太子少傅、尚書如故，食三祿。
HCH_012_149_000192	原吉固辭，乃聽辭太子少傅祿。
HCH_012_149_000193	賜「繩愆糾繆」銀章，建第於兩京。
HCH_012_149_000194	已而仁宗崩，太子至自南京。
HCH_012_149_000195	原吉奉遺詔迎於盧溝橋。
HCH_012_149_000196	宣宗即位，以舊輔益親重。
HCH_012_149_000197	明年，漢王高煦反，亦以「靖難」為辭，移檄罪狀諸大臣，以原吉為首。
HCH_012_149_000198	帝夜召諸臣議。
HCH_012_149_000199	楊榮首勸帝親征。
HCH_012_149_000200	帝難之。
HCH_012_149_000201	原吉曰：「獨不見李景隆已事耶？臣昨見所遣將，命下即色變，臨事可知矣。且兵貴神速，卷甲趨之，所謂先人有奪人之心也。榮策善。」
HCH_012_149_000202	帝意遂決。
HCH_012_149_000203	師還，賚予加等，賜閽者三人。
HCH_012_149_000204	原吉以無功辭。
HCH_012_149_000205	不聽。
HCH_012_149_000206	三年，從北巡。
HCH_012_149_000207	帝取原吉橐糗嘗之，笑曰：「何惡也？」
HCH_012_149_000208	對曰：「軍中猶有餒者。」
HCH_012_149_000209	帝命賜以大官之饌，且犒將士。
HCH_012_149_000210	從閱武兔兒山，帝怒諸將慢，褫其衣。
HCH_012_149_000211	原吉曰：「將帥，國爪牙，奈何凍而斃之？」
HCH_012_149_000212	反覆力諫。
HCH_012_149_000213	帝曰：「為卿釋之。」
HCH_012_149_000214	再與蹇義同賜銀印，文曰：「含弘貞靖。」
HCH_012_149_000215	帝雅善繪事，嘗親畫《壽星圖》以賜。
HCH_012_149_000216	其他圖畫、服食、器用、銀幣、玩好之賜，無虛日。
HCH_012_149_000217	五年正月，兩朝實錄成，復賜金幣、鞍馬。
HCH_012_149_000218	旦入謝，歸而卒，年六十五。
HCH_012_149_000219	贈太師，謚忠靖。
HCH_012_149_000220	敕戶部復其家，世世無所與。
HCH_012_149_000221	原吉有雅景，人莫能測其際。
HCH_012_149_000222	同列有善，即采納之。
HCH_012_149_000223	或有小過，必為之掩覆。
HCH_012_149_000224	吏汙所服金織賜衣。
HCH_012_149_000225	原吉曰：「勿怖，汙可浣也。」
HCH_012_149_000226	又有汙精微文書者，吏叩頭請死。
HCH_012_149_000227	原吉不問，自入朝引咎，帝命易之。
HCH_012_149_000228	呂震嘗傾原吉。
HCH_012_149_000229	震為子乞官，原吉以震在「靖難」時有守城功，為之請。
HCH_012_149_000230	平江伯陳瑄初亦惡原吉，原吉顧時時稱瑄才。
HCH_012_149_000231	或問原吉：「量可學乎？」
HCH_012_149_000232	曰：「吾幼時，有犯未嘗不怒。始忍於色，中忍於心，久則無可忍矣。」
HCH_012_149_000233	嘗夜閱爰書，撫案而嘆，筆欲下輒止。
HCH_012_149_000234	妻問之。
HCH_012_149_000235	曰：「此歲終大辟奏也。」
HCH_012_149_000236	與同列飲他所，夜歸值雪，過禁門，有欲不下者，原吉曰：「君子不以冥冥墮行。」
HCH_012_149_000237	其慎如此。
HCH_012_149_000238	原吉與義皆起家太祖時。
HCH_012_149_000239	義秉銓政，原吉筦度支，皆二十七年，名位先於三楊。
HCH_012_149_000240	仁、宣之世，外兼臺省，內參館閣，與三楊同心輔政。
HCH_012_149_000241	義善謀，榮善斷，而原吉與士奇尤持大體，有古大臣風烈。
HCH_012_149_000242	子瑄，以蔭為尚寶司丞。
HCH_012_149_000243	喜談兵。
HCH_012_149_000244	景泰時，數上章言兵事，有沮者，不獲用。
HCH_012_149_000245	終南京太常少卿。
HCH_012_149_000246	俞士吉，字用貞，象山人。
HCH_012_149_000247	建文中，為兗州訓導。
HCH_012_149_000248	上書言時政，擢御史。
HCH_012_149_000249	出按鳳陽、徽州及湖廣，能辨釋冤獄。
HCH_012_149_000250	成祖即位，進僉都御史。
HCH_012_149_000251	奉詔以水利書賜原吉，因留督浙西農政。
HCH_012_149_000252	湖州逋糧至六十萬石，同事者欲減其數以聞。
HCH_012_149_000253	士吉曰：「欺君病民，吾不為也。」
HCH_012_149_000254	具以實奏，悉得免。
HCH_012_149_000255	尋為都御史陳瑛所劾，與大理少卿袁復同繋獄。
HCH_012_149_000256	復死獄中，士吉謫為事官，治水蘇、松。
HCH_012_149_000257	既而復職，還上《聖孝瑞應頌》。
HCH_012_149_000258	帝曰：「爾為大臣，不言民間利病，乃獻諛耶！」
HCH_012_149_000259	擲還之。
HCH_012_149_000260	宣德初，仕至南京刑部侍郎，致仕。
HCH_012_149_000261	李文郁，襄陽人。
HCH_012_149_000262	永樂初，以戶部侍郎副原吉治水有勞。
HCH_012_149_000263	後坐事謫遼東二十年。
HCH_012_149_000264	仁宗即位，召還，為南京通政參議，致仕。
HCH_012_149_000265	鄒師顏，宣都人。
HCH_012_149_000266	永樂初，為江西參政，坐事免。
HCH_012_149_000267	尋以薦擢御史，有直聲。
HCH_012_149_000268	遷大理丞，署戶部。
HCH_012_149_000269	與原吉同下獄。
HCH_012_149_000270	仁宗立，釋為禮部侍郎。
HCH_012_149_000271	省墓歸，還至通州，卒，貧不能歸葬。
HCH_012_149_000272	尚書呂震聞於朝，宣宗命驛舟送之。
HCH_012_149_000273	詔京官卒者，皆給驛，著為令。
HCH_012_149_000274	贊曰：《書》曰「敷求哲人，俾輔於爾後嗣」。
HCH_012_149_000275	蹇義、夏原吉自筮仕之初，即以誠篤幹濟受知太祖，至成祖，益任以繁劇。
HCH_012_149_000276	而二人實能通達政體，諳練章程，稱股肱之任。
HCH_012_149_000277	仁、宣繼體，委寄優隆，同德協心，匡翼令主。
HCH_012_149_000278	用使吏治修明，民風和樂，成績懋著，蔚為宗臣。
HCH_012_149_000279	樹人之效，遠矣哉。
