HCH_011_047_000000	經云：「夫孝，德之本也。」
HCH_011_047_000082	梁臺建，鄧元起爲益州刺史，表黔婁爲府長史、巴西、梓潼二郡太守。
HCH_011_047_000083	及成都平，城中珍寶山積，元起悉分與僚佐，惟黔婁一無所取。
HCH_011_047_000084	元起惡其異衆，厲聲曰：「長史何獨爾爲！」
HCH_011_047_000085	黔婁示不違之，請書數篋。
HCH_011_047_000086	尋除蜀郡太守，在職清素，百姓便之。
HCH_011_047_000087	元起死于蜀，部曲皆散，黔婁身營殯殮，攜持喪柩歸鄉里。
HCH_011_047_000088	還爲尚書金部郎，遷中軍表記室參軍。
HCH_011_047_000089	東宮建，以本官侍皇太子讀，甚見知重，詔與太子中庶子殷鈞、中舍人到洽、國子博士明山賓等，遞日爲太子講《五經》義。
HCH_011_047_000090	遷散騎侍郎、荊州大中正。
HCH_011_047_000091	卒，時年四十六。
HCH_011_047_000092	吉翂字彥霄，馮翊蓮勺人也。
HCH_011_047_000093	世居襄陽。
HCH_011_047_000094	翂幼有孝性。
HCH_011_047_000095	年十一，遭所生母憂，水漿不入口，殆將滅性，親黨異之。
HCH_011_047_000096	天監初，父爲吳興原鄉令，爲姦吏所誣，逮詣廷尉。
HCH_011_047_000097	翂年十五，號泣衢路，祈請公卿，行人見者，皆爲隕涕。
HCH_011_047_000098	其父理雖清白，恥爲吏訊，乃虛自引咎，罪當大辟。
HCH_011_047_000099	翂乃撾登聞鼓，乞代父命。
HCH_011_047_000100	高祖異之，敕廷尉卿蔡法度曰：「吉翂請死贖父，義誠可嘉；但其幼童，未必自能造意。卿可嚴加脅誘，取其款實。」
HCH_011_047_000101	法度受敕還寺，盛陳徽纏，備列官司，厲色問翂曰：「爾求代父死，敕已相許，便應伏法。然刀鋸至劇，審能死不？且爾童孺，志不及此，必爲人所教。姓名是誰，可具列答。若有悔異，亦相聽許。」
HCH_011_047_000102	翂對曰：「囚雖蒙弱，豈不知死可畏憚？顧諸弟稚藐，唯囚爲長，不忍見父極刑，自延視息。所以內斷胸臆，上干萬乘。今欲殉身不測，委骨泉壤，此非細故，奈何受人教邪！明詔聽代，不異登仙，豈有回貳！」
HCH_011_047_000103	法度知翂至心有在，不可屈撓，乃更和顏誘語之曰：「主上知尊侯無罪，行當釋亮。觀君神儀明秀，足稱佳童，今若轉辭，幸父子同濟。奚以此妙年，苦求湯鑊？」
HCH_011_047_000104	翂對曰：「凡鯤鮞螻蟻，尚惜其生；況在人斯，豈願齏粉？但囚父掛深劾，必正刑書，故思殞仆，冀延父命。今瞑目引領，以聽大戮，情殫意極，無言復對。」
HCH_011_047_000105	翂初見囚，獄掾依法備加桎梏；法度矜之，命脫其二械，更令著一小者。
HCH_011_047_000106	翂弗聽，曰：「翂求代父死，死罪之囚，唯宜增益，豈可減乎？」
HCH_011_047_000107	竟不脫械。
HCH_011_047_000108	法度具以奏聞，高祖乃宥其父。
HCH_011_047_000109	丹陽尹王志求其在廷尉故事，幷請鄉居，欲於歲首，舉充純孝之選。
HCH_011_047_000110	翂曰：「異哉王尹，何量翂之薄乎！夫父辱子死，斯道固然。若翂有靦面目，當其此舉，則是因父買名，一何甚辱！」
HCH_011_047_000111	拒之而止。
HCH_011_047_000112	年十七，應辟爲本州主簿。
HCH_011_047_000113	出監萬年縣，攝官朞月，風化大行。
HCH_011_047_000114	自雍還至郢，湘州刺史柳悅復召爲主簿。
HCH_011_047_000115	後鄉人裴儉、丹陽尹丞臧盾、揚州中正張仄連名薦翂，以爲孝行純至，明通《易》、《老》。
HCH_011_047_000116	敕付太常旌舉。
HCH_011_047_000117	初，翂以父陷罪，因成悸疾，後因發而卒。
HCH_011_047_000118	甄恬字彥約，中山無極人也，世居江陵。
HCH_011_047_000119	祖欽之，長寧令。
HCH_011_047_000120	父標之，州從事。
HCH_011_047_000121	恬數歲喪父，哀感有若成人。
HCH_011_047_000122	家人矜其小，以肉汁和飯飼之，恬不肯食。
HCH_011_047_000123	年八歲，問其母，恨生不識父，遂悲泣累日，忽若有見，言其形貌，則其父也，時以爲孝感。
HCH_011_047_000124	家貧，養母常得珍羞。
HCH_011_047_000125	及居喪，廬於墓側，恒有鳥玄黃雜色，集於廬樹，恬哭則鳴，哭止則止。
HCH_011_047_000126	又有白雀栖宿其廬。
HCH_011_047_000127	州將始興王憺表其行狀。
HCH_011_047_000128	詔曰：「朕虛己欽賢，寤寐盈想。詔彼群岳，務盡搜揚。恬旣孝行殊異，聲著邦壤，敦風厲俗，弘益茲多。牧守騰聞，義同親覽。可旌表室閭，加以爵位。」
HCH_011_047_000129	恬官至安南行參軍。
HCH_011_047_000130	韓懷明，上黨人也，客居荊州。
HCH_011_047_000131	年十歲，母患屍疰，每發輒危殆。
HCH_011_047_000132	懷明夜於星下稽顙祈禱，時寒甚切，忽聞香氣，空中有人語曰：「童子母須臾永差，無勞自苦。」
HCH_011_047_000133	未曉，而母豁然平復。
HCH_011_047_000134	鄉里異之。
HCH_011_047_000135	十五喪父，幾至滅性，負土成墳，贈助無所受。
HCH_011_047_000136	免喪，與鄉人郭瑀俱師事南陽劉虬。
HCH_011_047_000137	虬嘗一日廢講，獨居涕泣。
HCH_011_047_000138	懷明竊問其故，虬家人答云：「是外祖亡日。」
HCH_011_047_000139	時虬母亦亡矣。
HCH_011_047_000140	懷明聞之，卽日罷學，還家就養。
HCH_011_047_000141	虬歎曰：「韓生無虞丘之恨矣。」
HCH_011_047_000142	家貧，常肆力以供甘脆，嬉怡膝下，朝夕不離母側。
HCH_011_047_000143	母年九十一，以壽終，懷明水漿不入口一旬，號哭不絕聲。
HCH_011_047_000144	有雙白鳩巢其廬上，字乳馴狎，若家禽焉，服釋乃去。
HCH_011_047_000145	旣除喪，蔬食終身，衣衾無改。
HCH_011_047_000146	天監初，刺史始興王憺表言之。
HCH_011_047_000147	州累辟不就，卒于家。
HCH_011_047_000148	劉曇淨字元光，彭城呂人也。
HCH_011_047_000149	祖元真，淮南太守，居郡得罪；父慧鏡，歷詣朝士乞哀，懇惻甚至，遂以孝聞。
HCH_011_047_000150	曇淨篤行有父風。
HCH_011_047_000151	解褐安成王國左常侍。
HCH_011_047_000152	父卒於郡，曇淨奔喪，不食飲者累日，絕而又蘇。
HCH_011_047_000153	每哭輒嘔血。
HCH_011_047_000154	服闋，因毀瘠成疾。
HCH_011_047_000155	會有詔，士姓各舉四科，曇淨叔父慧斐舉以應孝行，高祖用爲海寧令。
HCH_011_047_000156	曇淨以兄未爲縣，因以讓兄，乃除安西行參軍。
HCH_011_047_000157	父亡後，事母尤淳至，身營飧粥，不以委人。
HCH_011_047_000158	母疾，衣不解帶。
HCH_011_047_000159	及母亡，水漿不入口者殆一旬。
HCH_011_047_000160	母喪權瘞藥王寺。
HCH_011_047_000161	時天寒，曇淨身衣單布，廬於瘞所，晝夜哭泣不絕聲，哀感行路，未及朞而卒。
HCH_011_047_000162	何炯字士光，廬江灊人也。
HCH_011_047_000163	父撙，太中大夫。
HCH_011_047_000164	炯年十五，從兄胤受業，一朞並通《五經》章句。
HCH_011_047_000165	炯白皙，美容貌，從兄求、點每稱之曰：「叔寶神清，弘治膚清。今觀此子，復見衛、杜在目。」
HCH_011_047_000166	炯常慕恬退，不樂進仕。
HCH_011_047_000167	從叔昌珝謂曰：「求、點皆已高蹈，爾無宜復爾。且君子出處，亦各一途。」
HCH_011_047_000168	年十九，解褐揚州主簿。
HCH_011_047_000169	舉秀才，累遷王府行參軍、尚書兵、庫部二曹郎。
HCH_011_047_000170	出爲永康令，以和理稱。
HCH_011_047_000171	還爲仁威南康王限內記室，遷治書侍御史。
HCH_011_047_000172	以父疾經旬，衣不解帶，頭不櫛沐，信宿之間，形貌頓改。
HCH_011_047_000173	及父卒，號慟不絕聲，枕凷藉地，腰虛腳腫，竟以毀卒。
HCH_011_047_000174	庾沙彌，潁陰人也。
HCH_011_047_000175	晉司空冰六世孫。
HCH_011_047_000176	父佩玉，輔國長史、長沙內史，宋昇明中坐沈攸之事誅，沙彌時始生。
HCH_011_047_000177	年至五歲，所生母爲制采衣，輒不肯服。
HCH_011_047_000178	母問其故，流涕對曰：「家門禍酷，用是何爲！」
HCH_011_047_000179	旣長，終身布衣蔬食。
HCH_011_047_000180	起家臨川王國左常侍，遷中軍田曹行參軍。
HCH_011_047_000181	嫡母劉氏寢疾，沙彌晨昏侍側，衣不解帶，或應針灸，輒以身先試之。
HCH_011_047_000182	及母亡，水漿不入口累日，終喪不解衰絰，不出廬戶，晝夜號慟，鄰人不忍聞。
HCH_011_047_000183	墓在新林，因有旅松百餘株，自生墳側。
HCH_011_047_000184	族兄都官尚書詠表言其狀，應純孝之舉，高祖召見嘉之，以補歙令。
HCH_011_047_000185	還除輕車邵陵王參軍事，隨府會稽，復丁所生母憂。
HCH_011_047_000186	喪還都，濟浙江，中流遇風，舫將覆沒，沙彌抱柩號哭，俄而風靜，蓋孝感所致。
HCH_011_047_000187	服闋，除信威刑獄參軍，兼丹陽郡囗囗囗累遷寧遠錄事參軍，轉司馬。
HCH_011_047_000188	出爲長城令，卒。
HCH_011_047_000189	江紑字含潔，濟陽考城人也。
HCH_011_047_000190	父蒨，光祿大夫。
HCH_011_047_000191	紑幼有孝性。
HCH_011_047_000192	年十三，父患眼，紑侍疾將朞月，衣不解帶。
HCH_011_047_000193	夜夢一僧云：「患眼者，飲慧眼水必差。」
HCH_011_047_000194	及覺說之，莫能解者。
HCH_011_047_000195	紑第三叔祿與草堂寺智者法師善，往訪之。
HCH_011_047_000196	智者曰：「《無量壽經》云：慧眼見真，能渡彼岸。」
HCH_011_047_000197	蒨乃因智者啓捨同夏縣界牛屯里舍爲寺，乞賜嘉名。
HCH_011_047_000198	敕答云：「純臣孝子，往往感應。晉世顏含，遂見冥中送藥。近見智者，知卿第二息感夢，云飲慧眼水。慧眼則是五眼之一號，若欲造寺，可以慧眼爲名。」
HCH_011_047_000199	及就創造，泄故井，井水清冽，異於常泉。
HCH_011_047_000200	依夢取水洗眼及煮藥，稍覺有瘳，因此遂差。
HCH_011_047_000201	時人謂之孝感。
HCH_011_047_000202	南康王爲南州，召爲迎主簿。
HCH_011_047_000203	紑性靜，好《老》、《莊》玄言，尤善佛義，不樂進仕。
HCH_011_047_000204	及父卒，紑廬于墓，終日號慟不絕聲，月餘卒。
HCH_011_047_000205	劉霽字士烜，平原人也。
HCH_011_047_000206	祖乘民，宋冀州刺史。
HCH_011_047_000207	父聞慰，齊工員郎。
HCH_011_047_000208	霽年九歲，能誦《左氏傳》，宗黨咸異之。
HCH_011_047_000209	十四居父憂，有至性，每哭輒嘔血。
HCH_011_047_000210	家貧，與弟杳、高槠相篤勵學。
HCH_011_047_000211	旣長，博涉多通。
HCH_011_047_000212	天監中，起家奉朝請，稍遷宣惠晉安王府參軍，兼限內記室，出補西昌相。
HCH_011_047_000213	入爲尚書主客侍郎。
HCH_011_047_000214	未朞，除海鹽令。
HCH_011_047_000215	霽前後宰二邑，並以和理著稱。
HCH_011_047_000216	還爲建康正，非所好。
HCH_011_047_000217	頃之，以疾免。
HCH_011_047_000218	尋除建康令，不拜。
HCH_011_047_000219	母明氏寢疾，霽年已五十，衣不解帶者七旬，誦《觀世音經》，數至萬遍，夜因感夢，見一僧謂曰：「夫人算盡，君精誠篤至，當相爲申延。」
HCH_011_047_000220	後六十餘日乃亡。
HCH_011_047_000221	霽廬于墓，哀慟過禮。
HCH_011_047_000222	常有雙白鶴馴翔廬側。
HCH_011_047_000223	處士阮孝緒致書抑譬，霽思慕不已，服未終而卒，時年五十二。
HCH_011_047_000224	著《釋俗語》八卷，文集十卷。
HCH_011_047_000225	弟杳在《文學傳》，歊在《處士傳》。
HCH_011_047_000226	褚脩，吳郡錢唐人也。
HCH_011_047_000227	父仲都，善《周易》，爲當時最。
HCH_011_047_000228	天監中，歷官《五經》博士。
HCH_011_047_000229	脩少傳父業，兼通《孝經》、《論語》，善尺牘，頗解文章。
HCH_011_047_000230	初爲湘東王國侍郎，稍遷輕車湘東府行參軍，並兼國子助教。
HCH_011_047_000231	武陵王爲揚州，引爲宣惠參軍、限內記室。
HCH_011_047_000232	脩性至孝，父喪毀瘠過禮，因患冷氣。
HCH_011_047_000233	及丁母憂，水漿不入口二十三日，氣絕復蘇，每號慟嘔血，遂以毀卒。
HCH_011_047_000234	謝藺字希如，陳郡陽夏人也。
HCH_011_047_000235	晉太傅安八世孫。
HCH_011_047_000236	父經，中郎諮議參軍。
HCH_011_047_000237	藺五歲，每父母未飯，乳媼欲令藺先飯，藺曰：「旣不覺饑。」
HCH_011_047_000238	強食終不進。
HCH_011_047_000239	舅阮孝緒聞之，歎曰：「此兒在家則曾子之流，事君則藺生之匹。」
HCH_011_047_000240	因名之曰藺。
HCH_011_047_000241	稍受以經史，過目便能諷誦。
HCH_011_047_000242	孝緒每曰「吾家陽元也」。
HCH_011_047_000243	及丁父憂，晝夜號慟，毀瘠骨立，母阮氏常自守視譬抑之。
HCH_011_047_000244	服闋後，吏部尚書蕭子顯表其至行，擢爲王府法曹行參軍，累遷外兵記室參軍。
HCH_011_047_000245	時甘露降士林館，藺獻頌，高祖嘉之，因有詔使制《北兗州刺史蕭楷德政碑》，又奉令制《宣城王奉述中庸頌》。
HCH_011_047_000246	太清元年，遷散騎侍郎，兼散騎常侍，使於魏。
HCH_011_047_000247	會侯景舉地入附，境上交兵，藺母慮不得還，感氣卒。
HCH_011_047_000248	及藺還入境，爾夕夢不祥，旦便投劾馳歸。
HCH_011_047_000249	旣至，號慟嘔血，氣絕久之，水漿不入口。
HCH_011_047_000250	親友慮其不全，相對悲慟，強勸以飲粥。
HCH_011_047_000251	藺初勉強受之，終不能進，經月餘日，因夜臨而卒，時年三十八。
HCH_011_047_000252	藺所制詩賦碑頌數十篇。
HCH_011_047_000253	史臣曰：孔子稱「毀不滅性」，教民無以死傷生也，故制喪紀，爲之節文。
HCH_011_047_000254	高柴、仲由伏膺聖教，曾參、閔損虔恭孝道，或水漿不入口，泣血終年，豈不知創鉅痛深，《蓼莪》慕切？
HCH_011_047_000255	所謂先王制禮，賢者俯就。
HCH_011_047_000256	至如丘、吳，終於毀滅。
HCH_011_047_000257	若劉曇淨、何炯、江紑、謝藺者，亦二子之志歟。
HCH_011_047_000258	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
