HCH_012_022_000000	熹宗達天闡道敦孝篤友章文襄武靖穆莊勤悊皇帝，諱由校，光宗長子也。
HCH_012_022_000056	九月壬寅，葬貞皇帝於慶陵。
HCH_012_022_000057	乙卯，永寧宣撫使奢崇明反，殺巡撫徐可求，據重慶，分兵陷合江、納溪、瀘州。
HCH_012_022_000058	丁卯，陷興文，知縣張振德死之。
HCH_012_022_000059	冬十月戊辰，御史周宗建請出客氏於外，不聽。
HCH_012_022_000060	給事中倪思輝、朱欽相等相繼言，皆謫外任。
HCH_012_022_000061	丙子，史繼偕入閣。
HCH_012_022_000062	乙酉，奢崇明圍成都，布政使朱燮元固守。
HCH_012_022_000063	尋擢燮元僉都御史，巡撫四川。
HCH_012_022_000064	石砫宣撫使女土官秦良玉起兵討賊。
HCH_012_022_000065	壬辰，葉向高入閣。
HCH_012_022_000066	十二月丁丑，巡撫河南都御史張我續為兵部侍郎，提督川、貴軍務。
HCH_012_022_000067	陝西巡撫移駐漢中，鄖陽巡撫移駐夷陵。
HCH_012_022_000068	湖廣官軍由巫峽趨忠、涪討賊。
HCH_012_022_000069	庚辰，援遼浙兵譁於玉田。
HCH_012_022_000070	辛卯，以熊廷弼、王化貞屢議戰守不合，遣使宣諭。
HCH_012_022_000071	是年，安南、土魯番、烏斯藏入貢。
HCH_012_022_000072	二年春正月丁未，延綏總兵官杜文煥、四川總兵官楊愈懋討永寧賊。
HCH_012_022_000073	丁巳，大清兵取西平堡，副將羅一貴死之。
HCH_012_022_000074	鎮武營總兵官劉渠、祁秉忠逆戰於平陽橋，敗沒。
HCH_012_022_000075	王化貞走閭陽，與熊廷弼等俱入關。
HCH_012_022_000076	參政高邦佐留松山，死之。
HCH_012_022_000077	壬戌，振山東流徙遼民。
HCH_012_022_000078	癸亥，兵部尚書張鶴鳴視師遼東。
HCH_012_022_000079	乙丑，京師戒嚴。
HCH_012_022_000080	河套部犯延綏。
HCH_012_022_000081	永寧賊將羅乾象約降，與官軍共擊賊，成都圍解。
HCH_012_022_000082	二月癸酉，水西土同知安邦彥反，陷畢節、安順、平壩、霑益、龍里，遂圍貴陽，巡撫都御史李橒、巡按御史史永安固守。
HCH_012_022_000083	戊寅，免天下帶徵錢糧二年及北畿加派。
HCH_012_022_000084	禮部右侍郎孫承宗為兵部尚書兼東閣大學士，預機務。
HCH_012_022_000085	己丑，孫承宗兼理兵部事。
HCH_012_022_000086	三月丁酉朔，劉一燝致仕。
HCH_012_022_000087	甲辰，陽武侯薛濂管理募兵。
HCH_012_022_000088	兵部侍郎王在晉為尚書兼右副都御史，經略遼、薊、天津、登、萊軍務。
HCH_012_022_000089	甲寅，賜文震孟等進士及第、出身有差。
HCH_012_022_000090	丁巳，敕湖廣、雲南、廣西官軍援貴州。
HCH_012_022_000091	是春，舉內操。
HCH_012_022_000092	夏四月甲申，京師旱。
HCH_012_022_000093	五月戊戌，復張居正原官。
HCH_012_022_000094	己亥，錄方孝孺遺嗣，尋予祭葬及諡。
HCH_012_022_000095	丙午，山東白蓮賊徐鴻儒反，陷鄆城。
HCH_012_022_000096	癸亥，秦良玉、杜文煥破賊於佛圖關，官軍合圍重慶，復之。
HCH_012_022_000097	六月戊辰，徐鴻儒陷鄒縣、滕縣，滕縣知縣姬文胤死之。
HCH_012_022_000098	加毛文龍為總兵官。
HCH_012_022_000099	貴州總兵官張彥芳為平蠻總兵官，從巡撫都御史王三善討水西賊。
HCH_012_022_000100	己巳，前總兵官楊肇基、遊擊陳九德帥兵討山東賊。
HCH_012_022_000101	秋七月甲辰，松潘副使李忠臣約總兵官楊愈懋謀復永寧，不克，皆死之。
HCH_012_022_000102	賊攻大壩，遊擊龔萬祿戰死，遂陷遵義。
HCH_012_022_000103	癸丑，沈㴶致仕。
HCH_012_022_000104	乙卯，神宗神主祔太廟。
HCH_012_022_000105	庚申，援黔兵潰於新添。
HCH_012_022_000106	癸亥，武邑賊于弘志作亂，尋伏誅。
HCH_012_022_000107	八月庚辰，孫承宗以原官督理山海關及薊、遼、天津、登、萊軍務。
HCH_012_022_000108	九月甲午朔，光宗神主祔太廟。
HCH_012_022_000109	壬寅，御史馮英請設州縣兵，按畝供餉，從之。
HCH_012_022_000110	乙卯，封皇弟由檢為信王。
HCH_012_022_000111	停刑。
HCH_012_022_000112	冬十月辛未，水西賊犯雲南，官軍擊敗之。
HCH_012_022_000113	辛巳，官軍復鄒縣，擒徐鴻儒等，山東賊平。
HCH_012_022_000114	壬午，總兵官魯欽代杜文煥為總理，援貴州。
HCH_012_022_000115	十一月癸丑，朱燮元總督四川軍務。
HCH_012_022_000116	十二月己巳，王三善、副總兵劉超敗賊於龍里，貴陽圍解。
HCH_012_022_000117	是年，暹羅入貢。
HCH_012_022_000118	三年春正月己酉，禮部侍郎朱國禎，尚書顧秉謙，侍郎朱延禧、魏廣微，俱禮部尚書東閣大學士，預機務。
HCH_012_022_000119	乙卯，紅夷據澎湖。
HCH_012_022_000120	貴州官軍三路進討水西，副總兵劉超敗績於陸廣河。
HCH_012_022_000121	二月乙酉，贈卹鄒縣死難博士孟承光及母孔氏，子弘略。
HCH_012_022_000122	是月，停南京進鮮。
HCH_012_022_000123	三月癸卯，朝鮮廢其主李琿。
HCH_012_022_000124	是春，振山東被兵州縣。
HCH_012_022_000125	夏四月庚申朔，京師地震。
HCH_012_022_000126	己巳，朱國祚致仕。
HCH_012_022_000127	五月辛丑，四川官軍敗賊於永寧，奢崇明走紅崖。
HCH_012_022_000128	秋七月辛卯，南京大內災。
HCH_012_022_000129	壬辰，奢崇明走龍場，與安邦彥合。
HCH_012_022_000130	丁酉，安南寇廣西，巡撫都御史何士晉禦卻之。
HCH_012_022_000131	己亥，史繼偕致仕。
HCH_012_022_000132	九月癸巳，給事中陳良訓疏陳防微四事，下鎮撫司獄。
HCH_012_022_000133	冬十月乙亥，京師地震。
HCH_012_022_000134	丁丑，停刑。
HCH_012_022_000135	閏月壬寅，以皇子生，詔赦天下。
HCH_012_022_000136	是月，王三善剿水西，屢破賊，至大方。
HCH_012_022_000137	十一月丁巳朔，祀天於南郊。
HCH_012_022_000138	十二月癸巳，封李倧為朝鮮國王。
HCH_012_022_000139	戊戌，京師地震。
HCH_012_022_000140	庚戌，魏忠賢總督東廠。
HCH_012_022_000141	是年，暹羅、琉球入貢。
HCH_012_022_000142	四年春正月丙辰朔，長興民吳野樵殺知縣石有恆、主簿徐可行，尋伏誅。
HCH_012_022_000143	乙丑，王三善自大方旋師遇伏，被執死之，諸官將皆死。
HCH_012_022_000144	庚午，何宗彥卒。
HCH_012_022_000145	二月丁酉，薊州、永平、山海關地震，壞城郭廬舍。
HCH_012_022_000146	甲寅，京師地震，宮殿動搖有聲。
HCH_012_022_000147	帝不豫。
HCH_012_022_000148	三月丁巳，疾愈。
HCH_012_022_000149	庚申，杭州兵變。
HCH_012_022_000150	是月，京師屢地震。
HCH_012_022_000151	夏五月甲寅朔，福寧兵變，有司撫定之。
HCH_012_022_000152	六月癸未，左副都御史楊漣劾魏忠賢二十四大罪，南北諸臣論忠賢者相繼，皆不納。
HCH_012_022_000153	丙申，大雨雹。
HCH_012_022_000154	杖殺工部郎中萬燝，逮杖御史林汝翥。
HCH_012_022_000155	秋七月辛酉，葉向高致仕。
HCH_012_022_000156	癸亥，河決徐州。
HCH_012_022_000157	振山東饑。
HCH_012_022_000158	冬十月，削吏部侍郎陳于廷、副都御史楊漣、僉都御史左光斗籍。
HCH_012_022_000159	十一月己巳，韓爌致仕。
HCH_012_022_000160	是月，貴州官兵敗賊於普定，進至織金，破之。
HCH_012_022_000161	十二月辛巳，逮內閣中書汪文言下鎮撫司獄。
HCH_012_022_000162	丙申，朱國禎致仕。
HCH_012_022_000163	癸卯，南京地震如雷。
HCH_012_022_000164	是月，兩當民變，殺知縣牛得用。
HCH_012_022_000165	五年春正月癸亥，大清兵取旅順。
HCH_012_022_000166	戊寅，以慶陵工成，予魏忠賢等廕賚。
HCH_012_022_000167	是月，總理魯欽、劉超等自織金旋師，為賊所襲，諸營兵潰。
HCH_012_022_000168	三月甲寅，釋奠於先師孔子。
HCH_012_022_000169	丙寅，賜余煌等進士及第、出身有差。
HCH_012_022_000170	甲戌，朱燮元總督雲、貴、川、湖、廣西軍務，討安邦彥。
HCH_012_022_000171	丁丑，讞汪文言獄，逮楊漣、左光斗、袁化中、魏大中、周朝瑞、顧大章，削尚書趙南星等籍。
HCH_012_022_000172	未幾，漣等逮至，下鎮撫司獄，相繼死獄中。
HCH_012_022_000173	夏四月己亥，削大學士劉一燝籍。
HCH_012_022_000174	五月癸亥，給事中楊所修請以「梃擊」、「紅丸」、「移宮」三案編次成書，從之。
HCH_012_022_000175	乙丑，祀地於北郊。
HCH_012_022_000176	庚午，行宗室限祿法。
HCH_012_022_000177	六月丙戌，朱延禧致仕。
HCH_012_022_000178	秋七月壬戌，毀首善書院。
HCH_012_022_000179	壬申，韓爌削籍。
HCH_012_022_000180	甲戌，追論萬曆辛亥、丁巳、癸亥三京察，尚書李三才、顧憲成等削籍。
HCH_012_022_000181	八月壬午，毀天下東林講學書院。
HCH_012_022_000182	削尚書孫慎行等籍。
HCH_012_022_000183	戊子，禮部尚書周如磐兼東閣大學士，侍郎丁紹軾、黃立極為禮部尚書，少詹事馮銓為禮部右侍郎，並兼東閣大學士，預機務。
HCH_012_022_000184	己亥，魏廣微罷。
HCH_012_022_000185	壬寅，熊廷弼棄市，傳首九邊。
HCH_012_022_000186	九月壬子，遼東副總兵魯之甲敗沒於柳河。
HCH_012_022_000187	冬十月己卯，兵部尚書高第經略遼、薊、登、萊、天津軍務。
HCH_012_022_000188	丙戌，停刑。
HCH_012_022_000189	庚寅，孫承宗致仕。
HCH_012_022_000190	丙申，逮中書舍人吳懷賢下鎮撫司獄，杖殺之。
HCH_012_022_000191	庚子，以皇子生，詔赦天下。
HCH_012_022_000192	十一月壬子，周如磐致仕。
HCH_012_022_000193	十二月乙酉，榜東林黨人姓名，頒示天下。
HCH_012_022_000194	戊子，戍前尚書趙南星。
HCH_012_022_000195	是年，琉球、烏斯藏入貢。
HCH_012_022_000196	六年春正月戊午，修三朝要典。
HCH_012_022_000197	丁卯，大清兵圍寧遠，總兵官滿桂、寧前道參政袁崇煥固守。
HCH_012_022_000198	己巳，圍解。
HCH_012_022_000199	二月乙亥，袁崇煥為僉都御史，專理軍務，仍駐寧遠。
HCH_012_022_000200	戊戌，以蘇杭織造太監李實奏，逮前應天巡撫周起元，吏部主事周順昌，左都御史高攀龍，諭德繆昌期，御史李應昇、周宗建、黃尊素。
HCH_012_022_000201	攀龍赴水死，起元等下鎮撫司獄，相繼死獄中。
HCH_012_022_000202	己亥，祭日於東郊。
HCH_012_022_000203	三月丁未，設各邊鎮監軍內臣。
HCH_012_022_000204	太監劉應坤鎮守山海關，大學士丁紹軾、兵部尚書王永光等屢諫不聽。
HCH_012_022_000205	論寧遠解圍功，封魏忠賢從子良卿肅寧伯。
HCH_012_022_000206	庚戌，安邦彥犯貴州，官軍敗績，總理魯欽死之。
HCH_012_022_000207	壬子，袁崇煥巡撫遼東、山海。
HCH_012_022_000208	夏四月丁丑，命南京守備內臣搜括應天各府貯庫銀，充殿工、兵餉。
HCH_012_022_000209	戊戌，丁紹軾卒。
HCH_012_022_000210	五月戊申，王恭廠災，死者甚眾。
HCH_012_022_000211	己酉，以旱災敕羣臣修省。
HCH_012_022_000212	癸亥，朝天宮災。
HCH_012_022_000213	六月丙子，京師地震，靈丘地震經月。
HCH_012_022_000214	壬午，河決廣武。
HCH_012_022_000215	辛卯，三朝要典成，刊布中外。
HCH_012_022_000216	閏月辛丑，巡撫浙江僉都御史潘汝楨請建魏忠賢生祠，許之。
HCH_012_022_000217	嗣是建祠幾遍天下。
HCH_012_022_000218	壬寅，馮銓罷。
HCH_012_022_000219	壬子，朱燮元以憂去，偏沅巡撫都御史閔夢得代之。
HCH_012_022_000220	是夏，京師大水，江北、山東旱蝗。
HCH_012_022_000221	秋七月辛未朔，日當食，陰雲不見。
HCH_012_022_000222	辛巳，下前揚州知府劉鐸詔獄，殺之。
HCH_012_022_000223	丙戌，禮部侍郎施鳳來、張瑞圖，詹事李國𣚴，俱禮部尚書東閣大學士，預機務。
HCH_012_022_000224	八月，陝西流賊起，由保寧犯廣元。
HCH_012_022_000225	九月庚寅，顧秉謙致仕。
HCH_012_022_000226	壬辰，皇極殿成，停刑。
HCH_012_022_000227	己亥，魏良卿進封肅寧侯。
HCH_012_022_000228	是月，參將楊明輝齎敕招諭水西賊，被殺。
HCH_012_022_000229	是秋，江北大水，河南蝗。
HCH_012_022_000230	冬十月戊申，進魏忠賢爵上公，魏良卿寧國公，予誥券，加賜莊田一千頃。
HCH_012_022_000231	己酉，以皇極殿成詔天下，官匠雜流陞授者九百六十五人。
HCH_012_022_000232	癸丑，改修光宗實錄。
HCH_012_022_000233	十一月庚寅，予魏良卿鐵券。
HCH_012_022_000234	十二月戊申，南京地震。
HCH_012_022_000235	甲子，潯州賊殺守備蔡人龍。
HCH_012_022_000236	是年，安南、烏斯藏、琉球入貢。
HCH_012_022_000237	七年春正月辛未，振鳳陽饑。
HCH_012_022_000238	乙亥，太監涂文輔總督太倉銀庫、節慎庫。
HCH_012_022_000239	崔文昇、李明道提督漕運河道，覈京師、通州諸倉。
HCH_012_022_000240	辛卯，免榷潼關、咸陽商稅。
HCH_012_022_000241	二月壬戌，修隆德殿。
HCH_012_022_000242	三月癸酉，豐城侯李承祚請開採珠池、銅礦，不許。
HCH_012_022_000243	戊子，澄城民變，殺知縣張斗耀。
HCH_012_022_000244	是春，大清兵征朝鮮。
HCH_012_022_000245	夏四月丁酉，下前侍郎王之寀鎮撫司獄，死獄中。
HCH_012_022_000246	五月己巳，監生陸萬齡請建魏忠賢生祠於太學旁，歲祀如孔子，許之。
HCH_012_022_000247	丙子，大清兵圍錦州。
HCH_012_022_000248	癸巳，攻寧遠。
HCH_012_022_000249	六月庚子，錦州圍解。
HCH_012_022_000250	秋七月乙丑朔，帝不豫。
HCH_012_022_000251	丙寅，罷袁崇煥。
HCH_012_022_000252	己卯，封魏忠賢孫鵬翼為安平伯。
HCH_012_022_000253	壬午，戍孫慎行。
HCH_012_022_000254	丁亥，海賊寇廣東。
HCH_012_022_000255	是月，浙江大水。
HCH_012_022_000256	八月丙申，加魏良卿太師，魏鵬翼少師。
HCH_012_022_000257	戊戌，中極、建極二殿成。
HCH_012_022_000258	乙巳，召見閣部、科道諸臣於乾清宮，諭以魏忠賢、王體乾忠貞可計大事。
HCH_012_022_000259	封忠賢姪良棟為東安侯。
HCH_012_022_000260	甲寅，大漸。
HCH_012_022_000261	乙卯，崩於乾清宮，年二十三。
HCH_012_022_000262	遺詔以皇第五弟信王由檢嗣皇帝位。
HCH_012_022_000263	冬十月庚子，上尊諡，廟號熹宗，葬德陵。
HCH_012_022_000264	贊曰：明自世宗而後，綱紀日以陵夷，神宗末年，廢壞極矣。
HCH_012_022_000265	雖有剛明英武之君，已難復振。
HCH_012_022_000266	而重以帝之庸懦，婦寺竊柄，濫賞淫刑，忠良慘禍，億兆離心，雖欲不亡，何可得哉。
