HCH_012_063_000000	洪武三年定朝賀樂章。
HCH_012_063_000097	六月林鐘，本宮夾鍾角，俗名中呂角，曲名《慶皇都》：王氣呈祥飛紫鳳，虎嘯龍興，千里旌旗動。
HCH_012_063_000098	四海歡呼師旅衆，天戈一指風雲從。
HCH_012_063_000099	將士爭先民樂用，駕御英雄，聖德皆天縱。
HCH_012_063_000100	率土華夷歸職貢，詞臣拜獻河清頌。
HCH_012_063_000101	七月夷則，本宮南呂商，俗名中管商角，曲名《永太平》：鳳凰佳氣好，王師起義，乾坤初曉。
HCH_012_063_000102	淮水西邊，五色慶雲繚繞。
HCH_012_063_000103	三尺龍泉似水，更百萬貔貅熊豹。
HCH_012_063_000104	軍令悄，魚麗鵝鸛，風雲蛇鳥。
HCH_012_063_000105	赳赳電掣鷹揚，在伐罪安民，去殘除暴。
HCH_012_063_000106	天與人歸，豪傑削平多少。
HCH_012_063_000107	萬里煙塵淨洗，正紅日一輪高照。
HCH_012_063_000108	膺大寶，王業萬年相保。
HCH_012_063_000109	八月南呂，本宮南呂宮，俗名中管仙呂，曲名《鳳凰吟》：紫微翠蓋擁蓬萊，聖天子，帝圖開。
HCH_012_063_000110	歷數應江淮，看五色雲生上臺。
HCH_012_063_000111	櫛風沐雨，攻堅擊銳，將士總英才。
HCH_012_063_000112	躍馬定塵埃，創萬古山河壯哉。
HCH_012_063_000113	九月無射，本宮無射宮，俗名黃鐘，曲名《飛龍引》，詞同前《起臨濠》之曲。
HCH_012_063_000114	十月應鐘，本宮姑洗徵，俗名中呂正徵，曲名《龍池宴》：大明英主承天運，倡義擁天戈。
HCH_012_063_000115	星辰旋繞，風雲圍護，龍虎麾訶。
HCH_012_063_000116	旌旗所指，羌夷納款，江海停波。
HCH_012_063_000117	從今平定，萬年疆宇，百二山河。
HCH_012_063_000118	十一月黃鐘，本宮夷則角，俗名仙呂角，曲名《金門樂》：慶皇明聖主開寶祚，起臨濠。
HCH_012_063_000119	正汝潁塵飛，江淮浪卷，赤子呼號。
HCH_012_063_000120	天戈奮然倡義，擁神兵百萬總英豪。
HCH_012_063_000121	貔虎朝屯壁壘，虹霓夜繞弓刀。
HCH_012_063_000122	鳳凰同勢聳層霄，佳氣五雲高。
HCH_012_063_000123	愛士伍同心，君臣協力，不憚勤勞。
HCH_012_063_000124	風雲一時相會，看魚龍飛舞出波濤。
HCH_012_063_000125	靜掃八方氛祲，咸聽九奏簫韶。
HCH_012_063_000126	十二月大呂，本宮大呂宮，俗名高宮，曲名《風雲會》：天眷顧淮西，真人起布衣，正乾剛九五龍飛。
HCH_012_063_000127	駕馭英雄收俊傑，承永命，布皇威。
HCH_012_063_000128	一劍立鴻基，三軍擁義旗，望雲霓四海人歸。
HCH_012_063_000129	整頓乾坤除暴虐，歌聖德，慶雍熙。
HCH_012_063_000130	武舞曲，名《清海宇》：拔劍起淮土，策馬定寰區。
HCH_012_063_000131	王氣開天統，寶曆應乾符。
HCH_012_063_000132	武略文謨，龍虎風雲創業初。
HCH_012_063_000133	將軍星繞弁，勇士月彎弧。
HCH_012_063_000134	選騎平南楚，結陣下東吳，跨蜀驅胡，萬里山河壯帝居。
HCH_012_063_000135	文舞曲，名《泰階平》：乾坤清寧，治功告成，武定禍亂，文致太平。
HCH_012_063_000136	郊則致其禮，廟則盡其誠。
HCH_012_063_000137	卿雲在天甘露零，風雨時若百穀登。
HCH_012_063_000138	禮樂雍和，政刑肅清。
HCH_012_063_000139	儲嗣既立，封建乃行。
HCH_012_063_000140	讒佞屏四海，賢俊立朝廷。
HCH_012_063_000141	玉帛鐘鼓陳兩楹，君臣賡歌揚頒聲。
HCH_012_063_000142	四夷舞曲，其一，《小將軍》：大明君，定宇寰，聖恩寬，掌江山，東虜西戎，北狄南蠻，手高擎，寶貝盤。
HCH_012_063_000143	其二，《殿前歡》：五雲宮闕連霄漢，金光明照眼。
HCH_012_063_000144	玉溝金水聲潺潺，頫囟觀，趨蹌看，儀鑾嚴肅百千般，威人心膽寒。
HCH_012_063_000145	其三，《慶新年》：虎豹關，文武班，五彩間慶雲朝霞燦。
HCH_012_063_000146	黃金殿，喜氣增，丹墀內，仰聖顏。
HCH_012_063_000147	翠繞紅圍錦繡班，高樓十二欄。
HCH_012_063_000148	笙簫趁紫壇，仙音韻，瑤闉按，拜舞齊，歌謠纘，吾皇萬壽安。
HCH_012_063_000149	其四，《過門子》：定宇寰，定宇寰，掌江山，撫百蠻。
HCH_012_063_000150	謳歌拜舞仰祝纘，萬萬年，帝業安。
HCH_012_063_000151	洪武十五年重定宴饗九奏樂章。
HCH_012_063_000152	一奏《炎精開運之曲》：炎精開運，篤生聖皇。
HCH_012_063_000153	大明御極，遠紹虞唐。
HCH_012_063_000154	河清海宴，物阜民康。
HCH_012_063_000155	威加夷僚，德被戎羌。
HCH_012_063_000156	八珍有薦，九鼎馨香。
HCH_012_063_000157	鼓鍾鐄鐄，宮徵洋洋。
HCH_012_063_000158	怡神養壽，理陰順陽。
HCH_012_063_000159	保茲遐福，地久天長。
HCH_012_063_000160	二奏《皇風之曲》：皇風被八表，熙熙聲教宣。
HCH_012_063_000161	時和景象明，紫宸開繡筵。
HCH_012_063_000162	龍袞曜朝日，金爐嫋祥煙。
HCH_012_063_000163	濟濟公與侯，被服麗且鮮。
HCH_012_063_000164	列坐侍丹扆，磬折在周旋。
HCH_012_063_000165	羔豚昇華俎，玉饌充方圓。
HCH_012_063_000166	初筵奏《南風》，繼歌賡載篇。
HCH_012_063_000167	瑤觴欣再舉，拜俯禮無愆。
HCH_012_063_000168	同樂及斯辰，於皇千萬年。
HCH_012_063_000169	奏《平定天下之舞》，曲名《清海宇》。
HCH_012_063_000170	同前。
HCH_012_063_000171	三奏《眷皇明之曲》：赫赫上帝，眷我皇明。
HCH_012_063_000172	大命既集，本固支榮。
HCH_012_063_000173	厥本伊何？
HCH_012_063_000174	育德春宮。
HCH_012_063_000175	厥支伊何？
HCH_012_063_000176	籓邦以寧。
HCH_012_063_000177	慶延百世，澤被羣生。
HCH_012_063_000178	及時爲樂，天祿是膺。
HCH_012_063_000179	千秋萬歲，永觀厥成。
HCH_012_063_000180	奏《撫安四夷之舞》，曲名《小將軍》、《殿前歡》、《慶新年》、《過門子》。
HCH_012_063_000181	俱同前。
HCH_012_063_000182	四奏《天道傳之曲》：馬負圖兮天道傳，龜載書兮人文宣。
HCH_012_063_000183	羲畫卦兮禹疇敘，皇極建兮合自然。
HCH_012_063_000184	綿綿歷數歸明主，祥麟在郊威鳳舞。
HCH_012_063_000185	九夷入貢康衢謠，聖子神孫繼祖武，垂拱無爲邁前古。
HCH_012_063_000186	奏《車書會同之舞》，曲名《泰階平》。
HCH_012_063_000187	同前五奏《振皇綱之曲》：《周南》詠麟趾，《卷阿》歌鳳凰。
HCH_012_063_000188	藹藹稱多士，爲楨振皇綱。
HCH_012_063_000189	赫赫我大明，德尊逾漢唐。
HCH_012_063_000190	百揆修庶績，公輔理陰陽。
HCH_012_063_000191	峨冠正襟佩，都俞在高堂，坐令八紘內，熙熙民樂康。
HCH_012_063_000192	氣和風雨時，田疇歲豐穰。
HCH_012_063_000193	獻禮過三爵，歡娛良未央。
HCH_012_063_000194	六奏《金陵之曲》：鐘山蟠蒼龍，石城踞金虎。
HCH_012_063_000195	千年王氣都，於今歸聖主。
HCH_012_063_000196	六代繁華經幾秋，江流東去無時休。
HCH_012_063_000197	誰言天塹分南北，英雄豈但嗤曹劉。
HCH_012_063_000198	我皇昔住濠梁屋，神遊天錫真人服，提兵乘勢渡江來，語臣早獻《金陵曲》。
HCH_012_063_000199	歌金陵，進珍饌，皆八音，繼三嘆。
HCH_012_063_000200	請觀漢祖用兵時，爲嘗馮異滹沱飯。
HCH_012_063_000201	七奏《長楊之曲》：長楊曳綠，黃鳥和鳴。
HCH_012_063_000202	菡萏呈鮮，紫燕輕盈。
HCH_012_063_000203	千花浥露，日麗風清。
HCH_012_063_000204	及時爲樂，芳尊在庭。
HCH_012_063_000205	管音嘒嘒，絲韻泠泠，玉振金聲，各奏爾能。
HCH_012_063_000206	皤皤國老，載勸載懲。
HCH_012_063_000207	明德惟馨，垂之聖經。
HCH_012_063_000208	《唐風》示戒，永保嘉名。
HCH_012_063_000209	無已太康，哲人是聽。
HCH_012_063_000210	八奏《芳醴之曲》：夏王厭芳醴，商湯遠色聲。
HCH_012_063_000211	聖人示深戒，千春垂令名。
HCH_012_063_000212	惟皇登九五，玉食保尊榮。
HCH_012_063_000213	日昃不遑餐，佈德延羣生。
HCH_012_063_000214	天庖具豐膳，鼎鼐事調烹，豈但資肥甘，亦足養遐齡。
HCH_012_063_000215	達人悟茲理，恆令五氣平。
HCH_012_063_000216	隨時知有節，昭哉天道行。
HCH_012_063_000217	九奏《駕六龍之曲》：日麗中天漏下遲，公卿侍宴多令儀。
HCH_012_063_000218	簫韶九奏觴九獻，爐煙細逐祥風吹。
HCH_012_063_000219	羣臣舞蹈天顏喜，歲熟民康常若此。
HCH_012_063_000220	六龍回駕鳳樓深，寶扇齊開扶玉幾。
HCH_012_063_000221	景星呈瑞慶雲多，兩曜增暉四序和。
HCH_012_063_000222	聖人道大如天地，歲歲年年奈樂何。
HCH_012_063_000223	進膳曲，《水龍吟》：寶殿祥雲紫氣濛，聖明君，龍德宮。
HCH_012_063_000224	氤氳霧靄，檜柏間青松。
HCH_012_063_000225	龍樓鳳閣，雕梁畫棟，此是蓬萊洞。
HCH_012_063_000226	太平清樂曲，《太清歌》：萬國來朝進貢，仰賀聖明主，一統華夷。
HCH_012_063_000227	普天下八方四海，南北東西。
HCH_012_063_000228	託聖德，勝堯王，保護家國太平，天下都歸一，將兵器銷爲農器。
HCH_012_063_000229	旌旗不動酒旗招，仰荷天地。
HCH_012_063_000230	《上清歌》：一願四時風調雨順民心喜。
HCH_012_063_000231	攝外國，將寶貝；攝外國，將寶貝；見君王，來朝寶殿裏，珊瑚、瑪瑙、玻璃，進在丹墀。
HCH_012_063_000232	《開天門》：託長生，日月光天德，萬萬歲永固皇基。
HCH_012_063_000233	公卿文武來朝會，開玳筵，捧金盃。
HCH_012_063_000234	迎膳，奏《水龍吟曲》，與進膳同。
HCH_012_063_000235	升座、還宮、百官行禮，奏《萬歲樂》、《朝天子》二曲，與朝賀同。
HCH_012_063_000236	大祀慶成大宴，用《萬國來朝隊舞》、《纓鞭得勝隊舞》。
HCH_012_063_000237	萬壽聖節大宴，用《九夷進寶隊舞》、《壽星隊舞》。
HCH_012_063_000238	冬至大宴，用《贊聖喜隊舞》、《百花聖朝隊舞》。
HCH_012_063_000239	正旦大宴，用《百戲蓮花盆隊舞》、《勝鼓採蓮隊舞》。
HCH_012_063_000240	永樂十八年定宴饗樂舞。
HCH_012_063_000241	一奏《上萬壽之曲》：龍飛定萬方，受天命，振紀綱。
HCH_012_063_000242	彝倫攸敘四海康，普天率土盡來王。
HCH_012_063_000243	臣民舞蹈，嵩呼載揚，稱觴奉吾皇，聖壽天長。
HCH_012_063_000244	《平定天下舞曲》，其一，《四邊靜》：威伏千邦，四夷來賓納表章。
HCH_012_063_000245	顯禎祥，承乾象，皇基永昌，萬載山河壯。
HCH_012_063_000246	其二，《刮地風》：聖主過堯、舜、禹、湯，立五常三綱。
HCH_012_063_000247	八蠻進貢朝今上，頓首誠惶。
HCH_012_063_000248	朝中宰相，變理陰陽。
HCH_012_063_000249	五穀收成，萬民歡暢。
HCH_012_063_000250	賀吾皇，齊讚揚，萬國來降。
HCH_012_063_000251	二奏《仰天恩之曲》：皇天眷聖明，五辰順，四海寧，風調雨順百穀登，臣民鼓舞樂太平。
HCH_012_063_000252	賢良在位，邦家永禎。
HCH_012_063_000253	吾皇仰洪恩，夙夜存誠。
HCH_012_063_000254	黃童白叟鼓腹謳歌承應曲，曰《豆葉黃》：雨順風調，五穀收成，倉廩豐盈，大利民生。
HCH_012_063_000255	托賴著皇恩四海清，鼓腹謳歌，白叟黃童，共樂咸寧。
HCH_012_063_000256	四夷舞曲，其一，《小將軍》：順天心，聖德誠，化番邦，盡朝京。
HCH_012_063_000257	四夷歸伏，舞於龍廷。
HCH_012_063_000258	貢皇明，寶貝擎。
HCH_012_063_000259	其二，《殿前歡》：四夷率土歸王命，都來仰大明。
HCH_012_063_000260	萬邦千國皆歸正，現帝庭，朝仁聖。
HCH_012_063_000261	天階班列衆公卿，齊聲歌太平。
HCH_012_063_000262	其三，《慶豐年》：和氣增，鸞鳳鳴，紫霧生，祥雲朝霞映。
HCH_012_063_000263	爇金爐，香味馨，列丹墀，御駕盈。
HCH_012_063_000264	弦管簫韶五音應，龍笛間鳳笙。
HCH_012_063_000265	其四，《渤海令》：金盃中，酒滿盛。
HCH_012_063_000266	御案前，列羣英。
HCH_012_063_000267	君德成，皇圖慶，嵩呼萬歲聲。
HCH_012_063_000268	其五，《過門子》：聖主興，聖主興，顯威靈，蠻夷靜。
HCH_012_063_000269	至仁至德至聖明，萬萬年，帝業成。
HCH_012_063_000270	三奏《感地德之曲》：皇心感地靈，順天時，德厚生。
HCH_012_063_000271	含弘光大品物亨，鍾奇毓秀產俊英。
HCH_012_063_000272	河清海宴，麟來鳳鳴，陰陽永和平，相我文明。
HCH_012_063_000273	《車書會同舞曲》，其一，《新水令》：錦衣花帽設丹墀，具公服百司同會。
HCH_012_063_000274	麟至舞，鳳來儀，文武班齊，朝賀聖明帝。
HCH_012_063_000275	其二，《水仙子》：八方四面錦華夷，天下蒼生仰聖德。
HCH_012_063_000276	風調雨順昇平世，遍乾坤，皆贊禮，託君恩民樂雍熙。
HCH_012_063_000277	萬萬年皇基堅固，萬萬載江山定體，萬萬歲洪福天齊。
HCH_012_063_000278	四奏《民樂生之曲》：世間的萬民，荷天地，感聖恩。
HCH_012_063_000279	乾坤定位四海春，君臣父子正大倫。
HCH_012_063_000280	皇風浩蕩，人心載醇，熙熙樂天真，永戴明君。
HCH_012_063_000281	《表正萬邦舞曲》，其一，《慶太平》：奸邪濁亂朝綱，構禍難，煽動戈ＡＵ。
HCH_012_063_000282	赫怒吾皇，親征灞上，指天戈，敵皆降。
HCH_012_063_000283	其二，《武士歡》：白溝戰場，旌旗雲合迷日光。
HCH_012_063_000284	令嚴氣張，三軍踊躍齊奮揚，掃除殘甲如風蕩，凱歌傳四方。
HCH_012_063_000285	仁聖不殺降，望河南，失欃槍。
HCH_012_063_000286	其三，《滾繡球》：肆旅拒，恃力強，一心構殃，築滄洲百尺城隍。
HCH_012_063_000287	騁蠆毒，恣虎狼，孰能御當。
HCH_012_063_000288	順天心有德隆昌，倒戈斂甲齊歸降，撫將生還達故鄉，自此仁聞愈彰。
HCH_012_063_000289	其四，《陣陣贏》：不數孫吳兵法良，神謀睿算合陰陽，八陣堂堂行天上，虎略龍韜孰敢當。
HCH_012_063_000290	俘囚十萬皆疏放，感荷仁恩戴上蒼。
HCH_012_063_000291	其五，《得勝回》：兩傍四方，展鳥翼風雲雁行。
HCH_012_063_000292	出奇兵，敵難量，士強馬強。
HCH_012_063_000293	遍百里，眠旌臥槍。
HCH_012_063_000294	勝兵回，樂洋洋。
HCH_012_063_000295	其六，《小梁州》：敵兵戰敗神魂喪，擁貔貅，直渡長江。
HCH_012_063_000296	開市門，肆不移，宣聖恩，如天曠。
HCH_012_063_000297	綸音頒降，普天下，仰吾皇。
HCH_012_063_000298	五奏《感皇恩之曲》：當今四海寧，頌聲作，禮樂興。
HCH_012_063_000299	君臣慶會躋太平，衣冠濟濟宴彤庭。
HCH_012_063_000300	文臣武將，共荷恩榮，忠心盡微誠，仰答皇明。
HCH_012_063_000301	《天命有德舞曲》，其一，《慶宣和》：雨順風調萬物熙，一統華夷。
HCH_012_063_000302	四野嘉禾感和氣，一干百穗，一干百穗。
HCH_012_063_000303	其二，《窄磚兒》：梯航萬國來丹陛，太平年，永固洪基。
HCH_012_063_000304	正東西南北來朝會，洽寰宇，布春暉，四夷咸賓聲教美。
HCH_012_063_000305	自古明王在慎德，不須威武服戎狄。
HCH_012_063_000306	祥瑞集，鳳來儀。
HCH_012_063_000307	佳期萬萬歲，聖明君，主華夷。
HCH_012_063_000308	六奏《慶豐年之曲》：萬方仰聖君，大一統，撫萬民。
HCH_012_063_000309	豐年時序雨露均，穰穰五穀貨財殷。
HCH_012_063_000310	酣歌擊壤，風清俗淳，四夷悉來賓，正統皇仁。
HCH_012_063_000311	七奏《集禎應之曲》：皇天眷大明，五星聚，兆太平；騶虞出現甘露零，野蠶成繭嘉禾生，醴泉涌地河水清。
HCH_012_063_000312	乾坤萬萬年，四海永寧。
HCH_012_063_000313	八奏《永皇圖之曲》：天心眷聖皇，正天位，撫萬邦。
HCH_012_063_000314	仁風宣佈禮樂張，戎夷稽首朝明堂。
HCH_012_063_000315	皇圖鞏固，賢臣贊襄。
HCH_012_063_000316	太平日月光，地久天長。
HCH_012_063_000317	九奏《樂太平之曲》：皇恩被八紘，三光明，四海清。
HCH_012_063_000318	人康物阜歲屢登，含哺鼓腹皆歡聲。
HCH_012_063_000319	民歌帝力，唐堯至仁。
HCH_012_063_000320	乾坤永清，共樂太平。
HCH_012_063_000321	導膳、迎膳、進膳及升座、還宮、百官行禮諸曲，俱與洪武間同。
HCH_012_063_000322	大祀慶成，用《纓鞭得勝蠻夷隊舞》；萬壽聖節，《九夷進寶隊舞》；冬至節，《贊聖喜隊舞》；正旦節，《百戲蓮盆隊舞》。
HCH_012_063_000323	升座，樂曲《萬歲樂》：五百昌期嘉慶會，啓聖皇，龍飛天位。
HCH_012_063_000324	九州四海重華日，大明朝，萬萬世。
HCH_012_063_000325	百官行禮，樂曲《朝天子》：滿前瑞煙，香繞蓬萊殿，風回韶律鼓淵淵，列陛上，旌旗絢，日至硃躔。
HCH_012_063_000326	陽生赤甸氣和融，徹上元。
HCH_012_063_000327	歷年萬千，長慶天宮宴。
HCH_012_063_000328	上護衣、上花，樂曲《水龍吟》：寶殿金爐瑞靄浮，陳玉案，列珍羞。
HCH_012_063_000329	天花炫彩，照曜翠雲裘。
HCH_012_063_000330	鸞歌鳳舞，虞庭樂奏，萬歲君王壽。
HCH_012_063_000331	一奏《上萬歲之曲》：聖主垂衣裳，興禮樂，邁虞唐。
HCH_012_063_000332	簫韶九成儀鳳凰，日月中天照八荒。
HCH_012_063_000333	民安物阜，時和歲康。
HCH_012_063_000334	上奉萬年觴，胤祚無疆。
HCH_012_063_000335	奏《平定天下舞曲》，其一，《四邊靜》：天啓嘉祥，聖主中興振紀綱。
HCH_012_063_000336	頌洋洋，功蕩蕩，國運隆昌，萬歲皇圖壯。
HCH_012_063_000337	其二，《鳳鸞吟》：維皇上天佑聖明，景命宣，五雲輝，三臺潤，七緯光懸。
HCH_012_063_000338	協氣生，嘉祥見。
HCH_012_063_000339	正萬民，用羣賢。
HCH_012_063_000340	垂袞御經筵，宵衣勤政殿。
HCH_012_063_000341	禮圜丘大祀精虔，明水潔，蒼璧圓。
HCH_012_063_000342	秉周文，承殷薦，眷皇家億萬斯年。
HCH_012_063_000343	二奏《仰天恩之曲》：皇穹啓聖神，欽乾運，祗郊禋。
HCH_012_063_000344	一陽初動靄先春，萬福來同仰至仁。
HCH_012_063_000345	祥開日月，瑞見星辰。
HCH_012_063_000346	禮樂協神人，宇宙咸新。
HCH_012_063_000347	迎膳曲，《水龍吟》：春滿雕盤獻玉桃，葭管動，日輪高。
HCH_012_063_000348	熹微霽色，遙映袞龍袍。
HCH_012_063_000349	千官舞蹈，鈞韶迭奏，曲度昇平調。
HCH_012_063_000350	進膳曲，《水龍吟》：紫禁瓊筵暖應冬，驂八螭，乘六龍，玉卮瓊斝，黼座獻重瞳。
HCH_012_063_000351	堯天廣運，舜雲飛動，喜聽賡歌頌。
HCH_012_063_000352	進湯曲，其一，《太清歌》：長至日，開黃道，喜乾坤佳氣，陽長陰消。
HCH_012_063_000353	奏鈞韶，音調鳳軫，律協鸞簫。
HCH_012_063_000354	仰龍顏，天日表，如舜如堯。
HCH_012_063_000355	金爐煙暖御香飄，玉墀晴霽祥光繞。
HCH_012_063_000356	宮梅苑柳迎春好，燕樂蓬萊島。
HCH_012_063_000357	其二，《上清歌》：雲捧宸居，五星光映三臺麗。
HCH_012_063_000358	仰日月，層霄霽；仰日月，層霄霽。
HCH_012_063_000359	中興重見唐虞際，太和元氣自陽回，兆姓歡愉。
HCH_012_063_000360	其三，《開天門》：九重霄，日轉皇州曉。
HCH_012_063_000361	宴天家，共歌《魚藻》。
