HCH_009_094_000001	夾谷清臣，本名阿不沙，胡里改路桓篤人也。
HCH_009_094_000028	清臣曰：「兵書皆定法，難以應變。本朝行兵之術，惟用正奇二軍，臨敵制變，以正為奇，以奇為正，故無往不克。」
HCH_009_094_000029	上曰：「自古用兵亦不出奇正二法耳。且學古兵法如學弈棋，未能自得於心，而欲用舊陣勢以接敵，亦以疏矣。」
HCH_009_094_000030	尋上表丐閑，不許。
HCH_009_094_000031	固請，乃賜告省親，諭之曰：「聞卿母老，欲令歸省，故特給假五十日，馳驛以往，至彼可為一月留也。」
HCH_009_094_000032	五年二月，上禦凝和殿，清臣省覲還，謁上。
HCH_009_094_000033	上問：「卿母健否？其壽幾何？相別幾年矣？」
HCH_009_094_000034	清臣對曰：「臣母年八十三矣，別十年，幸頗強健。」
HCH_009_094_000035	上曰：「何不來此？」
HCH_009_094_000036	曰：「急於家務，故不欲離耳。」
HCH_009_094_000037	上曰：「老人多如是，所謂'血氣既衰，戒之在得'也。」
HCH_009_094_000038	複謂清臣：「胡里改路風俗何如？」
HCH_009_094_000039	對曰：「視舊則稍知禮貌，而勇勁不及矣。」
HCH_009_094_000040	因言西南、西北等路軍人，其閑習弓矢，亦非複曩時。
HCH_009_094_000041	六年，遷儀同三司，進拜左丞相，改封密。
HCH_009_094_000042	受命出師，行尚書省事於臨潢府。
HCH_009_094_000043	清臣遣人偵知虛實，以輕騎八千，令宣徽使移剌敏為都統，左衛將軍充、招討使完顏安國為左右翼，分領前隊，自選精兵一萬以當後隊。
HCH_009_094_000044	進至合勒河，前隊敏等於栲栳濼攻營十四，下之，回迎大軍，屬部斜出掩其所獲羊馬資物以歸。
HCH_009_094_000045	清臣遣人責其賧罰，北阻珝由此叛去，大侵掠。
HCH_009_094_000046	上遣責清臣，命右丞相襄代之。
HCH_009_094_000047	承安五年，降授橫海軍節度使兼滄州管內觀察使。
HCH_009_094_000048	初，上諭宰臣曰：「清臣舊有勞效，罪狀未甚明，若降授，應須告致仕耳。」
HCH_009_094_000049	初擬知廣寧府，上曰：「姑與滄州。」
HCH_009_094_000050	既而又曰：「與則與之，第恐有人言也。」
HCH_009_094_000051	尋複致仕。
HCH_009_094_000052	泰和二年薨，年七十。
HCH_009_094_000053	子麼查剌襲猛安。
HCH_009_094_000054	初議征討，清臣主其事，既而領軍出征，雖屢獲捷，而貪小利，遂致北邊不寧者數歲，天下尤之。
HCH_009_094_000055	丞相襄，本名唵，昭祖五世孫也。
HCH_009_094_000056	祖什古乃從太祖平遼，以功授上京世襲猛安，曆東京留守。
HCH_009_094_000057	父阿魯帶，皇統初北伐有功，拜參知政事。
HCH_009_094_000058	襄幼有志節，善騎射，多勇略，年十八襲世爵。
HCH_009_094_000059	大定初，契丹叛，從左副元帥謀衍以本部兵討賊，戰於肇州之長濼。
HCH_009_094_000060	襄先登鏖擊，足中流矢，裹創以戰，氣愈厲，七戰皆勝。
HCH_009_094_000061	謀衍握其手曰：「今日之捷，皆公力也。」
HCH_009_094_000062	賊走渡霿𩃭河，追及之。
HCH_009_094_000063	所駐地多草，賊乘風縱火，襄亦縱火，立空地以俟。
HCH_009_094_000064	戰十餘合，賊益困。
HCH_009_094_000065	襄謂謀衍曰：「今不乘此平殄，後將有悔。」
HCH_009_094_000066	謀衍然之。
HCH_009_094_000067	襄率眾搏戰。
HCH_009_094_000068	大敗之，俘獲萬計。
HCH_009_094_000069	會朝廷遣平章政事僕散忠義代謀衍將，襄複從忠義追賊至嫋嶺西之陷泉，及之，率右翼身先奮擊，賊大潰，人馬相蹂而死，陷泉幾平。
HCH_009_094_000070	賊酉窩斡僅與數十騎遁去，卒就擒，論功為第一。
HCH_009_094_000071	有司擬淄州刺史，詔特授亳州防禦使，時年二十三。
HCH_009_094_000072	宋人犯南鄙，襄為潁、壽都統，率甲士二千人渡潁水，敗敵兵五千，複潁州，生擒宋帥楊思。
HCH_009_094_000073	次濠州，宋將郭太尉退保橫澗山，襄攻之，伏弩射中其膝，督攻愈急，拔之，獲郭太尉。
HCH_009_094_000074	既而趨滁州，襄為先鋒，將至清流關，得宋偵者，知敵欲三道夜出，掩我不備。
HCH_009_094_000075	左副元帥紇石烈志甯問計。
HCH_009_094_000076	襄曰：「今兵少地隘，儻不得關，敵至，我無所據，必先取之。」
HCH_009_094_000077	曰：「我與若孰往？」
HCH_009_094_000078	襄曰：「元帥國家大臣，詎宜輕動？襄當為公往取。」
HCH_009_094_000079	志寧韙之。
HCH_009_094_000080	襄率騎二千，分二道，一由沖路，自以千兵間道潛登。
HCH_009_094_000081	既近，敵始覺。
HCH_009_094_000082	襄攻克之，據其關，志寧履行戰地，顧謂曰：「克敵於不可勝之地，真天下英傑也。」
HCH_009_094_000083	及宋乞盟，班師，召為拱衛直都指揮使，改殿前右衛將軍，轉左衛，出為東北路招討都監，遷速頻路節度使，移曷懶路兵馬都總管。
HCH_009_094_000084	左丞相志甯疾甚，世宗臨問之，志寧薦襄「智勇兼濟，有經世才，他人莫及，異時任用，殆勝於臣」。
HCH_009_094_000085	即召授殿前左副都點檢。
HCH_009_094_000086	為宋生日使，宋方祈免親接國書，襄至，宋人屢來議，皆折之，迄成禮而還。
HCH_009_094_000087	授陝西路統軍使，賜之尚服、廄馬、鞍勒、佩刀。
HCH_009_094_000088	改河南統軍使。
HCH_009_094_000089	入為吏部尚書，轉都點檢，賜錢千萬。
HCH_009_094_000090	世宗謂宰執曰：「襄為人甚蘊藉，非直日，亦入宮規畫諸事，事有所付乃退，其公勤如此。若襄之才豈多得哉！」
HCH_009_094_000091	擢御史大夫。
HCH_009_094_000092	逾月，拜尚書右丞，諭之曰：「卿在河南經制邊事，甚有統紀，及在吏部，至為點檢，尤奉公守法，朕甚嘉之。近長憲台，亦以剛直聞，是用委以機政，其益勉之！」
HCH_009_094_000093	未幾，進拜左丞。
HCH_009_094_000094	襄在外任，治有異效，至是朝廷以褒賞廉吏詔天下，列其名以示獎勵。
HCH_009_094_000095	二十三年，進拜平章政事，封蕭國公。
HCH_009_094_000096	世宗以金源郡王世嫡皇孫，將加王爵，詔擇國號。
HCH_009_094_000097	襄曰：「為天下大計，必先正其本，原者本也，請封原。」
HCH_009_094_000098	從之。
HCH_009_094_000099	故事，諸部族節度使及其僚屬多用颭人，而頗有私縱不法者，議改用諸色人。
HCH_009_094_000100	襄曰：「北邊雖無事，恆須經略之，若杜此門，其後有勞績，何以處之？請如舊。」
HCH_009_094_000101	他日，議及古有監軍之事。
HCH_009_094_000102	襄曰：「漢、唐初無監軍，將得專任，故戰必勝，攻必克。及叔世始以內臣監其軍，動為所制，故多敗而少功。若將得其人，監軍誠不必置。」
HCH_009_094_000103	並嘉納之。
HCH_009_094_000104	詔受北部進貢。
HCH_009_094_000105	使還，世宗問邊事，具圖以進，因上羈縻屬部、鎮服大石之策，詔悉行之。
HCH_009_094_000106	進拜右丞相，徙封戴。
HCH_009_094_000107	世宗不豫，與太尉徒單克甯、平章政事張汝霖宿內殿，同受顧命。
HCH_009_094_000108	章宗初即政，議罷僧道奴婢。
HCH_009_094_000109	太尉克甯奏曰：「此蓋成俗日久，若遽更之，於人情不安。陛下如惡其數多，宜嚴立格法，以防濫度，則自少矣。」
HCH_009_094_000110	襄曰：「出家之人安用僕隸？乞不問從初如何所得，悉放為良。若寺觀物力元系奴婢之數推定者，併合除免。」
HCH_009_094_000111	詔從襄言。
HCH_009_094_000112	由是二稅戶多為良者。
HCH_009_094_000113	明昌元年，同知棣州防禦使鸊上封事，曆詆宰執。
HCH_009_094_000114	太傅克寧奏，膏所言襄預知之。
HCH_009_094_000115	於是詔鸊還本猛安，而襄出知平陽府事。
HCH_009_094_000116	移知鳳翔，曆西京留守，召授同判大睦親府事，進樞密使，複拜右丞相，改封任。
HCH_009_094_000117	時左丞相夾谷清臣北禦邊，措畫乖方，屬邊事急，命襄代將其眾，佩金牌，便宜從事。
HCH_009_094_000118	臨宴慰遣，賜以貂裘、鞍山、細鎧及戰馬二。
HCH_009_094_000119	時胡里颭亦叛，嘯聚北京、臨潢之間。
HCH_009_094_000120	襄至，遣人招之，即降，遂屯臨潢。
HCH_009_094_000121	頃之，出師大鹽濼，複遣右衛將軍完顏充進軍斡魯速城，欲屯守，俟隙進兵。
HCH_009_094_000122	繪圖以聞，議者異同，即召面論，厚賜遣還。
HCH_009_094_000123	未幾，遣西北路招討使完顏安國等趨多泉子。
HCH_009_094_000124	密詔進討，乃命支軍出東道，襄由西道。
HCH_009_094_000125	而東軍至龍駒河為阻珝所圍，三日不得出，求援甚急，或請俟諸軍集乃發。
HCH_009_094_000126	襄曰：「我軍被圍數日，馳救之猶恐不及，豈可後時？」
HCH_009_094_000127	即鳴鼓夜發。
HCH_009_094_000128	或請先遣人報圍中，使知援至。
HCH_009_094_000129	襄曰：「所遣者儻為敵得，使知我兵寡而糧在後，則吾事敗矣。」
HCH_009_094_000130	乃益疾馳。
HCH_009_094_000131	遲明，距敵近，眾請少憩。
HCH_009_094_000132	襄曰：「吾所以乘夜疾馳者，欲掩其不備爾。緩則不及。」
HCH_009_094_000133	向晨壓敵，突擊之，圍中將士亦鼓噪出，大戰，獲輿帳牛羊。
HCH_009_094_000134	眾皆奔斡里劄河。
HCH_009_094_000135	遣安國追躡之。
HCH_009_094_000136	眾散走，會大雨，凍死者十八九，降其部長，遂勒勳九峰石壁。
HCH_009_094_000137	捷聞，上遣使厚賜以勞之，別詔許便宜賞賚士卒。
HCH_009_094_000138	九月，赴闕，拜左丞相，監修國史，封常山郡王。
HCH_009_094_000139	宴慶和殿，上親舉酒飲，解所服玉具佩刀以賜，俾即服之。
HCH_009_094_000140	十月，阻珝複叛，襄出屯北京，會群牧契丹德壽、陀鎖等據信州叛，偽建元曰身聖，眾號數十萬，遠近震駭。
HCH_009_094_000141	襄閒暇如平日，人心乃安。
HCH_009_094_000142	初，襄之出鎮也，至石門鎮，密謂僚屬曰：「北部犯塞奚足慮。第恐奸人乘隙而動。北京近地軍少，當預為之備。」
HCH_009_094_000143	即遣官發上京等軍六千，至是果得其用。
HCH_009_094_000144	臨潢總管烏古論道遠、咸平總管蒲察守純分道進討，擒德壽等送京師。
HCH_009_094_000145	契丹之亂，廷臣議罷郊祀，又欲改用正月上辛，上遣使問之，對曰：「郊為重禮，且先期詔天下，又籓國已報表賀，今若中罷，何以副四方傾望之意？若改用正月上辛，乃祈穀之禮，非郊見上帝之本意也。大禮不可輕廢，請決行之，臣乞於祀前滅賊。」
HCH_009_094_000146	既而賊破，果如所料。
HCH_009_094_000147	郊禮成，進封南陽郡王。
HCH_009_094_000148	始討契丹，自龍虎衛上將軍、節度使以下許承制授之。
HCH_009_094_000149	襄以為賞罰之柄非人臣所預，不敢奉詔。
HCH_009_094_000150	賊平，請委近臣諭旨將士，使知上恩。
HCH_009_094_000151	乃遣李仁惠持宣三十、敕百五十，視功給之。
HCH_009_094_000152	方德壽之叛，諸颭亦剽略為民患，襄慮其與之合，乃移諸颭居之近京地，撫慰之。
HCH_009_094_000153	或曰：「颭人與北俗無異，今置內地，或生變奈何？」
HCH_009_094_000154	襄笑曰：「颭雖雜類，亦我之邊民，若撫以恩，焉能無感？我在此，必不敢動。」
HCH_009_094_000155	後果無患。
HCH_009_094_000156	尋詔參知政事裔代領其軍。
HCH_009_094_000157	入見，賜錢五千萬。
HCH_009_094_000158	明年，以內艱免。
HCH_009_094_000159	翌日，起複視事。
HCH_009_094_000160	時議以契丹戶之驅奴尚眾，乞盡鬻以散其黨，襄以為非便，奏請量存口數，餘悉官贖為良，上納之。
HCH_009_094_000161	北部複叛，裔戰失律，複命襄為左副元帥蒞師，尋拜樞密使兼平章政事，屯北京。
HCH_009_094_000162	民方艱食，乃減價出糶倉粟以濟之。
HCH_009_094_000163	或以兵食方闕為言，襄曰：「烏有民足而兵不足者？」
HCH_009_094_000164	卒行之，民皆悅服。
HCH_009_094_000165	時議北討，襄奏遣同判大睦親府事宗浩出軍泰州，又請左丞衡於撫州行樞密院，出軍西北路以邀阻珝，而自帥兵出臨潢。
HCH_009_094_000166	上從其策，賜內庫物即軍中用之。
HCH_009_094_000167	其後斜出部族詣撫州降，上專使問襄，襄以為受之便。
HCH_009_094_000168	賜寶劍，詔度宜窮討。
HCH_009_094_000169	乃令士自齎糧以省挽運，進屯於沔移剌烈、烏滿掃等山以逼之。
HCH_009_094_000170	因請就用步卒穿壕築障，起臨潢左界北京路以為阻塞。
HCH_009_094_000171	言者多異同，詔問方略。
HCH_009_094_000172	襄曰：「今茲之費雖百萬貫，然功一成則邊防固而戍兵可減半，歲省三百萬貫，且寬民轉輸之力，實為永利。」
HCH_009_094_000173	詔可。
HCH_009_094_000174	襄親督視之，軍民並役，又募饑民以傭即事，五旬而畢。
HCH_009_094_000175	於是西北、西南路亦治塞如所請。
HCH_009_094_000176	無何，泰州軍與敵接戰，宗浩督其後，殺獲過半，諸部相率送款，襄納之。
HCH_009_094_000177	自是北陲遂定。
HCH_009_094_000178	襄還臨潢，減屯兵四萬、馬二萬疋。
HCH_009_094_000179	上以信符召還，遣近臣迎勞於途。
HCH_009_094_000180	既至，複撫問於第，入獻邊機十事，皆為施行，仍厚賜之，複拜左丞相。
HCH_009_094_000181	初，襄至自軍，上諭宰臣曰：「樞密使襄築立邊堡完固。古來立一城一邑，尚有賞賚，即欲拜三公，三公非賞功官，如左丞相亦非賞功者，雖然可特授之。」
HCH_009_094_000182	遣左司郎中阿勒根阿海降詔褒諭。
HCH_009_094_000183	四年正月，進拜司空，領左丞相如故。
HCH_009_094_000184	襄重厚寡言，務以鎮靜守法。
HCH_009_094_000185	每掾有所稟，必問曰：「諸相雲何？」
HCH_009_094_000186	掾對某相如是，某相如是。
HCH_009_094_000187	襄曰：「從某議。」
HCH_009_094_000188	其事無有異者。
HCH_009_094_000189	識者謂襄誠得相體。
HCH_009_094_000190	時上頗更定制度，初置提刑司，又議設清閒職位，如宋朝宮觀使，以待年高致仕之官。
HCH_009_094_000191	襄言：「年老致仕，朝廷養以俸廩，恩禮至渥。老不為退，複有省會之法，所以抑貪冒，長廉節。若擬別設，恐涉於濫。」
HCH_009_094_000192	又言：「省事不如省官，今提刑官吏，多無益於治，徒亂有司事。議者以謂斯乃外台，不宜罷。臣恐混淆之辭，徒煩聖聽。且憲台所掌者察官吏非違，正下民冤枉，亦無提點刑獄、舉薦之權。若已設難以遽更，其採訪廉能不宜隸本司，宜令監察御史歲終體究，仍不時選官廉訪。」
HCH_009_094_000193	上皆聽納。
HCH_009_094_000194	俄乞致仕，不許。
HCH_009_094_000195	時方旱，命有司祈雨，襄及平章政事張萬公、參政僕散揆等上表待罪。
HCH_009_094_000196	上召翰林學士党懷英草罪己詔，仍慰諭襄等視事。
HCH_009_094_000197	泰和元年春，承命馳禱於亳州太清宮及後土方嶽。
HCH_009_094_000198	以其世封遠，特改授河間府路算術海猛安。
HCH_009_094_000199	明年，皇子生，襄複自請報謝。
HCH_009_094_000200	既祀嵩嶽，還次芝田之府店，遂以疾薨，年六十三。
HCH_009_094_000201	訃聞，輟朝，遣使祭于路，葬禮依太師淄王克寧。
HCH_009_094_000202	諡曰武昭。
HCH_009_094_000203	命張行簡銘其碑。
HCH_009_094_000204	襄明敏，才武過人，上親待之厚，故所至有功。
HCH_009_094_000205	其駐軍臨潢也，有以偽書遺西京留守徒單鎰，欲構以罪。
HCH_009_094_000206	書聞，上以書還畀襄，其明信如此。
HCH_009_094_000207	既而果獲為偽書者。
HCH_009_094_000208	在政府二十年，明練故事，簡重能斷，器局尤寬大，待掾吏盡禮，用人各得所長，為當世名將相。
HCH_009_094_000209	大安間，配享章宗廟廷。
HCH_009_094_000210	夾谷衡，本名阿里不，山東西路三土猛安益打把謀克人也。
HCH_009_094_000211	大定十三年，創設女直進士舉，衡中第四人，補東平府教授。
HCH_009_094_000212	調范陽簿，選充國史院編修官，改應奉翰林文字。
HCH_009_094_000213	世宗嘗謂宰臣曰：「女直進士中才傑之士蓋亦難得，如徒單鎰、夾穀衡、尼龐古鑒，皆有用材也。」
HCH_009_094_000214	遷修起居注。
HCH_009_094_000215	章宗立，為侍御史，轉右司員外郎，敷奏稱旨，升左司郎中。
HCH_009_094_000216	明昌二年，擢御史中丞，未幾，拜參知政事。
HCH_009_094_000217	三年八月，以病，表乞致仕，詔撫慰不許。
HCH_009_094_000218	衡久在告，承詔始出，上見其羸瘠，複賜告一月。
HCH_009_094_000219	四年，詔賜今名，諭之曰：「朕選大臣，俾參機務，必資謀畫，協贊治平。其或得失晦而未形，利害膠而未決，正須識見純直，方能去取合公。比來議事之臣，鮮有一定之論，蓋以內無所守，故臨事而惑，致有中失，朕將何賴？卿忠實公方，審其是則執而不回，見其非則去而能果，度其事勢，有若權衡。汝之所長，衡實似之，可賜名衡。古者命名，將以責實，汝先有實，可謂稱名，行之克終，乃副朕意。」
HCH_009_094_000220	參知政事胥持國言區種法。
HCH_009_094_000221	衡曰：「若苟有利，古已行之，且用功多而所種少，複恐荒廢土田，徒勞民，無益也。」
HCH_009_094_000222	進尚書右丞。
HCH_009_094_000223	舊制，久曆隨朝職任者，得奉使江表。
HCH_009_094_000224	衡未使而拜執政，特賜錢六千貫。
HCH_009_094_000225	六年，遷尚書左丞，尋出行省於撫州。
HCH_009_094_000226	洎還入朝，聞父憂去，上亟召回，起複本職。
HCH_009_094_000227	承安二年，出為上京留守，尋改樞密副使，行院規畫邊事。
HCH_009_094_000228	三年，以修完封界，賜詔褒諭。
HCH_009_094_000229	四年正月，就拜平章政事，封英國公。
HCH_009_094_000230	薨，年五十一。
HCH_009_094_000231	上聞之惻然，為輟朝，命官致祭，賻贈有加。
HCH_009_094_000232	遣使敕葬，諡曰貞獻。
HCH_009_094_000233	完顏安國，字正臣，本名闍母。
HCH_009_094_000234	其先占籍上京，世有戰功。
HCH_009_094_000235	祖斜婆，授西南路世襲合劄謀克。
HCH_009_094_000236	安國沉雄有謀畫，尤善騎射。
HCH_009_094_000237	正隆元年，從軍為謀克，常以少擊眾。
HCH_009_094_000238	大定中，為常山簿，轉虹縣令。
HCH_009_094_000239	會王府新建，選充虞王府掾。
HCH_009_094_000240	再遷儀鸞局副使。
HCH_009_094_000241	明昌元年，改本局使。
HCH_009_094_000242	會大石部長有乞修歲貢者，朝廷許其請，詔安國往使之。
HCH_009_094_000243	至則率眾遠迓至帳，望闕羅拜，執禮無惰容。
HCH_009_094_000244	時北阻珝迫近塞垣，鄰部欲立功以誇雄上國，議邀安國俱行討之。
HCH_009_094_000245	安國以未奉詔為辭。
HCH_009_094_000246	強之，不可。
HCH_009_094_000247	或以危言怵之，安國曰：「大丈夫豈以生死易節。暴骨邊庭，不猶愈於病死牖下。」
HCH_009_094_000248	眾壯其言，饋贐如禮。
HCH_009_094_000249	既還，以奉使稱旨，升武衛軍都指揮使。
HCH_009_094_000250	出為東北路副招討，未赴，改西北路副招討。
HCH_009_094_000251	六年，左丞相夾谷清臣用兵，以安國為先鋒都統。
HCH_009_094_000252	適臨潢、泰州屬部叛，安國先討定之，以功遷本路招討使，兼威遠軍節度使。
HCH_009_094_000253	承安元年，大鹽濼之戰，殺獲甚眾，詔賜金幣。
HCH_009_094_000254	既而右丞相襄總大軍進，安國為兩路都統，大捷於多泉子。
HCH_009_094_000255	襄遣安國追敵，僉言糧道繼，不可行也。
HCH_009_094_000256	安國曰：「人得一羊可食十餘日，不如驅羊以襲之便。」
HCH_009_094_000257	遂從其計。
HCH_009_094_000258	安國統所部萬人疾驅以薄之，降其部長。
HCH_009_094_000259	捷聞，進官四級，遷左翼都統。
HCH_009_094_000260	承安二年，以營邊堡功，召簽樞密院事。
HCH_009_094_000261	賜虎符還邊，得以便宜從事。
HCH_009_094_000262	時並塞諸部降，諭使輸貢如初。
HCH_009_094_000263	進拜樞密副使。
HCH_009_094_000264	泰和元年，特授世襲西南路延晏河猛安，兼合劄謀克。
HCH_009_094_000265	帝幸慶甯宮，命安國嚴飭邊備。
HCH_009_094_000266	奏西南路邊戍私竄者乞招誘以安人心，上是其言。
HCH_009_094_000267	三年，以疾致仕，封道國公。
HCH_009_094_000268	四年，起複前職，卒。
HCH_009_094_000269	上聞之，輟朝。
HCH_009_094_000270	敕有司葬以執政禮。
HCH_009_094_000271	贈特進。
HCH_009_094_000272	安國在軍旅幾十五年，號令嚴明，指麾卒伍如左右手。
HCH_009_094_000273	又善伺知敵人虛實及山川險易，戰必身先士卒，故所向輒克。
HCH_009_094_000274	諸部入貢，安國能一一呼其祖先弟侄名字以戒諭之，諸部皆震悚，甚為鄰國所畏服。
HCH_009_094_000275	瑤里孛迭，北京路窟白猛安陀羅山謀克人也。
HCH_009_094_000276	以軍功曆海濱令，遷徐王府掾。
HCH_009_094_000277	以稱職，再任御史台。
HCH_009_094_000278	察廉，升同知震武軍節度使事。
HCH_009_094_000279	明昌初，為唐州刺史，尋授西北路招討副使。
HCH_009_094_000280	未幾，改東北路。
HCH_009_094_000281	六年正月，北邊有警，聚兵圍慶州急，孛迭率本路軍往救，敵解去，州竟無患。
HCH_009_094_000282	承安元年，丞相襄北伐，孛迭為先鋒副統，進軍至龍駒河，受圍，會襄引大軍至，得解。
HCH_009_094_000283	後授鎮甯軍節度使，以六群牧人叛，改寧昌軍。
HCH_009_094_000284	孛迭為都統，領步騎萬次懿州，敵數萬來逆戰，兵勢甚張，孛迭親陷陣，奮力鏖擊卻之，身中二創，捷聞，遷一官。
HCH_009_094_000285	承安二年，颭軍千餘出沒剽掠錦、懿間，孛迭追敗之，複獲所掠，悉還本戶。
HCH_009_094_000286	三年，從同判大睦親府事宗浩為左翼都統，戰移密河，勝；戰骨堡子西，殺獲甚眾。
HCH_009_094_000287	五年，授知廣寧府事，俄改東北路招討使。
HCH_009_094_000288	以捍邊有功，賜詔褒諭，三遷為崇義軍節度使。
HCH_009_094_000289	泰和六年，卒。
HCH_009_094_000290	訃聞，遣官致祭，賜銀五百兩，贈金紫光祿大夫。
HCH_009_094_000291	孛迭勇決善戰，自幼以軍功顯，任兵鎮十餘年，所向克捷，凡再遷官，賜金幣，甚為上倚注雲。
HCH_009_094_000292	贊曰：《易·師》之初六：「師出以律，否臧凶。」
HCH_009_094_000293	蓋初為師之始，出師之道，當慎其始。
HCH_009_094_000294	清臣首議出師，遽以貪小利敗。
HCH_009_094_000295	襄雖賢，竭力而後勝其任。
HCH_009_094_000296	衡、安國、孛迭之功又亞於襄者也。
HCH_009_094_000297	然而兵連禍結，以終金世。
HCH_009_094_000298	故兵無常勝，制勝在勢。
HCH_009_094_000299	勢制兵者強，兵制勢者亡。
HCH_009_094_000300	跡襄之開築壕塹以自固，其猶元魏、北齊之長城歟？
HCH_009_094_000301	金之勢可知矣。
HCH_009_094_000302	勢屈而兵勝，亡國之道也。
HCH_009_094_000303	金以兵始，亦以兵終。
HCH_009_094_000304	嗚呼！
HCH_009_094_000305	用兵之始，可不慎歟，可不慎歟！
