HCH_013_051_000000	世宗嘉靖九年二月，給事中夏言請更郊祀。
HCH_013_051_000050	昔周立四代之學，學有先聖，虞庠以舜，夏學以禹，殷學以湯，東膠以文王。
HCH_013_051_000051	復取當時左右贊成其德業者，為之先師，以配享焉。
HCH_013_051_000052	此天子立學之法也。
HCH_013_051_000053	上不喜，謫濂安遠知縣，不果用。
HCH_013_051_000054	天順間，林鶚知蘇州。
HCH_013_051_000055	時蘇學廟像，歲久剝落。
HCH_013_051_000056	或欲加以修飾，鶚曰：「塑像，非古也。我太祖於太學易以木主。彼未壞者，猶當毀之。幸遇其壞，易以木主，有何不可。」
HCH_013_051_000057	或以毀聖像疑之，鶚曰：「此土耳，豈聖賢耶！孔子生佛教未入中國之前，烏識所謂像哉？」
HCH_013_051_000058	於是併易從祀諸賢，皆為木主，然其它郡縣如故也。
HCH_013_051_000059	至是，上因纂《祀典》議成，諭大學士張璁：「凡雲雨風雷之祀，以及先聖先師祀典，俱當以敍次纂入。」
HCH_013_051_000060	璁因奏：「孔子祀典，自唐、宋以來，未有得其正者。臣謹採今昔儒臣議，上聖明垂覽，以為百世永遵之典。一、諡號。漢平帝元年，初追諡孔子曰褒成宣聖公，唐玄宗追諡為文宣王，元武宗加大成至聖文宣王。［元］姚燧曰：「孔子卒，哀公誄之，子貢以為非禮。平帝始封諡，蓋新莽以文其奸也。』國初，大學士吳沈《孔子封王辨》曰：「後世之禮，有甚似而實非者。《春秋》，列國僭王則黜之。夫子，人臣也。生非王爵，死而諡之，可乎？』《書》曰：「天降下民，作之君，作之師。』師也者，君之所不得而臣者也。故曰：「詔於天子無北面。』所以尊師也。彼以王爵之貴，而隆於稱師者，習俗之見也。布政夏寅曰：「唐玄宗開元既尊老子為玄元皇帝，尊太公為武成王，則追諡孔子不得而缺。豈可以李林甫不學無術之謬，制為萬世程乎？』祭酒丘濬曰：「自漢平帝追諡孔子為宣尼公，至開元加以『文』。文者，經天緯地者也。若夫『宣』之為言，諡法之美，不過聖善周聞而已，何足為聖人輕重哉？』又曰：「自古諡號，未聞有喻言者。『大成』之言，出於《孟子》，成者，樂之一終也。加此於至聖文宣王之上，於聖德無謂也。』一、章服。唐玄宗開元間，詔追諡文宣王，仍出王者兖冕之服以衣之。宋真宗祥符間，
HCH_013_051_000061	加先聖冕服桓圭一，從上公之禮，冕九旒，服九章。
HCH_013_051_000062	徽宗崇寧間，始詔冕用十二旒，兖服九章。
HCH_013_051_000063	金世宗大定間，大成殿聖像冠十二旒，服十二章。
HCH_013_051_000064	朱熹曰：「宣聖之設像，非古也。』洪武間，創南京太學，止用神主不設像。今國子監有設像者，仍元之舊也。丘濬曰：「塑像之設，自佛教入中國始。』李元瓘言：「顏子立侍。』則像在唐前已有之矣。嗚呼！姚燧有言：「《北史》：敢有造泥人、銅人者，門誅。』則泥人固非祀聖人法也。後世化其道而為之長短豐瘠，郡異縣殊，非神而明之之道也。一、籩豆樂舞。唐開元間，詔祀先聖，樂用九宮，舞用八佾。宋徽宗大觀間，賜禮器一副，內籩十冪全，豆十蓋全。國朝成化十三年，用禮部尚書周洪謨議，詔增六佾為八佾，加籩豆為十二，祭酒章懋及夏寅皆非之。以為十二籩豆、八佾，惟太學可行，天子所自祭也。郡縣皆行之，祭禮僭矣。夫孔子不觀魯僭王之禮，寧自蹈非禮之祀哉！一、配享。唐貞觀間，始詔顏回配享。曾參、孔伋，俱宋咸淳間配享。孟軻，元豐間配享。宋洪邁曰：「自唐以來，以顏淵至子夏為十哲，坐祀廟堂上。其後升顏子配享，則進曾子於堂，居子夏次。然顏子之父路，曾子之父點，乃在廡下從祀之列。子雖齊聖，不先父食，其何以安？』熊禾曰：「宜別設一室，以齊國公叔梁紇居中南面，杞國公顏無由、萊蕪侯曾點、泗水侯孔鯉、邾國公孟孫氏侑食西嚮。』弘治時，謝鐸、程敏政俱是之。敏政又以程子之父珦、
HCH_013_051_000065	朱子之父松請。
HCH_013_051_000066	珦不附王安石新法，松不附秦檜和議，其歷官行已足述也。
HCH_013_051_000067	一、從祀。
HCH_013_051_000068	程敏政疏曰：「唐貞觀二十一年，始以左丘明等二十七人從祀孔子廟庭，而并及馬融等。臣考歷代正史，馬融初應鄧騭之召為祕書，歷官南郡太守，以貪濁免，髠徙朔方。又為梁冀草奏殺李固，作《西第頌》美之。劉向初以獻賦進，喜誦神仙方術。嘗上言黃金可成，鑄作不驗，下吏當死。所著《洪範五行傳》，流為陰陽術家之小技。賈逵以獻頌為郎，附會圖讖，致通顯，不修小節，蓋左道亂正之人也。王弼、何晏倡清談，所注《易》，專祖老、莊。而范甯追究晉室之亂，以為王、何之罪，深於桀、紂。何休則止有《春秋解詁》一書，黜周王魯，又註《風角》等書，班之於《孝經》、《論語》，蓋異端邪說之流也。戴聖為九江守，多不法，何武劾之而免。及為博士，毀武於朝。子賓客為盜繫獄，武平心決之，得不死，則又造武謝。王肅仕魏封蘭陵侯，乃以女適司馬昭。又為司馬師畫策討文欽、毋丘儉，濟其惡。杜預守襄陽，數饋遺洛中貴要。伐吳，因斫癭之議，盡殺江陵人。以吏則不廉，以將則不義。凡此諸人，皆當罷黜。而議者謂能守其遺經，轉相授受。臣竊以為不然。夫守其遺經，若左丘明、公羊高、穀梁赤之於《春秋》，伏勝、孔安國之於《書》，毛萇之於《詩》，高堂生之於《儀禮》，后蒼之於《禮記》，杜子春之於《周禮》，
HCH_013_051_000069	可以當之。
HCH_013_051_000070	融等不過訓詁釋章句而已。
HCH_013_051_000071	至於鄭眾、盧植、鄭玄、服虔、范甯五人，雖若無過，然所行未能窺聖門，所著未能明聖學也。
HCH_013_051_000072	臣愚，乞罷戴聖等八人祀、鄭眾等五人祀於鄉。
HCH_013_051_000073	后蒼在漢初說《禮》數萬言，號《后氏曲臺禮》，《禮記》賴以傳。
HCH_013_051_000074	乞加封爵與左丘明等。
HCH_013_051_000075	至孔子弟子見於《家語》者，顏回而下六十六人。
HCH_013_051_000076	而司馬遷《史記》所載，多公伯寮、秦冉、顏何三人；文翁成都廟所畫，多蘧瑗、林放、申棖三人。
HCH_013_051_000077	臣考宋邢昺《論語註疏》，申棖，孔子弟子，在《家》語作「申續」，《史記》作「申黨」，其實一也。
HCH_013_051_000078	今朝廷從祀，申棖，封文登侯，在東廡；申黨，封淄川侯在西廡，甚無謂。
HCH_013_051_000079	且公伯寮乃聖門之螣蟊，而孔子稱瑗為夫子。
HCH_013_051_000080	《家語》、《史記》，林放俱不在弟子之列。
HCH_013_051_000081	秦冉、顏何，疑亦字畫相近之誤。
HCH_013_051_000082	臣愚以為：申棖、申黨位號，宜存其一；公伯寮等五人，宜罷其祀；而瑗、放者，各祀於其鄉。
HCH_013_051_000083	又洪武三十九年，行人司副楊砥請黜揚雄，進董仲舒。
HCH_013_051_000084	高皇帝納其言，行之。
HCH_013_051_000085	然荀況、揚雄，實相伯仲，而況以性為惡，以《禮》為偽，以子思、孟子為亂天下，宜并況黜之。
HCH_013_051_000086	其尚可議者：則隋之王通、宋之胡瑗也。
HCH_013_051_000087	先儒以通為僭經，而瑗亦少論著。
HCH_013_051_000088	程子曰：「王通，隱德君子也。」
HCH_013_051_000089	其粹處，殆非荀、揚所及。
HCH_013_051_000090	朱子小學書，亦備載瑗事。
HCH_013_051_000091	以為自秦、漢以來，師道之立，未有過瑗者。
HCH_013_051_000092	亦宜加封爵，使得從祀學官。
HCH_013_051_000093	臣按：敏政所奏，率多正論可採，而弘治初，禮官沮格不行。
HCH_013_051_000094	同時，謝鐸請祀楊時，罷吳澄。
HCH_013_051_000095	舉人桂萼亦請祀蔡元定，以為《律呂》、《大衍》諸書，俱有功於性理。
HCH_013_051_000096	又授其子《皇極範數》，此亦眾論之公也。
HCH_013_051_000097	臣又按：歐陽修所著《本論》，有翊道之功。
HCH_013_051_000098	蘇軾曰：「自漢以來，道術不出孔子。五百餘年而得韓愈，愈之後三百餘年而得歐陽子。夫韓愈既以從祀，歐陽修豈可缺哉！』」
HCH_013_051_000099	疏入，上命禮部會翰林諸臣議，編修徐階上言：「天子王祀孔子，承襲已久。一日不王，眾人愚昧，將妄加臆度，以為陛下奪孔子王爵，易惑難曉。且天子像祀孔子，兖冕章服，顒然王度，苟去王號，勢必撤毀。臣聞愛其人者，杖履猶加珍惜，況先聖之遺像乎！國家廟祀孔子，宮牆之制，下天子一等。樂舞籩豆，與天子同。今八佾、十籩，蓋猶諸侯之禮。苟去王號，將復司寇之舊。夷宮殺樂，以應禮文，恐妨太祖之初制矣。」
HCH_013_051_000100	帝覽疏，不懌，出階為延平府推官。
HCH_013_051_000101	帝乃自著《正孔子祀典說》，頒賜羣臣。
HCH_013_051_000102	璁復為《孔子祀典或問》上之，上嘉焉，眾議乃定。
HCH_013_051_000103	於是改大成至聖文宣王為至聖先師孔子。
HCH_013_051_000104	其配享四子，仍稱復聖、宗聖、述聖、亞聖。
HCH_013_051_000105	從祀弟子稱先賢，左丘明以下稱先儒，俱罷公、侯、伯爵，撤像題主祀之。
HCH_013_051_000106	申棖、申黨二人，存棖去黨。
HCH_013_051_000107	罷公伯寮、秦冉、顏何、荀況、戴聖、劉向、賈逵、馬融、何休、王肅、王弼、杜預、吳澄十三人。
HCH_013_051_000108	林放、蘧瑗、鄭玄、盧植、鄭眾、服虔、范甯祀於其鄉。
HCH_013_051_000109	進后蒼、王通、胡瑗、歐陽修。
HCH_013_051_000110	又以行人薛侃議，併進陸九淵從祀，而別祀啓聖公叔梁紇，以顏無由、曾點、孔鯉、孟孫氏、程珦、朱松、蔡元定從祀焉。
HCH_013_051_000111	改稱大成殿為先師廟。
HCH_013_051_000112	十一月已酉，初有事於南郊。
HCH_013_051_000113	先是，上命製圜丘祀器，金爐、玉爵、錦幕、圭璧及鐘、磬、賁鼓諸樂器。
HCH_013_051_000114	既成，陳於文華殿，召大學士張璁閱視。
HCH_013_051_000115	是日，帝親祀於圜丘，奉太祖西向配，各騂犢一，用璧三，獻九，奏樂，舞用八佾。
HCH_013_051_000116	從祀四：大明、夜明各騂牛一；恆星、五曜、羣星及雲、雨、風、雷師各牛一、羊一、豕一。
HCH_013_051_000117	明日，布詔天下，頒恩錫於庶官，布寬恤於小民。
HCH_013_051_000118	大學士張璁言：「頃者，生員李時颺疏請舉祀郊禖之禮，以祈聖嗣。夫古后稷之生，祈於禖；孔子之生，亦禱於尼山。《大雅‧既醉》之詩曰：「公尸嘉告。』曰：「君子萬年，未錫祚胤。』曰：「釐爾女士，從以孫子。』夫公尸之告，皆祖考之錫福也。臣願當茲慎選淑女之時，以廣求嗣續之誠，告於太廟、世廟，以祈祖考之祜，慰聖母之心。」上嘉其請，擇十二月二十四日行禮，夏言充祈嗣醮壇監禮使。十年春正月乙未，特享太廟，正太祖南向位。初，太祖立四親廟，德、懿、熙、仁同宮異廟，各南向。孟春特享於羣廟，三時各祭於德祖廟，序用昭穆。後改建太廟，同堂異室，亦各南向。四孟及歲除俱各祭於中室，仍序昭穆如初，罷特享禮。至英宗升祔，九室悉備。憲宗將祔，用禮官儀，祧懿祖。孝宗祔，祧熙祖。武宗祔，祧仁祖。獨德祖不祧。時享，則太祖、太宗以下，俱東西向。至是，帝諭張孚敬曰：「朕欲自今春享，奉太祖居中，太宗而下，各居一室，行特享禮。三時仍聚羣廟於太祖之室，昭穆相向，行時祫禮。季冬中旬，並享太廟，親王、功臣配食兩廡，以存太祖當代之制。歲暮節祭，行於奉先殿。世廟止行四時之享，歲暮祭於崇先殿。庶祭義明而萬世可行也，邪論勿惑。即會李時議上，或咨夏言以助之。
HCH_013_051_000119	孚敬唯唯如諭。
HCH_013_051_000120	議聞，帝從之。
HCH_013_051_000121	乃命祠官於廟中設㡩如九廟狀，奉太祖南向，羣宗遞遷就室，各南向，特享之。
HCH_013_051_000122	始退德祖於祧殿，不復預時享矣。
HCH_013_051_000123	祈穀於大祀殿。
HCH_013_051_000124	初，帝以孟春上辛，行祈穀於大祀殿，祭皇天上帝，用騂犢一、蒼玉一、三獻九奏，樂舞八佾，奉太祖、太宗配享。
HCH_013_051_000125	夏言建議：二郊奉太祖配，祈穀奉太宗配。
HCH_013_051_000126	張孚敬以為不可，留中不下。
HCH_013_051_000127	言又疏請，帝謂羣臣「違君悖禮」。
HCH_013_051_000128	切責之。
HCH_013_051_000129	乃命祈穀，太祖、太宗並配，二郊專奉太祖焉。
HCH_013_051_000130	已而驚蟄，始祈穀。
HCH_013_051_000131	命議禘祭、大雩、秋報諸禮。
HCH_013_051_000132	帝既正太祖位向，欲復古禘祭。
HCH_013_051_000133	乃命輔臣及禮官集議。
HCH_013_051_000134	已而兼問大雩、秋報諸禮，命五品官亦與議焉。
HCH_013_051_000135	侍讀學士夏言上言：「惟天子有禘，故立始祖之廟。則有世系可考者，十世猶將立之。然則又以何者為始祖自出之帝，而祀之始祖之廟乎？我祖宗之有天下，以德祖為始祖，百有六十餘年，尊享太廟之祭。今又定為大祫，統羣廟之主矣。然則王禘之祭，又可復尊德祖乎？身為始祖，而又為始祖之自出，恐無是禮也。三代而下，必欲如夏、商之禘黃帝、帝嚳則無所考。若強求其人，如李唐之祖耼，又非孝子慈孫之所忍為也。臣愚以為：宜設先祖虛位，而以太祖配享。蓋太祖始有天下，實始祖也。」
HCH_013_051_000136	疏入，帝深然之。
HCH_013_051_000137	時中允廖道南上言：「皇姓為顓頊之後，宜禘顓頊。」
HCH_013_051_000138	太學士孚敬曰：「言虛位者失之幻，言顓頊者失之誣，惟禘德祖為當。」
HCH_013_051_000139	李承勛等皆以為然。
HCH_013_051_000140	夏言復抗疏折其非是。
HCH_013_051_000141	已而帝竟從言議，定以丙、辛年孟夏行大禘禮於太廟。
HCH_013_051_000142	凡祭，先一日，令中書官書神牌於太廟，曰「皇初始帝」。
HCH_013_051_000143	神南向。
HCH_013_051_000144	太祖配，位西向。
HCH_013_051_000145	帝又欲於奉天殿行秋報禮，中陛行大雩禮。
HCH_013_051_000146	夏言言：「秋報宜於大祀殿，奉文皇帝配。大雩宜於郊兆，傍為壇，孟夏後雩祭。」
HCH_013_051_000147	帝謂：「孟春上辛，既行祈穀禮。若春夏雨暘以時，則雩祭代攝，否則躬祀。秋報禮姑寢不舉。」
HCH_013_051_000148	二月庚辰，初朝日。
HCH_013_051_000149	是日春分，初行朝日禮於東郊，太牢一，用玉禮三獻，樂七奏，舞八佾。
HCH_013_051_000150	三月，建大神殿於南郊。
HCH_013_051_000151	初，南郊撤屋為壇祭之，奉上帝神牌圜丘上，配以太祖。
HCH_013_051_000152	既祭，而神牌莫知所藏，帝命建大神殿以藏之。
HCH_013_051_000153	帝又念舊存齋宮在圜丘北是踞視圜丘也，欲改建於丘之東南。
HCH_013_051_000154	夏言言：「向者大神殿之建，乃陛下竭誠事天，此制為可。若更起齋宮圜丘之傍，似於古人掃地之意，未為允協。且秦、漢以來，並無營室者。質誠尊天，不自封樹，以明謙恭之意。故惟大次之設，為合古典。陛下前日考據精詳，豈今偶未之思耶？伏望齋宮寢建，以仰答天靈。」
HCH_013_051_000155	帝報可。
HCH_013_051_000156	建土穀祇、先蠶壇於西苑。
HCH_013_051_000157	初議皇后親蠶於北郊，自夏言首發之。
HCH_013_051_000158	至是，帝召張孚敬、李時詣西苑相地，建土穀壇。
HCH_013_051_000159	乃併建先蠶壇於神壽宮側，而毀北郊蠶室焉。
HCH_013_051_000160	五月壬子，初有事於北郊。
HCH_013_051_000161	是日夏至，帝祀地於方澤，用騂牛一，黃琮一，三獻九奏，樂舞八佾，太祖西向配，騂牛一。
HCH_013_051_000162	從祀四壇、五嶽及基運翊聖神烈山為一，五鎮及天壽紀德山為一，四海四瀆為二，各太牢一。
HCH_013_051_000163	八月癸未，初夕月祭於西郊，如朝日禮。
HCH_013_051_000164	十一年夏四月，初營九廟。
HCH_013_051_000165	帝御文華殿東室，召大學士李時、翟鑾，禮部尚書夏言，議復古七廟制。
HCH_013_051_000166	其太廟寢祧，俱存舊弗撤，惟度地分建羣廟，不決而退。
HCH_013_051_000167	廖道南疏請建九廟，併獻《大祀禮成感雪賦》及御札曾及其名者三。
HCH_013_051_000168	帝悅，下禮臣議。
HCH_013_051_000169	夏言上言：「昔唐、虞五廟，夏后因之。殷、周皆七廟。而《祭法》、《王制》與劉歆宗說，又各不同。朱熹《古今廟制》引《王制》：天子七廟，外為都宮，內敍昭穆。漢不考古，諸帝異廟異地，不合都宮，不敍昭穆。明帝遵儉自抑，遺命勿別為廟，遂有同堂異室之制。魏、晉、唐、宋皆然。我太祖初立四親廟，始為近古。後改建太廟，又用明帝之制。皇上大釐祀典，於廟制不能無疑，形諸翰札召論者屢矣。第太廟南近宮牆，東邇世廟，西阻前廟，地勢有限。垣外隙地，不盈數十丈。若依古制列六廟，即盡辟其地，猶不能容。欲稍減規制，則太廟嵬然，而羣廟湫隘，於義未安。即使廟成，皇上冠冕佩玉，循紆曲之途，遍列羣廟而奠獻之，日亦不足矣。議者謂：「羣廟可攝。』皇上仁孝誠敬，可終歲舉祭，止對越太祖，而不一至羣廟乎？丘濬謂：「宜間日祭一廟，自十四日而遍。』此蓋無據而強為之說也。馬端臨曰：「後世失禮，豈獨廟制。漢儒以來，講究非不詳明，而卒不能復古者，以昭穆難定故也。』蓋昭穆必父子繼世而後可，兄弟相及則紊矣。故東都以來，同堂異室，未可盡非也。」帝曰：「朕於天地百神祀典，俱已釐正。獨太廟之禮，未能復古可乎？今太廟堂寢，俱有定制，不必更移。其昭穆廟次，即會官相度地勢奏聞。
HCH_013_051_000170	於是言惶懼謝罪，請「先詣太廟旁，量定地勢，審度方位以聞」，帝從之。
HCH_013_051_000171	乃撤故廟，改建新宮。
HCH_013_051_000172	太祖居中，昭穆各三廟。
HCH_013_051_000173	成祖廟在六廟之上，諸廟合為都宮。
HCH_013_051_000174	廟各有殿，殿後有寢，藏主太廟。
HCH_013_051_000175	寢後別有祧寢藏祧主。
HCH_013_051_000176	太廟門殿皆南向，羣廟門東西相向，內門殿寢皆南向。
HCH_013_051_000177	十三年三月，帝視太學，釋奠先師。
HCH_013_051_000178	帝以孔子改稱「先師」，服皮弁服謁拜。
HCH_013_051_000179	用特牲奠帛行釋奠禮，樂三奏，文舞八佾。
HCH_013_051_000180	從祀及啓聖分奠，用酒脯。
HCH_013_051_000181	已，視學，進諸生橫經布講。
HCH_013_051_000182	仍諭令敦本尚實，勿徒事辭章。
HCH_013_051_000183	六月，南京太廟災，夏言上言：「京師宗廟，行將復古，而南京太廟遽罹回祿。陛下建德之意，聖祖呑後之靈，不可不默會於昭昭之表也。」
HCH_013_051_000184	帝喜，令亟起新廟，南京太廟不復建，遺址築周垣焉。
HCH_013_051_000185	時祀并入南京奉先殿，蓋失鎬、洛遺意矣。
HCH_013_051_000186	十四年二月，初建九廟。
HCH_013_051_000187	先是，夏言請定七廟額，謂：「陛下復古廟制，正太祖南向位，則太廟之名，實符周典。太宗功德隆赫，特建百世不遷之廟，宜曰文祖世室，在三昭上；仁宗、宣宗各為昭穆第一廟；英宗、憲宗為昭穆第二廟；孝宗、武宗為昭穆第三廟，則萬世不刋之制也。」
HCH_013_051_000188	帝從之。
HCH_013_051_000189	十五年二月，纂修《祀儀》成，自天地日月、神祇、帝王、社稷及禘祫、先師、先農諸祀，悉為分類成書。
HCH_013_051_000190	首冠祀壇圖制及宸諭詩歌；中書禮儀、禮器、樂舞、樂章；末附諸王表箋、羣臣疏頌。
HCH_013_051_000191	於是侍讀學士廖道南撰《禋頌九章》以獻。
HCH_013_051_000192	五月，建慈慶、慈寧宮，黜禁中佛像。
HCH_013_051_000193	時帝欲除去禁中釋殿，以其地奉建慈慶、慈寧二宮，命廷臣議，僉以為可，帝即命撤之。
HCH_013_051_000194	召李時、夏言入視大善殿，見金範佛像不下千百，俱命銷毀。
HCH_013_051_000195	其几案懸鍍金函藏貯，尚多佛骨、佛牙諸物。
HCH_013_051_000196	言退上疏，力請焚瘞。
HCH_013_051_000197	帝從之，於是禁中邪穢，迸斥殆盡。
HCH_013_051_000198	六月，敕祀姜嫄、后稷於武功。
