HCH_015_056_000000	有天象，必有人事焉。
HCH_015_056_000057	僧真謂衆曰：「呌聲不絕，是必官軍所攻。火光起者，賊不容自燒其城，此必官軍勝也。」
HCH_015_056_000058	尋而啓石頭平。
HCH_015_056_000059	上出頓新亭，使僧真領千人在帳內。
HCH_015_056_000060	初，上在領軍府，令僧真學上手迹下名，至是報荅書疏，皆付僧真，上觀之，笑曰：「我亦不復能別也。」
HCH_015_056_000061	初，上在淮陰治城，得一錫趺，大數尺，下有篆文，莫能識者。
HCH_015_056_000062	僧真曰：「何須辨此文字，此自久遠之物，九錫之徵也。」
HCH_015_056_000063	太祖曰：「卿勿妄言。」
HCH_015_056_000064	及上將拜齊公，已剋日，有楊袓之謀於臨軒作難。
HCH_015_056_000065	僧真更請上選吉辰，尋而祖之事覺。
HCH_015_056_000066	上曰：「無卿言，亦當致小狼狽，此亦何異呼遝之冰。」
HCH_015_056_000067	轉齊國中書舍人。
HCH_015_056_000068	建元初，帶東燕令，封新陽縣男，三百戶。
HCH_015_056_000069	轉羽林監，加建威將軍，遷尚書主客郎，太尉中兵參軍，令如故。
HCH_015_056_000070	復以本官兼中書舍人。
HCH_015_056_000071	太祖疾甚，令僧真典遺詔。
HCH_015_056_000072	永明元年，寧喪，起爲建威將軍，尋除南泰山太守，又爲舍人，本官如故。
HCH_015_056_000073	領諸王第事。
HCH_015_056_000074	僧真容貌言吐，雅有士風。
HCH_015_056_000075	世祖嘗目送之，笑曰：「人何必計門戶，紀僧真常貴人所不及。」
HCH_015_056_000076	諸權要中，最被盻遇。
HCH_015_056_000077	除越騎校尉，餘官如故。
HCH_015_056_000078	出爲建武將軍，建康令。
HCH_015_056_000079	還除左右郎將，泰山太守。
HCH_015_056_000080	加先驅使。
HCH_015_056_000081	尋除前軍將軍。
HCH_015_056_000082	遭母喪，開冢得五色兩頭蛇。
HCH_015_056_000083	世祖崩，僧真號泣思慕。
HCH_015_056_000084	明帝以僧真歷朝驅使，建武元年，除游擊將軍，兼司農，待之如舊。
HCH_015_056_000085	欲令僧真治郡，僧真啓進其弟僧猛爲鎮蠻護軍、晉熙太守。
HCH_015_056_000086	永泰元年，除司農卿。
HCH_015_056_000087	明帝崩，掌山陵事。
HCH_015_056_000088	出爲廬陵內史，年五十五，卒。
HCH_015_056_000089	宋世道人楊法持，與太祖有舊。
HCH_015_056_000090	元徽末，宣傳密謀。
HCH_015_056_000091	昇明中，以爲僧正。
HCH_015_056_000092	建元初，罷道，爲寧朔將軍，封州陵縣男，三百戶。
HCH_015_056_000093	二年，虜圍朐山，遣法持爲軍主，領支軍救援。
HCH_015_056_000094	永明四年，坐役使將客，奪其鮭稟，削封。
HCH_015_056_000095	卒。
HCH_015_056_000096	劉係宗，丹陽人也。
HCH_015_056_000097	少便書畫，爲宋竟陵王誕子景粹侍書。
HCH_015_056_000098	誕舉兵廣陵，城內皆死，敕沈慶之赦係宗，以爲東宮侍書。
HCH_015_056_000099	泰始中，爲主書。
HCH_015_056_000100	以寒官累遷至勳品。
HCH_015_056_000101	元徽初，爲奉朝請，兼中書通事舍人，員外郎。
HCH_015_056_000102	封始興南亭侯，食邑三百七十戶。
HCH_015_056_000103	帶秣陵令。
HCH_015_056_000104	太祖廢蒼梧，明旦，呼正直舍人虞整，醉不能起，係宗歡喜奉命。
HCH_015_056_000105	太祖曰：「今天地重開，是卿盡力之日。」
HCH_015_056_000106	使寫諸處分敕令，及四方書疏。
HCH_015_056_000107	使主書十人書吏二十人配之，事皆稱旨。
HCH_015_056_000108	除羽林監，轉步兵校尉。
HCH_015_056_000109	仍除龍驤將軍，出爲海鹽令。
HCH_015_056_000110	太祖卽位，除龍驤將軍、建康令。
HCH_015_056_000111	永明元年，除寧朔將軍，令如故。
HCH_015_056_000112	尋轉右軍將軍、淮陵太守，兼中書通事舍人。
HCH_015_056_000113	母喪自解，起爲寧朔將軍，復本職。
HCH_015_056_000114	四年，白賊唐宇之起，宿衞兵東討，遣係宗隨軍慰勞，徧至遭賊郡縣。
HCH_015_056_000115	百姓被驅逼者，悉無所問，還復民伍。
HCH_015_056_000116	係宗還，上曰：「此段有征無戰，以時平蕩，百姓安怗，甚快也。」
HCH_015_056_000117	賜係宗錢帛。
HCH_015_056_000118	上欲脩治白下城，難於動役。
HCH_015_056_000119	係宗啓謫役東民丁隨宇之爲逆者，上從之。
HCH_015_056_000120	後車駕講武，上履行白下城，曰：「劉係宗爲國家得此一城。」
HCH_015_056_000121	永明中，虜使書常令係宗題答，祕書書局皆隷之。
HCH_015_056_000122	再爲少府，遷游擊將軍、魯郡太守。
HCH_015_056_000123	鬱林卽位，除驍騎將軍，仍除寧朔將軍、宣城太守。
HCH_015_056_000124	係宗久在朝省，閑於職事。
HCH_015_056_000125	明帝曰：「學士不堪治國，唯大讀書耳。一劉係宗足持如此輩五百人。」
HCH_015_056_000126	其重吏事如此。
HCH_015_056_000127	建武二年，卒官，年七十七。
HCH_015_056_000128	茹法亮，吳興武康人也。
HCH_015_056_000129	宋大明世，出身爲小史，歷齋幹扶。
HCH_015_056_000130	孝武末年，作酒法，鞭罰過度，校獵江右，選白衣左右百八十人，皆面首富室，從至南州，得鞭者過半。
HCH_015_056_000131	法亮憂懼，因緣啓出家得爲道人。
HCH_015_056_000132	明帝初，罷道，結事阮佃夫，用爲兖州刺史孟次陽典籤。
HCH_015_056_000133	累至太祖冠軍府行參軍。
HCH_015_056_000134	元徽初，除殿中將軍，爲晉熙王郢州典籤，除長兼殿中御史。
HCH_015_056_000135	世祖鎮盆城，須舊驅使人，法亮求留爲上江州典籤，除南臺御史，帶松滋令。
HCH_015_056_000136	法亮便辟解事，善於承奉，稍見委信。
HCH_015_056_000137	從還石頭。
HCH_015_056_000138	建元初，度東宮主書。
HCH_015_056_000139	除奉朝請，補東宮通事舍人。
HCH_015_056_000140	世祖卽位，仍爲中書通事舍人。
HCH_015_056_000141	除員外郎，帶南濟陰太守。
HCH_015_056_000142	永明元年，除龍驤將軍。
HCH_015_056_000143	明年，詔曰：「茹法亮近在盆城，頻使銜命，內宣朝旨，外慰三軍。義勇齊奮，人百其氣。險阻艱難，心力俱盡。宜沾茅土，以甄忠績。」
HCH_015_056_000144	封望蔡縣男，食邑三百戶。
HCH_015_056_000145	轉給事中，羽林監。
HCH_015_056_000146	七年，除臨淮太守，轉竟陵王司徒中兵參軍。
HCH_015_056_000147	巴東王子響於荊州殺僚佐，上遣軍西上，使法亮宣旨慰勞，安撫子響。
HCH_015_056_000148	法亮至江津，子響呼法亮，法亮疑畏不肯往。
HCH_015_056_000149	又求見傳詔，法亮又不遣。
HCH_015_056_000150	故子響怒，遣兵破尹略軍。
HCH_015_056_000151	事平，法亮至江陵，刑賞處分，皆稱敕斷決。
HCH_015_056_000152	軍還，上悔誅子響，法亮被責。
HCH_015_056_000153	少時，親任如舊。
HCH_015_056_000154	鬱林卽位，除步兵校尉。
HCH_015_056_000155	延興元年，爲前軍將軍。
HCH_015_056_000156	延昌殿爲世祖陰室，藏諸御服。
HCH_015_056_000157	二少帝竝居西殿，高宗卽位住東齋，開陰室出世祖白紗帽防身刀，法亮歔欷流涕。
HCH_015_056_000158	除游擊將軍。
HCH_015_056_000159	高武舊人鮮有存者，法亮以主署文事，故不見疑，位任如故。
HCH_015_056_000160	永泰元年，王敬則事平，法亮復受敕宣慰。
HCH_015_056_000161	出法亮爲大司農，中書勢利之職，法亮不樂去，固辭不受，旣而代人已致，法亮垂涕而出。
HCH_015_056_000162	年六十四，卒官。
HCH_015_056_000163	呂文顯，臨海人也。
HCH_015_056_000164	初爲宋孝武齋幹直長。
HCH_015_056_000165	昇明初，爲太祖錄尚書省事，累位至殿中侍御史，羽林監，帶蘭陵丞、令，龍驤將軍，秣陵令。
HCH_015_056_000166	封劉陽縣男。
HCH_015_056_000167	永明元年，除寧朔將軍，中書通事舍人，本官如故。
HCH_015_056_000168	文顯治事以刻覈被知。
HCH_015_056_000169	三年，帶南清河太守。
HCH_015_056_000170	與茹法亮等迭出入爲舍人，竝見親倖。
HCH_015_056_000171	四方餉遺，歲各數百萬，竝造大宅，聚山開池。
HCH_015_056_000172	五年，爲建康令，轉長水校尉，歷帶南泰山、南譙太守，尋爲司徒中兵參軍，淮南太守，直舍人省。
HCH_015_056_000173	累遷左中郎將，南東莞太守，右軍將軍。
HCH_015_056_000174	高宗輔政，以文顯守少府，見任使。
HCH_015_056_000175	歷建武、永元之世，尚書右丞，少府卿。
HCH_015_056_000176	卒。
HCH_015_056_000177	呂文度，會稽人。
HCH_015_056_000178	宋世爲細作金銀庫吏，竹局匠。
HCH_015_056_000179	元徽中，爲射雉典事，隨監莫脩宗上郢。
HCH_015_056_000180	世祖鎮盆城拒沈攸之，文度仍留伏事，知軍隊雜役，以此見親。
HCH_015_056_000181	從還都，爲石頭城監，仍度東宮。
HCH_015_056_000182	世祖卽位，爲制局監，位至員外郎，帶南濮陽太守。
HCH_015_056_000183	殿內軍隊及發遣外鎮人，悉關之，甚有要勢。
HCH_015_056_000184	故世傳越州嘗缺，上覔一直事人往越州，文度啓其所知費延宗合旨，上卽以爲刺史。
HCH_015_056_000185	永明中，敕親近不得輙有申薦，人士免官，寒人鞭一百。
HCH_015_056_000186	上性尊嚴，呂文顯嘗在殿側咳聲高，上使茹法亮訓詰之，以爲不敬，故左右畏威承意，非所隷莫敢有言也。
HCH_015_056_000187	時茹法亮掌雜驅使簿，及宣通密敕；呂文顯掌穀帛事；其餘舍人無別任。
HCH_015_056_000188	虎賁中郎將潘敞掌監功作。
HCH_015_056_000189	上使造禪靈寺新成，車駕臨視，甚悅。
HCH_015_056_000190	敞喜，要呂文顯私登寺南門樓，上知之，繫敞上方，而出文顯爲南譙郡，久之乃復。
HCH_015_056_000191	濟陽江瞿曇、吳興沈徽孚等，以士流舍人通事而已，無權利。
HCH_015_056_000192	徽孚粗有筆札。
HCH_015_056_000193	建武中文詔，多其辭也。
HCH_015_056_000194	官至黃門郎。
HCH_015_056_000195	史臣曰：中世已來，宰御天下，萬機碎密，不關外司。
HCH_015_056_000196	尚書八座五曹，各有恒任，係以九卿六府，事存副職。
HCH_015_056_000197	咸皆冠冕搢紳，任疏人貴，伏奏之務旣寢，趨走之勞亦息。
HCH_015_056_000198	關宣所寄，屬當有歸，通驛內外，切自音旨。
HCH_015_056_000199	若夫環纓斂笏，俯仰晨昏，贍幄座而竦躬，陪蘭檻而高眄，探求恩色，習睹威顏，遷蘭變鮑，久而彌信，因城社之固，執開壅之機。
HCH_015_056_000200	長主君世，振裘持領，賞罰事殷，能不踰漏，宮省咳唾，義必先知。
HCH_015_056_000201	故能窺盈縮於望景，獲驪珠於龍睡。
HCH_015_056_000202	坐歸聲勢，卧震都鄙。
HCH_015_056_000203	賄賂日積，苞苴歲通，富擬公侯，威行州郡。
HCH_015_056_000204	制局小司，專典兵力，雲陛天居，亙設蘭錡，羽林精卒，重屯廣衞。
HCH_015_056_000205	至于元戎啓轍，式候還麾，遮迾清道，神行案轡，督察來往，馳騖輦轂，驅役分部，親承几案，領護所攝，示總成規。
HCH_015_056_000206	若徵兵動衆，大興民役，行留之儀，請託在手，斷割牢稟，賣弄文符，捕叛追亡，長戍遠謪，軍有千齡之壽，室無百年之鬼，害政傷民，於此爲蠹。
HCH_015_056_000207	況乎主幼時昏，其爲讒慝，亦何可勝紀也！
HCH_015_056_000208	贊曰：恩澤而侯，親倖爲舊。
HCH_015_056_000209	便煩左右，旣貴且富。
HCH_015_056_000210	本南北朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
