HCH_011_020_000001	劉季連字惠續，彭城人也。
HCH_011_020_000064	元起稍進圍之。
HCH_011_020_000065	是冬，季連城局參軍江希之等謀以城降，不果，季連誅之。
HCH_011_020_000066	蜀中喪亂已二年矣，城中食盡，升米三千，亦無所糴，餓死者相枕。
HCH_011_020_000067	其無親黨者，又殺而食之。
HCH_011_020_000068	季連食粥累月，饑窘無計。
HCH_011_020_000069	二年正月，高祖遣主書趙景悅宣詔降季連，季連肉袒請罪。
HCH_011_020_000070	元起遷季連於城外，俄而造焉，待之以禮。
HCH_011_020_000071	季連謝曰：「早知如此，豈有前日之事。」
HCH_011_020_000072	元起誅李奉伯幷諸渠帥，送季連還京師。
HCH_011_020_000073	季連將發，人莫之視，惟龔愜送焉。
HCH_011_020_000074	初，元起在道，懼事不集，無以爲賞，士之至者，皆許以辟命，於是受別駕、治中檄者，將二千人。
HCH_011_020_000075	季連旣至，詣闕謝，高祖引見之。
HCH_011_020_000076	季連自東掖門入，數步一稽顙，以至高祖前。
HCH_011_020_000077	高祖笑謂曰：「卿欲慕劉備而曾不及公孫述，豈無臥龍之臣乎。」
HCH_011_020_000078	季連復稽顙謝。
HCH_011_020_000079	赦爲庶人。
HCH_011_020_000080	四年正月，因出建陽門，爲蜀人藺道恭所殺。
HCH_011_020_000081	季連在蜀，殺道恭父，道恭出亡，至是而報復焉。
HCH_011_020_000082	陳伯之，濟陰睢陵人也。
HCH_011_020_000083	幼有膂力。
HCH_011_020_000084	年十三四，好著獺皮冠，帶刺刀，候伺鄰里稻熟，輒偷刈之。
HCH_011_020_000085	嘗爲田主所見，呵之云：「楚子莫動！」
HCH_011_020_000086	伯之謂田主曰：「君稻幸多，一擔何苦？」
HCH_011_020_000087	田主將執之，伯之因杖刀而進，將刺之，曰：「楚子定何如！」
HCH_011_020_000088	田主皆反走，伯之徐擔稻而歸。
HCH_011_020_000089	及年長，在鐘離數爲劫盜，嘗授面覘人船，船人斫之，獲其左耳。
HCH_011_020_000090	後隨鄉人車騎將軍王廣之，廣之愛其勇，每夜臥下榻，征伐嘗自隨。
HCH_011_020_000091	齊安陸王子敬爲南兗州，頗持兵自衛。
HCH_011_020_000092	明帝遣廣之討子敬，廣之至歐陽，遣伯之先驅，因城開，獨入斬子敬。
HCH_011_020_000093	又頻有戰功，以勳累遷爲冠軍將軍、驃騎司馬，封魚復縣伯，邑五百戶。
HCH_011_020_000094	義師起，東昏假伯之節、督前驅諸軍事、豫州刺史，將軍如故。
HCH_011_020_000095	尋轉江州，據尋陽以拒義軍。
HCH_011_020_000096	郢城平，高祖得伯之幢主蘇隆之，使說伯之，卽以爲安東將軍、江州刺史。
HCH_011_020_000097	伯之雖受命，猶懷兩端，偽云「大軍未須便下」。
HCH_011_020_000098	高祖謂諸將曰：「伯之此答，其心未定，及其猶豫，宜逼之。」
HCH_011_020_000099	衆軍遂次尋陽，伯之退保南湖，然後歸附。
HCH_011_020_000100	進號鎮南將軍，與衆俱下。
HCH_011_020_000101	伯之頓籬門，尋進西明門。
HCH_011_020_000102	建康城未平，每降人出，伯之輒喚與耳語。
HCH_011_020_000103	高祖恐其復懷翻覆，密語伯之曰：「聞城中甚忿卿舉江州降，欲遣刺客中卿，宜以爲慮。」
HCH_011_020_000104	伯之未之信。
HCH_011_020_000105	會東昏將鄭伯倫降，高祖使過伯之，謂曰：「城中甚忿卿，欲遣信誘卿以封賞。須卿復降，當生割卿手腳；卿若不降，復欲遣刺客殺卿。宜深爲備。」
HCH_011_020_000106	伯之懼，自是無異志矣。
HCH_011_020_000107	力戰有功。
HCH_011_020_000108	城平，進號征南將軍，封豊城縣公，邑二千戶，遣還之鎮。
HCH_011_020_000109	伯之不識書，及還江州，得文牒辭訟，惟作大諾而已。
HCH_011_020_000110	有事，典籤傳口語，與奪決於主者。
HCH_011_020_000111	伯之與豫章人鄧繕、永興人戴永忠並有舊，繕經藏伯之息英免禍，伯之尤德之。
HCH_011_020_000112	及在州，用繕爲別駕，永忠記室參軍。
HCH_011_020_000113	河南褚緭，京師之薄行者，齊末爲揚州西曹，遇亂居閭里；而輕薄互能自致，惟緭獨不達。
HCH_011_020_000114	高祖卽位，緭頻造尚書范雲，雲不好緭，堅距之。
HCH_011_020_000115	緭益怒，私語所知曰：「建武以後，草澤底下，悉化成貴人，吾何罪而見棄。今天下草創，饑饉不已，喪亂未可知。陳伯之擁強兵在江州，非代來臣，有自疑意；且熒惑守南斗，詎非爲我出。今者一行，事若無成，入魏，何遽減作河南郡。」
HCH_011_020_000116	於是遂投伯之書佐王思穆，事之，大見親狎。
HCH_011_020_000117	及伯之鄉人朱龍符爲長流參軍，並乘伯之愚闇，恣行姦險，刑政通塞，悉共專之。
HCH_011_020_000118	伯之子虎牙，時爲直閤將軍，高祖手疏龍符罪，親付虎牙，虎牙封示伯之；高祖又遣代江州別駕鄧繕，伯之並不受命。
HCH_011_020_000119	答高祖曰：「龍符驍勇健兒，鄧繕事有績效，臺所遣別駕，請以爲治中。」
HCH_011_020_000120	繕於是日夜說伯之云：「臺家府庫空竭，復無器仗，三倉無米，東境饑流，此萬代一時也，機不可失。」
HCH_011_020_000121	緭、永忠等每贊成之。
HCH_011_020_000122	伯之謂繕：「今段啓卿，若復不得，便與卿共下使反。」
HCH_011_020_000123	高祖敕部內一郡處繕，伯之於是集府州佐史謂曰：「奉齊建安王教，率江北義勇十萬，已次六合，見使以江州見力運糧速下。我荷明帝厚恩，誓死以報。今便纂嚴備辦。」
HCH_011_020_000124	使緭詐爲蕭寶夤書，以示僚佐。
HCH_011_020_000125	於廳事前爲壇，殺牲以盟。
HCH_011_020_000126	伯之先飲，長史已下次第歃血。
HCH_011_020_000127	緭說伯之曰：「今舉大事，宜引衆望，程元沖不與人同心；臨川內史王觀，僧虔之孫，人身不惡，便可召爲長史，以代元沖。」
HCH_011_020_000128	伯之從之。
HCH_011_020_000129	仍以緭爲尋陽太守，加討逆將軍；永忠輔義將軍；龍符爲豫州刺史，率五百人守大雷。
HCH_011_020_000130	大雷戍主沈慧休，鎮南參軍李延伯。
HCH_011_020_000131	又遣鄉人孫鄰、李景受龍符節度，鄰爲徐州，景爲郢州。
HCH_011_020_000132	豫章太守鄭伯倫起郡兵距守。
HCH_011_020_000133	程元沖旣失職，於家合率數百人，使伯之典籤呂孝通、戴元則爲內應。
HCH_011_020_000134	伯之每旦常作伎，日晡輒臥，左右仗身皆休息。
HCH_011_020_000135	元沖因其解弛，從北門入，徑至廳事前。
HCH_011_020_000136	伯之聞叫聲，自率出蕩，元沖力不能敵，走逃廬山。
HCH_011_020_000137	初，元沖起兵，要尋陽張孝季，孝季從之。
HCH_011_020_000138	旣敗，伯之追孝季不得，得其母郎氏，蠟灌殺之。
HCH_011_020_000139	遣信還都報虎牙兄弟，虎牙等走盱眙，盱眙人徐安、莊興紹、張顯明邀擊之，不能禁，反見殺。
HCH_011_020_000140	高祖遣王茂討伯之。
HCH_011_020_000141	伯之聞茂來，謂緭等曰：「王觀旣不就命，鄭伯倫又不肯從，便應空手受困。今先平豫章，開通南路，多發丁力，益運資糧，然後席捲北向，以撲饑疲之衆，不憂不濟也。」
HCH_011_020_000142	乃留鄉人唐蓋人守城，遂相率趣豫章。
HCH_011_020_000143	太守鄭伯倫堅守，伯之攻之不能下。
HCH_011_020_000144	王茂前軍旣至，伯之表裏受敵，乃敗走，間道亡命出江北，與子虎牙及褚緭俱入魏。
HCH_011_020_000145	魏以伯之爲使持節、散騎常侍、都督淮南諸軍事、平南將軍、光祿大夫、曲江縣侯。
HCH_011_020_000146	天監四年，詔太尉、臨川王宏率衆軍北討，宏命記室丘遲私與伯之書曰：伯之乃於壽陽擁衆八千歸。
HCH_011_020_000147	虎牙爲魏人所殺。
HCH_011_020_000148	伯之旣至，以爲使持節、都督西豫州諸軍事、平北將軍、西豫州刺史，永新縣侯，邑千戶。
HCH_011_020_000149	未之任，復以爲通直散騎常侍、驍騎將軍，又爲太中大夫。
HCH_011_020_000150	久之，卒於家。
HCH_011_020_000151	其子猶有在魏者。
HCH_011_020_000152	褚緭在魏，魏人欲擢用之。
HCH_011_020_000153	魏元會，緭戲爲詩曰：「帽上著籠冠，袴上著朱衣，不知是今是，不知非昔非。」
HCH_011_020_000154	魏人怒，出爲始平太守。
HCH_011_020_000155	日日行獵，墮馬死。
HCH_011_020_000156	史臣曰：劉季連之文吏小節，而不能以自保全，習亂然也。
HCH_011_020_000157	陳伯之小人而乘君子之器，羣盜又誣而奪之，安能長久矣。
HCH_011_020_000158	本唐朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
