HCH_010_037_000000	帝堯畫天下為九州。
HCH_010_037_000111	又四十里至臨潢府，自過崇信館乃契丹舊境，其南奚地也。
HCH_010_037_000112	入西門，門曰金德，內有臨潢館，子城東門曰順陽。
HCH_010_037_000113	北行至景福門，又至承天門，內有昭德、宣政二殿，與氈廬皆東向。
HCH_010_037_000114	臨潢西北二百餘里號涼澱，在饅頭山南，避暑之處。
HCH_010_037_000115	多豐草，掘地丈餘即有堅冰。
HCH_010_037_000116	祖州，天成軍，上，節度。
HCH_010_037_000117	本遼右八部世有裏地。
HCH_010_037_000118	太祖秋獵多於此，始置西樓。
HCH_010_037_000119	後因建城，號祖州。
HCH_010_037_000120	以高祖昭烈皇帝、曾祖莊敬皇帝、祖考簡獻皇帝、皇考宣簡皇帝所生之地，故名。
HCH_010_037_000121	城高二丈，無敵棚，幅員九里。
HCH_010_037_000122	門，東曰望京，南曰大夏，西曰液山，北曰興國。
HCH_010_037_000123	西北隅有內城。
HCH_010_037_000124	殿曰兩明，奉安祖考御容；曰二儀，以白金鑄太祖像；曰黑龍，曰清秘，各有太祖微時兵仗器物及服御皮毳之類，存之以示後嗣，使勿忘本。
HCH_010_037_000125	內南門曰興聖，凡三門，上有樓閣，東西有角樓。
HCH_010_037_000126	東為州廨及諸宮廨舍，綾錦院班院祗侯蕃，漢、渤海三百人，供給內府取索。
HCH_010_037_000127	東南橫街，四隅有樓對峙，下連市肆。
HCH_010_037_000128	東長霸縣，西咸寧縣。
HCH_010_037_000129	有祖山，山有太祖天皇帝廟，禦靴尚存。
HCH_010_037_000130	又有龍門、黎谷、液山、液泉、白馬、獨石、天梯之山。
HCH_010_037_000131	水則南沙河、西液泉。
HCH_010_037_000132	太祖陵鑿山為殿，曰明殿。
HCH_010_037_000133	殿南嶺有膳堂，以備時祭。
HCH_010_037_000134	門曰黑龍。
HCH_010_037_000135	東偏有聖蹤殿，立碑述太祖遊獵之事。
HCH_010_037_000136	殿東有樓，立碑以紀太祖創業之功。
HCH_010_037_000137	皆在州西五里。
HCH_010_037_000138	天顯中太宗建，隸弘義宮。
HCH_010_037_000139	統縣二、城一長霸縣。
HCH_010_037_000140	本龍州長平縣民，遷於此。
HCH_010_037_000141	戶二千。
HCH_010_037_000142	咸寧縣。
HCH_010_037_000143	本長寧縣。
HCH_010_037_000144	破遼陽，遷其民置。
HCH_010_037_000145	戶一千。
HCH_010_037_000146	越王城。
HCH_010_037_000147	太祖伯父於越王述魯西伐党項、吐渾，俘其民放牧於此，因建城。
HCH_010_037_000148	在州東南二十里。
HCH_010_037_000149	戶一千。
HCH_010_037_000150	懷州，奉陵軍，上，節度。
HCH_010_037_000151	本唐歸誠州。
HCH_010_037_000152	太宗行帳放牧於此。
HCH_010_037_000153	天贊中，從太祖破扶餘城，下龍泉府，俘其人，築寨居之。
HCH_010_037_000154	會同中，掠燕、薊所俘亦置此。
HCH_010_037_000155	太宗崩，葬西山，曰懷陵。
HCH_010_037_000156	大同元年，世宗置州以奉焉。
HCH_010_037_000157	是年，有騎十餘，獵於祖州西五十里大山中，見太宗乘白馬，獨追白狐，射之，一發而斃；忽不見，但獲狐與矢。
HCH_010_037_000158	是日，太宗崩於欒城。
HCH_010_037_000159	後於其地建廟，又於州之鳳凰門繪太宗馳騎貫狐之像。
HCH_010_037_000160	穆宗被害，葬懷陵側，建鳳凰殿以奉焉。
HCH_010_037_000161	有清涼殿，為行幸避暑之所。
HCH_010_037_000162	皆在州西二十里。
HCH_010_037_000163	隸永興宮。
HCH_010_037_000164	統縣二：扶餘縣。
HCH_010_037_000165	本龍泉府。
HCH_010_037_000166	太祖遷渤海扶餘縣降戶於此，世宗置縣。
HCH_010_037_000167	戶一千五百。
HCH_010_037_000168	顯理縣。
HCH_010_037_000169	本顯理府人，太祖伐渤海，俘其王大諲譔，遷民於此，世宗置縣。
HCH_010_037_000170	戶一千。
HCH_010_037_000171	慶州，玄寧軍，上，節度。
HCH_010_037_000172	本太保山黑河之地，巖谷險峻。
HCH_010_037_000173	穆宗建城，號黑河州，每歲來幸，射虎障鷹，軍國之事，多委大臣。
HCH_010_037_000174	後遇弒於此。
HCH_010_037_000175	以地苦寒，統和八年，州廢。
HCH_010_037_000176	聖宗秋畋，愛其奇秀，建號慶州。
HCH_010_037_000177	遼國五代祖勃突，貌異常，有武略，力敵百人，眾推為王。
HCH_010_037_000178	生於勃突山，因以名，沒，葬山下。
HCH_010_037_000179	在州二百里。
HCH_010_037_000180	慶雲山，本黑嶺也。
HCH_010_037_000181	聖宗駐蹕，愛羨曰：「吾萬歲後，當葬此」。
HCH_010_037_000182	興宗遵遺命，建永慶陵。
HCH_010_037_000183	有望仙殿、御容殿。
HCH_010_037_000184	置蕃、漢守陵三千戶，並隸大內都總管司。
HCH_010_037_000185	在州西二十里。
HCH_010_037_000186	有黑山、赤山、太保山、老翁嶺、饅頭山、興國湖、轄失濼、黑河。
HCH_010_037_000187	景福元年復置，更隸興聖宮。
HCH_010_037_000188	統縣三：玄德縣。
HCH_010_037_000189	本黑山黑河之地。
HCH_010_037_000190	景福元年，括落帳人戶，從便居之。
HCH_010_037_000191	戶六千。
HCH_010_037_000192	孝安縣。
HCH_010_037_000193	富義縣。
HCH_010_037_000194	本義州，太宗遷渤海義州民於此。
HCH_010_037_000195	重熙元年降為義豐縣，後更名。
HCH_010_037_000196	隸弘義宮。
HCH_010_037_000197	泰州，德昌軍、節度。
HCH_010_037_000198	本契丹二十部族放牧之地。
HCH_010_037_000199	因黑鼠族累犯通化州，民不能禦，遂移東南六百里來，建城居之，以近本族。
HCH_010_037_000200	黑鼠穴居，膚黑，吻銳，類鼠，故以名。
HCH_010_037_000201	州隸延慶宮，兵事屬東北統軍司。
HCH_010_037_000202	統縣二：樂康縣。
HCH_010_037_000203	倚郭。
HCH_010_037_000204	興國縣。
HCH_010_037_000205	本山前之民，因罪配遞至此，興宗置縣。
HCH_010_037_000206	戶七百。
HCH_010_037_000207	長春州，韶陽軍，下，節度。
HCH_010_037_000208	本鴨子河春獵之地。
HCH_010_037_000209	興宗重熙八年置。
HCH_010_037_000210	隸延慶宮，兵事隸東北統軍司。
HCH_010_037_000211	統縣一：長春縣。
HCH_010_037_000212	本混同江地。
HCH_010_037_000213	燕、薊犯罪者流配於此。
HCH_010_037_000214	戶二千。
HCH_010_037_000215	烏州，靜安軍，刺史。
HCH_010_037_000216	本烏丸之地，東胡之種也。
HCH_010_037_000217	遼北大王撥剌占為牧，建城，後官收。
HCH_010_037_000218	隸興聖宮。
HCH_010_037_000219	有遼河、夜河、烏丸川、烏丸山。
HCH_010_037_000220	統縣一：愛民縣。
HCH_010_037_000221	撥剌王從軍南征，俘漢民置於此。
HCH_010_037_000222	戶一千。
HCH_010_037_000223	永州，永昌軍，觀察。
HCH_010_037_000224	承天皇太后所建。
HCH_010_037_000225	太祖於此置南樓。
HCH_010_037_000226	乾亨三年，置州於皇子韓八墓側。
HCH_010_037_000227	東潢河，南土河，二水合流，故號永州。
HCH_010_037_000228	冬月牙帳多駐此，謂之冬捺缽。
HCH_010_037_000229	有木葉山，上建契丹始祖廟，奇首可汗在南廟，可敦在北廟，繪塑二聖並八子神像。
HCH_010_037_000230	相傳有神人乘白馬，自馬盂山浮土河而東，有天女駕青牛車由平地松林泛潢河而下。
HCH_010_037_000231	至木葉山，二水合流，相遇為配偶，生八子。
HCH_010_037_000232	其後族屬漸盛，分為八部。
HCH_010_037_000233	每行軍及春秋時祭，必用白馬青牛，示不忘本雲。
HCH_010_037_000234	興王寺，有白衣觀音像。
HCH_010_037_000235	太宗援石晉主中國，自潞州回，入幽州，幸大悲閣，指此像曰：「我夢神人令送石郎為中國帝，即此也。」
HCH_010_037_000236	因移木葉山，建廟，春秋告賽，尊為家神。
HCH_010_037_000237	興軍必告之，乃合符傳箭於諸部。
HCH_010_037_000238	又有高澱山、柳林澱，亦曰白馬澱。
HCH_010_037_000239	隸彰湣宮。
HCH_010_037_000240	統縣三：長寧縣。
HCH_010_037_000241	本顯德府縣名。
HCH_010_037_000242	太祖平渤海，遷其民於此。
HCH_010_037_000243	戶四千五百。
HCH_010_037_000244	義豐縣。
HCH_010_037_000245	本鐵利府義州。
HCH_010_037_000246	遼兵破之，遷其民於南樓之西北，仍名義州。
HCH_010_037_000247	重熙元年，廢州，改今縣。
HCH_010_037_000248	在州西北一百里。
HCH_010_037_000249	又嘗改富義縣，屬泰州。
HCH_010_037_000250	始末不可具考，今兩存之。
HCH_010_037_000251	戶一千五百。
HCH_010_037_000252	慈仁縣。
HCH_010_037_000253	太宗以皇子只撒古亡，置慈州墳西。
HCH_010_037_000254	重熙元年，州廢，改今縣。
HCH_010_037_000255	戶四百。
HCH_010_037_000256	儀坤州，啟聖軍，節度。
HCH_010_037_000257	本契丹右大部地。
HCH_010_037_000258	應天皇后建州。
HCH_010_037_000259	回鶻糯思居之，至四世孫容我梅裏，生應天皇后述律氏，適太祖。
HCH_010_037_000260	太祖開拓四方，平渤海，後有力焉。
HCH_010_037_000261	俘掠有伎藝者多歸帳下，謂之屬珊。
HCH_010_037_000262	以所生之地置州。
HCH_010_037_000263	州建啟聖院，中為儀寧殿，太祖天皇帝、應天地皇后銀像在焉。
HCH_010_037_000264	隸長寧宮。
HCH_010_037_000265	統縣一：廣義縣。
HCH_010_037_000266	本回鶻部牧地。
HCH_010_037_000267	應天皇后以四征所俘居之，因建州縣。
HCH_010_037_000268	統和八年，以諸宮提轄司戶置來遠縣，十三年並入。
HCH_010_037_000269	戶二千五百。
HCH_010_037_000270	龍化州，興國軍，下，節度。
HCH_010_037_000271	本漢北安平縣地。
HCH_010_037_000272	契丹始祖奇首可汗居此，稱龍庭。
HCH_010_037_000273	太祖於此建東樓。
HCH_010_037_000274	唐天復二年，太祖為叠烈部夷離堇，破代北，遷其民，建城居之。
HCH_010_037_000275	明年，伐女直，俘數百戶實焉。
HCH_010_037_000276	天祐元年，增修東城，制度頗壯麗。
HCH_010_037_000277	十三年，太祖於城東金鈴岡受尊號曰大聖大明天皇帝，建元神冊。
HCH_010_037_000278	天顯元年，崩於東樓。
HCH_010_037_000279	太宗升節度。
HCH_010_037_000280	隸彰湣宮，兵事屬北路女直兵馬司。
HCH_010_037_000281	刺史州一，未詳。
HCH_010_037_000282	統縣一：龍化縣。
HCH_010_037_000283	太祖東伐女直，南掠燕、薊，所俘建城置邑。
HCH_010_037_000284	戶一千。
HCH_010_037_000285	降聖州，開國軍，下，刺史。
HCH_010_037_000286	本大部落東樓之地。
HCH_010_037_000287	太祖春月行帳多駐此。
HCH_010_037_000288	應天皇后夢神人金冠素服，執兵仗，貌甚豐美，異獸十二隨之。
HCH_010_037_000289	中有黑兔躍入後懷，因而有娠，遂生太宗。
HCH_010_037_000290	時黑雲覆帳，火光照室，有聲如雷，諸部異之。
HCH_010_037_000291	穆宗建州。
HCH_010_037_000292	四面各三十里，禁樵采放牧。
HCH_010_037_000293	先屬延昌宮，後隸彰湣宮。
HCH_010_037_000294	統縣一：永安縣。
HCH_010_037_000295	本龍原府慶州縣名。
HCH_010_037_000296	太祖平渤海，破懷州之永安，遷其人置寨於此，建縣。
HCH_010_037_000297	戶八百。
HCH_010_037_000298	饒州，匡義軍，中，節度。
HCH_010_037_000299	本唐饒樂府地。
HCH_010_037_000300	貞觀中置松漠府。
HCH_010_037_000301	太祖完葺故壘。
HCH_010_037_000302	有潢河、長水濼、沒打河、青山、大福山、松山。
HCH_010_037_000303	隸延慶宮。
HCH_010_037_000304	統縣三：長樂縣。
HCH_010_037_000305	本遼城縣名。
HCH_010_037_000306	太祖伐渤海，遷其民，建縣居之。
HCH_010_037_000307	戶四千，內一千戶納鐵。
HCH_010_037_000308	臨河縣。
HCH_010_037_000309	本豐永縣人，太宗分兵伐渤海，遷於潢水之曲。
HCH_010_037_000310	戶一千。
HCH_010_037_000311	安民縣。
HCH_010_037_000312	太宗以渤海諸邑所俘雜置。
HCH_010_037_000313	戶一千。
HCH_010_037_000314	頭下軍州頭下軍州，皆諸王、外戚、大臣及諸部從征俘掠，或置生口，各團集建州縣以居之。
HCH_010_037_000315	橫帳諸王、國舅、公主許創立州城，自余不得建城郭。
HCH_010_037_000316	朝廷賜州縣額。
HCH_010_037_000317	其節度使朝廷命之，刺史以下皆以本主部曲充焉。
HCH_010_037_000318	官位九品之下及井邑商賈之家，征稅各歸頭下；唯酒稅課納上京鹽鐵司。
HCH_010_037_000319	徽州，宣德軍，節度。
HCH_010_037_000320	景宗女秦晉大長公主所建。
HCH_010_037_000321	媵臣萬戶，在宜州之北二百里，因建州城。
HCH_010_037_000322	北至上京七百里。
HCH_010_037_000323	節度使以下，皆公主府署。
HCH_010_037_000324	戶一萬。
HCH_010_037_000325	成州，長慶軍，節度。
HCH_010_037_000326	聖宗女晉國長公主以上賜媵臣戶置。
HCH_010_037_000327	在宜州北一百六十里，因建州城。
HCH_010_037_000328	北至上京七百四十里。
HCH_010_037_000329	戶四千。
HCH_010_037_000330	懿州，廣順軍，節度。
HCH_010_037_000331	聖宗女燕國長公主以上賜媵臣戶置。
HCH_010_037_000332	在顯州東北二百里，因建州城。
HCH_010_037_000333	西北至上京八百里。
HCH_010_037_000334	戶四千。
HCH_010_037_000335	渭州，高陽軍，節度。
HCH_010_037_000336	駙馬都尉蕭昌裔建。
HCH_010_037_000337	尚秦國王隆慶女韓國長公主，以所賜媵臣建州城。
HCH_010_037_000338	顯州東北二百五十里。
HCH_010_037_000339	遼制，皇子嫡生者，其女與帝女同。
HCH_010_037_000340	戶一千。
HCH_010_037_000341	壕州。
HCH_010_037_000342	國舅宰相南征，俘掠漢民，居遼東西安平縣故地。
HCH_010_037_000343	在顯州東北二百二十里，西北至上京七百二十里。
HCH_010_037_000344	戶六千。
HCH_010_037_000345	原州。
HCH_010_037_000346	本遼東北安平縣地。
HCH_010_037_000347	顯州東北三百里。
HCH_010_037_000348	國舅金德俘掠漢民建城。
HCH_010_037_000349	西北至上京八百里。
HCH_010_037_000350	戶五百。
HCH_010_037_000351	福州。
HCH_010_037_000352	國舅蕭寧建。
HCH_010_037_000353	南征俘掠漢民，居北安平縣故地。
HCH_010_037_000354	在原州北二十里，西北至上京七百八十里。
HCH_010_037_000355	戶三百。
HCH_010_037_000356	橫州。
HCH_010_037_000357	國舅蕭克忠建。
HCH_010_037_000358	部下牧人居漢故遼陽縣地，因置州城。
HCH_010_037_000359	在遼州西北九十里，西北至上京七百二十里。
HCH_010_037_000360	有橫山。
HCH_010_037_000361	戶二百。
HCH_010_037_000362	鳳州。
HCH_010_037_000363	槁離國故地，渤海之安寧郡境，南王府五帳分地。
HCH_010_037_000364	在韓州北二百里，西北至上京九百里。
HCH_010_037_000365	戶四千。
HCH_010_037_000366	遂州。
HCH_010_037_000367	本高州地，南王府五帳放牧於此。
HCH_010_037_000368	在檀州西二百里，西北至上京一千里。
HCH_010_037_000369	戶五百。
HCH_010_037_000370	豐州。
HCH_010_037_000371	本遼澤大部落，遙輦氏僧隱牧地。
HCH_010_037_000372	北至上京三百五十里。
HCH_010_037_000373	戶五百。
HCH_010_037_000374	順州。
HCH_010_037_000375	本遼隊縣地。
HCH_010_037_000376	橫帳南王府俘掠燕、薊、順州之民，建城居之。
HCH_010_037_000377	在顯州東北一百二十里，西北至上京九百里。
HCH_010_037_000378	戶一千。
HCH_010_037_000379	閭州。
HCH_010_037_000380	羅古王牧地，近醫巫閭山。
HCH_010_037_000381	在遼州西一百三十里，西北至上京九百五十里。
HCH_010_037_000382	戶一千。
HCH_010_037_000383	松山州。
HCH_010_037_000384	本遼澤大部落，橫帳普古王牧地。
HCH_010_037_000385	有松山。
HCH_010_037_000386	北至上京一百七十里。
HCH_010_037_000387	戶五百。
HCH_010_037_000388	豫州。
HCH_010_037_000389	橫帳陳王牧地。
HCH_010_037_000390	南至上京三百里。
HCH_010_037_000391	戶五百。
HCH_010_037_000392	寧州。
HCH_010_037_000393	本大賀氏勒得山，橫帳管寧王放牧地。
HCH_010_037_000394	在豫州東八十里，西南至上京三百五十里。
HCH_010_037_000395	戶三百。
HCH_010_037_000396	邊防城。
HCH_010_037_000397	遼國西北界防邊域，因屯戍而立，務據形勝，不資丁賦。
HCH_010_037_000398	具列如左：靜州，觀察。
HCH_010_037_000399	本泰州之金山。
HCH_010_037_000400	天慶六年升。
HCH_010_037_000401	鎮州，建安軍，節度。
HCH_010_037_000402	本古可敦城。
HCH_010_037_000403	統和二十二年皇太妃奏置。
HCH_010_037_000404	選諸部族二萬餘騎充屯軍，專捍禦室韋、羽厥等國，凡有征討，不得抽移。
HCH_010_037_000405	渤海、女直、漢人配流之家七百餘戶，分居鎮、防、維三州。
HCH_010_037_000406	東南至上京三千餘里。
HCH_010_037_000407	維州，刺史。
HCH_010_037_000408	防州，刺史。
HCH_010_037_000409	河董城。
HCH_010_037_000410	本回鶻可敦城，語訛為河董城。
HCH_010_037_000411	久廢，遼人完之以防邊患。
HCH_010_037_000412	高州界女直常為盜，劫掠行旅，遷其族於此。
HCH_010_037_000413	東南至上京一千七百里。
HCH_010_037_000414	靜邊城。
HCH_010_037_000415	本契丹二十部族水草地。
HCH_010_037_000416	北鄰羽厥，每入為盜，建城，置兵千餘騎防之。
HCH_010_037_000417	東南至上京一千五百里。
HCH_010_037_000418	皮被河城。
HCH_010_037_000419	地控北邊，置兵五百於此。
HCH_010_037_000420	防托皮被河出回紇北，東南經羽厥，入臚朐河，沿河董城北，東流合沱漉河，入於海。
HCH_010_037_000421	南至上京一千五百里。
HCH_010_037_000422	招州，綏遠軍，刺史。
HCH_010_037_000423	開泰三年以女直戶置。
HCH_010_037_000424	隸西北路招討司。
HCH_010_037_000425	塔懶主城。
HCH_010_037_000426	大康九年置。
HCH_010_037_000427	在臚朐河。
HCH_010_037_000428	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
