HCH_010_025_000001	三年春正月乙卯，如魚兒濼。
HCH_010_025_000053	丙辰，遣使冊李乾順為夏國王。
HCH_010_025_000054	庚申，如秋山。
HCH_010_025_000055	己巳，禁錢出境。
HCH_010_025_000056	八月庚辰，有司奏宛平、永清蝗為飛鳥所食。
HCH_010_025_000057	庚寅，謁慶陵。
HCH_010_025_000058	冬十月丁丑，獵遼水之濱。
HCH_010_025_000059	己卯，駐蹕藕絲澱。
HCH_010_025_000060	癸未，免百姓所貸官粟。
HCH_010_025_000061	己丑，知北院樞密使事耶律阿思封漆水郡王。
HCH_010_025_000062	癸巳，以乙室大王耶律敵烈知西北路招討使事，權知西北路招討使事蕭朽哥知乙室大王事。
HCH_010_025_000063	壬寅，詔諸部長官親鞫獄訟。
HCH_010_025_000064	十一月庚申，興中府民張化法以父兄犯盜當之，請代，皆免。
HCH_010_025_000065	十二月戊寅，南府宰相耶律王九致仕。
HCH_010_025_000066	癸未，以孟父敞穩耶律慎思為中京留守。
HCH_010_025_000067	閏十二月癸卯朔，預行正旦禮。
HCH_010_025_000068	丙午，如混同江。
HCH_010_025_000069	五年春正月癸未，如魚兒濼。
HCH_010_025_000070	甲午，高麗遣使來貢。
HCH_010_025_000071	三月癸酉，詔析津、大定二府精選舉人以聞，仍詔諭學者，當窮經明道。
HCH_010_025_000072	夏四月甲辰，以知奚六部大王事涅葛為本部大王。
HCH_010_025_000073	壬子，獵北山。
HCH_010_025_000074	甲子，霖雨，罷獵。
HCH_010_025_000075	五月丁亥，駐蹕赤勒嶺。
HCH_010_025_000076	己丑，以阻卜磨古斯為諸部長。
HCH_010_025_000077	癸巳，回鶻遣使貢良馬。
HCH_010_025_000078	己亥，以同知南府樞密使事耶律那也知右夷離畢事，左祗候郎君班詳穩耶律涅裏知北院大王事。
HCH_010_025_000079	六月甲寅，夏國遣使來謝封冊。
HCH_010_025_000080	壬戌，以參知政事王言敷為樞密副使，前樞密副使賈士勛參知政事，兼同知樞密院事。
HCH_010_025_000081	秋七月庚午，獵沙嶺。
HCH_010_025_000082	九月辛卯，遣使遺宋鹿脯。
HCH_010_025_000083	壬辰，駐蹕藕絲澱。
HCH_010_025_000084	冬十月乙巳，以新定法令太煩，復行舊法。
HCH_010_025_000085	庚申，以遼興軍節度使何葛為乙室大王。
HCH_010_025_000086	十一月丁卯朔，燕國王延禧生子，大赦，妃之族屬進爵有差。
HCH_010_025_000087	六年春正月，如混同江。
HCH_010_025_000088	二月辛丑，駐蹕雙山。
HCH_010_025_000089	三月辛未，女直遣使來貢。
HCH_010_025_000090	夏四月丁酉，東北路統軍司設掌法官。
HCH_010_025_000091	庚子，以同知南院樞密使事耶律吐朵知左夷離畢事。
HCH_010_025_000092	五月壬辰，駐蹕散水原。
HCH_010_025_000093	六月甲辰，遣使決五京囚。
HCH_010_025_000094	秋七月丙子，如黑嶺。
HCH_010_025_000095	冬十月丁酉，駐蹕藕絲澱。
HCH_010_025_000096	十一月壬戌，高麗遣使來貢。
HCH_010_025_000097	己巳，以南府宰相竇景庸為武定軍節度使。
HCH_010_025_000098	是年，放進士文充等七十二人。
HCH_010_025_000099	七年春正月壬戌，如混同江。
HCH_010_025_000100	二月己亥，駐蹕魚兒濼。
HCH_010_025_000101	壬寅，詔給渭州貧民耕牛、布絹。
HCH_010_025_000102	三月丙戌，駐蹕黑龍江。
HCH_010_025_000103	夏四月丙戌，以漢人行宮副部署耶律谷欲知乙室大王事。
HCH_010_025_000104	五月己未朔，日有食之。
HCH_010_025_000105	六月甲午，駐蹕赤勒嶺。
HCH_010_025_000106	己亥，倒塌嶺人進古鼎，有文曰：「萬歲永為寶用。」
HCH_010_025_000107	辛丑，回鶻遣使貢方物。
HCH_010_025_000108	癸卯，以權知東京留守蕭陶隗為契丹行宮都部署。
HCH_010_025_000109	丁未，端拱殿門災。
HCH_010_025_000110	秋七月戊午朔，回鶻遣使來貢異物，不納，厚賜遣之。
HCH_010_025_000111	八月庚寅，以霖雨，罷獵。
HCH_010_025_000112	壬寅，幸慶州，謁慶陵。
HCH_010_025_000113	九月丙申，還上京。
HCH_010_025_000114	己亥，日本國遣鄭元、鄭心及僧應範等二十八人來貢。
HCH_010_025_000115	冬十月辛巳，命燕國王延禧為天下兵馬大元帥，總北南院樞密使事。
HCH_010_025_000116	十一月庚子，如藕絲澱。
HCH_010_025_000117	甲子，望祀木葉山。
HCH_010_025_000118	八年春正月乙酉，如山榆澱。
HCH_010_025_000119	乙未，阻卜諸長來降。
HCH_010_025_000120	三月己亥，駐蹕撻裏舍澱。
HCH_010_025_000121	丁未，曲赦中京、蔚州役徒。
HCH_010_025_000122	夏四月乙卯，阻卜長來貢。
HCH_010_025_000123	丁丑，獵西山。
HCH_010_025_000124	惕德酋長胡裏只來附。
HCH_010_025_000125	五月甲辰，駐蹕赤勒嶺。
HCH_010_025_000126	六月乙丑，夏國為宋侵，遣使乞援。
HCH_010_025_000127	秋七月丁亥，獵沙嶺。
HCH_010_025_000128	九月乙巳，駐蹕藕絲澱。
HCH_010_025_000129	丁未，日本國遣使來貢。
HCH_010_025_000130	冬十月庚戌朔，遣使遺宋鹿脯。
HCH_010_025_000131	丙辰，振西北路饑。
HCH_010_025_000132	辛酉，阻卜磨古斯殺金吾吐古斯以叛，遣奚六部禿裏耶律郭三發諸蕃部兵討之。
HCH_010_025_000133	壬申，南府宰相王經薨。
HCH_010_025_000134	戊寅，以左夷離畢耶律涅裏為彰聖軍節度使。
HCH_010_025_000135	十一月戊子，以樞密副使王是敦兼知樞密院事，權參知政事韓資讓參知政事，漢人行宮都部署奚回離保知奚六部大王事。
HCH_010_025_000136	丁酉，以通州潦水害稼，遣使振之。
HCH_010_025_000137	戊申，北院大王合魯薨。
HCH_010_025_000138	是年，放進士冠尊文等五十三人。
HCH_010_025_000139	九年春正月庚辰，如混同江。
HCH_010_025_000140	二月，磨古斯來侵。
HCH_010_025_000141	三月，西北路招討使耶律阿魯掃古追磨古斯還，都監蕭張九遇賊，與戰不利。
HCH_010_025_000142	二室韋、拽剌、北王府、特滿群牧、宮分等軍多陷沒。
HCH_010_025_000143	夏四月乙卯，興中府甘露降，遣使祠佛飯僧。
HCH_010_025_000144	癸酉，獵西山。
HCH_010_025_000145	六月丁未朔，駐蹕散水原。
HCH_010_025_000146	庚申，以遼興軍節度使榮哥為南院大王，知左夷離畢事耶律吐朵為左夷離畢。
HCH_010_025_000147	秋七月辛卯，如黑嶺。
HCH_010_025_000148	壬寅，遣使賜高麗羊。
HCH_010_025_000149	九月癸卯，振西北路貧民。
HCH_010_025_000150	冬十月庚戌，有司奏磨古斯詣西北路招討使耶律撻不也偽降，既而乘虛來襲，撻不也死之。
HCH_010_025_000151	阻卜烏古禮叛，達裏底、拔思母並寇倒塌嶺。
HCH_010_025_000152	壬子，遣使籍諸路兵。
HCH_010_025_000153	癸丑，以南院大王特末同知南京留守事，命鄭家奴率兵往援倒塌嶺。
HCH_010_025_000154	甲寅，駐蹕藕絲澱，以左夷離畢耶律禿朵、圍場都管撒八並為西北路行軍都監。
HCH_010_025_000155	乙卯，詔以馬三千給烏古部。
HCH_010_025_000156	丙辰，有司奏阻卜長轄底掠西路群牧。
HCH_010_025_000157	丁巳，振西北路貧民。
HCH_010_025_000158	己未，燕國王延禧生子，肆赦，妃之族屬並進級。
HCH_010_025_000159	壬戌，以樞密直學士趙廷睦參知政事兼同知南院樞密使事。
HCH_010_025_000160	癸亥，烏古敵烈統軍使蕭朽哥奏討阻卜等部捷。
HCH_010_025_000161	甲子，宋遣使告其母后曹氏哀，即遣使吊祭。
HCH_010_025_000162	己巳，詔廣積貯，以備水旱。
HCH_010_025_000163	十一月辛巳，特抹等奏討阻卜捷。
HCH_010_025_000164	十二月丙辰，宋遣使以母后遺留物來饋。
HCH_010_025_000165	十年春正月，如春水。
HCH_010_025_000166	癸未，惕德來貢。
HCH_010_025_000167	戊子，烏古礼等來降，達裏底、拔思母二部來侵，四捷軍都監特抹死之。
HCH_010_025_000168	二月甲辰，以破阻卜，賞有功者。
HCH_010_025_000169	丙午，西南面招討司奏討拔思母捷。
HCH_010_025_000170	癸丑，排雅、仆裏、同葛、虎骨、仆果等來降。
HCH_010_025_000171	達裏底來侵。
HCH_010_025_000172	三月壬申朔，日有食之。
HCH_010_025_000173	山北路副部署蕭阿魯帶奏討達裏底捷。
HCH_010_025_000174	夏四月壬寅朔，惕德萌得斯、老古得等各率所部來附，詔復舊地。
HCH_010_025_000175	甲辰，駐蹕春州北平澱。
HCH_010_025_000176	丙午，烏古部節度使耶律陳家奴奏討茶礼剌捷。
HCH_010_025_000177	庚戌，以知北院樞密使事耶律斡特剌為都統，夷離畢耶律禿朵為副統，龍虎衛上將軍耶律胡呂都監，討磨古斯，遣積慶宮使蕭虬裏監戰。
HCH_010_025_000178	辛亥，朽哥奏頗裏八部來侵。
HCH_010_025_000179	擊破之。
HCH_010_025_000180	己巳，除玉田、密雲流民租賦一年。
HCH_010_025_000181	閏月庚子，賜西北路貧民錢。
HCH_010_025_000182	達裏底、拔思母二部來降。
HCH_010_025_000183	五月甲辰，駐蹕赤勒嶺。
HCH_010_025_000184	甲寅，括馬。
HCH_010_025_000185	戊午，西北路招討司奏敵烈等部來侵，統軍司出兵與戰，不利，招討司以兵擊破之，敦睦宮太師耶律愛奴及其子死之。
HCH_010_025_000186	辛酉，以知國舅詳穩事蕭阿烈同領西北路行軍事。
HCH_010_025_000187	六月辛未，宋遣使來謝吊祭。
HCH_010_025_000188	乙酉，烏古敵烈統軍使朽哥有罪，除名。
HCH_010_025_000189	丙戌，和烈葛等部來聘。
HCH_010_025_000190	癸巳，惕德來貢。
HCH_010_025_000191	己亥，禁邊民與蕃部為婚。
HCH_010_025_000192	是夏，高麗國王運薨，子昱遣使來告，即遣使賻贈。
HCH_010_025_000193	秋七月庚子朔，獵赤山。
HCH_010_025_000194	是月，阻卜等寇倒塌嶺，盡掠西路群牧馬去，東北路統軍使耶律石柳以兵追及，盡獲所掠而還。
HCH_010_025_000195	九月己未，以南院大王特末為南院樞密使。
HCH_010_025_000196	甲子，敵烈諸酋來降，釋其罪。
HCH_010_025_000197	是月，斡特剌破磨古斯。
HCH_010_025_000198	冬十月丙子，駐蹕藕絲澱。
HCH_010_025_000199	壬午，山北路副部署蕭阿魯帶以討達裏底功，加左金吾衛上將軍。
HCH_010_025_000200	癸巳，西北路統軍司獲阻卜長拍撒葛、蒲魯等來獻。
HCH_010_025_000201	十一月乙巳，惕德銅刮、阻卜的烈等來降。
HCH_010_025_000202	達裏底及拔思母等復來侵，山北副部署阿魯帶擊敗之。
HCH_010_025_000203	十二月癸酉，三河縣民孫賓及其妻皆百歲，復其家。
HCH_010_025_000204	甲戌，以參知政事趙廷睦兼同知樞密院事，樞密副使王師儒參知政事兼同知樞密院事。
HCH_010_025_000205	己卯，詔錄西北路有功將士及戰歿者，贈官。
HCH_010_025_000206	乙酉，詔改明年元，減雜犯死罪以下，仍除貧民租賦。
HCH_010_025_000207	戊子，西北路統軍司奏討磨古斯捷。
HCH_010_025_000208	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
