HCH_009_106_000001	張暐，字明仲，莒州日照縣人。
HCH_009_106_000024	由是永中之獄決矣。
HCH_009_106_000025	霍王從彝母早死，溫妃石抹氏養之，明昌六年溫妃薨，上問從彝喪服。
HCH_009_106_000026	暐奏：「慈母服齊衰三年，桐杖布冠，禮也。從彝近親，至尊壓降與臣下不同，乞於未葬以前服白布衣絹巾，既葬止用素服終制，朝會從吉。」
HCH_009_106_000027	上從其奏。
HCH_009_106_000028	承安元年八月壬子，上召暐至內殿，問曰：「南郊大祀，今用度不給，俟他年可乎？」
HCH_009_106_000029	暐曰：「陛下即位於今八年，大禮未舉，宜亟行之。」
HCH_009_106_000030	上曰：「北方未寧，致齋之際，有不測奏報何如？」
HCH_009_106_000031	對曰：「豈可逆度而妨大禮。今河平歲豐，正其時也。」
HCH_009_106_000032	上複問曰：「僧道三年一試，八十而取一，不亦少乎？」
HCH_009_106_000033	對曰：「此輩浮食，無益有損，不宜滋益也。」
HCH_009_106_000034	上曰：「周武帝、唐武宗、後周世宗皆賢君，其壽不永，雖曰偶然，似亦有因也。」
HCH_009_106_000035	對曰：「三君矯枉太過。今不毀除、不崇奉，是為得中矣。」
HCH_009_106_000036	是歲，郊見上帝焉。
HCH_009_106_000037	頃之，翰林修撰路鐸論胥持國不可再用，因及董師中趨走持國及丞相襄之門，上曰：「張暐父子必不如是也。」
HCH_009_106_000038	三年，為御史大夫，懇辭，不許。
HCH_009_106_000039	明年，坐奏事不實，奪一官，解職。
HCH_009_106_000040	起為安武軍節度使。
HCH_009_106_000041	致仕，例給半俸，久之，暐不復請，遂止。
HCH_009_106_000042	暐自妻卒後不復娶，亦無姬侍，齋居與子行簡講論古今，諸孫課誦其側，至夜分乃罷，以為常。
HCH_009_106_000043	曆太常，禮部二十餘年，最明古今禮學，家法為士族儀錶。
HCH_009_106_000044	子行簡、行信，行信自有傳。
HCH_009_106_000045	行簡字敬甫。
HCH_009_106_000046	穎悟力學，淹貫經史。
HCH_009_106_000047	大定十九年進士第一，除應奉翰林文字。
HCH_009_106_000048	丁母憂，歸葬益都，杜門讀書，人莫見其面。
HCH_009_106_000049	服除，複任。
HCH_009_106_000050	章宗即位，轉修撰，進讀陳言文字，攝太常博士。
HCH_009_106_000051	夏國遣使陳慰，欲致祭大行靈殿。
HCH_009_106_000052	行簡曰：「彼陳慰非專祭，不可。」
HCH_009_106_000053	廷議遣使橫賜高麗，「比遣使報哀，彼以細故邀阻，且出嫚言，俟移問還報，橫賜未晚」。
HCH_009_106_000054	徒單克寧韙其言，深器重之。
HCH_009_106_000055	轉翰林修撰，與路伯達俱進讀陳言文字，累遷禮部郎中。
HCH_009_106_000056	司天臺劉道用改進新曆，詔學士院更定曆名，行簡奏乞複校測驗，俟將來月食無差，然後賜名。
HCH_009_106_000057	詔翰林侍講學士党懷英等複校。
HCH_009_106_000058	懷英等校定道用新曆：明昌三年不置閏，即以閏月為三月；二年十二月十四日，金木星俱在危十三度，道用曆在十三日，差一日；三年四月十六日夜月食，時刻不同。
HCH_009_106_000059	道用不會考驗古今所記，比登事蹟，輒以上進，不可用。
HCH_009_106_000060	道用當徒一年收贖，長行彭徽等四人各杖八十罷去。
HCH_009_106_000061	群臣屢請上尊號，章宗不從，將下詔以示四方，行簡奏曰：「往年饑民棄子，或丐以與人，其後詔書官為收贖，或其父母衣食稍充，即識認，官亦斷與之。自此以後，饑歲流離道路，人不肯收養，肆為捐瘠，餓死溝中。伏見近代禦災詔書，皆曰'以後不得複取'今乞依此施行。」
HCH_009_106_000062	上是其言，詔書中行之。
HCH_009_106_000063	久之，兼同修國史。
HCH_009_106_000064	改禮部侍郎、提點司天臺，直學士，同修史如故。
HCH_009_106_000065	行簡言：「唐制，僕射、宰相上日，百官通班致賀，降階答拜。國朝皇太子元正、生日，三師、三公、宰執以下須群官同班拜賀，皇太子立受再答拜。今尚書省宰執上日，分六品以下別為一班揖賀，宰執坐答揖，左右司郎中五品官廷揖，亦坐答之。臣謂身坐舉手答揖，近於坐受也。宰執受賀，其禮乃重于皇太子，鞏于義未安。別嫌明微，禮之大節，伏請宰執上日令三品以下官同班賀，宰執起立，依見三品官儀式通答揖。」
HCH_009_106_000066	上曰：「此事何不早辨正之，如都省擅行，卿論之是矣。」
HCH_009_106_000067	行簡對曰：「禮部蓋嘗參酌古今典禮，擬定儀式，省廷不從，輒改以奏。」
HCH_009_106_000068	下尚書省議，遂用之。
HCH_009_106_000069	宰執上日，三品以下群官通班賀，起立答拜，自此始。
HCH_009_106_000070	行簡轉對，因論典故之學，乞于太常博士之下置檢閱官二員，通禮學資淺者使為之，積資乃遷博士。
HCH_009_106_000071	又曰：「今雖有《國朝集禮》，至於食貨、官職、兵刑沿革，未有成書，乞定會要，以示無窮。」
HCH_009_106_000072	承安五年，遷侍講學士，同修史、提點司天如故。
HCH_009_106_000073	泰和二年，為宋主生日副使。
HCH_009_106_000074	上召生日使完顏瑭戒之曰：「卿過界勿飲酒，每事聽于行簡。」
HCH_009_106_000075	謂行簡曰：「宋人行禮，好事末節，苟有非是，皆須正之，舊例所有，不可不至。」
HCH_009_106_000076	上複曰：「頗聞前奉使者過淮，每至中流，即以分界爭渡船，此殊非禮。卿自戒舟人，且語宋使曰：'兩國和好久矣，不宜爭細故傷大體。'丁寧諭之，使悉此意也。」
HCH_009_106_000077	四年，詔曰：「每奏事之際，須令張行簡常在左右。」
HCH_009_106_000078	五年，群臣複請上尊號，上不許，詔行簡作批答，因問行簡宋范祖禹作《唐鑒》論尊號事。
HCH_009_106_000079	行簡對曰：「司馬光亦嘗諫尊號事，不若祖禹之詞深至，以謂臣子生諡君父，頗似慘切。」
HCH_009_106_000080	上曰：「卿用祖禹意答之，仍曰太祖雖有尊號，太宗未嘗受也。」
HCH_009_106_000081	行簡乞不拘對偶，引祖禹以微見其意。
HCH_009_106_000082	從之。
HCH_009_106_000083	其文深雅，甚得代言之體。
HCH_009_106_000084	改順天軍節度使。
HCH_009_106_000085	上謂行簡曰：「卿未更治民，今至保州，民之情偽，卒難臆度，如何治之則可？」
HCH_009_106_000086	對曰：「臣奉行法令，不敢違失，獄訟之事，以情察之，鈐制公吏，禁抑豪猾，以鎮靜為務，庶幾萬分之一。」
HCH_009_106_000087	上曰：「在任半歲或一年，所得利害上之。」
HCH_009_106_000088	行簡到保州，上書曰：「比者括官田給軍，既一定矣，有告欲別給者，輒從其告，至今未已。名曰官田，實取之民以與之，奪彼與此，徒啟爭端。臣所管已撥深澤縣地三百餘頃，複告水占沙堿者三分之二，若悉從之，何時可定。臣謂當限以月日，不許再告為便。」
HCH_009_106_000089	下尚書省議，奏請：「如實有水占河塌，不可耕種，本路及運司佐官按視，尚書省下按察司複同，然後改撥。若沙堿瘠薄，當准已撥為定。」
HCH_009_106_000090	制曰：「可。」
HCH_009_106_000091	六年，召為禮部尚書，兼侍講、同修國史。
HCH_009_106_000092	秘書監進《太一新曆》，詔行簡校之。
HCH_009_106_000093	七年，上遣中使馮賢童以實封禦紮賜行簡曰：「朕念鎬、鄭二王誤幹天常，自貽伊戚。槁葬郊野，多歷年所，朕甚悼焉。欲追複前爵，備禮改葬，卿可詳閱唐貞觀追贈隱、巢，並前代故事，密封以聞。」
HCH_009_106_000094	又曰：「欲使石古乃於威州擇地營葬，歲時祭奠，兼命衛王諸子中立一人為鄭王后，謹其祭祀。此事既行，理須降詔，卿草詔文大意，一就封進。」
HCH_009_106_000095	行簡乃具漢淮南厲王長、楚王英、唐隱太子建成、巢剌王元吉、譙王重福故事為奏，並進詔草，遂施行焉。
HCH_009_106_000096	累遷太子太保、翰林學士承旨，尚書、修史如故。
HCH_009_106_000097	貞祐初，轉太子太傅，上書論議和事，其略曰：「東海郡候嘗遣約和，較計細故，遷延不決。今都城危急，豈可拒絕。臣願更留聖慮，包荒含垢，以救生靈。或如遼、宋相為敵國，歲奉幣帛，或二三年以繼。選忠實辨捷之人，往與議之，庶幾有成，可以紓患。」
HCH_009_106_000098	是時，百官議者，雖有異同，大概以和親為主焉。
HCH_009_106_000099	莊獻太子葬後，不置宮師官，升承旨為二品，以寵行簡，兼職如故。
HCH_009_106_000100	三年七月，朝廷備防秋兵械，令內外職官不以丁憂致仕，皆納弓箭。
HCH_009_106_000101	行簡上書曰：「弓箭非通有之物，其清貧之家及中下監當，丁憂致仕，安有所謂如法軍器。今繩以軍期，補弊修壞，以求應命而已，與倉猝製造何以異哉。若於隨州郡及猛安謀克人戶拘括，擇其佳者買之，不足則令職輸所買之價，庶不擾而事可辦。」
HCH_009_106_000102	左丞相僕散端、平章政事高琪、盡忠、右丞賈益謙皆曰：「丁憂致仕者可以免此。」
HCH_009_106_000103	權參政烏古論德升曰：「職官久享爵祿，軍興以來，曾無寸補，況事已行而複改，天下何所取信。」
HCH_009_106_000104	是議也，丁憂致仕官竟得免。
HCH_009_106_000105	是歲，卒，贈銀青榮祿大夫，諡文正。
HCH_009_106_000106	行簡端愨慎密，為人主所知。
HCH_009_106_000107	自初入翰林，至太常、禮部，典貢舉終身，縉紳以為榮。
HCH_009_106_000108	與弟行信同居數十年，人無間言。
HCH_009_106_000109	所著文章十五卷，《禮例纂》一百二十卷，會同、朝獻、禘佩、喪葬，皆有記錄，及《清台》，《皇華》、《戒嚴》、《為善》、《自公》等記，藏於家。
HCH_009_106_000110	贊曰：張暐、行簡世為禮官，世習禮學。
HCH_009_106_000111	其為禮也，行於家庭，講於朝廷，施用於鄰國，無不中度。
HCH_009_106_000112	古者官有世掌，學有專門，金諸儒臣，唯張氏父子庶幾無愧於古乎。
HCH_009_106_000113	賈益謙，字彥亨，沃州人也，本名守謙，避哀宗諱改焉。
HCH_009_106_000114	大定十年詞賦進士，曆仕州郡，以能稱。
HCH_009_106_000115	明昌間，入為尚書省令史，累遷左司郎中。
HCH_009_106_000116	章宗諭之曰：「汝自知除至居是職，左司事不為不練，凡百官行止、資歷固宜照勘，勿使差繆。若武庫署直長移刺郝自平定州軍事判官召為典輿副轄，在職才五月，降授門山縣簿尉。朕比閱貼黃，行止乃俱書作一十三月，行止尚如此失實，其如選法何？蓋是汝不用心致然爾。今姑杖知除掾，汝勿複犯之。」
HCH_009_106_000117	五年，為右諫議大夫，上言：「提刑司官不須遣監察體訪，宜據其任內行事，考其能否而升黜之。」
HCH_009_106_000118	上曰：「卿之言其有所見乎？」
HCH_009_106_000119	守謙對曰：「提刑官若不稱職，眾所共知，且其職與監察等，臣是故言之。」
HCH_009_106_000120	上嘉納焉。
HCH_009_106_000121	是年夏，上將幸景明宮清暑，守謙連上疏，極諫之。
HCH_009_106_000122	上禦後閣，召守謙入對，稱旨。
HCH_009_106_000123	進兼尚書吏部侍郎。
HCH_009_106_000124	時鎬王以疑忌下獄，上怒甚，朝臣無敢言者。
HCH_009_106_000125	守謙上章論其不可，言極懇切。
HCH_009_106_000126	上諭之曰：「汝言諸王皆有覬心，而遊其門者不無橫議。此何等語，固當罪汝。以汝前言事亦有當處，故免。」
HCH_009_106_000127	既而以議鎬王事有違上意，解職，削官二階。
HCH_009_106_000128	承安元年七月，降為甯化州刺史。
HCH_009_106_000129	五年八月，改為山東路按察使，轉河北西路轉運使。
HCH_009_106_000130	泰和三年四月，召為禦史中丞。
HCH_009_106_000131	四年三月，出為定武軍節度使。
HCH_009_106_000132	八年六月，複為禦史中丞。
HCH_009_106_000133	八月，改吏部尚書。
HCH_009_106_000134	九月，詔守謙等一十三員分詣諸路，與本路按察司官一員同推排民戶物力。
HCH_009_106_000135	上召見於香閣，諭之曰：「朕選卿等隨路推排，除推收外，其新強、銷乏戶，雖集眾推唱，然銷乏者勿銷不盡，如一戶元物力三百貫，今蠲減二百五十貫，猶有不能當。新強者勿添盡，量存氣力，如一戶添三百貫而止添二百貫之類。卿等宜各用心。百姓應當賦役，十年之間，利害非細。苟不稱所委，治罪當不輕也。」
HCH_009_106_000136	尋出知濟南府，移鎮河中。
HCH_009_106_000137	大安末，拜參知政事。
HCH_009_106_000138	貞祐二年二月，改河東南路安撫使，俄知彰德府。
HCH_009_106_000139	三年，召為尚書省右丞。
HCH_009_106_000140	會宣宗始遷汴梁，益謙乃建言：「汴之形勢，惟恃大河。今河朔受兵，群盜並起，宜嚴河禁以備不虞，凡自北來而無公憑者，勿聽渡。」
HCH_009_106_000141	是時，河北民遷避河南者甚眾。
HCH_009_106_000142	侍御史劉無規上言：「僑戶宜與土民均應差役。」
HCH_009_106_000143	上留中，而自以其意問宰臣。
HCH_009_106_000144	丞相端、平章盡忠以為便。
HCH_009_106_000145	益謙曰：「僑戶應役，甚非計也。蓋河北人戶本避兵而來，兵稍息即歸矣。今旅寓倉皇之際，無以為生，若又與地著者並應供憶，必騷動不能安居矣。豈主上矜恤流亡之意乎。」
HCH_009_106_000146	上甚嘉賞，曰：「此非朕意也。」
HCH_009_106_000147	因出元規章示之。
HCH_009_106_000148	三年八月，進拜尚書左丞。
HCH_009_106_000149	四年正月，致仕，居鄭州。
HCH_009_106_000150	興定五年正月，尚書省奏：「《章宗實錄》已進呈，衛王事蹟亦宜依《海陵庶人實錄》，纂集成書，以示後世。」
HCH_009_106_000151	制可。
HCH_009_106_000152	初，胡沙虎弑衛王，立宣宗，一時朝臣皆謂衛王失道，天命絕之，虎實無罪，且有推戴之功，獨張行信抗章言之，不報，舉朝遂以為諱。
HCH_009_106_000153	及是，史官謂益謙嘗事衛王，宜知其事，乃遣編修一人就鄭訪之。
HCH_009_106_000154	益謙知其旨，謂之曰：「知衛王莫如我。然我聞海陵被弑而世宗立，大定三十年，禁近能暴海陵蟄惡者，輒得美仕，故當時史官修實錄多所附會。衛王為人勤儉，慎惜名器，較其行事，中材不及者多矣。吾知此而已，設欲飾吾言以實其罪，吾亦何惜餘年。」
HCH_009_106_000155	朝議偉之。
HCH_009_106_000156	正大三年，年八十，薨。
HCH_009_106_000157	三子：賢卿、頤卿、翔卿，皆以門資入仕。
HCH_009_106_000158	贊曰：賈益謙于衛紹王，可謂盡事君之義矣。
HCH_009_106_000159	海陵之事，君子不無憾焉。
HCH_009_106_000160	夫正隆之為惡，暴其大者斯亦足矣。
HCH_009_106_000161	中綍之醜，史不絕書，誠如益謙所言，則史亦可為取富貴之道乎？
HCH_009_106_000162	嘻，其甚矣。
HCH_009_106_000163	《傳》曰：「不有廢者，其何以興！」
HCH_009_106_000164	劉炳，葛城人。
HCH_009_106_000165	每讀書，見前古忠臣烈士為國家畫策慮萬世安，輒歎息景慕。
HCH_009_106_000166	貞祐三年，中進士第，即日上書條便宜十事：其一曰，任諸王以鎮社稷。
HCH_009_106_000167	臣觀往歲，王師屢戰屢衄，率皆自敗。
HCH_009_106_000168	承平日久，人不知兵，將帥非才，既無靖難之謀，又無效死之節，外托持重之名，而內為自安之計，擇驍果以自隨，委疲懦以臨陣，陣勢稍動，望塵先奔，士卒從而大潰。
HCH_009_106_000169	朝廷不加詰問，輒為益兵。
HCH_009_106_000170	是以法度日紊，倉庾日虛，閭井日凋，土地日蹙。
HCH_009_106_000171	自大駕南巡，遠近相望，益無固志。
HCH_009_106_000172	吏任河北者以為不幸，逡巡退避，莫之敢前。
HCH_009_106_000173	昔唐天寶之末，洛陽、潼關相次失守，皇輿夜出，向非太子回趨靈武，率先諸將，則西行之士當終老於劍南矣。
HCH_009_106_000174	臣願陛下擇諸王之英明者，總監天下之兵，北駐重鎮，移檄遠近，戒以軍政。
HCH_009_106_000175	則四方聞風者皆將自奮，前死不避。
HCH_009_106_000176	折沖厭難，無大於此。
HCH_009_106_000177	夫人情可以氣激不可以力使，一卒先登，則萬夫齊奮，此古人所以先身教而後威令也。
HCH_009_106_000178	二曰，結人心以固基本。
HCH_009_106_000179	天子惠人，不在施予，在於除其同患，因所利而利之。
HCH_009_106_000180	今艱危之後，易於為惠，因其欲安而慰撫之，則忠誠親上之心，當益加於前日。
HCH_009_106_000181	臣願寬其賦役，信其號令，凡事不便者一切停罷。
HCH_009_106_000182	時遣重臣按行郡縣，延見耆老，問其疾苦，選廉正，黜貪殘，拯貧窮，恤孤獨，勞來還定，則效忠徇義，無有二志矣。
HCH_009_106_000183	故曰安民可與行義，危民易與為亂，惟陛下留神。
HCH_009_106_000184	三曰，廣收人材以備國用。
HCH_009_106_000185	備歲寒者必求貂狐，適長途者必畜騏驥。
HCH_009_106_000186	河南、陝西，車駕臨幸，當有以大慰士民之心。
HCH_009_106_000187	其有操行為民望者，稍擢用之，平居可以勵風俗，緩急可以備驅策。
HCH_009_106_000188	昭示新恩，易民觀聽，陰系天下之心也。
HCH_009_106_000189	四曰，選守令以安百姓。
HCH_009_106_000190	郡守、縣令，天子所恃以為治，百姓所依以為命者也。
HCH_009_106_000191	今眾庶已弊，官吏庸暗，無安利之才，貪暴昏亂，與奸為市，公有鬥粟之賦，私有萬錢之求，遠近囂囂，無所控告。
HCH_009_106_000192	自今非才器過人，政跡卓異者，不可使在此職。
HCH_009_106_000193	親勳故舊，雖望隆資高，不可使為長吏。
HCH_009_106_000194	則賢者喜於殊用，益盡其能，不肖者愧慕而思自勵矣。
HCH_009_106_000195	五曰，褒忠義以勵臣節。
HCH_009_106_000196	忠義之士，奮身效命，力盡城破而不少屈。
HCH_009_106_000197	事定之後，有司略不加省，棄職者顧以恩貸，死事者反不見錄，天下何所慕憚，而不為自安之計邪？
HCH_009_106_000198	使為臣者皆知殺身之無益，臨難可以苟免，甚非國家之利也。
HCH_009_106_000199	六曰，務農力本以廣蓄積。
HCH_009_106_000200	此最強兵富民之要術，當今之急務也。
HCH_009_106_000201	七曰，崇節儉以省財用。
HCH_009_106_000202	今海內虛耗，田疇荒蕪，廢奢從儉以紓生民之急，無先於此者。
HCH_009_106_000203	八曰，去冗食以助軍費。
HCH_009_106_000204	兵革之後，人物凋喪者十四五，郡縣官吏署置如故，甚非審權救弊之道。
HCH_009_106_000205	九曰，修軍政以習守戰。
HCH_009_106_000206	自古名將料敵制勝，訓練士卒，故可使赴湯蹈火，百戰不殆。
HCH_009_106_000207	孔子曰：「以不教民戰，是謂棄之。」
HCH_009_106_000208	兵法曰：「器械不利，以其卒與敵也。卒不服習，以其將與敵也。將不知兵，以其主與敵也。主不擇將，以其國與敵也。」
HCH_009_106_000209	可不慎哉。
HCH_009_106_000210	十曰，修城池以備守禦。
HCH_009_106_000211	保障國家，惟都城與附近數郡耳。
HCH_009_106_000212	北地不守，是無河朔矣，黃河豈足恃哉。
HCH_009_106_000213	書奏，宣宗異焉。
HCH_009_106_000214	復試之曰：「河北城邑，何術可保？兵民雜居，何道可和？鈔法如何而通？物價如何而平？」
HCH_009_106_000215	炳對大略以審擇守將則城邑固，兵不侵民則兵民和，斂散相權則鈔法通，勸農薄賦則物價平。
HCH_009_106_000216	宣宗雖異其言，而不能用，但補禦史台令史而已。
HCH_009_106_000217	論曰：劉炳可謂能言之士矣。
HCH_009_106_000218	宣宗召試既不失對，而以一台令史賞之，足以倡士氣乎？
HCH_009_106_000219	朮虎高琪，或作高乞，西北路猛安人。
HCH_009_106_000220	大定二十七年充護衛，轉十人長，出職河間都總管判官，召為武衛軍鈐轄，遷宿直將軍，除建州刺史，改同知臨洮府事。
HCH_009_106_000221	泰和六年，伐宋，與彰化軍節度副使把回海備鞏州諸鎮，宋兵萬余自鞏州轆轤嶺入，高琪奮擊破之，賜銀百兩、重彩十端。
HCH_009_106_000222	青宜可內附，詔知府事石抹仲溫與高琪俱出界，與青宜可合兵進取。
HCH_009_106_000223	詔高琪曰：「汝年尚少，近聞與宋人力戰奮勇，朕甚嘉之。今與仲溫同行出界，如其成功，高爵厚祿，朕不吝也。」
HCH_009_106_000224	詔封吳曦為蜀國王，高琪為封冊使。
HCH_009_106_000225	詔戒諭曰：「卿讀書解事，蜀人亦識威名，勿以財賄動心，失大國體。如或隨去奉職有違禮生事，卿與喬宇體察以聞。」
HCH_009_106_000226	使還，加都統，號平南虎威將軍。
HCH_009_106_000227	宋安丙遣李孝義率步騎三萬攻秦州，先以萬人圍皁角堡，高琪赴之。
HCH_009_106_000228	宋兵列陣山谷，以武車為左右翼，伏弩其下來逆戰。
HCH_009_106_000229	既合，宋兵陽卻。
HCH_009_106_000230	高琪軍見宋兵伏不得前，退整陣，宋兵複來。
HCH_009_106_000231	凡五戰，宋兵益堅，不可以得志。
HCH_009_106_000232	高琪分騎為二，出者戰則止者俟，止者出則戰者還，還者複出以更。
HCH_009_106_000233	久之，遣蒲察桃思剌潛兵上山，自山馳下合擊，大破宋兵，斬首四千級，生擒數百人，李孝義乃解圍去。
HCH_009_106_000234	宋兵三千致馬連寨以窺湫池，遣夾谷福壽擊走之，斬七百餘級。
HCH_009_106_000235	大安三年，累官泰州刺史，以颭軍三千屯通玄門外。
HCH_009_106_000236	未幾，升縉山縣為鎮州，以高琪為防禦使，權元帥右都監，所部颭軍賞賚有差。
HCH_009_106_000237	至甯元年八月，尚書左丞完顏綱將兵十萬行省於縉山，敗績。
HCH_009_106_000238	貞祐初，遷元帥右監軍。
HCH_009_106_000239	閏月，詔高琪曰：「聞軍事皆中覆，得無失機會乎？自今當即行之，朕但責成功耳。」
HCH_009_106_000240	是月，被詔自鎮州移軍守禦中都迤南，次良鄉不得前，乃還中都。
HCH_009_106_000241	每出戰輒敗，紇石烈執中戒之曰：「汝連敗矣，若再不勝，當以軍法從事。」
HCH_009_106_000242	及出，果敗，高琪懼誅。
HCH_009_106_000243	十月辛亥，高琪自軍中入，遂以兵圍執中第，殺執中，持其首詣闕待罪。
HCH_009_106_000244	宣宗赦之，以為左副元帥，一行將士遷賞有差。
HCH_009_106_000245	丙寅，詔曰：「胡沙虎畜無君之心，形跡露見，不可盡言。武衛副使提點近侍局慶山奴、近侍局使斜烈、直長撒合輦累曾陳奏，方慎圖之。斜烈漏此意于按察判官胡魯，胡魯以告翰林待制訛出，訛出達于高琪，今月十五日將胡沙虎戮訖。惟茲臣庶將恐有疑，肆降劄書，不匿厥旨。」
HCH_009_106_000246	論者謂高琪專殺，故降此詔。
HCH_009_106_000247	頃之，拜平章政事。
HCH_009_106_000248	宣宗論馬政，顧高琪曰：「往歲市馬西夏，今肯市否？」
HCH_009_106_000249	對曰：「木波畜馬甚多，市之可得，括緣邊部落馬，亦不少矣。」
HCH_009_106_000250	宣宗曰：「盡括邊馬，緩急如之何？」
HCH_009_106_000251	閱三日，複奏曰：「河南鎮防二十余軍，計可得精騎二萬，緩急亦足用。」
HCH_009_106_000252	宣宗曰：「馬雖多，養之有法，習之有時，詳諭所司令加意也。」
HCH_009_106_000253	貞祐二年十一月，宣宗問高琪曰：「所造軍器往往不可用，此誰之罪也？」
HCH_009_106_000254	對曰：「軍器美惡在兵部，材物則戶部，工匠則工部。」
HCH_009_106_000255	宣宗曰：「治之！且將敗事。」
HCH_009_106_000256	宣宗問楊安兒事，高琪對曰：「賊方據險，臣令主將以石牆圍之，勢不得出，擒在旦夕矣。」
HCH_009_106_000257	宣宗曰：「可以急攻，或力戰突圍，我師必有傷者。」
HCH_009_106_000258	應奉翰林文字完顏素蘭自中都議軍事還，上書求見，乞屏左右。
HCH_009_106_000259	故事，有奏密事輒屏左右。
HCH_009_106_000260	先是，太府監丞游茂以高琪威權太重，中外畏之，常以為憂，因入見，屏人密奏，請裁抑之。
HCH_009_106_000261	宣宗曰：「既委任之，權安得不重？」
HCH_009_106_000262	茂退不自安，複欲結高琪，詣其第上書曰：「宰相自有體，豈可以此生人主之疑，招天下之議。」
HCH_009_106_000263	恐高琪不相信，複曰：「茂嘗間見主上，實惡相公權重。相公若能用茂，當使上不疑，而下無所議。」
HCH_009_106_000264	高琪聞茂嘗請間屏人奏事，疑之，乃具以聞。
HCH_009_106_000265	遊茂論死，詔免死，杖一百，除名。
HCH_009_106_000266	自是凡屏人奏事，必令近臣一人侍立。
HCH_009_106_000267	及素蘭請密，召至近侍局，給筆劄，使書所欲言。
HCH_009_106_000268	少頃，宣宗禦便殿見之，惟留近侍局直長趙和和侍立。
HCH_009_106_000269	素蘭奏曰：「日者元帥府議削伯德文哥兵權，朝廷乃詔領義軍。改除之命拒而不受，元帥府方欲討捕，朝廷複赦之，且不令隸元帥府。不知誰為陛下畫此計者，臣自外風聞皆出平章高琪。」
HCH_009_106_000270	宣宗曰：「汝何以知此事出於高琪？」
HCH_009_106_000271	素蘭曰：「臣見文哥與永清副提控劉溫牒雲，差人張希韓至自南京，道副樞平章處分，已奏令文哥隸大名行省，毋遵中都帥府約束。溫即具言于帥府。然則文哥與高琪計結，明矣。」
HCH_009_106_000272	上頷之。
HCH_009_106_000273	素蘭複奏曰：「高琪本無勳望，向以畏死擅殺胡沙虎，計出於無聊耳。妒賢能，樹黨與，竊弄威權，自作威福。去歲，都下書生樊知一詣高琪，言颭軍不可信，恐生亂。高琪以刀杖決殺之，自是無複敢言軍國利害者。使其黨移剌塔不也為武甯軍節度使，招颭軍，已而無功，複以為武衛軍使。以臣觀之，此賊滅亂紀綱，戕害忠良，實有不欲國家平治之意。惟陛下斷然行之，社稷之福也。」
HCH_009_106_000274	宣宗曰：「朕徐思之。」
HCH_009_106_000275	素蘭出，複戒曰：「慎無泄也。」
HCH_009_106_000276	四年十月，大元大兵取潼關，次嵩、汝間，待闕台院令史高嶷上書曰：「向者河朔敗績，朝廷不時出應，此失機會一也。及深入吾境，都城精兵無慮數十萬，若效命一戰，必無今日之憂，此失機會二也。既退之後，不議追襲，此失機會三也。今已度關，不亟進禦，患益深矣。乞命平章政事高琪為帥，以厭眾心。」
HCH_009_106_000277	不報。
