HCH_012_195_000001	王守仁，字伯安，餘姚人。
HCH_012_195_000276	宸濠懷不軌，而外務名高，貽書守仁問學，守仁使元亨往。
HCH_012_195_000277	宸濠語挑之，佯不喻，獨與之論學，宸濠目為癡。
HCH_012_195_000278	他日講西銘，反覆君臣義甚悉。
HCH_012_195_000279	宸濠亦服，厚贈遣之，元亨反其贈於官。
HCH_012_195_000280	已，宸濠敗，張忠、許泰誣守仁與通。
HCH_012_195_000281	詰宸濠，言無有。
HCH_012_195_000282	忠等詰不已，曰：「獨嘗遣冀元亨論學。」
HCH_012_195_000283	忠等大喜，搒元亨，加以炮烙，終不承，械繫京師詔獄。
HCH_012_195_000284	世宗嗣位，言者交白其冤，出獄五日卒。
HCH_012_195_000285	元亨在獄，善待諸囚若兄弟，囚皆感泣。
HCH_012_195_000286	其被逮也，所司繫其妻李，李無怖色，曰：「吾夫尊師樂善，豈他慮哉。」
HCH_012_195_000287	獄中與二女治麻枲不輟。
HCH_012_195_000288	事且白，守者欲出之。
HCH_012_195_000289	曰：「未見吾夫，出安往？」
HCH_012_195_000290	按察諸僚婦聞其賢，召之，辭不赴。
HCH_012_195_000291	已就見，則囚服見，手不釋麻枲。
HCH_012_195_000292	問其夫學，曰：「吾夫之學，不出閨門袵席間。」
HCH_012_195_000293	聞者悚然。
HCH_012_195_000294	贊曰：王守仁始以直節著。
HCH_012_195_000295	比任疆事，提弱卒，從諸書生掃積年逋寇，平定孽藩。
HCH_012_195_000296	終明之世，文臣用兵制勝，未有如守仁者也。
HCH_012_195_000297	當危疑之際，神明愈定，智慮無遺，雖由天資高，其亦有得於中者歟。
HCH_012_195_000298	矜其創獲，標異儒先，卒為學者譏。
HCH_012_195_000299	守仁嘗謂胡世寧少講學，世寧曰：「某恨公多講學耳。」
HCH_012_195_000300	桂萼之議雖出於媢忌之私，抑流弊實然，固不能以功多為諱矣。
