HCH_012_185_000001	李敏賈俊黃紱張悅似鐘曾鑒梁璟徐恪李介黃珂王鴻儒叢蘭吳世忠李敏，字公勉，襄城人。
HCH_012_185_000036	弘治四年，得疾乞休，帝為遣醫視療。
HCH_012_185_000037	已，復力請，乃以葉淇代，詔敏乘傳歸。
HCH_012_185_000038	未抵家卒。
HCH_012_185_000039	贈太子少保，謚恭靖。
HCH_012_185_000040	敏生平篤行誼，所得祿賜悉以分昆弟、故人。
HCH_012_185_000041	裏居時，築室紫雲山麓，聚書數千卷，與學者講習。
HCH_012_185_000042	及巡撫大同，疏籍之於官，詔賜名紫雲書院。
HCH_012_185_000043	大同孔廟無雅樂，以敏奏得頒給如制雲。
HCH_012_185_000044	葉淇，字本清，山陽人。
HCH_012_185_000045	景泰五年進士。
HCH_012_185_000046	授御史。
HCH_012_185_000047	天順初，石亨譖之下吏，考訊無驗，出為武陟知縣。
HCH_012_185_000048	成化中累官大同巡撫。
HCH_012_185_000049	孝宗立，召為戶部侍郎。
HCH_012_185_000050	弘治四年代李敏為尚書，尋加太子少保。
HCH_012_185_000051	哈密為土魯番所陷，守臣請給其遺民廩食，處之內地，淇曰：「是自貽禍也。」
HCH_012_185_000052	寢其奏。
HCH_012_185_000053	奸民獻大名地為皇莊，淇議歸之有司。
HCH_012_185_000054	內官龍綬請開銀礦，淇不可。
HCH_012_185_000055	帝從之。
HCH_012_185_000056	已，綬請長蘆鹽二萬引，鬻於兩淮以供織造費。
HCH_012_185_000057	淇力爭，竟不納。
HCH_012_185_000058	淇居戶部六年，直亮有執，能為國家惜財用。
HCH_012_185_000059	每廷議用兵，輒持不可。
HCH_012_185_000060	惟變開中之制，令淮商以銀代粟，鹽課驟增至百萬，悉輸之運司，邊儲由此蕭然矣。
HCH_012_185_000061	九年四月乞休，歸卒。
HCH_012_185_000062	贈太子太保。
HCH_012_185_000063	從子贄，進士，歷官刑部右侍郎，以清操聞。
HCH_012_185_000064	賈俊，字廷傑，束鹿人。
HCH_012_185_000065	以鄉舉入國學。
HCH_012_185_000066	天順中，選授御史。
HCH_012_185_000067	歷巡浙江、山西、陜西、河南、南畿，所至有聲。
HCH_012_185_000068	成化十三年，自山東副使超拜右僉都御史，巡撫寧夏。
HCH_012_185_000069	在鎮七年，軍民樂業，召為工部右侍郎。
HCH_012_185_000070	二十一年奉敕振饑河南。
HCH_012_185_000071	尋轉左，數月拜尚書。
HCH_012_185_000072	時專重進士，舉人無至六卿者，俊獨以重望得之。
HCH_012_185_000073	及孝宗踐阼，尚書王恕、李敏、周洪謨、余子俊、何喬新，都御史馬文升，皆一時民譽，俊參其間，亦稱職。
HCH_012_185_000074	諸王府第、塋墓悉官予直，而儀仗時繕修。
HCH_012_185_000075	內官監欲頻興大工，俊言王府既有祿米、莊田，請給半直；儀仗非甚敝，不得煩有司；公家所宜營，惟倉庫、城池，餘皆停罷。
HCH_012_185_000076	帝報可。
HCH_012_185_000077	弘治四年，中官奏修沙河橋，請發京軍二萬五千及長陵五衛軍助役。
HCH_012_185_000078	內府寶鈔司乞增工匠。
HCH_012_185_000079	浙江及蘇、松諸府方罹水災而織造錦綺至數萬匹。
HCH_012_185_000080	俊皆執奏，並得寢。
HCH_012_185_000081	工部政務與內府監局相表裏，而內官監專董工役，職尤相關。
HCH_012_185_000082	俊不為所撓，工役大省。
HCH_012_185_000083	太廟後殿成，加太子少保。
HCH_012_185_000084	足疾，致仕。
HCH_012_185_000085	詔許乘傳歸，給夫廩如制。
HCH_012_185_000086	逾年卒。
HCH_012_185_000087	俊廉慎，居工部八年，望孚朝野。
HCH_012_185_000088	代之者劉璋，字廷信，延平人。
HCH_012_185_000089	天順初進士。
HCH_012_185_000090	歷官中外有聲。
HCH_012_185_000091	居工部，亦數有爭執，名亞於俊。
HCH_012_185_000092	黃紱，字用章，其先封丘人。
HCH_012_185_000093	曾祖徙平越，遂家焉。
HCH_012_185_000094	紱登正統十三年進士，除行人，歷南京刑部郎中。
HCH_012_185_000095	剛廉，人目之曰「硬黃」。
HCH_012_185_000096	大猾譚千戶者，占民蘆場，莫敢問，紱奪還之民。
HCH_012_185_000097	成化九年，遷四川左參議。
HCH_012_185_000098	久之，進左參政。
HCH_012_185_000099	按部崇慶，旋風起輿前，不得行。
HCH_012_185_000100	紱曰：「此必有冤，吾當為理。」
HCH_012_185_000101	風遂散。
HCH_012_185_000102	至州，禱城隍神，夢若有言州西寺者。
HCH_012_185_000103	寺去州四十里，倚山為巢，後臨巨塘。
HCH_012_185_000104	僧夜殺人沈之塘下，分其資。
HCH_012_185_000105	且多藏婦女於窟中。
HCH_012_185_000106	紱發吏兵圍之，窮詰，得其狀，誅僧毀其寺。
HCH_012_185_000107	倉吏倚皇親乾沒官糧巨萬，紱追論如法，威行部中。
HCH_012_185_000108	歷四川、湖廣左、右布政使。
HCH_012_185_000109	奏閉建昌銀礦。
HCH_012_185_000110	兩京工興，湖廣當輸銀二萬，例征之民，紱以庫羨充之。
HCH_012_185_000111	荊王奏徙先壟，紱恐為民擾，執不可。
HCH_012_185_000112	二十二年，擢右副都御史，巡撫延綏。
HCH_012_185_000113	劾參將郭鏞，都指揮鄭印、李鐸、王琮等抵罪，計捕奸豪張綱。
HCH_012_185_000114	申軍令，增置墩堡，邊政一新。
HCH_012_185_000115	出見士卒妻衣不蔽體，嘆曰：「健兒家貧至是，何面目臨其上。」
HCH_012_185_000116	亟豫給三月餉，親為拊循。
HCH_012_185_000117	會有詔毀庵寺，紱因盡汰諸尼，以給壯士無妻者。
HCH_012_185_000118	及紱去，多攜子女拜送於道。
HCH_012_185_000119	弘治三年，拜南京戶部尚書。
HCH_012_185_000120	言官以紱進頗驟，頻有言。
HCH_012_185_000121	帝不聽，就改左都御史，焚差歷簿於庭曰：「事貴得人耳，資勞久近，豈立官意哉。」
HCH_012_185_000122	紱歷官四十餘年，性卞急，不能容物。
HCH_012_185_000123	然操履潔白，所至有建樹。
HCH_012_185_000124	六年乞休，未行卒。
HCH_012_185_000125	張悅，字時敏，松江華亭人。
HCH_012_185_000126	舉天順四年進士，授刑部主事，進員外郎。
HCH_012_185_000127	成化中出為江西僉事，改督浙江學校。
HCH_012_185_000128	力拒請托，校士不糊名，曰：「我取自信而已。」
HCH_012_185_000129	遷四川副使，進按察使。
HCH_012_185_000130	遭喪，服闋補湖廣。
HCH_012_185_000131	王府承奉張通縱恣，悅繩以法。
HCH_012_185_000132	及入覲，中官尚銘督東廠，眾競趨其門，悅獨不往。
HCH_012_185_000133	銘銜甚，伺察無所得。
HCH_012_185_000134	銘敗，召拜左僉都御史。
HCH_012_185_000135	孝宗立，遷工部右侍郎，轉吏部左侍郎。
HCH_012_185_000136	王恕為尚書，悅左右之，嘗兩攝選事。
HCH_012_185_000137	弘治六年夏，大旱，求言。
HCH_012_185_000138	陳遵舊章、恤小民、崇儉素、裁冗食、禁濫罰數事。
HCH_012_185_000139	又上修德、圖治二疏。
HCH_012_185_000140	並嘉納。
HCH_012_185_000141	俄遷南京右都御史，就改吏部尚書。
HCH_012_185_000142	九年復改兵部，參贊機務。
HCH_012_185_000143	以年至，累疏乞休。
HCH_012_185_000144	詔加太子少保，馳傳歸。
HCH_012_185_000145	卒贈太子太保，謚莊簡。
HCH_012_185_000146	時與悅同里而先為南京兵部尚書者張鎣，字廷器，正統十三年進士。
HCH_012_185_000147	景泰初，擢御史。
HCH_012_185_000148	歷江西副使按察使、陜西左布政使。
HCH_012_185_000149	成化三年以右副都御史巡撫寧夏。
HCH_012_185_000150	寧夏城，土築，鎣始甃以磚。
HCH_012_185_000151	道河流，溉靈州屯田七百餘頃。
HCH_012_185_000152	以父喪去。
HCH_012_185_000153	服除，起撫河間諸府，改大同，歷刑部左、右侍郎。
HCH_012_185_000154	十八年擢本部尚書。
HCH_012_185_000155	明年加太子少保。
HCH_012_185_000156	又明年，再以憂歸。
HCH_012_185_000157	弘治元年起南京兵部尚書，卒官，贈太子太保，謚莊懿。
HCH_012_185_000158	似鐘，字大器，鄆城人。
HCH_012_185_000159	成化二年進士。
HCH_012_185_000160	授御史，巡鹽兩淮。
HCH_012_185_000161	按浙江還，掌諸道章奏。
HCH_012_185_000162	汪直諷鐘劾馬文升，鐘不可，被譖杖闕下。
HCH_012_185_000163	以都御史王越薦，擢大理寺丞，再遷右少卿。
HCH_012_185_000164	寇入大同，廷議遣大臣巡視保定諸府，乃以命鐘。
HCH_012_185_000165	居數月，即擢右副都御史巡撫其地。
HCH_012_185_000166	河間瀕海民地為勢家所據，鐘奪還之。
HCH_012_185_000167	召為刑部右侍郎。
HCH_012_185_000168	丁內艱，僦運艘載母柩南還。
HCH_012_185_000169	督漕總兵官王信奏之，逮下吏。
HCH_012_185_000170	會當路方逐尹旻黨，而鐘與旻為同鄉，乃貶二秩為曲靖知府，改徽州，復入為大理寺左少卿。
HCH_012_185_000171	弘治三年，以右副都御史巡撫蘇、松諸府，盡心荒政。
HCH_012_185_000172	召為戶部侍郎總督倉場，尋改吏部。
HCH_012_185_000173	十一年遷右都御史。
HCH_012_185_000174	居二年，進戶部尚書。
HCH_012_185_000175	十五年，上天下會計之數，言：「常入之賦，以蠲免漸減，常出之費，以請乞漸增，入不足當出。正統以前軍國費省，小民輸正賦而已。自景泰至今，用度日廣，額外科率。河南、山東邊餉，浙江、雲南、廣東雜辦，皆昔所無。民已重困，無可復增。往時四方豐登，邊境無調發，州縣無流移。今太倉無儲，內府殫絀，而冗食冗費日加於前。願陛下惕然省憂，力加損節。且敕廷臣共求所以足用之術。」
HCH_012_185_000176	帝乃下廷臣議。
HCH_012_185_000177	議上十二事，其罷傳奉冗官，汰內府濫收軍匠，清騰驤四衛勇士，停寺觀齋醮，省內侍、畫工、番僧供應，禁王府及織造濫乞鹽引，令有司征莊田租，皆權幸所不便者。
HCH_012_185_000178	疏留數月不下，鐘乃復言之。
HCH_012_185_000179	他皆報可，而事關權幸者終格不行。
HCH_012_185_000180	奸商投外戚張鶴齡，乞以長蘆舊引十七萬免追鹽課，每引納銀五分，別用價買各場余鹽如其數，聽鬻販，帝許之。
HCH_012_185_000181	後奸民援例乞兩淮舊引至百六十萬，鐘等力持，皆不聽。
HCH_012_185_000182	自此鹽法大壞，奸人橫行江湖，官司無如何矣。
HCH_012_185_000183	東廠偵事者發鐘子瑞受金事，鐘屢疏乞休，命馳驛歸。
HCH_012_185_000184	正德時，劉瑾摭鐘在部時事，至罰米者三。
HCH_012_185_000185	又數年卒。
HCH_012_185_000186	曾鑒，字克明，其先桂陽人，以戍籍居京師。
HCH_012_185_000187	天順八年進士。
HCH_012_185_000188	授刑部主事。
HCH_012_185_000189	通州民十餘人坐為盜，獄已具，鑒辨其誣。
HCH_012_185_000190	已，果獲真盜。
HCH_012_185_000191	成化末，歷右通政，累遷工部左侍郎。
HCH_012_185_000192	弘治十三年進尚書。
HCH_012_185_000193	孝宗在位久，海內樂業，內府供奉漸廣，司設監請改造龍毯、素毯一百有奇。
HCH_012_185_000194	鑒等言：「毯雖一物，然征毛毳於山、陜，采綿紗諸料於河南，召工匠於蘇、松，經累歲，勞費百端。祈賜停止。」
HCH_012_185_000195	不聽。
HCH_012_185_000196	內府針工局乞收幼匠千人，鑒等言：「往年尚衣監收匠千人，而兵仗局效之，收至二千人。軍器局、司設監又效之，各收千人。弊源一開，其流無已。」
HCH_012_185_000197	於是命減其半。
HCH_012_185_000198	太監李興請辦元夕煙火，有詔裁省，因鑒奏盡罷之。
HCH_012_185_000199	十六年，帝納諸大臣言召還織造中官，中官鄧容以請，帝又許之。
HCH_012_185_000200	鑒等極言，乃命減三之一。
HCH_012_185_000201	其冬，言諸省方用兵，且水旱多盜賊，乞罷諸營繕及明年煙火、龍虎山上清宮工作。
HCH_012_185_000202	帝皆報從。
HCH_012_185_000203	正德元年，雷震南京報恩寺塔，守備中官傅容請修之。
HCH_012_185_000204	鑒言天心示儆，不宜重興土木以勞民力，乃止。
HCH_012_185_000205	禦馬監太監陳貴奏遷馬房，欽天監官倪謙覆視，請從之。
HCH_012_185_000206	給事中陶諧等劾貴假公營私，並劾謙阿附，不聽。
HCH_012_185_000207	鑒執奏，謂馬房皆由欽天監相視營造，其後任意增置者，宜令拆毀改正，葺以己資，庶牧養無妨而民不勞。
HCH_012_185_000208	報可。
HCH_012_185_000209	內織染局請開蘇、杭諸府織造，上供錦綺為數二萬四千有奇。
HCH_012_185_000210	鑒力請停罷，得減三分之半。
HCH_012_185_000211	太監許鏞等各賫敕於浙江諸處抽運木植，亦以鑒言得寢。
HCH_012_185_000212	孝宗末，閣部大臣皆極一時選，鑒亦持正。
HCH_012_185_000213	及與韓文等請誅宦官不勝，諸大臣留者率巽順避禍，鑒獨守故操。
HCH_012_185_000214	有詔賜皇親夏儒第，帝嫌其隘，欲拓之。
HCH_012_185_000215	鑒力爭，不從。
HCH_012_185_000216	明年春，中官黃準守備鳳陽，從其請，賜旗牌。
HCH_012_185_000217	鑒等言大將出征及諸邊守將，乃有旗牌，內地守備無故事，乃寢。
HCH_012_185_000218	其年閏正月致仕。
HCH_012_185_000219	旋卒。
HCH_012_185_000220	贈太子太保。
HCH_012_185_000221	梁璟，字廷美，崞縣人。
HCH_012_185_000222	天順八年進士。
HCH_012_185_000223	授兵科給事中。
HCH_012_185_000224	成化時，屢遷都給事中。
HCH_012_185_000225	項忠征荊、襄，驅流民復業。
HCH_012_185_000226	璟劾其縱兵逼迫，較賊更慘，語具《忠傳》。
HCH_012_185_000227	延綏用兵，令山西預征芻粟，民相率逃亡。
HCH_012_185_000228	璟疏陳其困，得寬減。
HCH_012_185_000229	畿輔八府舊止設巡撫一人，駐薊州以禦邊，不能兼顧。
HCH_012_185_000230	璟請順天、永平二府分設一巡撫，以薊州邊務屬之，令巡撫陳濂專撫保定六府兼督紫荊諸關。
HCH_012_185_000231	朝議從之，遂為定制。
HCH_012_185_000232	已，與同官韓文、王詔等奏請起致仕尚書王竑、李秉，而斥都御史王越，並及宮闈隱事，被撻文華殿。
HCH_012_185_000233	武靖伯趙輔西征不敢戰，稱病求還，復謀典營府事。
HCH_012_185_000234	璟等極論其罪，乃令養疾歸。
HCH_012_185_000235	九載秩滿，擢陜西左參政，分守洮、岷。
HCH_012_185_000236	西番入寇，督兵斬其魁。
HCH_012_185_000237	內艱服闋，還原任，歷左、右布政使。
HCH_012_185_000238	先後在陜十五年，多政績。
HCH_012_185_000239	孝宗嗣位，遷右副都御史，巡撫湖廣。
HCH_012_185_000240	弘治二年，民饑，請免征兩京漕糧八十九萬餘石，從之。
HCH_012_185_000241	帝登極詔書已罷四方額外貢獻，而提督武當山中官復貢黃精、梅筍、茶芽諸物。
HCH_012_185_000242	武當道士先止四百，至是倍之，所度道童更倍，鹹衣食於官。
HCH_012_185_000243	月給油蠟、香楮，灑掃夫役以千計。
HCH_012_185_000244	中官陳喜又攜道士三十餘人，各領護持敕，所至張威虐。
HCH_012_185_000245	璟皆奏請停免，多見采納。
HCH_012_185_000246	外艱服除，再撫四川。
HCH_012_185_000247	七年召拜南京吏部右侍郎。
HCH_012_185_000248	久之，就進戶部尚書。
HCH_012_185_000249	致仕歸，卒。
HCH_012_185_000250	王詔，字文振，趙人。
HCH_012_185_000251	生有異姿，學士曹鼐奇之，妻以女。
HCH_012_185_000252	天順末，登進士，授工科給事中。
HCH_012_185_000253	睿皇后崩，值秋享太廟，時議謂不當以卑廢尊。
HCH_012_185_000254	詔言《禮》有喪不祭，無已，則移日俟釋服。
HCH_012_185_000255	議雖不行，識者是焉。
HCH_012_185_000256	勘牧馬草場，劾會昌侯孫繼宗、撫寧侯朱永侵占罪。
HCH_012_185_000257	時方面官缺，令京卿三品保舉。
HCH_012_185_000258	詔言恐長奔競風，不聽。
HCH_012_185_000259	累遷都給事中。
HCH_012_185_000260	八年七月敕修隆善寺工竣，授工匠三十人官尚寶少卿，任道遜等以書碑皆進秩。
HCH_012_185_000261	詔上疏力諫，不省。
HCH_012_185_000262	已，偕梁璟等論及宮闈事，帝大怒，召至文華殿面詰之，詔仰呼曰：「臣等言雖不當，然區區犬馬之誠，知為國而已。」
HCH_012_185_000263	乃杖而釋之。
HCH_012_185_000264	出為湖廣右參政。
HCH_012_185_000265	原傑經略荊、襄，詔襄理功為多。
HCH_012_185_000266	以父憂去。
HCH_012_185_000267	服除再任，遷右布政使。
HCH_012_185_000268	弘治元年，轉貴州左布政使。
HCH_012_185_000269	其冬，以右副都御史巡撫雲南。
HCH_012_185_000270	土官好爭襲，所司入其賄，變亂曲直，生邊患。
HCH_012_185_000271	詔不通苞苴，一斷以法，且去弊政之不便者。
HCH_012_185_000272	諸夷歸命，邊僥寧戢。
HCH_012_185_000273	有故官不能歸者，妻子多鬻為奴。
HCH_012_185_000274	詔為資遣，得歸者甚眾。
HCH_012_185_000275	洪武中，尚書吳雲繼王祎死事，後祎謚忠文，歲祀之，而不及雲。
HCH_012_185_000276	詔以為請，乃謚雲忠節，與祎並祀。
HCH_012_185_000277	四年召拜南京兵部右侍郎，未上，卒。
HCH_012_185_000278	徐恪，字公肅，常熟人。
HCH_012_185_000279	成化二年進士。
HCH_012_185_000280	授工科給事中。
HCH_012_185_000281	中官欲出領抽分廠，恪等疏爭。
HCH_012_185_000282	中官怒，請即遣恪等，將摭其罪，無所得乃已。
HCH_012_185_000283	出為湖廣左參議，遷河南右參政。
HCH_012_185_000284	陜西饑，當轉粟數萬石。
HCH_012_185_000285	恪以道遠請輸直，上下稱便。
HCH_012_185_000286	弘治初，歷遷左、右布政使。
HCH_012_185_000287	徽王府承奉司違制置吏，恪革之。
HCH_012_185_000288	王奏恪侵侮，帝賜書誡王。
HCH_012_185_000289	河徙逼開封，有議遷藩府三司於許州者，恪言非便，遂寢。
HCH_012_185_000290	四年拜右副都御史，巡撫其地。
HCH_012_185_000291	奏言：「秦項梁、唐龐勛、元方谷珍輩往往起東南。今東南民力已竭，加水旱洊臻，去冬彗掃天津，直吳、越地。乞召還織造內臣，敕撫按諸臣加意拊循，以弭異變。」
HCH_012_185_000292	帝不從。
HCH_012_185_000293	故事，王府有大喪，遣中官致祭，所過擾民。
HCH_012_185_000294	成化末，始就遣王府承奉。
HCH_012_185_000295	及帝即位，又復之。
HCH_012_185_000296	恪請如先帝制，並條上汰冗官、清賦稅、禁科擾、定贖例、革抽分數事，多議行。
HCH_012_185_000297	戶部督逋急，恪以災變請緩其事。
HCH_012_185_000298	御史李興請於鄖陽別設三司，割南陽、荊州、襄陽、漢中、保寧、夔州隸之。
HCH_012_185_000299	恪陳五不可，乃止。
HCH_012_185_000300	恪素剛正。
HCH_012_185_000301	所至，抑豪右，祛奸弊。
HCH_012_185_000302	及為巡撫，以所部多王府，持法尤嚴，宗人多不悅。
HCH_012_185_000303	平樂、義寧二王遂訐恪減祿米、改校尉諸事。
HCH_012_185_000304	勘無驗，坐恪入王府誤行端禮門，欲以平二王忿。
HCH_012_185_000305	帝知恪無他，而以二王幼，降敕切責，命湖廣巡撫韓文與恪易任。
HCH_012_185_000306	吏民罷市，泣送數十里不絕。
HCH_012_185_000307	屬吏以羨金贐，揮之去。
HCH_012_185_000308	至則值岐王之國，中使攜鹽數百艘，抑賣於民，為恪所持阻不行。
HCH_012_185_000309	其黨密構於帝。
HCH_012_185_000310	居一歲，中旨改南京工部右侍郎。
HCH_012_185_000311	恪上疏曰：「大臣進用，宜出廷推，未聞有傳奉得者。臣生平不敢由他途進，請賜罷黜。」
HCH_012_185_000312	帝慰留，乃拜命。
HCH_012_185_000313	勢要家濫索工匠者，悉執不予。
HCH_012_185_000314	十一年考績入都，得疾，遂致仕，卒。
HCH_012_185_000315	李介，字守貞，高密人。
HCH_012_185_000316	成化五年進士。
HCH_012_185_000317	選庶吉士，改御史，巡鹽兩浙，還掌河南道事。
HCH_012_185_000318	以四方災傷，陳時政數事，帝多采用之。
HCH_012_185_000319	介敢言，遇事不可，輒率同列論奏。
HCH_012_185_000320	忤帝意，兩撻於庭。
HCH_012_185_000321	九載滿，擢大理丞，進少卿。
HCH_012_185_000322	弘治改元，遷右僉都御史，巡撫宣府。
HCH_012_185_000323	尋召佐院事。
HCH_012_185_000324	歷兵部左、右侍郎。
HCH_012_185_000325	十年夏，北寇謀犯大同，命介兼左僉都御史，往督軍餉，且經略之。
HCH_012_185_000326	比至，寇已退，乃大修戎備。
HCH_012_185_000327	察核官田牛具錢還之軍，以其資償軍所逋馬價，邊人感悅。
HCH_012_185_000328	先後條上便宜二十事。
HCH_012_185_000329	卒，贈尚書。
HCH_012_185_000330	子昆，字承裕。
HCH_012_185_000331	弘治初進士。
HCH_012_185_000332	歷禮部主事。
HCH_012_185_000333	中官何鼎建言下獄，臺諫救之，鹹被責。
HCH_012_185_000334	昆復論救，弗聽。
HCH_012_185_000335	父憂歸，起改兵部主事。
HCH_012_185_000336	帝將建延壽塔於城外，昆復疏諫。
HCH_012_185_000337	正德初，群小用事。
HCH_012_185_000338	請黜邪枉，進忠直，杜宦戚請乞，節中外侈費，皆不報。
HCH_012_185_000339	進員外郎，忤尚書劉宇，貶知解州。
HCH_012_185_000340	屢遷陜西左布政使。
HCH_012_185_000341	十年以右副都御史巡撫甘肅。
HCH_012_185_000342	與總督彭澤經略哈密，兵部尚書王瓊劾澤處置失宜，語連昆，下吏。
HCH_012_185_000343	法司言昆設謀遏強寇，功不可掩。
HCH_012_185_000344	瓊不從，謫浙江副使。
HCH_012_185_000345	世宗立，瓊得罪。
HCH_012_185_000346	復官，巡撫順天。
HCH_012_185_000347	尋召為兵部右侍郎，嘉靖初，改左。
HCH_012_185_000348	大同軍亂，殺巡撫張文錦。
HCH_012_185_000349	昆奉命往撫，承制曲赦之，還請收恤文錦。
HCH_012_185_000350	帝方惡其激變，不從。
HCH_012_185_000351	遇疾歸，久之卒。
HCH_012_185_000352	黃珂，字鳴玉，遂寧人。
HCH_012_185_000353	成化二十年進士。
HCH_012_185_000354	授龍陽知縣。
HCH_012_185_000355	治行聞，擢御史，出按貴州。
HCH_012_185_000356	金達長官何輪謀不軌，計擒之，改設流官。
HCH_012_185_000357	賊婦米魯亂，奏劾巡撫錢鉞、總兵官焦俊等，皆得罪。
HCH_012_185_000358	改按畿輔，歷山西按察使。
HCH_012_185_000359	正德四年，擢右僉都御史巡撫延綏。
HCH_012_185_000360	安化王寘鐇反，傳檄四方，用討劉瑾為名。
HCH_012_185_000361	他鎮畏瑾，不敢以聞。
HCH_012_185_000362	珂封上其檄，因陳便宜八事，而急令副總兵侯勛、參將時源分兵扼河東，賊遂不敢出。
HCH_012_185_000363	亦不剌寇邊，珂偕總兵官馬昂督軍戰，敗之木瓜山。
HCH_012_185_000364	六年復寇邊，珂檄副總兵王勛等七將分據要害夾擊，復敗之。
HCH_012_185_000365	屢賜璽書，銀幣。
HCH_012_185_000366	是年秋，入為戶部右侍郎，總督倉場。
HCH_012_185_000367	河南用兵，出理軍餉。
HCH_012_185_000368	主客兵十餘萬，追奔轉戰，遷止無常。
HCH_012_185_000369	珂隨方轉輸，軍興無乏，錄功增俸一級。
HCH_012_185_000370	改刑部，進左侍郎，已改佐兵部。
HCH_012_185_000371	寧王宸濠謀復護衛，珂執議獨堅。
HCH_012_185_000372	九年擢南京右都御史，尋就拜工部尚書。
HCH_012_185_000373	以年至乞休歸，卒。
HCH_012_185_000374	贈太子少保，謚簡肅。
HCH_012_185_000375	王鴻儒，字懋學，南陽人。
HCH_012_185_000376	少工書，家貧為府書佐。
HCH_012_185_000377	知府段堅愛其書，留署中，親教之。
HCH_012_185_000378	遣入學校為諸生，遂舉鄉試第一。
HCH_012_185_000379	成化末，登進士，授南京戶部主事。
HCH_012_185_000380	累遷郎中，擢山西僉事，進副使，俱督學政。
HCH_012_185_000381	居九年，士風甚盛。
HCH_012_185_000382	孝宗嘗語劉大夏曰：「藩臬中若王鴻儒，他日可大用也。」
HCH_012_185_000383	正德改元，謝病歸。
HCH_012_185_000384	劉瑾擅政，收召名流。
HCH_012_185_000385	四年夏，起為國子祭酒，以父喪去。
HCH_012_185_000386	再起南京戶部侍郎，歷吏部右侍郎，尋轉左。
HCH_012_185_000387	十四年遷南京戶部尚書。
HCH_012_185_000388	甫履任，宸濠反，命督軍餉，疽發於背，遂卒，謚文莊。
HCH_012_185_000389	鴻儒為學，務窮理致用，為世所推。
HCH_012_185_000390	左吏部，清正自持，門無私謁。
HCH_012_185_000391	弟鴻漸，鄉試亦第一。
HCH_012_185_000392	以進士累官山東右布政使，以廉靜稱。
HCH_012_185_000393	叢蘭，字廷秀，文登人。
HCH_012_185_000394	弘治三年進士。
HCH_012_185_000395	為戶科給事中。
HCH_012_185_000396	中官梁芳、陳喜、汪直、韋興，先以罪擯斥，復夤緣還京。
HCH_012_185_000397	蘭因清寧宮災，疏陳六事，極論芳等罪，諸人遂廢。
