HCH_013_011_000001	元順帝至正十五年春，徐壽輝將明玉珍據成都。
HCH_013_011_000076	上諭和等曰：「今天下大定，四海奠安，惟川蜀未平耳。朕以明玉珍嘗遣使修好，存事大之禮，憫明昇稚弱，不忍加兵，數遣賜開諭，冀其覺悟。昇乃惑于羣議，反以兵犯吾興元，不可不討。今命卿等率水陸大軍，分道並進，首尾攻之，使彼疲于奔命，勢當必克。但師行之際，在肅行伍，嚴紀律，以懷降附，無肆殺掠。昔王全斌之事，可以為戒，卿等慎之！」
HCH_013_011_000077	諸將陛辭，上復密諭傅友德曰：「蜀人聞吾西伐，必悉其精銳東守瞿塘，北阻金牛，以拒我師。彼謂地險，吾兵難至。若出其意外，直擣階、文，門戶既隳，腹心自潰。兵貴神速，但患卿等不勇耳。」
HCH_013_011_000078	友德頓首受命。
HCH_013_011_000079	仍命宋國公馮宗異往陝西修城池，衛國公鄧愈往襄陽訓練軍馬，運糧餉以給征蜀軍士。
HCH_013_011_000080	二月，江夏侯周德興、指揮胡海等進兵，取蜀之龍伏隘，進奪覃垕、溫陽關。
HCH_013_011_000081	中山侯湯和率師克歸州李逢春烽火山寨。
HCH_013_011_000082	分遣南雄侯趙庸、宣寧侯曹良臣帥兵取桑植容美洞，會周德興合攻茅岡、覃垕寨，克之。
HCH_013_011_000083	三月，平章楊璟進次瞿塘，不利。
HCH_013_011_000084	先是，蜀人自謂瞿塘天險，其平章莫仁壽守之，以鐵索橫斷關口。
HCH_013_011_000085	及聞王師臨境，又遣左丞戴壽、平章鄒興、副樞飛天張等益兵為固守計。
HCH_013_011_000086	壽等于鐵索外北倚羊角山，南倚南城寨，鑿兩岸壁，引纜為飛橋三，平以木板，置砲石木竿鐵銃其上，傍橋兩岸，復置砲以拒王師。
HCH_013_011_000087	至是，璟師次夔州大溪口，遣指揮韋權率兵出赤甲山，以逼夔州。
HCH_013_011_000088	指揮李某出白鹽山下，逼夔府南岸，以攻南城寨。
HCH_013_011_000089	璟與都督僉事王簡出大溪口，進攻瞿塘扼江之眾。
HCH_013_011_000090	璟戰不利，赤甲、白鹽之師亦退還歸州。
HCH_013_011_000091	潁川侯傅友德受命馳至陝，集諸道兵，揚言出金牛，而使人潛覘，知青州、果陽空虛，階、文雖有兵壘而守備單弱。
HCH_013_011_000092	于是引兵趨陳倉，選精銳五千為前鋒，攀援山谷，晝夜兼行，大軍繼之。
HCH_013_011_000093	夏四月丙戌，直抵階州。
HCH_013_011_000094	蜀守將平章丁世真率眾來拒，友德擊敗之，生擒其將雙刀王等十八人。
HCH_013_011_000095	世真遁去，遂克階州。
HCH_013_011_000096	進至文州，距城三十里，蜀人斷白龍江橋以阻我師。
HCH_013_011_000097	友德督兵修橋以渡，至五里關。
HCH_013_011_000098	蜀平章丁世真復集兵據險，都督同知汪興祖躍馬直前，中飛石死。
HCH_013_011_000099	友德怒，奮兵急擊，破之。
HCH_013_011_000100	世真僅以數騎遁去，遂拔文州。
HCH_013_011_000101	庚寅，上以湯和、傅友德等伐蜀三月，未得捷報，命永嘉侯朱亮祖為右副將軍，帥師助之。
HCH_013_011_000102	丁酉，傅友德下青州、果陽，留指揮潘忠守之，進兵徇江油、彰明二縣，下之，癸卯，遂趨綿州。
HCH_013_011_000103	友德選精銳鼓行而前，別遣都督僉事藍玉夜襲其壘。
HCH_013_011_000104	蜀守將向大亨軍驚擾達旦，友德麾兵乘之，俄大風起，諸軍乘風縱擊，蜀兵大敗，遂克綿州。
HCH_013_011_000105	龍驤衛指揮史鑑死之，大亨走保漢州。
HCH_013_011_000106	友德至漢州，阻水不得渡，乃命軍中造戰艦百餘艘。
HCH_013_011_000107	時蜀人雖失階、文，猶恃漢水自固，及聞我師造舟進取，乃益震恐。
HCH_013_011_000108	五月己卯，戰艦成。
HCH_013_011_000109	友德將進兵漢州，欲以軍事達湯和，而山川懸隔。
HCH_013_011_000110	適江水暴漲，乃以木牌數千，大書克階、文、綿州日月，投漢江順流而下，蜀守者見之，為之解體。
HCH_013_011_000111	初，蜀人命丞相戴壽、太尉吳友仁等悉眾守瞿塘，以扼三峽之險。
HCH_013_011_000112	及聞友德破階、文，擣江油，壽等乃與友仁分瞿塘守兵還援漢州，以保成都。
HCH_013_011_000113	未至，而友德舟師已逼漢州，向大亨悉兵陣于城下，友德選驍騎擊敗之。
HCH_013_011_000114	既而壽等兵至，友德下令諸將曰：「彼勞師遠來，聞向大亨新敗，必洶洶，可一戰克也。」
HCH_013_011_000115	乃親帥師迎擊壽等，大敗之。
HCH_013_011_000116	六月壬午，遂拔漢州，壽與大亨走成都，臨江侯陳德追擊，又敗之，獲其卒三千餘人，馬三百匹，友仁走古城。
HCH_013_011_000117	友德乃以濟寧侯顧時守漢州，自將擊古城，又大敗其眾，殺獲二千餘人，並擒宣慰胡孔彰等，獲馬騾五百餘匹。
HCH_013_011_000118	友仁自古城遁還保寧。
HCH_013_011_000119	時湯和兵發歸州，進攻瞿塘關，以江水暴漲，不得進，乃駐師大溪口，欲俟水稍平。
HCH_013_011_000120	上聞之，恐其逗遛緩事，而傅友德捷書適至，乃詔和曰：「傅將軍率精銳，冒險深入，克階、文及青州、果陽、白水江之地。兵既越險，次于平川，蜀人無險可恃，正當水陸並進，使彼首尾受敵，疲于奔命。平蜀之機，正在今日。朕前日所以語爾者，獨不記憶乎？何怯之甚也！」
HCH_013_011_000121	詔至，廖永忠遂率所部先進，和猶遲疑不決。
HCH_013_011_000122	會得友德木牌于江流，迺進兵，自白鹽山伐木開道，由紙牌坊溪趨夔州。
HCH_013_011_000123	永忠兵先至舊夔州，蜀平章鄒興、副樞飛天張等出兵拒戰。
HCH_013_011_000124	戊子，永忠分軍為前後陣，軍既交，出後軍兩翼夾擊之，興等大敗。
HCH_013_011_000125	明日，復併兵攻之，擒其元帥龔興，殺溺死者甚眾。
HCH_013_011_000126	辛卯，永忠進兵瞿塘關。
HCH_013_011_000127	永忠以山峻水急，而蜀人設鐵索飛橋，橫據關口，我舟不得上，乃密遣壯士數百人，舁小舟踰山度關，出其上流，人持糗糧帶水筒以禦饑渴。
HCH_013_011_000128	山多草木，令將士皆衣青蓑衣，魚貫山巖石間，蜀人不覺也。
HCH_013_011_000129	度已至，乃率精銳出黑葉渡，分為兩道。
HCH_013_011_000130	夜五鼓，以一軍攻其陸寨，一軍攻其水寨。
HCH_013_011_000131	攻水寨將士，皆以鐵裹船頭，置火器而前。
HCH_013_011_000132	黎明，蜀人盡銳來拒，永忠先破其陸寨。
HCH_013_011_000133	既而將士舁舟出江者，一時俱發上流，揚旗鼓譟而下，蜀人出不意，大駭，而下流之師亦擁舟急擊，發火砲火筒夾攻，大破之，鄒興中火箭死。
HCH_013_011_000134	遂焚其三橋，斷其橫江索，擒同僉蔣達等八十餘人，斬首千餘級，溺死者無算，飛天張、鐵頭張等皆遁去。
HCH_013_011_000135	永忠入夔州。
HCH_013_011_000136	明日，湯和兵始至，永忠乃與分道並進。
HCH_013_011_000137	和率步騎，永忠率舟師，約會于重慶。
HCH_013_011_000138	戊戌，蜀平章丁世真陷文州。
HCH_013_011_000139	先是，傅友德克文州，留指揮朱顯忠守之。
HCH_013_011_000140	世真合番寇數萬來攻，顯忠拒却之。
HCH_013_011_000141	其趙元帥復與世真合兵攻城，城中食且盡，外援不至，部下皆曰：「與其陷死地，孰若出城求生路乎？」
HCH_013_011_000142	顯忠厲聲曰：「為將守城，城存與存，城亡與亡，豈有求活將軍邪！」
HCH_013_011_000143	詰旦，世真攻益急，顯早出東門拒戰，而世真復攻西門。
HCH_013_011_000144	日且暮，顯忠被創，裹瘡決戰，力不支，城破，死之。
HCH_013_011_000145	千戶王均諒被執不屈，蜀人磔之于文州東門。
HCH_013_011_000146	初，顯忠領士卒七百人，及城破，僅百餘人。
HCH_013_011_000147	既而友德調兵來援，世真棄城走。
HCH_013_011_000148	事聞，恤顯忠、均諒家。
HCH_013_011_000149	夏守金州九龍山寨平章愈思忠率官屬軍民二千三百餘人，詣友德軍門降，獻良馬千匹。
HCH_013_011_000150	友德遣人送思忠至京，上命還其馬，賜第居京師。
HCH_013_011_000151	世真復率餘黨寇秦州，攻圍五十餘日，城中食盡，括牛畜以食軍。
HCH_013_011_000152	友德調兵來援，擊走之。
HCH_013_011_000153	世真逃竄山巖，自以拒敵官軍，殺傷者多，懼不敢出，夜宿梓潼廟中，為帳下小校所殺。
HCH_013_011_000154	及蜀平，小校赴京言狀，上曰：「小校殺本官，非義也。」
HCH_013_011_000155	不賞。
HCH_013_011_000156	廖永忠帥舟師自夔州乘勝抵重慶，沿江州縣望風奔附。
HCH_013_011_000157	次銅鑼峽，明昇與右丞劉仁等大懼。
HCH_013_011_000158	仁勸明昇奔成都，其母彭氏泣曰：「事勢如此，縱往成都，不過延命旦夕，何益！」
HCH_013_011_000159	仁曰：「然則奈何？」
HCH_013_011_000160	彭氏曰：「大軍入蜀，勢如破竹。今城中軍民雖數萬，皆膽破心怖，豈能效力？若毆之出戰，死傷必多，亦終不免也。不如早降，以免生靈于鋒鏑。」
HCH_013_011_000161	明昇遂遣使詣永忠軍，全城納款。
HCH_013_011_000162	永忠以湯和軍未至，辭不受。
HCH_013_011_000163	癸卯，湯和至重慶，會永忠以兵駐朝天門外。
HCH_013_011_000164	是日，明昇面縛銜璧，與母彭氏及其右丞劉仁等奉表詣軍門。
HCH_013_011_000165	和受璧，永忠解縛，承制撫慰。
HCH_013_011_000166	下令將士不得侵掠，撫諭戴壽、向大亨等家，令其子弟持書往成都招諭。
HCH_013_011_000167	遣指揮萬德送明昇等並降表于京師。
HCH_013_011_000168	朱亮祖兵亦至。
HCH_013_011_000169	秋七月，傅友德兵圍成都，戴壽、向大亨等出戰，以象載甲士列于陣前。
HCH_013_011_000170	友德命前鋒以火器衝之，象却走，壽兵躪藉死者甚眾。
HCH_013_011_000171	會湯和遣人報重慶之捷，壽等亦得家書，聞重慶已降，而室家皆完，乃籍府庫倉廩，遣其子詣軍門納款，友德許之。
HCH_013_011_000172	翼日庚申，壽率其屬降，友德整眾自東門入，得士馬三萬。
HCH_013_011_000173	分兵會朱亮祖，徇州縣之未附者。
HCH_013_011_000174	壬戌，崇慶知州尹善清拒戰，擊敗，斬之，判官王桂華率父老降。
HCH_013_011_000175	壽、大亨既降，至夔峽，皆鑿舟自沈死。
HCH_013_011_000176	八月，上遣使諭湯和等曰：「為將貴審機而重料敵。今全蜀已下，惟吳友仁尚據保寧，偷旦夕之命，乘機而取之，此破竹之勢，無不克者。將軍徘徊不進何也？吾付將軍以大任，而臨事往往逗撓如此，何以總軍政寄國事乎！」
HCH_013_011_000177	和聞詔，遣周德興會傅友德克其城，執友仁送京師，誅之，蜀地悉平。
HCH_013_011_000178	明昇至京師，廷臣上言：「宋乾德間孟昶降，有叩頭伏罪禮。」
HCH_013_011_000179	上曰：「昶奢淫自恣。昇幼，孽自臣下，可免其伏地禮。」
HCH_013_011_000180	封昇為歸義侯，居第京師。
HCH_013_011_000181	已而，投昇于高麗。
HCH_013_011_000182	命曹國公李文忠經理四川，文忠以成都舊城卑隘，增築新城，高壘深池，規制略備。
HCH_013_011_000183	時傅友德駐兵保寧，湯和駐兵重慶，各遣人招輯番、漢人民及明氏潰亡士卒來歸者，因籍其壯丁。
HCH_013_011_000184	丙子，置成都右、中、前、後四衛分隸之。
HCH_013_011_000185	復置保寧守禦千戶所，調濠、梁等衛官軍守之。
HCH_013_011_000186	十二月辛卯，賞平蜀將士，傅友德、廖永忠各白金二百五十兩，彩緞二十表。
HCH_013_011_000187	滎陽侯楊璟、南雄侯趙庸、永嘉侯朱亮祖不與賞。
HCH_013_011_000188	上親製《平西蜀文》，紀傅、廖二將之功。
