HCH_012_318_000001	太平，漢屬交阯，號麗江。
HCH_012_318_000063	結安州，舊名營周，亦西原、農峒地。
HCH_012_318_000064	宋置結安峒，隸太平寨。
HCH_012_318_000065	元改州，屬太平路。
HCH_012_318_000066	洪武元年，土官張仕榮歸附，授世襲知州，設流官吏目佐之。
HCH_012_318_000067	龍英州，舊名英山，宋為峒。
HCH_012_318_000068	元改州，屬太平路。
HCH_012_318_000069	洪武元年，土官李世賢歸附，授世襲知州，割上懷地益其境，設流官吏目佐之。
HCH_012_318_000070	結倫州，舊名邦兜，亦西原、農峒地。
HCH_012_318_000071	宋置結安峒，隸太平寨。
HCH_012_318_000072	元改州，屬太平路。
HCH_012_318_000073	洪武二年，峒長馮萬傑歸附，授世襲知州，設流官吏目佐之。
HCH_012_318_000074	都結州，元屬太平路，土官農姓。
HCH_012_318_000075	洪武初內附，授世襲知州，設流官吏目佐之。
HCH_012_318_000076	上、下凍州，舊名凍江。
HCH_012_318_000077	宋置凍州。
HCH_012_318_000078	元分上、下凍二州，尋合為一，屬龍州萬戶府。
HCH_012_318_000079	洪武元年，土官趙貼從歸附，授世襲知州，設流官吏目佐之，屬太平府。
HCH_012_318_000080	貼從死，子福瑀襲。
HCH_012_318_000081	永樂四年從征交阯，死於軍。
HCH_012_318_000082	思城州，亦西原、農峒地，唐置州。
HCH_012_318_000083	宋分為上、下思城二州，隸太平寨。
HCH_012_318_000084	元至正間，並為一，屬太平路。
HCH_012_318_000085	洪武元年，土官趙雄傑歸附，授世襲知州，設流官吏目佐之。
HCH_012_318_000086	永康州，宋置縣，隸遷隆寨。
HCH_012_318_000087	元隸太平路，土官楊姓。
HCH_012_318_000088	成化八年，其裔孫楊雄傑糾合峒賊二千餘人，入宣化縣劫掠，且偽署官職。
HCH_012_318_000089	總兵官趙輔捕誅之，因改流官。
HCH_012_318_000090	萬歷二十八年升為州。
HCH_012_318_000091	左州，舊名左陽，唐置，隸邕州。
HCH_012_318_000092	宋隸古萬寨。
HCH_012_318_000093	元屬太平路。
HCH_012_318_000094	洪武初，土官黃勝爵歸附，授世襲知州。
HCH_012_318_000095	再傳，子孫爭襲，相仇殺。
HCH_012_318_000096	成化十三年改流官。
HCH_012_318_000097	羅陽縣，舊名福利，陀陵縣，舊名駱陀，皆宋置。
HCH_012_318_000098	元隸太平。
HCH_012_318_000099	洪武初，土官黃宣、黃富歸附，並授世襲知縣，設流官典史佐之。
HCH_012_318_000100	思明，唐置州，隸邕州。
HCH_012_318_000101	宋隸太平寨。
HCH_012_318_000102	元改思明路。
HCH_012_318_000103	洪武初，改為府。
HCH_012_318_000104	二年，土官黃忽都遣使貢馬及方物。
HCH_012_318_000105	詔以忽都為思明府知府，世襲。
HCH_012_318_000106	十五年，忽都復遣其弟祿政奉表來貢，詔賜鈔錠。
HCH_012_318_000107	二十三年，忽都子黃廣平遣思州知州黃誌銘率屬部，偕十五州土官李圓泰等來朝。
HCH_012_318_000108	明年，廣平以服闋，遣知州黃忠奉表貢馬及方物。
HCH_012_318_000109	詔廣平襲職，賜冠帶襲衣，及文綺十匹、鈔百錠。
HCH_012_318_000110	二十五年，憑祥洞巡檢高祥奏，思明州知州門三貴謀殺思明府知府黃廣平，廣平覺而殺之，乃以病死聞於朝，所言不實。
HCH_012_318_000111	詔逮廣平鞫之。
HCH_012_318_000112	既至，帝謂刑部曰：「蠻寇相殺，性習固然，獨廣平不以實言，故繩以法。今姑宥之，使其改過。」
HCH_012_318_000113	命給道里費遣還，是後朝貢如例。
HCH_012_318_000114	二十九年，土官黃廣成遣使入貢，因奏言：「本府自故元改思明路軍民總管所，轄左江一路州縣峒寨，東至上思州，南至銅柱。元兵征交阯，去銅柱百里，設永平寨軍民萬戶府，置兵戍守，命交人供其軍餉。元季擾亂，交人以兵攻破永平寨，遂越銅柱二百餘裏，侵奪思明屬地丘溫、如嶅、慶遠、淵、脫等五縣，逼民附之，以是五縣歲賦皆土官代輸。前者本府失理於朝，遂致交人侵迫益甚。及告禮部，任尚書立站於洞登，洞登實思明地，而交阯乃稱屬銅柱界。臣嘗具奏，蒙朝廷遣刑部尚書楊靖核其事，《建武志》尚可考。乞敕安南，俾還舊封，庶疆域復正，歲賦不虛。」
HCH_012_318_000115	帝令戶部錄所奏，遣行人陳誠、呂讓往諭安南。
HCH_012_318_000116	三十年，誠、讓至安南，諭其王陳日焜，令還思明地。
HCH_012_318_000117	議論往復，久而不決。
HCH_012_318_000118	以譯者言不達意，復為書曉之。
HCH_012_318_000119	安南終辯論不已，出黃金二錠、白金西錠及沈檀等香以賄，誠卻之。
HCH_012_318_000120	安南復咨戶部，無還地意。
HCH_012_318_000121	廷臣議其抗命當誅，帝曰：「蠻人怙頑不悛，終必取禍，姑待之。」
HCH_012_318_000122	永樂二年，憑祥巡檢李升言，其地瀕安南，百姓樂業，生齒日繁，請改為縣，以便撫輯，從之。
HCH_012_318_000123	以升為知縣，設流官典史一員。
HCH_012_318_000124	三年，升以新設縣治來朝，貢馬及方物謝恩。
HCH_012_318_000125	廣成奏安南侵奪其祿州、西平州永平寨地，請遣使諭還，從之。
HCH_012_318_000126	九年，免思明稅糧，以廣成言去秋雨水傷稼也。
HCH_012_318_000127	宣德元年，思明賀天壽節奉表逾期，禮部請罪之。
HCH_012_318_000128	帝以遠蠻既至，毋問。
HCH_012_318_000129	土官知府黃岡奏憑祥歲兇民饑，命發龍州官倉糧振之。
HCH_012_318_000130	正統七年，岡遺使入貢。
HCH_012_318_000131	九年，貢解毒藥味，賜鈔錦。
HCH_012_318_000132	景泰三年，岡致仕，以子鈞襲。
HCH_012_318_000133	岡庶兄都指揮矰欲殺鈞，代以己子。
HCH_012_318_000134	矰守備潯州，托言征兵思明府，令其子糾眾結營於府三十里外，馳至府，襲殺岡一家，支解岡及鈞，甕葬後圃，仍歸原寨。
HCH_012_318_000135	明日，乃入城，詐發哀，遣人報矰捕賊，以掩其跡。
HCH_012_318_000136	方殺岡時，岡仆福童得免，走憲司訴其事，且以征兵檄為證。
HCH_012_318_000137	郡人亦言殺岡一家者，矰父子也。
HCH_012_318_000138	副總兵武毅以聞，將逮治之。
HCH_012_318_000139	矰自度禍及，及謀迎合朝廷意，遣千戶袁洪奏永固國本事，請易儲。
HCH_012_318_000140	奏入，帝曰：「此天下國家重事，多官其會議以聞。」
HCH_012_318_000141	矰為此舉，眾皆驚愕，謂必有受其賂而教之者，或疑侍郎江淵雲。
HCH_012_318_000142	事成，矰得釋罪，且進秩。
HCH_012_318_000143	英宗復辟，矰聞自殺。
HCH_012_318_000144	帝命發棺戮其屍，其子震亦為都督韓雍捕誅。
HCH_012_318_000145	成化十八年，土知府黃道奏所轄思明州土官孫黃義為族人黃紹所殺，乞發兵捕剿。
HCH_012_318_000146	帝命兩廣守臣區處以聞。
HCH_012_318_000147	弘治十年，況村賊黃紹侵占思明、上石、下石三州，復謀殺知府黃道父子。
HCH_012_318_000148	道妻趙氏累訴於朝，且謂屢經委官勘問，俱被賂免，乞發兵誅之。
HCH_012_318_000149	十一年，紹集眾數千人焚劫鄉村，據三州，屢撫不下，總鎮請發兵捕剿。
HCH_012_318_000150	嘉靖四十一年，以剿平瑤、僮功，命土官知州男黃承祖暫襲本職。
HCH_012_318_000151	隆慶四年，忠州土官黃賢相等據南寧府屬四都地作亂，永康典史李材計誘其黨，縛賢相以降。
HCH_012_318_000152	萬歷十六年，思明州土官黃拱聖謀奪襲，殺其母兄拱極等五人。
HCH_012_318_000153	而思明知府黃承祖乘亂掠村寨，為之援。
HCH_012_318_000154	按臣請以拱聖及諸兇正法，思明州改屬流府，革承祖冠帶，立功自贖，而追其所掠；更令族人黃恩護拱極妻許氏撫遺孤世延，待其長官之。
HCH_012_318_000155	三十三年，總督戴耀奏：「思明叛目已擒，土官黃應雷縱仆起釁，棄印而逃，斷難復官。黃應宿爭地，殺戮六哨成仇，且系義子，不應襲職。黃應聘系承祖幼子，人心推戴，似應承襲知府，以存黃氏宗祀。但年甫七歲，暫令流官同知署府事，待至十五歲，交印接管。應雷既廢，不宜同城，應降為土舍，其後永襲土舍，給田養贍，制其出入。應宿仍管故業，俱屬思明府節制。於府治設教授一員，量給廩生六名，其寄附太平府者，悉歸本學，嗣後續增其祭祀廩餼之用，則地方可安，文教可興。」
HCH_012_318_000156	詔悉從之。
HCH_012_318_000157	崇禎十一年，總督張鏡心疏報土官殺職官思明州黃日章、黃德誌等，鼓眾叛逆。
HCH_012_318_000158	帝令速擒首惡以靖地方。
HCH_012_318_000159	論者以黃矰神奸，身逭大盩，世濟其兇，傳及四世，猶並思明州而有之，王綱隳矣。
HCH_012_318_000160	然骨肉相屠，至是四見，蓋天道雲。
HCH_012_318_000161	思明州，東抵思明府，西抵交阯界，南抵西平州，北抵龍英州。
HCH_012_318_000162	土官黃姓，與思明府同族。
HCH_012_318_000163	洪武初，黃君壽歸附，授世襲知州，屬思明府，後為黃矰所並。
HCH_012_318_000164	萬歷十六年，黃拱聖之亂，改屬太平。
HCH_012_318_000165	上石西州，宋屬永平寨，元屬思明路。
HCH_012_318_000166	明初屬思明府，至萬歷三十八年改屬太平府。
HCH_012_318_000167	州更土官趙氏、何氏、黃氏凡三姓，皆絕，始改流官。
HCH_012_318_000168	下石西州，宋分石西州置，元屬思明路。
HCH_012_318_000169	洪武二年，土官閉賢歸附。
HCH_012_318_000170	授世襲知州，設流官吏目佐之。
HCH_012_318_000171	忠州，宋置，隸邕州。
HCH_012_318_000172	元屬思明路。
HCH_012_318_000173	洪武初，土官黃威慶率子中謹歸附，授威慶江州知州，中謹忠州知州，皆世襲，設流官同知吏目佐之。
HCH_012_318_000174	其鄰地有四峒者，界於南寧、思明、忠江之間，思明、忠州屢肆侵奪。
HCH_012_318_000175	副使翁萬達議改峒名四都，隸之南寧，地方稍定。
HCH_012_318_000176	隆慶三年冬，思明府土官黃承祖奏取四都地，忠州土官黃賢相爭之，遂擅立總管諸名目，分兵數千戍守，因縱令剽掠，為禍甚烈。
HCH_012_318_000177	僉事譚惟鼎調永康典史李材以計擒賢相，斃之於獄。
HCH_012_318_000178	議改流官，不果，遂改隸州於南寧，仍以州印予賢相子有瀚，俾襲職。
HCH_012_318_000179	憑祥，宋為憑祥洞，屬永平寨，元屬思明路。
HCH_012_318_000180	洪武十八年，土蠻李升歸附。
HCH_012_318_000181	置憑祥鎮，授升巡檢，屬思明府。
HCH_012_318_000182	永樂二年置縣，以升為知縣。
HCH_012_318_000183	成化八年升為州，以升孫廣寧為知州，直隸布政司。
HCH_012_318_000184	廣寧有十子，廣寧死，諸子爭立不決，凡三四年，乃以孫珠襲知州職。
HCH_012_318_000185	嘉靖十年，珠死，族弟珍、玨爭立，珍挈印走況村，玨攝州事。
HCH_012_318_000186	十四年，州目李清、趙琪等謀納珍，許思明府黃朝以州屬之。
HCH_012_318_000187	朝遂以兵納珍於憑祥，玨奔罄柳。
HCH_012_318_000188	既珍悔屬思明，與朝隙，朝乃以外婦所生子時芳，詭雲廣寧孫，以兵千人納之。
HCH_012_318_000189	時珍淫縱，為部民所怨，於是廣寧季子寰以尊屬謀廢立。
HCH_012_318_000190	十七年，寰遂殺珍而附於安南，莫登庸藉為向導。
HCH_012_318_000191	總督蔡經屬副使翁萬達擒之，論死。
HCH_012_318_000192	於是玨與時芳復爭立，時芳倚思明勢，州民皆右之。
HCH_012_318_000193	萬達黜玨而論時芳死，更立李佛嗣珍為知州，憑祥遂定。
HCH_012_318_000194	思恩，漢屬交阯。
HCH_012_318_000195	唐為思恩州，屬邕，乃澄州止戈縣地。
HCH_012_318_000196	宋開寶間，廢澄州，以止戈、賀水、無虞三縣省入上林。
HCH_012_318_000197	治平間，以上林之止戈入武緣，隸邕。
HCH_012_318_000198	元屬田州路。
HCH_012_318_000199	歷代羈縻而已。
HCH_012_318_000200	明洪武二十二年，田州府知府岑堅遣其子思恩州知州永昌貢方物。
HCH_012_318_000201	二十八年，歸德州土官黃碧言，思恩州知州岑永昌既匿五縣民，不供賦稅，仍用故元印章。
HCH_012_318_000202	帝以不奉朝命，命左都督楊文相機討之，既以荒遠不問。
HCH_012_318_000203	永樂初，改屬布政司，時居民僅八百戶。
HCH_012_318_000204	永昌死，子瑛襲。
HCH_012_318_000205	宣德二年，瑛遣弟敬貢馬。
HCH_012_318_000206	正統三年進瑛職為知府，仍掌州事。
HCH_012_318_000207	瑛有謀略，善治兵，從征蠻寇，屢有功，故有是命。
HCH_012_318_000208	因與知府岑紹交惡，各具奏，下總兵官及三司議。
HCH_012_318_000209	於是安遠侯柳溥等請升思恩為府，俾瑛、紹各守疆土，以杜侵爭，從之。
HCH_012_318_000210	六年，瑛受屬挾詐事覺，帝以土蠻宥不問，令法司移文戒之。
HCH_012_318_000211	瑛以府治僻隘，橋利堡正當瑤寇出沒之所，且有城垣公廨，乞徙置，許之。
HCH_012_318_000212	以思恩府為思恩軍民府。
HCH_012_318_000213	十二年設儒學，置教授一員，訓導四員，俱從瑛請也。
HCH_012_318_000214	景泰四年，總兵官陳旺奏：「思恩土兵調赴桂林哨守者，離本府遼遠，不便耕種，稅糧宜暫免。」
HCH_012_318_000215	從之。
HCH_012_318_000216	六月，以瑛親率本部狼兵韋陳威等赴城操練，協助軍威，敕授奉議大夫，賜彩緞，韋陳威等俱給冠帶。
HCH_012_318_000217	五年從瑛請建廟學，造祭祀樂器。
HCH_012_318_000218	又以瑛征剿瑤寇功，免土軍今年應輸田糧之半，進瑛從二品散官。
HCH_012_318_000219	瑛屢領兵隨征，以子鑌代為知府。
HCH_012_318_000220	鑌招集無賴，肆為不法。
HCH_012_318_000221	瑛舉發其事，請於總兵，回府治之。
HCH_012_318_000222	鑌聞其父將至，自縊死。
HCH_012_318_000223	事聞，嘉其能割愛效忠，降敕慰諭。
HCH_012_318_000224	又以柳溥奏，免思恩調用土軍千五百人、秋糧二千三百餘石。
HCH_012_318_000225	天順元年，戶部奏：「思恩存留廣西操練軍一千五百人，有誤種田納糧。乞分為三班，留五百人操練，免其糧七百七十餘石。放回千人耕種，征其糧千五百四十餘石，俟寧靖日放回全征。」
HCH_012_318_000226	從之。
HCH_012_318_000227	三年，鎮守中官朱祥奏請量遷瑛都司軍職。
HCH_012_318_000228	帝以瑛歷練老成，累有軍功，改授都指揮同知，仍聽總兵官鎮守調用，以其子鐩為知府。
HCH_012_318_000229	成化元年遣兵科給事中王秉彜賫敕獎諭瑛父子，並賜銀幣。
HCH_012_318_000230	二年命給瑛父母妻誥命，從總兵趙輔請也。
HCH_012_318_000231	十四年，瑛卒。
HCH_012_318_000232	瑛自襲父職，頻年領兵於外，多所斬獲。
HCH_012_318_000233	歷升知府、參政、都指揮使。
HCH_012_318_000234	年且八十，尚在軍中。
HCH_012_318_000235	既卒，鐩以誥請，帝念其勞，特賜之。
HCH_012_318_000236	十六年，田州府土目黃明作亂，知府岑溥避入思恩，鐩會鎮守等官討平之。
HCH_012_318_000237	巡撫朱英請獎鐩功。
HCH_012_318_000238	鐩死，子浚襲。
HCH_012_318_000239	弘治十二年，田州土官岑溥為子猇所殺，猇亦死。
HCH_012_318_000240	次子猛幼，頭目黃驥、李蠻構難，督府命浚調眾護猛。
HCH_012_318_000241	驥厚賂浚，並獻其女，且約分地與浚。
HCH_012_318_000242	浚以兵屬驥，送猛至田州。
HCH_012_318_000243	不得入，猛遂久留浚所。
HCH_012_318_000244	及總鎮諸官攝浚，乃出猛襲知府。
HCH_012_318_000245	浚從索故分地，不得，怒，約泗城、東蘭二州攻劫田州，殺掠萬計，城郭為墟。
HCH_012_318_000246	浚兵二萬據舊田州，劫龍州印，納故知府趙源妻岑氏。
HCH_012_318_000247	及總兵官詣田州勘治，黃驥懼，匿浚所。
HCH_012_318_000248	先是，浚築石城於丹良莊，屯兵千餘人，截江道以括商利，官命毀之，不聽。
HCH_012_318_000249	會官軍自田州還，乘便毀其城。
HCH_012_318_000250	浚兵來拒，殺官軍二十餘人。
HCH_012_318_000251	官軍敗之，俘其目兵九人。
HCH_012_318_000252	總鎮及巡按等官請治浚罪，而參政武清納浚賂，曲護之。
HCH_012_318_000253	浚從弟業少從中官京師，仕為大理寺副三司。
HCH_012_318_000254	總鎮請敕業往諭，兵部以浚稔惡，非業所能諭責，宜敕鎮巡召浚至軍門，諭以朝廷威德，罪其首惡，反侵地，納所劫印，並官私財物，乃可赦。
HCH_012_318_000255	總督鄧廷瓚奏：「浚屢撫不服，請調官軍土兵分哨逐捕按問。如集兵拒敵，相機剿殺，並將田州土官岑猛一並區處，以靖邊疆。」
HCH_012_318_000256	十六年，總督潘蕃奏：「浚僭叛，當用兵誅剿。今浚從弟歲業以山東布政司參議在內閣制敕房辦事，禁密之地，恐有泄漏。」
HCH_012_318_000257	吏部擬改調，而業亦奏乞養去。
HCH_012_318_000258	十七年，浚掠上林、武緣等縣，死者不可勝計。
HCH_012_318_000259	又攻破田州，猛僅以身免，掠其家屬五十人。
HCH_012_318_000260	總鎮以聞，兵部請調三廣兵剿之。
HCH_012_318_000261	十八年，總督潘蕃、太監韋經、總兵毛銳調集兩廣、湖廣官軍土兵十萬八千餘人，分六哨。
HCH_012_318_000262	副總兵毛倫、右參政王璘由慶遠，右參將王震、左參將王臣及湖廣都指揮官纓由柳州，左參將楊玉、僉事丁隆由武緣，都指揮金堂、副使姜綰由上林，都指揮何清、參議詹璽由丹良，都指揮李銘、泗城州土舍岑接由工堯，各取道共抵巢寨。
HCH_012_318_000263	賊分兵阻險拒敵，官軍奮勇直前，援崖而進。
HCH_012_318_000264	浚勢蹙，遁入舊城，諸軍圍攻之。
HCH_012_318_000265	浚死，城中人獻其首，思恩遂平。
HCH_012_318_000266	前後斬捕四千七百九十級，俘男女八百人，得思恩府印二，向武州印一。
HCH_012_318_000267	自進兵及班師僅逾月。
HCH_012_318_000268	捷聞，帝以蕃等有功，璽書勞之。
HCH_012_318_000269	兵部議浚既伏誅，不宜再錄其後，改設流官，擇其可者。
HCH_012_318_000270	以雲南知府張鳳升廣西右參政，掌思恩府事，賜敕。
HCH_012_318_000271	正德七年增設鳳化縣治。
HCH_012_318_000272	時初設流官，諸蠻未服，相繼作亂。
HCH_012_318_000273	嘉靖四年，都御史盛應期遣官軍平之。
HCH_012_318_000274	六年，土目王受與田州盧蘇謀煽亂，勢復熾。
HCH_012_318_000275	新建伯王守仁受命至，一意招撫，而檄受等破八寨賊，因列思恩地為九土巡檢司，管以頭目，授王受白山司巡檢，得比於世官。
HCH_012_318_000276	又以思恩舊治瘴霧昏塞，宜更之爽塏。
HCH_012_318_000277	於是擇地荒田建新郡，割武緣止戈二里益之；又議割上林三里，而移鳳化縣治於其處。
HCH_012_318_000278	蓋寓犬牙相錯之意。
HCH_012_318_000279	巡撫林富謂遷郡及割止戈裏應如守仁議，至以三里當設衛，而並鳳化縣裁之，遂令府治益孤。
HCH_012_318_000280	其後九司頭目日恣，所轄蠻民不堪，知府陳璜曲加綏戢。
HCH_012_318_000281	目把劉觀、盧回以復土為名，鼓眾作亂。
HCH_012_318_000282	副使翁萬達因有事安南，計擒盧回殺之，招回從亂者三十餘人。
HCH_012_318_000283	最後東蘭岑瑄詐稱岑浚子起雲，謀復土官，為九司頭目所縛。
HCH_012_318_000284	萬歷七年，督撫吳文華謂九司日以驕黠，編氓甚少，緩急難恃，奏割南寧武緣縣屬思恩，自是思恩稱巨鎮雲。
HCH_012_318_000285	思恩府土巡檢九司，皆嘉靖七年設，曰興隆，曰那馬，曰白山，曰定羅，曰舊城，曰下旺，曰安定，曰都陽，曰古零。
HCH_012_318_000286	鎮安，宋時於鎮安峒建右江軍民宣撫司，元改鎮安路。
HCH_012_318_000287	明洪武元年，鎮安歸附。
HCH_012_318_000288	以舊治僻遠，移建廢凍州，改為府。
HCH_012_318_000289	授土官岑添保知府，朝貢如例。
HCH_012_318_000290	二十七年，添保上言：「往者征南將軍傅友德令郡民歲輸米三千石，運雲南普安衛。鎮安僻處溪洞，南接交阯，孤立一方，且無所屬。州縣人民鮮少，舟車不通，陸行二十五日始到普安。道遠而險，一夫負米三鬥，給食余所存無幾，往往以耕牛及他物至其地易米輸納。而普安荒遠，米不易得，民甚病之。又歲輸本衛米四百石，尤極艱難。舊以白金一兩，折納一石。今願依前例，以蘇民困。」
HCH_012_318_000291	從之。
HCH_012_318_000292	永樂中，向武知州黃世鐵侵奪鎮安高寨等地，朝廷遣兵討平之，以其地屬鎮安。
HCH_012_318_000293	成化八年，知府岑永壽侄宗紹糾集土兵，攻破府治，殺傷嫡母，流劫鄉村，有司撫諭不服，都指揮岑瑛擒斬之。
HCH_012_318_000294	嘉靖十四年，田州盧蘇作亂，糾歸順州土官岑瓛攻毀鎮安府，目兵遇害者以萬計。
HCH_012_318_000295	按臣曾守約以聞，帝命守臣治之。
HCH_012_318_000296	時蘇倡亂，田州無主，鎮安府土官男岑真寶以兵納岑邦佐於田州。
HCH_012_318_000297	歸順州岑瓛，蘇婿也，及向武州黃仲金皆與真寶隙，乘真寶入田州，蘇遣瓛及仲金襲破鎮安。
HCH_012_318_000298	真寶聞亂，走還。
HCH_012_318_000299	蘇會目兵追圍之武陵寨，瓛等遂發真寶父母墓，焚其骸，分兵占據諸洞寨。
HCH_012_318_000300	真寶訴之軍門，督諭瓛等不退。
HCH_012_318_000301	久之乃解，官軍歸真寶，於是瓛與真寶互相訐。
HCH_012_318_000302	巡按御史言，土蠻自相仇，非有所侵犯，從末減。
HCH_012_318_000303	於是蘇、瓛、仲金各降罰有差，真寶亦革冠帶，許立功自贖。
HCH_012_318_000304	二十二年以瑤、僮作亂，防禦需人，免真寶諸土官來朝。
HCH_012_318_000305	鎮安所屬有上映洞、湖潤寨。
HCH_012_318_000306	巡檢皆土人，世官。
HCH_012_318_000307	田州，古百粵地。
HCH_012_318_000308	漢屬交阯郡。
HCH_012_318_000309	唐隸邕州都督府。
HCH_012_318_000310	宋始置田州，屬邕州橫山寨。
HCH_012_318_000311	元改置田州路軍民總管府。
HCH_012_318_000312	明興，改田州府，省來安府入焉。
HCH_012_318_000313	後改田州，領縣一，曰上林。
HCH_012_318_000314	洪武元年，大兵下廣西，右江田州府土官岑伯顏遣使賫印詣平章楊璟降。
HCH_012_318_000315	二年，伯顏遣使奉表貢馬及方物，詔以伯顏為田州知府，世襲，自是朝貢如制。
HCH_012_318_000316	六年，田州溪峒蠻賊竊發，伯顏討平之。
HCH_012_318_000317	伯顏請振安州、順龍州、侯州、陽縣、羅博州、龍威寨人民，詔有司各給牛米，仍蠲其稅二年。
HCH_012_318_000318	十六年，伯顏死，子堅襲。
