HCH_010_051_000001	皇帝親征儀：常以秋冬，應敵制變或無時。
HCH_010_051_000080	勘箭官再進，依位立，鞠躬，自通全銜臣某對禦勘箭同，退門中立。
HCH_010_051_000081	贊「其箭謹付閣門使進入」。
HCH_010_051_000082	事畢，其箭授閣使，轉付宣徽。
HCH_010_051_000083	宋使見皇太后儀：宋使賀生辰、正旦。
HCH_010_051_000084	至日，臣僚昧爽入朝，使者至幕次。
HCH_010_051_000085	臣僚班齊，皇太后御殿坐。
HCH_010_051_000086	宣徽使押殿前班起居畢，卷班。
HCH_010_051_000087	次契丹臣僚班起居畢，引應坐臣僚上殿，就位立；其餘臣僚不應坐者，退於東面侍立。
HCH_010_051_000088	漢人臣僚東洞門入，面西鞠躬。
HCH_010_051_000089	舍人鞠躬，通某以下起居，凡七拜畢，贊各祗候。
HCH_010_051_000090	引應坐臣僚上殿，就位立。
HCH_010_051_000091	中書令、大王西階上殿，奏宋使並從人榜子訖，就位立。
HCH_010_051_000092	其餘臣僚不應坐者，退於西面侍立。
HCH_010_051_000093	次引宋使副六人於東洞門入，丹墀內面殿齊立。
HCH_010_051_000094	閣使自東階下，受書匣，使人捧書匣者皆跪，閣使搢笏立，受書匣。
HCH_010_051_000095	自東階上殿，欄內鞠躬，奏「封全」訖，授樞密開封。
HCH_010_051_000096	宰臣對皇太后讀訖，引使副六人東階上殿，欄內立。
HCH_010_051_000097	使者揖生辰節大使少前，使者俯伏跪，附起居訖，起，復位立。
HCH_010_051_000098	次引賀皇太后正旦大使，附起居，如前儀。
HCH_010_051_000099	皇太后宣問「南朝皇帝聖躬萬福」，舍人揖生辰大使並皇太后正旦大使少前，皆跪，唯生辰大使奏「來時聖躬萬福」，皆俯伏，興。
HCH_010_051_000100	引東階下殿，丹墀內面殿齊立。
HCH_010_051_000101	引進使引禮物於西洞門入，殿前置擔床。
HCH_010_051_000102	控鶴官起居，四拜，擔床於東便門出畢，揖使副退於東方，西面，皆鞠躬。
HCH_010_051_000103	舍人鞠躬，通南朝國信使某官某以下祗候見，舞蹈，五拜畢；不出班，奏「聖躬萬福」，再拜；揖班首出班，謝面天顏訖，復位，舞蹈，五拜畢，贊各上殿祗候，引各使副西階上殿就位。
HCH_010_051_000104	勾從人兩洞門入，面殿鞠躬，通名，贊拜，起居，四拜畢，贊各祗候，分班引兩洞門出。
HCH_010_051_000105	若宣問使副「跋涉不易」，引西階下殿，丹墀內舞蹈，五拜畢，贊各上殿祗候，引西階上殿，就位立。
HCH_010_051_000106	契丹舍人、漢人閣使齊贊拜，應坐臣僚並使副皆拜，稱「萬歲」。
HCH_010_051_000107	贊各就坐，行湯行茶。
HCH_010_051_000108	供過人出殿門，揖臣僚並使副起，鞠躬。
HCH_010_051_000109	契丹舍人、漢人閣使齊贊，皆拜，稱「萬歲」。
HCH_010_051_000110	贊各祗候。
HCH_010_051_000111	先引宋使副西階下殿，西洞門出，次揖臣僚出畢，報閣門無事。
HCH_010_051_000112	皇太后起。
HCH_010_051_000113	宋使見皇帝儀：宋使賀生辰、正旦。
HCH_010_051_000114	至日，臣僚昧爽入朝，使者至幕次。
HCH_010_051_000115	奏「班齊」，聲警，皇帝升殿坐。
HCH_010_051_000116	宣徽使押殿前班起居畢，卷班出。
HCH_010_051_000117	契丹臣僚班起居畢，引應坐臣僚上殿，就位立；其餘臣僚不應坐者，並退於北面侍立。
HCH_010_051_000118	次引漢人臣僚北洞門入，面殿鞠躬。
HCH_010_051_000119	舍人鞠躬通某官某以下起居，皆七拜畢，引應坐臣僚上殿，就位立。
HCH_010_051_000120	引首相南階上殿，奏宋使並從人榜子，就位立。
HCH_010_051_000121	臣僚並退於南面侍立。
HCH_010_051_000122	教坊入，起居畢，引南使副北洞門入，丹墀內面殿立。
HCH_010_051_000123	閣使北階下殿，受書匣，使人捧書匣者跪，閣使搢笏立，受於北階。
HCH_010_051_000124	上殿，欄內鞠躬，奏「封全」訖，授樞密開封。
HCH_010_051_000125	宰相對皇帝讀訖，舍人引使副北階上殿，欄內立。
HCH_010_051_000126	揖生辰大使少前俯伏跪，附起居。
HCH_010_051_000127	俯伏興，復位立。
HCH_010_051_000128	大使俯伏跪，奏訖，俯伏興，退；引北階下殿，揖使副北方，南面鞠躬。
HCH_010_051_000129	舍人鞠躬，通南朝國信使某官某以下祗候見起居，七拜畢；揖班首出班，謝面天顏，舞蹈，五拜畢；出班，謝遠接、御筵、撫問、湯藥，舞蹈，五拜畢，贊各祗候。
HCH_010_051_000130	引出歸幕次。
HCH_010_051_000131	閣使傳宣賜對衣、金帶。
HCH_010_051_000132	勾從人以下入見。
HCH_010_051_000133	舍人贊班首姓名以下，再拜；不出班奏「聖躬萬福」，贊再拜，稱「萬歲」贊各祗候。
HCH_010_051_000134	引出。
HCH_010_051_000135	舍人傳宣賜衣。
HCH_010_051_000136	使副並從人服賜衣畢，舍人引使副入，丹墀內面殿鞠躬。
HCH_010_051_000137	舍人贊謝恩，拜，舞蹈，五拜畢，贊上殿祗候。
HCH_010_051_000138	引使副南階上殿，就位立。
HCH_010_051_000139	勾從人入，贊謝恩，拜，稱「萬歲」。
HCH_010_051_000140	贊「有敕賜宴」，再拜，稱「萬歲」。
HCH_010_051_000141	贊各祗候。
HCH_010_051_000142	承受官引北廊下立。
HCH_010_051_000143	御床入，大臣進酒，皇帝飲酒。
HCH_010_051_000144	契丹舍人、漢人閣使齊贊拜，應坐並侍立臣僚皆拜，稱「萬歲」。
HCH_010_051_000145	贊各祗候。
HCH_010_051_000146	卒飲，贊拜，應坐臣僚皆拜，稱「萬歲」。
HCH_010_051_000147	贊各就坐行酒，親王、使相、使副共樂曲。
HCH_010_051_000148	若宣令飲盡，並起立飲訖。
HCH_010_051_000149	放盞，就位謝。
HCH_010_051_000150	贊拜，並隨拜，稱「萬歲」。
HCH_010_051_000151	贊各就坐。
HCH_010_051_000152	次行方茵地坐臣僚等官酒。
HCH_010_051_000153	若宣令飲盡，贊謝如初。
HCH_010_051_000154	殿上酒一行畢，贊廊下從人拜，稱「萬歲」，贊各就坐。
HCH_010_051_000155	若傳宣令飲盡，並拜，稱「萬歲」。
HCH_010_051_000156	贊各就坐。
HCH_010_051_000157	殿上酒三行，行茶、行殽、行殽。
HCH_010_051_000158	酒五行，候曲終，揖廊下從人起，贊拜，稱「萬歲」。
HCH_010_051_000159	贊各祗候，引出。
HCH_010_051_000160	曲破，臣僚並使副並起，鞠躬。
HCH_010_051_000161	贊拜，應坐臣僚並使副皆拜，稱「萬歲」。
HCH_010_051_000162	贊各祗候。
HCH_010_051_000163	引使副南階下殿，丹墀內舞蹈，五拜畢，贊各祗候。
HCH_010_051_000164	引出。
HCH_010_051_000165	次引眾臣僚下殿出畢，報閣門無事。
HCH_010_051_000166	皇帝起，聲蹕。
HCH_010_051_000167	曲宴宋使儀：昧爽，臣僚入朝，宋使至幕次。
HCH_010_051_000168	皇帝升殿，殿前、教坊、契丹文武班，皆如初見之儀。
HCH_010_051_000169	宋使副綴翰林學士班，東洞門入，面西鞠躬。
HCH_010_051_000170	舍人鞠躬，通文武百僚臣某以下起居，七拜。
HCH_010_051_000171	謝宣召赴宴，致詞訖，舞蹈，五拜畢，贊各上殿祗候。
HCH_010_051_000172	舍人引大臣、使相、臣僚、使副及方茵朵殿應坐臣僚並於西階上殿，就位立；其餘不應坐臣僚並於西洞門出。
HCH_010_051_000173	勾從人入，起居，謝賜宴，兩廊立，如初見之儀。
HCH_010_051_000174	二人監盞，教坊再拜，贊各上殿祗候。
HCH_010_051_000175	入御床，大臣進酒。
HCH_010_051_000176	舍人、閣使贊拜、行酒，皆如初見之儀。
HCH_010_051_000177	次行方茵朵殿臣僚酒，傳宣飲盡，如常儀。
HCH_010_051_000178	殿上酒一行畢，兩廊從人行酒如初。
HCH_010_051_000179	殿上行餅茶畢，教坊致語，揖臣僚、使副並廊下從人皆起立，候口號絕，揖臣僚等皆鞠躬。
HCH_010_051_000180	贊拜，殿上應坐並侍立臣僚皆拜，稱「萬歲」。
HCH_010_051_000181	贊各就坐。
HCH_010_051_000182	次贊廊下從人拜，亦如之。
HCH_010_051_000183	歇宴，揖臣僚起立，御床出，皇帝起，入閣。
HCH_010_051_000184	引臣僚東西階下殿，還幕次，內賜花。
HCH_010_051_000185	承受官引從人出，賜花，亦如之。
HCH_010_051_000186	簪花畢，引從人復兩廊位立。
HCH_010_051_000187	次引臣僚、使副兩洞門入，復殿上位立。
HCH_010_051_000188	皇帝出閣復坐。
HCH_010_051_000189	御床入，揖應坐臣僚、使副及侍立臣僚鞠躬。
HCH_010_051_000190	贊拜，稱「萬歲」，贊各就坐。
HCH_010_051_000191	贊兩廊從人亦如之。
HCH_010_051_000192	行單茶，行酒，行膳，行果。
HCH_010_051_000193	殿上酒九行，使相樂曲。
HCH_010_051_000194	聲絕，揖兩廊從人起，贊拜，稱「萬歲」，贊「各好去」，承受引出。
HCH_010_051_000195	曲破，殿上臣僚、使副皆起立，贊拜，稱「萬歲」。
HCH_010_051_000196	贊各祗候。
HCH_010_051_000197	引臣僚使副東西階下殿。
HCH_010_051_000198	契丹班謝宴出，漢人並使副班謝宴，舞蹈，五拜畢，贊「各好去」。
HCH_010_051_000199	引出畢，報閣門無事。
HCH_010_051_000200	皇帝起。
HCH_010_051_000201	賀生辰正旦宋使朝辭太后儀：臣僚、使副班齊，如曲宴儀。
HCH_010_051_000202	皇太后升殿坐，殿前契丹文武起居上殿畢。
HCH_010_051_000203	宰臣奏宋使副、從人朝辭榜子畢，就位立。
HCH_010_051_000204	舍人引使副北洞門入，面南鞠躬。
HCH_010_051_000205	舍人鞠躬。
HCH_010_051_000206	通南朝國信使某官某以下祗候辭。
HCH_010_051_000207	再拜；不出班，奏「聖躬萬福」，再拜；出班，戀闕，致詞訖，又再拜。
HCH_010_051_000208	贊各上殿祗候。
HCH_010_051_000209	舍人引南階上殿，就位立。
HCH_010_051_000210	引從人，贊姓名，再拜；奏「聖躬萬福」，再拜，稱「萬歲」。
HCH_010_051_000211	贊「各好去」，引出。
HCH_010_051_000212	殿上揖應坐臣僚並使副就位鞠躬。
HCH_010_051_000213	贊拜，稱「萬歲」。
HCH_010_051_000214	贊各就坐。
HCH_010_051_000215	行湯、行茶畢，揖臣僚並南使起立，與應坐臣僚鞠躬。
HCH_010_051_000216	贊拜，稱「萬歲」。
HCH_010_051_000217	贊各祗候，立。
HCH_010_051_000218	引使副六人於欄內拜跪，受書匣畢，直起立，揖少前，鞠躬，受傳答語訖，退。
HCH_010_051_000219	於北階下殿，丹墀內面殿鞠躬。
HCH_010_051_000220	舍人贊「各好去」，引出。
HCH_010_051_000221	臣僚出。
HCH_010_051_000222	賀生辰正旦宋使朝辭皇帝儀：臣僚入朝如常儀，宋使至幕次。
HCH_010_051_000223	於外賜從人衣物。
HCH_010_051_000224	皇帝升殿，宣徽、契丹文武班起居上殿，如曲宴儀。
HCH_010_051_000225	中書令奏宋使副並從人朝辭榜子畢，臣僚並於南面侍立。
HCH_010_051_000226	教坊起居畢，舍人引使副六人北洞門入，丹墀北方，面南鞠躬。
HCH_010_051_000227	舍人鞠躬。
HCH_010_051_000228	通南朝國信使某官某以下祗候辭，再拜，起居，戀闕，如辭皇太后儀。
HCH_010_051_000229	贊各祗候，平身立。
HCH_010_051_000230	揖使副鞠躬。
HCH_010_051_000231	宣徽贊「有敕」，使副再拜，鞠躬平身立。
HCH_010_051_000232	宣徽使贊「各賜卿對衣金帶、匹段、弓箭、鞍馬等，想宜知悉」，使副平身立。
HCH_010_051_000233	揖大使三人少前，俯伏跪，搢笏，閣門使授別錄賜物。
HCH_010_051_000234	過畢，俯起，復位立。
HCH_010_051_000235	揖副使三人受賜，亦如之。
HCH_010_051_000236	贊謝恩，舞蹈，五拜。
HCH_010_051_000237	贊上殿祗候，舍人引使副南階上殿，就位立。
HCH_010_051_000238	引從人，贊謝恩，再拜；起居，再拜，贊賜宴，再拜；皆稱「萬歲」。
HCH_010_051_000239	贊各祗候，承受引兩廊立。
HCH_010_051_000240	御床入，皇帝飲酒，舍人、合使贊臣僚、使副拜，稱「萬歲」，皆如曲宴。
HCH_010_051_000241	應坐臣僚拜，稱「萬歲」。
HCH_010_051_000242	就坐、行酒、樂曲，方茵、兩廊皆如之；行殽、行茶、行膳亦如之。
HCH_010_051_000243	行饅頭畢，從人起，如登位使之儀。
HCH_010_051_000244	曲破，臣僚、使副皆起立，拜，稱「萬歲」，如辭太后之儀。
HCH_010_051_000245	使副下殿，舞蹈，五拜。
HCH_010_051_000246	贊各上殿祗候，引北階上殿，欄內立。
HCH_010_051_000247	揖生辰、正旦大使二人少前，齊跪，受書畢，起立，揖磬折受起居畢，退。
HCH_010_051_000248	引北階下殿，丹墀內並鞠躬。
HCH_010_051_000249	舍人贊「各好去」，引南洞門出。
HCH_010_051_000250	次引殿上臣僚南北洞門出畢，報閣門無事。
HCH_010_051_000251	高麗使入見儀：臣僚常服，起居，應上殿臣僚殿上序立。
HCH_010_051_000252	閣門奏榜子，引高麗使副面殿立。
HCH_010_051_000253	引上露臺拜跪，附奏起居訖，拜，起立。
HCH_010_051_000254	閣門傳宣「王詢安否」，使副皆跪，大使奏「臣等來時詢安」。
HCH_010_051_000255	引下殿，面殿立。
HCH_010_051_000256	進奉物入，列置殿前。
HCH_010_051_000257	控鶴官起居畢，引進使鞠躬，通高麗國王詢進奉。
HCH_010_051_000258	宣徽使殿上贊進奉赴庫，馬出，擔床出畢，引使副退，面西鞠躬。
HCH_010_051_000259	舍人鞠躬，通高麗國謝恩進奉使某官某以下祗候見，舞蹈，五拜。
HCH_010_051_000260	不出班，奏「聖躬萬福」，再拜。
HCH_010_051_000261	出班，謝面天顏，五拜。
HCH_010_051_000262	出班，謝遠接、湯藥，五拜，贊各祗候。
HCH_010_051_000263	使副私獻入，列置殿前。
HCH_010_051_000264	控鶴官起居，引進使鞠躬，通高麗國謝恩進奉某官某以下進奉。
HCH_010_051_000265	宣徽使殿上贊如初。
HCH_010_051_000266	引使副西階上殿序立。
HCH_010_051_000267	皇帝不入御床，臣僚伴酒。
HCH_010_051_000268	契丹舍人通，漢人閣使贊，再拜，稱「萬歲」，各就坐。
HCH_010_051_000269	酒三行，肴膳二味。
HCH_010_051_000270	若宣令飲盡，就位拜，稱「萬歲」，贊各就坐。
HCH_010_051_000271	肴膳不贊，起，再拜，稱「萬歲」。
HCH_010_051_000272	引下殿，舞蹈，五拜。
HCH_010_051_000273	贊各祗候。
HCH_010_051_000274	引出，於幕次內別差使臣伴宴。
HCH_010_051_000275	起，宣賜衣物訖，遙謝，五拜畢，歸館。
HCH_010_051_000276	曲宴高麗使儀：臣僚入朝，班齊，皇帝升殿。
HCH_010_051_000277	宣徽、教坊、控鶴、文武班起居，皆如常儀；謝宣宴，如宋使儀。
HCH_010_051_000278	贊各上殿祗候。
HCH_010_051_000279	契丹臣僚謝宣宴。
HCH_010_051_000280	勾高麗使入，面南鞠躬。
HCH_010_051_000281	舍人鞠躬，通高麗國謝恩進奉使某官某以下起居，謝宣宴，共十二拜。
HCH_010_051_000282	贊各上殿祗候，臣僚、使副就位立。
HCH_010_051_000283	大臣進酒，契丹舍人通，漢人閣使贊，上殿臣僚皆拜。
HCH_010_051_000284	贊各祗候，進酒。
HCH_010_051_000285	大臣復位立，贊應坐臣僚拜，贊各就坐行酒。
HCH_010_051_000286	若宣令飲盡，贊再拜，贊各就坐。
HCH_010_051_000287	教坊致語，臣僚皆起立。
HCH_010_051_000288	口號絕，贊再拜，贊各就坐。
HCH_010_051_000289	凡拜，皆稱「萬歲」。
HCH_010_051_000290	曲破，臣僚起，下殿。
HCH_010_051_000291	契丹臣僚謝宴，中書令以下謝宴畢，引使副謝，七拜。
HCH_010_051_000292	贊「各好去」，控鶴官門外祗候，報閣門無事。
HCH_010_051_000293	供奉官卷班出。
HCH_010_051_000294	來日問聖體。
HCH_010_051_000295	高麗使朝辭儀：臣僚起居、上殿如常儀。
HCH_010_051_000296	閣門奏高麗使朝辭榜子，起居、戀闕，如宋使之儀。
HCH_010_051_000297	贊各上殿祗候。
HCH_010_051_000298	引西階上殿立。
HCH_010_051_000299	契丹舍人贊拜，稱「萬歲」。
HCH_010_051_000300	贊各就坐，中書令以下伴酒三行，肴膳二味，皆如初見之儀。
HCH_010_051_000301	既謝，贊「有敕宴」，五拜。
HCH_010_051_000302	贊「各好去」，引出，於幕次內別差使臣伴宴。
HCH_010_051_000303	畢，賜衣物，跪受，遙謝五拜。
HCH_010_051_000304	歸館。
HCH_010_051_000305	西夏國進奉使朝見儀：臣僚常朝畢，引使者左入，至丹墀，面殿立。
HCH_010_051_000306	引使者上露臺立。
HCH_010_051_000307	揖少前，拜跪，附奏起居訖，俯興，復位。
HCH_010_051_000308	閣使宣問「某安否」，鞠躬聽旨，跪奏「某安」。
HCH_010_051_000309	俯伏興退，復位。
HCH_010_051_000310	引左下，至丹墀，面殿立。
HCH_010_051_000311	禮物右入左出，畢，閣使鞠躬，通某國進奉使姓名候見，共一十七拜。
HCH_010_051_000312	贊祗候，平立。
HCH_010_051_000313	有私獻，過畢，揖使者鞠躬，贊「進奉收訖」。
HCH_010_051_000314	贊祗候，引左上殿，就位立。
HCH_010_051_000315	臣僚、使者齊聲喏。
HCH_010_051_000316	酒三行，引使左下，至丹墀謝宴，五拜。
HCH_010_051_000317	畢，贊「有敕宴」，五拜。
HCH_010_051_000318	祗候，引右出。
HCH_010_051_000319	禮畢。
HCH_010_051_000320	於外賜宴，客省伴宴，仍賜衣物。
HCH_010_051_000321	西夏使朝辭儀：常朝畢，引使者左入，通某國某使祗候辭，再拜。
HCH_010_051_000322	不出班，起居，再拜。
HCH_010_051_000323	出班，戀闕、致詞，復再拜。
HCH_010_051_000324	賜衣物，謝恩如常儀。
HCH_010_051_000325	若賜宴，五拜。
HCH_010_051_000326	畢，贊「好去」，引右出。
HCH_010_051_000327	本元朝作品在全世界都属于公有领域，因为作者逝世已经遠遠超过100年。
