HCH_012_250_000001	孫承宗，字稚繩，高陽人。
HCH_012_250_000026	承宗上疏曰：「邇年兵多不練，餉多不核。以將用兵，而以文官招練；以將臨陣，而以文官指發；以武略備邊，而日增置文官於幕；以邊任經、撫，而日問戰守於朝；此極弊也。今天下當重將權，擇一沉雄有氣略者，授之節鉞，得自辟置偏裨以下，勿使文吏用小見沾沾陵其上。邊疆小勝小敗，皆不足問，要使守關無闌入，而徐為恢復計。」
HCH_012_250_000027	因列上撫西部、恤遼民、簡京軍、增永平大帥、修薊鎮亭障、開京東屯田數策，帝褒納焉。
HCH_012_250_000028	時邊警屢告，閣部大臣幸旦暮無事，而言路日益紛呶。
HCH_012_250_000029	承宗乃請下廷弼於理，與化貞並讞，用正朝士黨護。
HCH_012_250_000030	又請逮給事中明時舉、御史李達，以懲四川之招兵致寇者。
HCH_012_250_000031	又請詰責遼東巡按方震孺、登萊監軍梁之垣、薊州兵備邵可立，以警在位之骫骳者。
HCH_012_250_000032	諸人以次獲譴，朝右聳然，而側目怨咨者亦眾矣。
HCH_012_250_000033	兵部尚書王在晉代廷弼經略遼東，與總督王象乾深相倚結。
HCH_012_250_000034	象乾在薊門久，習知西部種類情性，西部亦愛戴之，然實無他才，惟啖以財物相羈縻，冀得以老解職而已。
HCH_012_250_000035	在晉謀用西部襲廣寧，象乾惎之曰：「得廣寧，不能守也，獲罪滋大。不如重關設險，衛山海以衛京師。」
HCH_012_250_000036	在晉乃請於山海關外八里鋪築重關，用四萬人守之。
HCH_012_250_000037	其僚佐袁崇煥、沈棨、孫元化等力爭不能得，奏記於首輔葉向高。
HCH_012_250_000038	向高曰：「是未可臆度也。」
HCH_012_250_000039	承宗請身往決之。
HCH_012_250_000040	帝大喜，加太子太保，賜蟒玉、銀幣。
HCH_012_250_000041	抵關，詰在晉曰：「新城成，即移舊城四萬人以守乎？」
HCH_012_250_000042	在晉曰：「否，當更設兵。」
HCH_012_250_000043	曰：「如此，則八里內守兵八萬矣。一片石西北不當設兵乎？且築關在八里內，新城背即舊城趾，舊城之品坑地雷為敵人設，抑為新兵設乎？新城可守，安用舊城？如不可守，則四萬新兵倒戈舊城下，將開關延入乎，抑閉關以委敵乎？」
HCH_012_250_000044	曰：「關外有三道關可入也。」
HCH_012_250_000045	曰：「若此，則敵至而兵逃如故也，安用重關？」
HCH_012_250_000046	曰：「將建三寨於山，以待潰卒。」
HCH_012_250_000047	曰：「兵未潰而築寨以待之，是教之潰也。且潰兵可入，敵亦可尾之入。今不為恢復計，畫關而守，將盡撤籓籬，日哄堂奧，畿東其有寧宇乎？」
HCH_012_250_000048	在晉無以難。
HCH_012_250_000049	承宗乃議守關外。
HCH_012_250_000050	監軍閻鳴泰主覺華島，袁崇煥主寧遠衛，在晉持不可，主守中前所。
HCH_012_250_000051	舊監司邢慎言、張應吾逃在關，皆附和之。
HCH_012_250_000052	初，化貞等既逃，自寧遠以西五城七十二堡悉為哈喇慎諸部所據，聲言助守邊。
HCH_012_250_000053	前哨游擊左輔名駐中前，實不出八里鋪。
HCH_012_250_000054	承宗知諸部不足信，而寧遠、覺華之可守，已決計將自在晉發之，推心告語凡七晝夜，終不應。
HCH_012_250_000055	還朝，言：「敵未抵鎮武而我自燒寧、前，此前日經、撫罪也；我棄寧、前，敵終不至，而我不敢出關一步，此今日將吏罪也。將吏匿關內，無能轉其畏敵之心以畏法，化其謀利之智以謀敵，此臣與經臣罪也。與其以百萬金錢浪擲於無用之版築，曷若築寧遠要害？以守八里鋪之四萬人當寧遠沖，與覺華相犄角。敵窺城，令島上卒旁出三岔，斷浮橋，繞其後而橫擊之。即無事，亦且收二百里疆土。總之，敵人之帳幕必不可近關門，杏山之難民必不可置膜外。不盡破庸人之論，遼事不可為也。」
HCH_012_250_000056	其他制置軍事又十餘疏。
HCH_012_250_000057	帝嘉納。
HCH_012_250_000058	無何，御講筵，承宗面奏在晉不足任，乃改南京兵部尚書，並斥逃臣慎言等，而八里築城之議遂熄。
HCH_012_250_000059	在晉既去，承宗自請督師。
HCH_012_250_000060	詔給關防敕書，以原官督山海關及薊、遼、天津、登、萊諸處軍務，便宜行事，不從中制，而以鳴泰為遼東巡撫。
HCH_012_250_000061	承宗乃辟職方主事鹿善繼、王則古為贊畫，請帑金八十萬以行。
HCH_012_250_000062	帝特御門臨遣，賜尚方劍、坐蟒，閣臣送之崇文門外。
HCH_012_250_000063	既至關，令總兵江應詔定軍制，僉事崇煥建營舍，廢將李秉誠練火器，贊畫善繼、則古治軍儲，沈棨、杜應芳繕甲仗，司務孫元化築砲臺，中書舍人宋獻、羽林經歷程侖主市馬，廣寧道僉事萬有孚主採木，而令游擊祖大壽佐金冠於覺華，副將陳諫助趙率教於前屯，游擊魯之甲拯難民，副將李承先練騎卒，參將楊應乾募遼人為軍。
HCH_012_250_000064	是時，關上兵名七萬，顧無紀律，冒餉多。
HCH_012_250_000065	承宗大閱，汰逃將數百人，遣還河南、真定疲兵萬餘，以之甲所救難民七千發前屯為兵。
HCH_012_250_000066	應乾所募遼卒出戍寧遠，咨朝鮮使助聲援。
HCH_012_250_000067	犒毛文龍於東江，令復四衛。
HCH_012_250_000068	檄登帥沈有容進據廣鹿島。
HCH_012_250_000069	欲以春防躬詣登、萊商進取，而中朝意方急遼，弗許也。
HCH_012_250_000070	應詔被劾，承宗請用馬世龍代之，以尤世祿、王世欽為南北帥，聽世龍節制，且為世龍請尚方劍。
HCH_012_250_000071	帝皆可之。
HCH_012_250_000072	世龍既受事，承宗為築壇，拜行授鉞禮。
HCH_012_250_000073	率教已守前屯，盡驅哈喇慎諸部，撫場猶在八里鋪。
HCH_012_250_000074	象乾議開水關，撫之關內，承宗不可，乃定於高臺堡。
HCH_012_250_000075	時大清兵委廣寧去，遼遺民入居之。
HCH_012_250_000076	插漢部以告有孚，有孚謀挾西部乘間殲之，冒恢復功。
HCH_012_250_000077	承宗下檄曰：「西部殺我人者，致罰如盟言。」
HCH_012_250_000078	是役也，全活千餘人。
HCH_012_250_000079	帝好察邊情，時令東廠遣人詣關門，具事狀奏報，名曰「較事」。
HCH_012_250_000080	及魏忠賢竊政，遣其黨劉朝、胡良輔、紀用等四十五人齎內庫神砲、甲仗、弓矢之屬數萬至關門，為軍中用，又以白金十萬，蟒、麒麟、獅子、虎、豹諸幣頒賚將士，而賜承宗蟒服、白金慰勞之，實覘軍也。
HCH_012_250_000081	承宗方出關巡寧遠，中路聞之，立疏言：「中使觀兵，自古有戒。」
HCH_012_250_000082	帝溫旨報之。
HCH_012_250_000083	使者至，具杯茗而已。
HCH_012_250_000084	鳴泰之為巡撫也，承宗薦之。
HCH_012_250_000085	後知其無實，軍事多不與議。
HCH_012_250_000086	鳴泰怏怏求去，承宗亦引疾。
HCH_012_250_000087	言官共留承宗，詆鳴泰，巡關御史潘雲翼復論劾之。
HCH_012_250_000088	帝乃罷鳴泰，而以張鳳翼代。
HCH_012_250_000089	鳳翼怯，復主守關議。
HCH_012_250_000090	承宗不悅，乃復出關巡視。
HCH_012_250_000091	抵寧遠，集將吏議所守。
HCH_012_250_000092	眾多如鳳翼指，獨世龍請守中後所，而崇煥、善繼及副將茅元儀力請守寧遠，承宗然之，議乃定。
HCH_012_250_000093	令大壽興工，崇煥、滿桂守之。
HCH_012_250_000094	先是，虎部竊出盜掠，率教捕斬四人。
HCH_012_250_000095	象乾欲斬率教謝虎部，承宗不可。
HCH_012_250_000096	而承宗所遣王楹戍中右，護其兵出採木，為西部朗素所殺。
HCH_012_250_000097	承宗怒，遣世龍剿之。
HCH_012_250_000098	象乾恐壞撫局，令郎素縛逃人為殺楹者以獻，而增市賞千金。
HCH_012_250_000099	承宗方疏爭，而象乾以憂去。
HCH_012_250_000100	承宗患主款者撓己權，言督師、總督可勿兼設，請罷己，不可，則弗推總督。
HCH_012_250_000101	並請以遼撫移駐寧遠。
HCH_012_250_000102	帝命止總督推，而鳳翼謂置己死地也，因大恨。
HCH_012_250_000103	與其鄉人雲翼、有孚等力毀世龍，以撼承宗。
HCH_012_250_000104	無何，有孚為薊撫岳和聲所劾，益疑世龍與崇煥構陷，乃共為浮言，撓出關計。
HCH_012_250_000105	給事中解學龍遂極論世龍罪。
HCH_012_250_000106	承宗憤，抗疏陳守御策，言：「拒敵門庭之中，與拒諸門庭外，勢既辨。我促敵二百里外，敵促我二百里中，勢又辨。蓋廣寧，我遠而敵近；寧遠，我近而敵遠。我不進逼敵，敵將進而逼我。今日即不能恢遼左，而寧遠、覺華終不可棄。請敕廷臣雜議主、客之兵可否久戍，本折之餉可否久輸，關外之土地人民可否捐棄，屯築戰守可否興舉，再察敵人情形果否坐待可以消滅。臣不敢為百年久計，只計及五年間究竟何如。倘臣言不當，立斥臣以定大計，無紆迴不決，使全軀保妻子之臣附合眾喙，以殺臣一身而誤天下也。」
HCH_012_250_000107	復為世龍辯，而發有孚等交構狀。
HCH_012_250_000108	有孚者，故侍郎世德子也，為廣寧理餉同知。
HCH_012_250_000109	城陷逃歸，象乾題為廣寧道僉事，專撫插漢，乾沒多。
HCH_012_250_000110	至是以承宗言被斥。
HCH_012_250_000111	鳳翼亦以憂歸，喻安性代。
HCH_012_250_000112	而廷臣言總督不可裁，命吳用先督薊、遼，代象乾。
HCH_012_250_000113	承宗惡本兵越彥多中制，稱疾求罷，舉彥自代以困之，廷議不可而止。
HCH_012_250_000114	時寧遠城工竣，關外守具畢備。
HCH_012_250_000115	承宗圖大舉，奏言：「前哨已置連山大凌河，速畀臣餉二十四萬，則功可立奏。」
HCH_012_250_000116	帝命所司給之。
HCH_012_250_000117	兵、工二部相與謀曰：「餉足，渠即妄為，不如許而不與，文移往復稽緩之。」
HCH_012_250_000118	承宗再疏促，具以情告。
HCH_012_250_000119	帝為飭諸曹，而師竟不果出。
HCH_012_250_000120	初，方震孺、游士任、李達、明時舉之譴，承宗實劾之，後皆為求宥。
HCH_012_250_000121	復稱楊鎬、熊廷弼、王化貞之勞，請免死遣戍，朝端嘩然。
HCH_012_250_000122	給事中顧其仁、許譽卿，御史袁化中交章論駁，帝皆置弗省。
HCH_012_250_000123	會承宗敘五防效勞諸臣，且引疾乞罷，乃遣中官劉應坤等齎帑金十萬犒將士，而賜承宗坐蟒、膝襴，佐以金幣。
HCH_012_250_000124	當是時，忠賢益盜柄。
HCH_012_250_000125	以承宗功高，欲親附之，令應坤等申意。
HCH_012_250_000126	承宗不與交一言，忠賢由是大憾。
HCH_012_250_000127	會忠賢逐楊漣、趙南星、高攀龍等，承宗方西巡薊、昌。
HCH_012_250_000128	念抗疏帝未必親覽，往在講筵，每奏對輒有入，乃請以賀聖壽入朝面奏機宜，欲因是論其罪。
HCH_012_250_000129	魏廣微聞之，奔告忠賢：「承宗擁兵數萬將清君側，兵部侍郎李邦華為內主，公立齏粉矣！」
HCH_012_250_000130	忠賢悸甚，繞御床哭。
HCH_012_250_000131	帝亦為心動，令內閣擬旨。
HCH_012_250_000132	次輔顧秉謙奮筆曰：「無旨離信地，非祖宗法，違者不宥。」
HCH_012_250_000133	夜啟禁門召兵部尚書入，令三道飛騎止之。
HCH_012_250_000134	又矯旨諭九門守閹，承宗若至齊化門，反接以入。
HCH_012_250_000135	承宗抵通州，聞命而返。
HCH_012_250_000136	忠賢遣人偵之，一襆被置輿中，後車鹿善繼而已，意少解。
HCH_012_250_000137	而其黨李蕃、崔呈秀、徐大化連疏詆之，至比之王敦、李懷光。
HCH_012_250_000138	承宗乃杜門求罷。
HCH_012_250_000139	五年四月，給事中郭興治請令廷臣議去留，論冒餉者復踵至，遂下廷臣雜議。
HCH_012_250_000140	吏部尚書崔景榮持之，乃下詔勉留，而以簡將、汰兵、清餉三事責承宗。
HCH_012_250_000141	奏報，承宗方遣諸將分戍錦州、大小凌河、松、杏、右屯諸要害，拓地復二百里，罷大將世欽、世祿，副將李秉誠、孫諫，汰軍萬七千餘人，省度支六十八萬。
HCH_012_250_000142	而言官論世龍不已。
HCH_012_250_000143	至九月，遂有柳河之敗，死者四百餘人，語詳《世龍傳》。
HCH_012_250_000144	於是臺省劾世龍並及承宗，章疏數十上。
HCH_012_250_000145	承宗求去益力，十月始得請。
HCH_012_250_000146	先已屢加左柱國、少師、太子太師、中極殿大學士，遂加特進光祿大夫，廕子中書舍人，賜蟒服、銀幣，行人護歸。
HCH_012_250_000147	而以兵部尚書高第代為經略。
HCH_012_250_000148	無何，安性亦罷，遂廢巡撫不設。
HCH_012_250_000149	初，第力扼承宗，請撤關外以守關內。
HCH_012_250_000150	承宗駁之，第深憾。
HCH_012_250_000151	明年，寧遠被圍，乃疏言關門兵止存五萬，言者益以為承宗罪。
HCH_012_250_000152	承宗告戶部曰：「第初蒞關，嘗給十一萬七千人餉，今但給五萬人餉足矣。」
HCH_012_250_000153	第果以妄言引罪。
HCH_012_250_000154	後忠賢遣其黨梁夢環巡關，欲傅致承宗罪，無所得而止。
HCH_012_250_000155	承宗在關四年，前後修復大城九、堡四十五，練兵十一萬，立車營十二、水營五、火營二、前鋒後勁營八，造甲胄、器械、弓矢、砲石、渠答、鹵楯之具合數百萬，拓地四百里，開屯五千頃，歲入十五萬。
HCH_012_250_000156	後敘寧遠功，廕子錦衣世千戶。
HCH_012_250_000157	庄烈帝即位，在晉入為兵部尚書，恨承宗不置，極論世龍及元儀熒惑樞輔壞關事，又嗾臺省交口詆承宗，以沮其出。
HCH_012_250_000158	二年十月，大清兵入大安口，取遵化，將薄都城，廷臣爭請召承宗。
HCH_012_250_000159	詔以原官兼兵部尚書守通州，仍入朝陛見。
HCH_012_250_000160	承宗至，召對平臺。
HCH_012_250_000161	帝慰勞畢，問方略。
HCH_012_250_000162	承宗奏：「臣聞袁崇煥駐薊州，滿桂駐順義，侯世祿駐三河，此為得策。又聞尤世威回昌平，世祿駐通州，似未合宜。」
HCH_012_250_000163	帝問：「卿欲守三河，何意？」
HCH_012_250_000164	對曰：「守三河可以沮西奔，遏南下。」
HCH_012_250_000165	帝稱善，曰：「若何為朕保護京師？」
HCH_012_250_000166	承宗言：「當緩急之際，守陴人苦饑寒，非萬全策。請整器械，厚犒勞，以固人心。」
HCH_012_250_000167	所條畫俱稱旨。
HCH_012_250_000168	帝曰：「卿不須往通，其為朕總督京城內外守御事務，仍參帷幄。」
HCH_012_250_000169	趣首輔韓爌草敕下所司鑄關防。
HCH_012_250_000170	承宗出，漏下二十刻矣，即周閱都城，五鼓而畢，復出閱重城。
HCH_012_250_000171	明日夜半，忽傳旨守通州。
HCH_012_250_000172	時烽火遍近郊，承宗從二十七騎出東便門，道亡其三，疾馳抵通，門者幾不納。
HCH_012_250_000173	既入城，與保定巡撫解經傳、御史方大任、總兵楊國棟登陴固守。
HCH_012_250_000174	而大清兵已薄都城，乃急遣游擊尤岱以騎卒三千赴援。
HCH_012_250_000175	旋遣副將劉國柱督軍二千與岱合，而發密雲兵三千營東直門，保定兵五千營廣寧門。
HCH_012_250_000176	以其間遣將復馬蘭、三屯二城。
HCH_012_250_000177	至十二月四日，而有祖大壽之變。
HCH_012_250_000178	大壽，遼東前鋒總兵官也，偕崇煥入衛。
HCH_012_250_000179	見崇煥下吏，懼誅，遂與副將何可綱等率所部萬五千人東潰，遠近大震。
HCH_012_250_000180	承宗聞，急遣都司賈登科齎手書慰諭大壽，而令游擊石柱國馳撫諸軍。
HCH_012_250_000181	大壽見登科，言：「麾下卒赴援，連戰俱捷，冀得厚賞。城上人群詈為賊，投石擊死數人。所遣邏卒，指為間諜而殺之。勞而見罪，是以奔還。當出搗朵顏，然後束身歸命。」
HCH_012_250_000182	柱國追及諸軍，其將士持弓刀相向，皆垂涕，言：「督師既戮，又將以大砲擊斃我軍，故至此。」
HCH_012_250_000183	柱國復前追，大壽去已遠，乃返。
HCH_012_250_000184	承宗奏言：「大壽危疑已甚，又不肯受滿桂節制，因訛言激眾東奔，非部下盡欲叛也。當大開生路，曲收眾心。遼將多馬世龍舊部曲，臣謹用便宜，遣世龍馳諭，其將士必解甲歸，大壽不足慮也。」
HCH_012_250_000185	帝喜從之。
HCH_012_250_000186	承宗密札諭大壽急上章自列，且立功贖督師罪，而己當代為剖白。
HCH_012_250_000187	大壽諾之，具列東奔之故，悉如將士言。
HCH_012_250_000188	帝優詔報之，命承宗移鎮關門。
HCH_012_250_000189	諸將聞承宗、世龍至，多自拔來歸者。
HCH_012_250_000190	大壽妻左氏亦以大義責其夫，大壽斂兵待命。
HCH_012_250_000191	當潰兵出關，關城被劫掠，閉門罷市。
HCH_012_250_000192	承宗至，人心始定。
HCH_012_250_000193	關城故十六里，衛城止二里。
HCH_012_250_000194	今敵在內，關城無可守，衛城連關，可步屟而上也。
HCH_012_250_000195	乃別築牆，橫互於關城，穴之使砲可平出。
HCH_012_250_000196	城中水不足，一晝夜穿鑿百井。
HCH_012_250_000197	舊汰牙門將僑寓者千人，窮而思亂，皆廩之於官，使巡行街衢，守台護倉，均有所事。
HCH_012_250_000198	內間不得發，外來者輒為邏騎所得，由是關門守完。
HCH_012_250_000199	乃遣世龍督步騎兵萬五千入援，令游擊祖可法等率騎兵四營西戍撫寧。
HCH_012_250_000200	三年正月，大壽入關謁承宗，親軍五百人甲而候於門。
HCH_012_250_000201	承宗開誠與語，即日列其所統步騎三萬於教場，行誓師禮，群疑頓釋。
HCH_012_250_000202	時我大清已拔遵化而守之。
HCH_012_250_000203	是月四日拔永平。
HCH_012_250_000204	八日拔遷安，遂下灤州。
HCH_012_250_000205	分兵攻撫寧，可法等堅守不下。
HCH_012_250_000206	大清兵遂向山海關，離三十里而營，副將官惟賢等力戰。
HCH_012_250_000207	乃還攻撫寧及昌黎，俱不下。
HCH_012_250_000208	當是時，京師道梗，承宗、大壽軍在東，世龍及四方援軍在西。
HCH_012_250_000209	承宗募死士沿海達京師，始知關城尚無恙。
HCH_012_250_000210	關西南三縣：曰撫寧、昌黎、樂亭，西北三城：曰石門、台頭、燕河。
HCH_012_250_000211	六城東護關門，西繞永平，皆近關要地。
HCH_012_250_000212	承宗飭諸城嚴守，而遣將戍開平，復建昌，聲援始接。
HCH_012_250_000213	方京師戒嚴，天下勤王兵先後至者二十萬，皆壁於薊門及近畿，莫利先進。
HCH_012_250_000214	詔旨屢督趣，諸將亦時戰攻，然莫能克復。
HCH_012_250_000215	世龍請先復遵化，承宗曰：「不然，遵在北，易取而難守，不如姑留之，以分其勢，而先圖灤。今當多為聲勢，示欲圖遵之狀以牽之。諸鎮赴豐潤、開平，聯關兵以圖灤。得灤則以開平兵守之，而騎兵決戰以圖永。得灤、永則關、永合，而取遵易易矣。」
HCH_012_250_000216	議既定，乃令東西諸營併進，親詣撫寧以督之。
HCH_012_250_000217	五月十日，大壽及張春、邱禾嘉諸軍先抵灤城下，世龍及尤世祿、吳自勉、楊麒、王承恩繼至，越二日克之，而副將王維城等亦入遷安。
HCH_012_250_000218	我大清兵守永平者，盡撤而北還，承宗遂入永平。
HCH_012_250_000219	十六日，諸將謝尚政等亦入遵化。
HCH_012_250_000220	四城俱復。
HCH_012_250_000221	帝為告謝郊廟，大行賞賚，加承宗太傅，賜蟒服、白金，世襲錦衣衛指揮僉事。
HCH_012_250_000222	力辭太傅不受，而屢疏稱疾乞休，優詔不允。
HCH_012_250_000223	朵顏束不的反覆，承宗令大將王威擊敗之，復賚銀幣。
HCH_012_250_000224	先以冊立東宮，加太保；及《神宗實錄》成，加官亦如之。
HCH_012_250_000225	並辭免，而乞休不已。
HCH_012_250_000226	帝命閣臣議去留，不能決。
HCH_012_250_000227	特遣中書齎手詔慰問，乃起視事。
HCH_012_250_000228	四年正月出關東巡，抵松山、錦州，還入關，復西巡，遍閱三協十二路而返。
HCH_012_250_000229	條上東西邊政八事，帝咸採納。
HCH_012_250_000230	五月以考滿，詔加太傅兼食尚書俸，廕尚寶司丞，賚蟒服、銀幣、羊酒，復辭太傅不受。
HCH_012_250_000231	初，右屯、大凌河二城，承宗已設兵戍守。
HCH_012_250_000232	後高第來代，盡撤之，二城遂被毀。
HCH_012_250_000233	至是，禾嘉巡撫遼東，議復取廣寧、義州、右屯三城。
HCH_012_250_000234	承宗言廣寧道遠，當先據右屯，築城大凌河，以漸而進。
HCH_012_250_000235	兵部尚書梁廷棟主之，遂以七月興工，工甫竣，我大清兵大至，圍數周。
HCH_012_250_000236	承宗聞，馳赴錦州，遣吳襄、宋偉往救。
HCH_012_250_000237	禾嘉屢易師期，偉與襄又不相能，遂大敗於長山。
HCH_012_250_000238	至十月，城中糧盡援絕，守將祖大壽力屈出降，城復被毀。
HCH_012_250_000239	廷臣追咎築城非策也，交章論禾嘉及承宗，承宗復連疏引疾。
HCH_012_250_000240	十一月得請，賜銀幣乘傳歸。
HCH_012_250_000241	言者追論其喪師辱國，奪官閒住，並奪寧遠世廕。
HCH_012_250_000242	承宗復列上邊計十六事，而極言禾嘉軍謀牴牾之失，帝報聞而已。
HCH_012_250_000243	家居七年，中外屢請召用，不報。
HCH_012_250_000244	十一年，我大清兵深入內地。
HCH_012_250_000245	以十一月九日攻高陽，承宗率家人拒守。
HCH_012_250_000246	大兵將引去，繞城納喊者三，守者亦應之三，曰：「此城笑也，於法當破」，圍復合。
HCH_012_250_000247	明日城陷，被執。
HCH_012_250_000248	望闕叩頭，投繯而死，年七十有六。
HCH_012_250_000249	子舉人鉁，尚寶丞鑰，官生鈰，生員鋡、鎬，從子鍊，及孫之沆、之滂、之澋、之洁、之瀗，從孫之澈、之渼、之泳、之澤、之渙、之瀚，皆戰死。
HCH_012_250_000250	督師中官高起潛以聞。
HCH_012_250_000251	帝嗟悼，命所司優恤。
HCH_012_250_000252	當國者楊嗣昌、薛國觀輩陰扼之，但復故官，予祭葬而已。
HCH_012_250_000253	福王時，始贈太師，諡文忠。
HCH_012_250_000254	贊曰：承宗以宰相再視師，皆粗有成效矣，奄豎斗筲，後先齮扼，卒屏諸田野，至闔門膏斧鑕，而恤典不加。
HCH_012_250_000255	國是如此，求無危，安可得也。
HCH_012_250_000256	夫攻不足者守有餘，度彼之才，恢復固未易言，令專任之，猶足以慎固封守；而廷論紛呶，亟行翦除。
HCH_012_250_000257	蓋天眷有德，氣運將更，有莫之為而為者夫。
